tech_opendata_reference_year,tech_opendata_country_iso2,tech_opendata_open_data_maturity_score,tech_opendata_open_by_default_policy_flag,tech_opendata_public_sector_info_directive_compliance_flag,tech_opendata_high_value_datasets_published_count,tech_opendata_api_endpoints_count,tech_opendata_machine_readable_share_pct,tech_opendata_metadata_dc_at_ap_compliance_pct,tech_opendata_licensing_standard_code,tech_opendata_reuse_cases_count,tech_opendata_digital_identity_eidas_level,tech_opendata_eudi_wallet_ready_flag,tech_opendata_cross_border_service_usage_count,tech_opendata_interoperability_framework_adoption_pct,tech_opendata_data_spaces_participation_flag,tech_opendata_gaia_x_alignment_flag,tech_opendata_data_governance_act_compliance_flag,tech_opendata_data_act_compliance_flag,tech_opendata_data_extract_date
2019,PT,62.2,1,0,103,648,38.37,85.15,CC_BY_4_0,1622,LOW,0,5075,35.43,0,1,0,1,2025-05-15
2020,SE,21.76,1,1,103,685,91.94,71.98,ODC_BY,1809,HIGH,1,4658,66.52,1,0,1,1,2025-07-01
2021,CY,84.81,1,1,72,740,55.53,74.69,OTHER,1959,SUBSTANTIAL,1,2427,69.63,0,0,0,0,2025-04-17
2022,FR,47.37,0,1,89,738,44.1,95.7,CC0_1_0,1957,LOW,0,1533,28.2,1,0,1,1,2024-03-03
2023,IT,36.32,1,0,91,783,54.49,86.95,EU_PSI_STANDARD,1888,HIGH,0,1799,73.57,1,0,1,1,2025-10-06
2024,NL,64.36,1,1,154,863,94.02,47.63,CC_BY_4_0,1592,SUBSTANTIAL,1,5404,79.37,0,1,1,1,2025-03-03
2025,SI,68.11,0,1,91,792,95.18,88.83,ODC_BY,1668,LOW,1,2644,91.21,1,0,1,0,2025-09-21
2026,BG,38.82,0,1,78,755,97.37,46.75,OTHER,1926,HIGH,1,4849,52.4,0,0,1,0,2025-01-10
2014,EE,67.35,1,1,88,794,65.74,52.67,CC0_1_0,1734,SUBSTANTIAL,0,4638,58.68,1,0,0,1,2024-04-27
2015,HU,48.65,1,0,93,779,59.69,80.83,EU_PSI_STANDARD,1753,LOW,0,3887,19.36,0,0,1,0,2024-11-23
2016,LU,49.56,1,1,82,867,39.38,88.4,CC_BY_4_0,1525,HIGH,0,1760,50.93,0,0,0,1,2024-04-11
2017,RO,83.57,1,0,99,745,64.65,64.77,ODC_BY,1787,SUBSTANTIAL,1,5313,61.37,1,0,1,1,2025-11-07
2018,AT,92.74,0,1,149,715,75.99,98.18,OTHER,1749,LOW,0,4760,28.32,0,1,0,0,2024-08-11
2019,CZ,81.56,1,1,107,803,80.52,47.25,CC0_1_0,1525,HIGH,1,1559,80.68,0,0,1,1,2025-03-19
2020,DE,91.87,0,1,91,777,88.97,83.19,EU_PSI_STANDARD,1926,SUBSTANTIAL,0,4231,85.73,1,0,1,0,2025-02-03
2021,LV,40.79,0,1,137,787,38.28,62.15,CC_BY_4_0,1617,LOW,0,4944,33.2,0,0,0,1,2024-06-01
2022,PL,43.9,1,1,161,681,57.82,90.98,ODC_BY,1698,HIGH,1,4879,69.57,1,1,1,0,2026-02-16
2023,ES,83.21,1,1,90,672,35.77,91.42,OTHER,1766,SUBSTANTIAL,1,3728,87.59,1,0,1,0,2024-09-03
2024,HR,88.01,1,0,100,828,49.24,50.63,CC0_1_0,1756,LOW,0,3627,23.7,1,1,1,1,2024-03-05
2025,FI,40.33,1,1,126,760,46.79,53.22,EU_PSI_STANDARD,1690,HIGH,1,2339,34.27,0,0,0,0,2026-02-14
2026,IE,48.02,1,1,134,788,49.16,75.49,CC_BY_4_0,1877,SUBSTANTIAL,0,2438,86.09,1,1,0,1,2025-12-24
2014,MT,42.42,0,1,160,711,79.49,79.31,ODC_BY,1556,LOW,0,4530,88.64,1,0,1,0,2025-09-29
2015,SK,92.32,1,1,128,863,68.17,86.71,OTHER,1782,HIGH,1,4712,75.07,1,0,1,1,2025-07-23
2016,BE,67.96,1,1,150,691,80.17,55.48,CC0_1_0,1874,SUBSTANTIAL,1,2794,71.86,1,0,0,1,2024-10-08
2017,DK,71.71,1,0,141,743,38.45,41.52,EU_PSI_STANDARD,1546,LOW,1,2314,50.14,0,0,1,1,2024-02-11
2018,GR,43.08,1,1,144,701,78.86,55.31,CC_BY_4_0,1759,HIGH,1,4496,25.32,0,0,0,1,2024-03-24
2019,LT,54.91,0,1,118,859,61.06,49.0,ODC_BY,1618,SUBSTANTIAL,1,3068,35.11,1,0,0,0,2024-02-23
2020,PT,22.99,0,1,106,710,53.8,93.32,OTHER,1820,LOW,0,3790,46.21,1,0,1,1,2026-01-10
2021,SE,44.48,1,1,170,888,52.17,60.74,CC0_1_0,1598,HIGH,1,3880,39.75,1,1,1,0,2024-10-20
2022,CY,94.49,1,1,150,784,50.46,59.55,EU_PSI_STANDARD,1627,SUBSTANTIAL,0,2237,76.03,0,1,0,0,2025-07-26
2023,FR,74.95,1,1,173,670,94.74,52.5,CC_BY_4_0,1951,LOW,0,5229,29.88,0,0,1,1,2024-11-01
2024,IT,81.84,0,1,129,805,37.76,52.68,ODC_BY,1767,HIGH,0,4447,20.75,0,0,1,1,2025-12-04
2025,NL,93.07,0,1,107,831,84.44,97.12,OTHER,2031,SUBSTANTIAL,1,4708,41.11,0,0,1,0,2024-02-17
2026,SI,37.14,0,0,141,663,84.58,93.79,CC0_1_0,1845,LOW,0,1928,85.56,0,1,1,1,2025-02-08
2014,BG,32.0,1,0,132,756,38.03,75.5,EU_PSI_STANDARD,1838,HIGH,1,5426,76.89,0,1,1,1,2024-10-25
2015,EE,67.27,1,0,133,758,55.32,91.38,CC_BY_4_0,1687,SUBSTANTIAL,1,1719,58.73,1,0,1,1,2025-02-15
2016,HU,48.27,1,0,131,820,70.74,43.54,ODC_BY,1943,LOW,0,4733,62.91,0,0,1,0,2024-03-12
2017,LU,79.39,0,1,152,796,48.7,72.35,OTHER,1904,HIGH,1,2866,51.62,1,0,1,1,2024-07-13
2018,RO,54.81,0,1,166,775,40.56,68.69,CC0_1_0,1737,SUBSTANTIAL,1,3962,68.01,1,0,0,1,2025-05-28
2019,AT,81.85,1,1,152,869,47.87,71.55,EU_PSI_STANDARD,1830,LOW,0,3305,35.47,0,0,0,0,2025-01-17
2020,CZ,41.98,0,1,175,756,68.28,74.37,CC_BY_4_0,1696,HIGH,1,4672,55.8,1,0,1,0,2024-08-19
2021,DE,24.5,0,1,141,837,36.37,87.69,ODC_BY,1730,SUBSTANTIAL,0,4831,45.44,0,1,0,0,2024-06-05
2022,LV,50.09,1,0,112,849,93.18,95.36,OTHER,1796,LOW,0,1698,68.87,1,0,0,1,2024-01-06
2023,PL,88.29,1,1,124,820,80.43,78.98,CC0_1_0,1917,HIGH,0,5245,50.15,0,0,1,1,2024-08-09
2024,ES,49.44,1,0,149,766,61.25,87.33,EU_PSI_STANDARD,1871,SUBSTANTIAL,0,1851,34.13,1,1,0,0,2024-04-27
2025,HR,43.03,1,1,117,677,66.29,96.19,CC_BY_4_0,1958,LOW,0,4111,79.51,0,1,1,1,2025-05-07
2026,FI,80.55,0,1,156,732,38.95,90.47,ODC_BY,1613,HIGH,0,2684,46.49,0,0,0,1,2025-01-30
2014,IE,46.56,1,1,167,700,48.38,67.59,OTHER,1687,SUBSTANTIAL,1,1871,85.34,0,1,0,1,2025-10-19
2015,MT,42.31,1,1,146,732,86.78,70.6,CC0_1_0,1612,LOW,1,4551,25.37,1,0,1,0,2024-05-18
2016,SK,67.77,1,0,132,688,50.88,96.7,EU_PSI_STANDARD,1701,HIGH,1,2570,19.84,0,1,0,0,2024-10-25
2017,BE,24.06,0,1,140,810,83.9,53.2,CC_BY_4_0,1858,SUBSTANTIAL,1,3052,67.61,0,0,0,0,2025-08-11
2018,DK,77.03,1,0,156,757,53.08,56.46,ODC_BY,1855,LOW,1,1608,77.13,0,1,1,0,2025-10-02
2019,GR,60.25,0,1,183,709,35.87,51.86,OTHER,1712,HIGH,1,4462,41.13,0,0,1,1,2025-09-25
2020,LT,50.99,0,1,123,817,78.52,44.49,CC0_1_0,1936,SUBSTANTIAL,0,5270,29.47,1,1,1,1,2024-12-30
2021,PT,90.87,0,0,162,771,74.53,56.62,EU_PSI_STANDARD,1626,LOW,0,4996,82.07,0,1,1,1,2025-10-10
2022,SE,25.26,1,1,136,829,66.1,67.78,CC_BY_4_0,1800,HIGH,1,4210,80.6,0,0,0,1,2025-03-30
2023,CY,89.67,1,1,198,890,67.88,91.98,ODC_BY,2013,SUBSTANTIAL,1,4332,69.87,0,1,1,0,2026-01-10
2024,FR,92.69,1,0,159,811,94.5,97.35,OTHER,1800,LOW,1,2419,50.94,0,0,0,0,2026-02-17
2025,IT,29.13,0,1,152,739,95.42,54.94,CC0_1_0,1853,HIGH,0,4818,83.83,0,0,1,0,2025-01-11
2026,NL,64.16,1,1,191,679,53.91,79.9,EU_PSI_STANDARD,1602,SUBSTANTIAL,1,4562,79.37,1,0,0,0,2025-05-24
2014,SI,65.34,1,1,187,855,79.25,98.04,CC_BY_4_0,1574,LOW,0,3180,46.55,1,0,0,1,2025-05-06
2015,BG,35.26,0,0,185,888,84.88,81.53,ODC_BY,1921,HIGH,1,3879,51.84,1,0,1,1,2024-02-09
2016,EE,21.27,0,1,139,834,55.83,82.8,OTHER,1936,SUBSTANTIAL,1,4905,24.8,0,1,1,1,2024-03-22
2017,HU,88.0,1,1,175,693,35.6,55.17,CC0_1_0,1636,LOW,0,4862,31.5,0,0,1,1,2025-11-28
2018,LU,22.38,0,1,174,785,78.64,45.33,EU_PSI_STANDARD,1877,HIGH,1,3619,57.59,0,1,0,0,2025-10-10
2019,RO,53.76,1,1,213,755,84.68,49.54,CC_BY_4_0,2067,SUBSTANTIAL,0,3626,52.63,0,0,1,1,2025-08-04
2020,AT,25.42,0,0,209,867,71.09,68.43,ODC_BY,1615,LOW,0,4729,33.89,0,0,0,1,2024-08-09
2021,CZ,85.4,1,1,207,773,53.0,97.5,OTHER,1850,HIGH,0,4126,28.32,1,0,0,1,2026-01-22
2022,DE,43.45,1,1,180,727,42.69,49.47,CC0_1_0,1792,SUBSTANTIAL,1,2968,75.78,0,0,1,1,2024-01-05
2023,LV,82.97,1,1,153,690,50.48,43.99,EU_PSI_STANDARD,1703,LOW,0,4560,75.95,1,0,0,1,2024-01-06
2024,PL,57.43,1,1,168,773,53.43,84.6,CC_BY_4_0,1680,HIGH,1,5052,90.89,0,0,0,1,2025-02-19
2025,ES,46.86,1,1,176,736,81.76,86.31,ODC_BY,2045,SUBSTANTIAL,1,4855,22.82,0,0,0,0,2025-11-24
2026,HR,23.59,1,1,164,769,38.22,65.64,OTHER,1944,LOW,0,3648,58.42,1,0,0,0,2026-01-14
2014,FI,90.83,1,0,193,775,74.73,97.11,CC0_1_0,1943,HIGH,0,4815,93.25,0,0,1,0,2025-12-01
2015,IE,23.01,1,1,149,743,61.35,68.24,EU_PSI_STANDARD,1859,SUBSTANTIAL,0,4303,25.08,1,0,1,1,2024-04-18
2016,MT,24.54,0,0,146,844,41.19,67.92,CC_BY_4_0,1954,LOW,1,4892,54.77,0,0,1,1,2025-06-23
2017,SK,75.07,0,1,224,728,97.57,55.18,ODC_BY,1681,HIGH,1,4462,25.72,1,0,1,1,2024-04-26
2018,BE,24.46,1,1,164,864,63.77,74.82,OTHER,2075,SUBSTANTIAL,1,1670,90.62,0,0,1,0,2024-04-28
2019,DK,88.03,0,1,156,768,58.45,53.95,CC0_1_0,1755,LOW,1,3592,54.05,1,1,0,1,2025-05-31
2020,GR,26.13,1,1,161,892,96.39,90.18,EU_PSI_STANDARD,1880,HIGH,1,4795,73.95,0,0,1,1,2024-09-02
2021,LT,84.26,1,1,181,900,71.82,62.77,CC_BY_4_0,1873,SUBSTANTIAL,0,5299,67.25,1,0,1,1,2025-08-23
2022,PT,84.68,1,1,203,761,97.93,79.44,ODC_BY,1836,LOW,0,2590,34.22,0,0,1,1,2025-02-13
2023,SE,42.34,1,1,175,917,66.64,58.06,OTHER,1843,HIGH,1,2125,34.12,0,1,1,1,2025-01-28
2024,CY,37.64,1,0,223,737,64.11,60.39,CC0_1_0,1614,SUBSTANTIAL,1,5402,83.46,0,0,0,0,2024-11-18
2025,FR,61.01,0,0,186,770,89.25,80.33,EU_PSI_STANDARD,1808,LOW,0,4395,87.14,1,0,1,1,2025-08-11
2026,IT,84.65,1,0,212,934,43.11,65.99,CC_BY_4_0,1757,HIGH,1,4631,37.3,0,0,1,1,2025-10-08
2014,NL,31.25,1,1,180,889,81.11,42.83,ODC_BY,1782,SUBSTANTIAL,0,4722,94.05,0,0,1,0,2025-12-19
2015,SI,58.99,0,0,215,718,48.21,72.09,OTHER,2066,LOW,0,3255,93.9,0,0,1,1,2024-06-05
2016,BG,20.73,1,1,237,821,38.5,61.68,CC0_1_0,2024,HIGH,0,1981,62.01,1,0,1,0,2024-08-28
2017,EE,93.62,1,1,175,743,74.0,70.49,EU_PSI_STANDARD,1662,SUBSTANTIAL,1,4402,26.92,0,1,1,1,2025-10-29
2018,HU,58.73,0,1,166,920,76.38,42.68,CC_BY_4_0,1913,LOW,0,3109,32.32,1,0,1,0,2025-02-19
2019,LU,67.98,1,1,191,908,56.04,56.37,ODC_BY,1800,HIGH,1,4610,75.64,0,1,1,1,2025-12-25
2020,RO,81.29,1,1,211,833,80.3,50.85,OTHER,1754,SUBSTANTIAL,1,4670,59.72,1,0,1,1,2025-03-06
2021,AT,58.15,1,1,208,953,77.49,40.81,CC0_1_0,2031,LOW,0,2139,61.9,1,1,0,1,2024-04-25
2022,CZ,59.9,1,1,214,797,39.52,55.03,EU_PSI_STANDARD,1601,HIGH,0,2164,72.27,0,1,0,1,2024-03-26
2023,DE,28.22,1,1,206,878,95.3,96.95,CC_BY_4_0,1738,SUBSTANTIAL,1,4683,84.87,0,1,0,1,2024-08-02
2024,LV,83.81,1,0,246,919,69.42,40.0,ODC_BY,2028,LOW,1,2661,79.98,1,1,1,1,2024-10-01
2025,PL,71.03,1,1,229,775,63.96,52.87,OTHER,2092,HIGH,1,3837,50.21,1,0,0,1,2025-05-08
2026,ES,36.25,1,0,186,937,82.64,47.71,CC0_1_0,1688,SUBSTANTIAL,1,3248,88.13,0,1,0,0,2024-05-02
2014,HR,81.19,0,1,222,732,41.29,49.68,EU_PSI_STANDARD,1610,LOW,0,3356,20.17,0,0,0,1,2025-03-15
2015,FI,28.7,1,1,213,796,79.06,93.07,CC_BY_4_0,76,HIGH,0,5063,32.4,0,0,1,1,2025-12-31
2016,IE,84.36,0,1,222,956,94.12,61.32,ODC_BY,337,SUBSTANTIAL,1,4313,95.21,0,1,1,0,2025-01-02
2017,MT,74.63,1,0,184,919,61.16,95.94,OTHER,110,LOW,1,3929,19.17,0,0,1,1,2025-03-25
2018,SK,31.49,1,1,233,841,86.46,71.2,CC0_1_0,298,HIGH,1,2100,90.34,0,0,0,0,2024-05-15
2019,BE,24.51,0,0,199,855,78.72,44.88,EU_PSI_STANDARD,154,SUBSTANTIAL,0,4924,80.49,1,0,0,0,2025-11-13
2020,DK,40.96,1,1,202,739,62.64,79.83,CC_BY_4_0,413,LOW,0,4276,68.07,0,1,0,1,2026-01-13
2021,GR,53.34,1,0,249,754,59.04,95.16,ODC_BY,361,HIGH,0,3306,89.29,1,1,1,1,2025-01-09
2022,LT,65.33,0,1,237,803,69.39,58.75,OTHER,161,SUBSTANTIAL,1,4954,74.87,1,0,1,1,2025-06-08
2023,PT,45.69,1,0,245,753,45.76,80.98,CC0_1_0,319,LOW,0,3397,57.07,1,0,1,0,2024-05-04
2024,SE,54.35,1,1,232,805,94.19,48.26,EU_PSI_STANDARD,488,HIGH,1,3449,91.56,0,0,1,1,2026-02-15
2025,CY,71.24,1,0,188,763,49.01,81.27,CC_BY_4_0,494,SUBSTANTIAL,1,2724,44.23,1,1,0,1,2025-08-30
2026,FR,87.42,1,1,247,765,37.17,89.79,ODC_BY,214,LOW,0,3630,79.08,0,1,0,0,2024-08-26
2014,IT,40.49,0,0,197,769,91.26,89.35,OTHER,19,HIGH,1,3002,57.76,1,1,0,1,2025-04-05
2015,NL,33.78,0,1,256,729,93.61,94.39,CC0_1_0,413,SUBSTANTIAL,1,4224,25.67,0,0,1,0,2024-10-06
2016,SI,44.04,1,1,225,932,35.05,52.25,EU_PSI_STANDARD,131,LOW,0,3606,34.68,1,0,1,1,2024-10-10
2017,BG,46.29,1,1,187,821,52.39,90.1,CC_BY_4_0,340,HIGH,1,4587,23.81,1,1,1,1,2026-01-25
2018,EE,20.25,1,1,225,769,44.39,54.2,ODC_BY,334,SUBSTANTIAL,1,2477,76.82,0,0,1,0,2025-06-30
2019,HU,67.72,1,1,226,945,38.66,80.52,OTHER,146,LOW,1,3247,35.75,0,1,1,1,2024-09-29
2020,LU,50.89,0,1,253,982,70.21,70.59,CC0_1_0,30,HIGH,1,5527,44.59,0,0,0,0,2024-08-24
2021,RO,80.48,1,1,191,814,45.86,70.08,EU_PSI_STANDARD,110,SUBSTANTIAL,1,4465,32.89,0,0,0,0,2024-11-03
2022,AT,57.41,1,1,207,778,67.11,77.11,CC_BY_4_0,525,LOW,0,3580,40.5,0,0,0,0,2024-02-05
2023,CZ,42.52,1,1,250,823,56.31,85.12,ODC_BY,257,HIGH,1,2416,74.3,0,0,0,0,2024-02-12
2024,DE,23.61,1,1,262,831,92.6,79.61,OTHER,210,SUBSTANTIAL,1,3324,77.97,0,0,1,0,2024-04-16
2025,LV,82.98,1,0,239,971,96.05,92.96,CC0_1_0,195,LOW,0,4365,93.08,0,0,1,0,2025-02-07
2026,PL,94.11,1,0,272,742,65.36,81.3,EU_PSI_STANDARD,173,HIGH,1,2253,28.48,0,1,1,0,2025-10-12
2014,ES,28.21,1,1,225,951,92.46,55.2,CC_BY_4_0,282,SUBSTANTIAL,1,5240,51.19,0,0,1,1,2026-02-14
2015,HR,35.28,1,1,233,938,36.88,40.88,ODC_BY,369,LOW,1,4503,76.92,1,0,1,1,2025-01-05
2016,FI,34.57,0,0,268,788,78.49,42.7,OTHER,266,HIGH,1,4028,20.31,1,0,1,1,2024-10-11
2017,IE,50.63,1,1,239,820,95.72,46.73,CC0_1_0,189,SUBSTANTIAL,0,5567,61.55,0,0,0,1,2025-01-10
2018,MT,72.8,1,1,199,965,53.07,97.62,EU_PSI_STANDARD,149,LOW,0,1744,70.49,0,0,0,0,2024-06-19
2019,SK,87.05,1,1,231,840,67.24,68.86,CC_BY_4_0,530,HIGH,1,3327,26.7,0,1,1,0,2025-03-24
2020,BE,55.63,1,1,226,963,79.47,62.24,ODC_BY,484,SUBSTANTIAL,1,5583,22.26,0,1,0,1,2025-07-04
2021,DK,43.68,1,1,230,754,73.57,61.33,OTHER,58,LOW,0,4623,65.23,1,1,1,1,2024-05-25
2022,GR,66.44,1,1,251,790,95.3,86.23,CC0_1_0,176,HIGH,1,5525,73.69,0,0,1,1,2024-05-06
2023,LT,57.32,1,0,221,767,44.9,62.67,EU_PSI_STANDARD,139,SUBSTANTIAL,1,1685,29.56,1,1,1,1,2024-01-15
2024,PT,79.85,0,0,248,878,67.5,78.78,CC_BY_4_0,80,LOW,0,4737,66.37,1,0,0,0,2024-11-24
2025,SE,69.74,0,1,263,950,78.02,70.77,ODC_BY,436,HIGH,1,3817,42.96,0,1,1,1,2025-07-05
2026,CY,74.1,1,1,287,882,97.34,66.5,OTHER,461,SUBSTANTIAL,1,3758,91.77,0,1,0,0,2025-06-19
2014,FR,36.55,1,1,277,998,93.19,91.43,CC0_1_0,482,LOW,1,2731,88.91,1,0,1,0,2024-04-06
2015,IT,23.81,1,1,238,778,64.0,44.85,EU_PSI_STANDARD,428,HIGH,1,5478,25.31,1,0,1,0,2025-03-16
2016,NL,39.9,1,1,212,891,44.46,89.85,CC_BY_4_0,430,SUBSTANTIAL,0,2957,66.01,1,0,1,0,2024-05-16
2017,SI,84.66,1,1,281,862,46.21,74.17,ODC_BY,147,LOW,0,3523,26.34,1,0,1,0,2024-03-22
2018,BG,30.69,1,0,269,1000,73.51,92.8,OTHER,233,HIGH,0,2881,52.61,0,0,1,0,2025-06-30
2019,EE,94.41,1,0,267,994,35.99,74.11,CC0_1_0,499,SUBSTANTIAL,1,2751,41.08,0,0,0,0,2025-09-11
2020,HU,39.44,1,1,257,828,89.66,47.9,EU_PSI_STANDARD,262,LOW,1,3297,80.75,1,0,0,0,2025-07-14
2021,LU,52.41,0,1,250,860,97.82,70.57,CC_BY_4_0,101,HIGH,1,1783,53.74,0,1,0,0,2024-10-24
2022,RO,49.53,0,1,226,966,55.6,86.3,ODC_BY,386,SUBSTANTIAL,0,4017,35.11,1,0,1,1,2024-07-30
2023,AT,26.61,1,1,293,913,58.13,51.63,OTHER,392,LOW,0,3932,94.39,0,0,1,1,2024-10-21
2024,CZ,51.91,0,1,247,850,78.1,90.22,CC0_1_0,352,HIGH,0,3029,48.99,1,0,0,0,2025-12-03
2025,DE,71.15,1,1,295,839,45.23,82.96,EU_PSI_STANDARD,255,SUBSTANTIAL,0,2500,75.78,1,1,1,0,2024-09-22
2026,LV,43.91,1,1,291,981,64.01,49.2,CC_BY_4_0,505,LOW,0,2184,74.34,0,1,1,0,2025-04-11
2014,PL,70.87,0,0,223,905,74.43,42.64,ODC_BY,383,HIGH,0,2007,53.58,0,1,0,1,2024-06-20
2015,ES,51.01,1,0,265,938,59.89,92.05,OTHER,256,SUBSTANTIAL,0,2193,32.42,0,0,0,0,2024-07-15
2016,HR,34.0,1,1,236,792,63.56,43.23,CC0_1_0,545,LOW,0,2375,48.4,0,1,1,0,2025-07-22
2017,FI,86.07,1,1,282,994,82.14,66.23,EU_PSI_STANDARD,436,HIGH,1,3410,57.69,1,0,1,0,2024-11-10
2018,IE,71.78,1,1,298,987,35.63,95.42,CC_BY_4_0,418,SUBSTANTIAL,0,5268,79.26,0,0,1,1,2024-10-22
2019,MT,23.05,1,1,276,906,52.36,90.63,ODC_BY,273,LOW,0,3667,58.07,1,0,1,0,2024-11-30
2020,SK,63.27,1,1,236,952,67.97,93.9,OTHER,383,HIGH,1,1713,82.67,0,0,1,1,2024-12-02
2021,BE,23.74,1,1,283,868,49.14,64.19,CC0_1_0,477,SUBSTANTIAL,1,4468,85.94,0,0,0,1,2024-03-31
2022,DK,89.74,1,1,256,930,75.39,93.27,EU_PSI_STANDARD,207,LOW,0,2941,88.56,0,1,0,0,2025-09-08
2023,GR,49.78,0,1,265,944,52.42,76.15,CC_BY_4_0,351,HIGH,1,3514,95.53,0,1,1,0,2025-01-21
2024,LT,29.7,1,1,274,860,49.67,79.16,ODC_BY,484,SUBSTANTIAL,1,2789,54.7,0,0,0,0,2025-10-22
2025,PT,81.15,1,1,307,902,76.8,47.09,OTHER,293,LOW,0,5589,81.25,0,0,0,0,2025-12-14
2026,SE,57.7,0,0,282,1028,73.31,97.47,CC0_1_0,337,HIGH,1,3846,68.63,0,1,0,1,2025-05-15
2014,CY,79.43,0,1,270,782,44.59,54.31,EU_PSI_STANDARD,536,SUBSTANTIAL,1,2905,24.62,1,0,1,0,2025-12-12
2015,FR,80.18,0,1,244,817,58.54,58.95,CC_BY_4_0,167,LOW,0,2813,55.33,1,1,1,0,2024-03-15
2016,IT,79.81,1,1,249,970,85.52,98.8,ODC_BY,158,HIGH,0,4889,35.82,1,1,0,0,2024-11-03
2017,NL,59.04,1,0,278,1008,35.36,90.62,OTHER,437,SUBSTANTIAL,1,5164,38.04,1,1,1,1,2024-06-29
2018,SI,74.46,1,1,253,919,73.35,91.16,CC0_1_0,351,LOW,0,2259,94.19,0,0,1,1,2024-11-16
2019,BG,78.18,0,1,319,941,59.68,73.26,EU_PSI_STANDARD,321,HIGH,1,3581,61.48,0,0,0,1,2025-04-27
2020,EE,73.99,1,1,245,789,64.33,68.77,CC_BY_4_0,519,SUBSTANTIAL,1,2476,19.19,1,1,1,0,2025-05-20
2021,HU,57.26,0,1,243,864,45.19,68.18,ODC_BY,169,LOW,1,4737,88.64,1,0,1,0,2025-01-03
2022,LU,85.32,1,1,242,990,97.46,54.85,OTHER,392,HIGH,0,3622,74.27,0,0,0,1,2025-03-16
2023,RO,41.59,0,0,297,1001,35.33,47.7,CC0_1_0,556,SUBSTANTIAL,1,1746,44.77,0,0,0,0,2024-09-17
2024,AT,33.45,0,0,283,863,51.52,40.02,EU_PSI_STANDARD,323,LOW,1,2195,43.18,0,0,0,1,2025-07-17
2025,CZ,47.28,0,1,289,870,48.95,91.98,CC_BY_4_0,286,HIGH,1,3751,86.11,1,0,1,1,2024-01-13
2026,DE,60.39,1,1,285,945,95.02,62.58,ODC_BY,357,SUBSTANTIAL,1,4928,67.31,1,0,1,0,2024-11-06
2014,LV,62.64,1,1,284,997,60.76,84.76,OTHER,293,LOW,0,4621,36.55,0,0,1,0,2024-07-10
2015,PL,31.14,0,1,289,857,80.24,54.87,CC0_1_0,424,HIGH,1,3953,68.37,1,1,1,0,2026-02-04
2016,ES,88.43,1,0,325,1000,49.05,97.15,EU_PSI_STANDARD,445,SUBSTANTIAL,1,3400,76.13,1,0,1,0,2026-01-16
2017,HR,60.7,1,1,46,971,81.01,44.01,CC_BY_4_0,426,LOW,0,5469,38.81,0,0,1,1,2024-10-13
2018,FI,83.25,1,1,20,986,36.5,59.65,ODC_BY,148,HIGH,1,2209,19.94,1,0,0,0,2024-10-03
2019,IE,70.76,1,1,24,961,86.26,62.63,OTHER,111,SUBSTANTIAL,1,3030,82.76,0,1,0,1,2026-01-28
2020,MT,69.8,1,1,24,813,84.76,49.65,CC0_1_0,517,LOW,0,2757,39.15,0,0,0,1,2025-09-06
2021,SK,22.04,1,1,14,974,50.85,88.01,EU_PSI_STANDARD,219,HIGH,1,2141,66.19,0,0,0,0,2024-01-27
2022,BE,20.65,1,1,79,966,90.57,88.18,CC_BY_4_0,528,SUBSTANTIAL,1,4167,26.03,0,0,1,0,2024-06-01
2023,DK,57.88,0,1,47,1020,54.78,64.97,ODC_BY,534,LOW,0,4326,21.12,1,0,0,0,2026-02-23
2024,GR,55.21,1,1,80,951,96.22,76.44,OTHER,114,HIGH,1,4093,25.62,0,1,1,0,2025-03-09
2025,LT,45.55,0,1,81,867,77.07,48.16,CC0_1_0,536,SUBSTANTIAL,1,4982,81.15,0,1,0,1,2024-10-08
2026,PT,86.33,1,1,27,908,97.25,93.77,EU_PSI_STANDARD,124,LOW,1,2313,89.43,1,0,1,1,2025-08-19
2014,SE,52.31,1,1,77,841,88.65,78.1,CC_BY_4_0,356,HIGH,0,5126,88.15,0,0,0,0,2024-05-18
2015,CY,49.44,1,1,62,1014,55.66,88.51,ODC_BY,328,SUBSTANTIAL,1,2329,44.38,0,0,1,1,2025-08-31
2016,FR,39.14,0,0,41,841,79.94,40.96,OTHER,368,LOW,0,4341,90.38,1,1,0,1,2025-05-31
2017,IT,26.53,1,1,98,1024,46.01,41.4,CC0_1_0,101,HIGH,0,3634,21.22,0,0,0,1,2024-12-06
2018,NL,70.28,0,0,33,943,81.36,42.81,EU_PSI_STANDARD,360,SUBSTANTIAL,0,1738,64.63,0,0,1,0,2024-01-17
2019,SI,24.75,0,1,51,900,81.38,81.77,CC_BY_4_0,462,LOW,0,2706,69.4,1,1,1,1,2024-08-07
2020,BG,29.88,1,0,48,1050,58.13,68.65,ODC_BY,253,HIGH,1,1725,72.79,1,0,1,1,2025-11-16
2021,EE,58.5,0,0,92,891,73.1,53.43,OTHER,474,SUBSTANTIAL,1,4188,18.72,1,1,1,0,2025-03-30
2022,HU,20.7,0,0,57,995,96.71,72.84,CC0_1_0,526,LOW,0,4092,70.7,1,1,1,0,2025-02-22
2023,LU,70.01,1,1,95,1029,71.42,42.52,EU_PSI_STANDARD,418,HIGH,1,1851,69.54,0,0,0,1,2025-09-08
