lab_wages_reference_year,lab_wages_country_iso2,lab_wages_region_nuts_code,lab_wages_nace_section,lab_wages_occupation_isco_code,lab_wages_mean_hourly_earnings_eur,lab_wages_median_hourly_earnings_eur,lab_wages_wage_growth_pct,lab_wages_gender_pay_gap_unadjusted_pct,lab_wages_gender_pay_gap_adjusted_pct,lab_wages_collective_bargaining_coverage_pct,lab_wages_minimum_wage_level_eur_month,lab_wages_low_pay_share_pct,lab_wages_bonus_share_pct,lab_wages_inwork_poverty_rate_pct,lab_wages_labor_share_gdp_pct,lab_wages_unit_labor_cost_index,lab_wages_eurostat_table_code,lab_wages_revision_round,lab_wages_data_extract_date
2019,BG,HU97,C,8_PLANT_MACHINE,38.26,31.23,7.67,18.33,9.78,80.83,936.17,13.5,7.9,11.36,53.07,107.51,earn_ses_annual,BENCHMARK,2024-03-24
2020,EE,CZ78,N,3_TECHNICIANS,37.94,33.3,3.58,3.82,1.73,17.93,215.56,12.82,7.21,9.11,49.63,82.3,lfs_gpg,SECOND,2024-04-24
2021,HU,LU709,D,7_CRAFT,43.86,40.43,6.96,8.09,4.26,32.18,198.56,21.18,11.76,11.51,59.44,104.99,nama_10_lp_ulc,FIRST,2025-12-10
2022,LU,EE919,O,2_PROFESSIONALS,34.36,27.06,-0.67,11.58,4.73,23.97,524.61,11.73,16.39,8.32,49.11,109.82,earn_ses_hourly,FLASH,2024-05-14
2023,RO,NL81,E,6_AGRI,19.81,16.41,10.2,4.37,1.72,52.97,1601.75,14.45,10.25,2.76,53.74,117.29,earn_ses_annual,BENCHMARK,2025-01-07
2024,AT,PT72,P,1_MANAGERS,33.46,30.4,1.94,23.12,9.51,74.58,1696.84,9.36,14.67,7.01,61.64,132.37,lfs_gpg,SECOND,2025-03-26
2025,CZ,AT85,F,5_SERVICE_SALES,15.11,12.51,2.75,19.84,7.85,66.19,238.09,11.13,1.74,7.0,52.33,102.36,nama_10_lp_ulc,FIRST,2024-01-17
2006,DE,LT285,Q,9_ELEMENTARY,17.35,14.27,7.97,10.64,4.64,67.72,1218.86,25.71,3.24,5.68,56.67,123.92,earn_ses_hourly,FLASH,2025-06-07
2007,LV,DK89,G,4_CLERICAL,32.29,28.46,-1.37,16.85,12.03,47.42,818.89,19.45,8.49,9.38,48.64,85.0,earn_ses_annual,BENCHMARK,2026-02-17
2008,PL,FR648,R,8_PLANT_MACHINE,11.19,9.29,-0.37,19.15,11.22,35.23,514.53,16.5,3.94,10.12,48.38,98.37,lfs_gpg,SECOND,2025-12-27
2009,ES,IE5,H,3_TECHNICIANS,40.19,34.54,4.44,18.79,11.9,40.88,542.78,7.0,2.86,4.91,54.67,93.36,nama_10_lp_ulc,FIRST,2025-03-13
2010,HR,FI705,S,7_CRAFT,16.82,13.75,6.24,17.21,9.01,35.32,567.84,10.62,2.78,2.61,49.8,116.11,earn_ses_hourly,FLASH,2025-09-11
2011,FI,RO59,I,2_PROFESSIONALS,44.74,38.58,1.06,13.35,5.34,51.86,332.05,21.56,1.96,7.05,44.83,94.36,earn_ses_annual,BENCHMARK,2024-03-23
2012,IE,LV411,T,6_AGRI,23.99,20.47,7.16,5.99,3.26,61.57,2389.67,20.9,2.71,5.72,65.41,112.74,lfs_gpg,SECOND,2025-01-23
2013,MT,SI954,J,1_MANAGERS,24.88,20.05,5.75,18.23,13.5,77.93,61.97,12.95,14.23,5.82,53.8,103.6,nama_10_lp_ulc,FIRST,2025-10-30
2014,SK,IT94,U,5_SERVICE_SALES,22.86,21.0,7.74,13.93,5.57,43.96,1569.6,8.22,2.84,11.3,53.1,97.26,earn_ses_hourly,FLASH,2025-12-14
2015,BE,LV72,K,9_ELEMENTARY,16.35,13.61,7.16,7.53,4.85,22.89,2161.3,27.65,11.03,4.32,58.68,110.62,earn_ses_annual,BENCHMARK,2024-08-29
2016,DK,SI96,A,4_CLERICAL,25.31,23.43,5.94,3.09,1.91,84.22,847.79,28.49,0.84,14.36,61.2,122.43,lfs_gpg,SECOND,2024-05-03
2017,GR,BE377,L,8_PLANT_MACHINE,11.64,9.1,1.66,9.94,3.54,38.9,1414.74,22.67,1.87,9.04,46.64,84.76,nama_10_lp_ulc,FIRST,2025-03-14
2018,LT,IT612,B,3_TECHNICIANS,41.12,32.84,0.04,3.27,2.05,73.4,700.37,13.43,9.51,4.6,65.03,104.7,earn_ses_hourly,FLASH,2024-04-11
2019,PT,NL4,M,7_CRAFT,25.54,21.69,2.72,7.13,4.49,29.89,757.35,19.03,5.14,5.24,55.17,111.86,earn_ses_annual,BENCHMARK,2025-10-13
2020,SE,PL349,C,2_PROFESSIONALS,49.59,38.98,0.55,6.39,4.54,26.55,1426.29,11.72,6.0,6.88,50.14,88.77,lfs_gpg,SECOND,2024-10-04
2021,CY,HR76,N,6_AGRI,28.41,23.46,5.74,16.7,8.57,66.65,1399.24,15.33,8.33,11.93,52.39,126.78,nama_10_lp_ulc,FIRST,2025-08-14
2022,FR,CZ18,D,1_MANAGERS,59.13,48.81,-0.82,18.95,6.72,53.71,2512.2,21.02,4.6,13.61,59.47,118.15,earn_ses_hourly,FLASH,2025-02-21
2023,IT,AT453,O,5_SERVICE_SALES,25.53,22.49,0.37,5.54,1.98,30.17,1631.51,14.66,6.03,6.49,54.12,126.79,earn_ses_annual,BENCHMARK,2025-10-24
2024,NL,BE168,E,9_ELEMENTARY,13.33,11.94,2.94,12.43,6.49,18.84,2152.21,12.13,3.79,7.41,54.54,133.4,lfs_gpg,SECOND,2024-12-03
2025,SI,FR59,P,4_CLERICAL,26.9,21.46,-0.21,8.63,6.37,54.67,1879.57,18.16,3.96,14.56,59.53,118.77,nama_10_lp_ulc,FIRST,2024-02-13
2006,BG,SE66,F,8_PLANT_MACHINE,14.85,13.14,4.83,12.4,4.36,72.15,192.31,18.58,1.27,14.52,59.21,86.06,earn_ses_hourly,FLASH,2025-11-04
2007,EE,GR660,Q,3_TECHNICIANS,14.74,12.17,0.17,6.88,2.89,74.97,147.74,24.29,8.09,5.04,63.46,79.88,earn_ses_annual,BENCHMARK,2026-01-26
2008,HU,GR31,G,7_CRAFT,30.93,27.39,5.27,18.51,6.72,47.72,462.22,6.99,4.52,3.65,55.83,100.72,lfs_gpg,SECOND,2025-03-06
2009,LU,FR119,R,2_PROFESSIONALS,24.4,20.15,4.97,3.87,1.72,28.12,1534.31,20.3,14.42,12.95,49.06,113.73,nama_10_lp_ulc,FIRST,2024-09-12
2010,RO,PL8,H,6_AGRI,21.37,17.18,-0.65,7.42,3.77,38.5,525.63,28.41,2.63,16.33,44.37,89.06,earn_ses_hourly,FLASH,2024-01-19
2011,AT,DK727,S,1_MANAGERS,37.77,31.41,2.74,18.22,11.27,65.63,105.97,22.94,12.83,12.27,62.38,100.38,earn_ses_annual,BENCHMARK,2024-04-28
2012,CZ,MT586,I,5_SERVICE_SALES,23.52,18.49,0.04,7.28,4.45,29.46,294.62,22.36,9.18,11.67,56.58,116.22,lfs_gpg,SECOND,2025-07-23
2013,DE,BE530,T,9_ELEMENTARY,28.74,23.63,5.13,13.84,5.76,47.03,2217.43,15.5,11.91,7.25,50.55,87.99,nama_10_lp_ulc,FIRST,2025-01-12
2014,LV,HR822,J,4_CLERICAL,11.64,10.27,0.04,2.4,0.95,37.34,722.06,12.05,3.41,5.69,53.17,80.93,earn_ses_hourly,FLASH,2026-02-22
2015,PL,ES72,U,8_PLANT_MACHINE,38.47,35.39,7.72,3.46,2.24,72.04,1871.17,11.32,4.16,11.11,61.23,85.24,earn_ses_annual,BENCHMARK,2025-10-13
2016,ES,ES916,K,3_TECHNICIANS,45.82,36.24,2.93,11.97,7.82,71.84,2083.73,18.34,3.77,7.47,48.31,104.2,lfs_gpg,SECOND,2025-01-13
2017,HR,BE325,A,7_CRAFT,29.97,24.94,-1.12,10.33,6.4,32.06,651.04,13.76,3.72,4.4,56.43,80.4,nama_10_lp_ulc,FIRST,2025-04-09
2018,FI,MT647,L,2_PROFESSIONALS,58.56,48.84,7.72,18.6,13.21,57.86,866.06,7.55,2.69,8.46,52.94,107.89,earn_ses_hourly,FLASH,2025-03-25
2019,IE,SI576,B,6_AGRI,22.84,20.18,-1.02,12.57,5.26,69.84,1266.81,25.71,2.86,8.22,57.36,85.65,earn_ses_annual,BENCHMARK,2025-08-11
2020,MT,HU1,M,1_MANAGERS,44.14,37.58,7.3,7.27,2.76,79.76,611.98,11.68,4.69,5.4,65.9,100.31,lfs_gpg,SECOND,2025-07-11
2021,SK,AT47,C,5_SERVICE_SALES,29.34,24.63,6.89,8.59,3.12,28.61,48.66,15.44,6.71,9.38,59.26,120.23,nama_10_lp_ulc,FIRST,2024-09-25
2022,BE,HR7,N,9_ELEMENTARY,20.73,16.3,2.3,11.41,4.47,47.67,1961.01,7.75,0.93,4.98,53.68,116.16,earn_ses_hourly,FLASH,2025-12-16
2023,DK,HR59,D,4_CLERICAL,54.12,43.34,6.65,4.78,3.56,39.29,943.8,13.45,4.46,5.62,58.65,109.37,earn_ses_annual,BENCHMARK,2025-06-27
2024,GR,LU355,O,8_PLANT_MACHINE,32.85,27.73,1.77,15.35,10.39,79.19,644.48,11.96,2.86,4.38,52.46,116.73,lfs_gpg,SECOND,2024-06-29
2025,LT,GR189,E,3_TECHNICIANS,20.96,16.35,6.62,5.88,4.24,58.73,1088.89,25.01,3.24,10.6,48.48,109.52,nama_10_lp_ulc,FIRST,2026-02-07
2006,PT,CY531,P,7_CRAFT,13.99,11.55,6.38,12.73,7.9,79.2,1188.56,14.28,8.87,6.73,57.96,98.86,earn_ses_hourly,FLASH,2024-01-09
2007,SE,BE24,F,2_PROFESSIONALS,20.19,16.52,0.43,2.74,1.52,51.47,193.81,14.34,3.86,5.8,54.31,109.51,earn_ses_annual,BENCHMARK,2024-09-21
2008,CY,ES89,Q,6_AGRI,24.7,22.78,-0.49,18.36,7.93,62.13,72.35,13.9,11.8,4.97,54.51,90.5,lfs_gpg,SECOND,2025-08-26
2009,FR,PL447,G,1_MANAGERS,80.75,67.35,-0.71,13.9,9.83,55.2,760.76,20.06,6.79,3.3,59.53,105.22,nama_10_lp_ulc,FIRST,2024-06-09
2010,IT,PL7,R,5_SERVICE_SALES,10.3,8.17,-0.16,2.24,1.65,89.34,550.05,11.08,8.96,3.15,57.5,85.85,earn_ses_hourly,FLASH,2024-07-18
2011,NL,RO40,H,9_ELEMENTARY,21.59,17.6,2.44,9.33,3.33,67.47,1699.0,13.59,3.61,2.54,62.09,113.94,earn_ses_annual,BENCHMARK,2024-10-22
2012,SI,MT67,S,4_CLERICAL,23.38,20.03,6.94,8.0,3.9,39.95,265.82,9.62,8.87,2.18,46.58,109.99,lfs_gpg,SECOND,2025-07-15
2013,BG,IE464,I,8_PLANT_MACHINE,19.37,15.7,1.32,18.83,10.9,67.46,159.74,11.3,2.92,7.94,60.42,104.53,nama_10_lp_ulc,FIRST,2024-12-01
2014,EE,HR4,T,3_TECHNICIANS,21.16,16.88,-0.93,19.0,9.74,33.43,1868.09,7.06,4.5,11.17,48.45,105.92,earn_ses_hourly,FLASH,2024-02-22
2015,HU,SE8,J,7_CRAFT,11.79,10.48,4.85,2.97,1.86,73.81,46.55,27.01,3.62,5.16,59.22,119.7,earn_ses_annual,BENCHMARK,2025-10-31
2016,LU,RO2,U,2_PROFESSIONALS,53.22,44.3,0.2,4.58,2.41,74.91,787.46,12.38,13.51,3.82,65.13,90.91,lfs_gpg,SECOND,2025-11-24
2017,RO,FI79,K,6_AGRI,26.98,23.69,4.85,2.76,1.37,78.22,488.1,8.14,6.45,3.98,62.99,120.0,nama_10_lp_ulc,FIRST,2025-12-31
2018,AT,LT55,A,1_MANAGERS,48.44,44.46,3.19,23.79,11.05,75.18,1609.09,6.14,14.75,9.28,54.81,99.85,earn_ses_hourly,FLASH,2024-04-24
2019,CZ,MT1,L,5_SERVICE_SALES,34.22,29.93,-1.37,21.79,13.38,64.96,175.38,23.13,10.0,4.78,57.57,89.25,earn_ses_annual,BENCHMARK,2024-08-29
2020,DE,FR540,B,9_ELEMENTARY,21.05,16.62,5.07,19.68,9.41,44.94,448.21,10.22,10.56,2.27,55.68,92.67,lfs_gpg,SECOND,2024-08-05
2021,LV,GR254,M,4_CLERICAL,15.93,13.95,6.92,2.92,1.82,53.63,1917.43,7.82,9.9,6.63,57.02,123.52,nama_10_lp_ulc,FIRST,2024-10-31
2022,PL,HU887,C,8_PLANT_MACHINE,29.06,25.83,3.15,9.58,5.79,69.89,819.84,13.87,9.48,5.61,59.47,123.21,earn_ses_hourly,FLASH,2024-02-21
2023,ES,ES554,N,3_TECHNICIANS,28.21,25.49,10.18,4.44,1.87,59.32,2189.85,11.02,4.57,9.86,49.5,114.46,earn_ses_annual,BENCHMARK,2025-09-30
2024,HR,FR3,D,7_CRAFT,12.35,10.94,6.35,13.44,7.26,55.46,1332.83,9.56,10.72,5.2,58.06,138.54,lfs_gpg,SECOND,2024-11-04
2025,FI,BE3,O,2_PROFESSIONALS,77.99,69.16,4.92,13.86,9.24,45.15,1469.29,19.83,9.25,8.86,54.82,101.43,nama_10_lp_ulc,FIRST,2025-11-05
2006,IE,PT17,E,6_AGRI,26.88,23.03,6.82,8.4,5.79,45.63,160.36,20.5,1.61,13.79,57.99,106.34,earn_ses_hourly,FLASH,2024-01-09
2007,MT,LU737,P,1_MANAGERS,33.25,26.1,7.46,14.06,5.14,54.79,1404.19,15.91,4.12,7.03,45.6,103.21,earn_ses_annual,BENCHMARK,2025-07-15
2008,SK,GR82,F,5_SERVICE_SALES,19.47,17.25,-0.55,8.11,5.09,39.34,1898.61,16.37,10.79,7.48,46.02,98.22,lfs_gpg,SECOND,2024-11-22
2009,BE,PT64,Q,9_ELEMENTARY,23.02,18.63,4.5,5.08,3.59,42.34,1906.77,28.43,11.67,13.08,46.0,105.85,nama_10_lp_ulc,FIRST,2025-03-18
2010,DK,RO172,G,4_CLERICAL,18.26,14.5,6.35,16.48,8.24,24.23,839.08,6.84,3.29,11.05,58.59,95.77,earn_ses_hourly,FLASH,2024-08-09
2011,GR,MT109,R,8_PLANT_MACHINE,11.59,9.62,6.12,19.81,11.85,78.53,1021.12,15.71,6.56,9.01,53.85,85.03,earn_ses_annual,BENCHMARK,2025-11-26
2012,LT,SK286,H,3_TECHNICIANS,33.07,27.61,1.2,2.5,1.18,49.59,909.96,6.19,10.15,9.24,56.44,109.48,lfs_gpg,SECOND,2025-11-04
2013,PT,HU4,S,7_CRAFT,35.39,32.0,4.27,3.13,1.4,23.47,173.73,9.94,11.0,9.37,48.8,111.45,nama_10_lp_ulc,FIRST,2024-04-26
2014,SE,PL95,I,2_PROFESSIONALS,70.1,59.82,5.45,2.02,0.87,44.81,1155.7,22.55,6.33,8.14,49.9,118.38,earn_ses_hourly,FLASH,2025-12-21
2015,CY,AT50,T,6_AGRI,18.99,16.19,2.02,18.54,8.31,17.16,1205.66,6.74,7.44,6.76,59.33,115.76,earn_ses_annual,BENCHMARK,2025-10-06
2016,FR,IE89,J,1_MANAGERS,72.0,64.3,5.63,14.19,8.23,97.01,2020.72,6.59,13.18,1.76,63.22,117.68,lfs_gpg,SECOND,2026-01-17
2017,IT,ES7,U,5_SERVICE_SALES,27.7,21.99,-1.09,14.52,6.5,74.53,1214.64,16.59,7.69,4.99,52.92,105.15,nama_10_lp_ulc,FIRST,2024-08-08
2018,NL,LV59,K,9_ELEMENTARY,31.29,25.51,0.35,6.93,4.81,33.24,1301.91,10.71,2.68,4.33,51.1,92.62,earn_ses_hourly,FLASH,2024-03-21
2019,SI,FI948,A,4_CLERICAL,28.8,23.27,1.66,12.72,6.45,74.37,399.32,17.17,4.34,4.63,63.94,113.26,earn_ses_annual,BENCHMARK,2025-01-27
2020,BG,BG78,L,8_PLANT_MACHINE,27.46,24.58,7.94,9.56,6.8,22.49,1208.83,14.25,1.56,11.73,49.64,93.0,lfs_gpg,SECOND,2024-10-21
2021,EE,HU465,B,3_TECHNICIANS,21.41,17.08,7.66,2.03,1.41,36.13,988.52,25.17,7.2,13.53,49.82,128.93,nama_10_lp_ulc,FIRST,2024-10-11
2022,HU,SK551,M,7_CRAFT,34.99,27.44,2.8,5.32,2.56,23.84,1016.35,23.36,9.81,5.35,54.13,128.41,earn_ses_hourly,FLASH,2025-05-08
2023,LU,NL188,C,2_PROFESSIONALS,45.21,38.32,10.23,9.21,3.48,52.03,1419.31,9.06,8.99,2.49,52.07,110.58,earn_ses_annual,BENCHMARK,2025-08-17
2024,RO,FR36,N,6_AGRI,15.29,13.13,7.51,18.2,9.14,28.37,1503.25,12.21,11.8,12.79,47.65,104.51,lfs_gpg,SECOND,2025-10-28
2025,AT,ES6,D,1_MANAGERS,92.77,79.84,6.44,18.42,11.99,25.17,769.19,16.27,17.34,9.73,44.77,142.19,nama_10_lp_ulc,FIRST,2025-05-01
2006,CZ,AT431,O,5_SERVICE_SALES,10.45,8.79,-0.82,10.82,8.11,49.65,679.44,15.97,0.41,8.6,57.79,83.62,earn_ses_hourly,FLASH,2025-08-21
2007,DE,EE34,E,9_ELEMENTARY,21.86,19.31,2.16,18.81,8.75,27.51,1400.45,14.91,8.13,11.0,49.03,93.56,earn_ses_annual,BENCHMARK,2025-04-22
2008,LV,ES4,P,4_CLERICAL,32.0,27.16,0.11,17.64,9.43,66.72,1810.1,21.21,0.82,11.3,50.7,87.11,lfs_gpg,SECOND,2024-12-04
2009,PL,NL618,F,8_PLANT_MACHINE,13.08,10.82,-1.41,7.81,3.17,80.49,385.61,27.23,9.98,3.42,64.01,98.82,nama_10_lp_ulc,FIRST,2024-11-21
2010,ES,NL10,Q,3_TECHNICIANS,12.83,11.31,-0.85,9.75,4.95,28.0,1033.54,27.34,1.82,10.07,49.67,79.54,earn_ses_hourly,FLASH,2024-07-13
2011,HR,BG365,G,7_CRAFT,20.33,17.38,6.18,5.52,2.7,33.03,899.63,17.58,1.32,7.0,54.52,98.13,earn_ses_annual,BENCHMARK,2025-11-24
2012,FI,IT21,R,2_PROFESSIONALS,41.19,36.05,6.22,10.89,4.06,78.35,1733.25,10.23,18.6,4.77,57.74,100.3,lfs_gpg,SECOND,2025-11-12
2013,IE,BG56,H,6_AGRI,25.36,20.75,0.16,15.57,8.09,51.48,449.52,22.46,3.07,15.91,54.78,86.91,nama_10_lp_ulc,FIRST,2025-11-30
2014,MT,DK458,S,1_MANAGERS,30.35,25.03,4.36,7.55,4.25,20.3,384.72,21.61,3.12,12.1,47.16,89.58,earn_ses_hourly,FLASH,2026-02-19
2015,SK,SI387,I,5_SERVICE_SALES,14.01,12.41,8.07,11.12,5.08,30.99,820.8,14.05,8.48,9.07,58.22,97.43,earn_ses_annual,BENCHMARK,2025-02-23
2016,BE,FR28,T,9_ELEMENTARY,34.9,31.42,2.57,8.73,3.66,57.83,949.13,15.31,8.3,9.69,47.4,92.56,lfs_gpg,SECOND,2024-03-05
2017,DK,CY4,J,4_CLERICAL,49.29,44.39,0.96,10.66,5.66,95.59,412.99,21.76,6.03,11.61,58.64,80.64,nama_10_lp_ulc,FIRST,2024-11-10
2018,GR,LT39,U,8_PLANT_MACHINE,20.65,17.3,7.22,7.86,3.47,67.32,584.8,9.43,4.77,4.86,55.47,90.36,earn_ses_hourly,FLASH,2025-03-05
2019,LT,GR185,K,3_TECHNICIANS,42.74,39.69,0.84,3.79,2.07,49.07,545.39,7.92,5.2,2.03,53.39,91.11,earn_ses_annual,BENCHMARK,2024-03-03
2020,PT,FI14,A,7_CRAFT,41.41,34.95,4.09,2.1,1.37,53.94,1889.71,19.91,1.99,12.35,51.43,90.99,lfs_gpg,SECOND,2024-03-18
2021,SE,LV729,L,2_PROFESSIONALS,48.1,43.82,6.6,5.7,2.66,52.84,1114.89,19.04,16.61,13.19,56.52,144.12,nama_10_lp_ulc,FIRST,2025-04-12
2022,CY,LT38,B,6_AGRI,20.25,16.53,6.0,8.68,6.1,50.4,1686.05,21.7,8.77,8.02,57.39,132.92,earn_ses_hourly,FLASH,2025-03-18
2023,FR,FI388,M,1_MANAGERS,94.97,79.29,-0.51,3.12,2.06,57.26,1281.36,19.79,5.93,2.64,47.43,119.55,earn_ses_annual,BENCHMARK,2024-06-09
2024,IT,PT23,C,5_SERVICE_SALES,31.49,24.69,-0.15,8.78,4.04,63.22,9.55,21.49,9.65,18.22,62.8,103.87,lfs_gpg,SECOND,2025-10-01
2025,NL,SI142,N,9_ELEMENTARY,21.44,17.75,7.01,16.63,5.84,46.92,672.82,17.61,1.6,4.78,51.78,113.03,nama_10_lp_ulc,FIRST,2024-01-12
2006,SI,DE7,D,4_CLERICAL,21.57,19.32,5.17,11.27,8.22,39.95,622.01,23.28,4.58,7.75,53.02,88.08,earn_ses_hourly,FLASH,2026-01-17
2007,BG,PT740,O,8_PLANT_MACHINE,17.05,14.94,0.42,4.09,1.52,41.97,968.83,13.55,10.76,5.47,56.51,93.71,earn_ses_annual,BENCHMARK,2026-02-04
2008,EE,ES3,E,3_TECHNICIANS,23.21,19.44,6.1,8.24,5.53,61.7,241.54,11.37,6.04,11.91,55.3,102.46,lfs_gpg,SECOND,2024-06-19
2009,HU,FR37,P,7_CRAFT,27.81,22.09,4.59,6.3,3.76,44.23,1658.36,28.33,11.43,11.91,59.85,88.8,nama_10_lp_ulc,FIRST,2024-05-13
2010,LU,EE7,F,2_PROFESSIONALS,68.65,55.21,6.84,4.89,3.31,27.22,1615.38,20.96,9.59,2.58,50.44,98.01,earn_ses_hourly,FLASH,2024-12-22
2011,RO,BG9,Q,6_AGRI,8.31,7.5,6.12,10.32,7.44,22.39,1550.77,7.78,5.98,7.46,48.59,114.27,earn_ses_annual,BENCHMARK,2025-10-22
2012,AT,CY881,G,1_MANAGERS,33.12,27.63,4.12,11.52,7.55,32.76,489.41,21.41,5.96,7.52,45.37,88.45,lfs_gpg,SECOND,2024-06-08
2013,CZ,PL289,R,5_SERVICE_SALES,17.39,15.24,0.65,2.02,1.18,24.59,1821.06,11.67,8.07,6.67,50.52,102.82,nama_10_lp_ulc,FIRST,2024-08-02
2014,DE,BG697,H,9_ELEMENTARY,22.51,18.38,-0.52,11.45,7.78,43.18,2249.52,10.63,7.97,10.74,51.66,93.27,earn_ses_hourly,FLASH,2025-05-21
2015,LV,LU647,S,4_CLERICAL,26.92,21.37,3.55,8.4,3.01,34.85,103.85,25.5,5.28,11.76,53.25,108.38,earn_ses_annual,BENCHMARK,2025-02-26
2016,PL,BG76,I,8_PLANT_MACHINE,32.59,27.07,-0.85,13.19,6.37,19.64,944.72,7.5,4.79,10.97,45.36,90.21,lfs_gpg,SECOND,2024-05-09
2017,ES,CZ560,T,3_TECHNICIANS,45.04,41.66,2.86,12.71,5.63,39.24,676.65,18.12,11.99,12.7,58.44,90.21,nama_10_lp_ulc,FIRST,2025-08-31
2018,HR,CY29,J,7_CRAFT,26.58,22.33,4.17,6.22,4.3,61.37,1829.69,6.99,1.51,7.73,57.49,118.0,earn_ses_hourly,FLASH,2026-02-14
2019,FI,MT727,U,2_PROFESSIONALS,62.32,57.67,1.95,14.0,8.63,20.53,1235.53,8.57,14.85,6.51,46.78,80.86,earn_ses_annual,BENCHMARK,2024-01-16
2020,IE,GR32,K,6_AGRI,20.21,17.81,5.42,12.47,4.47,53.48,333.01,27.48,4.67,5.6,48.43,115.26,lfs_gpg,SECOND,2025-06-02
2021,MT,DK195,A,1_MANAGERS,45.42,35.81,1.55,4.85,2.49,54.06,1759.41,13.27,12.97,9.6,50.05,105.65,nama_10_lp_ulc,FIRST,2025-11-18
2022,SK,HR872,L,5_SERVICE_SALES,34.61,27.99,8.41,2.71,1.98,36.55,1516.9,16.5,11.48,4.72,45.39,107.01,earn_ses_hourly,FLASH,2024-08-21
2023,BE,RO76,B,9_ELEMENTARY,30.92,24.53,8.58,15.76,6.32,41.52,2368.6,6.81,3.49,3.34,46.18,109.65,earn_ses_annual,BENCHMARK,2024-04-18
2024,DK,HR286,M,4_CLERICAL,28.19,25.55,7.21,15.11,9.91,54.27,476.5,17.32,0.83,2.59,50.07,113.59,lfs_gpg,SECOND,2025-02-17
2025,GR,PT601,C,8_PLANT_MACHINE,41.81,35.19,-0.26,5.3,2.29,63.7,1448.61,19.15,9.94,10.66,49.73,100.21,nama_10_lp_ulc,FIRST,2024-01-28
2006,LT,ES706,N,3_TECHNICIANS,20.16,15.92,0.58,7.83,3.08,20.11,1165.71,24.29,4.0,2.4,51.22,96.09,earn_ses_hourly,FLASH,2025-05-10
2007,PT,BG815,D,7_CRAFT,17.01,15.14,-0.89,5.45,3.73,32.75,40.83,27.11,8.09,14.7,52.36,83.12,earn_ses_annual,BENCHMARK,2024-04-19
2008,SE,LU30,O,2_PROFESSIONALS,59.84,55.56,6.33,17.76,8.25,93.16,338.58,15.18,18.93,4.88,58.31,85.18,lfs_gpg,SECOND,2025-03-09
2009,CY,BG75,E,6_AGRI,21.2,17.22,6.28,10.06,4.11,24.84,1917.36,24.54,0.68,13.65,50.31,93.99,nama_10_lp_ulc,FIRST,2025-04-06
2010,FR,DE8,P,1_MANAGERS,32.99,30.51,5.3,20.37,7.38,77.05,788.43,20.45,10.4,6.18,54.39,121.22,earn_ses_hourly,FLASH,2025-07-10
2011,IT,SK85,F,5_SERVICE_SALES,16.93,15.61,-0.84,8.96,4.76,46.65,1343.73,10.03,1.98,3.42,51.38,95.31,earn_ses_annual,BENCHMARK,2025-11-28
2012,NL,MT398,Q,9_ELEMENTARY,17.52,13.7,6.11,2.59,0.92,37.67,278.84,10.61,1.31,1.89,44.64,85.81,lfs_gpg,SECOND,2025-08-02
2013,SI,EE2,G,4_CLERICAL,33.8,30.79,5.14,4.91,3.66,25.53,1793.37,8.01,0.6,6.87,44.89,121.96,nama_10_lp_ulc,FIRST,2024-09-11
2014,BG,NL446,R,8_PLANT_MACHINE,22.08,17.84,-1.1,7.42,4.46,35.45,1557.07,9.77,8.27,2.72,54.64,105.96,earn_ses_hourly,FLASH,2025-06-19
2015,EE,SE6,H,3_TECHNICIANS,13.33,11.79,5.72,18.03,11.49,26.8,1355.05,19.78,10.22,3.21,53.89,99.12,earn_ses_annual,BENCHMARK,2025-11-24
2016,HU,DE77,S,7_CRAFT,19.36,17.79,0.99,17.86,11.18,49.73,917.55,10.26,10.84,6.98,48.02,79.76,lfs_gpg,SECOND,2025-04-27
2017,LU,RO6,I,2_PROFESSIONALS,68.14,60.5,4.33,10.35,5.29,79.16,254.1,6.85,15.81,11.73,51.28,104.85,nama_10_lp_ulc,FIRST,2024-05-18
2018,RO,DE684,T,6_AGRI,14.94,11.89,1.51,13.09,4.65,36.55,1083.02,13.59,1.52,4.59,45.34,81.36,earn_ses_hourly,FLASH,2024-09-04
2019,AT,HR148,J,1_MANAGERS,77.24,64.05,3.11,9.2,6.57,17.74,1587.67,6.69,12.24,6.99,54.94,91.46,earn_ses_annual,BENCHMARK,2024-06-21
2020,CZ,DK989,U,5_SERVICE_SALES,15.85,12.41,5.38,21.04,15.2,38.12,694.69,11.36,3.07,9.06,51.43,104.06,lfs_gpg,SECOND,2024-04-15
2021,DE,EE1,K,9_ELEMENTARY,37.4,30.6,7.12,6.1,4.48,17.84,573.64,16.37,4.9,11.49,49.51,118.94,nama_10_lp_ulc,FIRST,2024-01-19
2022,LV,FR833,A,4_CLERICAL,16.19,14.86,0.55,2.5,1.6,59.76,28.75,11.39,8.31,3.79,48.99,120.85,earn_ses_hourly,FLASH,2025-12-03
2023,PL,HU18,L,8_PLANT_MACHINE,31.99,26.7,8.7,19.17,11.09,39.7,1766.5,13.69,9.68,9.23,57.3,126.08,earn_ses_annual,BENCHMARK,2025-08-18
2024,ES,FR417,B,3_TECHNICIANS,53.15,44.14,2.26,5.49,3.15,78.91,2272.5,21.64,5.95,5.31,54.14,117.21,lfs_gpg,SECOND,2024-09-22
