gov_debt_reporting_year,gov_debt_issuer_id,gov_debt_debt_type_code,gov_debt_principal_outstanding_inr,gov_debt_principal_issued_inr,gov_debt_principal_retired_inr,gov_debt_interest_cost_inr,gov_debt_average_coupon_rate,gov_debt_maturity_years_weighted,gov_debt_debt_service_coverage_ratio,gov_debt_days_cash_on_hand,gov_debt_liquidity_ratio,gov_debt_net_position_change_inr,gov_debt_unfunded_pension_liability,gov_debt_opeb_liability,gov_debt_bond_rating_agency,gov_debt_bond_rating_value,gov_debt_default_event_flag,gov_debt_refinancing_savings_inr,gov_debt_fiscal_distress_flag
2016,GOV16901646,GOVPS6DO,88989132,2043194,6186407,18411615,57.39,val_1699_01646,0.496,691,2.793,val_1699_01646,val_1699_01646,val_1699_01646,MHA,460025,0,2600215,0
2016,GOV16901647,GOVXYOJW,522332,377985,266084,14571,51.27,val_1699_01647,4.564,1962,0.284,val_1699_01647,val_1699_01647,val_1699_01647,MOF,39950,0,54630,1
2026,GOV16901648,GOVW82C7,75577542,189107,594035,73240,19.92,val_1699_01648,2.18,2992,3.128,val_1699_01648,val_1699_01648,val_1699_01648,MoRTH,93135,1,63366319,1
2018,GOV16901649,GOV2OZVS,1094797,31593,37596085,7262782,53.4,val_1699_01649,0.845,2368,3.438,val_1699_01649,val_1699_01649,val_1699_01649,MoE,72830110,0,238446,0
2015,GOV16901650,GOVV0IQ1,562648,33670,32624636,419230722,76.82,val_1699_01650,3.771,99,3.26,val_1699_01650,val_1699_01650,val_1699_01650,MoHUA,38087537,0,297161087,0
2015,GOV16901651,GOVDEZNP,4772366,3154791,804843,223988990,7.02,val_1699_01651,1.514,605,3.745,val_1699_01651,val_1699_01651,val_1699_01651,DoPT,24909013,0,4433446,0
2013,GOV16901652,GOVLN46F,27855,3142555,266875717,31079,99.93,val_1699_01652,0.606,719,0.977,val_1699_01652,val_1699_01652,val_1699_01652,MNRE,430296897,0,473152688,1
2017,GOV16901653,GOVWFV2B,23776,388201737,9230678,270646,66.61,val_1699_01653,4.855,882,2.701,val_1699_01653,val_1699_01653,val_1699_01653,MeitY,615265066,0,5572878,1
2021,GOV16901654,GOVQAMFD,80060106,6731259,42784,595451816,65.74,val_1699_01654,2.437,1263,1.018,val_1699_01654,val_1699_01654,val_1699_01654,MoHUA,69050981,1,55969791,0
2016,GOV16901655,GOV23EIG,514523561,2760514,711442622,4804217,33.05,val_1699_01655,0.937,1736,1.729,val_1699_01655,val_1699_01655,val_1699_01655,MoE,358516,1,66696421,0
2010,GOV16901656,GOVWQUA7,45503182,2631506,36773,6076418,72.97,val_1699_01656,0.445,1954,4.44,val_1699_01656,val_1699_01656,val_1699_01656,MNRE,14850138,1,83435,0
2023,GOV16901657,GOVPU6DX,7091934,5038631,34577735,8430668,28.6,val_1699_01657,3.357,1665,4.955,val_1699_01657,val_1699_01657,val_1699_01657,DoPT,66287538,0,59039,0
2024,GOV16901658,GOV9UUOO,269235423,52284,587341558,439903781,56.98,val_1699_01658,3.784,934,1.823,val_1699_01658,val_1699_01658,val_1699_01658,MHA,81667,1,65804998,0
2010,GOV16901659,GOV0Y6Q1,69108843,55488351,458076,640609,13.95,val_1699_01659,2.43,1339,0.995,val_1699_01659,val_1699_01659,val_1699_01659,MoHFW,3916653,0,50880,0
2019,GOV16901660,GOVCS0W7,83285001,15155,70230,588951,89.5,val_1699_01660,0.96,3355,4.858,val_1699_01660,val_1699_01660,val_1699_01660,MoE,354618,0,643754507,0
2023,GOV16901661,GOVKPMIY,650415504,8569251,790814130,750999,74.87,val_1699_01661,2.625,697,1.187,val_1699_01661,val_1699_01661,val_1699_01661,MoHFW,2510796,0,967549,0
2020,GOV16901662,GOV1A11J,36471946,35498,772745,57514637,33.7,val_1699_01662,1.759,1508,0.49,val_1699_01662,val_1699_01662,val_1699_01662,MoRTH,550854188,0,6262168,1
2025,GOV16901663,GOV8Q3NK,45553965,33233,59614301,49683165,11.1,val_1699_01663,3.079,1459,1.803,val_1699_01663,val_1699_01663,val_1699_01663,MeitY,409898,1,629282,0
2020,GOV16901664,GOV6ZBD8,3876821,450691651,4042686,434545,42.51,val_1699_01664,2.869,3367,2.811,val_1699_01664,val_1699_01664,val_1699_01664,MoRTH,24951737,1,5086206,0
2022,GOV16901665,GOV0M8FW,74877,449624,3999111,370586899,43.42,val_1699_01665,4.577,571,0.738,val_1699_01665,val_1699_01665,val_1699_01665,MoRTH,73788858,1,420747,1
2011,GOV16901666,GOVT02NG,545961431,37018195,394401142,327731035,80.01,val_1699_01666,0.201,3408,2.675,val_1699_01666,val_1699_01666,val_1699_01666,MoHUA,43816,1,339890377,1
2014,GOV16901667,GOV2HEGV,504028386,5797445,2424026,30031010,3.68,val_1699_01667,4.946,914,3.495,val_1699_01667,val_1699_01667,val_1699_01667,MoRD,6692396,1,53215868,1
2013,GOV16901668,GOVATME0,730301444,4711229,50485871,32156,40.2,val_1699_01668,2.89,128,2.022,val_1699_01668,val_1699_01668,val_1699_01668,MNRE,74015208,0,7651294,0
2023,GOV16901669,GOV922W0,611577,83791,66526609,5271984,59.2,val_1699_01669,2.72,410,3.812,val_1699_01669,val_1699_01669,val_1699_01669,MoHFW,32717,1,67340102,0
2011,GOV16901670,GOVT28UA,54932,597280,511175199,13018,48.32,val_1699_01670,1.396,252,0.629,val_1699_01670,val_1699_01670,val_1699_01670,MHA,414041641,1,569601213,1
2026,GOV16901671,GOVKNZW0,77972881,605258,4680999,520015303,26.11,val_1699_01671,0.274,1511,3.662,val_1699_01671,val_1699_01671,val_1699_01671,MoRD,58028,0,828167,0
2026,GOV16901672,GOVGD0Q1,4337044,62360676,82725127,695395523,9.01,val_1699_01672,0.483,1952,1.461,val_1699_01672,val_1699_01672,val_1699_01672,MoRD,5065224,0,79380999,1
2022,GOV16901673,GOVN64X3,55057,66336,42920956,949370,61.12,val_1699_01673,4.304,3543,1.666,val_1699_01673,val_1699_01673,val_1699_01673,MoRTH,81022,0,597646619,1
2025,GOV16901674,GOVS4I8M,3292387,42980,531570345,76055,63.23,val_1699_01674,3.533,2216,2.151,val_1699_01674,val_1699_01674,val_1699_01674,MoHUA,5618766,0,57211,1
2015,GOV16901675,GOV8HA4N,706668832,199547643,44456,491123797,45.66,val_1699_01675,4.066,2466,3.496,val_1699_01675,val_1699_01675,val_1699_01675,DoPT,294239711,1,46282,1
2025,GOV16901676,GOVMNIGP,50598,587917960,956753,912264,71.39,val_1699_01676,2.797,2047,1.566,val_1699_01676,val_1699_01676,val_1699_01676,MHA,54112,1,438980323,1
2018,GOV16901677,GOVVAUXB,29042,6957539,4748189,702045590,18.58,val_1699_01677,1.302,540,1.285,val_1699_01677,val_1699_01677,val_1699_01677,MOF,27803,1,45692969,0
2020,GOV16901678,GOVN5G6H,22600,452919542,65314670,7952947,3.62,val_1699_01678,2.548,1774,4.669,val_1699_01678,val_1699_01678,val_1699_01678,MNRE,200439006,0,461790882,1
2019,GOV16901679,GOVJR4K6,56812,25226617,40990137,683286,71.67,val_1699_01679,4.24,1799,0.793,val_1699_01679,val_1699_01679,val_1699_01679,MHA,27669150,0,39771903,0
2021,GOV16901680,GOVZH3ZO,821053848,41262,367861300,81079190,88.3,val_1699_01680,3.097,3291,2.406,val_1699_01680,val_1699_01680,val_1699_01680,MoRD,45779119,1,676761,0
2024,GOV16901681,GOV3WO4D,3399237,80378,2341495,406635,35.06,val_1699_01681,4.307,189,3.652,val_1699_01681,val_1699_01681,val_1699_01681,MoRD,37505911,1,2255075,1
2022,GOV16901682,GOV2I3XL,67237,5359,44696,2560165,31.37,val_1699_01682,1.048,2055,1.927,val_1699_01682,val_1699_01682,val_1699_01682,MoHUA,49704,0,640032,1
2017,GOV16901683,GOV0UMSC,455655,401995,430052,4432868,99.5,val_1699_01683,1.422,2712,3.267,val_1699_01683,val_1699_01683,val_1699_01683,MoRD,647139,1,85313,0
2015,GOV16901684,GOV42V8T,3473417,9527116,490108415,69602,64.32,val_1699_01684,2.256,1966,1.849,val_1699_01684,val_1699_01684,val_1699_01684,MoE,3080303,0,424539,0
2017,GOV16901685,GOVSAADU,59864726,34737,236347729,48236,16.45,val_1699_01685,4.024,3221,4.508,val_1699_01685,val_1699_01685,val_1699_01685,MoRD,5487152,1,69006696,1
2020,GOV16901686,GOV044XA,69527,662163,428601,52825523,49.35,val_1699_01686,1.563,963,3.699,val_1699_01686,val_1699_01686,val_1699_01686,MNRE,49440,0,45897,0
2021,GOV16901687,GOV7YZID,4551380,30224619,64330,59070,53.77,val_1699_01687,1.288,904,2.132,val_1699_01687,val_1699_01687,val_1699_01687,MOF,293126545,1,508938,0
2011,GOV16901688,GOVXG4M8,31014,633485,517565,817037,56.62,val_1699_01688,3.048,1551,4.158,val_1699_01688,val_1699_01688,val_1699_01688,MoE,660502,0,6539180,0
2013,GOV16901689,GOVQLZ5N,56281369,37515586,56759348,2387150,17.53,val_1699_01689,3.601,2325,3.648,val_1699_01689,val_1699_01689,val_1699_01689,MNRE,347301,1,60463635,0
2016,GOV16901690,GOVLL7H7,772832,351513396,517858664,13411,26.56,val_1699_01690,3.878,222,2.703,val_1699_01690,val_1699_01690,val_1699_01690,MoRD,842878929,0,6259103,0
2024,GOV16901691,GOV3DKPG,703202,50441950,196568,808658,51.62,val_1699_01691,0.433,10,1.491,val_1699_01691,val_1699_01691,val_1699_01691,MoHUA,16945788,0,525252,0
2021,GOV16901692,GOVSIIB5,704083906,757456,36328,345913,73.47,val_1699_01692,0.947,1919,2.892,val_1699_01692,val_1699_01692,val_1699_01692,MOF,143711042,0,4880989,0
2010,GOV16901693,GOVMUSYQ,82839,5705933,1192731,24957,74.63,val_1699_01693,2.556,2366,3.686,val_1699_01693,val_1699_01693,val_1699_01693,MoHFW,605704,1,167525664,1
2019,GOV16901694,GOVRLX0H,30433530,364350675,59407075,52229,50.17,val_1699_01694,2.378,1384,3.167,val_1699_01694,val_1699_01694,val_1699_01694,MOF,81357112,1,518253,0
2017,GOV16901695,GOVE6KNR,596846310,610324,276392184,425922,74.71,val_1699_01695,0.471,1658,4.838,val_1699_01695,val_1699_01695,val_1699_01695,MoE,4258150,1,657382,0
2021,GOV16901696,GOVPISLA,6705528,42694383,2508153,406619,41.76,val_1699_01696,0.442,3554,1.487,val_1699_01696,val_1699_01696,val_1699_01696,MoRD,82070502,0,71909,1
2010,GOV16901697,GOV0U7R0,67404,350614,82148933,5134824,5.31,val_1699_01697,3.947,1209,2.014,val_1699_01697,val_1699_01697,val_1699_01697,MOF,475940,0,26745279,0
2017,GOV16901698,GOV7FXBF,32067,79154,65661671,478881137,3.22,val_1699_01698,2.64,47,2.138,val_1699_01698,val_1699_01698,val_1699_01698,MoHFW,3473921,0,716809,1
2017,GOV16901699,GOVPJE5Z,637075030,25575,6317700,78786,26.93,val_1699_01699,3.85,1734,2.66,val_1699_01699,val_1699_01699,val_1699_01699,DoPT,362445058,0,5209567,0
2026,GOV16901700,GOVBDTTS,512365,130604,814642,50434,41.73,val_1699_01700,0.571,2123,2.523,val_1699_01700,val_1699_01700,val_1699_01700,MoRD,345622,1,519244,0
2019,GOV16901701,GOVW5VNJ,43010819,43792668,570145582,8221949,64.43,val_1699_01701,4.829,862,4.347,val_1699_01701,val_1699_01701,val_1699_01701,MoHFW,2047357,0,18192,1
2024,GOV16901702,GOVL69ND,701572998,41602924,60685024,42288333,45.55,val_1699_01702,1.395,993,3.848,val_1699_01702,val_1699_01702,val_1699_01702,MoHFW,57777,1,24338,1
2012,GOV16901703,GOVFTCUD,5053901,343708711,7095008,539680499,86.32,val_1699_01703,2.183,3042,4.462,val_1699_01703,val_1699_01703,val_1699_01703,MNRE,472554397,1,7953386,0
2013,GOV16901704,GOVJBGHO,859414776,41372663,58558381,344652970,9.83,val_1699_01704,0.745,2629,4.424,val_1699_01704,val_1699_01704,val_1699_01704,MoRD,61105561,1,22734509,0
2017,GOV16901705,GOVO2UI2,4856372,519481066,411419069,51240561,64.75,val_1699_01705,0.492,1418,2.753,val_1699_01705,val_1699_01705,val_1699_01705,MNRE,138883865,1,604647523,1
2023,GOV16901706,GOV5D01A,351133717,50955,7285993,684137706,74.43,val_1699_01706,4.526,929,0.008,val_1699_01706,val_1699_01706,val_1699_01706,MoHUA,446244,1,604918216,0
2022,GOV16901707,GOVI4WH8,3526270,391464,42105421,46619327,5.36,val_1699_01707,3.064,1778,4.696,val_1699_01707,val_1699_01707,val_1699_01707,MoRD,144267,0,56555338,0
2010,GOV16901708,GOVP9PZ8,480241,512931185,50875852,241982599,94.38,val_1699_01708,1.456,2776,2.546,val_1699_01708,val_1699_01708,val_1699_01708,MoE,8613,0,49139,0
2025,GOV16901709,GOVBWK4Y,35936451,79233,64998,492470349,68.23,val_1699_01709,3.976,1331,0.695,val_1699_01709,val_1699_01709,val_1699_01709,MoRD,653970,1,51565,1
2017,GOV16901710,GOVCABZ8,203738,38789,573755587,432243,1.53,val_1699_01710,0.825,525,1.928,val_1699_01710,val_1699_01710,val_1699_01710,MOF,533597153,1,413015769,1
2023,GOV16901711,GOVPZ53E,335889616,6094393,64547,68417008,25.2,val_1699_01711,0.116,2416,2.442,val_1699_01711,val_1699_01711,val_1699_01711,MoRD,315086057,0,4184344,1
2011,GOV16901712,GOVPUZ3Q,3748163,660613816,7462088,18608568,39.01,val_1699_01712,0.447,3555,0.62,val_1699_01712,val_1699_01712,val_1699_01712,DoPT,39542,1,9863,1
2021,GOV16901713,GOVDQLSM,171488331,29358887,501073,2183738,23.7,val_1699_01713,2.846,515,1.799,val_1699_01713,val_1699_01713,val_1699_01713,MoHUA,21649,1,218764,1
2017,GOV16901714,GOVLYYAQ,40981,199532,332999,56340,79.77,val_1699_01714,2.875,3228,0.538,val_1699_01714,val_1699_01714,val_1699_01714,MoHFW,42664944,0,27268955,0
2018,GOV16901715,GOVT8RNH,384202,481132730,83175,381127763,31.45,val_1699_01715,2.908,1819,2.959,val_1699_01715,val_1699_01715,val_1699_01715,MoHUA,485314716,0,54193,0
2010,GOV16901716,GOV3ZWXJ,37158,36084,6365357,8537589,81.37,val_1699_01716,1.915,1700,0.617,val_1699_01716,val_1699_01716,val_1699_01716,MOF,484402902,1,63143,1
2011,GOV16901717,GOVF4O4L,5938711,3180295,41129602,309397,97.56,val_1699_01717,0.419,1973,4.293,val_1699_01717,val_1699_01717,val_1699_01717,MoHFW,34715,1,6076135,0
2018,GOV16901718,GOVF2P4R,501862,69859,272966,7529,31.29,val_1699_01718,3.76,2115,1.318,val_1699_01718,val_1699_01718,val_1699_01718,MoE,51458549,1,432603279,0
2022,GOV16901719,GOVWKOML,4130291,4351531,346476014,38126,87.78,val_1699_01719,1.475,1712,0.336,val_1699_01719,val_1699_01719,val_1699_01719,MHA,43901323,1,593608,0
2019,GOV16901720,GOVWSLQM,1757940,554721,53163,24370097,3.88,val_1699_01720,3.525,2346,3.012,val_1699_01720,val_1699_01720,val_1699_01720,MoHUA,32609,1,34722942,0
2017,GOV16901721,GOVZPGGZ,298182217,562554,4225081,6284668,50.36,val_1699_01721,0.086,34,2.043,val_1699_01721,val_1699_01721,val_1699_01721,MoE,58987,0,4974680,0
2019,GOV16901722,GOVVLL9A,772358466,51528,44637,52117,21.86,val_1699_01722,4.271,1053,4.81,val_1699_01722,val_1699_01722,val_1699_01722,MoRD,675786606,0,571964,1
2019,GOV16901723,GOVA3BSA,1072147,1002404,606341173,64934,86.27,val_1699_01723,4.331,1215,0.145,val_1699_01723,val_1699_01723,val_1699_01723,MoHUA,4514724,0,57974686,1
2010,GOV16901724,GOVVOFFG,436719670,471357,278094,72152036,21.0,val_1699_01724,0.578,3538,3.68,val_1699_01724,val_1699_01724,val_1699_01724,DoPT,57433,1,16775,0
2016,GOV16901725,GOVQGVTY,332401,219215,655597,6455074,95.64,val_1699_01725,4.628,281,0.332,val_1699_01725,val_1699_01725,val_1699_01725,MoHFW,597704291,0,46204494,1
2025,GOV16901726,GOVYC0VP,53745,88152,41491,327172940,12.65,val_1699_01726,3.745,2524,0.189,val_1699_01726,val_1699_01726,val_1699_01726,MoHUA,73478308,1,7363538,0
2025,GOV16901727,GOV7TQNR,61433,473227,8947768,76421,11.97,val_1699_01727,1.109,390,4.893,val_1699_01727,val_1699_01727,val_1699_01727,MoRTH,33859,0,856080,0
2025,GOV16901728,GOVZT5P0,53828072,232336002,5455050,6143751,96.12,val_1699_01728,1.144,2117,3.932,val_1699_01728,val_1699_01728,val_1699_01728,MHA,6228321,0,5996157,0
2011,GOV16901729,GOV0PQ97,68464159,44660223,620668352,4953928,88.0,val_1699_01729,2.739,826,0.934,val_1699_01729,val_1699_01729,val_1699_01729,MHA,719933645,0,69978591,0
2016,GOV16901730,GOV1L1D9,2120190,2109101,784420,79524,55.14,val_1699_01730,0.973,1917,2.678,val_1699_01730,val_1699_01730,val_1699_01730,MOF,35642235,0,57586,1
2026,GOV16901731,GOVTCTNK,2440604,244308,63612658,254031206,28.37,val_1699_01731,2.314,612,2.127,val_1699_01731,val_1699_01731,val_1699_01731,MoHFW,27172184,0,73718872,1
2014,GOV16901732,GOVFM5AJ,362201,776862553,54199,87979632,7.41,val_1699_01732,2.221,355,4.409,val_1699_01732,val_1699_01732,val_1699_01732,MoHFW,399755,0,71826528,1
2010,GOV16901733,GOVFYIGY,44528793,7715774,32730,499023783,83.43,val_1699_01733,1.666,94,2.419,val_1699_01733,val_1699_01733,val_1699_01733,MoRTH,4591312,1,39254337,0
2012,GOV16901734,GOVD23RS,448498559,397163,39676009,560907372,2.66,val_1699_01734,4.475,1272,4.325,val_1699_01734,val_1699_01734,val_1699_01734,MeitY,77495362,0,49403,0
2026,GOV16901735,GOVBZZS0,70736,673087716,342806,501601062,12.43,val_1699_01735,0.994,2264,0.867,val_1699_01735,val_1699_01735,val_1699_01735,MoHFW,85038,1,585658,1
2015,GOV16901736,GOVS57OS,5000839,407596,23880694,607846,67.82,val_1699_01736,3.206,540,0.595,val_1699_01736,val_1699_01736,val_1699_01736,MNRE,425368,0,278364207,0
2024,GOV16901737,GOV2ZFPX,637888,35773,8390573,274796814,69.2,val_1699_01737,2.925,289,1.277,val_1699_01737,val_1699_01737,val_1699_01737,MeitY,41306,1,6235608,1
2013,GOV16901738,GOV9C6DA,87961088,51957543,805519548,56078699,28.48,val_1699_01738,4.57,2473,2.38,val_1699_01738,val_1699_01738,val_1699_01738,MoRTH,6548172,0,307276,1
2018,GOV16901739,GOVVM6F1,72029249,6828731,269802,323784334,64.54,val_1699_01739,2.96,31,4.701,val_1699_01739,val_1699_01739,val_1699_01739,MoHFW,674890,1,777055,1
2010,GOV16901740,GOV7OAUP,713931,4322825,348093073,7263194,83.95,val_1699_01740,3.159,2212,4.422,val_1699_01740,val_1699_01740,val_1699_01740,MoRD,48724,0,22098832,0
2020,GOV16901741,GOVC2UPZ,19765697,6525131,4853405,6983948,58.87,val_1699_01741,3.176,1128,2.84,val_1699_01741,val_1699_01741,val_1699_01741,DoPT,302338869,1,20666,0
2026,GOV16901742,GOVF7791,229342,58217526,39696956,70773287,10.33,val_1699_01742,2.142,3540,0.612,val_1699_01742,val_1699_01742,val_1699_01742,MHA,5577349,1,731846029,1
2021,GOV16901743,GOVJX2NE,333264090,63003,6613686,391911428,37.46,val_1699_01743,1.911,2888,1.676,val_1699_01743,val_1699_01743,val_1699_01743,MoHUA,64663,0,64760912,0
2013,GOV16901744,GOVCWJLQ,71073,5732094,4559811,47770346,24.72,val_1699_01744,0.373,3061,1.252,val_1699_01744,val_1699_01744,val_1699_01744,MoHUA,612596849,0,378333342,1
2013,GOV16901745,GOVQUSD4,436524,4918595,28197,72688695,71.48,val_1699_01745,2.184,1327,0.416,val_1699_01745,val_1699_01745,val_1699_01745,MoRTH,71016913,0,282906,0
2019,GOV16901746,GOVR4JJU,767940147,5841369,596555767,558498,47.43,val_1699_01746,4.792,2933,0.166,val_1699_01746,val_1699_01746,val_1699_01746,MNRE,6859217,0,325701830,0
2015,GOV16901747,GOVGYWPV,718096253,738019174,563983,52864380,67.67,val_1699_01747,2.195,1593,2.722,val_1699_01747,val_1699_01747,val_1699_01747,MHA,722995,1,953066,0
2023,GOV16901748,GOV9GBWK,570931464,49070302,373150,37799,43.2,val_1699_01748,4.665,679,0.123,val_1699_01748,val_1699_01748,val_1699_01748,DoPT,398144048,0,5774201,0
2012,GOV16901749,GOV4GXVJ,580217,356027,610425820,44816,69.49,val_1699_01749,0.298,1403,3.264,val_1699_01749,val_1699_01749,val_1699_01749,MeitY,521719,0,749589,1
2020,GOV16901750,GOVZLQF7,89942,38741,521719,263040,96.64,val_1699_01750,0.73,1011,0.814,val_1699_01750,val_1699_01750,val_1699_01750,MoRTH,384983013,1,48200,1
2019,GOV16901751,GOV31ZMJ,309357,738907745,86385513,50466321,90.94,val_1699_01751,1.319,1775,0.848,val_1699_01751,val_1699_01751,val_1699_01751,DoPT,47153,1,68447,1
2024,GOV16901752,GOVWZQLM,5783723,4771455,84379263,665415219,70.55,val_1699_01752,0.837,2192,3.822,val_1699_01752,val_1699_01752,val_1699_01752,MeitY,767266484,1,59006236,0
2023,GOV16901753,GOV8LN8K,905685179,175711017,275644,64517,64.12,val_1699_01753,3.073,1553,0.815,val_1699_01753,val_1699_01753,val_1699_01753,MOF,45365202,1,564785,1
2010,GOV16901754,GOV2ZIBW,345424904,876871010,742296,48342,77.52,val_1699_01754,4.053,1082,3.156,val_1699_01754,val_1699_01754,val_1699_01754,MNRE,20537068,1,5925823,0
2015,GOV16901755,GOVVIXSL,572786481,3119213,1562238,673772732,13.28,val_1699_01755,0.235,584,1.588,val_1699_01755,val_1699_01755,val_1699_01755,MNRE,814247,0,5404875,1
2013,GOV16901756,GOV0QPVG,29321356,52334,609439201,135857,12.99,val_1699_01756,2.318,1295,3.666,val_1699_01756,val_1699_01756,val_1699_01756,MNRE,935324973,1,509351168,0
2022,GOV16901757,GOVBAOAJ,449257393,494959,394740,351560,92.1,val_1699_01757,2.273,809,0.338,val_1699_01757,val_1699_01757,val_1699_01757,MNRE,46314,0,64211,0
2010,GOV16901758,GOVAPU0T,43302752,3575858,44505096,56502207,59.78,val_1699_01758,2.369,2359,2.565,val_1699_01758,val_1699_01758,val_1699_01758,MoRTH,45789182,0,698291152,0
2024,GOV16901759,GOVL5DHW,50876046,68214820,56239959,338478418,77.19,val_1699_01759,3.639,2881,4.42,val_1699_01759,val_1699_01759,val_1699_01759,MoHUA,400906089,1,6547986,1
2022,GOV16901760,GOVMU5AD,26019168,491069893,3900656,29400,96.45,val_1699_01760,0.744,2828,4.218,val_1699_01760,val_1699_01760,val_1699_01760,MeitY,42131499,0,28174,0
2017,GOV16901761,GOVY5WPA,42324143,30413,33776,696383,31.36,val_1699_01761,0.495,936,1.229,val_1699_01761,val_1699_01761,val_1699_01761,MOF,37415208,1,4388304,1
2024,GOV16901762,GOVSJ9DJ,45053967,505651648,33870,894326477,44.26,val_1699_01762,4.684,1128,2.067,val_1699_01762,val_1699_01762,val_1699_01762,MOF,331931249,1,61117129,0
2011,GOV16901763,GOVY3T40,651903932,431566814,5618122,449012594,93.81,val_1699_01763,0.136,1903,0.002,val_1699_01763,val_1699_01763,val_1699_01763,MNRE,333234526,0,608982,0
2022,GOV16901764,GOVKIOC5,3821191,36577055,47873,56497079,54.93,val_1699_01764,1.598,2026,3.85,val_1699_01764,val_1699_01764,val_1699_01764,DoPT,2207058,0,18203480,0
2020,GOV16901765,GOV7N4VR,273124,726134687,298054555,454430314,88.8,val_1699_01765,0.601,2499,4.079,val_1699_01765,val_1699_01765,val_1699_01765,MNRE,55479839,0,603483009,0
2019,GOV16901766,GOV4YBN8,437077043,4069254,2703470,79602988,22.13,val_1699_01766,4.928,542,3.397,val_1699_01766,val_1699_01766,val_1699_01766,MoHFW,487716180,1,349208191,0
2018,GOV16901767,GOVQCZC9,37398436,23404,58890,5094324,14.64,val_1699_01767,3.431,1346,0.719,val_1699_01767,val_1699_01767,val_1699_01767,MoHUA,667725,1,98766823,0
2014,GOV16901768,GOVHNTZ1,343931771,431864706,624271,53962,29.44,val_1699_01768,4.937,2429,2.704,val_1699_01768,val_1699_01768,val_1699_01768,MoRTH,296510,1,42902,0
2012,GOV16901769,GOVN3TK2,977600236,467493,223062870,8615859,74.61,val_1699_01769,3.285,2692,1.259,val_1699_01769,val_1699_01769,val_1699_01769,MoRD,17505,0,5035303,1
2011,GOV16901770,GOV9B8CI,9241199,76704,82276,61970381,8.86,val_1699_01770,4.159,9,4.564,val_1699_01770,val_1699_01770,val_1699_01770,DoPT,8104057,0,41861,1
2014,GOV16901771,GOVXJV1H,4025588,525912,36988,440676,52.75,val_1699_01771,3.743,2249,4.672,val_1699_01771,val_1699_01771,val_1699_01771,MOF,4204830,0,5119012,0
2015,GOV16901772,GOVELZRQ,696678858,331311,90006870,88704004,56.4,val_1699_01772,1.134,441,1.237,val_1699_01772,val_1699_01772,val_1699_01772,MoRTH,5515182,0,40768353,1
2013,GOV16901773,GOVWHW7V,117078,232729,77602831,205461,21.02,val_1699_01773,3.914,1456,0.428,val_1699_01773,val_1699_01773,val_1699_01773,MoE,5360070,0,27724,0
2024,GOV16901774,GOVP8HS9,7449517,379154,342288892,497893,55.02,val_1699_01774,0.441,1755,4.153,val_1699_01774,val_1699_01774,val_1699_01774,MOF,476666502,0,5263634,0
2017,GOV16901775,GOVOHCK1,417025305,7082187,61543373,65136849,94.8,val_1699_01775,3.839,1761,2.648,val_1699_01775,val_1699_01775,val_1699_01775,MoRD,523099,0,295150,0
2026,GOV16901776,GOVECU4A,43295,7580077,309394999,5607,4.85,val_1699_01776,4.087,3493,3.875,val_1699_01776,val_1699_01776,val_1699_01776,MOF,34726,0,72003722,1
2010,GOV16901777,GOV7U4LX,4776789,58840576,5779872,26947,33.29,val_1699_01777,1.425,3209,1.133,val_1699_01777,val_1699_01777,val_1699_01777,MeitY,800822934,1,52714,1
2011,GOV16901778,GOV43J85,24814503,416385,19640823,206762494,58.16,val_1699_01778,2.303,1391,4.577,val_1699_01778,val_1699_01778,val_1699_01778,MHA,48251,0,48927,0
2016,GOV16901779,GOVP4TIF,5350252,69788,681760142,72604963,86.84,val_1699_01779,4.317,45,4.492,val_1699_01779,val_1699_01779,val_1699_01779,DoPT,4419068,0,65714102,1
2020,GOV16901780,GOV0OFLE,49045649,572098,16689,32445079,98.36,val_1699_01780,4.417,3263,1.878,val_1699_01780,val_1699_01780,val_1699_01780,MoHUA,32372,0,3738714,0
2014,GOV16901781,GOVF5COO,377716130,85787,809492,44469992,81.78,val_1699_01781,1.601,2207,2.22,val_1699_01781,val_1699_01781,val_1699_01781,MoHUA,611397545,0,39049,1
2016,GOV16901782,GOVSE51H,7977154,494267,6778697,49108353,43.16,val_1699_01782,1.645,1909,3.834,val_1699_01782,val_1699_01782,val_1699_01782,MoE,38488,0,283068378,0
2021,GOV16901783,GOVW3UOY,70576540,589434,382710,59810723,64.58,val_1699_01783,3.68,721,3.014,val_1699_01783,val_1699_01783,val_1699_01783,MoE,3499840,0,24791243,1
2024,GOV16901784,GOV8KT8N,39501987,236753,37721,6778027,44.23,val_1699_01784,3.766,1314,4.235,val_1699_01784,val_1699_01784,val_1699_01784,MNRE,5061236,0,539237397,0
2026,GOV16901785,GOV34LGS,62496757,74597,6914463,63213899,50.71,val_1699_01785,4.417,3503,4.882,val_1699_01785,val_1699_01785,val_1699_01785,MNRE,4898547,1,333644,0
2025,GOV16901786,GOVF55OM,738678,5357865,8475199,50298084,74.31,val_1699_01786,1.353,1212,4.443,val_1699_01786,val_1699_01786,val_1699_01786,MoE,301456,0,43125,1
2026,GOV16901787,GOVYDHHA,57832846,29491,33080,287476,43.95,val_1699_01787,0.011,1975,1.349,val_1699_01787,val_1699_01787,val_1699_01787,MNRE,207345,0,63967,0
