demo_migflow_move_year,demo_migflow_origin_nuts_code,demo_migflow_destination_nuts_code,demo_migflow_movement_scope_code,demo_migflow_schengen_flag,demo_migflow_residence_permit_type,demo_migflow_citizenship_iso2,demo_migflow_age_at_move,demo_migflow_sex,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_employment_status_before_move,demo_migflow_employment_status_after_move,demo_migflow_commute_change_minutes,demo_migflow_distance_km_estimate,demo_migflow_cross_border_worker_flag,demo_migflow_inflow_count,demo_migflow_outflow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2023,DE4,NL78,INTRA_EU,1,WORK,EE,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-75,1201,0,33,71,1.0715,2022Q1
2024,EE785,ES99,EXTRA_EU,1,WORK,MT,63,M,4,PROTECTION,INACTIVE,INACTIVE,-111,1522,0,32,111,2.587,2024Q2
2025,SK11,SI71,INTERNAL,1,WORK,BG,66,F,5,FAMILY,STUDENT,STUDENT,114,597,0,61,84,1.4029,2026Q3
2026,PL87,EE989,CROSS_BORDER,1,WORK,IE,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-32,1190,0,67,116,2.4469,2023Q4
2015,BG531,HU92,INTRA_EU,1,WORK,SI,72,M,1,WORK,EMPLOYED,EMPLOYED,4,1784,0,48,119,2.0629,2026Q1
2016,RO365,HR71,EXTRA_EU,1,WORK,FI,75,F,2,OTHER,INACTIVE,INACTIVE,-64,2280,0,70,95,2.8441,2023Q2
2017,AT85,DE48,INTERNAL,1,WORK,NL,78,T,3,RETIREMENT,STUDENT,STUDENT,-72,1566,0,76,98,2.7866,2025Q3
2018,IT986,IT851,CROSS_BORDER,1,WORK,HR,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,46,1751,1,67,93,1.1774,2022Q4
2019,GR299,AT22,INTRA_EU,1,WORK,IT,84,F,5,FAMILY,EMPLOYED,EMPLOYED,-61,1447,0,67,108,0.553,2025Q1
2020,FR71,CZ358,EXTRA_EU,1,WORK,ES,87,T,6,STUDY,INACTIVE,INACTIVE,-26,2375,0,44,124,2.4814,2022Q2
2021,CZ722,HU193,INTERNAL,1,WORK,FR,0,M,1,WORK,STUDENT,STUDENT,52,336,0,60,115,1.2999,2024Q3
2022,IE74,RO434,CROSS_BORDER,1,WORK,PL,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-106,1422,1,71,103,1.886,2026Q4
2023,CY16,ES925,INTRA_EU,1,WORK,CY,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,65,2292,0,61,142,1.2042,2024Q1
2024,DE34,FI885,EXTRA_EU,1,WORK,LV,9,M,4,PROTECTION,INACTIVE,INACTIVE,36,1641,0,65,138,1.5092,2026Q2
2025,CZ64,MT255,INTERNAL,1,WORK,SE,12,F,5,FAMILY,STUDENT,STUDENT,-14,518,0,59,146,3.29,2023Q3
2026,DE56,MT225,CROSS_BORDER,0,WORK,DE,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,113,2375,1,84,131,2.0678,2025Q4
2015,SK47,CZ628,INTRA_EU,1,WORK,PT,18,M,1,WORK,EMPLOYED,EMPLOYED,-49,706,0,69,155,1.365,2023Q1
2016,PT34,MT762,EXTRA_EU,1,WORK,CZ,21,F,2,OTHER,INACTIVE,INACTIVE,89,778,0,67,160,0.5154,2025Q2
2017,ES27,CZ679,INTERNAL,1,WORK,LT,24,T,3,RETIREMENT,STUDENT,STUDENT,28,1698,0,70,131,3.2463,2022Q3
2018,LT780,CY468,CROSS_BORDER,1,WORK,AT,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,114,412,1,75,158,1.2876,2024Q4
2019,CZ196,IE872,INTRA_EU,1,WORK,GR,30,F,5,FAMILY,EMPLOYED,EMPLOYED,-62,1761,0,72,168,0.3314,2022Q1
2020,AT5,BE538,EXTRA_EU,0,WORK,RO,33,T,6,STUDY,INACTIVE,INACTIVE,67,129,0,82,148,1.8892,2024Q2
2021,RO475,SK888,INTERNAL,0,WORK,DK,36,M,1,WORK,STUDENT,STUDENT,-84,581,0,60,162,3.0718,2026Q3
2022,GR8,SE680,CROSS_BORDER,1,WORK,LU,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,8,1914,0,65,150,0.9927,2023Q4
2023,HR354,IE234,INTRA_EU,0,WORK,BE,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-92,578,0,82,146,3.1379,2026Q1
2024,LV81,SE271,EXTRA_EU,0,WORK,HU,45,M,4,PROTECTION,INACTIVE,INACTIVE,88,2553,0,91,159,1.4306,2023Q2
2025,FR2,RO696,INTERNAL,0,WORK,SK,48,F,5,FAMILY,STUDENT,STUDENT,52,1820,0,76,156,3.3535,2025Q3
2026,SK9,ES195,CROSS_BORDER,1,WORK,EE,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,111,665,1,77,188,1.654,2022Q4
2015,IE836,CZ644,INTRA_EU,1,WORK,MT,54,M,1,WORK,EMPLOYED,EMPLOYED,7,895,1,77,192,2.992,2025Q1
2016,IT760,CY704,EXTRA_EU,1,WORK,BG,57,F,2,OTHER,INACTIVE,INACTIVE,-94,71,0,91,182,0.8183,2022Q2
2017,SI291,CY636,INTERNAL,1,WORK,IE,60,T,3,RETIREMENT,STUDENT,STUDENT,89,1774,0,81,197,3.1436,2024Q3
2018,DE471,PL767,CROSS_BORDER,1,WORK,SI,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-114,114,1,95,169,1.9302,2026Q4
2019,NL796,SK557,INTRA_EU,1,WORK,FI,66,F,5,FAMILY,EMPLOYED,EMPLOYED,60,1715,0,85,171,2.468,2024Q1
2020,IT349,SI275,EXTRA_EU,0,WORK,NL,69,T,6,STUDY,INACTIVE,INACTIVE,-87,282,0,82,173,2.5606,2026Q2
2021,HR441,IE474,INTERNAL,1,WORK,HR,72,M,1,WORK,STUDENT,STUDENT,-98,1838,1,97,188,3.412,2023Q3
2022,HU792,MT397,CROSS_BORDER,1,WORK,IT,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,42,2258,1,93,215,0.913,2025Q4
2023,LV928,HR801,INTRA_EU,1,WORK,ES,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-48,2331,0,96,178,0.9708,2023Q1
2024,BE607,IE424,EXTRA_EU,1,WORK,FR,81,M,4,PROTECTION,INACTIVE,INACTIVE,-115,1152,0,86,212,1.1186,2025Q2
2025,LT867,FI252,INTERNAL,1,WORK,PL,84,F,5,FAMILY,STUDENT,STUDENT,-42,1256,0,70,210,1.4559,2022Q3
2026,BG134,IE210,CROSS_BORDER,0,WORK,CY,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,86,90,1,94,187,0.51,2024Q4
2015,FR379,MT487,INTRA_EU,1,WORK,LV,0,M,1,WORK,EMPLOYED,EMPLOYED,-92,821,0,91,213,1.3687,2022Q1
2016,HR248,IE371,EXTRA_EU,1,WORK,SE,3,F,2,OTHER,INACTIVE,INACTIVE,26,1247,0,101,202,2.4908,2024Q2
2017,SI883,HR654,INTERNAL,1,WORK,DE,6,T,3,RETIREMENT,STUDENT,STUDENT,-61,2449,0,99,225,0.7175,2026Q3
2018,BE845,BG990,CROSS_BORDER,1,WORK,PT,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-24,319,0,111,234,3.311,2023Q4
2019,SI439,SK426,INTRA_EU,1,WORK,CZ,12,F,5,FAMILY,EMPLOYED,EMPLOYED,63,2273,0,103,233,1.6553,2026Q1
2020,CZ333,HR319,EXTRA_EU,1,WORK,LT,15,T,6,STUDY,INACTIVE,INACTIVE,114,1524,0,88,237,1.8372,2023Q2
2021,LU598,DE334,INTERNAL,1,WORK,AT,18,M,1,WORK,STUDENT,STUDENT,-88,877,0,81,242,3.4071,2025Q3
2022,MT581,NL504,CROSS_BORDER,1,WORK,GR,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-4,2639,0,94,243,1.825,2022Q4
2023,PL323,DK740,INTRA_EU,1,WORK,RO,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-28,483,0,98,235,2.6656,2025Q1
2024,LV394,HR479,EXTRA_EU,1,WORK,DK,27,M,4,PROTECTION,INACTIVE,INACTIVE,10,351,0,108,231,1.1978,2022Q2
2025,BG268,DE369,INTERNAL,1,WORK,LU,30,F,5,FAMILY,STUDENT,STUDENT,110,130,0,117,245,2.7924,2024Q3
2026,LV690,SI810,CROSS_BORDER,1,WORK,BE,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-110,1020,0,103,254,2.8755,2026Q4
2015,BG963,DK106,INTRA_EU,1,WORK,HU,36,M,1,WORK,EMPLOYED,EMPLOYED,38,794,0,88,260,2.3402,2024Q1
2016,DE558,IE718,EXTRA_EU,1,WORK,SK,39,F,2,OTHER,INACTIVE,INACTIVE,-20,579,1,100,248,2.223,2026Q2
2017,ES600,FR283,INTERNAL,1,WORK,EE,42,T,3,RETIREMENT,STUDENT,STUDENT,29,753,0,120,252,1.1053,2023Q3
2018,CZ870,HU246,CROSS_BORDER,0,WORK,MT,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-62,2120,1,111,264,0.327,2025Q4
2019,CZ515,BG717,INTRA_EU,0,WORK,BG,48,F,5,FAMILY,EMPLOYED,EMPLOYED,69,1922,0,90,260,0.9311,2023Q1
2020,BE743,HR120,EXTRA_EU,1,WORK,IE,51,T,6,STUDY,INACTIVE,INACTIVE,-49,766,1,109,263,2.4838,2025Q2
2021,DK812,LT525,INTERNAL,1,WORK,SI,54,M,1,WORK,STUDENT,STUDENT,-34,902,0,105,262,3.2983,2022Q3
2022,AT151,DE748,CROSS_BORDER,0,WORK,FI,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-5,2119,0,118,276,2.5353,2024Q4
2023,EE711,LV885,INTRA_EU,1,WORK,NL,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,14,2208,0,127,260,2.3619,2022Q1
2024,CY722,GR341,EXTRA_EU,0,WORK,HR,63,M,4,PROTECTION,INACTIVE,INACTIVE,-86,438,0,93,255,1.7577,2024Q2
2025,NL375,SK43,INTERNAL,1,WORK,IT,66,F,5,FAMILY,STUDENT,STUDENT,50,42,0,93,295,1.2931,2026Q3
2026,NL831,MT10,CROSS_BORDER,1,WORK,ES,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-103,516,0,99,287,1.4746,2023Q4
2015,SK756,LT183,INTRA_EU,1,WORK,FR,72,M,1,WORK,EMPLOYED,EMPLOYED,57,68,0,111,18,3.3164,2026Q1
2016,PL238,IT502,EXTRA_EU,1,WORK,PL,75,F,2,OTHER,INACTIVE,INACTIVE,57,1277,0,121,45,0.5618,2023Q2
2017,DK998,CY6,INTERNAL,1,WORK,CY,78,T,3,RETIREMENT,STUDENT,STUDENT,-51,615,0,104,36,1.262,2025Q3
2018,ES476,HR69,CROSS_BORDER,0,WORK,LV,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,7,247,0,123,51,0.5629,2022Q4
2019,BG905,LU7,INTRA_EU,0,WORK,SE,84,F,5,FAMILY,EMPLOYED,EMPLOYED,-90,2061,0,98,38,1.075,2025Q1
2020,IE682,MT2,EXTRA_EU,1,WORK,DE,87,T,6,STUDY,INACTIVE,INACTIVE,78,197,0,117,41,2.8147,2022Q2
2021,MT204,EE7,INTERNAL,1,WORK,PT,0,M,1,WORK,STUDENT,STUDENT,-58,556,0,124,57,2.7726,2024Q3
2022,LT586,GR44,CROSS_BORDER,1,WORK,CZ,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,37,1982,0,104,46,2.3451,2026Q4
2023,LU341,LU427,INTRA_EU,1,WORK,LT,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,84,937,0,108,65,1.7154,2024Q1
2024,ES385,PT13,EXTRA_EU,1,WORK,AT,9,M,4,PROTECTION,INACTIVE,INACTIVE,69,2053,0,139,48,1.1356,2026Q2
2025,SK403,HU23,INTERNAL,0,WORK,GR,12,F,5,FAMILY,STUDENT,STUDENT,-79,1166,0,122,75,0.6879,2023Q3
2026,NL142,HU824,CROSS_BORDER,0,WORK,RO,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,54,789,1,137,72,2.757,2025Q4
2015,CZ858,LU79,INTRA_EU,1,WORK,DK,18,M,1,WORK,EMPLOYED,EMPLOYED,-86,1018,0,122,70,2.5059,2023Q1
2016,CY510,LT20,EXTRA_EU,0,WORK,LU,21,F,2,OTHER,INACTIVE,INACTIVE,-96,2094,0,117,80,1.4751,2025Q2
2017,BG591,ES791,INTERNAL,1,WORK,BE,24,T,3,RETIREMENT,STUDENT,STUDENT,89,1949,1,123,71,1.0745,2022Q3
2018,BE892,FI118,CROSS_BORDER,1,WORK,HU,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-51,815,0,133,87,1.2473,2024Q4
2019,PL1,FR37,INTRA_EU,0,WORK,SK,30,F,5,FAMILY,EMPLOYED,EMPLOYED,83,1359,0,118,80,0.5925,2022Q1
2020,CY281,LT5,EXTRA_EU,1,WORK,EE,33,T,6,STUDY,INACTIVE,INACTIVE,-81,846,0,132,79,0.6495,2024Q2
2021,BG4,CY38,INTERNAL,1,WORK,MT,36,M,1,WORK,STUDENT,STUDENT,31,115,0,113,90,0.3371,2026Q3
2022,RO963,LV2,CROSS_BORDER,1,WORK,BG,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,68,1651,0,115,92,3.0877,2023Q4
2023,RO64,EE217,INTRA_EU,1,WORK,IE,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,52,1271,0,141,100,2.3928,2026Q1
2024,HR7,SI3,EXTRA_EU,0,WORK,SI,45,M,4,PROTECTION,INACTIVE,INACTIVE,71,1502,0,150,91,2.4433,2023Q2
2025,FI8,FI738,INTERNAL,1,WORK,FI,48,F,5,FAMILY,STUDENT,STUDENT,-12,496,0,142,84,3.3826,2025Q3
2026,BG595,PT678,CROSS_BORDER,1,WORK,NL,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,75,2549,1,156,100,1.1644,2022Q4
2015,BE441,EE6,INTRA_EU,1,WORK,HR,54,M,1,WORK,EMPLOYED,EMPLOYED,82,354,0,139,104,0.9709,2025Q1
2016,FI62,EE2,EXTRA_EU,1,WORK,IT,57,F,2,OTHER,INACTIVE,INACTIVE,104,1302,0,128,112,1.9959,2022Q2
2017,RO292,BE28,INTERNAL,1,WORK,ES,60,T,3,RETIREMENT,STUDENT,STUDENT,39,1515,1,126,107,3.0248,2024Q3
2018,HU93,LU8,CROSS_BORDER,1,WORK,FR,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,98,2695,1,123,104,2.857,2026Q4
2019,SE6,GR77,INTRA_EU,1,WORK,PL,66,F,5,FAMILY,EMPLOYED,EMPLOYED,-32,2278,0,136,118,1.9358,2024Q1
2020,MT637,BE61,EXTRA_EU,1,WORK,CY,69,T,6,STUDY,INACTIVE,INACTIVE,51,2579,0,133,131,1.9572,2026Q2
2021,CY9,LU36,INTERNAL,1,WORK,LV,72,M,1,WORK,STUDENT,STUDENT,117,2035,0,155,134,0.5817,2023Q3
2022,HU42,BG91,CROSS_BORDER,1,WORK,SE,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,108,2587,0,148,121,2.8228,2025Q4
2023,HR3,IE83,INTRA_EU,0,WORK,DE,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,113,543,0,143,138,1.8755,2023Q1
2024,HU88,HU7,EXTRA_EU,1,WORK,PT,81,M,4,PROTECTION,INACTIVE,INACTIVE,-47,1125,0,143,148,1.0849,2025Q2
2025,SI61,RO972,INTERNAL,1,WORK,CZ,84,F,5,FAMILY,STUDENT,STUDENT,-48,221,1,128,138,2.1186,2022Q3
2026,AT582,MT905,CROSS_BORDER,0,WORK,LT,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,116,560,1,163,144,0.7029,2024Q4
2015,SE993,LT308,INTRA_EU,1,WORK,AT,0,M,1,WORK,EMPLOYED,EMPLOYED,-3,1496,0,143,151,1.7804,2022Q1
2016,SI195,NL4,EXTRA_EU,1,WORK,GR,3,F,2,OTHER,INACTIVE,INACTIVE,106,2308,0,149,147,0.3662,2024Q2
2017,GR40,MT191,INTERNAL,1,WORK,RO,6,T,3,RETIREMENT,STUDENT,STUDENT,-89,95,0,148,127,1.7969,2026Q3
2018,SE9,DK634,CROSS_BORDER,0,WORK,DK,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-56,1455,0,135,134,2.7181,2023Q4
2019,PT92,IT20,INTRA_EU,1,WORK,LU,12,F,5,FAMILY,EMPLOYED,EMPLOYED,93,2521,0,148,141,2.9957,2026Q1
2020,SI446,DK525,EXTRA_EU,1,WORK,BE,15,T,6,STUDY,INACTIVE,INACTIVE,-1,132,0,144,160,3.347,2023Q2
2021,IT4,FR8,INTERNAL,1,WORK,HU,18,M,1,WORK,STUDENT,STUDENT,120,431,0,154,150,0.698,2025Q3
2022,AT939,AT941,CROSS_BORDER,1,WORK,SK,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-106,896,1,140,155,2.6985,2022Q4
2023,RO131,SK344,INTRA_EU,0,WORK,EE,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,78,2399,0,178,182,1.9272,2025Q1
2024,EE83,DK587,EXTRA_EU,1,WORK,MT,27,M,4,PROTECTION,INACTIVE,INACTIVE,-52,638,0,175,169,0.7969,2022Q2
2025,EE73,PL50,INTERNAL,0,WORK,BG,30,F,5,FAMILY,STUDENT,STUDENT,-11,376,0,171,187,3.213,2024Q3
2026,SK2,CZ886,CROSS_BORDER,1,WORK,IE,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,65,1080,1,160,191,2.5357,2026Q4
2015,EE4,BG380,INTRA_EU,0,WORK,SI,36,M,1,WORK,EMPLOYED,EMPLOYED,62,2557,0,171,188,3.1027,2024Q1
2016,CZ83,IE1,EXTRA_EU,1,WORK,FI,39,F,2,OTHER,INACTIVE,INACTIVE,65,795,0,174,177,2.4794,2026Q2
2017,BE901,DK415,INTERNAL,0,WORK,NL,42,T,3,RETIREMENT,STUDENT,STUDENT,85,593,0,150,195,1.0315,2023Q3
2018,HU3,EE3,CROSS_BORDER,0,WORK,HR,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,118,1151,0,183,178,1.5612,2025Q4
2019,FI56,SK73,INTRA_EU,1,WORK,IT,48,F,5,FAMILY,EMPLOYED,EMPLOYED,-87,1953,0,175,194,3.238,2023Q1
2020,DK40,EE8,EXTRA_EU,1,WORK,ES,51,T,6,STUDY,INACTIVE,INACTIVE,-113,2734,0,149,188,2.6309,2025Q2
2021,BE8,AT465,INTERNAL,1,WORK,FR,54,M,1,WORK,STUDENT,STUDENT,49,1506,0,158,209,1.5089,2022Q3
2022,BG2,GR968,CROSS_BORDER,1,WORK,PL,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-89,70,1,157,185,2.0021,2024Q4
2023,HU4,BE7,INTRA_EU,1,WORK,CY,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-111,1958,0,168,220,1.3832,2022Q1
2024,IE954,LT7,EXTRA_EU,1,WORK,LV,63,M,4,PROTECTION,INACTIVE,INACTIVE,83,2159,0,159,211,2.7955,2024Q2
2025,HU5,BE708,INTERNAL,0,WORK,SE,66,F,5,FAMILY,STUDENT,STUDENT,5,1977,0,163,199,2.2998,2026Q3
2026,IT218,BG695,CROSS_BORDER,1,WORK,DE,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-53,893,0,193,218,0.9193,2023Q4
2015,BG6,LT75,INTRA_EU,0,WORK,PT,72,M,1,WORK,EMPLOYED,EMPLOYED,63,1809,0,167,230,1.6383,2026Q1
2016,SE598,DK72,EXTRA_EU,1,WORK,CZ,75,F,2,OTHER,INACTIVE,INACTIVE,-73,331,0,177,202,0.4314,2023Q2
2017,CY21,SE5,INTERNAL,1,WORK,LT,78,T,3,RETIREMENT,STUDENT,STUDENT,-120,2010,0,166,202,1.1239,2025Q3
2018,NL6,ES677,CROSS_BORDER,0,WORK,AT,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,40,1034,0,181,237,2.4327,2022Q4
2019,FI2,ES314,INTRA_EU,1,WORK,GR,84,F,5,FAMILY,EMPLOYED,EMPLOYED,82,1411,0,189,208,1.4558,2025Q1
2020,AT34,PT43,EXTRA_EU,1,WORK,RO,87,T,6,STUDY,INACTIVE,INACTIVE,-57,461,0,181,218,0.3138,2022Q2
2021,LU2,EE27,INTERNAL,1,WORK,DK,0,M,1,WORK,STUDENT,STUDENT,-71,273,0,174,211,2.4289,2024Q3
2022,SE92,PL116,CROSS_BORDER,1,WORK,LU,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-28,216,1,174,227,1.7946,2026Q4
2023,FR15,IT9,INTRA_EU,0,WORK,BE,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,111,937,0,170,255,1.8243,2024Q1
2024,SI792,NL89,EXTRA_EU,1,WORK,HU,9,M,4,PROTECTION,INACTIVE,INACTIVE,-50,355,0,196,240,0.4653,2026Q2
2025,IE3,IT8,INTERNAL,0,WORK,SK,12,F,5,FAMILY,STUDENT,STUDENT,-80,1864,0,187,260,2.3445,2023Q3
2026,HU8,SI834,CROSS_BORDER,0,WORK,EE,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-114,2157,1,199,226,0.3008,2025Q4
2015,GR43,EE65,INTRA_EU,1,WORK,MT,18,M,1,WORK,EMPLOYED,EMPLOYED,-82,712,1,206,258,0.5733,2023Q1
2016,FI5,CY7,EXTRA_EU,1,WORK,BG,21,F,2,OTHER,INACTIVE,INACTIVE,72,501,0,184,253,0.876,2025Q2
2017,DE2,BG75,INTERNAL,1,WORK,IE,24,T,3,RETIREMENT,STUDENT,STUDENT,44,1329,0,170,242,1.0506,2022Q3
2018,GR669,DK79,CROSS_BORDER,1,WORK,SI,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-37,2547,0,202,266,3.3274,2024Q4
2019,MT5,LV6,INTRA_EU,1,WORK,FI,30,F,5,FAMILY,EMPLOYED,EMPLOYED,-28,1829,0,171,252,0.8355,2022Q1
2020,ES456,SK993,EXTRA_EU,1,WORK,NL,33,T,6,STUDY,INACTIVE,INACTIVE,119,2261,0,174,270,3.0639,2024Q2
2021,PT5,IE16,INTERNAL,0,WORK,HR,36,M,1,WORK,STUDENT,STUDENT,-48,279,0,172,256,3.3552,2026Q3
2022,HU582,CY906,CROSS_BORDER,1,WORK,IT,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-89,910,1,205,289,2.048,2023Q4
2023,NL568,CY30,INTRA_EU,1,WORK,ES,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-31,2117,0,205,272,1.3902,2026Q1
2024,FR7,IT66,EXTRA_EU,1,WORK,FR,45,M,4,PROTECTION,INACTIVE,INACTIVE,-119,2412,0,181,274,1.3728,2023Q2
2025,IT487,LV9,INTERNAL,1,WORK,PL,48,F,5,FAMILY,STUDENT,STUDENT,92,1797,0,191,283,1.6194,2025Q3
2026,LT613,SI103,CROSS_BORDER,1,WORK,CY,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-20,529,1,209,38,3.3574,2022Q4
2015,CY1,PT4,INTRA_EU,1,WORK,LV,54,M,1,WORK,EMPLOYED,EMPLOYED,113,516,0,186,16,1.2871,2025Q1
2016,IE467,NL224,EXTRA_EU,0,WORK,SE,57,F,2,OTHER,INACTIVE,INACTIVE,-63,2672,0,199,19,2.4823,2022Q2
2017,EE9,PT73,INTERNAL,1,WORK,DE,60,T,3,RETIREMENT,STUDENT,STUDENT,112,1648,0,211,44,1.1345,2024Q3
2018,CY98,PT290,CROSS_BORDER,1,WORK,PT,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-45,2482,0,199,29,1.6624,2026Q4
2019,SE968,LT606,INTRA_EU,0,WORK,CZ,66,F,5,FAMILY,EMPLOYED,EMPLOYED,63,1551,0,184,54,2.0789,2024Q1
2020,IT44,GR826,EXTRA_EU,1,WORK,LT,69,T,6,STUDY,INACTIVE,INACTIVE,52,1723,0,206,63,1.3069,2026Q2
2021,IT5,ES876,INTERNAL,1,WORK,AT,72,M,1,WORK,STUDENT,STUDENT,-101,357,1,211,61,2.3515,2023Q3
2022,LU3,MT750,CROSS_BORDER,0,WORK,GR,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-46,380,1,224,50,2.39,2025Q4
2023,RO4,DK55,INTRA_EU,1,WORK,RO,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,36,1303,0,216,41,0.5319,2023Q1
2024,LU70,LT2,EXTRA_EU,1,WORK,DK,81,M,4,PROTECTION,INACTIVE,INACTIVE,27,876,0,194,68,2.6697,2025Q2
2025,RO7,SI8,INTERNAL,1,WORK,LU,84,F,5,FAMILY,STUDENT,STUDENT,51,2452,0,197,60,3.443,2022Q3
2026,FR78,BG46,CROSS_BORDER,0,WORK,BE,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-8,2243,1,217,47,1.2367,2024Q4
2015,LV5,LT78,INTRA_EU,1,WORK,HU,0,M,1,WORK,EMPLOYED,EMPLOYED,30,827,0,194,82,2.9816,2022Q1
2016,DE727,FR41,EXTRA_EU,1,WORK,SK,3,F,2,OTHER,INACTIVE,INACTIVE,81,2380,0,218,90,0.7466,2024Q2
2017,MT116,HR923,INTERNAL,1,WORK,EE,6,T,3,RETIREMENT,STUDENT,STUDENT,78,908,0,202,86,3.3491,2026Q3
2018,FI63,SI513,CROSS_BORDER,0,WORK,MT,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,78,2037,1,216,83,3.1513,2023Q4
2019,FI51,CZ18,INTRA_EU,0,WORK,BG,12,F,5,FAMILY,EMPLOYED,EMPLOYED,-102,637,0,194,63,2.0682,2026Q1
2020,BE41,LU37,EXTRA_EU,1,WORK,IE,15,T,6,STUDY,INACTIVE,INACTIVE,48,2077,0,217,102,0.6684,2023Q2
2021,DK3,LV85,INTERNAL,1,WORK,SI,18,M,1,WORK,STUDENT,STUDENT,60,1254,0,220,92,0.3631,2025Q3
2022,IT552,HU29,CROSS_BORDER,1,WORK,FI,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,80,8,0,228,105,0.9811,2022Q4
2023,HR149,ES513,INTRA_EU,1,WORK,NL,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-109,846,1,215,78,2.9277,2025Q1
2024,BG414,ES486,EXTRA_EU,0,WORK,HR,27,M,4,PROTECTION,INACTIVE,INACTIVE,90,2613,0,211,85,2.1826,2022Q2
2025,GR751,IE19,INTERNAL,1,WORK,IT,30,F,5,FAMILY,STUDENT,STUDENT,67,2200,0,238,108,3.0704,2024Q3
2026,SE26,PL5,CROSS_BORDER,0,WORK,ES,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,88,118,0,228,85,0.3797,2026Q4
2015,CZ949,BG1,INTRA_EU,1,WORK,FR,36,M,1,WORK,EMPLOYED,EMPLOYED,-24,411,0,217,101,3.09,2024Q1
2016,SE553,BE5,EXTRA_EU,1,WORK,PL,39,F,2,OTHER,INACTIVE,INACTIVE,-107,1142,0,208,120,3.4739,2026Q2
2017,LV37,ES461,INTERNAL,0,WORK,CY,42,T,3,RETIREMENT,STUDENT,STUDENT,-48,811,0,232,97,2.413,2023Q3
2018,FI580,IT564,CROSS_BORDER,1,WORK,LV,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,96,1567,1,234,122,0.8967,2025Q4
