agri_nutrition_reference_year,agri_nutrition_country_iso2,agri_nutrition_region_nuts_code,agri_nutrition_age_group,agri_nutrition_sex,agri_nutrition_bmi_category,agri_nutrition_obesity_rate_pct,agri_nutrition_fruit_veg_intake_servings_day,agri_nutrition_ultra_processed_food_share_pct,agri_nutrition_food_desert_index,agri_nutrition_school_meal_program_flag,agri_nutrition_front_of_pack_label_scheme_code,agri_nutrition_sugar_sweetened_tax_flag,agri_nutrition_salt_reduction_policy_flag,agri_nutrition_breastfeeding_rate_pct,agri_nutrition_household_food_insecurity_rate_pct,agri_nutrition_nutri_score_distribution,agri_nutrition_ehis_table_code,agri_nutrition_data_source,agri_nutrition_data_extract_date
2016,LT,BG121,65+,F,NORMAL,15.18,2.34,21.41,0.1898,0,KEYHOLE,0,0,65.1,2.84,A:0.21;B:0.28;C:0.12;D:0.18;E:0.21,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-10-28
2017,PT,LU432,50-64,M,OVERWEIGHT,6.63,4.11,46.01,0.2822,1,NUTRI_SCORE,1,0,51.12,7.12,A:0.13;B:0.19;C:0.24;D:0.12;E:0.32,hlth_ehis_sk1e,WHO_EURO,2025-07-15
2018,SE,LT139,35-49,T,OBESE,15.64,4.49,27.64,0.2639,0,NONE,1,1,21.87,13.41,A:0.18;B:0.28;C:0.14;D:0.18;E:0.22,hlth_ehis_bm1e,EHIS,2024-09-17
2019,CY,CZ6,20-34,F,UNDERWEIGHT,23.95,5.9,20.9,0.3951,1,TRAFFIC_LIGHTS,0,1,55.78,1.96,A:0.1;B:0.21;C:0.14;D:0.14;E:0.41,hlth_ehis_dn1e,ECDC_NUTRITION,2024-08-12
2020,FR,AT669,15-19,M,NORMAL,14.01,6.75,15.09,0.4648,0,BATTERY_LABEL,0,0,58.16,4.97,A:0.18;B:0.23;C:0.32;D:0.1;E:0.17,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-09-05
2021,IT,IE77,10-14,T,OVERWEIGHT,5.79,6.35,23.03,0.0971,1,NORDIC_KEYHOLE,0,0,34.23,15.71,A:0.16;B:0.25;C:0.33;D:0.07;E:0.19,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-06-21
2022,NL,NL2,5-9,F,OBESE,23.57,3.06,51.42,0.0959,1,KEYHOLE,0,0,27.29,15.43,A:0.23;B:0.2;C:0.31;D:0.07;E:0.19,hlth_ehis_sk1e,WHO_EURO,2024-02-28
2023,SI,LT745,0-4,M,UNDERWEIGHT,31.66,1.94,60.5,0.7639,1,NUTRI_SCORE,0,0,52.9,6.72,A:0.12;B:0.28;C:0.25;D:0.14;E:0.21,hlth_ehis_bm1e,EHIS,2024-07-19
2024,BG,FR43,65+,T,NORMAL,22.87,6.35,36.86,0.2522,0,NONE,1,0,63.01,12.43,A:0.16;B:0.2;C:0.19;D:0.13;E:0.32,hlth_ehis_dn1e,ECDC_NUTRITION,2025-02-28
2025,EE,SE7,50-64,F,OVERWEIGHT,18.94,2.33,22.07,0.1025,1,TRAFFIC_LIGHTS,0,1,65.76,17.89,A:0.28;B:0.2;C:0.25;D:0.23;E:0.04,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-02-06
2026,HU,PT5,35-49,M,OBESE,30.32,5.01,22.05,0.0786,1,BATTERY_LABEL,0,1,64.26,15.44,A:0.26;B:0.16;C:0.22;D:0.23;E:0.13,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-10
2010,LU,IT187,20-34,T,UNDERWEIGHT,5.99,3.37,33.92,0.6144,1,NORDIC_KEYHOLE,0,1,61.61,8.33,A:0.29;B:0.33;C:0.29;D:0.1;E:0.0,hlth_ehis_sk1e,WHO_EURO,2025-02-26
2011,RO,PT810,15-19,F,NORMAL,12.3,2.64,28.02,0.2609,0,KEYHOLE,1,0,23.01,16.39,A:0.32;B:0.18;C:0.18;D:0.16;E:0.16,hlth_ehis_bm1e,EHIS,2024-11-13
2012,AT,SI558,10-14,M,OVERWEIGHT,30.47,2.05,14.66,0.3913,0,NUTRI_SCORE,0,0,20.08,13.22,A:0.22;B:0.3;C:0.27;D:0.15;E:0.06,hlth_ehis_dn1e,ECDC_NUTRITION,2024-08-10
2013,CZ,BG907,5-9,T,OBESE,23.71,5.47,9.38,0.5689,1,NONE,0,0,40.88,13.1,A:0.25;B:0.24;C:0.31;D:0.1;E:0.1,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-02-07
2014,DE,IT46,0-4,F,UNDERWEIGHT,29.77,2.63,53.58,0.6798,1,TRAFFIC_LIGHTS,0,0,70.2,4.48,A:0.32;B:0.31;C:0.28;D:0.09;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-08-25
2015,LV,DK253,65+,M,NORMAL,25.34,4.28,47.31,0.9294,1,BATTERY_LABEL,0,0,40.96,4.73,A:0.28;B:0.28;C:0.26;D:0.18;E:0.0,hlth_ehis_sk1e,WHO_EURO,2025-09-14
2016,PL,IE267,50-64,T,OVERWEIGHT,29.85,5.13,51.88,0.6467,0,NORDIC_KEYHOLE,1,0,25.88,11.68,A:0.2;B:0.32;C:0.27;D:0.21;E:0.0,hlth_ehis_bm1e,EHIS,2024-06-04
2017,ES,SI370,35-49,F,OBESE,20.16,5.14,49.53,0.5373,1,KEYHOLE,0,0,55.81,7.53,A:0.31;B:0.21;C:0.34;D:0.14;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-03-21
2018,HR,AT84,20-34,M,UNDERWEIGHT,7.23,3.66,36.51,0.3307,1,NUTRI_SCORE,0,1,36.94,11.88,A:0.18;B:0.22;C:0.21;D:0.13;E:0.26,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-03-13
2019,FI,ES909,15-19,T,NORMAL,23.55,4.77,13.1,0.059,0,NONE,1,1,19.29,8.87,A:0.3;B:0.15;C:0.27;D:0.05;E:0.23,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-03-18
2020,IE,ES69,10-14,F,OVERWEIGHT,22.26,2.55,41.8,0.4051,1,TRAFFIC_LIGHTS,0,1,26.65,7.18,A:0.29;B:0.27;C:0.25;D:0.2;E:0.0,hlth_ehis_sk1e,WHO_EURO,2025-10-24
2021,MT,HU727,5-9,M,OBESE,9.04,6.55,14.75,0.1533,0,BATTERY_LABEL,1,0,47.49,5.95,A:0.19;B:0.1;C:0.17;D:0.19;E:0.35,hlth_ehis_bm1e,EHIS,2025-01-30
2022,SK,LT90,0-4,T,UNDERWEIGHT,10.02,6.76,41.54,0.8005,1,NORDIC_KEYHOLE,1,1,49.43,3.44,A:0.12;B:0.32;C:0.19;D:0.24;E:0.13,hlth_ehis_dn1e,ECDC_NUTRITION,2024-08-14
2023,BE,CY41,65+,F,NORMAL,10.22,4.84,44.37,0.8858,1,KEYHOLE,0,0,48.18,17.95,A:0.13;B:0.3;C:0.17;D:0.07;E:0.33,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-09-06
2024,DK,CZ88,50-64,M,OVERWEIGHT,11.73,5.92,50.47,0.5955,0,NUTRI_SCORE,0,1,57.22,11.83,A:0.28;B:0.29;C:0.2;D:0.22;E:0.01,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-04-24
2025,GR,BG672,35-49,T,OBESE,10.39,3.47,26.42,0.9301,1,NONE,1,0,43.52,17.59,A:0.32;B:0.17;C:0.17;D:0.17;E:0.17,hlth_ehis_sk1e,WHO_EURO,2026-02-01
2026,LT,SK208,20-34,F,UNDERWEIGHT,12.63,5.16,37.27,0.6516,0,TRAFFIC_LIGHTS,1,1,64.89,11.51,A:0.14;B:0.17;C:0.19;D:0.13;E:0.37,hlth_ehis_bm1e,EHIS,2025-11-23
2010,PT,LV36,15-19,M,NORMAL,30.65,5.1,56.52,0.2768,0,BATTERY_LABEL,1,0,42.82,17.65,A:0.15;B:0.27;C:0.27;D:0.11;E:0.2,hlth_ehis_dn1e,ECDC_NUTRITION,2025-10-16
2011,SE,LV398,10-14,T,OVERWEIGHT,31.07,2.18,36.72,0.4024,1,NORDIC_KEYHOLE,0,0,71.08,10.09,A:0.34;B:0.1;C:0.18;D:0.21;E:0.17,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-06-27
2012,CY,PL647,5-9,F,OBESE,34.2,1.98,43.33,0.408,1,KEYHOLE,1,0,62.3,10.51,A:0.28;B:0.26;C:0.27;D:0.19;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-10-21
2013,FR,RO8,0-4,M,UNDERWEIGHT,34.01,2.38,29.04,0.5285,1,NUTRI_SCORE,0,1,33.68,2.76,A:0.19;B:0.11;C:0.14;D:0.16;E:0.4,hlth_ehis_sk1e,WHO_EURO,2024-07-10
2014,IT,BE1,65+,T,NORMAL,6.68,2.87,52.37,0.4228,1,NONE,1,1,33.46,9.22,A:0.23;B:0.26;C:0.15;D:0.07;E:0.29,hlth_ehis_bm1e,EHIS,2024-05-30
2015,NL,IT22,50-64,F,OVERWEIGHT,30.59,3.07,9.35,0.2504,1,TRAFFIC_LIGHTS,0,0,20.21,9.23,A:0.34;B:0.17;C:0.29;D:0.09;E:0.11,hlth_ehis_dn1e,ECDC_NUTRITION,2025-11-20
2016,SI,HU59,35-49,M,OBESE,10.57,2.59,44.62,0.0868,1,BATTERY_LABEL,0,0,68.02,15.84,A:0.16;B:0.1;C:0.17;D:0.2;E:0.37,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-09-29
2017,BG,FI26,20-34,T,UNDERWEIGHT,20.48,3.95,25.17,0.5984,1,NORDIC_KEYHOLE,0,0,47.84,15.79,A:0.14;B:0.33;C:0.26;D:0.12;E:0.15,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-21
2018,EE,RO677,15-19,F,NORMAL,7.42,4.98,41.94,0.7793,0,KEYHOLE,0,0,55.32,15.83,A:0.31;B:0.11;C:0.12;D:0.14;E:0.32,hlth_ehis_sk1e,WHO_EURO,2024-02-23
2019,HU,LV17,10-14,M,OVERWEIGHT,22.49,5.32,31.17,0.4745,0,NUTRI_SCORE,0,1,35.79,2.1,A:0.3;B:0.32;C:0.19;D:0.19;E:0.0,hlth_ehis_bm1e,EHIS,2024-06-19
2020,LU,BE93,5-9,T,OBESE,22.78,6.24,61.47,0.3965,0,NONE,0,1,64.5,11.6,A:0.14;B:0.34;C:0.3;D:0.15;E:0.07,hlth_ehis_dn1e,ECDC_NUTRITION,2025-03-09
2021,RO,SI5,0-4,F,UNDERWEIGHT,33.36,5.51,33.6,0.7854,0,TRAFFIC_LIGHTS,0,0,32.71,1.02,A:0.34;B:0.13;C:0.31;D:0.19;E:0.03,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-05-06
2022,AT,SI95,65+,M,NORMAL,26.92,1.83,17.9,0.0963,1,BATTERY_LABEL,1,0,25.66,16.08,A:0.19;B:0.26;C:0.19;D:0.12;E:0.24,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-12-11
2023,CZ,IE45,50-64,T,OVERWEIGHT,27.46,5.72,16.08,0.458,1,NORDIC_KEYHOLE,0,1,47.71,8.39,A:0.16;B:0.27;C:0.1;D:0.2;E:0.27,hlth_ehis_sk1e,WHO_EURO,2025-06-19
2024,DE,LV30,35-49,F,OBESE,14.67,5.33,28.19,0.7609,1,KEYHOLE,0,1,36.31,1.74,A:0.19;B:0.14;C:0.26;D:0.15;E:0.26,hlth_ehis_bm1e,EHIS,2025-03-07
2025,LV,PL28,20-34,M,UNDERWEIGHT,10.1,1.62,25.44,0.9191,0,NUTRI_SCORE,0,1,44.91,6.85,A:0.19;B:0.24;C:0.27;D:0.12;E:0.18,hlth_ehis_dn1e,ECDC_NUTRITION,2025-08-14
2026,PL,BE86,15-19,T,NORMAL,8.63,3.91,59.32,0.585,1,NONE,0,1,33.93,16.99,A:0.31;B:0.31;C:0.28;D:0.1;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-10-12
2010,ES,LT76,10-14,F,OVERWEIGHT,31.03,3.29,14.81,0.8619,1,TRAFFIC_LIGHTS,0,0,42.83,10.03,A:0.34;B:0.16;C:0.31;D:0.12;E:0.07,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-01-11
2011,HR,LU38,5-9,M,OBESE,23.09,5.53,59.55,0.3901,1,BATTERY_LABEL,0,1,30.14,8.12,A:0.28;B:0.28;C:0.21;D:0.23;E:0.0,hlth_ehis_sk1e,WHO_EURO,2026-01-24
2012,FI,GR341,0-4,T,UNDERWEIGHT,22.28,2.76,21.25,0.442,1,NORDIC_KEYHOLE,0,0,51.51,3.26,A:0.17;B:0.13;C:0.15;D:0.24;E:0.31,hlth_ehis_bm1e,EHIS,2024-11-06
2013,IE,PT6,65+,F,NORMAL,22.16,1.59,47.53,0.8698,1,KEYHOLE,0,0,52.89,16.62,A:0.32;B:0.19;C:0.14;D:0.11;E:0.24,hlth_ehis_dn1e,ECDC_NUTRITION,2024-01-11
2014,MT,HU62,50-64,M,OVERWEIGHT,10.23,5.8,57.03,0.7634,1,NUTRI_SCORE,0,0,54.9,14.41,A:0.26;B:0.21;C:0.33;D:0.21;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-11-14
2015,SK,LV4,35-49,T,OBESE,22.3,3.06,61.6,0.3506,1,NONE,0,1,33.94,2.5,A:0.25;B:0.27;C:0.28;D:0.1;E:0.1,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-06-19
2016,BE,LV5,20-34,F,UNDERWEIGHT,17.63,5.3,21.23,0.4188,1,TRAFFIC_LIGHTS,0,1,47.92,12.94,A:0.17;B:0.1;C:0.29;D:0.22;E:0.22,hlth_ehis_sk1e,WHO_EURO,2024-11-17
2017,DK,GR99,15-19,M,NORMAL,6.77,1.63,19.12,0.9455,1,BATTERY_LABEL,0,1,49.75,11.45,A:0.26;B:0.14;C:0.35;D:0.12;E:0.13,hlth_ehis_bm1e,EHIS,2024-08-03
2018,GR,IT8,10-14,T,OVERWEIGHT,27.73,6.32,23.42,0.3765,1,NORDIC_KEYHOLE,1,1,58.78,15.12,A:0.12;B:0.2;C:0.21;D:0.1;E:0.37,hlth_ehis_dn1e,ECDC_NUTRITION,2025-09-24
2019,LT,IT7,5-9,F,OBESE,26.68,4.27,40.87,0.1748,1,KEYHOLE,0,0,45.15,9.27,A:0.1;B:0.17;C:0.28;D:0.19;E:0.26,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-03-31
2020,PT,PT539,0-4,M,UNDERWEIGHT,8.79,5.53,24.51,0.3914,1,NUTRI_SCORE,0,0,22.5,5.42,A:0.24;B:0.3;C:0.22;D:0.05;E:0.19,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-02-20
2021,SE,FR596,65+,T,NORMAL,4.42,2.82,38.1,0.3295,1,NONE,0,0,57.58,4.38,A:0.17;B:0.32;C:0.3;D:0.21;E:0.0,hlth_ehis_sk1e,WHO_EURO,2025-07-04
2022,CY,HU16,50-64,F,OVERWEIGHT,31.95,6.52,26.08,0.4142,0,TRAFFIC_LIGHTS,0,0,44.85,1.54,A:0.17;B:0.32;C:0.1;D:0.14;E:0.27,hlth_ehis_bm1e,EHIS,2025-10-05
2023,FR,AT58,35-49,M,OBESE,13.65,4.39,39.98,0.3442,1,BATTERY_LABEL,0,0,67.82,12.58,A:0.24;B:0.17;C:0.22;D:0.25;E:0.12,hlth_ehis_dn1e,ECDC_NUTRITION,2024-09-27
2024,IT,EE97,20-34,T,UNDERWEIGHT,29.82,5.99,8.06,0.7495,0,NORDIC_KEYHOLE,1,0,29.19,10.11,A:0.26;B:0.16;C:0.25;D:0.15;E:0.18,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-11-19
2025,NL,SI624,15-19,F,NORMAL,26.76,4.7,21.57,0.418,1,KEYHOLE,0,1,66.99,13.12,A:0.32;B:0.11;C:0.1;D:0.16;E:0.31,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-06-23
2026,SI,IT4,10-14,M,OVERWEIGHT,20.9,2.88,38.9,0.7107,1,NUTRI_SCORE,1,1,63.98,13.98,A:0.29;B:0.2;C:0.25;D:0.06;E:0.2,hlth_ehis_sk1e,WHO_EURO,2025-06-02
2010,BG,SI59,5-9,T,OBESE,8.21,6.35,22.91,0.7445,1,NONE,0,1,55.04,11.19,A:0.28;B:0.11;C:0.14;D:0.09;E:0.38,hlth_ehis_bm1e,EHIS,2024-03-08
2011,EE,ES259,0-4,F,UNDERWEIGHT,18.04,6.73,40.87,0.4411,1,TRAFFIC_LIGHTS,1,0,63.17,2.65,A:0.29;B:0.29;C:0.24;D:0.17;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-07-25
2012,HU,MT52,65+,M,NORMAL,17.66,3.49,23.46,0.1581,1,BATTERY_LABEL,0,0,35.54,2.61,A:0.26;B:0.19;C:0.32;D:0.06;E:0.17,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-07-31
2013,LU,AT99,50-64,T,OVERWEIGHT,26.06,2.25,17.72,0.7205,1,NORDIC_KEYHOLE,0,0,25.86,7.09,A:0.13;B:0.31;C:0.23;D:0.24;E:0.09,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-08-02
2014,RO,BE443,35-49,F,OBESE,24.58,6.53,43.01,0.5225,0,KEYHOLE,0,1,38.9,1.85,A:0.12;B:0.23;C:0.17;D:0.12;E:0.36,hlth_ehis_sk1e,WHO_EURO,2026-02-23
2015,AT,IT945,20-34,M,UNDERWEIGHT,12.28,1.6,34.94,0.1894,1,NUTRI_SCORE,0,0,57.24,17.06,A:0.1;B:0.24;C:0.16;D:0.11;E:0.39,hlth_ehis_bm1e,EHIS,2026-01-30
2016,CZ,LV396,15-19,T,NORMAL,24.86,5.33,26.1,0.2339,1,NONE,0,1,62.61,11.01,A:0.25;B:0.22;C:0.29;D:0.17;E:0.07,hlth_ehis_dn1e,ECDC_NUTRITION,2024-03-16
2017,DE,PT8,10-14,F,OVERWEIGHT,25.1,1.52,16.07,0.0696,1,TRAFFIC_LIGHTS,0,0,35.14,7.43,A:0.27;B:0.13;C:0.11;D:0.06;E:0.43,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-02-25
2018,LV,RO123,5-9,M,OBESE,26.01,2.27,12.33,0.7855,0,BATTERY_LABEL,0,0,18.26,12.69,A:0.18;B:0.32;C:0.31;D:0.09;E:0.1,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-03-31
2019,PL,SE675,0-4,T,UNDERWEIGHT,10.07,1.77,48.57,0.8741,1,NORDIC_KEYHOLE,0,1,49.18,15.61,A:0.1;B:0.3;C:0.33;D:0.23;E:0.04,hlth_ehis_sk1e,WHO_EURO,2025-09-15
2020,ES,BE299,65+,F,NORMAL,8.12,3.67,51.93,0.4039,0,KEYHOLE,1,1,37.71,3.74,A:0.13;B:0.33;C:0.12;D:0.17;E:0.25,hlth_ehis_bm1e,EHIS,2025-07-03
2021,HR,LV858,50-64,M,OVERWEIGHT,4.38,1.98,16.58,0.6589,0,NUTRI_SCORE,1,1,49.67,7.89,A:0.3;B:0.33;C:0.13;D:0.23;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-02-04
2022,FI,LV75,35-49,T,OBESE,27.0,5.35,28.22,0.679,1,NONE,0,1,20.62,7.62,A:0.27;B:0.29;C:0.32;D:0.06;E:0.06,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-03-06
2023,IE,GR1,20-34,F,UNDERWEIGHT,15.33,6.19,60.2,0.8128,1,TRAFFIC_LIGHTS,0,0,31.57,1.0,A:0.26;B:0.31;C:0.2;D:0.19;E:0.04,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-06-17
2024,MT,BE85,15-19,M,NORMAL,5.11,2.54,45.7,0.9041,1,BATTERY_LABEL,1,1,18.19,14.49,A:0.27;B:0.19;C:0.34;D:0.07;E:0.13,hlth_ehis_sk1e,WHO_EURO,2024-03-28
2025,SK,LU598,10-14,T,OVERWEIGHT,8.49,1.82,24.86,0.2769,1,NORDIC_KEYHOLE,1,0,46.27,17.58,A:0.27;B:0.23;C:0.29;D:0.2;E:0.0,hlth_ehis_bm1e,EHIS,2025-12-19
2026,BE,PT61,5-9,F,OBESE,16.51,3.03,50.07,0.4031,1,KEYHOLE,0,1,21.77,17.23,A:0.21;B:0.12;C:0.2;D:0.23;E:0.24,hlth_ehis_dn1e,ECDC_NUTRITION,2024-01-15
2010,DK,NL4,0-4,M,UNDERWEIGHT,25.66,5.48,59.01,0.5777,1,NUTRI_SCORE,0,1,40.6,3.3,A:0.26;B:0.29;C:0.27;D:0.18;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-03-02
2011,GR,FI9,65+,T,NORMAL,22.82,6.09,43.59,0.4398,1,NONE,0,0,65.38,16.78,A:0.13;B:0.17;C:0.33;D:0.22;E:0.15,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-06-05
2012,LT,AT32,50-64,F,OVERWEIGHT,20.53,5.34,8.86,0.8689,0,TRAFFIC_LIGHTS,1,1,41.26,13.35,A:0.12;B:0.3;C:0.12;D:0.07;E:0.39,hlth_ehis_sk1e,WHO_EURO,2025-02-01
2013,PT,SE44,35-49,M,OBESE,21.57,2.05,8.92,0.0956,0,BATTERY_LABEL,0,1,53.93,9.63,A:0.19;B:0.29;C:0.27;D:0.08;E:0.17,hlth_ehis_bm1e,EHIS,2024-11-25
2014,SE,BE110,20-34,T,UNDERWEIGHT,13.47,6.47,24.48,0.5239,1,NORDIC_KEYHOLE,0,0,64.41,13.92,A:0.2;B:0.32;C:0.29;D:0.2;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2024-05-29
2015,CY,LT634,15-19,F,NORMAL,25.25,5.25,37.76,0.3497,1,KEYHOLE,0,1,71.86,10.77,A:0.3;B:0.16;C:0.29;D:0.19;E:0.06,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-01-02
2016,FR,NL22,10-14,M,OVERWEIGHT,5.36,4.0,23.58,0.4234,1,NUTRI_SCORE,1,1,49.79,4.61,A:0.17;B:0.29;C:0.29;D:0.23;E:0.02,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-05-07
2017,IT,IT83,5-9,T,OBESE,26.78,3.17,20.46,0.3481,1,NONE,1,0,53.5,13.08,A:0.11;B:0.1;C:0.34;D:0.22;E:0.23,hlth_ehis_sk1e,WHO_EURO,2024-05-27
2018,NL,IE362,0-4,F,UNDERWEIGHT,29.59,3.27,57.37,0.1006,0,TRAFFIC_LIGHTS,0,0,33.19,16.88,A:0.21;B:0.26;C:0.23;D:0.14;E:0.16,hlth_ehis_bm1e,EHIS,2025-01-12
2019,SI,AT78,65+,M,NORMAL,17.76,4.2,36.74,0.6829,0,BATTERY_LABEL,1,1,42.54,2.16,A:0.34;B:0.18;C:0.12;D:0.11;E:0.25,hlth_ehis_dn1e,ECDC_NUTRITION,2026-02-02
2020,BG,BG891,50-64,T,OVERWEIGHT,20.4,2.28,50.63,0.3365,1,NORDIC_KEYHOLE,1,0,49.91,17.52,A:0.14;B:0.15;C:0.11;D:0.2;E:0.4,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-10-08
2021,EE,BE39,35-49,F,OBESE,15.23,1.56,9.63,0.3136,0,KEYHOLE,0,0,66.6,11.35,A:0.3;B:0.28;C:0.2;D:0.21;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-04-27
2022,HU,HU102,20-34,M,UNDERWEIGHT,15.84,1.47,12.4,0.1154,1,NUTRI_SCORE,0,0,70.41,10.98,A:0.18;B:0.31;C:0.29;D:0.13;E:0.09,hlth_ehis_sk1e,WHO_EURO,2024-06-05
2023,LU,GR4,15-19,T,NORMAL,8.61,4.17,57.03,0.3609,0,NONE,1,1,49.23,7.81,A:0.22;B:0.1;C:0.35;D:0.18;E:0.15,hlth_ehis_bm1e,EHIS,2025-03-15
2024,RO,LU317,10-14,F,OVERWEIGHT,14.23,1.76,21.63,0.2635,1,TRAFFIC_LIGHTS,0,0,42.47,6.51,A:0.23;B:0.23;C:0.15;D:0.25;E:0.14,hlth_ehis_dn1e,ECDC_NUTRITION,2025-04-13
2025,AT,AT13,5-9,M,OBESE,9.3,5.41,41.36,0.7396,0,BATTERY_LABEL,1,0,33.6,13.0,A:0.28;B:0.26;C:0.29;D:0.17;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-05-16
2026,CZ,CY243,0-4,T,UNDERWEIGHT,25.16,1.28,28.78,0.8972,0,NORDIC_KEYHOLE,0,1,42.52,11.06,A:0.19;B:0.13;C:0.25;D:0.18;E:0.25,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-19
2010,DE,BG397,65+,F,NORMAL,8.4,4.94,9.65,0.2673,1,KEYHOLE,1,1,66.94,12.97,A:0.1;B:0.3;C:0.26;D:0.18;E:0.16,hlth_ehis_sk1e,WHO_EURO,2024-03-21
2011,LV,RO6,50-64,M,OVERWEIGHT,6.82,3.91,30.88,0.1471,0,NUTRI_SCORE,1,1,33.35,13.56,A:0.15;B:0.19;C:0.22;D:0.21;E:0.23,hlth_ehis_bm1e,EHIS,2025-08-16
2012,PL,SI479,35-49,T,OBESE,13.39,4.14,16.93,0.7514,0,NONE,0,1,50.88,3.35,A:0.29;B:0.3;C:0.22;D:0.18;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-07-01
2013,ES,IE846,20-34,F,UNDERWEIGHT,33.47,5.26,53.45,0.5579,1,TRAFFIC_LIGHTS,1,1,31.61,5.63,A:0.25;B:0.29;C:0.21;D:0.24;E:0.01,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-08-27
2014,HR,EE611,15-19,M,NORMAL,20.71,2.16,48.17,0.8982,1,BATTERY_LABEL,1,1,49.56,5.17,A:0.12;B:0.18;C:0.26;D:0.2;E:0.24,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-10-11
2015,FI,PL2,10-14,T,OVERWEIGHT,18.12,6.57,21.28,0.2484,0,NORDIC_KEYHOLE,0,1,37.94,11.89,A:0.21;B:0.27;C:0.1;D:0.2;E:0.22,hlth_ehis_sk1e,WHO_EURO,2025-10-25
2016,IE,PL129,5-9,F,OBESE,23.77,5.04,59.66,0.6037,0,KEYHOLE,0,0,70.53,13.22,A:0.25;B:0.11;C:0.17;D:0.19;E:0.28,hlth_ehis_bm1e,EHIS,2024-11-24
2017,MT,DK847,0-4,M,UNDERWEIGHT,29.42,6.46,16.45,0.9202,1,NUTRI_SCORE,1,1,38.08,6.87,A:0.17;B:0.34;C:0.11;D:0.18;E:0.2,hlth_ehis_dn1e,ECDC_NUTRITION,2024-08-24
2018,SK,BG45,65+,T,NORMAL,11.59,3.36,50.94,0.1438,1,NONE,0,1,53.95,1.25,A:0.31;B:0.23;C:0.19;D:0.07;E:0.2,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-07-26
2019,BE,GR28,50-64,F,OVERWEIGHT,34.22,3.14,22.02,0.8103,1,TRAFFIC_LIGHTS,0,1,50.84,1.19,A:0.22;B:0.32;C:0.25;D:0.09;E:0.12,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-04-10
2020,DK,MT53,35-49,M,OBESE,19.41,4.64,33.94,0.8937,1,BATTERY_LABEL,0,1,36.69,17.71,A:0.1;B:0.23;C:0.27;D:0.13;E:0.27,hlth_ehis_sk1e,WHO_EURO,2025-11-24
