qol_cult_reference_year,qol_cult_country_iso2,qol_cult_region_nuts_code,qol_cult_cultural_venue_type_code,qol_cult_visits_per_capita,qol_cult_participation_rate_pct,qol_cult_public_spend_culture_eur_per_capita,qol_cult_employment_cultural_sector_pct,qol_cult_creative_industries_turnover_eur,qol_cult_libraries_per_100k,qol_cult_museums_per_100k,qol_cult_cinema_admissions_per_capita,qol_cult_festival_events_count,qol_cult_european_capital_of_culture_flag,qol_cult_cross_border_cultural_projects_count,qol_cult_digital_culture_consumption_pct,qol_cult_copyright_collecting_society_revenues_eur,qol_cult_data_source,qol_cult_methodology_version,qol_cult_data_extract_date
2013,FR,BG96,THEATRE,6.84,59.45,248.34,1.42,27926458347.04,14.3,16.73,4.85,44,0,120,37.27,103790330.96,EUROSTAT_CULT,CULT_V1,2026-02-02
2014,LT,GR22,CONCERT_HALL,1.94,32.73,57.73,3.2,9334302198.42,20.96,5.14,2.9,336,0,105,18.55,917818016.69,CULTURE_STATS_SURVEY,CULT_V3,2025-08-01
2015,SK,IE424,HERITAGE_SITE,9.96,33.13,81.94,2.89,20244657562.66,26.1,10.33,6.09,32,0,36,62.01,626292455.22,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-04-07
2016,HR,CZ49,CINEMA,5.27,33.93,146.95,2.35,15571266602.66,28.09,14.98,6.01,217,0,80,24.85,153667775.32,NATIONAL_CULTURE_MINISTRY,CULT_V1,2026-02-24
2017,DE,FI66,CULTURAL_CENTRE,10.75,79.51,176.37,2.47,31933085353.79,26.99,11.5,2.01,161,0,159,76.59,196819199.4,EUROSTAT_CULT,CULT_V3,2025-05-04
2018,LU,SI43,MUSEUM,5.01,25.3,245.18,2.38,4897237295.13,14.67,6.41,2.3,27,0,40,33.55,76460034.93,CULTURE_STATS_SURVEY,CULT_V2,2025-03-31
2019,SI,SE488,LIBRARY,10.04,54.81,67.49,3.13,3449696186.26,16.98,15.96,4.34,161,0,0,81.48,319922268.65,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-03-22
2020,CY,LT11,FESTIVAL_SITE,4.27,61.65,230.57,1.24,25449161669.53,8.67,5.34,3.91,104,0,13,74.87,27411671.13,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-12-30
2021,GR,AT127,THEATRE,6.61,50.62,58.61,3.8,4542267295.14,13.49,15.47,4.3,160,0,61,72.03,351447170.82,EUROSTAT_CULT,CULT_V2,2025-12-04
2022,MT,SE826,CONCERT_HALL,7.14,42.31,116.11,3.29,2456073863.01,14.97,6.17,3.86,233,0,80,58.2,619709629.93,CULTURE_STATS_SURVEY,CULT_V1,2025-03-09
2023,ES,PT355,HERITAGE_SITE,7.89,62.57,208.56,2.66,10353600133.65,22.39,11.66,2.68,363,0,110,38.34,841720486.12,CREATIVE_ECON_ACCOUNTS,CULT_V3,2026-02-13
2024,CZ,AT86,CINEMA,2.44,46.83,191.47,3.55,13832694316.95,12.82,11.36,3.18,190,0,75,65.56,61083647.72,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-10-25
2025,HU,LU70,CULTURAL_CENTRE,3.55,54.13,60.78,1.3,25414613778.21,15.17,13.12,5.98,153,0,92,79.66,300476924.68,EUROSTAT_CULT,CULT_V1,2025-12-19
2006,NL,LU66,MUSEUM,5.02,34.67,212.19,2.26,8457417521.63,31.42,17.17,1.62,405,0,145,26.91,1147183657.64,CULTURE_STATS_SURVEY,CULT_V3,2025-02-20
2007,SE,ES41,LIBRARY,3.18,43.06,61.39,2.3,14199993806.82,33.87,6.74,3.04,113,0,11,17.96,813093386.05,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-08-28
2008,DK,HR882,FESTIVAL_SITE,7.33,34.04,79.97,1.37,8969754164.68,10.57,16.04,3.05,330,1,28,29.98,631646233.7,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-12-15
2009,IE,FR592,THEATRE,2.05,37.89,178.43,2.67,3600222932.15,15.62,3.58,4.36,347,0,11,50.57,375495093.25,EUROSTAT_CULT,CULT_V3,2025-03-08
2010,PL,CY12,CONCERT_HALL,6.53,26.47,200.72,2.72,9688247740.77,14.57,16.7,4.61,279,0,17,27.47,516409716.99,CULTURE_STATS_SURVEY,CULT_V2,2024-08-01
2011,AT,LT5,HERITAGE_SITE,3.63,63.14,198.96,1.42,19512592130.71,24.43,12.07,5.73,461,0,90,25.95,872722150.06,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-08-11
2012,EE,PL54,CINEMA,2.88,49.84,134.29,1.93,18169312791.8,26.39,15.28,6.08,87,0,106,23.9,337523999.11,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-12-06
2013,IT,FI6,CULTURAL_CENTRE,3.16,63.24,176.73,2.85,29865371950.63,11.28,19.33,5.99,227,0,2,54.16,1525739124.69,EUROSTAT_CULT,CULT_V2,2025-05-21
2014,PT,IT769,MUSEUM,10.91,56.48,102.52,3.0,3712856921.22,16.19,1.9,4.59,91,0,111,67.68,924411050.05,CULTURE_STATS_SURVEY,CULT_V1,2024-06-11
2015,BE,HR717,LIBRARY,6.15,78.58,276.1,1.75,22886995710.89,28.89,12.32,1.1,149,0,154,58.29,839094545.31,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-12-26
2016,FI,CZ118,FESTIVAL_SITE,7.41,67.26,227.59,3.2,4815653534.25,20.54,11.6,3.69,271,0,60,92.28,476369282.6,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-02-15
2017,LV,BG638,THEATRE,1.12,63.57,217.39,1.71,15810625797.94,29.03,12.7,4.2,304,0,49,68.76,476911900.59,EUROSTAT_CULT,CULT_V1,2025-04-29
2018,RO,SK55,CONCERT_HALL,3.93,44.98,236.17,3.27,23996756801.63,21.87,4.47,1.53,126,0,117,61.72,656795700.35,CULTURE_STATS_SURVEY,CULT_V3,2026-02-21
2019,BG,SI377,HERITAGE_SITE,2.85,24.8,145.47,2.04,15076865961.06,11.44,16.72,2.22,342,0,64,85.3,660597807.19,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-03-29
2020,FR,IT546,CINEMA,7.12,73.08,75.02,4.31,15593142725.74,10.31,19.75,2.08,90,1,168,97.37,539206082.88,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-12-31
2021,LT,LU47,CULTURAL_CENTRE,3.6,59.77,141.31,1.48,298201361.9,10.34,5.28,3.41,322,0,21,74.84,438717092.76,EUROSTAT_CULT,CULT_V3,2024-04-25
2022,SK,CZ17,MUSEUM,4.65,36.9,243.1,2.9,3934704275.96,18.83,15.11,2.97,32,1,163,40.92,380231651.63,CULTURE_STATS_SURVEY,CULT_V2,2024-07-20
2023,HR,GR354,LIBRARY,8.6,25.81,148.74,3.69,14886270647.08,12.26,5.17,2.05,306,0,129,31.62,412997259.13,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-04-20
2024,DE,GR8,FESTIVAL_SITE,8.94,32.15,180.25,3.01,21347979017.97,9.92,19.76,5.77,146,0,142,34.11,1052097385.3,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-08-31
2025,LU,FR71,THEATRE,7.26,63.69,185.0,2.11,14693576853.92,25.24,7.99,2.1,214,0,29,47.23,762591485.93,EUROSTAT_CULT,CULT_V2,2024-04-10
2006,SI,CY742,CONCERT_HALL,8.47,42.33,216.5,2.53,10776550114.85,20.77,12.7,6.25,329,0,43,18.83,261933483.79,CULTURE_STATS_SURVEY,CULT_V1,2025-12-28
2007,CY,GR73,HERITAGE_SITE,4.46,66.38,228.31,1.49,3725376392.6,9.36,8.14,4.96,260,0,9,26.47,5518892.97,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-01-07
2008,GR,AT4,CINEMA,4.63,72.59,124.11,3.06,3881350909.67,9.58,3.22,3.54,171,0,111,64.71,162828183.66,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-11-12
2009,MT,HR312,CULTURAL_CENTRE,5.04,32.36,201.54,3.49,19811571849.03,28.45,15.13,4.8,241,0,113,22.87,9323834.97,EUROSTAT_CULT,CULT_V1,2024-05-28
2010,ES,SE61,MUSEUM,13.26,41.69,239.41,2.31,23528115094.28,7.77,11.74,2.37,478,0,120,36.08,26346209.23,CULTURE_STATS_SURVEY,CULT_V3,2025-05-31
2011,CZ,HU75,LIBRARY,6.42,24.9,75.09,2.93,5598348361.75,14.51,3.39,5.85,333,0,70,28.61,477103194.04,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-06-26
2012,HU,BG50,FESTIVAL_SITE,8.38,64.37,120.2,1.95,12731812225.51,9.82,11.12,5.44,330,0,78,20.97,931477729.53,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-04-12
2013,NL,HR406,THEATRE,1.49,70.57,281.08,3.56,12361377672.51,26.31,4.55,6.42,220,0,8,51.77,938859083.63,EUROSTAT_CULT,CULT_V3,2025-12-30
2014,SE,CY993,CONCERT_HALL,8.94,60.22,99.03,2.41,21584693713.4,15.63,8.92,2.59,226,0,19,23.37,45321732.21,CULTURE_STATS_SURVEY,CULT_V2,2024-08-10
2015,DK,EE264,HERITAGE_SITE,8.46,31.59,185.5,3.5,14571531144.75,11.72,12.66,6.19,222,0,4,17.26,291033732.61,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-07-24
2016,IE,FI81,CINEMA,8.11,51.07,66.45,1.22,2522669845.65,10.36,7.02,2.52,109,0,24,23.18,462412727.5,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-12-20
2017,PL,IE612,CULTURAL_CENTRE,0.99,73.62,203.74,2.94,11503928509.28,9.57,5.81,2.88,247,0,66,34.63,718134823.0,EUROSTAT_CULT,CULT_V2,2025-06-06
2018,AT,NL2,MUSEUM,9.12,31.41,214.48,4.31,7019409525.37,8.62,18.72,4.5,299,0,152,74.22,823616930.09,CULTURE_STATS_SURVEY,CULT_V1,2024-05-17
2019,EE,MT93,LIBRARY,9.02,49.27,182.02,3.14,14103321208.01,11.65,15.72,4.95,296,1,28,50.57,334074248.1,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-07-31
2020,IT,IT558,FESTIVAL_SITE,10.38,64.86,235.53,2.97,24945597908.28,25.43,4.88,0.72,327,0,56,79.68,745832128.95,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-01-16
2021,PT,SI512,THEATRE,3.5,47.27,123.37,3.86,7592054915.29,22.86,7.16,1.08,262,0,76,57.04,837128371.93,EUROSTAT_CULT,CULT_V1,2025-05-12
2022,BE,SK38,CONCERT_HALL,11.38,66.61,246.69,3.75,23165738677.53,28.13,2.48,1.15,454,0,45,71.22,7567797.39,CULTURE_STATS_SURVEY,CULT_V3,2025-04-06
2023,FI,MT369,HERITAGE_SITE,9.95,64.93,87.92,2.68,27496857889.03,28.01,15.38,1.65,267,0,109,52.37,686323273.08,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-04-20
2024,LV,SE881,CINEMA,3.94,45.82,111.64,2.98,10919933562.11,20.22,6.0,1.58,205,0,39,87.58,920989445.0,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-11-30
2025,RO,RO8,CULTURAL_CENTRE,7.89,24.39,184.87,2.03,12506958670.72,15.99,12.16,5.15,294,0,31,82.52,761379723.51,EUROSTAT_CULT,CULT_V3,2026-02-17
2006,BG,FI431,MUSEUM,7.06,38.28,59.71,3.22,1730684835.31,14.84,6.52,3.9,52,0,92,21.4,282426822.99,CULTURE_STATS_SURVEY,CULT_V2,2025-08-25
2007,FR,RO966,LIBRARY,6.64,72.42,231.93,1.61,16515920895.21,12.12,8.81,5.07,474,0,16,29.58,1334312216.77,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-10-26
2008,LT,DE933,FESTIVAL_SITE,4.37,56.17,60.76,2.33,15888154425.53,26.95,14.66,5.88,336,0,50,28.68,142534021.46,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-11-01
2009,SK,FR736,THEATRE,2.4,59.42,221.68,2.39,12450361429.04,30.26,8.32,2.81,302,1,124,45.11,544673871.52,EUROSTAT_CULT,CULT_V2,2024-02-04
2010,HR,HR336,CONCERT_HALL,4.31,54.07,60.86,2.86,8437663658.6,19.65,5.23,4.15,73,0,95,54.77,406635331.45,CULTURE_STATS_SURVEY,CULT_V1,2025-12-06
2011,DE,SE73,HERITAGE_SITE,7.11,79.32,187.5,2.26,4984871592.78,14.94,6.14,6.37,379,0,68,30.42,1226981359.33,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-07-07
2012,LU,DE8,CINEMA,1.98,53.63,180.48,2.45,8327031992.15,16.55,16.63,4.84,245,0,1,49.03,558397035.82,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-08-20
2013,SI,SI8,CULTURAL_CENTRE,10.37,53.19,129.12,1.33,14029480823.36,23.26,6.91,6.19,247,0,63,29.05,175156000.99,EUROSTAT_CULT,CULT_V1,2025-03-01
2014,CY,HR666,MUSEUM,6.47,26.15,136.15,3.34,19710148796.72,17.5,3.76,1.16,140,0,121,57.91,952969732.14,CULTURE_STATS_SURVEY,CULT_V3,2025-07-23
2015,GR,HR642,LIBRARY,6.74,67.8,232.23,1.78,23825258639.66,13.19,7.78,5.17,72,0,23,31.35,641190436.15,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-06-09
2016,MT,HU80,FESTIVAL_SITE,3.07,61.37,123.38,1.31,20910264284.09,25.42,7.7,4.8,287,0,41,72.17,824192669.42,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-04-13
2017,ES,EE245,THEATRE,11.52,67.65,196.22,2.18,28112633623.21,8.83,13.9,1.61,113,0,114,88.02,339093296.02,EUROSTAT_CULT,CULT_V3,2025-09-22
2018,CZ,RO605,CONCERT_HALL,7.85,61.42,182.13,3.88,1633012829.16,27.07,7.04,4.26,338,0,9,82.82,490035994.82,CULTURE_STATS_SURVEY,CULT_V2,2024-02-05
2019,HU,EE701,HERITAGE_SITE,3.78,63.37,172.22,3.77,10455839624.07,27.58,11.7,1.75,351,1,57,82.63,736937109.33,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-02-01
2020,NL,HU3,CINEMA,8.04,81.53,173.99,3.77,35646297062.38,20.97,8.66,2.65,118,0,57,57.86,1439796213.74,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-12-26
2021,SE,MT17,CULTURAL_CENTRE,1.85,45.19,210.89,2.12,25638057957.38,26.83,13.69,4.38,70,0,69,86.21,147122790.61,EUROSTAT_CULT,CULT_V2,2024-01-16
2022,DK,HU5,MUSEUM,3.87,25.49,56.44,1.67,20515827047.29,15.48,3.96,5.73,308,0,88,84.72,798255296.64,CULTURE_STATS_SURVEY,CULT_V1,2024-08-24
2023,IE,BG54,LIBRARY,7.42,66.86,242.05,2.18,2777821813.82,8.58,12.63,4.31,125,0,34,91.85,737754602.08,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-01-23
2024,PL,EE41,FESTIVAL_SITE,1.99,68.26,206.34,2.98,24057277413.48,8.0,3.27,5.78,206,0,64,35.03,517405682.04,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-10-02
2025,AT,RO20,THEATRE,2.1,61.08,259.3,1.83,14114566470.05,18.14,14.49,4.1,155,0,70,26.62,626318171.94,EUROSTAT_CULT,CULT_V1,2025-12-13
2006,EE,DE390,CONCERT_HALL,3.31,68.2,169.77,3.04,686119208.69,8.27,16.8,1.35,70,0,100,18.7,284057370.2,CULTURE_STATS_SURVEY,CULT_V3,2025-04-09
2007,IT,SE9,HERITAGE_SITE,12.1,38.08,281.84,2.61,7977207345.0,19.63,10.9,2.36,263,0,38,33.72,21285186.38,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-03-31
2008,PT,IE909,CINEMA,8.16,68.54,239.16,1.43,17009218169.55,21.39,12.51,6.4,137,0,70,54.24,727838335.01,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-06-11
2009,BE,EE4,CULTURAL_CENTRE,7.43,70.55,113.44,2.39,13125523027.55,29.36,8.14,2.51,284,1,140,17.04,576665639.9,EUROSTAT_CULT,CULT_V3,2025-07-17
2010,FI,CZ782,MUSEUM,2.4,38.25,230.62,1.35,245535216.04,22.68,3.12,2.61,70,0,38,36.95,26101425.44,CULTURE_STATS_SURVEY,CULT_V2,2025-08-07
2011,LV,BG24,LIBRARY,5.84,27.86,184.3,2.43,16575122750.44,9.66,16.74,1.46,230,0,11,47.27,626034910.62,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-05-07
2012,RO,PL2,FESTIVAL_SITE,3.11,53.81,121.22,3.41,14906384971.63,10.6,16.17,6.38,366,0,109,38.41,740315075.88,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-05-25
2013,BG,FI96,THEATRE,10.33,44.01,142.57,2.67,21285159703.76,26.89,6.22,3.3,229,0,76,67.76,6980961.9,EUROSTAT_CULT,CULT_V2,2024-03-29
2014,FR,HR548,CONCERT_HALL,6.1,65.94,207.18,2.8,13944846157.66,11.6,8.67,5.13,381,0,128,64.2,1114269670.6,CULTURE_STATS_SURVEY,CULT_V1,2025-08-19
2015,LT,SI317,HERITAGE_SITE,5.36,60.79,92.28,2.88,349695451.13,22.03,14.83,5.05,371,0,13,31.56,300195338.88,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-09-16
2016,SK,SK232,CINEMA,8.95,58.5,55.49,1.27,1738959940.93,18.42,15.39,2.15,246,0,147,84.51,147841010.3,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-10-06
2017,HR,AT535,CULTURAL_CENTRE,1.06,49.87,73.99,1.25,14843624923.63,9.05,3.88,1.43,120,0,27,34.2,955930271.55,EUROSTAT_CULT,CULT_V1,2025-04-24
2018,DE,IE175,MUSEUM,13.01,46.89,169.04,2.0,24650287274.82,12.57,11.49,2.18,481,0,22,44.33,660594049.68,CULTURE_STATS_SURVEY,CULT_V3,2025-04-23
2019,LU,ES6,LIBRARY,8.96,63.62,225.67,2.54,7453488559.68,14.9,5.22,5.18,300,0,38,85.59,732638288.63,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-04-03
2020,SI,CY300,FESTIVAL_SITE,9.44,45.51,108.58,2.94,881478047.63,29.13,14.68,1.94,256,0,158,74.19,290514394.53,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-09-12
2021,CY,HU1,THEATRE,4.16,41.5,222.57,1.31,10243161370.62,10.83,13.71,1.97,176,0,94,68.49,628837911.75,EUROSTAT_CULT,CULT_V3,2025-09-20
2022,GR,GR9,CONCERT_HALL,4.59,65.2,129.64,1.82,11694261251.51,18.6,16.61,4.35,46,0,8,46.08,572842910.15,CULTURE_STATS_SURVEY,CULT_V2,2025-04-01
2023,MT,LV4,HERITAGE_SITE,1.86,24.76,124.56,2.29,5907199404.6,28.86,8.47,5.06,59,0,130,91.27,245380950.32,CREATIVE_ECON_ACCOUNTS,CULT_V1,2026-02-17
2024,ES,LU8,CINEMA,7.04,50.83,268.15,1.42,35855589913.88,29.09,5.16,5.79,208,0,60,26.85,1135501469.49,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-12-22
2025,CZ,BE7,CULTURAL_CENTRE,5.82,62.67,213.46,1.74,5212992293.72,16.63,10.22,1.02,105,0,61,70.56,832374427.55,EUROSTAT_CULT,CULT_V2,2025-04-01
2006,HU,LT7,MUSEUM,2.52,33.22,69.11,3.25,5840925988.95,18.79,8.43,1.42,257,0,93,46.32,451221941.89,CULTURE_STATS_SURVEY,CULT_V1,2024-04-14
2007,NL,DE63,LIBRARY,5.47,49.52,71.32,3.5,3174793783.86,10.79,16.45,3.78,225,0,93,54.62,135089786.8,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-12-30
2008,SE,HR75,FESTIVAL_SITE,8.84,51.7,237.96,3.13,8968049276.49,15.23,16.38,1.43,157,0,74,38.95,1420840540.89,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-01-10
2009,DK,DE5,THEATRE,9.66,55.98,198.62,3.53,9870730166.98,17.38,13.78,3.99,122,0,44,62.12,276904297.67,EUROSTAT_CULT,CULT_V1,2024-01-21
2010,IE,RO699,CONCERT_HALL,4.48,27.82,83.22,1.37,8267190939.86,25.26,15.82,2.33,71,0,76,21.08,481905156.11,CULTURE_STATS_SURVEY,CULT_V3,2025-04-28
2011,PL,BE106,HERITAGE_SITE,2.2,56.21,128.42,3.08,14597490404.99,25.01,12.84,2.21,47,0,128,31.05,555131258.52,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-06-04
2012,AT,CY80,CINEMA,10.85,62.12,245.33,2.52,7724800971.0,23.95,9.35,2.05,186,0,102,30.07,337190196.5,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-06-07
2013,EE,AT5,CULTURAL_CENTRE,8.62,57.64,166.3,2.78,4339117554.36,30.27,2.67,1.01,98,0,9,56.24,591875312.03,EUROSTAT_CULT,CULT_V3,2024-07-05
2014,IT,HU483,MUSEUM,3.83,38.34,243.22,3.52,16293332484.83,7.82,3.66,3.93,254,1,18,58.96,1162157174.3,CULTURE_STATS_SURVEY,CULT_V2,2024-03-25
2015,PT,SE14,LIBRARY,6.63,34.59,146.56,2.93,12491791860.01,24.89,9.33,3.48,27,0,131,64.99,916914009.13,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-07-04
2016,BE,PT7,FESTIVAL_SITE,5.61,64.91,281.51,2.19,6384575090.95,30.37,11.54,1.95,65,0,130,72.2,683269269.62,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-12-08
2017,FI,HR480,THEATRE,2.47,41.57,103.65,1.54,11868859721.79,18.71,13.56,6.35,241,1,10,44.8,889526179.71,EUROSTAT_CULT,CULT_V2,2026-01-23
2018,LV,IE964,CONCERT_HALL,6.02,30.98,188.37,2.86,1901049818.08,18.42,6.22,1.58,89,1,90,36.52,534107876.4,CULTURE_STATS_SURVEY,CULT_V1,2025-03-19
2019,RO,NL82,HERITAGE_SITE,11.3,34.81,118.94,2.11,23353944639.19,12.61,15.74,4.07,246,0,47,41.53,392279453.7,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-04-25
2020,BG,IE4,CINEMA,1.98,46.37,189.35,3.37,1375885925.46,30.23,8.64,3.5,125,0,0,31.69,559664985.4,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-06-10
2021,FR,PT53,CULTURAL_CENTRE,1.68,72.95,287.26,4.01,33428582644.65,23.24,6.11,3.53,161,0,147,44.3,198050888.84,EUROSTAT_CULT,CULT_V1,2025-12-05
2022,LT,LU771,MUSEUM,7.64,40.67,145.57,3.45,21739958204.92,20.66,17.04,3.38,195,0,10,44.14,572328822.11,CULTURE_STATS_SURVEY,CULT_V3,2025-03-21
2023,SK,LU993,LIBRARY,6.71,26.22,105.56,2.75,9469501439.79,27.61,8.13,1.17,62,0,13,86.58,265190201.33,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-09-30
2024,HR,SE398,FESTIVAL_SITE,5.25,47.9,89.39,3.68,18594397287.76,22.81,16.64,6.0,243,1,118,69.46,681072121.72,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-11-03
2025,DE,SI76,THEATRE,7.53,70.66,288.63,1.7,43189803901.08,7.76,14.59,6.35,12,0,136,81.45,982612172.59,EUROSTAT_CULT,CULT_V3,2024-11-11
2006,LU,IE2,CONCERT_HALL,2.02,25.24,94.82,3.06,12738451603.4,12.21,11.74,2.62,169,0,120,63.89,944187207.19,CULTURE_STATS_SURVEY,CULT_V2,2024-03-11
2007,SI,EE13,HERITAGE_SITE,5.41,52.56,243.83,2.85,8110207663.77,11.04,10.89,3.43,317,0,21,45.88,189142190.21,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-04-13
2008,CY,FR89,CINEMA,7.63,35.11,161.62,3.44,18831895388.66,22.82,11.01,5.5,319,0,131,29.01,414072094.89,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-03-27
2009,GR,DE9,CULTURAL_CENTRE,7.52,43.31,56.05,1.86,396455762.26,19.45,16.99,1.22,275,0,37,31.89,567406451.72,EUROSTAT_CULT,CULT_V2,2024-04-27
2010,MT,LV96,MUSEUM,9.53,58.28,132.27,1.24,565866119.66,25.2,16.85,6.29,143,0,27,36.47,750949378.28,CULTURE_STATS_SURVEY,CULT_V1,2025-04-19
2011,ES,PL334,LIBRARY,4.14,79.96,76.19,2.46,27475413305.6,14.23,5.9,6.22,88,0,2,26.33,669080217.38,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-09-15
2012,CZ,EE9,FESTIVAL_SITE,9.23,64.01,214.52,1.94,22041973217.57,29.5,9.29,1.79,297,0,44,57.67,913811311.47,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-07-21
2013,HU,BE804,THEATRE,5.95,73.38,64.14,2.61,2456668716.03,20.61,13.8,2.0,60,0,71,29.55,333901376.76,EUROSTAT_CULT,CULT_V1,2024-02-21
2014,NL,BG296,CONCERT_HALL,4.48,71.07,210.3,1.83,15762477477.88,25.45,9.75,6.42,207,0,50,58.22,492246546.95,CULTURE_STATS_SURVEY,CULT_V3,2024-11-30
2015,SE,CY239,HERITAGE_SITE,6.27,24.68,126.07,2.12,7725341103.23,17.21,11.47,5.87,59,0,114,46.15,1174407446.09,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-10-09
2016,DK,ES66,CINEMA,7.24,49.56,212.02,3.58,8117392305.56,33.1,9.37,4.51,29,0,50,83.13,452893748.77,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-12-10
2017,IE,MT8,CULTURAL_CENTRE,3.66,51.88,186.32,3.23,767370860.83,22.0,9.84,5.49,315,0,15,79.54,936085397.68,EUROSTAT_CULT,CULT_V3,2024-03-20
2018,PL,AT29,MUSEUM,5.8,73.36,224.92,2.31,20365258182.61,25.65,7.72,3.45,142,0,56,47.47,156843866.02,CULTURE_STATS_SURVEY,CULT_V2,2025-03-22
2019,AT,LV540,LIBRARY,11.83,46.89,208.98,3.59,2931295740.5,22.19,17.19,4.28,107,0,158,52.23,803732362.41,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-08-25
2020,EE,LU6,FESTIVAL_SITE,3.5,41.1,147.15,1.71,7821361065.93,11.92,4.18,3.8,48,1,91,70.52,102102579.24,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-01-19
2021,IT,LV636,THEATRE,8.77,84.71,173.9,2.73,12449650064.71,15.05,13.3,2.24,321,0,87,39.79,360527824.11,EUROSTAT_CULT,CULT_V2,2024-02-01
2022,PT,BG62,CONCERT_HALL,4.9,43.9,171.98,3.51,19574194505.89,21.88,2.11,2.2,266,0,62,70.12,701062045.57,CULTURE_STATS_SURVEY,CULT_V1,2025-05-21
2023,BE,SK7,HERITAGE_SITE,8.92,32.55,290.31,3.36,449963904.79,11.37,16.23,6.4,10,0,62,58.62,397351554.2,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-05-27
2024,FI,EE185,CINEMA,7.09,32.89,181.78,2.67,17270573980.81,31.22,11.11,1.84,148,0,66,54.17,12596209.81,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-10-16
2025,LV,PL329,CULTURAL_CENTRE,3.58,61.2,190.63,1.47,12359942416.95,19.77,5.94,1.88,300,0,127,74.46,314030727.9,EUROSTAT_CULT,CULT_V1,2025-04-29
2006,RO,SE651,MUSEUM,10.43,54.04,204.8,3.01,7736675044.16,23.35,12.56,5.69,316,0,31,22.35,354650484.38,CULTURE_STATS_SURVEY,CULT_V3,2024-10-19
2007,BG,IE41,LIBRARY,4.63,32.36,158.53,1.75,10199566477.7,21.67,2.47,5.23,162,0,123,44.42,712068026.17,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-02-05
