health_cap_reference_year,health_cap_country_iso2,health_cap_region_nuts_code,health_cap_hospital_type_code,health_cap_hospitals_count,health_cap_beds_total,health_cap_icu_beds_total,health_cap_doctors_per_1000,health_cap_nurses_per_1000,health_cap_gps_per_1000,health_cap_specialists_per_1000,health_cap_occupancy_rate_pct,health_cap_avg_length_of_stay_days,health_cap_surgery_wait_time_days_median,health_cap_emergency_wait_time_minutes_median,health_cap_staff_vacancy_rate_pct,health_cap_cross_border_patient_flows_count,health_cap_data_source,health_cap_revision_round,health_cap_data_extract_date
2014,EE,FI6,PSYCHIATRIC,42,8953,316,2.33,3.9,1.82,0.74,55.96,12.25,8.75,86.59,6.13,32952,OECD_HEALTH_STAT,FLASH,2024-12-13
2015,HU,FI1,REHABILITATION,111,8664,641,2.52,12.69,2.16,1.63,78.68,15.17,159.08,53.31,9.38,83866,EUROSTAT_HEALTH,FIRST,2024-06-26
2016,LU,LV739,SPECIALISED,49,18427,946,2.32,14.12,1.55,0.6,54.94,8.34,191.63,187.35,10.55,146088,NATIONAL_HEALTH_MINISTRY,SECOND,2024-10-04
2017,RO,AT946,UNIVERSITY,26,6935,215,5.56,10.4,1.46,4.3,66.65,5.03,51.81,173.97,2.91,75075,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-07-13
2018,AT,ES72,GENERAL_ACUTE,242,32101,2416,3.4,12.9,0.95,2.92,89.56,12.08,174.55,216.03,9.69,102337,OECD_HEALTH_STAT,FLASH,2024-11-08
2019,CZ,LT106,DAY_SURGERY,14,5004,439,1.73,12.55,0.68,0.9,59.64,7.97,135.74,168.02,5.91,74984,EUROSTAT_HEALTH,FIRST,2025-10-18
2020,DE,LT586,PSYCHIATRIC,124,36465,598,6.28,10.26,1.95,5.27,65.18,16.26,28.46,150.99,14.31,96584,NATIONAL_HEALTH_MINISTRY,SECOND,2025-10-18
2021,LV,ES16,REHABILITATION,22,2368,195,5.62,3.37,1.1,5.52,79.66,15.91,226.9,177.39,21.8,68336,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-06-17
2022,PL,SI51,SPECIALISED,28,8972,261,4.66,8.58,0.59,5.03,80.17,2.78,199.37,112.04,16.74,95560,OECD_HEALTH_STAT,FLASH,2024-04-08
2023,ES,HR62,UNIVERSITY,46,15401,688,5.9,14.21,1.37,5.75,73.11,4.38,160.07,162.12,13.02,96961,EUROSTAT_HEALTH,FIRST,2024-03-27
2024,HR,LV6,GENERAL_ACUTE,131,26958,1652,5.75,13.18,2.13,3.94,74.2,8.05,35.76,36.71,18.46,83959,NATIONAL_HEALTH_MINISTRY,SECOND,2024-01-16
2025,FI,FI81,DAY_SURGERY,12,1740,76,6.06,6.43,2.03,4.4,66.98,10.74,57.78,81.29,7.14,118267,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-08-23
2006,IE,PT487,PSYCHIATRIC,144,69875,4154,6.22,4.23,0.95,6.16,80.46,12.16,67.87,77.16,6.4,73850,OECD_HEALTH_STAT,FLASH,2024-04-04
2007,MT,DE94,REHABILITATION,11,4431,213,3.95,4.01,0.79,3.66,81.05,11.12,97.3,94.21,3.61,107943,EUROSTAT_HEALTH,FIRST,2024-04-24
2008,SK,GR44,SPECIALISED,99,39134,3320,1.78,8.27,0.74,1.33,67.23,5.77,11.46,77.3,10.18,116404,NATIONAL_HEALTH_MINISTRY,SECOND,2024-07-22
2009,BE,AT611,UNIVERSITY,133,13007,1022,4.18,13.27,1.7,2.37,84.12,10.22,85.86,135.54,1.49,150368,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-02-22
2010,DK,BG4,GENERAL_ACUTE,172,42418,3113,4.68,7.54,0.9,4.73,69.67,4.82,165.58,154.01,12.49,6837,OECD_HEALTH_STAT,FLASH,2026-01-06
2011,GR,BG3,DAY_SURGERY,84,21858,1722,4.78,13.43,2.0,3.51,83.72,7.9,171.72,115.75,1.76,73956,EUROSTAT_HEALTH,FIRST,2024-05-30
2012,LT,CY1,PSYCHIATRIC,124,62618,2058,3.35,4.98,1.38,2.63,71.08,5.67,43.41,118.24,2.01,119497,NATIONAL_HEALTH_MINISTRY,SECOND,2024-11-20
2013,PT,SE43,REHABILITATION,151,34041,2199,3.52,13.9,2.02,1.37,86.35,16.3,75.37,148.88,12.52,17718,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-12-15
2014,SE,SK34,SPECIALISED,45,21263,1197,4.48,10.56,1.84,2.7,64.34,9.01,140.49,37.02,1.59,210080,OECD_HEALTH_STAT,FLASH,2024-05-25
2015,CY,NL80,UNIVERSITY,109,28479,2334,3.81,9.86,1.29,2.5,52.38,6.43,94.54,103.06,12.02,95862,EUROSTAT_HEALTH,FIRST,2025-10-16
2016,FR,FI935,GENERAL_ACUTE,123,13053,310,6.32,5.63,1.88,5.54,67.28,3.26,21.64,172.76,3.16,55267,NATIONAL_HEALTH_MINISTRY,SECOND,2024-08-20
2017,IT,PT27,DAY_SURGERY,47,14526,427,2.04,4.35,0.48,2.53,79.81,6.75,21.37,164.93,0.93,39932,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-03-14
2018,NL,GR47,PSYCHIATRIC,108,45960,1435,6.32,10.27,1.73,5.76,72.96,15.02,59.12,139.57,5.52,208534,OECD_HEALTH_STAT,FLASH,2024-01-24
2019,SI,MT148,REHABILITATION,115,22258,1613,3.3,9.29,1.52,2.85,60.19,13.34,12.53,47.56,2.4,116989,EUROSTAT_HEALTH,FIRST,2024-06-17
2020,BG,CY87,SPECIALISED,61,3141,197,2.75,11.61,1.52,1.62,84.82,8.49,6.96,147.57,16.93,88802,NATIONAL_HEALTH_MINISTRY,SECOND,2026-02-09
2021,EE,NL87,UNIVERSITY,153,25988,2299,5.23,4.36,0.76,5.65,85.83,11.23,12.52,151.85,9.96,9280,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-05-19
2022,HU,BG628,GENERAL_ACUTE,18,7185,220,3.2,5.33,0.68,3.62,59.93,6.29,180.82,121.81,12.95,111854,OECD_HEALTH_STAT,FLASH,2025-04-14
2023,LU,PL29,DAY_SURGERY,157,24178,1665,6.26,13.65,2.12,4.89,82.36,6.74,201.17,91.45,8.23,121184,EUROSTAT_HEALTH,FIRST,2025-11-05
2024,RO,ES148,PSYCHIATRIC,17,871,44,5.32,8.8,1.9,4.6,59.84,4.65,110.87,146.92,20.24,86595,NATIONAL_HEALTH_MINISTRY,SECOND,2024-05-07
2025,AT,SK7,REHABILITATION,131,41329,2202,4.27,13.82,1.53,3.08,74.11,4.26,194.04,145.12,19.77,203863,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-02-16
2006,CZ,AT515,SPECIALISED,186,43744,2101,3.61,13.17,0.81,3.68,68.53,5.31,178.96,142.11,14.98,95363,OECD_HEALTH_STAT,FLASH,2024-05-10
2007,DE,SI469,UNIVERSITY,141,35643,2972,6.26,13.37,1.95,5.41,53.84,9.71,125.59,63.33,14.94,39664,EUROSTAT_HEALTH,FIRST,2025-12-19
2008,LV,IE482,GENERAL_ACUTE,28,5542,442,4.28,11.4,0.4,4.95,91.75,10.66,178.44,174.7,12.79,97949,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-15
2009,PL,BG81,DAY_SURGERY,100,46886,3191,3.25,14.09,0.75,1.96,60.53,7.4,65.88,77.1,1.25,110672,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-06-28
2010,ES,DE646,PSYCHIATRIC,80,28417,1334,2.86,5.7,1.76,1.61,53.95,12.53,65.99,22.04,3.63,29917,OECD_HEALTH_STAT,FLASH,2024-09-23
2011,HR,PT8,REHABILITATION,21,6456,239,3.19,9.6,1.8,1.12,71.59,15.3,74.92,77.65,3.78,97956,EUROSTAT_HEALTH,FIRST,2024-09-23
2012,FI,ES8,SPECIALISED,155,38956,2410,2.95,8.94,0.66,2.79,76.61,10.0,185.83,11.46,6.8,83387,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-07
2013,IE,GR764,UNIVERSITY,70,18750,549,2.98,11.88,1.37,2.32,74.18,3.57,136.51,139.92,13.44,4221,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-09-23
2014,MT,AT3,GENERAL_ACUTE,136,23027,2016,1.8,13.86,1.32,0.6,90.46,12.16,160.01,152.99,8.85,110207,OECD_HEALTH_STAT,FLASH,2025-09-12
2015,SK,GR780,DAY_SURGERY,158,44783,2928,3.66,4.05,0.5,3.46,80.95,8.28,141.2,75.8,8.53,5092,EUROSTAT_HEALTH,FIRST,2025-08-04
2016,BE,PL73,PSYCHIATRIC,1,224,4,4.72,7.19,1.12,3.82,54.9,4.24,135.87,85.18,10.23,195343,NATIONAL_HEALTH_MINISTRY,SECOND,2025-06-02
2017,DK,GR682,REHABILITATION,155,67917,5930,4.22,8.06,1.47,4.0,77.62,6.09,68.63,128.83,12.95,171316,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-12-20
2018,GR,DK38,SPECIALISED,215,60053,2183,4.89,7.85,1.31,3.52,67.79,10.53,83.18,71.43,13.4,9791,OECD_HEALTH_STAT,FLASH,2024-02-28
2019,LT,BE680,UNIVERSITY,119,17148,993,4.87,9.82,2.01,2.77,63.34,6.12,159.63,52.93,11.3,47512,EUROSTAT_HEALTH,FIRST,2025-03-12
2020,PT,HU94,GENERAL_ACUTE,160,69549,4001,5.12,9.87,1.83,3.76,63.89,9.14,101.62,87.07,3.04,76872,NATIONAL_HEALTH_MINISTRY,SECOND,2024-05-20
2021,SE,SK6,DAY_SURGERY,97,5977,305,4.13,10.48,1.46,3.22,73.54,8.88,180.85,27.2,21.25,75693,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-05-06
2022,CY,RO62,PSYCHIATRIC,86,36310,2047,3.65,5.26,0.88,2.21,65.31,9.63,92.31,130.04,21.77,47468,OECD_HEALTH_STAT,FLASH,2024-06-13
2023,FR,IE89,REHABILITATION,60,24402,1387,5.82,11.73,2.04,3.63,84.92,9.75,171.34,133.58,3.44,130099,EUROSTAT_HEALTH,FIRST,2025-12-14
2024,IT,IT417,SPECIALISED,90,8792,710,6.08,9.17,0.48,6.92,55.15,12.32,118.2,180.95,3.46,77843,NATIONAL_HEALTH_MINISTRY,SECOND,2024-05-28
2025,NL,DE39,UNIVERSITY,125,32596,2917,3.99,7.87,1.21,2.57,55.3,11.15,142.3,171.1,18.62,151597,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-12-30
2006,SI,EE14,GENERAL_ACUTE,22,9048,526,5.0,14.17,1.91,3.32,64.85,3.45,61.97,59.46,14.33,9692,OECD_HEALTH_STAT,FLASH,2026-01-09
2007,BG,LU714,DAY_SURGERY,19,9425,124,4.38,12.06,1.09,3.12,75.3,11.14,77.4,185.94,1.12,30755,EUROSTAT_HEALTH,FIRST,2024-08-27
2008,EE,PL476,PSYCHIATRIC,23,2787,100,5.27,13.43,0.46,5.88,70.83,6.66,169.98,93.72,7.87,105512,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-13
2009,HU,AT290,REHABILITATION,135,10260,423,4.81,12.2,0.99,4.69,72.84,9.57,177.04,97.51,7.47,93451,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-10-01
2010,LU,LV62,SPECIALISED,199,10884,292,2.87,14.13,1.61,2.58,56.32,4.71,9.42,20.11,3.84,110822,OECD_HEALTH_STAT,FLASH,2025-06-21
2011,RO,EE8,UNIVERSITY,140,35085,2877,2.49,13.77,1.02,2.47,78.75,8.46,22.11,144.69,8.11,32464,EUROSTAT_HEALTH,FIRST,2025-07-15
2012,AT,BE758,GENERAL_ACUTE,132,53862,2206,4.4,4.44,0.57,4.51,83.41,5.31,191.76,140.83,11.78,161631,NATIONAL_HEALTH_MINISTRY,SECOND,2025-09-11
2013,CZ,LT745,DAY_SURGERY,64,3336,235,2.89,6.11,0.48,2.96,63.2,10.57,176.46,26.01,11.14,17697,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-04-27
2014,DE,HR11,PSYCHIATRIC,45,6168,174,4.55,8.16,0.51,4.64,67.9,7.9,76.12,44.26,11.92,129023,OECD_HEALTH_STAT,FLASH,2025-02-15
2015,LV,DK11,REHABILITATION,54,14232,489,4.28,14.37,1.15,3.17,81.44,13.09,205.41,131.1,2.8,125069,EUROSTAT_HEALTH,FIRST,2026-01-08
2016,PL,HU30,SPECIALISED,144,25118,2008,3.19,6.52,0.85,2.57,76.37,7.67,14.34,104.58,1.44,108263,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-13
2017,ES,GR41,UNIVERSITY,37,17118,1522,2.71,13.78,1.14,2.69,83.63,5.63,116.22,84.03,1.76,74545,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-01-30
2018,HR,LU55,GENERAL_ACUTE,39,3469,55,4.24,3.44,1.78,3.81,70.06,4.58,193.98,9.18,13.9,24217,OECD_HEALTH_STAT,FLASH,2024-04-27
2019,FI,BE821,DAY_SURGERY,140,4935,344,4.99,11.51,1.11,5.11,78.32,7.93,183.31,68.69,11.44,86583,EUROSTAT_HEALTH,FIRST,2024-04-26
2020,IE,LV50,PSYCHIATRIC,8,2950,97,6.28,4.7,1.94,5.36,73.7,11.86,227.26,74.56,14.21,27924,NATIONAL_HEALTH_MINISTRY,SECOND,2024-02-26
2021,MT,PT75,REHABILITATION,60,10171,594,3.26,11.83,1.99,1.08,57.94,13.25,206.06,70.3,13.35,88731,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-10-21
2022,SK,RO23,SPECIALISED,187,22108,692,2.45,9.26,0.74,2.81,70.74,7.44,187.95,159.06,19.71,118904,OECD_HEALTH_STAT,FLASH,2026-02-13
2023,BE,EE5,UNIVERSITY,60,22069,1694,5.47,10.25,1.1,5.54,54.65,8.07,41.56,73.96,17.94,186562,EUROSTAT_HEALTH,FIRST,2024-09-06
2024,DK,IE32,GENERAL_ACUTE,185,69974,6092,2.88,13.54,0.85,2.37,83.22,5.88,202.25,55.41,10.55,203235,NATIONAL_HEALTH_MINISTRY,SECOND,2025-09-26
2025,GR,AT13,DAY_SURGERY,57,7511,601,6.09,13.08,1.57,5.61,68.53,10.14,89.86,44.44,9.96,82091,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-02-20
2006,LT,AT99,PSYCHIATRIC,154,61004,744,5.55,3.51,0.66,5.93,62.35,7.18,76.27,112.37,8.45,105099,OECD_HEALTH_STAT,FLASH,2025-04-20
2007,PT,AT725,REHABILITATION,57,27573,2112,4.15,10.83,0.49,4.52,59.93,15.68,72.17,185.01,9.6,14798,EUROSTAT_HEALTH,FIRST,2025-11-03
2008,SE,RO56,SPECIALISED,46,2176,133,2.74,8.4,0.78,2.03,65.32,11.17,127.48,34.89,6.64,214669,NATIONAL_HEALTH_MINISTRY,SECOND,2024-05-29
2009,CY,HU4,UNIVERSITY,14,2114,181,5.51,11.16,1.46,4.87,66.06,3.47,61.88,91.48,5.17,101161,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-07-15
2010,FR,HR447,GENERAL_ACUTE,140,73297,5014,4.69,10.63,1.83,3.36,71.75,11.17,70.77,44.62,1.69,137095,OECD_HEALTH_STAT,FLASH,2025-04-29
2011,IT,DE971,DAY_SURGERY,58,3914,345,2.34,3.5,0.57,2.31,63.73,10.04,40.08,169.35,11.13,8945,EUROSTAT_HEALTH,FIRST,2024-12-06
2012,NL,DE558,PSYCHIATRIC,54,2198,80,3.03,7.13,2.19,0.6,71.19,14.34,116.29,134.87,12.94,42639,NATIONAL_HEALTH_MINISTRY,SECOND,2025-07-28
2013,SI,NL86,REHABILITATION,6,3246,224,5.89,9.0,1.03,5.69,66.94,5.73,185.72,127.3,4.44,45710,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-02-01
2014,BG,GR560,SPECIALISED,118,9986,211,2.49,11.36,1.73,1.35,82.22,6.33,180.65,64.29,4.51,12009,OECD_HEALTH_STAT,FLASH,2025-11-06
2015,EE,LT55,UNIVERSITY,45,10375,183,2.73,3.98,0.98,1.81,84.82,6.72,153.05,34.0,9.6,83213,EUROSTAT_HEALTH,FIRST,2026-02-09
2016,HU,BG32,GENERAL_ACUTE,123,16431,426,5.95,6.48,1.17,4.83,74.59,4.98,41.45,83.25,3.55,34827,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-26
2017,LU,CY607,DAY_SURGERY,62,18766,629,5.17,9.88,0.51,4.46,83.65,11.95,189.95,186.27,7.96,56020,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-08-23
2018,RO,ES850,PSYCHIATRIC,140,18530,1568,2.12,9.48,1.89,0.6,59.93,10.92,22.0,72.72,13.28,67432,OECD_HEALTH_STAT,FLASH,2025-05-28
2019,AT,HU250,REHABILITATION,56,17354,1089,2.92,13.0,0.78,2.98,53.68,11.01,195.22,23.18,8.37,136129,EUROSTAT_HEALTH,FIRST,2024-02-16
2020,CZ,SE95,SPECIALISED,141,63286,1524,5.1,6.88,1.07,5.02,55.59,11.37,229.57,35.51,3.16,43881,NATIONAL_HEALTH_MINISTRY,SECOND,2024-12-31
2021,DE,LT10,UNIVERSITY,131,22203,1955,3.64,8.74,1.28,3.73,84.45,9.76,81.92,84.13,17.67,213312,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-10-23
2022,LV,DE62,GENERAL_ACUTE,49,21807,795,6.27,9.89,1.62,5.59,69.3,10.04,37.67,177.15,12.07,51861,OECD_HEALTH_STAT,FLASH,2025-05-19
2023,PL,SI969,DAY_SURGERY,18,1260,36,3.09,12.82,1.23,2.73,58.89,9.85,108.47,171.18,15.12,20292,EUROSTAT_HEALTH,FIRST,2025-06-07
2024,ES,BE453,PSYCHIATRIC,12,2712,214,6.16,8.63,0.61,6.11,65.21,9.03,109.37,31.55,10.76,61203,NATIONAL_HEALTH_MINISTRY,SECOND,2025-06-02
2025,HR,CY771,REHABILITATION,83,18556,1593,2.13,3.89,0.64,1.78,57.72,4.12,65.14,134.76,6.15,41553,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-06
2006,FI,HU50,SPECIALISED,268,24864,508,5.15,8.1,0.99,4.93,78.58,7.94,164.59,183.59,10.71,52642,OECD_HEALTH_STAT,FLASH,2026-01-08
2007,IE,HR465,UNIVERSITY,143,36712,2981,2.92,10.12,1.57,1.18,58.28,4.3,207.07,15.33,9.76,66180,EUROSTAT_HEALTH,FIRST,2024-04-26
2008,MT,DK1,GENERAL_ACUTE,229,26439,1841,3.25,4.0,1.56,1.99,79.15,9.53,96.07,99.62,15.01,27371,NATIONAL_HEALTH_MINISTRY,SECOND,2025-07-17
2009,SK,EE38,DAY_SURGERY,117,45539,1066,5.89,13.72,1.8,4.07,62.38,6.34,24.61,159.16,11.21,59333,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-07-29
2010,BE,GR973,PSYCHIATRIC,81,26283,1554,1.77,9.2,0.98,0.99,56.73,8.6,25.01,107.92,14.0,122296,OECD_HEALTH_STAT,FLASH,2025-01-12
2011,DK,LV71,REHABILITATION,36,12289,873,3.43,7.05,0.61,3.88,74.36,14.86,131.74,123.24,2.38,204012,EUROSTAT_HEALTH,FIRST,2025-09-19
2012,GR,IT88,SPECIALISED,271,91445,1978,6.16,7.36,0.88,6.59,66.45,3.29,169.46,56.81,9.55,69628,NATIONAL_HEALTH_MINISTRY,SECOND,2024-06-22
2013,LT,IT159,UNIVERSITY,120,49477,2784,4.82,11.58,1.09,4.42,52.43,6.08,68.42,24.5,15.21,87779,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-10-18
2014,PT,BE84,GENERAL_ACUTE,9,2366,71,5.67,4.61,1.85,4.65,69.54,5.55,107.71,149.86,2.61,124201,OECD_HEALTH_STAT,FLASH,2025-02-18
2015,SE,DE13,DAY_SURGERY,148,26780,1477,6.18,4.0,0.98,5.0,73.64,4.17,120.1,45.64,7.73,176974,EUROSTAT_HEALTH,FIRST,2024-04-23
2016,CY,EE782,PSYCHIATRIC,18,4538,284,4.7,11.59,2.2,3.26,69.47,16.54,86.96,10.94,1.75,14386,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-22
2017,FR,IT36,REHABILITATION,11,1281,85,1.99,4.35,0.82,1.3,77.63,16.63,193.68,187.54,10.04,147510,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-08-19
2018,IT,DK57,SPECIALISED,20,9581,699,5.57,9.08,1.71,4.35,59.61,5.91,179.08,55.08,11.43,20883,OECD_HEALTH_STAT,FLASH,2025-09-11
2019,NL,PT761,UNIVERSITY,119,29303,2130,3.16,5.35,2.14,1.44,56.71,4.47,85.43,44.75,14.23,83122,EUROSTAT_HEALTH,FIRST,2025-05-26
2020,SI,HR362,GENERAL_ACUTE,235,73723,3467,2.67,7.2,1.89,1.4,72.61,10.57,199.93,183.2,15.63,20841,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-11
2021,BG,MT547,DAY_SURGERY,90,44326,1420,2.95,3.1,1.93,2.09,66.11,3.53,98.29,52.6,16.88,81257,HOSPITAL_ADMIN_REPORT,BENCHMARK,2026-01-31
2022,EE,LT95,PSYCHIATRIC,118,15068,574,2.43,7.75,2.03,0.85,56.58,11.04,43.03,156.53,21.78,3001,OECD_HEALTH_STAT,FLASH,2025-02-25
2023,HU,ES11,REHABILITATION,116,40015,715,2.54,3.71,0.97,1.36,71.89,13.81,62.77,163.19,12.59,75768,EUROSTAT_HEALTH,FIRST,2026-02-08
2024,LU,ES18,SPECIALISED,8,340,7,3.87,5.86,1.28,3.89,85.07,4.26,108.32,176.59,3.13,4142,NATIONAL_HEALTH_MINISTRY,SECOND,2025-07-22
2025,RO,FR60,UNIVERSITY,60,16211,237,4.08,14.39,1.34,3.28,86.16,5.07,47.57,192.41,14.68,92504,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-04-11
2006,AT,DE18,GENERAL_ACUTE,170,49478,2095,6.32,12.45,1.2,5.1,82.14,7.91,183.77,106.03,0.96,145274,OECD_HEALTH_STAT,FLASH,2025-11-23
2007,CZ,SE4,DAY_SURGERY,105,18987,1575,5.07,3.54,1.42,3.42,65.92,8.32,122.99,37.9,2.06,802,EUROSTAT_HEALTH,FIRST,2025-09-20
2008,DE,SE986,PSYCHIATRIC,68,10121,500,4.08,9.72,0.45,4.44,81.27,14.38,93.73,46.84,9.87,179953,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-26
2009,LV,SK527,REHABILITATION,132,58614,1024,4.03,8.38,0.56,3.03,74.75,12.08,207.55,81.28,9.81,38599,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-07-29
2010,PL,AT749,SPECIALISED,84,10646,586,2.93,11.5,0.97,1.69,80.86,9.58,111.58,37.52,14.04,64672,OECD_HEALTH_STAT,FLASH,2024-07-03
2011,ES,SE710,UNIVERSITY,123,49547,3472,5.28,13.87,0.69,5.98,68.06,12.22,81.66,151.39,11.9,1658,EUROSTAT_HEALTH,FIRST,2024-01-04
2012,HR,NL275,GENERAL_ACUTE,85,18547,789,4.83,4.15,0.5,4.35,79.37,8.26,38.16,18.58,10.4,5848,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-08
2013,FI,FI97,DAY_SURGERY,11,4215,189,4.39,5.78,1.74,3.17,80.2,5.39,64.51,56.51,6.59,105999,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-06-07
2014,IE,BE85,PSYCHIATRIC,31,1724,110,4.26,8.27,1.87,2.66,85.61,4.86,103.65,73.32,13.64,80313,OECD_HEALTH_STAT,FLASH,2025-02-16
2015,MT,LT70,REHABILITATION,5,1843,146,5.57,9.46,1.33,4.65,54.22,10.89,85.61,94.11,11.22,59254,EUROSTAT_HEALTH,FIRST,2026-02-12
2016,SK,CY963,SPECIALISED,75,24486,1907,4.27,14.44,0.8,4.13,73.72,4.09,128.36,132.21,9.56,66171,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-10
2017,BE,EE53,UNIVERSITY,63,14776,408,4.32,6.07,0.83,3.45,72.6,6.72,185.21,95.34,0.97,156008,HOSPITAL_ADMIN_REPORT,BENCHMARK,2026-02-03
2018,DK,CY5,GENERAL_ACUTE,47,5084,182,2.0,6.33,1.65,0.6,69.97,7.4,189.92,57.64,12.01,111918,OECD_HEALTH_STAT,FLASH,2024-05-20
2019,GR,FR7,DAY_SURGERY,20,8698,260,4.6,7.77,2.18,2.55,54.61,7.75,195.15,159.95,14.01,88436,EUROSTAT_HEALTH,FIRST,2024-06-06
2020,LT,HR8,PSYCHIATRIC,35,1271,35,2.32,8.37,1.84,1.77,85.02,12.36,105.11,80.15,9.57,51658,NATIONAL_HEALTH_MINISTRY,SECOND,2025-03-20
2021,PT,CY3,REHABILITATION,65,3867,92,5.86,11.51,2.12,3.81,57.72,7.7,46.39,98.91,7.93,28417,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-05-01
2022,SE,RO439,SPECIALISED,252,41099,1784,3.17,3.12,0.99,3.32,62.0,7.37,86.55,141.75,15.86,299,OECD_HEALTH_STAT,FLASH,2025-10-26
2023,CY,IE84,UNIVERSITY,55,22660,669,2.8,7.35,2.14,1.66,84.44,6.87,108.74,19.47,10.92,5182,EUROSTAT_HEALTH,FIRST,2025-11-10
2024,FR,RO711,GENERAL_ACUTE,160,40626,511,3.09,12.84,0.96,2.57,91.91,6.44,95.56,31.02,21.81,57639,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-07
2025,IT,LT687,DAY_SURGERY,70,3540,263,5.34,14.28,0.98,5.07,84.63,8.58,39.23,52.53,17.0,23335,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-06-11
2006,NL,LV2,PSYCHIATRIC,152,40869,1872,2.32,6.65,0.58,1.67,63.84,6.23,44.51,154.43,10.05,1319,OECD_HEALTH_STAT,FLASH,2024-03-19
2007,SI,SK4,REHABILITATION,148,48069,3615,3.88,14.21,0.72,2.91,55.38,15.93,183.35,78.13,10.76,286,EUROSTAT_HEALTH,FIRST,2025-04-27
2008,BG,SK55,SPECIALISED,203,109824,8963,3.82,13.97,1.89,2.45,57.86,5.57,123.99,89.11,0.99,70299,NATIONAL_HEALTH_MINISTRY,SECOND,2025-07-12
2009,EE,IE77,UNIVERSITY,46,20284,437,6.09,7.27,0.78,4.96,61.15,3.24,102.32,66.48,11.91,95643,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-06-12
2010,HU,CZ210,GENERAL_ACUTE,25,4803,425,3.93,12.96,2.15,2.41,60.33,6.9,72.6,31.34,5.33,110664,OECD_HEALTH_STAT,FLASH,2024-10-27
2011,LU,EE3,DAY_SURGERY,123,46459,4152,4.65,4.31,1.2,4.62,67.28,8.65,95.4,84.62,5.5,108037,EUROSTAT_HEALTH,FIRST,2025-10-12
2012,RO,PL459,PSYCHIATRIC,34,2259,154,6.25,4.79,1.52,4.5,52.88,6.77,103.99,102.5,10.07,19716,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-27
2013,AT,GR378,REHABILITATION,52,7072,189,4.07,5.79,1.94,2.97,79.36,9.28,104.37,168.38,6.27,205955,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-03-16
2014,CZ,SI7,SPECIALISED,58,10934,266,5.12,12.72,1.78,3.1,74.04,6.6,20.05,88.06,8.69,84053,OECD_HEALTH_STAT,FLASH,2026-01-09
2015,DE,PL92,UNIVERSITY,5,1589,132,5.45,4.0,0.51,5.51,55.54,6.19,93.39,114.44,3.49,121364,EUROSTAT_HEALTH,FIRST,2024-08-07
2016,LV,EE26,GENERAL_ACUTE,215,89267,2936,5.28,3.36,0.43,4.76,65.67,7.66,139.96,180.99,6.55,122332,NATIONAL_HEALTH_MINISTRY,SECOND,2024-11-11
