ph_mental_reference_year,ph_mental_country_iso2,ph_mental_region_nuts_code,ph_mental_age_group,ph_mental_sex,ph_mental_depressive_symptoms_rate_pct,ph_mental_anxiety_rate_pct,ph_mental_wellbeing_index_score,ph_mental_self_harm_rate_per_100k,ph_mental_suicide_rate_per_100k,ph_mental_psych_services_access_rate_pct,ph_mental_waiting_time_days_median,ph_mental_antidepressant_use_did,ph_mental_sick_leave_due_to_mental_health_days,ph_mental_work_stress_index,ph_mental_loneliness_rate_pct,ph_mental_mental_health_strategy_flag,ph_mental_ehis_table_code,ph_mental_survey_weight,ph_mental_data_extract_date
2020,FR,EE89,65_74,F,25.44,24.99,30.62,39.52,8.47,90.74,20.47,41.73,19057,35.84,49.42,0,HLTH_EHIS_MH3,1.2931,2024-01-13
2021,LT,AT65,35_44,M,17.9,28.49,53.71,31.23,9.69,56.04,109.51,94.95,2947,50.69,25.49,1,HLTH_EHIS_MH4,4.6901,2024-05-26
2022,SK,CY29,75_PLUS,X,6.94,14.52,43.12,45.99,4.6,27.45,118.9,145.51,3241,43.06,26.65,1,HLTH_EHIS_MH1,1.5985,2024-08-27
2023,HR,ES713,45_54,F,17.69,24.34,45.96,64.42,12.61,45.12,112.98,102.74,216,29.31,31.94,1,HLTH_EHIS_MH2,3.5034,2024-10-11
2024,DE,FI75,15_24,M,14.44,18.83,59.11,21.44,9.52,63.69,36.53,103.15,3183,19.48,21.74,1,HLTH_EHIS_MH3,1.0196,2025-12-06
2025,LU,CY27,55_64,X,19.64,10.87,61.7,48.32,12.04,81.35,115.52,46.89,9518,68.46,20.39,0,HLTH_EHIS_MH4,2.8008,2024-03-20
2006,SI,LT72,25_34,F,21.62,17.25,38.18,16.36,13.9,59.46,53.56,95.18,1933,64.28,28.22,0,HLTH_EHIS_MH1,2.5216,2025-04-30
2007,CY,DK23,65_74,M,16.1,17.53,41.28,58.29,22.73,39.27,10.0,130.43,2061,58.63,25.68,0,HLTH_EHIS_MH2,2.092,2024-05-09
2008,GR,EE980,35_44,X,4.73,17.87,49.0,70.04,16.11,45.28,100.45,95.11,5404,42.06,30.12,0,HLTH_EHIS_MH3,3.2453,2024-01-05
2009,MT,HR4,75_PLUS,F,5.65,25.1,60.05,7.81,19.15,21.75,59.59,154.21,389,25.59,13.84,0,HLTH_EHIS_MH4,1.3138,2025-04-08
2010,ES,LV298,45_54,M,6.64,12.62,37.15,16.67,17.35,43.52,10.69,73.16,6963,62.66,23.27,0,HLTH_EHIS_MH1,4.3972,2024-03-09
2011,CZ,ES88,15_24,X,17.82,5.45,32.14,84.24,16.11,33.59,75.98,100.37,14692,38.81,32.83,0,HLTH_EHIS_MH2,1.7571,2025-03-11
2012,HU,BG66,55_64,F,20.87,16.45,39.23,24.85,7.16,46.15,136.28,51.25,17038,21.38,22.18,0,HLTH_EHIS_MH3,0.8016,2024-03-18
2013,NL,AT91,25_34,M,21.41,9.44,44.36,44.06,22.43,63.38,106.8,82.64,9841,69.85,17.84,0,HLTH_EHIS_MH4,0.2302,2026-02-11
2014,SE,CZ8,65_74,X,10.35,18.55,52.84,9.63,7.93,71.21,110.91,70.6,7947,32.79,37.33,1,HLTH_EHIS_MH1,4.5173,2025-09-24
2015,DK,PL575,35_44,F,15.62,5.88,41.51,27.87,6.59,68.81,85.2,120.54,8512,48.21,26.94,1,HLTH_EHIS_MH2,4.7109,2024-07-26
2016,IE,CY365,75_PLUS,M,16.62,17.95,48.05,10.46,6.2,30.53,42.99,128.62,249,51.76,41.35,1,HLTH_EHIS_MH3,2.9296,2025-03-27
2017,PL,FR998,45_54,X,18.18,16.08,35.93,15.91,18.44,38.73,130.23,25.13,2275,73.06,9.3,0,HLTH_EHIS_MH4,4.3173,2025-08-21
2018,AT,BG205,15_24,F,5.25,15.28,41.35,65.01,7.73,77.55,22.44,110.89,886,42.15,24.13,0,HLTH_EHIS_MH1,0.2604,2025-06-14
2019,EE,DE40,55_64,M,17.42,12.45,42.77,81.91,5.96,63.49,83.84,95.25,9956,21.14,24.46,1,HLTH_EHIS_MH2,1.15,2024-06-18
2020,IT,DK542,25_34,X,7.71,31.88,57.91,57.05,9.69,68.91,42.2,49.79,5340,68.53,35.43,1,HLTH_EHIS_MH3,1.6082,2024-11-16
2021,PT,LT6,65_74,F,14.33,35.57,39.44,41.91,14.54,76.61,157.04,21.39,22580,29.38,33.61,1,HLTH_EHIS_MH4,0.7869,2024-02-04
2022,BE,IT401,35_44,M,12.15,10.58,65.39,68.31,5.15,77.35,115.96,106.9,10264,30.84,13.4,1,HLTH_EHIS_MH1,1.6328,2025-01-26
2023,FI,EE318,75_PLUS,X,17.12,6.68,33.38,63.86,20.13,56.26,26.11,134.72,16406,41.76,13.62,1,HLTH_EHIS_MH2,4.7965,2025-01-22
2024,LV,GR36,45_54,F,10.27,10.73,31.51,76.18,18.32,37.04,7.37,72.8,12444,84.83,19.63,1,HLTH_EHIS_MH3,1.4628,2025-11-30
2025,RO,ES966,15_24,M,21.8,20.87,33.49,41.16,15.4,52.01,31.61,110.96,11342,64.36,12.44,0,HLTH_EHIS_MH4,4.2747,2024-06-02
2006,BG,AT879,55_64,X,16.99,16.49,55.19,34.58,10.27,81.39,42.65,19.41,13986,71.86,23.65,0,HLTH_EHIS_MH1,0.3049,2025-08-30
2007,FR,SK9,25_34,F,8.57,18.17,42.66,42.94,15.91,86.99,108.64,37.24,3968,21.25,18.33,0,HLTH_EHIS_MH2,3.3232,2024-03-17
2008,LT,CZ60,65_74,M,10.88,11.43,59.68,56.99,7.22,49.83,135.44,83.01,12909,18.94,25.53,1,HLTH_EHIS_MH3,0.4549,2025-06-01
2009,SK,RO207,35_44,X,11.54,20.91,62.09,46.31,6.44,79.01,70.02,112.22,9354,68.86,14.05,0,HLTH_EHIS_MH4,3.9621,2024-12-04
2010,HR,LT84,75_PLUS,F,16.01,10.58,38.14,50.25,11.43,48.19,13.61,99.0,16704,26.72,15.02,0,HLTH_EHIS_MH1,1.0315,2024-06-30
2011,DE,CZ1,45_54,M,16.26,9.88,47.16,83.07,16.61,54.37,31.27,70.25,5544,21.68,26.16,0,HLTH_EHIS_MH2,2.7627,2024-05-17
2012,LU,LT83,15_24,X,6.07,13.94,38.76,61.59,11.18,63.54,58.27,53.79,6688,63.18,35.94,0,HLTH_EHIS_MH3,4.6491,2024-02-12
2013,SI,BG6,55_64,F,14.92,20.52,67.46,16.05,20.17,39.02,64.65,122.86,15141,76.16,17.2,0,HLTH_EHIS_MH4,4.5938,2025-05-26
2014,CY,HR22,25_34,M,11.32,16.62,42.67,19.43,19.09,50.37,35.91,61.67,9638,80.33,19.37,1,HLTH_EHIS_MH1,2.277,2024-08-31
2015,GR,DK138,65_74,X,16.47,10.34,41.55,54.81,4.6,49.7,30.33,44.15,4176,69.34,15.16,1,HLTH_EHIS_MH2,1.8611,2025-07-12
2016,MT,IT7,35_44,F,13.63,24.6,34.04,18.51,6.93,57.46,49.59,95.89,6368,55.64,21.65,1,HLTH_EHIS_MH3,3.8261,2024-01-27
2017,ES,LT4,75_PLUS,M,19.66,6.11,45.98,30.11,22.72,38.41,63.92,69.74,15900,40.36,32.36,1,HLTH_EHIS_MH4,0.2494,2025-05-02
2018,CZ,RO77,45_54,X,7.61,20.12,38.34,56.44,11.9,79.3,59.51,129.82,7880,75.62,24.97,1,HLTH_EHIS_MH1,1.508,2025-02-08
2019,HU,CZ64,15_24,F,20.49,11.85,29.12,102.01,15.97,46.77,93.88,65.73,13232,59.97,13.5,1,HLTH_EHIS_MH2,3.9069,2025-10-27
2020,NL,BE167,55_64,M,21.22,21.23,47.99,51.4,21.18,41.48,181.77,60.02,1309,38.25,32.2,1,HLTH_EHIS_MH3,3.3028,2025-06-12
2021,SE,RO8,25_34,X,26.04,16.03,45.82,43.6,4.49,46.59,77.03,43.69,12271,63.85,34.69,1,HLTH_EHIS_MH4,0.4988,2025-05-17
2022,DK,HU99,65_74,F,16.66,28.05,69.61,64.62,19.09,72.66,18.14,186.96,10749,58.03,33.91,1,HLTH_EHIS_MH1,1.5548,2025-11-27
2023,IE,SE45,35_44,M,15.84,18.21,34.33,46.04,17.86,53.12,43.12,104.39,11228,21.77,18.66,1,HLTH_EHIS_MH2,1.9325,2025-08-04
2024,PL,DE4,75_PLUS,X,4.51,5.25,63.17,82.71,17.56,53.71,78.83,54.93,13869,61.84,23.59,0,HLTH_EHIS_MH3,1.5828,2024-08-30
2025,AT,IT808,45_54,F,15.47,14.5,56.39,62.48,13.49,31.8,130.08,105.93,5791,52.52,12.4,1,HLTH_EHIS_MH4,4.3208,2025-03-20
2006,EE,IE107,15_24,M,12.71,5.65,62.59,87.98,10.57,37.71,157.59,72.02,8308,75.46,14.91,0,HLTH_EHIS_MH1,3.8794,2024-03-21
2007,IT,DK29,55_64,X,14.48,6.07,54.43,52.96,18.6,66.81,36.45,150.57,11028,41.14,27.6,0,HLTH_EHIS_MH2,0.9951,2025-09-10
2008,PT,SK3,25_34,F,17.22,26.51,57.12,16.61,6.8,63.94,52.63,111.99,8118,22.01,34.56,0,HLTH_EHIS_MH3,0.8266,2024-09-10
2009,BE,IE5,65_74,M,14.5,14.09,49.87,58.78,10.39,29.97,57.9,54.4,10404,59.91,41.13,0,HLTH_EHIS_MH4,2.3653,2024-06-13
2010,FI,DE88,35_44,X,4.51,11.51,44.96,18.48,12.49,40.12,112.68,49.75,9206,60.59,11.64,0,HLTH_EHIS_MH1,3.3796,2024-03-26
2011,LV,EE32,75_PLUS,F,5.48,26.83,43.26,78.98,5.59,80.68,66.62,28.83,11328,47.95,10.35,0,HLTH_EHIS_MH2,2.3508,2024-09-23
2012,RO,CY31,45_54,M,8.02,14.05,32.34,83.33,21.58,33.88,21.64,107.66,13666,21.84,33.59,0,HLTH_EHIS_MH3,3.7751,2024-10-12
2013,BG,PT9,15_24,X,20.05,24.58,34.97,73.4,3.47,44.63,161.96,51.02,1723,26.13,22.22,0,HLTH_EHIS_MH4,4.0257,2024-10-21
2014,FR,SE4,55_64,F,9.07,15.72,70.22,69.85,11.92,70.87,24.0,30.13,4040,45.37,12.23,1,HLTH_EHIS_MH1,1.9437,2024-11-09
2015,LT,DK13,25_34,M,12.13,19.48,45.35,25.08,18.59,74.14,59.56,15.43,14404,34.85,17.03,1,HLTH_EHIS_MH2,1.5475,2024-10-18
2016,SK,LT174,65_74,X,8.7,8.75,58.15,71.41,8.13,45.65,67.13,129.66,12424,51.79,26.37,0,HLTH_EHIS_MH3,2.5318,2024-07-10
2017,HR,CY36,35_44,F,8.25,17.73,35.67,54.92,12.23,77.53,132.67,96.51,3367,73.75,25.15,1,HLTH_EHIS_MH4,3.6005,2025-04-15
2018,DE,IE457,75_PLUS,M,7.01,7.93,62.1,52.34,11.5,33.21,20.21,39.18,800,42.82,23.27,1,HLTH_EHIS_MH1,2.9132,2025-11-10
2019,LU,AT653,45_54,X,19.35,20.96,30.05,58.65,11.54,53.52,87.55,55.79,15013,48.3,34.93,1,HLTH_EHIS_MH2,1.9073,2025-04-19
2020,SI,FI91,15_24,F,30.38,28.06,38.04,66.42,4.62,35.92,34.74,61.06,13943,92.52,17.43,1,HLTH_EHIS_MH3,2.8891,2024-01-05
2021,CY,LU815,55_64,M,23.41,6.99,34.21,50.55,28.6,64.15,55.46,158.38,17309,57.4,19.28,1,HLTH_EHIS_MH4,2.3711,2025-04-23
2022,GR,FI152,25_34,X,8.87,20.87,72.15,36.66,3.49,56.47,31.18,132.61,5770,48.27,21.78,1,HLTH_EHIS_MH1,3.8926,2025-02-28
2023,MT,BG68,65_74,F,10.61,12.61,43.78,41.75,9.92,26.47,164.7,93.63,7161,37.97,22.56,1,HLTH_EHIS_MH2,1.9675,2024-10-02
2024,ES,BG14,35_44,M,7.65,21.62,36.6,42.03,11.66,65.38,122.6,16.1,10801,58.3,23.75,1,HLTH_EHIS_MH3,3.9146,2024-11-30
2025,CZ,RO5,75_PLUS,X,6.36,22.33,53.64,28.97,11.26,23.14,91.42,81.64,9070,21.92,19.59,0,HLTH_EHIS_MH4,4.6303,2026-02-03
2006,HU,HR9,45_54,F,21.81,21.0,39.28,45.26,9.39,24.6,12.89,128.52,14922,83.5,29.35,0,HLTH_EHIS_MH1,2.1024,2025-12-21
2007,NL,RO701,15_24,M,5.3,13.37,46.56,48.69,6.21,28.72,137.17,74.15,2709,72.38,8.89,0,HLTH_EHIS_MH2,3.2921,2024-10-28
2008,SE,ES781,55_64,X,13.87,21.09,49.56,75.63,18.78,65.22,90.49,181.4,16166,54.19,8.43,0,HLTH_EHIS_MH3,1.844,2025-07-30
2009,DK,PT49,25_34,F,9.46,14.26,60.92,57.31,6.0,42.55,14.13,115.07,6376,34.15,11.26,0,HLTH_EHIS_MH4,1.3038,2024-04-19
2010,IE,GR429,65_74,M,4.5,6.36,66.08,54.66,21.97,53.35,17.27,57.09,12139,31.89,42.66,0,HLTH_EHIS_MH1,1.326,2026-02-20
2011,PL,LV82,35_44,X,17.83,15.13,38.65,77.21,3.32,48.64,98.26,31.08,10803,79.72,13.27,0,HLTH_EHIS_MH2,4.7482,2025-01-08
2012,AT,PT99,75_PLUS,F,12.21,18.76,45.85,40.46,8.91,40.82,48.28,54.91,3546,30.91,10.77,0,HLTH_EHIS_MH3,1.2321,2025-03-12
2013,EE,NL72,45_54,M,10.75,12.26,54.74,25.42,20.89,67.28,100.56,27.17,2503,52.8,15.89,0,HLTH_EHIS_MH4,0.7064,2025-05-18
2014,IT,IE9,15_24,X,4.28,24.19,59.52,46.7,7.88,24.97,102.17,136.96,505,53.89,15.47,1,HLTH_EHIS_MH1,4.4522,2025-04-19
2015,PT,LU675,55_64,F,11.54,14.2,53.67,73.74,16.94,56.55,129.11,87.49,6849,36.13,29.41,0,HLTH_EHIS_MH2,4.7389,2024-12-02
2016,BE,SE3,25_34,M,12.1,7.35,42.65,20.12,7.34,81.96,108.18,104.81,13041,65.05,22.35,0,HLTH_EHIS_MH3,4.6712,2026-02-14
2017,FI,LV19,65_74,X,20.79,17.13,42.62,53.15,18.69,59.91,76.84,179.33,17583,40.12,10.14,0,HLTH_EHIS_MH4,3.9259,2024-12-12
2018,LV,SE97,35_44,F,22.19,20.93,29.84,48.59,5.1,72.91,34.45,55.29,4697,70.73,33.05,1,HLTH_EHIS_MH1,3.4398,2025-02-02
2019,RO,DK68,75_PLUS,M,6.57,10.09,57.22,57.07,5.74,26.78,14.08,146.26,12122,55.21,11.76,1,HLTH_EHIS_MH2,3.2461,2025-05-13
2020,BG,LU83,45_54,X,23.5,21.98,37.62,73.28,9.95,62.57,8.91,19.15,15540,61.12,41.21,1,HLTH_EHIS_MH3,0.616,2026-02-18
2021,FR,HU580,15_24,F,26.85,16.91,34.75,58.94,10.67,26.33,48.06,106.3,20231,79.04,38.01,0,HLTH_EHIS_MH4,1.7737,2024-07-10
2022,LT,SK723,55_64,M,11.01,18.13,58.69,54.37,16.33,46.78,15.81,169.77,8123,63.88,8.27,1,HLTH_EHIS_MH1,1.0986,2024-08-01
2023,SK,LU41,25_34,X,7.6,23.7,46.85,24.32,12.41,59.99,23.3,137.3,11363,70.65,15.54,1,HLTH_EHIS_MH2,0.4261,2026-02-10
2024,HR,HU43,65_74,F,5.6,21.07,41.3,35.11,16.34,69.14,15.43,72.6,11601,45.79,37.78,1,HLTH_EHIS_MH3,1.9499,2025-11-24
2025,DE,HR94,35_44,M,11.99,20.97,68.56,79.0,18.68,62.59,131.78,114.85,6445,23.59,16.1,1,HLTH_EHIS_MH4,0.5347,2025-11-03
2006,LU,DK5,75_PLUS,X,5.93,14.73,72.66,47.27,15.99,45.48,19.15,163.36,9420,56.62,38.84,0,HLTH_EHIS_MH1,1.2042,2024-08-17
2007,SI,IT2,45_54,F,10.51,19.02,63.51,63.53,8.26,80.16,75.91,37.4,327,31.11,12.91,0,HLTH_EHIS_MH2,0.9607,2025-03-27
2008,CY,ES27,15_24,M,19.26,12.98,56.76,95.38,9.01,56.85,47.22,50.74,1412,56.19,20.37,0,HLTH_EHIS_MH3,4.06,2025-07-23
2009,GR,CY2,55_64,X,5.64,21.95,45.87,33.72,11.68,36.5,159.79,183.62,872,48.04,35.53,0,HLTH_EHIS_MH4,1.9761,2025-11-08
2010,MT,MT524,25_34,F,20.12,7.11,34.68,24.3,16.32,33.31,68.21,43.09,16891,26.8,15.01,0,HLTH_EHIS_MH1,4.6973,2025-01-14
2011,ES,LV13,65_74,M,5.75,19.67,56.53,46.47,14.69,58.38,7.26,62.14,8946,20.68,11.45,0,HLTH_EHIS_MH2,4.4073,2026-02-07
2012,CZ,BG77,35_44,X,15.77,12.43,52.78,26.41,4.82,72.43,53.88,138.51,1844,81.83,28.99,0,HLTH_EHIS_MH3,4.3439,2025-04-25
2013,HU,SE205,75_PLUS,F,17.33,23.65,51.72,20.47,18.94,67.3,42.18,117.79,10654,58.91,22.2,0,HLTH_EHIS_MH4,1.6861,2024-05-25
2014,NL,LU965,45_54,M,17.05,23.06,61.14,19.63,25.16,25.61,162.39,28.08,6623,22.36,12.16,1,HLTH_EHIS_MH1,3.1554,2025-06-19
2015,SE,ES39,15_24,X,21.92,26.22,43.13,38.21,14.1,66.44,125.95,83.13,10619,51.26,27.64,0,HLTH_EHIS_MH2,2.0578,2025-12-07
2016,DK,ES421,55_64,F,16.94,26.7,36.37,20.16,9.23,41.56,124.45,37.58,15588,17.8,7.0,0,HLTH_EHIS_MH3,4.4857,2024-03-13
2017,IE,AT559,25_34,M,10.76,10.68,49.15,14.8,9.96,31.35,67.77,133.96,12160,26.05,13.25,1,HLTH_EHIS_MH4,2.0057,2025-09-19
2018,PL,EE519,65_74,X,13.78,14.0,54.02,73.59,17.69,72.32,21.29,177.89,16981,32.08,32.24,0,HLTH_EHIS_MH1,0.9191,2024-12-30
2019,AT,CZ4,35_44,F,4.67,27.54,63.2,52.94,14.56,51.53,37.16,52.64,9975,52.5,10.3,1,HLTH_EHIS_MH2,3.6112,2024-05-28
2020,EE,NL67,75_PLUS,M,18.28,17.62,58.92,43.16,11.7,44.59,93.78,103.0,8889,89.94,17.57,1,HLTH_EHIS_MH3,2.0701,2025-11-04
2021,IT,DE97,45_54,X,14.36,22.2,31.6,71.05,15.46,22.99,125.65,27.21,16842,26.87,14.26,1,HLTH_EHIS_MH4,3.1113,2024-12-30
2022,PT,HU34,15_24,F,16.45,12.74,37.63,56.44,15.64,65.93,126.63,14.48,11808,54.14,15.13,1,HLTH_EHIS_MH1,3.4296,2025-05-18
2023,BE,DK113,55_64,M,11.72,22.77,63.62,24.86,26.92,79.88,126.65,182.38,12958,28.22,33.84,1,HLTH_EHIS_MH2,1.186,2024-02-18
2024,FI,LT9,25_34,X,15.44,5.9,40.94,77.07,13.51,24.91,25.67,129.69,5232,35.52,25.83,1,HLTH_EHIS_MH3,1.9953,2024-04-13
2025,LV,GR1,65_74,F,19.54,15.12,42.78,26.8,17.18,56.76,39.0,165.54,8534,28.27,29.22,1,HLTH_EHIS_MH4,4.4743,2024-05-03
2006,RO,HU344,35_44,M,7.77,15.73,54.25,32.3,12.49,67.15,100.46,92.95,9348,20.44,34.95,0,HLTH_EHIS_MH1,4.7958,2024-08-17
2007,BG,LT3,75_PLUS,X,11.46,21.67,52.58,51.72,9.48,79.85,32.82,62.07,5877,53.59,34.59,0,HLTH_EHIS_MH2,1.7694,2024-01-07
2008,FR,SK20,45_54,F,21.48,19.69,58.34,63.29,11.14,51.75,7.02,63.87,12828,85.89,29.76,1,HLTH_EHIS_MH3,0.8957,2025-07-28
2009,LT,FI92,15_24,M,12.98,19.77,51.66,28.57,8.98,28.65,29.96,76.26,13021,32.46,6.43,0,HLTH_EHIS_MH4,0.5269,2024-07-28
2010,SK,PL82,55_64,X,20.72,7.41,29.87,15.35,20.52,81.53,124.34,64.11,7419,46.29,7.2,0,HLTH_EHIS_MH1,4.3498,2025-08-12
2011,HR,IT558,25_34,F,11.87,7.52,58.58,112.22,4.06,54.77,34.51,81.63,851,25.48,9.47,0,HLTH_EHIS_MH2,1.3124,2024-05-13
2012,DE,PL43,65_74,M,6.92,10.26,41.47,61.52,5.78,48.72,94.7,120.87,9786,23.33,9.43,0,HLTH_EHIS_MH3,0.2074,2026-02-03
2013,LU,FI90,35_44,X,11.43,13.94,44.34,40.48,16.83,78.2,77.17,117.71,9881,51.0,20.01,0,HLTH_EHIS_MH4,3.5009,2025-02-22
2014,SI,HU50,75_PLUS,F,9.93,8.77,69.61,40.04,10.57,72.98,50.22,163.66,1401,21.08,33.79,1,HLTH_EHIS_MH1,1.4892,2024-08-06
2015,CY,DE993,45_54,M,10.43,17.12,37.91,56.95,28.19,82.88,99.8,119.75,2838,70.24,17.79,1,HLTH_EHIS_MH2,1.5087,2024-11-21
2016,GR,PL15,15_24,X,22.88,13.1,30.1,112.8,10.43,48.7,18.93,116.83,15198,64.82,21.98,1,HLTH_EHIS_MH3,1.0718,2024-09-15
2017,MT,FR89,55_64,F,19.61,21.87,52.68,16.25,15.6,57.56,107.97,173.54,12483,49.24,26.98,1,HLTH_EHIS_MH4,1.3669,2025-11-21
2018,ES,CZ54,25_34,M,12.87,22.79,38.32,74.62,14.59,32.56,78.82,134.22,14447,72.61,26.94,1,HLTH_EHIS_MH1,2.176,2025-07-12
2019,CZ,LV2,65_74,X,7.75,20.58,59.0,21.43,20.17,28.13,127.57,21.86,12944,53.93,38.71,0,HLTH_EHIS_MH2,1.2713,2025-04-09
2020,HU,PL6,35_44,F,11.15,33.38,61.9,81.65,6.95,73.52,151.04,65.85,3863,89.31,15.83,1,HLTH_EHIS_MH3,4.7971,2026-01-01
2021,NL,SE19,75_PLUS,M,15.09,30.24,49.71,35.42,24.04,34.48,57.48,161.76,19560,59.56,13.35,1,HLTH_EHIS_MH4,2.351,2025-02-18
2022,SE,CY38,45_54,X,19.36,16.22,33.3,71.18,16.29,87.51,7.72,40.62,16300,49.02,33.9,1,HLTH_EHIS_MH1,4.624,2024-09-06
2023,DK,HU677,15_24,F,18.91,17.23,52.04,73.95,9.27,82.56,58.17,81.35,5810,40.64,32.53,0,HLTH_EHIS_MH2,2.4637,2025-06-22
2024,IE,BE3,55_64,M,13.94,6.0,40.9,21.14,28.7,47.31,74.27,138.18,9203,52.22,11.73,0,HLTH_EHIS_MH3,4.3059,2026-01-09
2025,PL,GR901,25_34,X,19.38,16.49,50.8,88.32,4.66,72.66,86.02,99.89,7706,66.2,22.24,1,HLTH_EHIS_MH4,0.6198,2024-04-24
2006,AT,LU5,65_74,F,20.64,25.82,56.07,64.06,14.16,83.22,8.5,27.56,8162,28.48,28.96,0,HLTH_EHIS_MH1,2.2369,2024-01-08
2007,EE,SE2,35_44,M,14.13,19.78,70.7,15.34,13.73,32.9,140.6,42.46,5409,29.75,8.94,0,HLTH_EHIS_MH2,2.1584,2026-01-26
2008,IT,LT183,75_PLUS,X,11.25,7.68,63.45,37.18,4.36,36.22,46.66,175.49,10654,28.37,41.3,0,HLTH_EHIS_MH3,2.3142,2024-09-08
2009,PT,LT760,45_54,F,5.02,10.23,61.41,82.82,5.31,61.81,130.54,109.71,8965,68.53,8.46,1,HLTH_EHIS_MH4,3.7313,2024-06-19
2010,BE,CZ46,15_24,M,6.85,22.05,46.48,115.1,8.97,52.35,99.48,95.56,8545,47.24,19.04,0,HLTH_EHIS_MH1,2.7729,2025-09-28
2011,FI,DK898,55_64,X,14.33,13.91,38.97,78.75,5.8,59.41,6.96,34.14,15453,25.91,30.01,0,HLTH_EHIS_MH2,1.7658,2026-02-23
2012,LV,BG387,25_34,F,6.49,12.25,35.16,29.51,9.27,76.1,18.1,39.8,8410,20.22,26.01,1,HLTH_EHIS_MH3,1.9862,2025-05-08
2013,RO,DE9,65_74,M,5.02,22.61,42.03,83.83,27.72,77.0,44.54,91.33,8349,61.05,15.85,0,HLTH_EHIS_MH4,2.3659,2024-08-10
2014,BG,AT87,35_44,X,16.99,16.39,52.88,25.82,7.08,58.22,26.09,19.04,11799,36.52,26.22,1,HLTH_EHIS_MH1,1.3857,2024-08-10
2015,FR,DK35,75_PLUS,F,7.2,20.61,40.92,72.14,10.81,42.09,57.1,90.74,658,20.91,21.91,1,HLTH_EHIS_MH2,4.5295,2024-08-31
2016,LT,SE357,45_54,M,15.33,14.06,52.42,59.03,10.22,47.59,125.9,102.8,12090,63.41,27.09,1,HLTH_EHIS_MH3,4.545,2024-08-19
2017,SK,BE28,15_24,X,17.22,17.68,40.77,14.97,15.38,29.84,119.49,129.09,8831,46.49,27.05,1,HLTH_EHIS_MH4,1.3362,2025-09-29
2018,HR,DE305,55_64,F,11.3,20.59,54.02,84.12,19.33,57.25,22.08,29.98,11017,19.27,8.65,1,HLTH_EHIS_MH1,4.1495,2024-09-26
2019,DE,GR6,25_34,M,11.82,20.97,43.82,55.68,20.06,41.17,157.09,13.92,829,43.23,22.4,1,HLTH_EHIS_MH2,4.6577,2025-01-07
2020,LU,CZ146,65_74,X,16.55,8.37,51.6,14.86,13.95,68.47,30.09,174.6,6382,26.53,43.23,0,HLTH_EHIS_MH3,1.4411,2024-01-28
2021,SI,ES388,35_44,F,18.57,19.56,30.48,33.29,3.46,82.83,169.15,25.26,10468,76.62,7.75,0,HLTH_EHIS_MH4,2.4151,2024-09-27
2022,CY,LT68,75_PLUS,M,4.66,14.76,33.7,27.99,10.13,64.03,64.03,48.16,8229,18.43,11.96,1,HLTH_EHIS_MH1,2.0625,2024-03-12
2023,GR,SI51,45_54,X,7.28,18.12,42.3,47.88,5.18,78.53,42.62,47.9,10589,72.23,14.73,1,HLTH_EHIS_MH2,1.6791,2024-01-02
2024,MT,DK413,15_24,F,9.96,22.67,36.71,50.95,3.54,75.23,72.8,26.71,578,74.53,31.97,1,HLTH_EHIS_MH3,0.2308,2026-01-10
2025,ES,RO680,55_64,M,20.44,22.76,59.36,47.84,14.31,47.5,94.35,125.88,987,39.55,31.59,1,HLTH_EHIS_MH4,0.5174,2026-01-28
2006,CZ,LT66,25_34,X,17.49,17.82,46.5,61.67,8.68,65.15,29.46,79.23,11285,75.1,27.55,0,HLTH_EHIS_MH1,1.6004,2024-07-30
2007,HU,IE10,65_74,F,4.46,22.71,71.2,28.92,8.21,32.67,12.13,168.8,7400,33.83,12.64,1,HLTH_EHIS_MH2,3.1702,2024-08-30
2008,NL,NL663,35_44,M,14.14,7.19,54.6,30.98,11.43,51.87,110.94,18.01,17023,34.37,6.12,0,HLTH_EHIS_MH3,2.4912,2025-07-20
2009,SE,BG608,75_PLUS,X,9.83,18.41,56.23,55.57,19.55,71.06,39.18,160.56,12225,57.61,20.14,0,HLTH_EHIS_MH4,1.6094,2026-01-26
2010,DK,SE63,45_54,F,6.81,11.14,75.01,14.95,5.93,59.16,106.31,21.67,10527,76.23,28.42,0,HLTH_EHIS_MH1,0.5488,2024-04-09
2011,IE,LT85,15_24,M,8.47,12.88,69.26,84.46,9.7,41.92,26.15,97.52,9895,52.05,8.51,0,HLTH_EHIS_MH2,4.399,2025-11-02
2012,PL,BG322,55_64,X,12.32,7.22,44.18,33.07,7.47,47.87,14.96,104.04,3199,42.37,9.96,0,HLTH_EHIS_MH3,4.1251,2025-01-25
2013,AT,LU2,25_34,F,23.93,21.17,35.82,58.24,8.27,80.2,108.88,116.92,16735,64.5,31.07,0,HLTH_EHIS_MH4,2.5805,2025-02-11
2014,EE,MT496,65_74,M,13.8,5.06,57.17,34.37,5.29,59.64,100.1,164.88,2560,21.11,16.04,0,HLTH_EHIS_MH1,4.4472,2024-04-24
2015,IT,PL117,35_44,X,9.36,22.32,41.01,35.29,14.54,38.35,152.2,113.49,7343,45.57,27.43,1,HLTH_EHIS_MH2,4.1011,2024-04-02
