gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2012,GOV97401499,GOV2O6YK,1557425,54539,3113308,396305,606953190,6327381,83418,47688,296982,813433598,71152,val_974e_01499,val_974e_01499,38840429,51065,GOVBK4HE,28.15
2010,GOV97401500,GOVB4H01,56295,433270,46255547,71862,306960,37386,361102597,383540,67629854,698078,61237413,val_974e_01500,val_974e_01500,3937924,486634591,GOV5E28M,9.66
2024,GOV97401501,GOVG3KCU,57922702,49528,60897,383201388,5702065,87290,5648450,522688380,328319726,1867362,61343375,val_974e_01501,val_974e_01501,4065,54614835,GOV9ZJZC,28.59
2014,GOV97401502,GOVN8BG1,60730162,18217873,45061,592102791,393478,39421410,83382,544198453,1009906,4142,344121443,val_974e_01502,val_974e_01502,10001118,326719465,GOVUBQBA,47.32
2016,GOV97401503,GOVH61YZ,815911,3671840,49591035,875351,89253281,69711,745474,266081,3265342,22973439,106298,val_974e_01503,val_974e_01503,299907559,530667,GOVMW3P0,4.42
2021,GOV97401504,GOVRKIOB,258743628,661794951,221236,514066579,46497,50024115,657465,5738438,43261,5724945,54788,val_974e_01504,val_974e_01504,1396477,571988542,GOVKJ4EW,82.92
2018,GOV97401505,GOVT5HXO,57802249,9367494,603193618,5136932,479707478,614817,5476018,45540744,119228149,58931,3194567,val_974e_01505,val_974e_01505,57111233,387628800,GOVAGGJ6,91.35
2026,GOV97401506,GOV8VFGG,36582617,83295377,99767,5827562,448523844,383578552,31164,68176653,908742040,107270628,59451,val_974e_01506,val_974e_01506,72467899,59215,GOVNB3ZC,23.37
2014,GOV97401507,GOVAPIQ8,353612,6113794,59298753,2719176,775450,63466,701515,2963095,40175,17937962,2144823,val_974e_01507,val_974e_01507,63644086,354565926,GOV7J3XZ,68.87
2020,GOV97401508,GOVUL4VV,4137121,53519109,69861431,57811397,107512659,382741511,48108894,948381955,54410586,399751683,2753536,val_974e_01508,val_974e_01508,516605185,1591801,GOV9JE7O,23.51
2024,GOV97401509,GOV3SNUS,660384,7426482,854919,41612502,520358038,60914,708282274,529876114,65572845,5805810,22465,val_974e_01509,val_974e_01509,269451712,4478388,GOVBKA2Q,94.76
2025,GOV97401510,GOVBLZOZ,38138,549914444,66207,420623,67145325,4767227,483039,596481404,49473,8942000,317219,val_974e_01510,val_974e_01510,1720092,546173,GOVH7C4P,8.21
2023,GOV97401511,GOVZ6CTN,5797892,56760,485143249,600160,44481138,38018,7407562,659256,368253030,6723454,427563,val_974e_01511,val_974e_01511,28076827,533592628,GOV8DR8H,33.18
2023,GOV97401512,GOVTO7A1,2666571,1734873,62367229,2380109,6911386,27461,525465562,78113586,50264,50616,832342834,val_974e_01512,val_974e_01512,3582990,139641,GOVDDCV2,54.84
2010,GOV97401513,GOV15F9C,48868455,76476,447339216,61863744,22008,9200560,4383976,12872,79678,33952,510762347,val_974e_01513,val_974e_01513,814077,18574,GOVJ69AP,37.09
2011,GOV97401514,GOVHS51T,374517,285815103,677051,38375,77871,2093512,556741,33828,6188627,7406790,73092165,val_974e_01514,val_974e_01514,540000497,434716719,GOVDD1N4,53.16
2015,GOV97401515,GOV8Y8GQ,52408688,772244185,4006482,72646,119208628,46820144,39166,565326044,44704,149024912,524834,val_974e_01515,val_974e_01515,42337115,44829126,GOVE9OQY,1.21
2024,GOV97401516,GOVX1DIE,80865437,552487541,414864,50456,3800220,218720451,4905579,274721728,25491385,39242919,42088970,val_974e_01516,val_974e_01516,445847160,3081149,GOVVZYQC,73.32
2021,GOV97401517,GOVND1ON,601386,74730,40653690,92347822,561563,41545,281345,481474,39450820,6150326,67166,val_974e_01517,val_974e_01517,46642904,54827796,GOVSV7CS,77.92
2022,GOV97401518,GOVAL82X,574732082,60200569,64646,46919439,14497617,676782826,18935,78878,177128,73911491,2252317,val_974e_01518,val_974e_01518,380493,40144,GOVXGL8T,38.88
2024,GOV97401519,GOV0SLO8,448383051,74680,24449843,498810,425726252,320112,30418,538310,5174486,257998305,358987,val_974e_01519,val_974e_01519,43721,641025,GOVDPODY,27.51
2018,GOV97401520,GOVQP97L,784237604,577768,4808199,23400428,56819616,342501,41907254,478239,366848,535591075,4383682,val_974e_01520,val_974e_01520,28005,622630,GOVEE7IH,89.41
2015,GOV97401521,GOVLWH1A,33588,5644079,67141308,864358940,480331417,3607883,71430292,90022,73075122,68136,587235,val_974e_01521,val_974e_01521,916078,390837775,GOVY7XDN,28.12
2026,GOV97401522,GOV9Z42F,67476104,51313,5980342,7847251,67309,39386,6325312,4945580,65497,477305272,51236,val_974e_01522,val_974e_01522,5360127,32763393,GOVXMFFY,79.89
2010,GOV97401523,GOVT7GQ0,3550784,339071281,759972,2255406,11940,351524434,649079,68518695,494933964,667162080,538165,val_974e_01523,val_974e_01523,491028,5240809,GOVE9SVF,87.94
2012,GOV97401524,GOV3P4WJ,54114770,48907869,83362,4450031,27105,657618,557310,39569,7083407,289558216,4143529,val_974e_01524,val_974e_01524,2892569,3297878,GOVYHMLU,63.95
2012,GOV97401525,GOVSYI6K,5154733,46957001,2660596,650931,52942614,25497,4635080,61000,67162855,5807942,34561590,val_974e_01525,val_974e_01525,5646960,5260180,GOVIH7XZ,44.42
2021,GOV97401526,GOVJ8MAF,870666107,618045096,42044549,338316,32176859,8443606,61718174,15708,756815,4860881,530099,val_974e_01526,val_974e_01526,72819688,520648,GOV0B86E,66.58
2016,GOV97401527,GOVOEVUP,326588,755772,204334322,539364,17512,6601160,25425810,817032,468897,733526,7133988,val_974e_01527,val_974e_01527,5964023,68779,GOV6YKNG,2.95
2021,GOV97401528,GOV99JAP,58811,67614,527879,65323105,89627,19759,74037,56682,5818738,576410569,79789,val_974e_01528,val_974e_01528,316326925,21548,GOVFVW2O,52.28
2011,GOV97401529,GOVKQL9X,335565664,82893277,56188,9028859,5215962,32131,518385737,27316708,604682,52077921,4374240,val_974e_01529,val_974e_01529,547052,488921509,GOVQJ9U4,19.21
2016,GOV97401530,GOVCVVM4,104378569,38547,5292464,174392,552005,537651752,612921673,21135987,330160392,27661272,379462309,val_974e_01530,val_974e_01530,777872,50647575,GOVK0C3T,71.97
2016,GOV97401531,GOV103UA,27010671,41465,679334908,26093570,756734673,51500828,818360228,55248895,8048298,8960,471833901,val_974e_01531,val_974e_01531,36873777,52025357,GOVE4AMQ,9.93
2014,GOV97401532,GOVMH0CL,1957246,44285,569249774,145847,387279,213380,6775654,861108335,475645981,580048,281488207,val_974e_01532,val_974e_01532,52669778,543393320,GOVBKKPR,30.61
2023,GOV97401533,GOVDSKCA,830661,118313,40900847,31838,52350,68717,628044242,37108483,49745,485915769,67497390,val_974e_01533,val_974e_01533,48547775,85635439,GOVKIHYM,77.97
2011,GOV97401534,GOV4ZV7B,448305497,433624490,319677391,63192001,66394,56720243,503523139,49044,325613573,782743937,6223161,val_974e_01534,val_974e_01534,40364,39548,GOVYI1VE,90.74
2011,GOV97401535,GOV60MM4,39291,38322632,744396,2729673,74089787,369968905,554400151,906857443,4293743,543792,32194804,val_974e_01535,val_974e_01535,417587,328252,GOVZIJTW,26.43
2011,GOV97401536,GOVO8G5N,1188113,48585861,70518445,4824946,68235313,4965137,5692346,90399020,564266,4863811,29644505,val_974e_01536,val_974e_01536,41064,74060,GOV67YGR,81.69
2017,GOV97401537,GOVVHXCW,7897490,36316,553760,429967,5756269,76073,733389690,539307364,63745292,709621,3930376,val_974e_01537,val_974e_01537,7570,706578,GOV87O7W,29.9
2023,GOV97401538,GOVR7CBJ,486431206,4738196,78060,5513003,332225297,57004174,481592,74045,5655809,4479381,8177469,val_974e_01538,val_974e_01538,75886208,463381,GOV5QCK8,73.97
2025,GOV97401539,GOVIUO2G,88667,534170748,4426202,94384,7632686,668448422,7578,31721,65148,382695970,19207770,val_974e_01539,val_974e_01539,59928,858431664,GOV4MHPO,64.41
2026,GOV97401540,GOVHGS96,615897888,57343530,360466387,61060138,714504,49623644,754994470,712743,63707078,679561,309787671,val_974e_01540,val_974e_01540,25586983,546785,GOVZ3O1O,95.03
2026,GOV97401541,GOVQ665P,41347630,449500236,62871,412023,999637566,61559488,75772832,6289991,30348757,30921527,693993409,val_974e_01541,val_974e_01541,79351,49908,GOVAD8U9,19.97
2016,GOV97401542,GOVT3N9Y,524708,6888524,187675,439235181,192731707,45175136,55053,51720882,28084649,569227940,63294321,val_974e_01542,val_974e_01542,2989863,4044791,GOVDJKP0,64.33
2013,GOV97401543,GOVYL90D,444057,24940199,15329,54732463,7332848,393148022,59132,509806,84250,16991408,731358,val_974e_01543,val_974e_01543,700811753,22431196,GOVK6MT3,3.95
2016,GOV97401544,GOV6MX72,5603569,576366581,269445,26152811,730442,343370,413163,4759022,48734,2937093,5578852,val_974e_01544,val_974e_01544,394933741,78499,GOVHNPHE,93.44
2014,GOV97401545,GOVSS3ZP,50478230,382680,51762,264158,43686440,6133772,3848696,347023182,73412,58089686,553051326,val_974e_01545,val_974e_01545,194387736,730767597,GOVMW2WX,39.27
2024,GOV97401546,GOVWKR2Q,56666,6405,51066,3889243,336498,75267941,62624,286703,38447,560869690,720402497,val_974e_01546,val_974e_01546,10983499,50435677,GOVO9HDR,21.64
2011,GOV97401547,GOVPMTL8,4676895,539431,53743,622223948,591228,58236,2799,407426,52492003,503571,5856866,val_974e_01547,val_974e_01547,84486,651502,GOVTNGXA,53.19
2011,GOV97401548,GOVZWCW4,81347993,57659500,5866331,71136836,31758878,76560942,6840081,632548555,326745222,6296348,58557,val_974e_01548,val_974e_01548,81349122,379448122,GOVOH4T7,59.5
2016,GOV97401549,GOVT4GF8,62962834,492613,66339,557856391,30762,533103372,47015473,52130308,31967268,30697512,67991672,val_974e_01549,val_974e_01549,274872653,30485,GOVZ7OSI,1.2
2011,GOV97401550,GOVE2SNI,29370,41612,41945661,7014366,197934,199635937,75935554,93528116,36894449,46679,31624,val_974e_01550,val_974e_01550,8101265,39765252,GOVE32MF,57.2
2022,GOV97401551,GOV1ZQ8D,47591453,4838667,408868,62608857,43052355,487653837,660746212,45485644,301309072,89538041,45068,val_974e_01551,val_974e_01551,7915155,62531,GOVZZ91T,34.6
2021,GOV97401552,GOV4D1AM,405908713,50132,441326,323529,1583326,73854,6239418,482847,7510737,4600932,48458367,val_974e_01552,val_974e_01552,904760857,831735,GOVGW6OG,68.47
2019,GOV97401553,GOVLR04X,25006,6052925,55044318,34337,637208533,262069,746110,381204905,47379,46387103,59057054,val_974e_01553,val_974e_01553,50138,409161,GOV7II2H,6.29
2026,GOV97401554,GOVVX0RR,449280634,21663,597674,666506,7627857,702182,611386,473993,59140,11250838,493742978,val_974e_01554,val_974e_01554,28131364,3742120,GOV42ONY,88.59
2025,GOV97401555,GOVXFJ08,36291,3297124,364562629,882359,25826951,55937,2831267,7981734,21727244,26337,51045422,val_974e_01555,val_974e_01555,2676157,598569,GOVEU1Y6,21.91
2025,GOV97401556,GOVMP04Y,594674782,52032779,813691341,7828282,416387247,38137706,398168,76007,4557538,484297,91421,val_974e_01556,val_974e_01556,239728,6404501,GOV0LJV5,70.54
2017,GOV97401557,GOV104JC,447490,95473583,6334236,536623,40229743,3432880,491091935,669372,47669407,644811570,432776,val_974e_01557,val_974e_01557,47014278,443715,GOVEWZSU,83.68
2020,GOV97401558,GOV3DUOI,95327,51796995,5142950,5668660,40835940,616585860,1000275335,126393105,55844,839441482,71107,val_974e_01558,val_974e_01558,448373831,711825492,GOVHZT51,54.73
2020,GOV97401559,GOVU2XKD,53359,27147,6100966,568777938,33158,58662,66597587,239420,6182476,4757807,330766344,val_974e_01559,val_974e_01559,40697782,86409,GOVO38CW,86.11
2015,GOV97401560,GOVLL0WO,32391655,392154487,704625,53624911,73598877,471894,3747717,410061,55639376,26028,46235409,val_974e_01560,val_974e_01560,609259,848245153,GOVOUGWX,67.93
2023,GOV97401561,GOVR4ISO,74944617,18305353,484587,55945,49998,150701104,74681,3827261,64779293,435365,346490,val_974e_01561,val_974e_01561,54655622,703195,GOVOKRWO,93.61
2025,GOV97401562,GOVAPMYO,4104133,43359,53447,2655647,41289,19166,587700,6690462,4766730,590121,51808,val_974e_01562,val_974e_01562,650184731,26096,GOVUDINI,90.14
2018,GOV97401563,GOVLEUOP,512930,603334,560220,53123567,318324,66565,4794932,585614,815654,408087394,7350,val_974e_01563,val_974e_01563,33224615,728274,GOV8SOJM,72.62
2024,GOV97401564,GOVXU8LH,262990597,671317,82113,7257839,40387,7034185,51389636,71923,762856,808885355,259758292,val_974e_01564,val_974e_01564,70523971,94439,GOVFF1VU,70.23
2018,GOV97401565,GOVIX5HC,40168,508073,115978,790371,64230,2191495,458026,588994536,652176,65866773,447139,val_974e_01565,val_974e_01565,53521,54482,GOVMH21H,72.51
2016,GOV97401566,GOVQ8JRE,601370,45739308,538789994,5275930,386227884,56509631,1638954,55521,4339888,44173,984373,val_974e_01566,val_974e_01566,77368270,357036,GOVYTU0T,68.36
2012,GOV97401567,GOVC77IO,3286172,69484,82230404,522144255,341676,77622307,33363,677794,37719315,3373782,611507,val_974e_01567,val_974e_01567,60609,170522,GOVZHWD9,68.23
2015,GOV97401568,GOVTW5LA,13439,8127090,93878234,191827700,361970786,59559,4424471,5368711,123805,400483238,3178410,val_974e_01568,val_974e_01568,524985,22115240,GOVU9H7B,50.14
2022,GOV97401569,GOVBRAXR,5936092,16228,7632255,902470,458597,526306,302391901,3845125,44500959,684838,50001818,val_974e_01569,val_974e_01569,19184075,69378,GOVKXN7C,89.79
2023,GOV97401570,GOVUN6IE,24213,108629788,212028,86852707,7322269,629869667,55099,4807135,75720879,46636,5895422,val_974e_01570,val_974e_01570,409322312,71466,GOV4J8QS,50.45
2015,GOV97401571,GOV43430,38539751,45672,395503501,62443,38909152,600717295,496104733,4960710,100011164,40381,3364491,val_974e_01571,val_974e_01571,299674161,68598,GOVG80PN,70.05
2015,GOV97401572,GOVFEL9Y,6005554,4714117,23517,6639602,841904,42319,598701,6475858,2952729,70977,41506,val_974e_01572,val_974e_01572,247985,34275754,GOV9CYRO,12.34
2021,GOV97401573,GOV0C4OW,4565024,512903,450129556,610510,455040698,11940,33378,215917619,62039481,47853725,10097674,val_974e_01573,val_974e_01573,65587429,58815004,GOVR3BI6,97.44
2012,GOV97401574,GOVL6XXG,4294843,770455391,30785195,32237756,647569160,5502381,5813915,455068822,563299759,469557033,5928776,val_974e_01574,val_974e_01574,50869379,254669338,GOVTG0SL,47.49
2010,GOV97401575,GOVFTIAR,4862323,5419508,63785142,1303030,63606118,51762913,63457,6063707,53385,49871,76694970,val_974e_01575,val_974e_01575,5677044,3381744,GOVHCA5F,59.13
2026,GOV97401576,GOV2NLSU,401162,589611919,36728,69354,511434,650591,87070,527928431,70997247,50340401,3683210,val_974e_01576,val_974e_01576,509485,433743340,GOVBMRQZ,90.87
2020,GOV97401577,GOVAG0DQ,110038641,921841413,718802244,5147682,2034925,336512960,41988257,62710,2883043,42802387,413133042,val_974e_01577,val_974e_01577,7410652,696300,GOV6O9WV,89.99
2015,GOV97401578,GOVADP35,723654613,528830,65266,61019,939471742,94324092,563831972,383059743,55307985,55800024,7985703,val_974e_01578,val_974e_01578,6555712,749937,GOVWT2HH,41.07
2012,GOV97401579,GOVETI9Q,4941651,49137,312370549,548616,40429,17860,591057303,87941,32264,2825182,184585066,val_974e_01579,val_974e_01579,50013328,55018276,GOVRFN9I,84.2
2016,GOV97401580,GOVN8KUS,3231633,50244,24985372,287061,6250986,714298053,75510,326366272,56472301,691178696,756770,val_974e_01580,val_974e_01580,25784,75551,GOVT25HF,36.96
2021,GOV97401581,GOVUZ2RE,77805914,601663662,769585,2347122,72124,785200,71867295,42300,630804,46499483,90846,val_974e_01581,val_974e_01581,53773,341981254,GOVOY958,40.6
2015,GOV97401582,GOVFNJHY,3197221,7493945,22857,502532,3489732,496371,70936,48697,53438,807195476,3076589,val_974e_01582,val_974e_01582,621394603,18002,GOV0HI1B,53.14
2024,GOV97401583,GOVPF5PN,48342,43759674,1376551,401828216,50786,22086,766182950,564499706,4598810,6316558,65909625,val_974e_01583,val_974e_01583,71940,51269043,GOVAVA9Y,88.57
2011,GOV97401584,GOVZ66CL,817454,6810802,743916691,488719762,67098,536810463,61453295,459679,362214388,17158,7589619,val_974e_01584,val_974e_01584,587779,2537251,GOVTYR4U,9.26
2017,GOV97401585,GOV13MV0,626914859,323230,40558,395444,671269,37495052,28325,2735101,487190,562446077,11606285,val_974e_01585,val_974e_01585,3166936,51775922,GOVP87KM,82.94
2017,GOV97401586,GOV9RGGK,466964616,53707,352183893,58983,28969,7317662,1656683,5193716,45454336,46112644,615365,val_974e_01586,val_974e_01586,52490,727690,GOV13ZY0,29.22
2024,GOV97401587,GOV9ZCF8,67892,66784329,557414256,353926960,71382,500892197,36022366,389445720,5412503,8599301,597439,val_974e_01587,val_974e_01587,41556,701644,GOV15PAN,30.08
2012,GOV97401588,GOV57VR5,158391,4842726,445946614,480364,62716,1013482454,484496299,23083387,15310625,471258,3945219,val_974e_01588,val_974e_01588,66050,797008678,GOVSNW9E,64.11
2016,GOV97401589,GOVL4KAN,582810975,3126640,47983,501787927,40966367,619332197,4777387,54418118,46090853,31861320,36163,val_974e_01589,val_974e_01589,238108167,5854940,GOVI7P2B,4.95
2010,GOV97401590,GOVCUDS1,498839272,72567,37845412,53148205,1997082,65269524,874938,28128,285454789,299420,2580182,val_974e_01590,val_974e_01590,798957,3753285,GOVVSZTA,25.27
2022,GOV97401591,GOV1XCEE,54545382,510657239,530853,66672292,182112925,7621443,66750471,6938641,597909,472924,51699019,val_974e_01591,val_974e_01591,51145686,3403582,GOVDSGM6,26.19
2022,GOV97401592,GOVY524J,520550,305370,555096082,349892938,4423567,5204519,542629,65796652,6658570,3035634,392725186,val_974e_01592,val_974e_01592,38809,55603,GOVLNF95,59.56
2023,GOV97401593,GOV342AG,73348,18524,7179955,7281371,54082,774725,6948343,471458623,64611,187727,4833138,val_974e_01593,val_974e_01593,32635,38155373,GOVWDEX2,91.96
2017,GOV97401594,GOVWL825,8255667,33014485,47130,62005977,418711,348443970,4898188,71865,661633,371372861,322860,val_974e_01594,val_974e_01594,4287997,448360179,GOVLCBNA,19.1
2021,GOV97401595,GOV0C608,2707553,518871,570799,668779,5074456,500391091,41034,437663025,685755,5478987,267239106,val_974e_01595,val_974e_01595,10565531,15982541,GOV710JC,24.44
2018,GOV97401596,GOV6MT5T,931504,18849,563985,470721,23271,5201741,511569697,13207,92468203,61897818,3084198,val_974e_01596,val_974e_01596,64422795,456180,GOV4PKIO,95.18
2021,GOV97401597,GOVW7UPD,71944639,69139,58518838,79630168,727379888,31938522,67323429,57861,37818697,51975825,260180,val_974e_01597,val_974e_01597,54607954,7665351,GOVQHK19,8.14
2024,GOV97401598,GOV9OIVS,69969715,35426,2577814,3559932,37372,40780773,21236,2495913,524136,923855268,603733,val_974e_01598,val_974e_01598,73324,651887,GOVGQLE1,97.98
2011,GOV97401599,GOVY6UP9,3520209,56402,210483,50589851,607185429,34488208,42484082,20445,46581532,392192374,73566665,val_974e_01599,val_974e_01599,2742289,724664,GOVTEABS,27.7
2015,GOV97401600,GOVOO17D,141419,300151,2434581,55657757,3696421,847329219,4913460,6529838,287801059,55279,336867,val_974e_01600,val_974e_01600,71796,8376245,GOVL2I3U,62.14
2020,GOV97401601,GOVIS8KK,49938595,208501,35616537,643046,5640140,289518,72172465,6006614,346172733,188007180,590496,val_974e_01601,val_974e_01601,5976799,35834204,GOVZTFLN,94.66
2014,GOV97401602,GOVA1KJG,63228781,82968526,69205,23898,786818,318370,3012375,63016612,416147801,88193448,607867210,val_974e_01602,val_974e_01602,22920,6927397,GOV8S91N,4.02
2018,GOV97401603,GOVL9WBL,81450,398966655,3886978,65440,49121,48522,23843704,565768222,718812,6909285,22013,val_974e_01603,val_974e_01603,400988491,5734751,GOV5CNCV,72.24
2016,GOV97401604,GOVND22Y,78468559,3710516,64397286,69771,15771235,475056627,4889643,51300,443045,559078921,23308,val_974e_01604,val_974e_01604,30148,33407446,GOVNKTHA,42.41
2017,GOV97401605,GOV7TO6L,769357,546387434,2064656,41997,7680,4549557,3455016,369518350,50745,5219079,79581,val_974e_01605,val_974e_01605,91695385,70696578,GOV2SF6T,67.76
2021,GOV97401606,GOV8Q1IL,326084,899876,1270831,4285778,54947,441493522,255806,6173394,8169218,33716,46601,val_974e_01606,val_974e_01606,525341,612090,GOVBSNMH,30.21
2010,GOV97401607,GOVUV2MF,680694,10158133,4825454,20849,440233996,207225414,508288700,169164,781305064,283566251,2095449,val_974e_01607,val_974e_01607,425022,61722796,GOVCHMGX,11.67
2017,GOV97401608,GOV7KS7H,34169501,758827,767563554,4133789,57457,207774872,2002619,5967646,3470295,471875764,38309,val_974e_01608,val_974e_01608,5075729,156782,GOVJ3FL3,32.5
2015,GOV97401609,GOV99YTA,574943,4924788,626944488,338092,768704,41392,851317,533890,380506,4476119,269003093,val_974e_01609,val_974e_01609,691481,15894014,GOVJAYLD,38.61
2023,GOV97401610,GOVLBI12,6907386,134439044,45924,4134854,31621,4905121,8811946,27649616,84151,300486,397450,val_974e_01610,val_974e_01610,84314471,414248,GOVYN0DA,7.89
2014,GOV97401611,GOVMGFRE,44787,75274150,63479,908431,21914849,571132652,584302,1084217,49391,17106693,3194223,val_974e_01611,val_974e_01611,44867017,3606175,GOVQ3ATH,27.88
2025,GOV97401612,GOVZ3Q9K,5742394,4913997,5032201,22325199,502018225,45109,383171996,25326,561351,478115,149607211,val_974e_01612,val_974e_01612,15436,4374841,GOVI2PRP,50.98
2026,GOV97401613,GOVG5RFE,58693,33189,27160730,23356551,403632,968961369,709233,5598855,963667,23351,66814,val_974e_01613,val_974e_01613,27031,51396,GOVCHNJB,74.31
2014,GOV97401614,GOV7D8QC,737837079,20393660,37522563,721954,6860692,57099,289808424,8568843,32464,306483,428765,val_974e_01614,val_974e_01614,33340132,9852743,GOVH8U4R,49.29
2026,GOV97401615,GOV91ZL3,39851103,65160,71534932,714655992,360339,4781178,41902,5113074,498538372,6073705,215977312,val_974e_01615,val_974e_01615,59127,89855,GOVA0K8H,55.46
2015,GOV97401616,GOVTPELC,53437847,47169,76871912,697079325,597795634,18343,60286,4592651,308377,5159403,489949851,val_974e_01616,val_974e_01616,517065,42189,GOVU7890,98.56
2026,GOV97401617,GOVQAKLM,24266421,2701538,4690672,52728055,579088,31608,570458337,4713608,4984363,51197,551648,val_974e_01617,val_974e_01617,431816394,498308,GOVFHD8J,6.53
2016,GOV97401618,GOVYGLT9,3109952,3487879,5200205,72325,79435,3038674,7191968,590973117,371695,25743264,52156,val_974e_01618,val_974e_01618,604988781,4099410,GOVF01K4,39.28
2016,GOV97401619,GOVEGEAW,493280754,6579090,68474042,8271567,16485707,549991,3807883,634850609,5647912,369885590,366269289,val_974e_01619,val_974e_01619,909356400,28812132,GOV6U8YC,80.21
2026,GOV97401620,GOVKGHJK,353078414,4368729,664637,469647,75554,8203391,341904778,151785604,515089150,325924197,42140275,val_974e_01620,val_974e_01620,34462342,749671,GOVQK2C0,24.58
2021,GOV97401621,GOVMFN8J,749645250,341666352,5821391,500243,444758,2260678,42496,465481115,447431060,3249849,4086991,val_974e_01621,val_974e_01621,37719368,43306,GOVXOTYO,15.21
2016,GOV97401622,GOVEBO89,29668,37287,67574,208758,203122367,36318752,51028,659204854,17511981,535991143,722687422,val_974e_01622,val_974e_01622,46571705,460900,GOVR3A52,12.82
2021,GOV97401623,GOVMU3SG,807999,720108,480031,57302,453211,51224,5115570,520518,848694,570648090,44317,val_974e_01623,val_974e_01623,224467134,711069259,GOVD358U,87.14
2021,GOV97401624,GOV4GHDM,449091,58030254,62215,66927,40081000,41806,80598,64780,748102,4378608,68455281,val_974e_01624,val_974e_01624,61270,52037269,GOV58JCY,38.17
2023,GOV97401625,GOV4XW4Q,58632,51101,763373,1543,502599168,767717705,456612,587711890,4509476,46101,436340421,val_974e_01625,val_974e_01625,57470,39266191,GOV01ZWW,50.26
2022,GOV97401626,GOV2PNGI,371354666,5228608,78177,62211069,47382,6053890,30660048,20096,35032468,902203,387955,val_974e_01626,val_974e_01626,2786272,18278,GOVC2QRF,30.9
2024,GOV97401627,GOVJYZX8,578213,804666200,4191685,7877333,4016647,5092810,263571,75883,32196,198676,306280,val_974e_01627,val_974e_01627,371869,56898,GOVXW42G,62.16
2019,GOV97401628,GOV4908T,533684998,53406852,467734,723625,39393,5658921,68850,816332,76805599,50220,270884258,val_974e_01628,val_974e_01628,7231600,462162288,GOVLRJLJ,70.75
2020,GOV97401629,GOVIQFM8,65415963,15314399,649556,8738477,65576,413623,43089,472621,68169,51696500,7480053,val_974e_01629,val_974e_01629,6222928,3514598,GOV747WA,37.39
2016,GOV97401630,GOV5307C,25174605,55053104,45519284,83028,1501058,72759423,48995206,7294770,70179,34326131,492117,val_974e_01630,val_974e_01630,47479,60836,GOV9JLMY,90.02
2012,GOV97401631,GOVV2521,45775367,56235,562322122,6938278,11961392,623839577,485348460,669867,770292431,39079345,54828,val_974e_01631,val_974e_01631,276237824,6933457,GOVEPPWT,66.87
2010,GOV97401632,GOV5W0QF,206342,50066,452156,436736156,536472788,44686,113097,430335,3043386,86637,14396,val_974e_01632,val_974e_01632,706846817,5930125,GOVY9FBB,1.05
2026,GOV97401633,GOVG9XPZ,303257123,65236,62226,69093614,65624,67495,262246055,378390852,460090,551946039,763925,val_974e_01633,val_974e_01633,779327609,762101893,GOVQ9LBC,80.58
2026,GOV97401634,GOVDNTFV,38740,503136,6735287,55574,48028,509828,45057,55810167,629464,51553987,569683,val_974e_01634,val_974e_01634,331270553,582607,GOVXG09E,20.62
2023,GOV97401635,GOVFQT7S,84348589,306781,4615320,338145698,40449,577450,3586628,364734,7452854,1599666,70793,val_974e_01635,val_974e_01635,443995303,3972386,GOVOON8T,90.95
2012,GOV97401636,GOVWZKPF,64830119,62238,38869879,525610,490281201,31554205,122880,2500809,45721,622346950,605915,val_974e_01636,val_974e_01636,40578,34963248,GOV5SMAL,66.61
2012,GOV97401637,GOVT32OP,1047034,56299,801733,529165,366845,54445,657263983,401280,71266279,382587,5533098,val_974e_01637,val_974e_01637,229711757,35461,GOVTM45E,45.51
2018,GOV97401638,GOVUMCBB,602119023,43886750,670098037,77985644,9238008,615179,31250,59867,687873,554010,60332661,val_974e_01638,val_974e_01638,439543,471815,GOVD665P,42.82
2015,GOV97401639,GOVJUPFO,32230,43166,2671631,53876281,50031893,45782025,71852346,635023,6092486,48752,41939,val_974e_01639,val_974e_01639,658002357,46738673,GOV8QQWN,10.63
2024,GOV97401640,GOV5V12Z,822687671,78812198,608756225,47542,4602736,431748422,26040848,3495699,88278462,61341498,594540735,val_974e_01640,val_974e_01640,510737,663075360,GOVUQM6C,0.68
2015,GOV97401641,GOV5KVP7,58593,620538364,25599,55869618,3364696,47029,490019555,46572921,51003,13441806,2405988,val_974e_01641,val_974e_01641,6544327,425243427,GOVLE18V,51.48
2025,GOV97401642,GOV6I3ZJ,151277,622153214,2354176,60185,744828,33120,440711,278417836,59386786,82704,1968083,val_974e_01642,val_974e_01642,691668759,51608,GOVEYLB5,69.81
2024,GOV97401643,GOVV5CVD,29034987,7312503,621709,4126272,27011901,8352399,670801240,7055050,1642426,66041168,639997,val_974e_01643,val_974e_01643,5508941,46380,GOVWVSYB,81.31
