labor_indmix_establishment_year,labor_indmix_county_business_pattern_code,labor_indmix_industry_naics_4,labor_indmix_establishment_size_class,labor_indmix_employment_march,labor_indmix_employment_annual_avg,labor_indmix_payroll_q1,labor_indmix_payroll_annual,labor_indmix_average_weekly_wage,labor_indmix_job_creation_count,labor_indmix_job_destruction_count,labor_indmix_churn_rate_pct,labor_indmix_new_establishment_count,labor_indmix_closures_count,labor_indmix_multiunit_share_pct,labor_indmix_women_owned_share_pct,labor_indmix_minority_owned_share_pct,labor_indmix_veteran_owned_share_pct,labor_indmix_rural_urban_class,labor_indmix_confidentiality_flag
2015,CBP101495,1121,250_499,39170,41992,730070305,3052035303,2437.51,9703,10447,35.29,1183,183,35.78,28.11,47.28,33.88,SMALL_TOWN,0
2013,CBP101496,3361,50_99,15684,16947,363973526,1314263910,1075.63,8166,10187,25.78,1512,1416,73.14,17.95,52.01,5.02,SUBURBAN,0
2022,CBP101497,5181,250_499,67802,74684,687601076,2517548802,700.9,10128,11878,26.03,291,1257,15.6,38.95,31.81,2.21,URBAN_CORE,0
2015,CBP101498,3151,100_249,52140,53673,394450280,1435081830,1915.76,5915,2916,39.84,913,802,67.95,4.03,13.87,25.05,SUBURBAN,0
2025,CBP101499,4231,250_499,41959,38931,789224473,3109426774,766.75,9248,7490,32.79,1395,895,67.83,46.09,64.61,22.97,SMALL_TOWN,0
2022,CBP101500,6221,500_999,27935,29973,680828089,2543596603,1104.05,1482,2840,2.81,1319,158,7.28,17.82,38.66,21.76,SMALL_TOWN,0
2010,CBP101501,3321,100_249,45747,45009,818117069,3401070578,627.65,6918,1088,31.01,1352,481,72.17,59.58,72.25,32.35,SUBURBAN,0
2011,CBP101502,1121,20_49,63924,64362,1198565820,4952738729,2430.0,1298,11673,47.45,328,1347,37.56,16.77,14.06,11.1,URBAN_CORE,0
2016,CBP101503,6221,1000_PLUS,3801,4071,40802846,160250198,1307.79,9450,4346,6.91,1406,981,51.75,22.64,22.82,7.22,URBAN_CORE,0
2022,CBP101504,5241,10_19,58570,63664,1318284177,5163978394,1444.82,5272,5112,44.24,101,900,54.45,21.99,60.91,29.14,URBAN_CORE,0
2023,CBP101505,1112,20_49,18804,16481,104146533,403871108,1226.51,11130,8,37.67,1098,1285,22.23,52.14,22.81,24.27,SMALL_TOWN,0
2010,CBP101506,4921,50_99,41917,46023,826720673,3447803415,1504.85,9641,7080,45.57,1036,1182,33.4,42.96,68.4,1.91,RURAL,0
2010,CBP101507,5111,5_9,54913,55236,1038625488,3646818331,1855.09,2996,11783,16.44,700,1059,18.3,39.78,52.84,22.37,URBAN_CORE,0
2013,CBP101508,3261,500_999,18733,18311,271798653,1069578492,518.03,6663,623,7.43,998,385,21.4,45.19,57.77,9.26,SMALL_TOWN,0
2011,CBP101509,3221,20_49,250,224,3518577,12403805,2156.26,6935,208,26.76,1370,561,75.23,42.06,24.49,14.0,RURAL,0
2015,CBP101510,3241,20_49,35128,37231,555068191,1964055553,2434.08,735,3392,18.24,1773,1339,8.36,23.78,14.06,31.15,URBAN_CORE,0
2013,CBP101511,5171,10_19,44397,39379,772898637,3231753460,1905.26,7686,1903,50.73,626,128,67.75,56.27,34.24,15.78,SMALL_TOWN,0
2020,CBP101512,5111,20_49,54873,58173,725877599,2805314534,1541.17,5593,10393,15.29,76,1616,42.36,17.82,47.56,26.13,SUBURBAN,0
2023,CBP101513,5191,250_499,74806,72169,864156722,3560971308,1372.27,5103,10413,11.09,1269,97,54.6,55.56,45.57,14.89,RURAL,0
2015,CBP101514,3131,50_99,69249,69627,696012505,2372110271,1361.64,3346,8455,15.68,1532,1623,83.07,30.45,26.17,15.52,RURAL,0
2025,CBP101515,5311,50_99,41099,41256,921594256,3667688876,1905.31,10066,5975,5.86,402,1008,30.94,55.48,47.36,4.9,SUBURBAN,0
2016,CBP101516,4411,1000_PLUS,48834,52047,405270946,1599426203,902.64,11986,2881,13.26,860,1121,61.49,29.59,22.94,21.47,URBAN_CORE,0
2014,CBP101517,1111,500_999,63167,55336,835765472,3357862955,1418.95,961,9062,17.99,1340,1586,31.89,20.58,55.78,27.37,RURAL,0
2019,CBP101518,2361,5_9,14538,14692,101958474,401384397,1613.53,1197,2530,23.68,485,1433,70.48,61.86,51.94,24.34,SMALL_TOWN,0
2016,CBP101519,1112,250_499,17101,15481,231583888,871593798,2281.24,1985,11445,26.84,624,1287,82.67,12.21,30.53,5.22,RURAL,1
2023,CBP101520,1112,1000_PLUS,26468,29132,563307258,2339900258,1637.75,11070,1809,0.1,1038,1009,39.14,30.77,51.22,24.94,SUBURBAN,0
2011,CBP101521,3351,1000_PLUS,799,893,19214196,69862710,1011.16,5437,295,4.95,169,69,46.24,41.05,19.17,24.6,SUBURBAN,0
2016,CBP101522,3251,100_249,30364,30636,278797166,1037571416,1012.63,3634,6607,11.22,37,1238,12.96,51.55,30.91,11.59,SMALL_TOWN,0
2014,CBP101523,6211,1000_PLUS,35675,31886,507265943,1973822794,2113.59,8239,6131,42.69,1101,1357,56.42,36.07,0.81,24.86,SUBURBAN,0
2024,CBP101524,3231,250_499,42273,43960,967773839,3324835830,1734.66,5664,7085,28.13,800,184,82.18,46.17,42.32,32.82,URBAN_CORE,0
2014,CBP101525,5191,250_499,74750,65142,1557669793,6120979825,2144.18,1990,10020,17.16,78,410,43.31,51.62,3.63,15.09,SUBURBAN,0
2014,CBP101526,3241,1000_PLUS,6015,5753,71456890,278030674,2364.69,5126,9414,4.34,1162,1379,59.0,20.49,35.64,12.88,SMALL_TOWN,0
2018,CBP101527,3251,10_19,23614,26165,471792662,1787294497,2480.26,10713,10813,13.81,1572,140,30.31,62.45,13.43,14.86,RURAL,0
2025,CBP101528,2361,50_99,9878,9877,103300975,391101946,724.2,4466,6949,11.38,992,790,58.48,49.38,9.26,14.88,RURAL,0
2020,CBP101529,6111,20_49,60691,52366,616049062,2237758687,1875.29,5831,221,33.09,645,885,39.19,49.18,14.99,27.4,SMALL_TOWN,0
2022,CBP101530,3241,5_9,21479,22080,290196793,1111225603,2522.77,9669,8921,46.37,620,1371,23.91,18.83,61.92,7.42,SMALL_TOWN,0
2013,CBP101531,3351,1_4,12234,13570,281105693,1064832859,520.98,8015,10117,22.46,729,1135,65.45,55.62,62.81,2.01,RURAL,0
2020,CBP101532,4411,1_4,22974,22842,524317148,2118538971,504.54,7213,7123,38.61,1678,748,17.87,47.51,56.9,21.18,SMALL_TOWN,0
2017,CBP101533,3151,1_4,8736,8687,99968882,365383458,850.25,2070,8528,17.65,1155,792,50.29,24.45,53.27,20.86,SUBURBAN,0
2010,CBP101534,3361,1000_PLUS,63848,69377,517888625,2139931543,1830.04,6456,7141,53.61,1588,1751,3.01,5.31,23.02,6.75,URBAN_CORE,0
2022,CBP101535,5111,50_99,64870,67187,693618795,2616880591,1824.37,6612,2623,47.65,1154,680,77.13,59.8,51.68,21.22,SMALL_TOWN,0
2021,CBP101536,4231,100_249,11673,11381,129854251,510094525,1400.02,640,3833,27.79,430,596,68.26,13.34,56.9,29.42,RURAL,0
2021,CBP101537,2381,1000_PLUS,74237,64036,408203166,1534038193,898.94,1771,7786,22.37,1024,735,53.55,34.11,57.71,13.57,SUBURBAN,0
2022,CBP101538,7221,100_249,44108,43594,923438494,3195941962,1805.97,11416,4584,37.96,457,80,29.55,49.86,20.01,16.04,SMALL_TOWN,0
2018,CBP101539,3231,10_19,55853,61163,1188346127,4197833613,933.07,5423,4978,51.92,1594,672,9.17,7.65,14.69,30.66,SUBURBAN,0
2012,CBP101540,4811,250_499,40624,44490,285457685,1103179954,719.77,5996,11999,28.1,434,349,73.51,38.56,57.3,0.9,RURAL,0
2015,CBP101541,1112,50_99,57104,52668,532855856,1913382926,2559.16,4953,1978,42.64,298,99,76.41,17.3,66.82,20.32,URBAN_CORE,0
2018,CBP101542,5111,1000_PLUS,38500,33830,552581928,2174722710,1009.45,10962,5942,10.77,554,1470,53.4,46.78,66.61,11.0,SMALL_TOWN,0
2013,CBP101543,3321,100_249,70297,76157,1052530901,4288285547,2164.78,7462,7885,10.65,1534,1603,42.68,55.67,12.89,27.1,SMALL_TOWN,0
2013,CBP101544,3111,50_99,33225,33407,758895143,2750175584,2112.75,7868,6757,20.17,606,390,40.58,40.52,44.13,13.23,SUBURBAN,0
2015,CBP101545,3111,10_19,33471,31647,268117345,1103660699,800.15,7346,2213,18.21,73,544,24.67,6.76,15.94,0.49,SMALL_TOWN,0
2015,CBP101546,1112,500_999,55477,54620,948206323,3375446392,2103.68,7395,7083,33.24,715,1383,32.63,49.9,24.75,23.78,SUBURBAN,0
2017,CBP101547,5191,1000_PLUS,38636,33462,353368708,1245472496,1647.21,283,7250,54.27,1613,1412,33.47,64.87,37.11,30.67,SUBURBAN,0
2019,CBP101548,3361,250_499,64258,66174,893243439,3385143037,557.17,2458,1833,20.22,749,895,0.14,63.36,18.67,10.33,RURAL,1
2017,CBP101549,3351,1_4,72957,77591,526906996,1890416497,946.77,10103,5031,35.08,554,1167,47.0,9.62,33.32,10.15,RURAL,0
2020,CBP101550,3151,50_99,40558,37524,720200564,2796063543,545.86,3708,1922,31.12,348,1457,43.05,25.93,49.57,33.29,SUBURBAN,0
2020,CBP101551,8111,5_9,58230,53140,1184267402,4147327849,538.44,2075,565,47.52,285,543,31.59,52.49,31.26,30.17,URBAN_CORE,0
2014,CBP101552,4411,50_99,49486,42199,774966927,2922010499,2311.76,3427,3760,38.89,1108,276,23.95,62.66,49.61,25.78,SUBURBAN,1
2014,CBP101553,2211,100_249,56461,53659,993696705,3633034521,2039.09,9433,4643,3.27,1081,1755,7.56,28.79,31.31,33.99,URBAN_CORE,0
2018,CBP101554,3131,1_4,9595,9954,144797769,541450209,588.89,299,56,32.65,676,705,68.09,6.06,55.57,27.75,URBAN_CORE,0
2011,CBP101555,2371,1_4,32880,30726,258560782,1054786017,1802.68,5094,2334,43.99,366,477,44.28,14.15,0.58,8.11,SUBURBAN,0
2011,CBP101556,5231,5_9,38480,41244,372246273,1363257117,2137.22,7957,2746,45.19,645,915,41.14,32.22,15.27,23.54,URBAN_CORE,0
2012,CBP101557,3261,250_499,46963,48970,916200324,3341090684,2041.27,8063,11275,39.36,1012,1201,55.75,64.98,68.31,18.99,SUBURBAN,0
2024,CBP101558,4921,250_499,55377,61062,1271674062,4890075849,1574.83,3765,8401,27.32,835,314,10.74,12.03,27.15,34.27,RURAL,0
2018,CBP101559,5311,100_249,33671,33912,213939738,897080419,533.89,5643,9821,46.52,580,1439,15.59,12.12,74.56,28.76,SMALL_TOWN,0
2010,CBP101560,2111,50_99,74616,77876,634240968,2340156153,1443.26,3888,2053,24.71,42,1457,23.92,23.4,17.17,29.64,SUBURBAN,0
2018,CBP101561,2361,5_9,16489,14504,185403185,712664554,1552.46,1776,6422,35.32,619,1686,4.73,25.11,45.28,11.45,URBAN_CORE,1
2010,CBP101562,3321,500_999,5723,6121,79311157,279964974,789.8,5280,5682,48.0,951,404,83.56,22.73,38.3,6.79,SMALL_TOWN,0
2019,CBP101563,2211,50_99,32369,30015,288638611,1143913447,1972.76,8356,7890,53.63,939,867,54.79,32.85,58.25,9.07,SMALL_TOWN,0
2022,CBP101564,5611,20_49,14847,13629,255164890,927416397,605.39,4665,1453,45.2,814,997,9.66,53.0,15.74,30.5,SUBURBAN,0
2025,CBP101565,3361,100_249,58067,63261,639958168,2592688065,2395.96,7868,11587,22.64,51,163,71.3,29.41,24.99,28.8,URBAN_CORE,0
2010,CBP101566,3311,20_49,62127,61139,863457866,3490106703,890.57,7263,2208,27.08,349,110,80.66,55.41,5.83,2.76,RURAL,0
2019,CBP101567,4241,1_4,72042,67666,1400156401,4974402012,450.21,8202,6694,48.34,1513,95,32.63,34.8,37.3,0.49,URBAN_CORE,0
2014,CBP101568,3331,10_19,6204,6832,101450971,364106146,1692.29,8025,2137,30.38,784,729,78.28,46.79,14.46,34.35,SMALL_TOWN,0
2014,CBP101569,4811,100_249,55817,58621,992777064,3942803188,523.08,11980,1588,6.63,1764,1683,47.5,21.82,51.68,24.64,RURAL,0
2011,CBP101570,3271,100_249,7722,8121,187017358,751584552,2232.23,7327,4966,17.47,732,1592,66.99,12.84,69.73,23.99,SMALL_TOWN,0
2015,CBP101571,3361,100_249,50405,56308,899830173,3191284050,1293.0,3166,11942,10.27,1045,344,25.87,41.36,15.8,4.65,URBAN_CORE,1
2022,CBP101572,3141,250_499,26586,23721,304021420,1070311836,2119.29,3151,1457,36.97,1081,1687,15.51,63.15,33.16,27.15,URBAN_CORE,0
2022,CBP101573,3261,1000_PLUS,64320,59657,1368331810,4780883609,2291.99,5562,6644,18.68,716,875,73.66,20.93,12.58,30.52,RURAL,0
2010,CBP101574,3361,20_49,20137,21538,169906390,599565541,2258.57,1877,8211,24.03,1598,747,65.63,6.94,8.73,2.25,RURAL,0
2015,CBP101575,3131,50_99,79,72,752360,2779609,2423.02,1118,10740,10.28,1504,1518,43.79,17.8,19.84,31.66,SUBURBAN,0
2015,CBP101576,5231,1_4,20422,21788,318648708,1183872187,778.62,11546,2316,54.65,1142,1575,69.86,60.64,32.52,20.24,URBAN_CORE,0
2025,CBP101577,4411,500_999,55209,51530,498762185,1783083356,1530.43,10278,471,26.98,1546,77,75.8,13.19,45.25,16.86,SMALL_TOWN,0
2023,CBP101578,9211,250_499,12440,13202,130848905,463660091,1505.51,9393,1539,8.68,1760,760,7.73,58.43,51.04,34.7,RURAL,0
2017,CBP101579,3261,500_999,2235,2294,45134755,166646765,773.87,7805,9593,19.75,808,1222,38.21,59.31,29.21,27.52,SMALL_TOWN,0
2013,CBP101580,5231,250_499,1622,1484,32069795,132739638,1231.58,43,2367,4.91,851,535,42.01,2.24,63.43,28.64,URBAN_CORE,0
2011,CBP101581,5171,10_19,2951,2999,66931065,269577717,1744.15,2715,9973,18.21,557,846,53.61,34.88,31.08,6.26,URBAN_CORE,0
2014,CBP101582,5311,10_19,67760,66881,777875041,2814808582,641.66,11231,7817,32.17,1311,931,16.38,24.24,29.78,21.07,RURAL,0
2024,CBP101583,1112,20_49,3382,3269,58348793,231907269,1218.93,10348,1416,33.55,1350,1564,68.36,51.07,44.4,22.22,SMALL_TOWN,0
2023,CBP101584,5221,5_9,16179,15162,162127759,621178445,606.67,2938,40,45.03,87,759,76.42,33.41,62.66,14.02,URBAN_CORE,0
2010,CBP101585,2361,50_99,20868,18066,248424764,884927416,1045.74,3155,7857,12.83,1325,638,37.36,59.55,68.98,2.49,RURAL,0
2021,CBP101586,4411,50_99,37700,32761,287101273,1193116426,1520.67,9601,8987,30.8,1613,1643,40.51,37.67,45.83,19.26,RURAL,1
2015,CBP101587,3231,100_249,33195,29870,596265343,2461979816,1946.18,8173,8143,30.53,980,971,8.13,24.79,32.32,17.66,SMALL_TOWN,0
2019,CBP101588,3221,500_999,59308,58335,1225492185,4882400850,1580.18,11989,11611,44.26,571,1489,30.4,14.68,28.47,34.12,URBAN_CORE,0
2020,CBP101589,3311,1000_PLUS,33912,37496,838809326,3214201027,1282.75,2403,376,45.06,748,1771,37.26,58.32,54.85,29.89,SMALL_TOWN,1
2010,CBP101590,2381,100_249,68432,65476,766684023,2707734944,2517.15,11355,2574,27.25,105,1364,28.67,43.16,65.22,0.98,SMALL_TOWN,0
2018,CBP101591,4411,20_49,62089,68130,1262985807,5272816436,808.83,3473,10717,54.19,112,1575,19.24,2.87,19.04,23.37,URBAN_CORE,0
2014,CBP101592,3361,5_9,61387,65792,774024768,2642687753,1431.45,3380,11544,3.76,168,482,74.36,44.44,57.26,13.94,URBAN_CORE,0
2020,CBP101593,4231,500_999,63343,70285,607257225,2496854838,2239.22,5489,7126,53.49,91,522,42.84,31.59,74.91,16.2,RURAL,0
2022,CBP101594,5611,1_4,65152,69038,1397797894,5008347359,2526.33,3226,7717,38.79,1260,1793,18.82,15.42,74.13,20.96,URBAN_CORE,0
2024,CBP101595,1112,1_4,64746,64174,1383621990,5295913423,2501.92,3636,9905,16.14,501,1690,40.67,42.47,37.63,3.56,RURAL,0
2013,CBP101596,5111,250_499,65566,72304,952247565,3464731896,2148.0,4183,9385,39.91,1180,441,17.22,45.75,64.99,9.53,URBAN_CORE,1
2012,CBP101597,3391,20_49,70359,62135,706942093,2805052691,1320.17,11112,588,36.92,1477,531,32.84,34.48,38.44,28.45,SMALL_TOWN,0
2018,CBP101598,5221,250_499,14341,15634,322726998,1247451305,603.5,3889,6334,20.1,1309,820,23.2,1.89,59.11,22.17,RURAL,0
2019,CBP101599,6211,1_4,68217,58197,419580894,1429447817,2257.14,2154,2751,26.89,1789,573,33.77,13.07,59.56,18.21,SUBURBAN,0
2021,CBP101600,2381,20_49,66386,63066,746308389,3081314267,1520.56,8415,8460,49.45,194,155,42.7,47.87,62.39,13.57,SMALL_TOWN,0
2021,CBP101601,3351,1000_PLUS,53789,57684,762046446,3191232912,2509.33,6322,8422,20.21,646,736,65.71,10.94,9.22,7.73,SUBURBAN,0
2023,CBP101602,3151,1_4,912,816,15707242,63889005,1213.0,7631,6735,0.46,340,1661,76.57,21.73,6.2,5.47,URBAN_CORE,0
2011,CBP101603,4411,250_499,41855,42025,580406498,2166593723,548.34,2553,2860,36.88,475,847,25.59,9.3,52.6,21.0,URBAN_CORE,0
2013,CBP101604,4811,100_249,44801,45146,798564525,3191698884,1169.81,10747,1239,20.5,203,325,41.29,36.45,19.56,20.03,SUBURBAN,0
2016,CBP101605,4451,250_499,52477,56636,792895580,3077482424,1837.26,3130,8835,43.52,889,94,20.13,21.16,15.99,24.65,SMALL_TOWN,0
2024,CBP101606,3141,50_99,34984,32860,280276580,1138447705,592.38,4018,11945,23.57,1498,441,51.16,17.42,38.84,14.23,SMALL_TOWN,0
2024,CBP101607,3341,10_19,21680,22551,498615023,2070404612,555.52,2898,5230,14.81,1320,1702,60.29,54.36,18.83,14.4,SMALL_TOWN,0
2019,CBP101608,1121,250_499,32186,31614,216065278,831425863,963.11,1298,781,15.26,1234,1162,5.64,63.77,30.04,16.75,URBAN_CORE,0
2023,CBP101609,1112,50_99,42717,45397,532374464,2101753275,1965.66,3439,1545,54.93,1055,1029,58.14,11.89,43.51,33.03,SMALL_TOWN,0
2012,CBP101610,1121,20_49,3795,3868,74010968,275433379,1069.32,11154,8851,17.46,1792,148,51.95,12.08,71.46,5.19,URBAN_CORE,0
2023,CBP101611,2111,500_999,16602,15370,110220427,398951468,1378.57,5976,11225,9.32,928,891,5.05,3.8,24.56,12.64,URBAN_CORE,0
2013,CBP101612,2371,1000_PLUS,51665,48553,396227716,1436893621,2227.19,6411,8013,50.19,205,722,70.32,2.37,66.86,6.59,URBAN_CORE,0
2021,CBP101613,3141,1_4,28261,26145,593739324,2425699141,2331.68,5232,3985,37.3,309,1005,65.87,38.66,11.14,19.95,URBAN_CORE,0
2021,CBP101614,3351,50_99,65550,62421,1272306793,4822860585,2015.46,9249,962,26.81,1601,1236,5.44,25.53,22.2,16.12,SMALL_TOWN,0
2010,CBP101615,1121,20_49,8405,8360,107144729,435053981,1931.3,2331,145,40.18,1656,470,66.48,15.37,13.49,15.17,RURAL,0
2015,CBP101616,3271,20_49,44292,47726,377825175,1582495116,1980.55,11079,11740,18.58,1387,109,7.71,48.55,34.09,6.58,RURAL,0
2021,CBP101617,2211,5_9,24940,23296,371785983,1534480683,761.98,8695,6705,5.79,862,270,48.37,50.62,59.43,20.91,URBAN_CORE,0
2022,CBP101618,6211,100_249,18540,19555,244331830,989915498,1993.95,7327,682,33.81,1000,433,60.63,25.64,8.68,2.42,SUBURBAN,0
2013,CBP101619,3331,250_499,21700,18929,139699084,475680996,638.01,1758,9583,7.9,985,1701,57.5,4.27,47.84,25.88,SUBURBAN,0
2012,CBP101620,3241,50_99,4041,3595,46504253,173658592,2294.07,3485,3329,24.71,545,1,8.89,42.53,37.59,3.72,RURAL,1
2010,CBP101621,2381,500_999,44848,47563,405432897,1565648183,2120.68,11694,6201,11.2,909,1131,5.33,60.09,31.41,6.59,SUBURBAN,0
2013,CBP101622,3311,100_249,55767,60951,601974538,2330618571,2533.57,5613,5136,5.02,1103,482,9.07,27.37,1.88,18.19,SUBURBAN,0
2023,CBP101623,3251,5_9,2636,2870,17321227,59740991,1223.82,10300,4623,12.29,110,222,2.63,55.18,1.8,6.98,SUBURBAN,0
2012,CBP101624,2371,5_9,41676,41917,526020107,1933024579,1297.38,2513,2122,26.91,199,580,50.34,39.26,30.08,25.68,URBAN_CORE,0
2014,CBP101625,3251,5_9,34385,32091,700176829,2902498724,1153.22,10680,1854,38.84,80,1677,47.33,15.82,48.29,13.85,RURAL,0
2015,CBP101626,4841,50_99,7977,8508,168219767,624276241,710.55,5481,1294,36.68,543,650,82.42,29.76,17.1,4.05,SUBURBAN,0
2011,CBP101627,8111,1000_PLUS,16069,16652,278326845,1088131959,2461.81,393,11122,46.52,1005,1739,18.56,38.13,14.31,14.91,URBAN_CORE,0
2012,CBP101628,9211,250_499,46568,47335,1052157617,3695466228,1868.34,698,2350,13.69,385,1069,54.83,16.94,55.0,22.56,URBAN_CORE,0
2022,CBP101629,3231,250_499,29484,26203,404546655,1688441351,2589.67,1926,6928,0.6,195,1220,27.99,27.43,54.78,28.66,RURAL,0
2014,CBP101630,3391,250_499,24785,27536,627588159,2450809071,2487.14,5866,3511,18.06,1390,28,40.99,19.16,7.26,24.35,SUBURBAN,0
2025,CBP101631,4921,1_4,50574,51999,938769118,3651845796,772.16,1826,7280,40.28,71,75,13.78,62.22,15.95,21.94,SUBURBAN,0
2010,CBP101632,5611,10_19,20400,20769,137733163,494070041,2527.55,4434,6891,47.67,676,169,28.47,44.97,17.37,34.15,SUBURBAN,1
2023,CBP101633,5111,20_49,55405,61849,550386688,2019282869,757.52,9400,3289,26.33,446,1000,75.02,55.93,29.7,34.5,RURAL,0
2025,CBP101634,5611,10_19,31290,28706,440245011,1632615538,1015.87,1867,5401,21.19,766,1047,4.68,14.03,64.41,26.67,SUBURBAN,0
2010,CBP101635,5221,250_499,72014,62458,1267411364,5301843914,1650.1,10480,5104,54.88,943,465,42.29,17.3,58.29,4.39,URBAN_CORE,0
2015,CBP101636,9211,50_99,51006,51731,463065184,1811216786,1168.81,11385,11839,25.05,1663,311,35.83,61.93,31.31,6.76,SMALL_TOWN,1
2015,CBP101637,3311,1_4,61215,64670,1301413776,5022890211,794.3,7755,1380,36.73,938,1474,23.5,37.96,53.69,2.54,RURAL,0
2010,CBP101638,1121,1000_PLUS,20045,21917,227270213,908378371,1344.66,11354,11942,36.6,1356,1279,32.06,29.28,32.32,15.81,URBAN_CORE,0
2011,CBP101639,1111,10_19,30210,28698,587146854,2372884361,1844.45,9613,540,20.92,14,734,52.5,19.03,60.73,12.95,SUBURBAN,0
2013,CBP101640,3311,10_19,73155,75602,659723793,2558785576,962.51,1290,8016,29.64,925,1787,28.65,30.22,16.25,7.53,URBAN_CORE,0
2012,CBP101641,4521,1000_PLUS,7045,6262,61310029,233003155,942.51,11892,1348,48.97,1785,203,10.44,4.97,37.15,33.33,SUBURBAN,0
2013,CBP101642,4241,1000_PLUS,56909,55797,818787243,3315887038,2035.4,11752,6926,7.71,1570,1053,31.49,38.32,69.29,13.1,RURAL,0
2021,CBP101643,2361,1000_PLUS,53797,53851,340029552,1204811310,1590.55,8559,11356,15.75,1456,1591,45.52,17.54,10.38,31.12,SUBURBAN,0
2024,CBP101644,2361,250_499,11704,10851,168689302,590500424,987.3,11996,1924,46.2,1243,772,52.08,53.75,7.46,12.63,URBAN_CORE,0
2019,CBP101645,2361,20_49,15604,15351,363355291,1328221067,2238.08,6892,6102,26.37,76,268,40.35,20.38,71.04,23.86,URBAN_CORE,0
2023,CBP101646,3311,500_999,20960,20033,250483388,978367613,638.82,11230,429,24.13,1464,858,74.86,30.57,33.59,25.51,SUBURBAN,0
2012,CBP101647,2361,100_249,14231,12917,272844127,1072569584,1722.04,11065,6418,6.58,1405,360,73.5,16.88,21.73,12.64,URBAN_CORE,0
2015,CBP101648,3251,1000_PLUS,66572,68631,1360190265,4947767797,1485.33,2537,169,5.33,828,515,19.15,18.81,39.69,10.45,URBAN_CORE,0
2010,CBP101649,3251,250_499,9197,9313,134159417,525171019,591.03,5540,5747,10.08,863,1378,59.76,51.55,18.52,17.12,SUBURBAN,0
2012,CBP101650,3121,50_99,13792,13809,182437093,632557521,666.48,7671,6731,15.55,1589,1479,42.4,3.51,72.28,21.15,SMALL_TOWN,0
2010,CBP101651,5221,20_49,14292,15942,303389878,1076868978,1282.47,3921,11951,33.02,1259,1757,47.32,10.44,42.74,34.75,RURAL,0
2023,CBP101652,8111,10_19,35318,36460,527051900,1816632482,492.36,8205,11256,14.14,635,259,39.11,26.82,65.03,23.36,SUBURBAN,0
2019,CBP101653,5191,10_19,32874,34990,614062156,2359271259,1386.2,10902,10945,7.17,791,648,14.64,46.23,18.47,11.91,URBAN_CORE,0
2018,CBP101654,2371,10_19,12447,11813,268556345,1022770128,1369.06,4533,1173,46.23,834,826,7.18,42.92,65.46,24.04,RURAL,0
2015,CBP101655,5111,50_99,33481,34903,744326828,2741626034,1623.17,4729,7645,52.54,486,1416,14.14,47.71,0.41,16.99,RURAL,0
2010,CBP101656,7221,10_19,14596,14573,176999936,659283989,607.61,11018,175,54.67,1315,622,62.8,7.06,7.58,16.82,SMALL_TOWN,0
2024,CBP101657,6211,10_19,2692,2338,24386782,86090985,1398.6,9408,2309,2.27,849,67,19.35,25.92,1.59,20.51,URBAN_CORE,0
2024,CBP101658,3251,50_99,41047,41306,714499633,2945078249,1102.11,11625,6509,11.91,414,1594,31.74,37.86,48.26,5.38,SMALL_TOWN,0
2024,CBP101659,2111,500_999,51238,47158,790542945,3092394549,757.39,3009,8052,14.99,1095,1729,68.66,35.52,53.63,3.09,RURAL,0
2021,CBP101660,3351,500_999,20486,18156,160348386,551480165,2584.29,2108,7410,49.74,810,551,16.05,29.04,45.71,28.76,SMALL_TOWN,0
2010,CBP101661,4921,100_249,70028,64993,780471749,3051838299,2381.58,4213,8949,4.38,392,517,5.64,6.61,17.56,8.9,URBAN_CORE,0
2021,CBP101662,5231,100_249,70672,60175,885738551,3254105498,657.18,2101,1959,37.57,1533,201,14.29,1.3,43.39,20.06,SUBURBAN,1
2015,CBP101663,5191,10_19,13792,14613,174327981,693619844,2424.91,10198,11679,47.54,651,613,2.53,12.38,45.95,15.18,RURAL,0
2015,CBP101664,4231,50_99,21817,22637,411487789,1707733550,1347.95,6184,8889,6.98,488,437,26.44,6.35,30.11,11.55,RURAL,0
2023,CBP101665,5231,5_9,46301,46827,514692975,1769457674,551.65,2031,5901,15.76,55,275,32.09,1.86,48.67,17.27,SMALL_TOWN,0
2018,CBP101666,4841,5_9,33913,30921,494966288,1966314170,2500.03,2781,3562,23.06,646,1771,62.03,9.6,62.04,25.95,RURAL,0
2012,CBP101667,3351,10_19,44091,48492,326143376,1262126001,1052.52,9102,11705,50.11,132,1786,54.27,28.55,35.75,15.45,SUBURBAN,1
2022,CBP101668,5181,1_4,37072,36201,517101102,1959083660,1559.98,7250,7692,27.15,331,128,83.58,12.46,61.43,32.68,SMALL_TOWN,0
2021,CBP101669,3121,100_249,7879,7980,174332962,641141062,1148.83,6222,1321,20.13,364,1514,39.44,64.81,24.74,30.47,URBAN_CORE,0
2025,CBP101670,3231,20_49,38100,39628,441686650,1517208511,940.02,4050,9885,21.39,1476,578,75.63,3.55,61.8,31.27,SUBURBAN,0
2016,CBP101671,2371,1_4,48992,47744,549897734,2235799960,1101.98,8513,1742,23.52,395,1292,69.87,16.67,49.7,6.05,RURAL,0
2014,CBP101672,4241,10_19,37212,38650,631304153,2497965431,1435.04,11766,10127,45.52,1490,982,82.99,2.04,68.59,17.62,SMALL_TOWN,0
