health_eh_reference_year,health_eh_country_iso2,health_eh_region_nuts_code,health_eh_ehr_coverage_pct,health_eh_e_prescription_coverage_pct,health_eh_e_referral_coverage_pct,health_eh_patient_portal_usage_pct,health_eh_interoperability_level_code,health_eh_eidas_authentication_supported_flag,health_eh_cross_border_ehealth_enabled_flag,health_eh_cyber_incidents_count,health_eh_gdpr_breach_notifications_count,health_eh_digital_health_apps_certified_count,health_eh_ai_in_clinical_use_cases_count,health_eh_telemedicine_visits_per_1k,health_eh_remote_monitoring_patients_count,health_eh_data_spaces_health_flag,health_eh_data_source,health_eh_methodology_version,health_eh_data_extract_date
2020,HU,EE14,61.01,41.66,61.96,43.29,LEVEL_4_FEDERATED,0,0,16,11,1651,96,197.32,113118,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-02-20
2021,NL,CZ804,72.29,82.27,68.15,55.89,LEVEL_0_NONE,0,0,75,26,114,96,212.68,108219,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-10-14
2022,SE,CY88,66.35,84.69,71.03,59.2,LEVEL_1_BASIC,0,0,68,15,3489,310,171.02,263078,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-10-31
2023,DK,LV586,82.8,63.24,51.04,60.21,LEVEL_2_STRUCTURED,1,0,63,48,1459,331,207.94,191231,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-12-23
2024,IE,IE19,84.36,93.53,89.31,67.12,LEVEL_3_SEMANTIC,0,0,86,65,1231,255,234.28,105827,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-03-26
2025,PL,EE43,75.15,69.1,95.51,64.43,LEVEL_4_FEDERATED,0,0,60,11,1775,36,99.63,59676,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-10-25
2006,AT,LT109,23.41,21.93,13.2,13.52,LEVEL_0_NONE,0,0,57,4,1386,10,18.7,77102,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-01-04
2007,EE,EE8,13.94,35.01,5.43,26.89,LEVEL_1_BASIC,0,0,59,61,1112,84,212.46,50604,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-11-05
2008,IT,LV74,23.09,12.5,27.01,9.6,LEVEL_2_STRUCTURED,0,0,61,30,1311,78,55.85,111435,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-11-02
2009,PT,FI762,40.05,13.85,41.14,23.72,LEVEL_3_SEMANTIC,0,0,15,44,1193,9,69.69,9549,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-12-03
2010,BE,BE41,18.44,39.71,22.67,30.26,LEVEL_4_FEDERATED,0,0,39,67,631,90,189.92,59108,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-12-31
2011,FI,BE9,49.17,31.98,40.26,29.27,LEVEL_0_NONE,0,0,32,45,1294,52,39.08,11745,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-10-16
2012,LV,SK63,63.55,57.35,40.47,44.94,LEVEL_1_BASIC,0,0,41,41,1179,63,137.48,115950,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-01-06
2013,RO,SK95,56.24,31.92,45.46,41.11,LEVEL_2_STRUCTURED,0,0,62,10,1032,10,226.83,95453,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-07-07
2014,BG,HU30,62.27,56.96,31.67,33.05,LEVEL_3_SEMANTIC,0,0,40,11,1164,28,99.29,127981,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-08-07
2015,FR,MT21,50.73,59.8,37.32,46.6,LEVEL_4_FEDERATED,0,0,13,46,1216,83,56.08,39168,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-12-13
2016,LT,EE1,54.45,37.84,55.01,54.8,LEVEL_0_NONE,1,0,6,8,1101,25,227.73,112460,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-01-11
2017,SK,PT3,45.61,34.13,65.76,43.12,LEVEL_1_BASIC,0,0,55,19,978,9,69.43,22021,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-07-20
2018,HR,HU7,64.19,51.38,62.02,60.41,LEVEL_2_STRUCTURED,1,0,56,21,3023,88,11.56,14096,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-01-14
2019,DE,IT943,67.35,67.5,67.2,63.55,LEVEL_3_SEMANTIC,1,1,25,40,2672,18,199.32,129328,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-01-11
2020,LU,IE68,60.14,74.97,72.27,47.81,LEVEL_4_FEDERATED,1,0,69,29,232,57,254.21,152580,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-03-06
2021,SI,PT75,56.51,64.36,54.95,64.4,LEVEL_0_NONE,0,0,97,12,3107,9,128.66,164333,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-07-03
2022,CY,RO399,85.59,52.18,54.65,73.32,LEVEL_1_BASIC,0,0,23,8,3484,50,102.62,269390,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-10-09
2023,GR,DE3,83.51,98.85,45.95,61.97,LEVEL_2_STRUCTURED,1,0,12,11,1496,288,100.16,189356,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-01-07
2024,MT,BG656,95.45,94.11,79.0,62.86,LEVEL_3_SEMANTIC,1,0,97,11,481,85,103.02,122307,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-03-03
2025,ES,LT953,100.0,85.14,72.01,59.36,LEVEL_4_FEDERATED,0,0,66,52,151,147,7.71,74260,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-07-04
2006,CZ,RO249,28.67,35.83,18.6,17.53,LEVEL_0_NONE,0,0,35,60,796,91,52.13,121600,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-09-14
2007,HU,SE508,27.01,16.15,30.76,20.9,LEVEL_1_BASIC,0,0,42,63,243,43,36.06,138582,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-07-06
2008,NL,AT99,36.7,33.46,30.02,29.05,LEVEL_2_STRUCTURED,0,1,2,11,502,73,86.13,90258,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-07-16
2009,SE,DK76,30.88,14.04,16.83,19.89,LEVEL_3_SEMANTIC,0,1,14,13,537,94,48.12,65109,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-09-06
2010,DK,HU57,36.03,16.48,25.26,33.68,LEVEL_4_FEDERATED,0,0,1,31,535,77,153.26,100264,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-12-29
2011,IE,RO345,25.81,54.06,31.57,19.5,LEVEL_0_NONE,0,0,39,12,853,102,196.69,36583,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-11-30
2012,PL,IE844,22.39,28.17,24.09,28.61,LEVEL_1_BASIC,0,0,51,23,201,94,102.44,120505,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-11-06
2013,AT,SE441,28.55,33.94,43.57,25.42,LEVEL_2_STRUCTURED,0,1,14,11,1179,108,162.17,16535,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-06-04
2014,EE,SE505,65.32,56.66,39.13,44.25,LEVEL_3_SEMANTIC,1,0,52,5,1520,70,141.19,125855,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-12-29
2015,IT,DE971,35.83,33.93,46.58,48.11,LEVEL_4_FEDERATED,0,0,1,34,1370,46,103.3,126279,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-05-05
2016,PT,HR82,74.43,56.24,25.91,30.75,LEVEL_0_NONE,1,0,30,55,897,15,145.33,16456,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-12-06
2017,BE,AT2,72.19,37.32,33.16,35.38,LEVEL_1_BASIC,1,0,16,8,1113,15,40.67,1090,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-10-10
2018,FI,DE65,54.21,54.21,44.93,47.9,LEVEL_2_STRUCTURED,1,0,60,47,1537,83,153.91,46064,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-09-23
2019,LV,SI83,56.96,84.04,41.53,52.1,LEVEL_3_SEMANTIC,0,0,15,8,230,8,248.95,63373,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-01-15
2020,RO,FR34,69.24,90.66,39.65,47.11,LEVEL_4_FEDERATED,0,1,87,34,2171,54,111.35,182541,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-04-07
2021,BG,BE55,59.81,65.23,84.7,54.73,LEVEL_0_NONE,0,1,105,63,2755,120,381.95,246518,1,EHDS_PILOT_REPORT,EHEALTH_V2,2024-12-21
2022,FR,BG32,80.53,60.01,77.02,42.87,LEVEL_1_BASIC,1,0,0,38,2816,364,93.05,122385,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2026-01-20
2023,LT,NL78,90.27,78.6,77.47,64.37,LEVEL_2_STRUCTURED,1,0,58,43,1458,27,73.15,108603,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-10-17
2024,SK,LU4,97.26,77.21,72.09,56.46,LEVEL_3_SEMANTIC,1,0,70,40,2089,263,33.55,246395,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-12-01
2025,HR,LU173,86.79,70.25,76.68,59.59,LEVEL_4_FEDERATED,1,0,92,56,3266,140,158.03,42747,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-05-17
2006,DE,IE802,28.1,17.19,32.3,21.08,LEVEL_0_NONE,0,0,14,42,167,43,121.58,113066,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-10-19
2007,LU,CY324,40.52,18.3,15.34,17.64,LEVEL_1_BASIC,0,0,35,17,632,31,167.65,6457,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-07-15
2008,SI,BE8,33.21,40.45,12.36,11.89,LEVEL_2_STRUCTURED,0,0,0,43,545,106,111.55,13099,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-05-18
2009,CY,LT10,40.46,43.55,32.71,29.36,LEVEL_3_SEMANTIC,0,0,54,27,699,96,106.39,88256,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-01-02
2010,GR,PL18,36.21,34.77,15.93,31.86,LEVEL_4_FEDERATED,0,0,38,0,1066,34,0.77,38313,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-10-29
2011,MT,AT442,50.79,49.36,40.86,34.37,LEVEL_0_NONE,0,0,61,15,180,70,81.96,118137,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-04-13
2012,ES,DE71,39.89,45.75,46.37,34.18,LEVEL_1_BASIC,0,0,47,51,900,27,154.58,55393,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-02-22
2013,CZ,ES64,45.91,35.34,35.83,17.54,LEVEL_2_STRUCTURED,0,0,56,63,27,106,114.41,92349,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-03-17
2014,HU,PT45,61.0,44.56,36.34,20.01,LEVEL_3_SEMANTIC,0,0,7,7,289,67,102.69,19442,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-06-07
2015,NL,AT74,46.61,46.77,62.25,52.3,LEVEL_4_FEDERATED,0,0,57,27,1095,76,114.5,98078,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-06-04
2016,SE,HU50,50.66,52.48,32.58,49.59,LEVEL_0_NONE,0,1,24,41,799,90,104.11,52514,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-03-28
2017,DK,FI399,70.4,65.74,40.51,46.88,LEVEL_1_BASIC,0,0,30,58,471,100,119.85,65034,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-02-17
2018,IE,LU53,50.1,60.75,42.0,64.86,LEVEL_2_STRUCTURED,1,0,35,23,3378,87,97.82,39802,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-01-22
2019,PL,BE511,59.44,44.03,71.33,57.22,LEVEL_3_SEMANTIC,0,0,12,16,1058,73,198.33,131957,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-09-18
2020,AT,SI32,54.73,89.21,45.25,62.21,LEVEL_4_FEDERATED,0,1,35,53,298,94,58.62,250148,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-12-24
2021,EE,EE4,62.47,59.86,65.56,55.04,LEVEL_0_NONE,1,0,74,6,1099,141,207.34,165870,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-03-13
2022,IT,SI635,62.3,73.98,47.74,75.79,LEVEL_1_BASIC,1,1,21,25,891,12,74.56,248875,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-09-09
2023,PT,LV71,95.79,50.62,90.48,44.43,LEVEL_2_STRUCTURED,1,1,18,40,761,289,239.48,9308,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-01-24
2024,BE,SK380,59.38,92.62,73.36,65.68,LEVEL_3_SEMANTIC,0,0,52,51,2650,328,110.82,155076,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-06-16
2025,FI,HR299,87.64,56.45,51.82,76.85,LEVEL_4_FEDERATED,1,1,0,5,1869,97,140.03,54800,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-01-11
2006,LV,SE81,37.6,18.78,10.72,27.91,LEVEL_0_NONE,0,0,1,29,767,103,155.4,108769,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-09-18
2007,RO,DE354,37.29,40.74,29.79,28.64,LEVEL_1_BASIC,0,0,27,61,314,46,163.34,36957,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-12-02
2008,BG,PT693,32.59,10.3,28.88,10.76,LEVEL_2_STRUCTURED,0,0,32,37,1481,24,50.81,59063,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2026-02-08
2009,FR,PL21,36.32,44.88,33.17,17.31,LEVEL_3_SEMANTIC,0,0,42,41,280,6,61.3,102524,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-12-10
2010,LT,EE782,45.51,37.15,21.89,16.05,LEVEL_4_FEDERATED,0,0,3,0,252,88,107.77,138466,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-02-16
2011,SK,HU192,44.27,20.8,17.84,34.46,LEVEL_0_NONE,0,1,50,29,636,35,45.33,21917,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-03-19
2012,HR,DK83,50.94,22.61,22.82,22.71,LEVEL_1_BASIC,0,0,61,57,402,2,211.14,127355,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-11-29
2013,DE,PT680,27.58,48.02,34.33,47.25,LEVEL_2_STRUCTURED,0,0,20,6,1020,15,245.51,91083,0,EHDS_PILOT_REPORT,EHEALTH_V3,2026-01-03
2014,LU,EE643,56.96,54.85,31.22,51.74,LEVEL_3_SEMANTIC,0,1,3,4,700,105,15.24,138720,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-04-29
2015,SI,IE352,33.26,37.87,54.06,31.82,LEVEL_4_FEDERATED,0,0,56,27,1235,50,181.61,86104,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-11-11
2016,CY,SE147,61.92,52.25,40.5,51.26,LEVEL_0_NONE,1,0,57,4,284,101,215.25,139884,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-04-08
2017,GR,MT547,54.95,71.55,30.76,43.87,LEVEL_1_BASIC,1,0,32,5,102,0,134.57,13617,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-05-01
2018,MT,AT47,73.19,69.78,49.54,32.02,LEVEL_2_STRUCTURED,1,0,45,63,265,90,25.53,34129,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-08-15
2019,ES,AT948,88.39,67.34,49.76,61.73,LEVEL_3_SEMANTIC,1,1,37,57,869,92,219.03,77137,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-05-26
2020,CZ,CZ99,46.42,88.05,54.55,44.03,LEVEL_4_FEDERATED,1,0,64,23,2600,56,144.3,175785,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-07-10
2021,HU,DE60,62.45,45.0,71.21,47.22,LEVEL_0_NONE,1,1,16,39,1166,239,387.87,81595,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-09-12
2022,NL,CZ3,78.22,61.79,69.63,52.93,LEVEL_1_BASIC,0,0,9,1,681,179,215.8,33179,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-07-08
2023,SE,LT362,94.91,52.4,73.22,61.41,LEVEL_2_STRUCTURED,0,1,104,16,3267,106,219.12,8044,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-10-17
2024,DK,DE18,100.0,79.22,75.39,68.09,LEVEL_3_SEMANTIC,1,1,18,1,3484,192,20.86,274138,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-01-01
2025,IE,ES9,96.96,61.51,60.62,71.16,LEVEL_4_FEDERATED,0,0,29,61,1978,17,113.73,10467,1,EHDS_PILOT_REPORT,EHEALTH_V3,2025-12-22
2006,PL,ES509,6.97,14.97,3.89,8.91,LEVEL_0_NONE,0,0,30,41,1163,72,87.68,129266,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-01-23
2007,AT,DK16,13.52,9.28,21.73,30.22,LEVEL_1_BASIC,0,0,30,3,1066,73,10.38,105412,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-01-21
2008,EE,BG9,25.57,33.77,17.05,24.6,LEVEL_2_STRUCTURED,0,0,13,32,1313,24,170.69,60586,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-08-17
2009,IT,CZ1,40.54,43.46,41.91,15.05,LEVEL_3_SEMANTIC,0,0,11,6,1054,57,28.27,80064,1,EHDS_PILOT_REPORT,EHEALTH_V2,2026-01-21
2010,PT,AT761,46.37,32.56,28.69,26.42,LEVEL_4_FEDERATED,0,1,45,38,547,2,129.48,23349,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-01-22
2011,BE,SE710,25.36,29.65,19.37,16.84,LEVEL_0_NONE,1,0,21,40,286,97,205.4,26404,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-12-05
2012,FI,LT63,50.85,43.01,17.6,31.81,LEVEL_1_BASIC,0,0,33,13,802,39,127.02,98771,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-10-14
2013,LV,PT2,42.13,33.37,41.58,48.59,LEVEL_2_STRUCTURED,0,0,14,34,952,82,245.37,102204,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-01-31
2014,RO,SE338,45.14,45.29,48.73,33.0,LEVEL_3_SEMANTIC,0,0,5,16,568,107,25.69,94304,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-02-22
2015,BG,PL971,44.44,65.64,49.92,43.33,LEVEL_4_FEDERATED,0,0,33,33,516,80,144.92,141320,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-06-15
2016,FR,FI75,73.55,63.22,64.57,31.43,LEVEL_0_NONE,1,0,11,27,854,81,58.28,100782,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-10-05
2017,LT,LV9,67.84,62.59,50.18,57.59,LEVEL_1_BASIC,1,1,27,12,506,89,144.42,45168,1,EHDS_PILOT_REPORT,EHEALTH_V3,2024-06-27
2018,SK,CY963,61.7,80.87,59.0,48.39,LEVEL_2_STRUCTURED,1,0,50,68,187,86,134.98,25162,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-10-27
2019,HR,MT83,55.69,72.12,77.48,36.64,LEVEL_3_SEMANTIC,1,1,19,23,2320,18,146.34,21073,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-09-05
2020,DE,MT4,50.3,44.73,57.39,64.11,LEVEL_4_FEDERATED,1,1,70,43,1880,77,22.19,30236,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-05-11
2021,LU,FI43,53.86,78.5,71.81,65.41,LEVEL_0_NONE,1,0,92,3,1753,10,166.18,232261,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-03-10
2022,SI,BG5,82.89,73.49,90.41,51.09,LEVEL_1_BASIC,1,1,6,7,2073,13,14.12,22102,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-06-03
2023,CY,IT719,100.0,93.99,52.63,59.9,LEVEL_2_STRUCTURED,0,0,54,37,1846,331,116.68,229335,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-09-22
2024,GR,DK2,74.63,90.94,49.43,55.47,LEVEL_3_SEMANTIC,1,0,67,49,2337,96,38.12,211850,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-01-16
2025,MT,CY3,71.48,77.29,69.68,63.3,LEVEL_4_FEDERATED,0,0,91,16,2905,23,85.0,179356,1,EHDS_PILOT_REPORT,EHEALTH_V1,2024-02-06
2006,ES,PT32,16.77,4.4,9.65,16.3,LEVEL_0_NONE,0,0,15,40,293,94,145.83,72983,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-02-28
2007,CZ,RO4,13.63,26.33,10.55,19.28,LEVEL_1_BASIC,0,0,56,21,1133,71,164.7,100383,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-09-22
2008,HU,HU526,15.67,31.29,35.21,31.91,LEVEL_2_STRUCTURED,0,0,38,62,338,24,142.37,112648,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2026-01-03
2009,NL,HR4,19.32,15.93,26.9,31.25,LEVEL_3_SEMANTIC,0,0,42,49,1286,28,99.88,8848,0,EHDS_PILOT_REPORT,EHEALTH_V3,2026-01-29
2010,SE,SK2,42.84,31.85,46.37,14.13,LEVEL_4_FEDERATED,0,0,48,47,680,2,52.73,64821,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-04-20
2011,DK,CY46,55.95,51.77,38.07,43.7,LEVEL_0_NONE,0,1,50,31,662,85,97.51,138829,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-07-23
2012,IE,LV2,60.97,41.31,34.3,33.69,LEVEL_1_BASIC,0,0,27,49,1147,18,96.97,42547,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-07-22
2013,PL,RO54,46.02,48.5,18.03,46.46,LEVEL_2_STRUCTURED,0,0,27,0,1346,80,217.0,137628,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-01-07
2014,AT,LT1,59.85,38.35,51.48,34.3,LEVEL_3_SEMANTIC,0,1,31,47,426,92,15.12,38563,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-06-12
2015,EE,BG561,61.27,34.23,36.43,51.2,LEVEL_4_FEDERATED,0,0,6,28,442,66,30.58,45464,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-08-14
2016,IT,NL1,37.84,72.89,52.41,47.3,LEVEL_0_NONE,0,0,43,49,661,85,246.33,98784,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-02-13
2017,PT,PT616,65.88,53.76,58.87,33.02,LEVEL_1_BASIC,1,0,11,23,559,43,87.91,63275,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-02-28
2018,BE,HU149,66.13,55.81,47.23,44.42,LEVEL_2_STRUCTURED,1,0,57,38,2325,60,108.48,73169,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-03-02
2019,FI,EE3,64.81,42.66,42.74,40.59,LEVEL_3_SEMANTIC,1,1,49,52,2059,93,99.09,92533,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-09-25
2020,LV,LV739,63.01,83.64,64.36,56.28,LEVEL_4_FEDERATED,0,0,29,28,711,8,260.75,75783,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-03-21
2021,RO,DK73,72.61,57.82,62.78,42.51,LEVEL_0_NONE,0,0,104,58,1040,203,377.66,5742,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-05-24
2022,BG,IT166,93.84,90.22,61.12,68.92,LEVEL_1_BASIC,1,0,45,42,3048,381,221.7,19945,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-01-10
2023,FR,SK367,90.43,65.45,63.07,53.38,LEVEL_2_STRUCTURED,1,0,49,5,3394,386,231.22,91099,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2026-01-29
2024,LT,HR713,90.83,100.0,77.53,50.53,LEVEL_3_SEMANTIC,1,0,80,20,3394,361,63.07,208906,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2026-01-22
2025,SK,FI5,63.31,96.52,74.44,67.86,LEVEL_4_FEDERATED,1,1,63,40,73,243,51.18,145950,1,EHDS_PILOT_REPORT,EHEALTH_V2,2025-10-22
2006,HR,EE26,37.25,23.11,14.43,5.81,LEVEL_0_NONE,1,0,27,63,864,32,87.27,8649,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-01-12
2007,DE,ES16,40.65,13.36,24.89,20.63,LEVEL_1_BASIC,0,0,25,29,931,79,172.29,79166,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-03-14
2008,LU,SE33,47.31,13.02,42.16,31.14,LEVEL_2_STRUCTURED,0,1,5,22,256,57,71.0,44105,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-08-17
2009,SI,FR35,30.76,39.59,31.35,22.52,LEVEL_3_SEMANTIC,1,1,62,42,78,7,194.8,68646,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-10-05
2010,CY,PT1,43.71,47.74,43.02,32.03,LEVEL_4_FEDERATED,0,0,10,36,818,25,59.59,128473,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-02-29
2011,GR,IE6,31.99,32.81,24.42,24.86,LEVEL_0_NONE,0,0,55,16,1490,49,189.53,95743,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-10-10
2012,MT,DK47,60.34,33.53,45.13,24.39,LEVEL_1_BASIC,0,0,54,66,1022,84,177.09,73216,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-04-22
2013,ES,BG50,47.11,43.24,35.02,48.04,LEVEL_2_STRUCTURED,1,0,49,13,276,65,35.52,34499,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-07-27
2014,CZ,PT487,52.11,69.66,40.87,44.25,LEVEL_3_SEMANTIC,0,0,13,20,1539,96,46.1,37326,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-09-11
2015,HU,HR3,70.79,54.38,57.45,43.11,LEVEL_4_FEDERATED,0,0,46,37,316,67,37.38,36540,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-01-01
2016,NL,HU3,61.37,64.54,50.11,32.54,LEVEL_0_NONE,0,0,42,47,865,80,148.63,139993,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-08-27
2017,SE,PL8,45.61,50.41,66.32,36.27,LEVEL_1_BASIC,1,0,47,5,1407,13,143.03,18807,1,EHDS_PILOT_REPORT,EHEALTH_V2,2024-01-09
2018,DK,AT6,69.91,66.38,65.02,44.46,LEVEL_2_STRUCTURED,1,0,62,43,1297,42,51.12,28227,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-12-23
2019,IE,ES5,60.45,74.99,50.45,47.27,LEVEL_3_SEMANTIC,1,1,39,12,399,46,86.92,140893,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-01-12
2020,PL,LT9,57.15,58.64,64.92,74.21,LEVEL_4_FEDERATED,1,1,54,27,1456,46,3.26,69653,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-12-04
