edu_he_reference_year,edu_he_country_iso2,edu_he_institution_id,edu_he_institution_type_code,edu_he_students_total,edu_he_international_students_share_pct,edu_he_graduation_rate_pct,edu_he_staff_fte_total,edu_he_research_expenditure_eur,edu_he_publications_count,edu_he_citations_normalised_index,edu_he_horizon_participation_count,edu_he_patents_count,edu_he_spinouts_count,edu_he_open_access_share_pct,edu_he_microcredential_offers_count,edu_he_european_universities_alliance_flag,edu_he_data_source,edu_he_revision_round,edu_he_data_extract_date
2012,HR,HEI_HR_2382,PRIVATE_UNIVERSITY,35956,6.64,74.13,2784,2253670996.21,3442,1.406,44,0,29,19.43,2,0,NATIONAL_HE_REGISTRY,SECOND,2025-02-02
2013,FI,HEI_FI_2389,UNIVERSITY_OF_APPLIED_SCIENCES,2204,28.31,56.57,134,599897926.2,20678,1.918,34,156,94,15.93,76,0,INSTITUTIONAL_REPORT,FIRST,2024-05-29
2014,IE,HEI_IE_2396,RESEARCH_INSTITUTE,44515,34.16,65.29,2506,2857107632.02,19237,1.396,201,154,37,32.61,172,0,EUROSTAT_EDU,FLASH,2026-02-15
2015,MT,HEI_MT_2403,TECHNICAL_UNIVERSITY,77220,25.27,58.77,8739,5272392379.72,9383,1.381,573,63,75,54.75,111,0,SCIMAGO_EXPORT,BENCHMARK,2024-01-12
2016,SK,HEI_SK_2410,PUBLIC_UNIVERSITY,1780,9.33,85.29,95,1323949558.69,14126,0.832,375,99,100,24.31,116,0,NATIONAL_HE_REGISTRY,SECOND,2025-04-08
2017,BE,HEI_BE_2417,PRIVATE_UNIVERSITY,12346,16.48,74.69,1045,294046415.44,12632,1.548,56,5,61,59.56,116,0,INSTITUTIONAL_REPORT,FIRST,2024-04-30
2018,DK,HEI_DK_2424,UNIVERSITY_OF_APPLIED_SCIENCES,42278,39.95,58.69,3631,605035498.48,1404,0.714,19,150,55,75.0,41,0,EUROSTAT_EDU,FLASH,2025-11-11
2019,GR,HEI_GR_2431,RESEARCH_INSTITUTE,36587,26.39,43.26,4470,330654412.48,4029,1.443,340,57,8,73.54,53,1,SCIMAGO_EXPORT,BENCHMARK,2024-07-19
2020,LT,HEI_LT_2438,TECHNICAL_UNIVERSITY,5032,18.36,75.5,129,1873039802.1,4587,1.43,52,307,118,43.22,199,0,NATIONAL_HE_REGISTRY,SECOND,2025-08-07
2021,PT,HEI_PT_2445,PUBLIC_UNIVERSITY,36873,17.85,85.2,2371,2736638661.0,11097,1.458,37,3,17,47.77,472,0,INSTITUTIONAL_REPORT,FIRST,2025-08-27
2022,SE,HEI_SE_2452,PRIVATE_UNIVERSITY,55895,6.89,44.8,6766,1335110515.55,8863,0.958,370,49,53,73.15,290,0,EUROSTAT_EDU,FLASH,2025-03-28
2023,CY,HEI_CY_2459,UNIVERSITY_OF_APPLIED_SCIENCES,15667,6.72,65.11,1641,2291543652.85,16744,1.345,25,26,79,46.16,38,0,SCIMAGO_EXPORT,BENCHMARK,2025-12-18
2024,FR,HEI_FR_2466,RESEARCH_INSTITUTE,1980,28.97,48.32,88,5772267053.52,25960,1.646,145,203,49,61.17,295,1,NATIONAL_HE_REGISTRY,SECOND,2024-04-16
2025,IT,HEI_IT_2473,TECHNICAL_UNIVERSITY,91950,26.2,54.56,7341,5855399721.63,14618,1.005,120,80,107,64.66,344,0,INSTITUTIONAL_REPORT,FIRST,2025-08-03
2006,NL,HEI_NL_2480,PUBLIC_UNIVERSITY,72938,4.98,64.01,9219,2170793915.62,18250,1.546,36,114,87,26.83,90,0,EUROSTAT_EDU,FLASH,2026-01-20
2007,SI,HEI_SI_2487,PRIVATE_UNIVERSITY,25595,30.14,56.51,897,1965639335.53,16810,1.787,87,10,65,27.19,57,0,SCIMAGO_EXPORT,BENCHMARK,2024-02-28
2008,BG,HEI_BG_2494,UNIVERSITY_OF_APPLIED_SCIENCES,457,1.71,51.88,15,275998179.0,17915,1.622,120,104,70,49.42,50,0,NATIONAL_HE_REGISTRY,SECOND,2024-10-27
2009,EE,HEI_EE_2501,RESEARCH_INSTITUTE,30710,25.54,47.32,3532,3727729733.11,15712,0.879,89,142,28,33.04,26,0,INSTITUTIONAL_REPORT,FIRST,2025-07-08
2010,HU,HEI_HU_2508,TECHNICAL_UNIVERSITY,41607,20.8,63.69,4215,4324239946.22,27429,1.622,236,9,32,42.51,177,0,EUROSTAT_EDU,FLASH,2024-04-27
2011,LU,HEI_LU_2515,PUBLIC_UNIVERSITY,61163,8.07,70.72,6788,2823346697.01,11319,1.326,318,64,68,22.97,130,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-12
2012,RO,HEI_RO_2522,PRIVATE_UNIVERSITY,34793,2.47,48.98,3680,495676198.47,13698,0.95,237,84,104,49.01,186,0,NATIONAL_HE_REGISTRY,SECOND,2025-07-24
2013,AT,HEI_AT_2529,UNIVERSITY_OF_APPLIED_SCIENCES,47781,32.79,69.93,5172,734696954.96,15498,2.058,213,165,5,42.19,169,0,INSTITUTIONAL_REPORT,FIRST,2024-07-09
2014,CZ,HEI_CZ_2536,RESEARCH_INSTITUTE,45381,4.3,57.45,6609,5232099789.24,7608,1.944,114,287,33,53.58,148,0,EUROSTAT_EDU,FLASH,2025-01-11
2015,DE,HEI_DE_2543,TECHNICAL_UNIVERSITY,11016,15.23,52.07,1335,1992227138.43,19404,1.977,113,197,66,25.1,126,0,SCIMAGO_EXPORT,BENCHMARK,2025-09-02
2016,LV,HEI_LV_2550,PUBLIC_UNIVERSITY,75744,20.61,73.26,8800,2608322760.34,4959,1.984,382,168,63,44.5,112,0,NATIONAL_HE_REGISTRY,SECOND,2024-05-20
2017,PL,HEI_PL_2557,PRIVATE_UNIVERSITY,14242,19.79,74.18,1088,2517170296.54,19136,1.798,77,3,59,57.95,32,0,INSTITUTIONAL_REPORT,FIRST,2025-10-20
2018,ES,HEI_ES_2564,UNIVERSITY_OF_APPLIED_SCIENCES,17195,28.61,61.43,1666,672808128.16,11979,1.806,42,156,3,74.01,105,0,EUROSTAT_EDU,FLASH,2025-09-07
2019,HR,HEI_HR_2571,RESEARCH_INSTITUTE,9633,16.62,66.2,1641,2964050993.42,10394,1.491,365,333,99,30.03,176,1,SCIMAGO_EXPORT,BENCHMARK,2024-01-25
2020,FI,HEI_FI_2578,TECHNICAL_UNIVERSITY,16599,21.53,84.32,599,5366475873.61,26535,1.381,432,254,15,63.82,0,0,NATIONAL_HE_REGISTRY,SECOND,2025-03-31
2021,IE,HEI_IE_2585,PUBLIC_UNIVERSITY,58389,23.43,78.62,3141,1794723240.68,5811,1.186,345,81,56,21.69,330,0,INSTITUTIONAL_REPORT,FIRST,2025-06-21
2022,MT,HEI_MT_2592,PRIVATE_UNIVERSITY,2551,15.21,64.52,202,2638811439.69,8154,1.529,182,65,89,57.69,104,1,EUROSTAT_EDU,FLASH,2024-09-19
2023,SK,HEI_SK_2599,UNIVERSITY_OF_APPLIED_SCIENCES,58685,28.25,44.34,4685,1049593534.0,13005,1.917,110,26,116,49.66,14,1,SCIMAGO_EXPORT,BENCHMARK,2025-11-07
2024,BE,HEI_BE_2606,RESEARCH_INSTITUTE,38475,12.87,66.45,2621,5155531782.75,9098,1.163,140,113,80,28.53,38,0,NATIONAL_HE_REGISTRY,SECOND,2026-02-23
2025,DK,HEI_DK_2613,TECHNICAL_UNIVERSITY,70422,35.19,81.63,8137,6043028737.4,5499,1.841,408,41,74,78.37,257,0,INSTITUTIONAL_REPORT,FIRST,2025-07-25
2006,GR,HEI_GR_2620,PUBLIC_UNIVERSITY,15947,15.08,84.03,1447,90944441.88,3486,0.73,130,147,95,27.59,162,0,EUROSTAT_EDU,FLASH,2025-11-01
2007,LT,HEI_LT_2627,PRIVATE_UNIVERSITY,2600,24.82,45.96,300,2252809358.36,10541,1.025,151,117,90,59.48,9,0,SCIMAGO_EXPORT,BENCHMARK,2024-02-18
2008,PT,HEI_PT_2634,UNIVERSITY_OF_APPLIED_SCIENCES,24196,10.62,59.02,904,553481353.92,9635,1.926,87,102,4,19.15,12,0,NATIONAL_HE_REGISTRY,SECOND,2024-04-07
2009,SE,HEI_SE_2641,RESEARCH_INSTITUTE,18675,40.36,44.95,3131,2001742977.75,14674,1.693,117,171,78,42.68,50,0,INSTITUTIONAL_REPORT,FIRST,2024-04-07
2010,CY,HEI_CY_2648,TECHNICAL_UNIVERSITY,57370,9.29,76.74,3026,1776462734.65,9631,1.618,244,229,31,40.12,35,0,EUROSTAT_EDU,FLASH,2025-09-14
2011,FR,HEI_FR_2655,PUBLIC_UNIVERSITY,26165,3.99,80.15,2377,2445222318.47,6236,1.782,291,157,71,55.45,43,0,SCIMAGO_EXPORT,BENCHMARK,2025-10-08
2012,IT,HEI_IT_2662,PRIVATE_UNIVERSITY,11713,25.42,52.98,814,1464854131.81,5938,1.065,238,14,65,30.41,188,0,NATIONAL_HE_REGISTRY,SECOND,2024-12-30
2013,NL,HEI_NL_2669,UNIVERSITY_OF_APPLIED_SCIENCES,26363,2.93,75.7,2153,25384645.8,6549,1.889,73,43,12,47.47,11,0,INSTITUTIONAL_REPORT,FIRST,2024-09-29
2014,SI,HEI_SI_2676,RESEARCH_INSTITUTE,37994,26.9,61.91,1645,823325249.9,16982,1.204,506,41,67,62.05,101,0,EUROSTAT_EDU,FLASH,2024-11-28
2015,BG,HEI_BG_2683,TECHNICAL_UNIVERSITY,75984,26.39,69.09,4302,5019549398.69,11793,1.504,151,155,37,45.42,45,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-04
2016,EE,HEI_EE_2690,PUBLIC_UNIVERSITY,78833,7.77,85.5,5586,2699344099.87,385,0.806,329,178,81,51.53,46,0,NATIONAL_HE_REGISTRY,SECOND,2024-12-22
2017,HU,HEI_HU_2697,PRIVATE_UNIVERSITY,17549,28.77,50.11,1906,1003214277.46,5310,1.336,380,150,2,21.62,201,0,INSTITUTIONAL_REPORT,FIRST,2025-01-20
2018,LU,HEI_LU_2704,UNIVERSITY_OF_APPLIED_SCIENCES,31143,25.38,74.94,1356,9842970.03,11218,1.253,336,9,14,75.1,25,0,EUROSTAT_EDU,FLASH,2025-05-28
2019,RO,HEI_RO_2711,RESEARCH_INSTITUTE,4727,18.3,55.58,727,1032061744.81,28949,0.701,3,328,81,33.68,137,0,SCIMAGO_EXPORT,BENCHMARK,2024-02-10
2020,AT,HEI_AT_2718,TECHNICAL_UNIVERSITY,8364,17.42,78.54,704,4172149465.06,360,1.469,545,188,9,36.06,137,1,NATIONAL_HE_REGISTRY,SECOND,2024-09-23
2021,CZ,HEI_CZ_2725,PUBLIC_UNIVERSITY,69091,24.94,52.19,3260,682161871.07,5784,1.753,10,87,46,38.51,72,0,INSTITUTIONAL_REPORT,FIRST,2025-02-23
2022,DE,HEI_DE_2732,PRIVATE_UNIVERSITY,55721,11.94,68.52,4381,3928094232.8,12188,1.533,280,105,61,62.12,340,0,EUROSTAT_EDU,FLASH,2025-12-29
2023,LV,HEI_LV_2739,UNIVERSITY_OF_APPLIED_SCIENCES,33457,4.69,42.89,3486,3333355314.76,1538,0.709,49,22,62,46.34,348,1,SCIMAGO_EXPORT,BENCHMARK,2024-12-18
2024,PL,HEI_PL_2746,RESEARCH_INSTITUTE,37441,29.26,63.97,3493,5564906344.08,3292,1.284,491,205,39,41.16,403,0,NATIONAL_HE_REGISTRY,SECOND,2024-02-05
2025,ES,HEI_ES_2753,TECHNICAL_UNIVERSITY,19881,6.59,85.76,1227,3671017841.1,11748,1.478,192,27,41,39.86,257,0,INSTITUTIONAL_REPORT,FIRST,2024-03-06
2006,HR,HEI_HR_2760,PUBLIC_UNIVERSITY,15250,10.66,69.53,1023,2454367007.51,9510,1.425,112,25,17,50.59,83,0,EUROSTAT_EDU,FLASH,2025-12-15
2007,FI,HEI_FI_2767,PRIVATE_UNIVERSITY,38016,18.29,55.0,4693,1718629160.29,18266,1.434,15,96,112,40.4,11,0,SCIMAGO_EXPORT,BENCHMARK,2024-06-16
2008,IE,HEI_IE_2774,UNIVERSITY_OF_APPLIED_SCIENCES,12967,16.18,58.19,568,1683968582.88,10259,0.886,50,41,32,49.63,9,0,NATIONAL_HE_REGISTRY,SECOND,2024-04-03
2009,MT,HEI_MT_2781,RESEARCH_INSTITUTE,30002,8.04,56.95,4964,3481358091.92,7172,1.303,31,193,63,36.23,31,0,INSTITUTIONAL_REPORT,FIRST,2025-05-06
2010,SK,HEI_SK_2788,TECHNICAL_UNIVERSITY,8055,22.28,85.8,766,962173316.58,29804,1.186,343,30,71,44.42,127,0,EUROSTAT_EDU,FLASH,2026-01-18
2011,BE,HEI_BE_2795,PUBLIC_UNIVERSITY,59770,5.76,74.24,3257,1538256146.5,8694,1.91,172,78,9,64.02,62,0,SCIMAGO_EXPORT,BENCHMARK,2024-12-30
2012,DK,HEI_DK_2802,PRIVATE_UNIVERSITY,5251,9.65,69.04,257,560774018.22,14941,1.687,163,160,50,16.68,131,0,NATIONAL_HE_REGISTRY,SECOND,2024-09-19
2013,GR,HEI_GR_2809,UNIVERSITY_OF_APPLIED_SCIENCES,58228,23.54,75.64,6104,2377175377.91,13809,1.383,51,154,80,43.99,71,0,INSTITUTIONAL_REPORT,FIRST,2025-05-15
2014,LT,HEI_LT_2816,RESEARCH_INSTITUTE,28073,15.27,50.11,1985,2208594457.22,4864,1.367,336,55,53,41.24,192,0,EUROSTAT_EDU,FLASH,2024-03-15
2015,PT,HEI_PT_2823,TECHNICAL_UNIVERSITY,88766,13.38,76.98,5523,523399806.93,24985,2.04,235,303,77,63.97,127,0,SCIMAGO_EXPORT,BENCHMARK,2025-09-11
2016,SE,HEI_SE_2830,PUBLIC_UNIVERSITY,63225,26.58,83.47,4976,2284020653.43,8720,1.858,173,163,107,56.18,148,0,NATIONAL_HE_REGISTRY,SECOND,2025-11-30
2017,CY,HEI_CY_2837,PRIVATE_UNIVERSITY,17899,3.5,69.89,916,580461064.79,10704,2.029,78,181,48,39.74,7,0,INSTITUTIONAL_REPORT,FIRST,2025-01-19
2018,FR,HEI_FR_2844,UNIVERSITY_OF_APPLIED_SCIENCES,19830,18.53,56.87,1079,2218620010.62,16161,1.115,197,35,25,85.41,89,0,EUROSTAT_EDU,FLASH,2024-07-16
2019,IT,HEI_IT_2851,RESEARCH_INSTITUTE,9118,28.63,50.42,366,1565822825.27,4841,0.962,130,304,66,32.5,87,0,SCIMAGO_EXPORT,BENCHMARK,2024-11-26
2020,NL,HEI_NL_2858,TECHNICAL_UNIVERSITY,30120,14.27,72.58,3444,2365091783.26,23666,1.976,303,136,103,29.32,171,1,NATIONAL_HE_REGISTRY,SECOND,2024-08-30
2021,SI,HEI_SI_2865,PUBLIC_UNIVERSITY,58084,22.85,57.4,3580,2642522973.18,9088,1.051,154,115,19,44.48,331,0,INSTITUTIONAL_REPORT,FIRST,2024-07-05
2022,BG,HEI_BG_2872,PRIVATE_UNIVERSITY,31071,1.79,56.07,1935,2185378162.97,12970,0.862,89,171,9,32.27,259,0,EUROSTAT_EDU,FLASH,2026-01-29
2023,EE,HEI_EE_2879,UNIVERSITY_OF_APPLIED_SCIENCES,352,15.89,74.57,36,3592178734.87,12432,1.259,404,122,80,64.2,314,0,SCIMAGO_EXPORT,BENCHMARK,2024-03-02
2024,HU,HEI_HU_2886,RESEARCH_INSTITUTE,34742,2.92,71.84,5071,1467619208.85,1688,0.62,26,192,37,52.67,18,0,NATIONAL_HE_REGISTRY,SECOND,2024-03-16
2025,LU,HEI_LU_2893,TECHNICAL_UNIVERSITY,33295,21.22,55.49,4019,3809346696.19,14009,0.716,47,263,80,40.24,204,0,INSTITUTIONAL_REPORT,FIRST,2025-12-13
2006,RO,HEI_RO_2900,PUBLIC_UNIVERSITY,83099,28.07,79.69,2286,2687502160.46,17339,0.835,120,76,99,37.47,169,0,EUROSTAT_EDU,FLASH,2024-08-12
2007,AT,HEI_AT_2907,PRIVATE_UNIVERSITY,20085,5.97,77.75,1518,960292848.38,7434,0.848,79,118,18,33.79,119,0,SCIMAGO_EXPORT,BENCHMARK,2024-05-29
2008,CZ,HEI_CZ_2914,UNIVERSITY_OF_APPLIED_SCIENCES,60543,8.48,47.51,5047,1104215987.89,16442,1.671,213,85,57,51.88,29,0,NATIONAL_HE_REGISTRY,SECOND,2024-12-03
2009,DE,HEI_DE_2921,RESEARCH_INSTITUTE,32322,23.67,50.86,4699,860765401.03,34804,0.986,236,259,15,54.58,1,0,INSTITUTIONAL_REPORT,FIRST,2025-10-02
2010,LV,HEI_LV_2928,TECHNICAL_UNIVERSITY,94515,5.65,74.37,7136,1453034773.82,32800,1.393,181,159,70,30.52,36,0,EUROSTAT_EDU,FLASH,2025-06-18
2011,PL,HEI_PL_2935,PUBLIC_UNIVERSITY,46127,16.31,54.17,3113,2578344263.3,8121,1.031,350,22,18,31.93,1,0,SCIMAGO_EXPORT,BENCHMARK,2024-12-25
2012,ES,HEI_ES_2942,PRIVATE_UNIVERSITY,39525,24.9,58.65,3425,1320638059.21,4441,1.899,242,132,15,17.02,171,0,NATIONAL_HE_REGISTRY,SECOND,2025-11-10
2013,HR,HEI_HR_2949,UNIVERSITY_OF_APPLIED_SCIENCES,26778,26.28,69.41,2464,121031897.44,5868,0.816,92,68,79,53.7,126,0,INSTITUTIONAL_REPORT,FIRST,2025-12-25
2014,FI,HEI_FI_2956,RESEARCH_INSTITUTE,34351,12.81,53.2,2723,4796359437.8,6833,1.837,54,327,40,37.27,69,0,EUROSTAT_EDU,FLASH,2025-01-05
2015,IE,HEI_IE_2963,TECHNICAL_UNIVERSITY,14279,31.22,55.06,1016,1588881048.5,13273,1.973,423,348,46,63.46,15,0,SCIMAGO_EXPORT,BENCHMARK,2025-09-19
2016,MT,HEI_MT_2970,PUBLIC_UNIVERSITY,30868,29.37,56.28,1046,914748039.53,2014,1.181,328,44,69,62.96,2,0,NATIONAL_HE_REGISTRY,SECOND,2024-09-02
2017,SK,HEI_SK_2977,PRIVATE_UNIVERSITY,12654,4.51,62.34,1146,3047311533.09,20237,1.181,203,176,6,54.99,34,0,INSTITUTIONAL_REPORT,FIRST,2025-04-25
2018,BE,HEI_BE_2984,UNIVERSITY_OF_APPLIED_SCIENCES,8587,24.98,61.83,603,839477676.92,2085,0.939,217,177,19,59.97,117,0,EUROSTAT_EDU,FLASH,2026-01-03
2019,DK,HEI_DK_2991,RESEARCH_INSTITUTE,60210,36.92,60.69,5814,708259962.51,23449,0.959,185,312,53,41.67,48,0,SCIMAGO_EXPORT,BENCHMARK,2025-07-26
2020,GR,HEI_GR_2998,TECHNICAL_UNIVERSITY,11003,29.58,65.34,525,1316492954.77,9605,0.764,242,280,85,42.66,200,0,NATIONAL_HE_REGISTRY,SECOND,2025-11-27
2021,LT,HEI_LT_3005,PUBLIC_UNIVERSITY,28042,14.98,66.78,1219,597880835.71,7140,0.915,590,134,83,80.32,136,0,INSTITUTIONAL_REPORT,FIRST,2026-02-15
2022,PT,HEI_PT_3012,PRIVATE_UNIVERSITY,34169,26.46,61.82,3011,2924246759.94,3826,1.408,106,140,70,29.08,521,1,EUROSTAT_EDU,FLASH,2024-07-03
2023,SE,HEI_SE_3019,UNIVERSITY_OF_APPLIED_SCIENCES,23867,6.1,77.46,2026,583834866.58,20817,1.718,224,66,69,47.3,255,0,SCIMAGO_EXPORT,BENCHMARK,2025-01-09
2024,CY,HEI_CY_3026,RESEARCH_INSTITUTE,24155,14.79,45.95,3860,5674893041.28,34126,1.583,42,71,54,53.29,10,0,NATIONAL_HE_REGISTRY,SECOND,2026-01-03
2025,FR,HEI_FR_3033,TECHNICAL_UNIVERSITY,94016,9.85,67.08,11206,7960588642.64,20966,0.711,488,111,25,84.73,186,0,INSTITUTIONAL_REPORT,FIRST,2024-12-22
2006,IT,HEI_IT_3040,PUBLIC_UNIVERSITY,59374,14.05,57.7,5610,2077316235.16,8316,1.451,64,64,19,23.13,33,0,EUROSTAT_EDU,FLASH,2025-05-04
2007,NL,HEI_NL_3047,PRIVATE_UNIVERSITY,48284,34.0,62.74,1344,751896424.58,15571,1.85,200,3,46,36.87,189,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-21
2008,SI,HEI_SI_3054,UNIVERSITY_OF_APPLIED_SCIENCES,4147,14.08,66.83,171,629015627.32,4783,1.49,178,109,89,21.81,20,0,NATIONAL_HE_REGISTRY,SECOND,2025-09-30
2009,BG,HEI_BG_3061,RESEARCH_INSTITUTE,15187,3.38,48.29,1055,3797309807.27,23175,0.994,192,321,86,55.55,127,0,INSTITUTIONAL_REPORT,FIRST,2025-06-02
2010,EE,HEI_EE_3068,TECHNICAL_UNIVERSITY,33246,6.02,75.43,2014,64782996.82,11351,1.531,63,54,55,16.86,149,0,EUROSTAT_EDU,FLASH,2025-08-14
2011,HU,HEI_HU_3075,PUBLIC_UNIVERSITY,19164,20.82,67.5,558,371031528.48,9198,0.805,227,101,59,29.4,44,0,SCIMAGO_EXPORT,BENCHMARK,2024-06-02
2012,LU,HEI_LU_3082,PRIVATE_UNIVERSITY,48664,1.75,46.85,5406,2085911590.81,9066,1.437,12,115,39,18.79,114,0,NATIONAL_HE_REGISTRY,SECOND,2025-07-23
2013,RO,HEI_RO_3089,UNIVERSITY_OF_APPLIED_SCIENCES,45116,4.21,58.22,3239,2116562919.86,224,0.895,117,167,86,62.27,186,0,INSTITUTIONAL_REPORT,FIRST,2024-04-05
2014,AT,HEI_AT_3096,RESEARCH_INSTITUTE,39419,10.81,53.2,4043,4608750599.02,34621,0.704,360,332,46,52.84,59,0,EUROSTAT_EDU,FLASH,2024-08-19
2015,CZ,HEI_CZ_3103,TECHNICAL_UNIVERSITY,67873,28.58,61.36,2484,1270798291.27,32497,1.058,333,190,71,40.57,69,0,SCIMAGO_EXPORT,BENCHMARK,2024-09-26
2016,DE,HEI_DE_3110,PUBLIC_UNIVERSITY,74545,41.22,65.81,1928,1167195702.99,19651,1.159,550,105,34,63.75,16,0,NATIONAL_HE_REGISTRY,SECOND,2024-10-03
2017,LV,HEI_LV_3117,PRIVATE_UNIVERSITY,17582,16.14,42.8,1201,1546843366.42,19072,1.48,343,136,0,62.34,169,0,INSTITUTIONAL_REPORT,FIRST,2025-06-24
2018,PL,HEI_PL_3124,UNIVERSITY_OF_APPLIED_SCIENCES,7093,7.07,72.6,184,968842109.67,19468,2.053,153,27,79,47.95,30,0,EUROSTAT_EDU,FLASH,2025-07-16
2019,ES,HEI_ES_3131,RESEARCH_INSTITUTE,1255,4.13,43.26,115,5161595529.87,14139,1.997,35,51,36,34.58,54,0,SCIMAGO_EXPORT,BENCHMARK,2025-01-06
2020,HR,HEI_HR_3138,TECHNICAL_UNIVERSITY,79267,23.34,73.25,9043,6674128991.87,18549,1.822,583,309,62,33.29,179,1,NATIONAL_HE_REGISTRY,SECOND,2024-05-03
2021,FI,HEI_FI_3145,PUBLIC_UNIVERSITY,89212,2.93,67.72,3866,3205349867.15,13028,1.536,413,86,61,84.63,240,1,INSTITUTIONAL_REPORT,FIRST,2025-10-20
2022,IE,HEI_IE_3152,PRIVATE_UNIVERSITY,43901,4.35,56.96,4199,3534492204.4,18046,1.622,83,96,10,31.1,1,0,EUROSTAT_EDU,FLASH,2024-04-04
2023,MT,HEI_MT_3159,UNIVERSITY_OF_APPLIED_SCIENCES,17947,22.33,77.3,739,2872796725.89,4637,1.671,8,11,35,66.13,114,0,SCIMAGO_EXPORT,BENCHMARK,2024-08-26
2024,SK,HEI_SK_3166,RESEARCH_INSTITUTE,60555,27.02,47.21,3442,2243384660.72,33672,1.303,544,139,8,61.58,397,0,NATIONAL_HE_REGISTRY,SECOND,2025-06-14
2025,BE,HEI_BE_3173,TECHNICAL_UNIVERSITY,92905,10.98,65.21,3483,3998773096.45,8628,1.123,247,163,109,43.59,441,0,INSTITUTIONAL_REPORT,FIRST,2025-08-20
2006,DK,HEI_DK_3180,PUBLIC_UNIVERSITY,86809,22.24,84.85,5204,2420465937.0,13035,1.722,127,59,9,55.2,102,0,EUROSTAT_EDU,FLASH,2026-01-01
2007,GR,HEI_GR_3187,PRIVATE_UNIVERSITY,59394,25.5,70.15,7461,206818915.72,376,1.267,247,54,22,61.99,104,0,SCIMAGO_EXPORT,BENCHMARK,2026-01-22
2008,LT,HEI_LT_3194,UNIVERSITY_OF_APPLIED_SCIENCES,10609,28.98,70.12,602,404144648.9,4513,1.708,226,152,74,47.22,8,0,NATIONAL_HE_REGISTRY,SECOND,2024-01-15
2009,PT,HEI_PT_3201,RESEARCH_INSTITUTE,15010,28.85,65.76,1935,3168320951.57,18898,0.761,248,52,34,20.35,136,0,INSTITUTIONAL_REPORT,FIRST,2024-08-02
2010,SE,HEI_SE_3208,TECHNICAL_UNIVERSITY,43593,33.65,77.91,5075,358488628.18,18942,1.781,95,158,37,22.04,46,0,EUROSTAT_EDU,FLASH,2025-04-17
2011,CY,HEI_CY_3215,PUBLIC_UNIVERSITY,75193,29.05,84.05,2555,877725679.04,10704,1.068,12,25,16,16.74,183,0,SCIMAGO_EXPORT,BENCHMARK,2024-03-12
2012,FR,HEI_FR_3222,PRIVATE_UNIVERSITY,2736,31.07,69.62,112,2653565854.17,4101,1.149,40,174,102,49.74,97,0,NATIONAL_HE_REGISTRY,SECOND,2025-01-20
2013,IT,HEI_IT_3229,UNIVERSITY_OF_APPLIED_SCIENCES,47412,26.79,69.95,3321,2391093522.46,7276,1.783,124,139,17,36.0,26,0,INSTITUTIONAL_REPORT,FIRST,2024-02-14
2014,NL,HEI_NL_3236,RESEARCH_INSTITUTE,34612,40.75,65.49,4740,2184592280.56,11280,1.23,104,35,42,62.79,104,0,EUROSTAT_EDU,FLASH,2024-04-24
2015,SI,HEI_SI_3243,TECHNICAL_UNIVERSITY,21215,13.64,81.84,1184,4457917215.97,26386,0.994,541,119,35,51.32,35,0,SCIMAGO_EXPORT,BENCHMARK,2024-08-23
2016,BG,HEI_BG_3250,PUBLIC_UNIVERSITY,80328,25.91,54.35,5264,1943278316.9,8977,1.372,47,166,81,17.73,133,0,NATIONAL_HE_REGISTRY,SECOND,2025-09-12
2017,EE,HEI_EE_3257,PRIVATE_UNIVERSITY,43150,2.1,76.66,3867,2207336687.84,17140,1.321,400,54,49,59.3,68,0,INSTITUTIONAL_REPORT,FIRST,2025-11-06
2018,HU,HEI_HU_3264,UNIVERSITY_OF_APPLIED_SCIENCES,39431,4.95,69.51,4664,2638407460.02,567,0.791,70,45,61,70.83,40,0,EUROSTAT_EDU,FLASH,2025-10-29
2019,LU,HEI_LU_3271,RESEARCH_INSTITUTE,13537,15.47,55.39,1079,4414970217.55,22879,0.743,324,220,112,71.84,93,0,SCIMAGO_EXPORT,BENCHMARK,2025-02-14
2020,RO,HEI_RO_3278,TECHNICAL_UNIVERSITY,73017,10.01,70.49,5208,805702040.7,15534,1.775,66,25,64,30.58,150,0,NATIONAL_HE_REGISTRY,SECOND,2024-12-26
2021,AT,HEI_AT_3285,PUBLIC_UNIVERSITY,46226,9.21,83.24,2228,2634680843.37,8157,1.596,574,30,59,30.89,175,1,INSTITUTIONAL_REPORT,FIRST,2024-08-13
2022,CZ,HEI_CZ_3292,PRIVATE_UNIVERSITY,1617,21.25,43.37,45,2282516384.24,13004,0.697,281,53,50,30.85,44,1,EUROSTAT_EDU,FLASH,2025-10-17
2023,DE,HEI_DE_3299,UNIVERSITY_OF_APPLIED_SCIENCES,39702,33.39,69.01,3719,1028241662.57,12918,0.874,226,9,5,23.62,127,0,SCIMAGO_EXPORT,BENCHMARK,2024-01-20
2024,LV,HEI_LV_3306,RESEARCH_INSTITUTE,48269,2.94,56.05,2043,5644055416.27,12785,1.876,293,99,116,50.51,309,0,NATIONAL_HE_REGISTRY,SECOND,2025-06-26
