safe_crime_reference_year,safe_crime_country_iso2,safe_crime_region_nuts_code,safe_crime_offence_code,safe_crime_reported_cases_count,safe_crime_victim_age_group,safe_crime_victim_sex,safe_crime_suspect_age_group,safe_crime_suspect_sex,safe_crime_clearance_rate_pct,safe_crime_convictions_count,safe_crime_imprisonment_rate_per_100k,safe_crime_prison_population_count,safe_crime_alternative_sanctions_count,safe_crime_domestic_violence_flag,safe_crime_hate_crime_flag,safe_crime_eurostat_table_code,safe_crime_data_source,safe_crime_revision_round,safe_crime_data_extract_date
2018,HR,BG873,HOMICIDE,49,25_34,F,25_34,F,94.23,31,221.73,25905,26,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-01-16
2019,DE,CY63,BURGLARY,8951,65_PLUS,M,35_44,U,16.08,584,70.34,89678,663,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-01-04
2020,LU,MT3,DOMESTIC_VIOLENCE,11134,20_24,X,45_54,X,59.81,5433,106.64,137599,5803,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-04-26
2021,SI,SI467,HATE_SPEECH,1276,55_64,U,55_64,M,37.77,221,86.51,104674,375,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-07-10
2022,CY,EE78,FRAUD,18022,15_19,F,65_PLUS,F,53.53,7888,131.26,31742,4604,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-27
2023,GR,HR6,ASSAULT,22894,45_54,M,UNKNOWN,U,61.51,11249,64.93,63369,15290,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-09-16
2024,MT,SI490,THEFT,20046,0_14,X,0_14,X,9.11,701,80.0,6198,546,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-01-06
2025,ES,GR908,VEHICLE_THEFT,11694,35_44,U,15_19,M,32.06,2242,79.02,85544,2937,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-15
2006,CZ,IE347,CYBER_ENABLED_FRAUD,6830,UNKNOWN,F,20_24,F,41.99,1509,103.96,26047,602,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-02-09
2007,HU,ES64,SEXUAL_VIOLENCE,4435,25_34,M,25_34,U,43.13,1604,51.12,74337,2172,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-04-26
2008,NL,NL26,ROBBERY,1404,65_PLUS,X,35_44,X,56.85,495,102.97,7926,575,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-05-12
2009,SE,FR91,HUMAN_TRAFFICKING,331,20_24,U,45_54,M,37.59,100,93.32,10403,51,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-03-16
2010,DK,RO328,PROPERTY_DAMAGE,6490,55_64,F,55_64,F,29.29,1217,94.17,34620,779,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-11-04
2011,IE,CZ572,DRUG_TRAFFICKING,5108,15_19,M,65_PLUS,U,55.47,2115,181.16,38840,3503,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-20
2012,PL,IE104,HOMICIDE,108,45_54,X,UNKNOWN,X,62.88,48,104.1,95796,65,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-09-05
2013,AT,MT5,BURGLARY,1804,0_14,U,0_14,M,14.81,194,157.97,35135,211,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-11-23
2014,EE,PT4,DOMESTIC_VIOLENCE,14423,35_44,F,15_19,F,47.74,5588,114.2,22083,2873,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-22
2015,IT,SE26,HATE_SPEECH,13170,UNKNOWN,M,20_24,U,45.32,2366,145.4,14865,3808,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-01-12
2016,PT,SE639,FRAUD,14332,25_34,X,25_34,X,49.29,4789,123.57,80470,5815,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-03-07
2017,BE,NL9,ASSAULT,18867,65_PLUS,U,35_44,M,62.68,6159,92.49,80287,2200,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-07-03
2018,FI,HR269,THEFT,8644,20_24,F,45_54,F,10.16,552,80.5,4156,356,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-01-07
2019,LV,ES450,VEHICLE_THEFT,7886,55_64,M,55_64,U,30.93,1543,52.38,33818,790,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-11-19
2020,RO,RO573,CYBER_ENABLED_FRAUD,3232,15_19,X,65_PLUS,X,14.14,379,60.84,13021,462,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-10-27
2021,BG,SI3,SEXUAL_VIOLENCE,1208,45_54,U,UNKNOWN,M,17.37,177,42.42,18857,308,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-15
2022,FR,DE9,ROBBERY,1528,0_14,F,0_14,F,34.35,395,34.65,76209,369,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-03-08
2023,LT,CZ13,HUMAN_TRAFFICKING,90,35_44,M,15_19,U,14.14,5,109.26,52078,6,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-06-07
2024,SK,RO134,PROPERTY_DAMAGE,16263,UNKNOWN,X,20_24,X,39.81,2806,49.74,28059,1993,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-03-07
2025,HR,DE6,DRUG_TRAFFICKING,3941,25_34,U,25_34,M,34.24,845,71.4,102041,941,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-12-09
2006,DE,BE549,HOMICIDE,7,65_PLUS,F,35_44,F,65.83,3,122.66,2632,1,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-12-09
2007,LU,HR46,BURGLARY,3278,20_24,M,45_54,U,14.72,356,119.45,5115,302,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-07-15
2008,SI,GR87,DOMESTIC_VIOLENCE,19862,55_64,X,55_64,X,70.98,8353,99.02,62605,3579,1,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-05-10
2009,CY,IT347,HATE_SPEECH,17759,15_19,U,65_PLUS,M,41.97,2688,166.09,13748,4528,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-07-03
2010,GR,SI851,FRAUD,15953,45_54,F,UNKNOWN,F,16.27,916,94.89,72828,1076,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-01-15
2011,MT,ES592,ASSAULT,17743,0_14,M,0_14,U,40.48,5557,50.58,74153,8359,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-18
2012,ES,PL69,THEFT,5252,35_44,X,15_19,X,20.95,404,119.08,44511,451,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-04-07
2013,CZ,NL950,VEHICLE_THEFT,8575,UNKNOWN,U,20_24,M,18.87,1238,65.49,17131,876,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-04-23
2014,HU,EE101,CYBER_ENABLED_FRAUD,14254,25_34,F,25_34,F,44.43,2307,81.82,22079,2808,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-12-02
2015,NL,LU20,SEXUAL_VIOLENCE,2936,65_PLUS,M,35_44,U,45.62,529,78.74,29905,933,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-09-08
2016,SE,BE850,ROBBERY,1474,20_24,X,45_54,X,24.66,160,34.32,14758,201,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-06-01
2017,DK,SE76,HUMAN_TRAFFICKING,283,55_64,U,55_64,M,43.41,69,194.53,31265,67,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-05-20
2018,IE,LT431,PROPERTY_DAMAGE,4182,15_19,F,65_PLUS,F,22.14,567,58.83,99507,782,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-09-27
2019,PL,EE64,DRUG_TRAFFICKING,8715,45_54,M,UNKNOWN,U,45.06,3175,103.33,41193,1843,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-10-18
2020,AT,SI44,HOMICIDE,117,0_14,X,0_14,X,59.89,28,132.47,61438,40,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-03-09
2021,EE,DK198,BURGLARY,6993,35_44,U,15_19,M,27.16,1436,171.11,59122,1584,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-05-02
2022,IT,LU529,DOMESTIC_VIOLENCE,3627,UNKNOWN,F,20_24,F,31.94,748,91.47,62004,620,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-01-30
2023,PT,MT196,HATE_SPEECH,17221,25_34,M,25_34,U,47.29,3638,91.45,38589,789,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-03-31
2024,BE,GR30,FRAUD,3794,65_PLUS,X,35_44,X,17.05,453,136.11,26975,652,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-02-24
2025,FI,CZ17,ASSAULT,9679,20_24,U,45_54,M,45.9,2536,55.99,71702,4435,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-01-20
2006,LV,EE55,THEFT,3983,55_64,F,55_64,F,29.09,611,74.72,84107,159,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-02-09
2007,RO,AT236,VEHICLE_THEFT,8862,15_19,M,65_PLUS,U,31.83,2274,122.21,112476,1215,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-08-10
2008,BG,CY16,CYBER_ENABLED_FRAUD,12189,45_54,X,UNKNOWN,X,25.75,2620,55.98,29947,1660,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-04-09
2009,FR,LU4,SEXUAL_VIOLENCE,553,0_14,U,0_14,M,18.63,80,104.86,86602,73,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-10-23
2010,LT,EE91,ROBBERY,4264,35_44,F,15_19,F,35.88,1287,133.54,64187,1289,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-10-27
2011,SK,DK1,HUMAN_TRAFFICKING,410,UNKNOWN,M,20_24,U,44.02,138,61.98,55694,148,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-02-09
2012,HR,SI45,PROPERTY_DAMAGE,10784,25_34,X,25_34,X,17.54,1569,148.25,87160,2070,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-10-09
2013,DE,AT239,DRUG_TRAFFICKING,1044,65_PLUS,U,35_44,M,36.12,223,80.05,60221,266,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-02-23
2014,LU,DK28,HOMICIDE,114,20_24,F,45_54,F,87.89,39,103.6,49626,57,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-02-07
2015,SI,BE857,BURGLARY,25233,55_64,M,55_64,U,34.92,3830,47.38,4135,3104,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-08
2016,CY,EE45,DOMESTIC_VIOLENCE,836,15_19,X,65_PLUS,X,48.61,169,67.74,100873,94,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-01-26
2017,GR,FR854,HATE_SPEECH,18378,45_54,U,UNKNOWN,M,29.79,1958,141.79,21588,607,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-02-14
2018,MT,BG530,FRAUD,14326,0_14,F,0_14,F,13.74,1039,136.76,96402,1456,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-07
2019,ES,LV7,ASSAULT,4111,35_44,M,15_19,U,58.08,1541,41.49,44670,2488,1,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-02-02
2020,CZ,PT213,THEFT,13795,UNKNOWN,X,20_24,X,31.42,2394,81.38,96604,3939,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-09-11
2021,HU,NL50,VEHICLE_THEFT,1842,25_34,U,25_34,M,8.06,52,100.51,75222,20,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-05-28
2022,NL,LV333,CYBER_ENABLED_FRAUD,24294,65_PLUS,F,35_44,F,54.19,7541,74.82,35048,2575,0,1,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-11
2023,SE,IT599,SEXUAL_VIOLENCE,1203,20_24,M,45_54,U,33.48,302,44.37,80736,454,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-03-02
2024,DK,LU31,ROBBERY,901,55_64,X,55_64,X,36.82,200,106.21,42314,123,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-03-07
2025,IE,GR27,HUMAN_TRAFFICKING,517,15_19,U,65_PLUS,M,46.01,93,48.01,11210,76,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-01-17
2006,PL,NL59,PROPERTY_DAMAGE,22749,45_54,F,UNKNOWN,F,47.72,7315,108.73,79715,7805,1,1,crim_gen,EUROSTAT_CRIME,FLASH,2024-02-29
2007,AT,BG3,DRUG_TRAFFICKING,4873,0_14,M,0_14,U,24.33,804,96.44,30126,985,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-27
2008,EE,ES18,HOMICIDE,61,35_44,X,15_19,X,92.37,20,128.77,90071,12,0,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-14
2009,IT,BG28,BURGLARY,13108,UNKNOWN,U,20_24,M,13.72,1421,96.9,80576,298,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-08-21
2010,PT,SE4,DOMESTIC_VIOLENCE,16231,25_34,F,25_34,F,69.74,8840,154.98,5158,2496,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-12-29
2011,BE,IE56,HATE_SPEECH,6965,65_PLUS,M,35_44,U,48.93,2459,103.22,27966,2465,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-04-26
2012,FI,LU484,FRAUD,9909,20_24,X,45_54,X,12.19,439,143.82,80551,471,1,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-04-03
2013,LV,BE41,ASSAULT,15296,55_64,U,55_64,M,61.41,6257,98.47,138794,6828,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-12-20
2014,RO,CY91,THEFT,28980,15_19,F,65_PLUS,F,17.06,2948,71.7,35304,1046,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-03-21
2015,BG,PL969,VEHICLE_THEFT,6331,45_54,M,UNKNOWN,U,18.58,856,79.2,68706,572,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-17
2016,FR,LT58,CYBER_ENABLED_FRAUD,8784,0_14,X,0_14,X,38.97,2655,72.62,71970,3141,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-30
2017,LT,ES7,SEXUAL_VIOLENCE,2533,35_44,U,15_19,M,17.89,319,148.61,31307,419,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-06-18
2018,SK,SI985,ROBBERY,995,UNKNOWN,F,20_24,F,30.53,204,118.16,95451,164,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-08-26
2019,HR,FR7,HUMAN_TRAFFICKING,163,25_34,M,25_34,U,40.35,25,104.5,30134,34,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-02-22
2020,DE,HR780,PROPERTY_DAMAGE,12078,65_PLUS,X,35_44,X,16.39,1257,141.36,88119,1612,1,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-09-16
2021,LU,PL8,DRUG_TRAFFICKING,6700,20_24,U,45_54,M,33.02,1055,192.31,35904,641,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-03-14
2022,SI,LU5,HOMICIDE,16,55_64,F,55_64,F,75.95,7,138.09,79502,10,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-09-03
2023,CY,AT625,BURGLARY,9104,15_19,M,65_PLUS,U,20.37,1306,88.49,20455,1209,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-10-17
2024,GR,DK472,DOMESTIC_VIOLENCE,9131,45_54,X,UNKNOWN,X,54.44,3534,121.19,106427,3621,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-30
2025,MT,PT7,HATE_SPEECH,24145,0_14,U,0_14,M,37.08,6061,99.13,24023,4891,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-08-06
2006,ES,LT8,FRAUD,3444,35_44,F,15_19,F,54.78,904,151.37,126383,626,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-05-10
2007,CZ,RO8,ASSAULT,19644,UNKNOWN,M,20_24,U,57.31,7222,139.83,1841,4787,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-09-16
2008,HU,CY8,THEFT,19450,25_34,X,25_34,X,32.26,2282,170.72,100830,1638,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-05-21
2009,NL,FI6,VEHICLE_THEFT,6604,65_PLUS,U,35_44,M,23.27,1286,43.84,4016,2007,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-04-17
2010,SE,FI8,CYBER_ENABLED_FRAUD,11388,20_24,F,45_54,F,48.88,4402,114.73,32372,7210,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-05-29
2011,DK,EE277,SEXUAL_VIOLENCE,1747,55_64,M,55_64,U,34.89,311,108.15,37007,204,1,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-08-15
2012,IE,SK58,ROBBERY,4572,15_19,X,65_PLUS,X,17.17,394,146.39,71835,371,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-11-28
2013,PL,DE8,HUMAN_TRAFFICKING,455,45_54,U,UNKNOWN,M,41.73,103,73.56,25224,159,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-01-07
2014,AT,NL72,PROPERTY_DAMAGE,4220,0_14,F,0_14,F,25.32,529,148.28,32953,339,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-10-14
2015,EE,LV518,DRUG_TRAFFICKING,7260,35_44,M,15_19,U,29.24,757,211.54,52871,191,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-05-21
2016,IT,GR92,HOMICIDE,64,UNKNOWN,X,20_24,X,84.37,40,139.22,81517,37,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-01-02
2017,PT,FI93,BURGLARY,7476,25_34,U,25_34,M,31.08,1306,68.37,120193,2015,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-14
2018,BE,HU1,DOMESTIC_VIOLENCE,6828,65_PLUS,F,35_44,F,27.15,1117,156.48,46460,1712,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-28
2019,FI,MT10,HATE_SPEECH,20005,20_24,M,45_54,U,16.66,2120,81.06,96609,3162,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-09-25
2020,LV,SI388,FRAUD,7051,55_64,X,55_64,X,41.28,1723,177.69,23569,1156,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-02-08
2021,RO,FI1,ASSAULT,21394,15_19,U,65_PLUS,M,31.22,3665,83.61,83255,2687,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-05-18
2022,BG,HR7,THEFT,8686,45_54,F,UNKNOWN,F,33.37,2446,99.34,38105,3015,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-10-19
2023,FR,GR82,VEHICLE_THEFT,10392,0_14,M,0_14,U,29.06,1754,124.0,37022,1475,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-01-01
2024,LT,LT193,CYBER_ENABLED_FRAUD,5613,35_44,X,15_19,X,35.84,1241,74.94,74842,1085,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-05
2025,SK,LT48,SEXUAL_VIOLENCE,423,UNKNOWN,U,20_24,M,49.07,106,121.66,47177,168,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-06-03
2006,HR,DE2,ROBBERY,2124,25_34,F,25_34,F,50.01,738,58.95,56200,984,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-26
2007,DE,DE919,HUMAN_TRAFFICKING,85,65_PLUS,M,35_44,U,18.26,5,53.33,88851,8,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-02-16
2008,LU,SK56,PROPERTY_DAMAGE,3538,20_24,X,45_54,X,22.78,563,158.44,11508,219,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-08-19
2009,SI,LU81,DRUG_TRAFFICKING,2241,55_64,U,55_64,M,52.26,932,103.23,5464,454,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-06-23
2010,CY,NL6,HOMICIDE,101,15_19,F,65_PLUS,F,90.0,51,201.8,45103,48,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-09-04
2011,GR,AT339,BURGLARY,23588,45_54,M,UNKNOWN,U,10.64,1551,166.28,18705,367,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-03
2012,MT,IT17,DOMESTIC_VIOLENCE,8233,0_14,X,0_14,X,31.33,1467,149.38,63938,1990,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-19
2013,ES,DK34,HATE_SPEECH,12875,35_44,U,15_19,M,39.13,3358,143.74,35935,1407,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-01-04
2014,CZ,PL2,FRAUD,14885,UNKNOWN,F,20_24,F,22.55,2112,46.31,97432,771,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-07-08
2015,HU,DE786,ASSAULT,2479,25_34,M,25_34,U,55.68,818,142.46,106315,1298,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-04
2016,NL,CZ3,THEFT,8938,65_PLUS,X,35_44,X,29.55,1191,39.73,71604,1577,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-11-13
2017,SE,SI7,VEHICLE_THEFT,8165,20_24,U,45_54,M,34.58,1773,109.25,89275,2817,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-09-12
2018,DK,PL7,CYBER_ENABLED_FRAUD,2785,55_64,F,55_64,F,48.72,505,174.78,52986,714,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-05-12
2019,IE,RO466,SEXUAL_VIOLENCE,58,15_19,M,65_PLUS,U,51.13,15,156.98,41315,19,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-10-21
2020,PL,LU61,ROBBERY,870,45_54,X,UNKNOWN,X,28.07,172,168.64,48145,172,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-05-24
2021,AT,MT59,HUMAN_TRAFFICKING,160,0_14,U,0_14,M,35.12,39,96.45,106203,38,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-09-19
2022,EE,PL4,PROPERTY_DAMAGE,15575,35_44,F,15_19,F,19.46,1932,65.64,59881,580,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-02-06
2023,IT,LT5,DRUG_TRAFFICKING,4013,UNKNOWN,M,20_24,U,47.08,1573,125.51,26797,1162,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-07-09
2024,PT,HR5,HOMICIDE,66,25_34,X,25_34,X,77.58,33,95.29,117169,38,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-11-11
2025,BE,SI371,BURGLARY,13641,65_PLUS,U,35_44,M,19.86,2155,74.63,115109,3264,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-06-06
2006,FI,GR864,DOMESTIC_VIOLENCE,6434,20_24,F,45_54,F,38.95,1098,79.23,29200,895,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-04
2007,LV,HU863,HATE_SPEECH,7068,55_64,M,55_64,U,16.27,710,136.97,124751,192,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-05-29
2008,RO,SI700,FRAUD,7476,15_19,X,65_PLUS,X,56.66,1789,101.77,60707,2267,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-11-09
2009,BG,ES82,ASSAULT,11503,45_54,U,UNKNOWN,M,29.2,2692,94.4,51939,2478,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-06-04
2010,FR,SE964,THEFT,25973,0_14,F,0_14,F,8.77,1033,154.9,56481,1693,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-15
2011,LT,SE18,VEHICLE_THEFT,1604,35_44,M,15_19,U,11.77,83,165.25,86597,96,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-01-03
2012,SK,AT6,CYBER_ENABLED_FRAUD,1662,UNKNOWN,X,20_24,X,42.77,551,130.52,76301,304,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-05-12
2013,HR,ES385,SEXUAL_VIOLENCE,1347,25_34,U,25_34,M,19.47,106,71.77,103299,36,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-11-09
2014,DE,PT809,ROBBERY,5322,65_PLUS,F,35_44,F,32.44,1151,142.65,104183,1074,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-07-29
2015,LU,AT719,HUMAN_TRAFFICKING,253,20_24,M,45_54,U,32.97,37,87.33,103365,13,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-22
2016,SI,IT81,PROPERTY_DAMAGE,3287,55_64,X,55_64,X,22.23,511,79.57,27078,887,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-03-24
2017,CY,MT588,DRUG_TRAFFICKING,743,15_19,U,65_PLUS,M,24.41,114,122.26,45181,124,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-02
2018,GR,ES88,HOMICIDE,30,45_54,F,UNKNOWN,F,89.23,12,103.27,58788,16,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-01-25
2019,MT,IT11,BURGLARY,8719,0_14,M,0_14,U,23.55,1460,40.61,27864,762,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-09-18
2020,ES,IT74,DOMESTIC_VIOLENCE,17224,35_44,X,15_19,X,69.94,7363,45.88,83843,8796,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-20
2021,CZ,PT734,HATE_SPEECH,697,UNKNOWN,U,20_24,M,35.7,208,135.11,53865,210,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-05-17
2022,HU,DE42,FRAUD,14978,25_34,F,25_34,F,19.36,2407,79.77,48004,3594,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-08-02
2023,NL,EE7,ASSAULT,5837,65_PLUS,M,35_44,U,58.41,2147,34.85,43696,1470,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-04-05
2024,SE,DE24,THEFT,11741,20_24,X,45_54,X,15.48,862,143.15,31957,798,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-06-15
