trans_urban_reference_year,trans_urban_city_id,trans_urban_country_iso2,trans_urban_population_city,trans_urban_modal_share_public_transport_pct,trans_urban_modal_share_car_pct,trans_urban_modal_share_walk_pct,trans_urban_modal_share_bike_pct,trans_urban_pt_service_km_per_capita,trans_urban_pt_fare_affordability_index,trans_urban_bike_lane_km,trans_urban_shared_mobility_trips_per_capita,trans_urban_vision_zero_policy_flag,trans_urban_zero_emission_bus_share_pct,trans_urban_air_quality_low_emission_zone_flag,trans_urban_urban_logistics_plan_flag,trans_urban_congestion_charge_flag,trans_urban_data_source,trans_urban_data_quality_flag,trans_urban_data_extract_date
2013,LU_CITY_408,LU,10957591,15.28,29.04,37.63,18.05,55.425,0.5419,1440.98,84.26,0,39.28,1,1,0,CITY_MOBILITY_SURVEY,1,2024-03-02
2014,SI_CITY_409,SI,8280570,28.64,24.16,16.43,30.77,40.283,1.0968,266.34,78.0,1,35.83,0,0,0,URBAN_AUDIT,1,2025-07-13
2015,CY_CITY_410,CY,6989956,33.9,24.36,32.9,5.74,10.786,0.7185,1551.78,2.0,0,41.0,0,0,0,MODEL_ESTIMATE,1,2025-01-22
2016,GR_CITY_411,GR,5141579,32.94,19.12,35.21,6.51,45.073,1.2677,224.7,129.29,0,46.3,0,0,0,NATIONAL_URBAN_STAT,1,2025-10-31
2017,MT_CITY_412,MT,7784122,31.1,41.28,27.24,0.38,59.47,1.348,1082.95,60.92,0,34.21,0,1,1,CITY_MOBILITY_SURVEY,1,2024-05-20
2018,ES_CITY_413,ES,163693,11.06,17.47,10.25,6.02,57.745,1.5162,1429.3,37.96,0,15.8,0,0,0,URBAN_AUDIT,0,2024-01-11
2019,CZ_CITY_414,CZ,442294,29.7,45.53,17.35,7.42,52.201,0.8241,101.9,140.85,1,15.56,0,0,1,MODEL_ESTIMATE,1,2024-05-29
2020,HU_CITY_415,HU,2685448,46.73,34.54,18.33,0.4,82.734,1.0681,1989.31,191.51,0,50.77,1,0,0,NATIONAL_URBAN_STAT,1,2026-01-30
2021,NL_CITY_416,NL,3913361,12.0,29.22,7.59,8.63,50.469,0.3869,1073.79,201.29,1,65.93,0,1,1,CITY_MOBILITY_SURVEY,1,2025-01-28
2022,SE_CITY_417,SE,7393372,29.14,51.43,18.96,0.47,44.868,0.9506,967.22,162.86,0,110.65,0,0,0,URBAN_AUDIT,1,2024-08-11
2023,DK_CITY_418,DK,4765142,44.49,20.87,27.23,7.41,82.493,1.5692,1210.54,60.33,0,104.97,0,0,0,MODEL_ESTIMATE,1,2025-11-25
2024,IE_CITY_419,IE,3419463,12.98,44.24,11.62,3.86,59.669,0.9335,1542.29,16.78,0,89.07,0,0,0,NATIONAL_URBAN_STAT,1,2024-08-14
2025,PL_CITY_420,PL,10720272,35.25,38.9,23.95,1.9,80.934,0.375,339.39,221.79,0,14.38,1,1,0,CITY_MOBILITY_SURVEY,0,2025-03-30
2006,AT_CITY_421,AT,7481145,36.67,34.03,14.81,14.49,69.79,1.4077,3224.95,134.7,0,40.0,0,1,0,URBAN_AUDIT,1,2025-05-03
2007,EE_CITY_422,EE,8276019,34.39,23.36,41.0,1.25,59.272,0.81,1023.34,91.3,1,34.39,0,1,0,MODEL_ESTIMATE,1,2026-01-06
2008,IT_CITY_423,IT,6112815,17.85,14.48,16.74,50.93,66.706,1.5677,588.92,34.73,1,18.33,1,0,1,NATIONAL_URBAN_STAT,0,2025-04-22
2009,PT_CITY_424,PT,2863622,35.16,53.0,11.47,0.37,51.217,1.6297,1791.8,35.29,0,48.05,1,0,0,CITY_MOBILITY_SURVEY,1,2024-05-05
2010,BE_CITY_425,BE,579051,21.45,39.0,39.11,0.44,53.053,0.637,1248.53,132.02,0,54.74,0,1,0,URBAN_AUDIT,1,2025-09-03
2011,FI_CITY_426,FI,12929522,35.77,35.39,23.85,4.99,77.335,0.7352,1505.72,57.34,0,30.64,0,0,0,MODEL_ESTIMATE,1,2025-03-01
2012,LV_CITY_427,LV,9103690,25.44,49.01,8.56,16.99,57.369,1.5297,2494.9,142.52,0,24.35,0,0,0,NATIONAL_URBAN_STAT,1,2025-12-26
2013,RO_CITY_428,RO,9148436,53.34,19.64,26.54,0.48,12.571,1.0204,602.62,71.7,0,47.27,0,0,1,CITY_MOBILITY_SURVEY,1,2024-03-09
2014,BG_CITY_429,BG,8819031,10.56,25.6,15.19,48.65,75.42,1.421,443.57,123.4,0,23.91,1,1,1,URBAN_AUDIT,1,2025-08-24
2015,FR_CITY_430,FR,6037549,15.99,39.72,33.95,5.5,79.755,1.4153,1034.24,50.21,0,19.39,0,0,1,MODEL_ESTIMATE,1,2025-01-15
2016,LT_CITY_431,LT,1527493,44.1,29.99,8.47,17.44,41.674,0.6949,2717.48,113.93,1,2.38,1,0,0,NATIONAL_URBAN_STAT,1,2025-04-07
2017,SK_CITY_432,SK,4096316,36.06,37.34,21.02,5.58,82.851,1.4611,2278.41,38.48,1,37.55,0,1,1,CITY_MOBILITY_SURVEY,0,2024-02-20
2018,HR_CITY_433,HR,9059515,15.28,46.56,33.9,4.26,65.813,1.2615,287.4,131.65,0,26.07,1,0,0,URBAN_AUDIT,1,2024-03-22
2019,DE_CITY_434,DE,2057846,37.98,20.02,17.99,7.14,54.334,1.4473,337.81,72.04,0,54.41,0,0,0,MODEL_ESTIMATE,0,2024-07-20
2020,LU_CITY_435,LU,3707400,41.13,31.56,26.93,0.38,47.75,0.4278,1374.21,120.43,1,88.3,1,0,0,NATIONAL_URBAN_STAT,1,2024-04-26
2021,SI_CITY_436,SI,6975843,40.36,37.75,13.53,8.36,74.491,1.0766,1108.19,240.72,0,20.92,0,1,1,CITY_MOBILITY_SURVEY,1,2024-02-08
2022,CY_CITY_437,CY,871493,34.27,26.8,38.46,0.47,40.483,0.8784,1897.29,15.77,1,25.35,1,0,0,URBAN_AUDIT,1,2024-09-03
2023,GR_CITY_438,GR,7718841,30.95,25.73,30.18,13.14,71.253,1.2375,1278.92,7.13,1,7.82,0,0,1,MODEL_ESTIMATE,1,2024-01-09
2024,MT_CITY_439,MT,9861067,37.27,37.46,24.29,0.98,30.713,1.6028,1963.85,14.06,1,78.07,0,0,0,NATIONAL_URBAN_STAT,1,2024-01-20
2025,ES_CITY_440,ES,6743381,23.58,37.52,27.31,11.59,16.811,1.467,1219.56,131.54,0,6.41,1,1,0,CITY_MOBILITY_SURVEY,1,2024-06-18
2006,CZ_CITY_441,CZ,881741,38.84,38.0,10.42,12.74,39.15,1.5981,1301.16,4.6,1,6.61,0,1,1,URBAN_AUDIT,1,2025-04-16
2007,HU_CITY_442,HU,178320,9.66,56.11,26.15,8.08,35.507,1.5726,1176.11,3.34,0,39.98,0,1,1,MODEL_ESTIMATE,1,2025-10-04
2008,NL_CITY_443,NL,2250202,30.83,29.09,29.91,10.17,41.905,0.8666,1931.23,127.78,0,42.91,1,1,0,NATIONAL_URBAN_STAT,1,2025-12-08
2009,SE_CITY_444,SE,2478881,24.2,33.79,24.53,17.48,18.597,0.5377,1272.0,54.34,0,28.09,1,0,1,CITY_MOBILITY_SURVEY,1,2024-12-02
2010,DK_CITY_445,DK,9075403,36.3,53.87,9.43,0.4,53.796,0.4622,1300.47,109.47,0,1.86,0,0,0,URBAN_AUDIT,0,2025-02-08
2011,IE_CITY_446,IE,4877809,30.18,46.67,11.22,11.93,59.558,1.3455,182.1,12.31,1,50.99,0,0,0,MODEL_ESTIMATE,1,2025-09-18
2012,PL_CITY_447,PL,3743802,23.28,50.98,25.39,0.35,17.312,1.1493,1644.13,108.47,1,17.1,0,0,0,NATIONAL_URBAN_STAT,1,2025-03-28
2013,AT_CITY_448,AT,1055482,27.7,37.53,17.44,17.33,47.724,1.592,1142.82,134.54,0,20.18,1,0,0,CITY_MOBILITY_SURVEY,1,2025-07-15
2014,EE_CITY_449,EE,10254431,52.13,23.0,24.44,0.43,16.067,1.1037,342.81,91.35,1,10.49,1,1,0,URBAN_AUDIT,1,2024-05-06
2015,IT_CITY_450,IT,12653539,37.27,40.63,21.78,0.32,15.617,0.9887,813.89,13.95,1,54.51,0,0,0,MODEL_ESTIMATE,1,2024-09-28
2016,PT_CITY_451,PT,5972067,17.37,59.26,22.9,0.47,45.266,1.2289,2200.4,35.72,0,13.62,1,0,0,NATIONAL_URBAN_STAT,1,2024-11-27
2017,BE_CITY_452,BE,10653375,8.38,56.18,18.0,17.21,34.815,1.3925,1651.2,0.27,1,47.76,0,1,0,CITY_MOBILITY_SURVEY,1,2024-11-07
2018,FI_CITY_453,FI,1519743,52.43,15.04,15.38,17.15,80.446,0.6534,1383.24,248.01,0,28.32,0,0,0,URBAN_AUDIT,1,2024-05-26
2019,LV_CITY_454,LV,1828835,31.08,43.85,15.8,9.27,57.847,1.4036,2200.68,222.04,0,42.53,0,1,0,MODEL_ESTIMATE,1,2025-11-11
2020,RO_CITY_455,RO,9708782,12.16,51.9,18.39,17.55,19.873,1.4278,676.13,108.85,1,15.17,0,1,0,NATIONAL_URBAN_STAT,1,2025-01-07
2021,BG_CITY_456,BG,8392604,13.29,37.84,43.25,5.62,78.506,1.4747,1102.8,262.44,1,54.94,1,1,1,CITY_MOBILITY_SURVEY,1,2024-10-26
2022,FR_CITY_457,FR,8393069,17.0,51.62,31.02,0.36,8.517,1.542,253.51,33.44,0,70.29,1,1,1,URBAN_AUDIT,1,2026-02-21
2023,LT_CITY_458,LT,1479915,26.76,40.28,22.73,10.23,59.115,1.1154,292.15,149.1,0,2.73,0,0,0,MODEL_ESTIMATE,1,2026-01-17
2024,SK_CITY_459,SK,11755083,31.36,29.9,27.27,11.47,53.712,0.8553,405.76,189.4,0,2.17,0,0,1,NATIONAL_URBAN_STAT,1,2026-01-17
2025,HR_CITY_460,HR,7963837,35.82,41.05,13.61,9.52,20.141,0.5877,837.42,235.46,0,29.0,1,0,0,CITY_MOBILITY_SURVEY,1,2025-08-15
2006,DE_CITY_461,DE,6508474,22.49,47.5,17.27,12.74,5.917,0.785,3393.73,69.86,0,7.41,1,0,0,URBAN_AUDIT,1,2026-01-12
2007,LU_CITY_462,LU,2967972,28.56,37.86,33.19,0.39,65.524,0.5268,2374.61,84.02,0,28.62,0,0,0,MODEL_ESTIMATE,1,2024-11-23
2008,SI_CITY_463,SI,3779941,41.79,14.93,42.82,0.46,32.581,0.8855,2171.44,79.35,0,42.01,0,0,0,NATIONAL_URBAN_STAT,1,2024-05-30
2009,CY_CITY_464,CY,6789639,35.63,32.05,18.84,13.48,4.6,1.4037,1617.89,8.51,0,8.19,0,0,0,CITY_MOBILITY_SURVEY,1,2025-12-05
2010,GR_CITY_465,GR,7167156,17.89,47.47,16.49,18.15,45.751,0.4799,231.86,92.11,0,23.64,1,0,0,URBAN_AUDIT,1,2025-11-11
2011,MT_CITY_466,MT,7861333,35.51,51.47,7.72,5.3,71.578,1.2448,1446.48,42.37,0,47.83,1,0,0,MODEL_ESTIMATE,1,2024-09-19
2012,ES_CITY_467,ES,11886911,44.61,29.04,23.74,2.61,74.064,1.0195,629.18,62.33,1,51.15,1,1,0,NATIONAL_URBAN_STAT,1,2024-03-19
2013,CZ_CITY_468,CZ,1600165,31.67,30.41,18.87,13.49,13.063,1.0358,517.22,96.47,1,35.4,0,0,0,CITY_MOBILITY_SURVEY,1,2024-10-04
2014,HU_CITY_469,HU,1128791,40.13,19.57,23.2,17.1,45.935,1.5393,1164.86,100.98,0,4.11,1,1,0,URBAN_AUDIT,1,2025-01-14
2015,NL_CITY_470,NL,7766753,43.94,17.11,38.55,0.4,75.366,0.4918,4.64,127.88,0,33.16,0,1,1,MODEL_ESTIMATE,1,2024-12-07
2016,SE_CITY_471,SE,1146475,18.63,58.05,22.87,0.45,29.777,1.5664,1832.11,110.53,0,4.24,1,1,0,NATIONAL_URBAN_STAT,1,2024-04-24
2017,DK_CITY_472,DK,2392937,13.79,13.97,18.53,10.28,49.321,1.1779,1690.34,115.93,0,25.59,0,0,0,CITY_MOBILITY_SURVEY,1,2025-01-20
2018,IE_CITY_473,IE,4303848,18.88,41.6,30.14,9.38,25.015,0.9582,1163.34,156.03,0,33.61,0,1,0,URBAN_AUDIT,1,2025-09-15
2019,PL_CITY_474,PL,10160569,24.86,42.25,16.54,5.65,7.747,0.9302,2076.67,270.81,1,8.77,0,0,0,MODEL_ESTIMATE,1,2026-01-20
2020,AT_CITY_475,AT,6585020,35.76,35.74,16.36,12.14,29.574,0.6174,3314.18,216.84,1,98.1,1,1,0,NATIONAL_URBAN_STAT,1,2025-10-26
2021,EE_CITY_476,EE,1792679,34.01,33.58,22.72,9.69,35.075,1.1681,198.69,265.28,1,94.88,0,0,0,CITY_MOBILITY_SURVEY,1,2024-11-21
2022,IT_CITY_477,IT,2638162,37.95,49.37,12.24,0.44,2.556,0.5111,563.36,171.21,0,23.05,0,0,0,URBAN_AUDIT,1,2024-01-15
2023,PT_CITY_478,PT,1166497,23.82,30.75,29.98,15.45,12.014,0.4938,3178.69,77.2,1,90.81,1,0,1,MODEL_ESTIMATE,1,2025-08-30
2024,BE_CITY_479,BE,6820855,8.96,37.71,34.61,18.72,81.501,0.8521,2463.52,97.23,1,49.75,0,0,0,NATIONAL_URBAN_STAT,1,2024-09-18
2025,FI_CITY_480,FI,6243743,42.42,17.07,38.24,2.27,32.743,0.9813,1034.97,156.84,1,26.78,1,1,0,CITY_MOBILITY_SURVEY,1,2025-03-08
2006,LV_CITY_481,LV,3789814,49.58,16.12,33.83,0.47,54.792,1.502,246.36,22.59,1,35.1,1,0,1,URBAN_AUDIT,1,2025-05-11
2007,RO_CITY_482,RO,3674308,19.18,21.04,45.76,9.52,58.943,0.751,471.59,109.45,0,47.82,0,0,0,MODEL_ESTIMATE,1,2025-07-09
2008,BG_CITY_483,BG,5373668,37.34,32.15,23.37,1.03,52.435,1.58,1561.16,105.35,1,26.52,1,0,0,NATIONAL_URBAN_STAT,1,2025-07-29
2009,FR_CITY_484,FR,9096300,13.48,32.74,8.21,3.18,33.802,0.3771,2356.81,141.76,1,36.4,0,0,0,CITY_MOBILITY_SURVEY,1,2024-06-15
2010,LT_CITY_485,LT,9286572,12.02,44.4,29.53,14.05,39.394,1.3473,2903.5,80.17,1,0.24,1,0,1,URBAN_AUDIT,1,2025-06-19
2011,SK_CITY_486,SK,8840357,18.63,39.48,41.42,0.47,47.458,0.7824,343.53,6.75,0,5.22,0,0,0,MODEL_ESTIMATE,1,2026-01-17
2012,HR_CITY_487,HR,219168,9.58,30.05,22.24,19.28,9.093,0.867,677.58,93.99,0,55.47,1,1,0,NATIONAL_URBAN_STAT,1,2025-04-06
2013,DE_CITY_488,DE,851023,32.63,22.23,19.12,16.9,13.007,1.097,2165.1,101.77,0,38.3,0,1,0,CITY_MOBILITY_SURVEY,0,2024-06-16
2014,LU_CITY_489,LU,10908005,8.87,22.87,13.1,3.14,56.943,0.6362,607.37,21.28,1,18.51,0,1,0,URBAN_AUDIT,1,2025-01-11
2015,SI_CITY_490,SI,1438094,18.1,21.22,28.35,4.54,18.627,1.5414,1050.45,44.76,0,19.06,1,1,0,MODEL_ESTIMATE,1,2025-11-19
2016,CY_CITY_491,CY,5787014,38.78,14.19,13.49,15.73,43.55,0.9343,3398.97,116.61,1,30.2,0,0,0,NATIONAL_URBAN_STAT,1,2024-02-11
2017,GR_CITY_492,GR,12823306,37.34,40.72,8.08,13.86,13.372,0.5714,621.31,6.96,0,54.79,0,0,0,CITY_MOBILITY_SURVEY,0,2024-04-25
2018,MT_CITY_493,MT,6124113,32.61,46.36,19.38,1.65,8.59,0.9013,780.65,39.48,1,54.52,0,1,0,URBAN_AUDIT,1,2025-04-23
2019,ES_CITY_494,ES,1434170,36.06,17.14,32.82,13.98,6.056,0.8297,444.63,61.52,0,45.62,0,0,0,MODEL_ESTIMATE,1,2024-03-18
2020,CZ_CITY_495,CZ,2082254,18.0,40.77,26.58,14.65,36.911,0.6037,376.14,92.7,1,89.77,1,0,0,NATIONAL_URBAN_STAT,1,2026-01-05
2021,HU_CITY_496,HU,5156788,11.37,34.96,19.46,34.21,75.816,1.546,3355.27,56.09,0,35.66,0,1,0,CITY_MOBILITY_SURVEY,1,2025-11-21
2022,NL_CITY_497,NL,13207760,21.48,20.9,28.08,6.49,49.434,1.2914,950.18,119.41,1,6.21,0,1,1,URBAN_AUDIT,1,2025-12-06
2023,SE_CITY_498,SE,10559936,9.72,55.77,20.03,14.48,32.212,0.6412,870.88,54.05,1,100.07,1,0,0,MODEL_ESTIMATE,1,2025-08-01
2024,DK_CITY_499,DK,3293234,42.37,32.43,13.87,11.33,36.608,1.0426,2024.68,184.44,0,66.69,1,0,0,NATIONAL_URBAN_STAT,1,2025-11-06
2025,IE_CITY_500,IE,9238784,32.78,49.62,15.11,2.49,48.727,0.8677,512.29,52.65,0,51.5,1,0,0,CITY_MOBILITY_SURVEY,1,2025-02-11
2006,PL_CITY_501,PL,5504062,24.46,27.67,29.29,16.0,57.221,0.5365,1002.63,116.65,1,44.59,1,0,0,URBAN_AUDIT,1,2024-06-13
2007,AT_CITY_502,AT,829544,46.69,12.56,27.39,13.36,8.836,1.3472,3479.44,29.82,0,50.63,1,1,0,MODEL_ESTIMATE,1,2024-08-29
2008,EE_CITY_503,EE,2839663,18.03,44.25,25.65,12.07,11.398,0.8337,3099.27,128.78,1,54.24,0,1,1,NATIONAL_URBAN_STAT,1,2026-02-12
2009,IT_CITY_504,IT,9121617,37.42,35.76,13.67,13.15,77.873,1.2308,449.1,20.14,0,20.6,0,0,0,CITY_MOBILITY_SURVEY,1,2025-05-29
2010,PT_CITY_505,PT,4021661,35.2,16.59,23.38,7.49,62.19,0.5641,2192.99,60.52,0,55.32,1,0,0,URBAN_AUDIT,1,2024-07-29
2011,BE_CITY_506,BE,3128942,38.51,30.05,14.82,16.62,27.361,1.2102,1389.85,119.76,1,50.63,0,0,1,MODEL_ESTIMATE,1,2025-08-03
2012,FI_CITY_507,FI,984595,8.91,33.51,40.82,11.49,7.091,0.5468,1919.45,1.72,1,10.7,1,0,0,NATIONAL_URBAN_STAT,1,2024-05-31
2013,LV_CITY_508,LV,454881,21.13,59.75,18.66,0.46,43.734,0.4642,2155.58,3.07,0,13.03,0,1,0,CITY_MOBILITY_SURVEY,1,2024-10-22
2014,RO_CITY_509,RO,9016047,21.02,12.34,29.8,10.18,26.557,1.409,2006.84,59.49,0,47.45,0,0,0,URBAN_AUDIT,1,2025-05-07
2015,BG_CITY_510,BG,1992133,51.94,28.92,11.67,1.53,61.546,0.9202,396.36,126.23,0,17.67,0,0,1,MODEL_ESTIMATE,1,2024-07-06
2016,FR_CITY_511,FR,7349754,30.2,16.34,37.24,16.22,48.663,1.5552,903.64,68.52,0,42.38,1,0,0,NATIONAL_URBAN_STAT,1,2024-11-04
2017,LT_CITY_512,LT,12007540,8.77,33.4,27.35,23.62,12.326,1.3646,833.57,95.01,0,17.47,0,0,0,CITY_MOBILITY_SURVEY,1,2025-10-29
2018,SK_CITY_513,SK,2043610,17.94,17.0,8.04,6.13,12.539,0.4097,446.55,225.32,1,43.79,0,0,0,URBAN_AUDIT,1,2024-01-07
2019,HR_CITY_514,HR,1840763,16.58,46.44,30.12,3.92,81.894,0.95,417.44,239.44,0,6.18,0,0,1,MODEL_ESTIMATE,1,2025-02-24
2020,DE_CITY_515,DE,5433618,39.67,23.21,22.56,14.56,63.899,0.6579,2166.98,271.68,0,78.39,0,0,0,NATIONAL_URBAN_STAT,1,2025-12-16
2021,LU_CITY_516,LU,2231465,37.56,44.98,12.71,4.75,35.645,1.2779,1851.54,193.17,0,21.87,0,1,1,CITY_MOBILITY_SURVEY,1,2025-04-18
2022,SI_CITY_517,SI,2056930,16.12,52.78,30.72,0.38,6.035,0.7564,2247.98,186.79,0,29.81,0,1,0,URBAN_AUDIT,1,2025-07-12
2023,CY_CITY_518,CY,3502204,21.17,47.66,15.16,16.01,40.002,1.2046,2069.4,238.91,1,69.24,1,0,1,MODEL_ESTIMATE,1,2024-10-01
2024,GR_CITY_519,GR,3755908,27.69,22.47,38.8,7.7,1.564,1.3464,1372.46,74.45,1,95.1,0,1,0,NATIONAL_URBAN_STAT,1,2024-02-04
2025,MT_CITY_520,MT,135679,42.42,25.51,31.69,0.38,71.345,1.3441,1110.4,169.08,0,74.68,0,1,0,CITY_MOBILITY_SURVEY,1,2024-11-28
2006,ES_CITY_521,ES,990063,18.94,47.85,17.34,15.87,41.189,1.1258,1217.42,96.84,0,31.58,1,0,0,URBAN_AUDIT,1,2025-03-13
2007,CZ_CITY_522,CZ,10511441,15.46,57.1,19.37,8.07,47.968,0.4661,982.47,3.35,1,37.01,0,0,0,MODEL_ESTIMATE,1,2024-11-06
2008,HU_CITY_523,HU,6354554,35.03,41.3,9.68,13.99,25.588,1.3065,108.46,56.03,1,53.69,0,1,0,NATIONAL_URBAN_STAT,1,2025-07-13
2009,NL_CITY_524,NL,9317758,28.03,27.06,16.94,27.97,72.007,0.5943,2936.61,112.57,1,37.79,0,0,1,CITY_MOBILITY_SURVEY,1,2024-08-18
2010,SE_CITY_525,SE,6639994,46.12,44.52,8.89,0.47,39.798,0.5632,457.49,127.39,0,42.84,0,1,0,URBAN_AUDIT,1,2024-08-30
2011,DK_CITY_526,DK,3941706,38.2,30.66,18.07,13.07,25.181,0.4251,3351.51,22.13,0,50.08,0,0,0,MODEL_ESTIMATE,1,2024-11-07
2012,IE_CITY_527,IE,5163133,37.15,30.01,22.31,10.53,25.789,1.0902,562.69,89.71,0,26.95,0,0,0,NATIONAL_URBAN_STAT,1,2026-02-19
2013,PL_CITY_528,PL,8376017,49.82,17.3,16.15,16.73,6.814,1.2892,994.25,91.27,0,20.33,0,1,0,CITY_MOBILITY_SURVEY,1,2025-10-17
2014,AT_CITY_529,AT,10056302,46.93,30.42,9.55,13.1,27.417,1.152,3001.44,103.04,0,50.84,0,1,0,URBAN_AUDIT,1,2025-02-19
2015,EE_CITY_530,EE,4267733,30.75,12.43,40.88,6.02,56.241,1.0457,337.57,66.48,0,54.64,0,1,0,MODEL_ESTIMATE,1,2026-02-08
2016,IT_CITY_531,IT,10234012,39.37,29.69,18.25,12.69,62.507,0.418,475.67,109.63,1,8.25,1,0,0,NATIONAL_URBAN_STAT,1,2024-05-27
2017,PT_CITY_532,PT,3075047,18.29,34.63,29.2,17.88,35.856,1.1635,490.7,71.79,0,7.54,1,0,1,CITY_MOBILITY_SURVEY,1,2025-01-30
2018,BE_CITY_533,BE,4938899,17.27,52.37,7.73,22.63,53.54,0.991,933.64,118.66,1,15.11,1,1,1,URBAN_AUDIT,1,2025-04-05
2019,FI_CITY_534,FI,1799009,8.6,24.01,12.37,9.05,50.929,0.746,552.66,197.81,1,45.79,1,0,0,MODEL_ESTIMATE,1,2024-06-06
2020,LV_CITY_535,LV,11683118,12.16,15.65,29.01,14.13,51.459,1.5339,2358.15,213.01,0,14.11,0,1,0,NATIONAL_URBAN_STAT,1,2024-01-17
2021,RO_CITY_536,RO,1802663,32.52,37.77,17.8,11.91,24.937,0.5123,1170.68,1.21,0,20.87,0,0,0,CITY_MOBILITY_SURVEY,1,2025-04-29
2022,BG_CITY_537,BG,2156075,22.74,23.48,25.54,28.24,31.296,1.2856,2499.1,132.37,0,79.14,0,0,0,URBAN_AUDIT,1,2025-10-28
2023,FR_CITY_538,FR,1633879,10.33,15.09,7.84,66.74,60.762,0.5237,2079.77,96.09,0,55.34,0,1,0,MODEL_ESTIMATE,1,2025-12-23
2024,LT_CITY_539,LT,8592831,30.07,12.67,39.71,17.55,80.23,0.3659,2553.03,234.3,1,82.25,1,0,0,NATIONAL_URBAN_STAT,1,2024-01-23
2025,SK_CITY_540,SK,7622462,17.59,39.72,35.43,7.26,43.884,0.5336,363.13,72.08,0,70.02,0,0,0,CITY_MOBILITY_SURVEY,1,2025-09-13
2006,HR_CITY_541,HR,12882247,32.5,34.33,26.15,7.02,4.766,1.0297,2168.88,86.15,1,51.78,0,1,0,URBAN_AUDIT,1,2024-02-13
2007,DE_CITY_542,DE,6707886,23.52,25.71,33.73,17.04,26.766,1.1702,734.88,57.15,0,19.06,1,1,0,MODEL_ESTIMATE,1,2025-01-01
2008,LU_CITY_543,LU,4574951,17.63,62.43,11.53,4.2,60.073,0.5126,1446.18,105.09,0,29.37,0,1,0,NATIONAL_URBAN_STAT,1,2025-10-01
2009,SI_CITY_544,SI,8718857,47.63,16.82,20.44,15.11,60.264,1.5279,1186.92,62.21,1,51.44,1,0,0,CITY_MOBILITY_SURVEY,1,2024-07-27
2010,CY_CITY_545,CY,4202279,49.34,19.8,15.11,12.9,8.754,0.5578,861.49,125.06,1,54.12,1,0,0,URBAN_AUDIT,1,2025-04-16
2011,GR_CITY_546,GR,1533142,34.86,33.62,25.4,6.12,8.858,0.4465,991.62,24.36,0,49.45,0,0,0,MODEL_ESTIMATE,1,2026-02-03
2012,MT_CITY_547,MT,8032453,20.45,36.67,19.89,1.7,0.77,0.7906,483.14,105.84,1,52.86,0,1,0,NATIONAL_URBAN_STAT,1,2025-08-23
2013,ES_CITY_548,ES,8907072,9.57,70.24,13.19,2.05,78.606,0.8977,1316.86,136.21,0,13.12,0,0,0,CITY_MOBILITY_SURVEY,1,2025-06-01
2014,CZ_CITY_549,CZ,3947923,40.2,17.14,33.88,8.78,79.945,0.9301,2302.84,81.08,0,6.56,0,0,0,URBAN_AUDIT,1,2025-10-03
2015,HU_CITY_550,HU,325716,53.17,29.85,7.75,6.46,9.648,0.8307,2314.01,50.25,1,31.14,1,0,0,MODEL_ESTIMATE,1,2025-03-10
2016,NL_CITY_551,NL,3112077,13.3,45.29,29.41,12.0,8.91,0.4451,1756.44,102.7,0,34.64,1,0,0,NATIONAL_URBAN_STAT,1,2025-01-06
2017,SE_CITY_552,SE,6042806,47.03,27.47,25.09,0.41,81.661,1.1538,1075.35,132.31,1,4.56,0,1,0,CITY_MOBILITY_SURVEY,0,2025-12-20
2018,DK_CITY_553,DK,10757063,14.62,52.26,27.21,5.91,24.381,0.9808,432.57,153.55,1,9.7,1,1,0,URBAN_AUDIT,1,2024-07-04
2019,IE_CITY_554,IE,4535672,35.77,29.15,16.28,6.86,4.395,0.8023,644.94,197.39,0,32.92,0,0,0,MODEL_ESTIMATE,1,2024-02-17
2020,PL_CITY_555,PL,5814630,27.57,35.31,21.15,15.97,62.712,0.4303,1136.93,44.51,0,3.29,0,0,1,NATIONAL_URBAN_STAT,1,2024-04-02
2021,AT_CITY_556,AT,1038269,32.34,36.45,27.44,3.77,67.712,1.4109,885.61,168.87,1,68.51,1,1,0,CITY_MOBILITY_SURVEY,1,2024-12-11
2022,EE_CITY_557,EE,10823517,17.83,54.42,15.47,1.2,34.763,0.903,1854.0,82.63,0,87.29,1,0,0,URBAN_AUDIT,1,2024-02-16
2023,IT_CITY_558,IT,1914345,30.17,42.55,25.02,2.26,20.958,0.8042,1689.6,179.62,0,33.2,0,0,0,MODEL_ESTIMATE,1,2025-11-12
2024,PT_CITY_559,PT,5179050,28.24,43.86,16.17,11.73,3.646,0.8135,1994.6,9.27,0,23.6,1,1,0,NATIONAL_URBAN_STAT,1,2025-01-02
2025,BE_CITY_560,BE,2273242,15.59,30.62,28.18,23.4,7.383,0.353,603.55,154.63,1,67.87,1,1,0,CITY_MOBILITY_SURVEY,1,2024-04-17
2006,FI_CITY_561,FI,4643492,22.1,30.92,28.11,4.16,78.053,1.2251,1576.48,139.47,1,18.43,1,0,0,URBAN_AUDIT,1,2024-01-21
2007,LV_CITY_562,LV,8078917,36.97,35.11,22.53,5.39,25.371,1.3386,1020.26,55.36,0,30.06,1,1,0,MODEL_ESTIMATE,1,2024-09-07
2008,RO_CITY_563,RO,3659194,52.34,26.92,13.75,6.99,29.474,0.9814,1532.98,6.74,1,24.33,0,0,0,NATIONAL_URBAN_STAT,1,2025-11-22
