tax_sales_collection_month,tax_sales_state_ut_code,tax_sales_gstin_hash,tax_sales_tax_jurisdiction_code,tax_sales_tax_base_category,tax_sales_gst_rate_pct,tax_sales_gross_taxable_sales_inr,tax_sales_gst_collected_inr,tax_sales_vendor_count_reporting,tax_sales_filing_frequency_type,tax_sales_e_invoice_share_pct,tax_sales_e_waybill_count,tax_sales_itc_claimed_inr,tax_sales_reverse_charge_liability_inr,tax_sales_late_filing_rate_pct,tax_sales_penalties_assessed_inr,tax_sales_interest_assessed_inr,tax_sales_compliance_gap_estimate,tax_sales_refunds_issued_inr,tax_sales_data_certification_level
2020-06,WB,cae2d3f8c9a268e344769f3a0293b5d28ac77b25dd19f4e3f2ffb243af8276aa,GST-AR-93,GOODS,18,68438200,8467074,45891,MONTHLY,90.43,84868,6510967,193528,10.42,40501,13614,10.42,90726,L1
2021-11,WB,5dbec7216fb2e5560cea5331094bd51ae1a9ab04d446f4c231fd0d5bcd9548fc,GST-MP-14,GOODS,3,130528796,3513414,24732,MONTHLY,26.64,52322,1555498,154971,11.91,37816,51657,8.49,9705,L1
2022-08,KL,2f6eceee2c9b549c0ed829f9f279f9ebe39aecd4890531064e5419b7a9b1d166,GST-LD-35,GOODS,18,87604324,15130870,43105,MONTHLY,50.66,142372,4340450,692384,6.61,264665,256424,12.18,319948,L2
2021-06,MP,19bf7e3d93aeb567446fa09a63f0efe166dcb0eaf0515d17b55fd83a4f3e9020,GST-PB-49,GOODS,5,45132825,1704269,29434,MONTHLY,23.35,12178,342162,103349,11.15,25770,18156,13.52,329472,L2
2026-01,HR,d2cf88cceab5f6ae27a9a992417d2f2908bd5dd4cf7a2a2fdcee3048010569df,GST-WB-30,MIXED,5,144329666,5414166,1282,MONTHLY,43.04,71305,2130197,277403,10.46,58708,58986,2.93,500801,L1
2022-05,AN,1d15788aa938470e46236ce28f587b655c0d69ae5884454cb830192d36e4ed74,GST-KL-93,GOODS,18,32166842,4537552,42164,MONTHLY,42.6,165795,2511830,61993,2.36,28856,5035,9.84,976306,L2
2023-05,CG,bb4b6ae489227abde50eeda940185dd73d73e94cdda9215f7b478e35b88fb5e6,GST-MZ-17,MIXED,18,153260264,23594820,24693,QUARTERLY,91.4,132663,15155261,995036,0.32,356902,449359,4.8,1412500,L2
2026-02,RJ,b0858618a856369f0b76538a3b6dd2b18afffa82aafdc5f41eda7ba176e61c6c,GST-MH-40,MIXED,18,1145095,142469,24541,QUARTERLY,69.49,30657,85530,10690,10.32,395,2502,8.41,8882,L1
2021-06,MH,592a4bb99d557ae526154ce42d0e55b0c6cb5c3520075d03c1dbd20329223008,GST-AN-12,GOODS,18,102824111,16121197,12208,QUARTERLY,74.16,196742,4469353,42110,6.88,191368,320262,2.3,604462,L2
2024-01,PB,c9535ae15c5d2e8bdc84bf359d3e38629cb889a8bb4b7748057c831ed4a43bca,GST-GA-59,GOODS,12,20703040,2271240,22864,MONTHLY,74.0,152980,1117872,7902,9.32,4815,33566,3.74,504827,L1
2025-07,LA,1158bb696371633f25cf91a7b7c22d1309882a91625f1e0184f53745efd74a74,GST-MZ-06,MIXED,5,69161923,3602042,23637,QUARTERLY,54.67,8583,2481070,71083,7.74,46774,44813,12.18,682749,L2
2021-05,CH,578c2bd3d0172bc2a7ed76ef48992e3302a18b0da64633d3ecb66db415d49660,GST-DL-02,GOODS,18,132444076,24699483,37046,MONTHLY,34.53,175345,17304870,1509686,2.72,713417,431485,3.13,297456,L2
2020-08,JK,2859d54d26d8605bb0cc56dc256ba909ea27b875bd4a469dbfbf3c955e8ffaab,GST-DL-61,GOODS,12,23734703,2213402,28921,MONTHLY,83.87,6529,1257773,176921,5.42,32236,41495,5.83,431649,L2
2025-12,UK,79eeea576d47305b20047307566d04e96d316cc6fe5fa7ece65354abe6dcbf4e,GST-CH-86,MIXED,5,131637601,6033025,47190,MONTHLY,34.72,99529,1468009,87457,4.22,106288,110967,12.82,1194644,L1
2022-04,ML,b1076512e8110ba7f15d282fa65f5b1083fab41fb5e0228edb33a1038f2964b2,GST-BR-59,SERVICES,18,76407339,12970852,13274,MONTHLY,52.09,120405,5957593,301878,8.34,195351,9384,3.95,262819,L1
2022-02,LD,9894aee380e13531fa7497d335bf69002bab99e0535d56a7f354341fd77ff4df,GST-RJ-43,GOODS,18,63829738,11292800,46139,QUARTERLY,15.17,55360,1694674,778924,0.67,73790,174583,7.9,320031,L3
2022-02,RJ,1d4b688c59b6c25983c4af73a8fa0e3ae03a92a6fea8d2cc8125a604bf113b14,GST-KL-63,GOODS,12,84000101,6897765,35790,MONTHLY,59.23,190472,4339801,359656,5.36,22375,51131,2.65,1154435,L1
2020-05,MH,ec139e3a9b7e80be6ac5aba1bc46e29610565d75f653456c0138a65f446bc027,GST-LD-97,SERVICES,18,233325870,29476136,30843,MONTHLY,47.01,157530,12245032,734039,2.94,295073,479483,3.01,1505766,L1
2025-12,DH,7229d6e31bf38d1f3f37505e3a4ff097280b485673d5450cf8ac7710b178eacf,GST-RJ-48,GOODS,3,169015249,3900894,32530,MONTHLY,87.86,98084,1121713,218063,8.49,60196,4690,3.55,22677,L1
2026-12,LD,609b08b4928205bb44343a2494a41c08b7a73ccfb0d1326e242cfb5d8474dd3b,GST-JK-18,SERVICES,18,110138614,15007740,27301,MONTHLY,30.28,92249,4637913,215293,5.58,313797,156759,4.19,2694690,L2
2026-08,NL,0afaa915fc99c5e7f4c7f9ad76f11edba7ffe482e4b49b972184aa49ff6c084c,GST-GJ-25,SERVICES,5,51162544,2463337,4341,MONTHLY,30.41,93070,381357,140140,8.41,47847,48292,1.63,432083,L3
2021-10,CH,01c76b8247322fcd6e6f54d2b8c1af3da562d3bc590f88199f159bca4b2f46db,GST-CH-21,MIXED,18,201786090,35452279,31340,MONTHLY,12.42,89583,26180976,310882,9.52,561286,426925,8.78,740276,L3
2026-06,NL,f89b40cff2bac8f0e72ef5d1ab0db61a6ad078865c962fb4a566b377f19ad788,GST-MN-17,SERVICES,12,137108123,13772199,12701,MONTHLY,48.2,45208,2109019,631126,9.22,146825,15288,6.6,576566,L2
2024-05,NL,93a70b6a3afb5f67de62bdaeed6e1f0cc3f811c907ecd907dddd5c19a70e99b5,GST-NL-43,MIXED,5,127502350,5356680,2906,QUARTERLY,76.64,130396,2136550,209503,11.08,41729,102847,0.29,262332,L2
2024-01,PB,ae122d2810acdf697c58dd275c45d0e2149f01f7a3344dd8d34ecc768ed2f270,GST-CH-08,MIXED,0,217240109,0,19404,MONTHLY,64.72,73033,0,0,1.18,0,0,0.52,0,L1
2025-07,OD,d4d3b61e6c4812f02a60db0af9b6192a7dd080e16866c66b6559506c6ba4816a,GST-HR-72,GOODS,18,61077586,7286520,44503,QUARTERLY,8.88,152507,5263339,318598,0.99,194694,135361,11.25,532251,L2
2025-05,JK,a1ac7d5d93631ce5f44ae502de52536f6e148f271a1b7736a40c72c03f57a7f3,GST-GA-39,SERVICES,18,236974541,34507315,3620,QUARTERLY,30.03,878,28264254,2728877,2.79,654107,158240,12.43,2505372,L1
2022-02,JK,94cab18760445da5bd9c1a4cb5890d2c0dc33208a7e8890acdd45e63d138f89c,GST-AR-62,MIXED,12,39961069,3292482,1883,QUARTERLY,32.51,35041,1140792,140825,5.45,9908,32273,14.76,389513,L1
2024-12,AN,843a8ca8dae03140f31393bbcf35fcd5095f00eca4c7884f193ae8a9b10f3c8d,GST-PB-52,GOODS,18,174059871,22034222,18132,MONTHLY,60.07,104900,3322997,269626,5.99,525542,56299,0.83,1563785,L2
2024-11,SK,f50397a05652dbe087e899484a2a993b75b12baa97b03c22e2f0a1f1a5cb21a2,GST-UK-33,GOODS,18,43965146,7312539,3662,MONTHLY,78.84,58232,4887247,111715,10.75,129492,128794,7.41,1163071,L3
2020-09,CG,51805ef9a00a9be9812a6af829b57f8a69783d827341e8676df66bf32ef85898,GST-LA-94,SERVICES,5,15967901,692792,2496,QUARTERLY,99.34,163156,350327,13334,11.85,13589,9197,1.33,6004,L2
2020-06,MP,d7e6bd0af5ca97a440151232b264e9bb6aea0c37e5a1eeed5a7c2908e086faff,GST-WB-89,GOODS,12,168799348,16693605,2021,MONTHLY,25.5,129035,7378134,976303,4.06,346431,36631,8.41,2477902,L1
2023-06,GA,5c334c1f8871481d89eb8c9bcc9b0c7d52f12cecca982ce479ea807eb81c04bb,GST-TN-91,GOODS,12,163522681,18712095,38650,MONTHLY,19.35,156164,12064230,276640,11.4,259476,316148,9.61,691272,L2
2023-10,AR,26310d46388403fab1215c5321c7629e307408679a4409c13e6b30c61add6f64,GST-OD-78,GOODS,5,187252586,8261914,36466,QUARTERLY,42.29,150270,6983691,136936,3.06,126467,163967,8.02,56523,L2
2024-01,TN,e4dc58d3049c6c3a64e89230c5e67f181291e51fe5e4e6ce7f6ea646a3ecdd93,GST-MZ-72,GOODS,5,2905177,109679,11149,MONTHLY,67.61,88089,33790,8581,2.21,1026,2089,3.42,9646,L1
2025-05,KA,dcf913ca8f5a1e2fc4741333974ea40a44c393fc71c391abe44bc46195b71304,GST-ML-34,MIXED,28,41954619,10752102,14056,QUARTERLY,71.83,17918,6337369,651161,8.3,201904,9188,6.72,2258886,L2
2024-12,AS,b317ef4b395c6bd69ec88684b1f192d79e0844f7b5cf0bfa5ecb7696342f69e9,GST-CH-15,SERVICES,18,96310484,13260078,36846,MONTHLY,83.0,87446,7521545,403325,4.54,196679,210506,6.89,726065,L2
2021-08,HR,ffde137b8fe96d8b61fcdb3db71b50c565ce3a4c8018e3dc4f5acbe11447b4eb,GST-MP-92,GOODS,18,247021657,30874734,20470,MONTHLY,31.22,48427,17931642,1443700,9.59,317325,571255,13.8,1425637,L1
2024-07,AS,e75cefebcb9c71f38c73fd6e0ed8c448282f846879857a0ee1edcef9228e0ec4,GST-KL-56,GOODS,18,234019921,43477717,18118,MONTHLY,84.1,135504,22643126,1622193,10.87,300513,864816,3.71,5770225,L2
2021-09,CG,03b3bea7a643c6cd5be40719b0d78211f2abd0dd932a118fb9b451194180885b,GST-JK-90,SERVICES,12,228588828,26975339,12452,MONTHLY,67.0,191311,22443982,1331672,6.85,508127,508786,7.51,3835722,L1
2025-12,NL,9ecbd1c5e624aa0ff176a06b2ba4b8f075950265fe43693ac45372827619418c,GST-DL-20,GOODS,18,179274007,28040453,23915,QUARTERLY,1.92,187122,9180072,2139517,10.46,377415,491340,13.14,4150653,L1
2022-02,TR,3d5bb635ed4764ffb7114281f3455253d345ec461378ee3b5dbf76fd7169848a,GST-UP-75,GOODS,18,60872124,7541722,46116,MONTHLY,97.28,149595,5739037,474026,3.79,46067,136395,5.72,1176495,L2
2026-08,AN,a66b67f05e8c032e0764ea7043c3dae99241a6d3bf0ba72ae9d16193e67e4b79,GST-TS-79,GOODS,12,191192204,18817152,11223,MONTHLY,25.3,148421,11512783,787512,0.79,439887,80975,6.21,2722905,L2
2020-10,MN,11b4be4e8819a0aaff49d1f6ff5abfe18e8c5de450db7b134a88e660846483e6,GST-MH-76,SERVICES,5,78626342,3460801,49773,MONTHLY,7.56,193017,2716528,40577,6.58,56080,66166,3.54,128345,L2
2024-10,UP,8d7273307eaa5d9310ddcd86ce2226fd66c98c4a377224302e566d306ef4e890,GST-WB-84,MIXED,5,91408906,3578497,11373,QUARTERLY,44.32,99740,2531576,18053,11.57,67857,55063,9.46,455499,L3
2023-06,BR,6994fd46bdcd042d8e06bf03b5ffe7e4fc4c6978b7e6a542a467a1408ad7981e,GST-AN-57,SERVICES,18,242917576,31793438,22021,QUARTERLY,53.46,2483,19444230,1238801,7.42,536679,194512,5.9,1697226,L2
2020-06,CG,7ec00b1282d553dae2c846c8d46e3db0d7e0d69ff5721a8006df4f95ff747222,GST-OD-58,GOODS,18,68832914,10567595,26080,MONTHLY,46.77,182099,1928557,55824,8.74,198341,96344,11.81,1316317,L1
2023-11,KL,9f7530f0f03d1f664d1ffdc66fa768edbe9a88f79bdff22bebcc91fea660f649,GST-MH-96,GOODS,12,249400447,30069828,40843,MONTHLY,76.79,112327,17242152,2357484,10.94,80261,191598,9.27,982899,L1
2021-01,TN,70621dbf164de60cd6501e3d8f28bdbce1b561422541e76a0af89e33830ef1fc,GST-CG-92,GOODS,5,204337665,7938703,37110,MONTHLY,11.69,197521,2424618,320929,9.34,68069,109890,8.76,1128510,L3
2022-03,GA,9ab1f20308055da6a00d069177850a8fa8c570806a93b7d281537d6b4d568d4c,GST-RJ-28,GOODS,18,102860583,18493987,12674,MONTHLY,81.2,162842,7163567,239533,7.23,429111,46617,10.5,3606539,L2
2023-09,AP,8e961183d9b069cf958da8c27f011f2fcc29fcc5c0e5c376d1cf40c2ba870715,GST-OD-12,SERVICES,12,72660690,6992368,37216,MONTHLY,48.5,143365,2994360,130705,9.75,167456,43161,0.69,1576054,L3
2022-05,SK,122af5eb9d015ebee4963bd964c0b5c3eef549f3c0458f52f654eef32225bd06,GST-TN-96,MIXED,18,209487886,28751833,32452,MONTHLY,7.72,80310,21902274,523146,4.01,43840,415965,3.56,6191749,L2
2022-12,MN,31f395740b9281e45c6f4d4d2eee813250678d6e438f674351a54db7c174bdcd,GST-AP-49,GOODS,18,229610296,41155188,2461,MONTHLY,97.52,180756,33151168,1688267,6.99,905119,649711,5.48,1846650,L3
2022-09,ML,6a7b831b4b717f840c0a7822c422606c67fa22cc185a9f57f4dacbf43f168166,GST-TN-59,GOODS,28,230206111,44316509,6677,MONTHLY,89.41,183164,30584624,1560274,10.62,301958,441695,12.04,4993807,L2
2020-02,ML,373a1897bc850212b9b83223211e57f868869979ca2fbf7a1fe64c23487b5e54,GST-CH-70,SERVICES,3,74703310,2141922,19586,MONTHLY,31.8,188143,548869,107523,5.03,53622,26217,1.01,3312,L2
2022-07,LA,45aaad5fbacd5c36a8c9c27465ead752482669151e0baf0d78ccd823095be031,GST-SK-93,GOODS,18,220050693,33283506,43201,MONTHLY,50.5,107866,14194392,1069338,9.87,386577,497644,4.87,3153070,L3
2022-04,CG,14d1100d4236d606a67350f967e7eb56f30ce255ffabdeb3e0db2b797a1d743b,GST-MZ-23,GOODS,18,93227273,11440174,40417,QUARTERLY,24.36,114029,1758143,617974,8.76,102606,108425,10.47,1529179,L2
2024-04,SK,2051519acc1bd4a6c2b0d3d3b72045f80597dad443c57fd5f25068593b08d35d,GST-PY-74,GOODS,12,167491358,18484310,21557,MONTHLY,50.74,138170,13861398,556403,3.98,161496,229918,9.22,3395677,L2
2023-02,WB,8d02bbc8ee1ddef0b2ab0561329195a22f516b19d7572ebc95d3bd1a12469d45,GST-TN-34,SERVICES,18,150979386,21687846,17061,MONTHLY,24.88,58812,5346810,532448,7.78,445135,55934,11.96,1497786,L2
2021-11,WB,2f0b4e4e7c39035825124a272f4080ae1854fc1dafb841e7a3ebfd64bb4f37a4,GST-AN-09,SERVICES,12,104699601,11970494,36240,MONTHLY,37.02,28415,7227715,38827,5.29,244464,228589,6.16,1219050,L2
2024-04,BR,c9a58e3934afd68c3dd5291465cf126562d48836e2184c019e629a794da52474,GST-HR-89,SERVICES,18,87024105,13405050,2728,QUARTERLY,27.32,146577,6994748,853059,4.2,241614,57569,3.65,2902477,L1
2020-10,MP,83d00818919d5015709f4c9a0cd09fd270d53cb58914583471b4c157a11d412a,GST-GJ-03,MIXED,18,126260856,22090599,32054,MONTHLY,44.81,85959,7228058,887579,8.36,630350,199155,6.95,3624836,L1
2022-06,LD,cd1cc6b9861a9e9f183dc5aa22198f57a3c203078636a05884933de09c8273fc,GST-LA-34,GOODS,18,16456308,1953481,32158,QUARTERLY,6.77,33143,1086302,30980,1.87,18053,35517,5.17,275037,L1
2024-01,WB,78d2c272a32739c9d29928c3f149755734c2108d338082abced805809abe25af,GST-LA-01,SERVICES,28,178393821,42160536,39092,MONTHLY,53.47,188541,15272856,1545238,7.9,776166,321876,5.32,5237189,L2
2024-12,LA,5b573ef265572504af1c7a95d5e9716cab2f24f5ed6f1cb485cef2f91e96f7b6,GST-CG-53,SERVICES,28,11162372,2656690,48359,MONTHLY,21.98,66824,982416,70014,1.85,35138,11242,7.99,340232,L2
2021-12,UP,4455918952e632e737df5236036f3ede1f2f2556f6c9ccbeacbc601983e2943b,GST-LD-45,GOODS,18,64885796,11587061,18930,MONTHLY,16.89,123386,2811011,199872,5.87,197158,196400,5.26,872309,L2
2022-01,AS,605ab4b4b85005693191a79732bb93ed8ff439235245c3f47e2ccbd72c04149d,GST-UP-01,SERVICES,18,153916040,27519502,47147,MONTHLY,34.95,79640,14692371,1463511,9.12,121034,63683,1.98,444764,L2
2023-03,PY,471c07b0f505aae50b35006230d73a275d79e2416d401d35cfd1e771a8acdd49,GST-KA-51,GOODS,18,177510403,26901500,30150,MONTHLY,72.78,78137,20926867,999320,7.97,738499,440740,0.57,3895517,L1
2022-03,DH,1e3a29f381260e12f1e133cbba2b8fd48af0585600e79736b17b2995e86a6444,GST-HR-19,SERVICES,18,193222069,26443408,17085,QUARTERLY,35.59,169503,10372283,911320,4.56,692132,71449,7.95,5776813,L2
2024-05,TS,4c70261f6ce91bf5d4bcabd0d1f029a07d9f23825a67e82ba5a57c3bd486f205,GST-TS-24,GOODS,18,131551814,19561324,30587,MONTHLY,75.4,165415,10829663,732423,5.4,561126,10673,4.34,4877273,L2
2025-03,AP,bba5769287e5fdbdf89204cce7bb9f68a7855af48d310f0866cac4caa2cb57f3,GST-BR-21,GOODS,12,140219438,15818018,6888,QUARTERLY,97.88,86733,6539356,825202,2.95,350002,66024,11.51,377321,L2
2020-04,JK,7990c3cfe3faf50049228816741556248adc06ae3d48cc72b8f29bed261b3462,GST-UK-59,GOODS,18,145505161,17830726,9998,QUARTERLY,94.39,100776,6187749,1138831,4.97,376007,116536,9.18,904352,L2
2025-12,JK,fb9feca9d4aa2588ca1264a684e489db04a75553d3a3443b2f5fac72aa37abb0,GST-CH-05,SERVICES,5,218936785,11395028,15585,MONTHLY,22.1,124520,5632256,421689,10.86,18120,92302,12.03,2007537,L2
2026-01,DL,b84f7ad268dec0732a4e6f1a90e8ca878184cb731e037e54ea4cbdae0e2b57c0,GST-OD-93,GOODS,5,209018964,9459160,9383,QUARTERLY,93.06,22219,3096511,410514,10.11,125335,151411,4.71,1316052,L3
2026-05,KA,424d39669fa959b27f0fef9e54f3c20ac6dcabea372e3135857a674fbc327dae,GST-CH-60,SERVICES,18,111769197,16510145,41097,QUARTERLY,86.35,172877,10460979,852537,1.17,17801,288108,8.99,3590464,L3
2020-03,LA,b6b8ff904cf698be3c580313504b30538e2960f438f8066369dab59facc76160,GST-TR-09,SERVICES,18,235771564,37670629,35503,QUARTERLY,2.83,111063,29718417,527578,2.19,1048710,266599,14.41,3389657,L3
2026-08,AP,56b683457a316dce94594f3620bcb830072fa3ecec3f2899c1dde5da97bd95e2,GST-RJ-10,SERVICES,12,66114445,7992401,40829,MONTHLY,97.14,27209,3543182,493085,0.44,141504,26753,3.58,1151309,L1
2021-10,RJ,43941b12f60cdcbd06846c9a15325524074a90afeaa23a687813d96f13a353c3,GST-ML-32,GOODS,12,76512746,7445561,11696,MONTHLY,95.76,135273,4638308,19699,4.99,13642,58364,14.22,1689986,L1
2022-02,WB,49daf2209230b0797d8cbdf8b8943f10d238b65addee233c2f84c1b805826968,GST-TS-77,MIXED,5,28476554,1054443,2560,MONTHLY,74.19,135362,339164,20022,9.94,18933,16305,2.69,175866,L2
2022-10,HP,5c083e03765b4bda70ea85d594037cb566abb63c142fb4ccaa1cb2d1e193c2f9,GST-PY-95,SERVICES,18,190714625,31486029,31351,MONTHLY,60.35,123178,16107525,2480972,6.94,610008,604455,2.28,1743525,L2
2022-02,LD,f06236030711342e5354845b97b2db6d6f90d71fc8ad3434a19a9266bab87032,GST-CG-04,SERVICES,5,144802995,4865236,20638,QUARTERLY,99.01,135130,2751950,243059,2.83,143147,29111,11.02,942285,L1
2022-10,SK,3f1fbd0442d6d9ec2f4566229a38d0dbcd01315c0dcfc7b5142f622177d6ad67,GST-GJ-79,MIXED,18,149923234,21597153,48036,QUARTERLY,19.54,168693,15911688,729029,4.73,425549,14180,14.71,790551,L1
2021-06,GA,117d9b8ce9702915ceedd86ac808b3e79a68468414aeae53069ce93f0b13066f,GST-TS-60,SERVICES,12,197144415,17349499,10083,QUARTERLY,77.48,110056,10978082,1021919,1.12,420528,304855,12.19,460235,L1
2024-01,LA,6607dff4e6f41431de89d1fc9890ab2d19533ac26aaba9d2e1c51e6e9a0d3d97,GST-PY-47,MIXED,18,72812946,12461333,13581,MONTHLY,90.43,21569,4422307,389094,4.61,289957,82652,0.92,1057975,L2
2024-10,CG,2ce93a24cbd852f0f25ba73f42de592efd9b5b3c7fd34c356882a9801237979f,GST-NL-69,GOODS,3,60716717,1809789,18319,MONTHLY,49.99,181346,1259689,52324,4.49,39183,23272,2.68,222190,L2
2024-03,PY,b8b7a19a09e7094e4531903cca668973519eab366359df8880ea5ed87bad9c94,GST-MN-18,MIXED,12,161829224,18877556,43884,MONTHLY,29.81,88743,14038160,1133217,3.21,61244,53503,10.39,3241089,L2
2023-11,PY,2c84b0c18edcb27b12e3ffa8307cda545b98312c437710875feaf7322f6a0a02,GST-LD-96,MIXED,12,1323942,109775,48942,MONTHLY,44.48,105901,58624,4106,2.52,1101,997,12.95,21648,L1
2021-02,LD,577af525be3e31618c5f30704545af8c03d4386e234ca88d8aba1c0da0b3fa7a,GST-KA-13,GOODS,18,163783842,20841262,26280,MONTHLY,97.2,57713,11431712,785288,2.59,471059,179165,6.79,3342497,L1
2024-06,KL,c13d40f7492e01d76ed2adab5da01c8bcc08457a82a383279a12cb372cfa9938,GST-KL-39,SERVICES,28,53861643,15413591,11846,MONTHLY,74.25,31564,9644177,137484,1.73,413105,186529,9.91,2887686,L2
2024-08,ML,28bf8f026c84f96c3f87def218a8de1ec8fa33d6bb35d93f112d8e502d14f7d8,GST-ML-96,MIXED,18,205082779,33160046,29412,MONTHLY,54.69,184501,15807787,2188984,1.65,162528,409442,6.46,8278010,L1
2020-09,WB,c86a084dc1297a55663564eb48105f1d0904a3327a88125eab3eb8ad683ae761,GST-OD-79,GOODS,18,59316305,8110589,1963,MONTHLY,11.02,134229,4483668,224552,11.75,33,74222,7.15,55186,L3
2026-02,AN,cc4f94acbf473c13ebfb8a6c7606d2a8825dd71c28f835bffceef2d5fccf03d5,GST-AR-17,SERVICES,18,101540593,16255895,13441,MONTHLY,69.17,86312,10312649,734642,7.84,414844,317504,12.67,3499575,L1
2024-05,HR,8584c439e0a22710728ec47c10e5a4685c0a1f32c982308b5ee1edbe308d39af,GST-MN-09,GOODS,5,168926118,7954600,20066,MONTHLY,26.45,83408,2708594,260813,7.69,56344,154277,12.1,1105779,L3
2024-08,NL,79eaa899960ea8db625027b4e20816e25759ede3b00226c626cc68ea2e404f51,GST-RJ-24,GOODS,12,202871381,22380099,46287,MONTHLY,98.88,69729,4659347,1089230,4.72,353386,93166,8.83,2181791,L2
2023-02,MH,1224a39207e4ec7c8c58f89ff541859ba469e182e8a4c4010dc9e0e8637342e7,GST-CG-12,SERVICES,18,213388911,30607565,4436,MONTHLY,51.7,198257,11293004,1290382,2.01,910344,273575,3.12,1309242,L3
2024-09,TR,5048fd21ec810ba789e5843b9dee7ed833758ed1e2ce5696b6db9f937ee085fd,GST-MZ-32,GOODS,12,61255078,6595964,35575,MONTHLY,61.44,56514,2825613,505806,5.85,147693,59474,6.72,1634212,L3
2024-03,WB,88840c9d42b8886fc2e4e794d74ebcb5994b3bcbadf1cf236b3a14fe3d6218ac,GST-KL-31,SERVICES,28,214728435,41197398,13099,QUARTERLY,99.93,162687,31933231,3156534,4.5,200760,340464,10.47,6285353,L3
2025-03,ML,7075cf7ee57afc66aa725f62aa9befcd9d9dc97a6776132c16292bf3b74f35d1,GST-CG-12,SERVICES,12,115418434,14067522,35490,MONTHLY,75.28,1310,11042618,191943,2.91,391140,9476,0.63,2184678,L1
2021-04,JK,16509f68dbbee48a18d68f3e2ae174f5c0a245ac74802145df7e2826efcd288c,GST-JK-11,MIXED,18,110854467,19361585,21635,MONTHLY,48.64,27392,11277644,1383459,9.12,125282,232968,9.14,748091,L1
2021-05,KA,65e7fdd450f1b63c46d795363bf8ef1267ba1ac6bf593591262fbe179a91df89,GST-MP-21,GOODS,5,154875588,7763087,42813,QUARTERLY,55.1,46398,1687010,272270,2.8,192353,43128,9.32,1595104,L2
2021-01,WB,2ff7f1e3ee1589871d45c3c9fa9ad7e6e279423718ae0b539e776fda7aa0025e,GST-NL-73,SERVICES,3,245794957,5561250,5105,MONTHLY,90.48,74662,1375899,208311,8.63,1839,1249,8.86,680683,L1
2026-09,ML,4d0c70892141b922cbc8c8352907472bed6e42e425584153542718de58dba8a9,GST-OD-76,SERVICES,3,149683279,3345350,5580,QUARTERLY,93.68,95787,506768,197634,1.52,23608,45443,7.42,94749,L1
2022-05,BR,733914b5f4b8d54cdc20d4ac800cca3d1b0f566c6cec9ddb4da285e79b4a7995,GST-GA-62,MIXED,5,84160965,3679611,30542,MONTHLY,48.41,31428,1701669,149165,5.98,12219,63678,6.65,63400,L1
2022-09,KL,d47ce8538bf690669b20327e4056f56bcb298a7d61ab1c6a7bc50d4a85a06cb5,GST-RJ-02,MIXED,18,12385156,1783664,5071,QUARTERLY,34.76,68078,1108289,102710,8.14,29827,1198,9.93,437948,L2
2021-02,DH,358bbf319aa59120b8813f25033c6614fa0b4b1796c2b7f00cafdc537923d597,GST-HP-51,GOODS,5,217952567,7946629,45542,MONTHLY,78.16,180908,6416273,266448,8.26,143797,131484,5.41,27686,L3
2023-03,ML,aec0da7782e8fcc53efcb06cbb5a4c826fbfe43c04452d30860029dc3c9cddc8,GST-SK-21,MIXED,5,88313034,4278671,4177,QUARTERLY,15.93,49863,1314382,247790,11.76,90720,52380,13.54,930952,L1
2026-05,AN,b6d0bb4790a6b0dd8a2c4bc09ae872172f30a6c04f33e6148256bbae82ee5cc9,GST-CG-14,SERVICES,18,203523986,25068480,15742,MONTHLY,39.76,6119,6160977,984996,5.43,220485,167310,0.63,786880,L3
2024-05,TR,076e32fb69ab92c18f48bba0e8f5771fd0b29f89afe4b3fc2c0a219db3388493,GST-AN-10,GOODS,18,79802389,9489022,44097,QUARTERLY,2.14,27161,3207741,84951,4.53,270137,111681,13.52,1644968,L2
2021-04,MN,7b26d4ceb575a9b83798ffae2cabe573df3ea75541d16418346c3371d327863c,GST-DL-16,GOODS,3,25734722,757750,24240,MONTHLY,83.85,80659,401881,36291,8.93,309,7729,13.45,40867,L1
2025-01,HR,c9ab56d33b0f894274b7615f2aee43c24857dc5b74d462885f08db82f5602d3c,GST-PY-62,GOODS,12,242037465,21412647,45108,MONTHLY,4.87,182888,3770743,1156603,0.77,205149,276310,10.3,2876778,L2
2026-01,UP,b64cfe9e53621b943ccb3c7be41d337c1cbbf9c3a229a01400e823717b4e3362,GST-JK-45,SERVICES,5,21135906,1057474,37083,MONTHLY,54.62,41224,772543,20912,5.9,1862,10975,12.22,8292,L2
2024-09,TR,92b3231a333a5bb1311fc0698f64921cdbc235786cf151bdb3ef03f5c1cdf3e3,GST-TS-34,SERVICES,28,242179277,59205196,21455,MONTHLY,99.42,117135,34464770,3155516,10.45,652094,511659,6.84,12499472,L3
2024-01,KL,40073bfa3eef82868bc75cc9308f6d824f4826317a76707d408c326902fbd2a7,GST-GA-73,GOODS,12,50445646,5395254,43350,MONTHLY,32.66,90714,3702921,429594,3.18,153133,2575,3.65,344588,L2
2024-01,AS,58ded862132f5d4fbbcab430e06dcf8239a90f10d967003a97136cc27cf824c4,GST-BR-42,MIXED,18,90784023,10757242,33322,MONTHLY,80.32,130032,8788473,415750,6.03,97323,76147,6.51,2096194,L2
