demo_popproj_projection_year,demo_popproj_geography_nuts_code,demo_popproj_nuts_level,demo_popproj_age_cohort_5yr,demo_popproj_sex,demo_popproj_citizenship_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_fertility_rate_assumption,demo_popproj_mortality_rate_assumption,demo_popproj_net_migration_assumption,demo_popproj_household_projection_total,demo_popproj_urban_rural_typology,demo_popproj_dependency_ratio_old_age,demo_popproj_median_age,demo_popproj_life_expectancy_at_birth,demo_popproj_eurostat_release_vintage,demo_popproj_methodology_code
2033,AT5,1,90-94,M,NON_EU,75395,67828,66849,70044,1.15,9.39,4317,33072,URBAN,22.71,43.2,74.7,2023-09,REG_DEMO_MODEL_B
2036,EE989,3,10-14,F,EU,75338,78839,77673,79431,1.72,13.89,606,35338,RURAL,25.33,42.0,81.0,2026-12,EUROPOP2024
2039,RO475,3,35-39,T,NATIONAL,76090,94779,92953,95954,1.45,11.1,861,36973,INTERMEDIATE,19.63,46.9,82.5,2026-03,REG_DEMO_MODEL_A
2042,HU92,2,60-64,M,UNKNOWN,75768,71880,70098,72637,1.12,11.67,5682,30622,URBAN,21.67,43.9,75.6,2025-06,EUROPOP2023
2045,GR8,1,85-89,F,NON_EU,76075,119488,117098,123229,1.57,14.1,1611,51416,RURAL,33.3,39.5,74.4,2024-09,NUTS_PROJ_V1
2048,HR71,2,5-9,T,EU,77227,90540,87601,91515,1.64,10.63,-3691,35387,INTERMEDIATE,44.6,33.9,78.6,2023-12,REG_DEMO_MODEL_B
2020,HR354,3,30-34,M,NATIONAL,76898,76898,73898,79863,1.86,14.23,3761,31578,URBAN,35.52,38.8,76.5,2023-03,EUROPOP2024
2023,DE48,2,55-59,F,UNKNOWN,77402,81676,81098,84042,2.09,12.24,58,38128,RURAL,34.27,43.2,78.0,2026-06,REG_DEMO_MODEL_A
2026,LV81,2,80-84,T,NON_EU,77316,75320,74821,77468,1.96,11.78,-2024,34818,INTERMEDIATE,21.91,33.3,80.2,2025-09,EUROPOP2023
2029,IT851,3,0-4,M,EU,77610,88947,87800,90905,1.52,14.45,4224,36333,URBAN,39.59,36.0,74.1,2024-12,NUTS_PROJ_V1
2032,FR2,1,25-29,F,NATIONAL,77551,68769,67031,70463,1.54,9.32,5901,27141,RURAL,31.4,36.3,78.7,2024-03,REG_DEMO_MODEL_B
2035,AT22,2,50-54,T,UNKNOWN,78210,101756,100836,102581,2.0,9.89,694,44267,INTERMEDIATE,44.75,35.4,77.5,2023-06,EUROPOP2024
2038,SK9,1,75-79,M,NON_EU,78023,81172,78928,83563,1.62,7.28,7109,35754,URBAN,25.35,39.0,76.0,2026-09,REG_DEMO_MODEL_A
2041,CZ358,3,100+,F,EU,78725,84261,81214,86554,1.82,8.03,6402,37183,RURAL,26.67,31.0,77.9,2025-12,EUROPOP2023
2044,IE836,3,20-24,T,NATIONAL,78977,104089,100578,105883,1.28,8.21,1775,42105,INTERMEDIATE,29.52,34.9,74.8,2025-03,NUTS_PROJ_V1
2047,HU193,3,45-49,M,UNKNOWN,79071,99166,98379,101816,1.72,11.27,495,40839,URBAN,27.41,35.9,80.9,2024-06,REG_DEMO_MODEL_B
2050,IT760,3,70-74,F,NON_EU,79253,76808,74623,77895,2.09,13.93,7211,35642,RURAL,37.14,46.5,82.3,2023-09,EUROPOP2024
2022,RO434,3,95-99,T,EU,79562,80897,78780,83929,1.75,12.65,-1028,31311,INTERMEDIATE,43.51,35.4,80.1,2026-12,REG_DEMO_MODEL_A
2025,SI291,3,15-19,M,NATIONAL,79791,78519,77799,81321,1.39,10.94,6075,30366,URBAN,36.89,33.6,76.4,2026-03,EUROPOP2023
2028,ES925,3,40-44,F,UNKNOWN,80357,80257,78226,82358,1.62,14.01,4430,32515,RURAL,32.4,46.2,79.5,2025-06,NUTS_PROJ_V1
2031,DE471,3,65-69,T,NON_EU,80878,98427,94833,99462,2.16,14.48,7455,41016,INTERMEDIATE,21.49,44.5,75.2,2024-09,REG_DEMO_MODEL_B
2034,FI885,3,90-94,M,EU,80740,96543,94299,98044,2.04,9.61,-297,39547,URBAN,39.18,37.8,79.0,2023-12,EUROPOP2024
2037,NL796,3,10-14,F,NATIONAL,81099,73158,72223,73619,1.11,9.26,4284,31766,RURAL,26.22,49.5,75.6,2023-03,REG_DEMO_MODEL_A
2040,MT255,3,35-39,T,UNKNOWN,81375,76174,73272,76627,2.09,13.56,-3253,36352,INTERMEDIATE,21.1,45.4,78.8,2026-06,EUROPOP2023
2043,IT349,3,60-64,M,NON_EU,81879,85345,82995,87883,1.53,9.48,527,34983,URBAN,40.67,50.2,79.8,2025-09,NUTS_PROJ_V1
2046,MT225,3,85-89,F,EU,81690,133686,128707,137038,1.34,7.52,6564,59354,RURAL,26.06,35.4,77.4,2024-12,REG_DEMO_MODEL_B
2049,HR441,3,5-9,T,NATIONAL,81897,74278,71495,77078,1.71,7.36,-1647,33645,INTERMEDIATE,22.96,47.4,75.7,2024-03,EUROPOP2024
2021,CZ628,3,30-34,M,UNKNOWN,82436,83443,80203,84586,1.44,9.2,-657,36524,URBAN,35.71,30.4,76.4,2023-06,REG_DEMO_MODEL_A
2024,HU792,3,55-59,F,NON_EU,82461,86294,84097,88964,1.84,11.94,7802,33511,RURAL,40.44,30.7,82.3,2026-09,EUROPOP2023
2027,MT762,3,80-84,T,EU,83222,88937,87591,92174,1.73,9.1,7341,36937,INTERMEDIATE,19.35,48.6,80.9,2025-12,NUTS_PROJ_V1
2030,LV928,3,0-4,M,NATIONAL,83162,91753,89647,95067,1.17,8.98,-4385,41489,URBAN,40.72,31.2,76.4,2025-03,REG_DEMO_MODEL_B
2033,CZ679,3,25-29,F,UNKNOWN,83562,99784,97073,100446,1.28,11.19,-408,43469,RURAL,27.14,39.4,77.5,2024-06,EUROPOP2024
2036,BE607,3,50-54,T,NON_EU,83893,102529,101150,103755,1.25,14.46,5217,40124,INTERMEDIATE,18.25,30.3,77.5,2023-09,REG_DEMO_MODEL_A
2039,CY468,3,75-79,M,EU,83837,121556,117610,125898,1.35,8.65,-845,53178,URBAN,29.91,45.4,75.3,2026-12,EUROPOP2023
2042,LT867,3,100+,F,NATIONAL,84422,89843,87684,93225,1.11,13.42,-2674,35327,RURAL,34.46,37.3,82.5,2026-03,NUTS_PROJ_V1
2045,IE872,3,20-24,T,UNKNOWN,84005,127907,123044,129791,1.51,7.42,-2165,48501,INTERMEDIATE,37.84,41.7,76.7,2025-06,REG_DEMO_MODEL_B
2048,BG134,3,45-49,M,NON_EU,84499,73680,70807,74746,2.11,12.94,-4236,35271,URBAN,25.99,31.4,84.2,2024-09,EUROPOP2024
2020,BE538,3,70-74,F,EU,84845,84845,83818,87993,1.12,10.41,-2329,31773,RURAL,35.87,32.8,74.5,2023-12,REG_DEMO_MODEL_A
2023,FR379,3,95-99,T,NATIONAL,84882,82799,81846,85305,2.11,8.94,3953,35630,INTERMEDIATE,38.96,32.1,83.6,2023-03,EUROPOP2023
2026,SK888,3,15-19,M,UNKNOWN,85407,90167,88123,93220,1.56,11.67,4842,33961,URBAN,22.94,35.5,78.1,2026-06,NUTS_PROJ_V1
2029,HR248,3,40-44,F,NON_EU,85655,90594,88672,93965,1.27,12.08,5304,43061,RURAL,31.66,49.6,75.9,2025-09,REG_DEMO_MODEL_B
2032,SE680,3,65-69,T,EU,85574,94119,92998,96516,1.86,9.89,7423,39651,INTERMEDIATE,37.24,49.2,81.6,2024-12,EUROPOP2024
2035,SI883,3,90-94,M,NATIONAL,85650,112615,110023,115650,1.6,12.77,-3750,44057,URBAN,20.69,31.8,84.3,2024-03,REG_DEMO_MODEL_A
2038,IE234,3,10-14,F,UNKNOWN,85872,95510,94918,96127,1.87,14.37,4057,41686,RURAL,42.79,42.9,81.0,2023-06,EUROPOP2023
2041,BE845,3,35-39,T,NON_EU,86912,129790,124934,134323,2.05,10.64,6363,64086,INTERMEDIATE,34.99,34.7,75.6,2026-09,NUTS_PROJ_V1
2044,SE271,3,60-64,M,EU,86356,103644,101745,105075,1.49,11.49,7045,39558,URBAN,38.64,40.4,75.8,2025-12,REG_DEMO_MODEL_B
2047,SI439,3,85-89,F,NATIONAL,86645,137166,136217,141444,1.37,11.18,-2022,64869,RURAL,27.74,36.1,75.5,2025-03,EUROPOP2024
2050,RO696,3,5-9,T,UNKNOWN,87134,75614,74386,77805,1.39,13.59,1266,29138,INTERMEDIATE,23.19,34.1,81.7,2024-06,REG_DEMO_MODEL_A
2022,CZ333,3,30-34,M,NON_EU,87708,88796,85851,92273,1.42,10.32,-4697,40119,URBAN,40.7,40.5,80.3,2023-09,EUROPOP2023
2025,ES195,3,55-59,F,EU,88194,88157,85466,88661,1.28,13.45,5057,35573,RURAL,38.68,44.4,74.7,2026-12,NUTS_PROJ_V1
2028,LU598,3,80-84,T,NATIONAL,88284,100434,97082,103333,1.65,11.68,-2024,44087,INTERMEDIATE,35.14,34.4,84.0,2026-03,REG_DEMO_MODEL_B
2031,CZ644,3,0-4,M,UNKNOWN,88362,101006,98429,102458,1.6,10.74,224,39511,URBAN,22.32,37.5,75.6,2025-06,EUROPOP2024
2034,MT581,3,25-29,F,NON_EU,88428,79488,77419,81395,1.26,11.53,-4545,32340,RURAL,33.46,49.5,75.6,2024-09,REG_DEMO_MODEL_A
2037,CY704,3,50-54,T,EU,88542,79265,76989,82060,2.12,10.08,-4312,37635,INTERMEDIATE,26.58,45.9,81.4,2023-12,EUROPOP2023
2040,PL323,3,75-79,M,NATIONAL,88911,83688,81056,86064,1.99,11.84,-2177,32453,URBAN,37.51,43.9,84.0,2023-03,NUTS_PROJ_V1
2043,CY636,3,100+,F,UNKNOWN,88793,95003,91455,97683,1.79,7.2,5957,39819,RURAL,20.62,34.3,75.1,2026-06,REG_DEMO_MODEL_B
2046,LV394,3,20-24,T,NON_EU,89670,105164,104090,105850,1.73,13.39,-1323,42182,INTERMEDIATE,22.24,47.2,74.9,2025-09,EUROPOP2024
2049,PL767,3,45-49,M,EU,90120,76923,76403,77773,1.18,12.62,3378,31219,URBAN,41.85,44.9,79.7,2024-12,REG_DEMO_MODEL_A
2021,BG268,3,70-74,F,NATIONAL,90390,90666,88363,92704,1.54,13.7,-3297,35772,RURAL,20.96,36.9,79.8,2024-03,EUROPOP2023
2024,SK557,3,95-99,T,UNKNOWN,89809,90415,89927,93240,2.02,12.05,-4303,35370,INTERMEDIATE,22.8,49.5,83.6,2023-06,NUTS_PROJ_V1
2027,LV690,3,15-19,M,NON_EU,90509,92599,90594,93854,1.45,9.45,7070,34657,URBAN,35.22,35.9,83.1,2026-09,REG_DEMO_MODEL_B
2030,SI275,3,40-44,F,EU,91016,90402,89144,92739,1.9,8.63,5788,42518,RURAL,34.48,45.0,78.6,2025-12,EUROPOP2024
2033,BG963,3,65-69,T,NATIONAL,90648,85342,82505,85819,1.86,7.34,-2328,35145,INTERMEDIATE,32.36,46.7,75.2,2025-03,REG_DEMO_MODEL_A
2036,IE474,3,90-94,M,UNKNOWN,91500,98421,96244,101944,1.95,12.25,-3167,47706,URBAN,41.29,39.4,82.7,2024-06,EUROPOP2023
2039,DE558,3,10-14,F,NON_EU,91416,105646,103616,108440,1.73,10.95,5677,50007,RURAL,36.85,32.3,79.8,2023-09,NUTS_PROJ_V1
2042,MT397,3,35-39,T,EU,91308,84679,82572,86317,1.91,12.59,6570,42307,INTERMEDIATE,18.15,49.7,81.9,2026-12,REG_DEMO_MODEL_B
2045,ES600,3,60-64,M,NATIONAL,92052,92281,90346,93351,1.21,9.41,-4240,41406,URBAN,22.85,35.1,79.6,2026-03,EUROPOP2024
2048,HR801,3,85-89,F,UNKNOWN,91990,110272,105868,112194,1.86,13.94,5091,52023,RURAL,39.02,46.1,74.7,2025-06,REG_DEMO_MODEL_A
2020,CZ870,3,5-9,T,NON_EU,92461,92461,91019,93454,1.6,10.27,-1002,35555,INTERMEDIATE,22.79,41.7,83.3,2024-09,EUROPOP2023
2023,IE424,3,30-34,M,EU,93153,97743,95918,99550,1.97,14.2,-1486,38029,URBAN,29.0,45.7,79.3,2023-12,NUTS_PROJ_V1
2026,CZ515,3,55-59,F,NATIONAL,93150,89533,87929,91680,1.99,13.2,1594,42154,RURAL,30.28,35.2,79.8,2023-03,REG_DEMO_MODEL_B
2029,FI252,3,80-84,T,UNKNOWN,93738,105582,101361,106384,1.27,10.79,-2431,49319,INTERMEDIATE,24.09,42.8,75.0,2026-06,EUROPOP2024
2032,BE743,3,0-4,M,NON_EU,93553,112482,110860,113925,2.09,10.46,4831,44816,URBAN,19.71,40.0,81.4,2025-09,REG_DEMO_MODEL_A
2035,IE210,3,25-29,F,EU,94032,112603,110858,114766,2.09,10.7,-3444,45858,RURAL,29.41,43.2,77.9,2024-12,EUROPOP2023
2038,DK812,3,50-54,T,NATIONAL,94095,85994,84464,89236,1.67,13.42,-636,39571,INTERMEDIATE,20.03,32.7,80.4,2024-03,NUTS_PROJ_V1
2041,MT487,3,75-79,M,UNKNOWN,94729,99395,97021,101642,1.22,14.27,1864,41316,URBAN,32.4,35.2,81.3,2023-06,REG_DEMO_MODEL_B
2044,AT151,3,100+,F,NON_EU,94358,119304,115275,122721,2.19,13.16,-2532,47893,RURAL,28.18,44.6,82.6,2026-09,EUROPOP2024
2047,IE371,3,20-24,T,EU,94796,98802,95440,102304,1.73,7.71,303,42702,INTERMEDIATE,26.32,40.7,79.9,2025-12,REG_DEMO_MODEL_A
2050,EE711,3,45-49,M,NATIONAL,95475,81836,79496,83970,1.84,11.71,-4853,32285,URBAN,37.93,48.6,80.1,2025-03,EUROPOP2023
2022,HR654,3,70-74,F,UNKNOWN,95372,93601,90735,95625,1.94,10.09,4670,34771,RURAL,26.22,46.1,80.0,2024-06,NUTS_PROJ_V1
2025,CY722,3,95-99,T,NON_EU,95405,97587,95604,99964,1.75,9.3,6136,41550,INTERMEDIATE,33.1,44.4,82.9,2023-09,REG_DEMO_MODEL_B
2028,BG990,3,15-19,M,EU,95541,97211,93578,99429,1.98,13.01,-48,46763,URBAN,30.48,36.1,78.8,2026-12,EUROPOP2024
2031,NL375,3,40-44,F,NATIONAL,96466,106338,102852,109598,1.69,11.0,1239,48224,RURAL,33.78,30.6,77.0,2026-03,REG_DEMO_MODEL_A
2034,SK426,3,65-69,T,UNKNOWN,95760,115967,112004,119144,1.99,13.57,352,43345,INTERMEDIATE,21.19,48.6,74.3,2025-06,EUROPOP2023
2037,NL831,3,90-94,M,NON_EU,96408,87310,85219,88958,1.42,11.51,-3998,43380,URBAN,32.7,35.7,82.8,2024-09,NUTS_PROJ_V1
2040,HR319,3,10-14,F,EU,96617,108038,106628,108580,2.06,11.3,-1888,41354,RURAL,39.72,36.9,77.2,2023-12,REG_DEMO_MODEL_B
2043,SK756,3,35-39,T,NATIONAL,97334,112268,108708,115167,1.62,13.25,7181,41636,INTERMEDIATE,32.94,38.7,83.1,2023-03,EUROPOP2024
2046,DE334,3,60-64,M,UNKNOWN,96764,83796,83260,86526,2.11,7.35,-1513,41235,URBAN,27.31,38.2,81.1,2026-06,REG_DEMO_MODEL_A
2049,PL238,3,85-89,F,NON_EU,97104,121523,120360,124667,1.81,7.13,856,53506,RURAL,20.62,35.5,79.9,2025-09,EUROPOP2023
2021,NL504,3,5-9,T,EU,98095,98403,96331,101804,2.19,10.24,4330,48325,INTERMEDIATE,38.55,49.2,83.6,2024-12,NUTS_PROJ_V1
2024,DK998,3,30-34,M,NATIONAL,98169,95660,93414,97525,1.81,7.26,-3149,39177,URBAN,23.51,37.8,81.2,2024-03,REG_DEMO_MODEL_B
2027,DK740,3,55-59,F,UNKNOWN,97798,95714,94963,97207,2.17,7.99,4753,36027,RURAL,28.62,35.8,77.6,2023-06,EUROPOP2024
2030,ES476,3,80-84,T,NON_EU,98432,105290,104502,108832,1.51,9.26,-4368,46496,INTERMEDIATE,39.26,32.6,77.4,2026-09,REG_DEMO_MODEL_A
2033,HR479,3,0-4,M,EU,98602,109841,107124,112226,1.45,10.19,-2080,51593,URBAN,41.09,32.6,74.1,2025-12,EUROPOP2023
2036,BG905,3,25-29,F,NATIONAL,98741,93299,91641,95920,1.58,7.22,3174,42119,RURAL,42.32,36.4,77.0,2025-03,NUTS_PROJ_V1
2039,DE369,3,50-54,T,UNKNOWN,99554,99120,97227,101699,1.46,7.72,-1203,41751,INTERMEDIATE,26.44,40.3,74.9,2024-06,REG_DEMO_MODEL_B
2042,IE682,3,75-79,M,NON_EU,99140,96182,94787,97397,1.28,13.22,4763,47160,URBAN,38.01,38.3,80.9,2023-09,EUROPOP2024
2045,SI810,3,100+,F,EU,100219,83533,82732,86667,1.96,8.78,7759,34122,RURAL,35.1,39.7,75.6,2026-12,REG_DEMO_MODEL_A
2048,MT204,3,20-24,T,NATIONAL,100290,95145,93478,98056,1.78,11.17,6671,38480,INTERMEDIATE,32.96,33.6,80.1,2026-03,EUROPOP2023
2020,DK106,3,45-49,M,UNKNOWN,100062,100062,99007,101052,2.05,7.76,-3106,37277,URBAN,26.85,37.7,74.9,2025-06,NUTS_PROJ_V1
2023,LT586,3,70-74,F,NON_EU,100068,97579,96805,99873,1.8,9.72,4818,47255,RURAL,30.1,36.5,79.0,2024-09,REG_DEMO_MODEL_B
2026,IE718,3,95-99,T,EU,101033,101630,98328,104885,1.43,13.55,6989,40323,INTERMEDIATE,37.77,32.4,82.3,2023-12,EUROPOP2024
2029,LU341,3,15-19,M,NATIONAL,100972,95278,93402,98096,2.18,10.45,-741,43257,URBAN,42.34,34.3,77.5,2023-03,REG_DEMO_MODEL_A
2032,FR283,3,40-44,F,UNKNOWN,101250,107901,103699,109177,1.68,10.16,7902,52684,RURAL,23.43,47.3,79.5,2026-06,EUROPOP2023
2035,ES385,3,65-69,T,NON_EU,101615,135582,132185,136437,1.62,11.01,-2132,52787,INTERMEDIATE,33.03,37.4,75.8,2025-09,NUTS_PROJ_V1
2038,HU246,3,90-94,M,EU,101806,109894,105535,113625,1.58,9.37,-3975,49514,URBAN,21.3,44.5,78.3,2024-12,REG_DEMO_MODEL_B
2041,SK403,3,10-14,F,NATIONAL,102351,125683,124731,129517,1.63,13.04,3386,61760,RURAL,31.82,48.1,77.7,2024-03,EUROPOP2024
2044,BG717,3,35-39,T,UNKNOWN,102452,113703,110319,117731,1.65,12.51,2253,45127,INTERMEDIATE,43.2,42.4,78.2,2023-06,REG_DEMO_MODEL_A
2047,NL142,3,60-64,M,NON_EU,102954,82789,80376,83811,1.54,11.41,4430,37978,URBAN,28.15,46.7,76.8,2026-09,EUROPOP2023
2050,HR120,3,85-89,F,EU,103177,103933,101993,106544,1.97,12.17,-3163,51103,RURAL,34.08,37.1,76.4,2025-12,NUTS_PROJ_V1
2022,CZ858,3,5-9,T,NATIONAL,102517,103738,100437,107637,1.88,8.23,6538,50370,INTERMEDIATE,34.05,43.9,77.1,2025-03,REG_DEMO_MODEL_B
2025,LT525,3,30-34,M,UNKNOWN,103044,100547,97562,102024,2.13,12.82,-126,41318,URBAN,43.36,47.6,80.5,2024-06,EUROPOP2024
2028,CY510,3,55-59,F,NON_EU,103468,109828,107118,112533,2.06,13.18,3032,49249,RURAL,37.17,37.3,79.5,2023-09,REG_DEMO_MODEL_A
2031,DE748,3,80-84,T,EU,104218,110759,106759,113609,1.3,7.54,7209,45983,INTERMEDIATE,37.74,42.8,83.4,2026-12,EUROPOP2023
2034,BG591,3,0-4,M,NATIONAL,104366,118208,113785,119368,1.68,8.41,4968,44858,URBAN,30.2,31.7,74.2,2026-03,NUTS_PROJ_V1
2037,LV885,3,25-29,F,UNKNOWN,104086,128600,125837,133365,1.39,9.47,-3380,50373,RURAL,39.46,34.3,79.2,2025-06,REG_DEMO_MODEL_B
2040,BE892,3,50-54,T,NON_EU,104894,94500,94010,98220,1.22,8.37,-1435,38622,INTERMEDIATE,23.67,40.6,81.9,2024-09,EUROPOP2024
2043,GR341,3,75-79,M,EU,105119,120876,119321,123926,1.77,14.39,3827,58796,URBAN,43.52,37.1,74.1,2023-12,REG_DEMO_MODEL_A
2046,PL1,1,100+,F,NATIONAL,5340,4186,4135,4303,2.05,13.33,4385,1714,RURAL,22.51,32.2,78.9,2023-03,EUROPOP2023
2049,SK43,2,20-24,T,UNKNOWN,4798,4955,4782,5129,2.12,11.39,-1379,1923,INTERMEDIATE,28.09,43.2,80.9,2026-06,NUTS_PROJ_V1
2021,CY281,3,45-49,M,NON_EU,5762,5791,5711,5972,1.61,12.62,7596,2239,URBAN,26.6,32.7,78.1,2025-09,REG_DEMO_MODEL_B
2024,MT10,2,70-74,F,EU,6014,6316,6090,6400,1.74,7.08,3726,3024,RURAL,33.48,40.0,75.4,2024-12,EUROPOP2024
2027,BG4,1,95-99,T,NATIONAL,6386,6361,6133,6553,1.15,7.44,3701,2852,INTERMEDIATE,32.45,32.1,79.3,2024-03,REG_DEMO_MODEL_A
2030,LT183,3,15-19,M,UNKNOWN,5875,5382,5228,5574,1.43,12.36,-1616,2360,URBAN,42.46,49.6,82.3,2023-06,EUROPOP2023
2033,RO963,3,40-44,F,NON_EU,6543,6970,6783,7102,2.11,7.59,6308,3105,RURAL,37.46,38.4,76.6,2026-09,NUTS_PROJ_V1
2036,IT502,3,65-69,T,EU,6611,6327,6210,6514,1.79,11.08,7308,2443,INTERMEDIATE,29.62,37.7,84.0,2025-12,REG_DEMO_MODEL_B
2039,RO64,2,90-94,M,NATIONAL,6961,8404,8093,8544,1.52,9.82,4581,3589,URBAN,23.02,37.3,83.2,2025-03,EUROPOP2024
2042,CY6,1,10-14,F,UNKNOWN,6853,7066,6844,7337,1.77,11.95,3324,2678,RURAL,30.73,33.8,74.3,2024-06,REG_DEMO_MODEL_A
2045,HR7,1,35-39,T,NON_EU,7162,8388,8176,8654,1.52,7.04,-915,3801,INTERMEDIATE,32.07,37.9,76.7,2023-09,EUROPOP2023
2048,HR69,2,60-64,M,EU,7320,10956,10779,11040,2.08,11.68,6412,4715,URBAN,43.62,43.3,76.1,2026-12,NUTS_PROJ_V1
2020,FI8,1,85-89,F,NATIONAL,8048,8048,7904,8172,2.01,7.32,1116,3009,RURAL,19.01,44.1,79.7,2026-03,REG_DEMO_MODEL_B
2023,LU7,1,5-9,T,UNKNOWN,7888,8000,7739,8113,1.64,8.56,-2800,3014,INTERMEDIATE,31.75,32.2,80.7,2025-06,EUROPOP2024
2026,BG595,3,30-34,M,NON_EU,8692,8594,8285,8864,1.35,9.38,-1537,3244,URBAN,33.53,42.1,74.5,2024-09,REG_DEMO_MODEL_A
2029,MT2,1,55-59,F,EU,8757,8921,8781,9234,1.83,11.55,6338,3374,RURAL,33.38,33.6,79.6,2023-12,EUROPOP2023
2032,BE441,3,80-84,T,NATIONAL,9378,9193,9022,9385,1.4,9.4,744,4423,INTERMEDIATE,37.09,47.5,82.1,2023-03,NUTS_PROJ_V1
2035,EE7,1,0-4,M,UNKNOWN,9300,11198,10927,11585,1.24,8.99,-1780,5557,URBAN,44.13,46.9,84.1,2026-06,REG_DEMO_MODEL_B
2038,FI62,2,25-29,F,NON_EU,9122,11646,11488,12046,2.0,12.82,7544,4513,RURAL,23.48,49.9,80.2,2025-09,EUROPOP2024
2041,GR44,2,50-54,T,EU,10028,11294,10867,11545,1.7,10.32,7245,5016,INTERMEDIATE,31.82,45.4,76.3,2024-12,REG_DEMO_MODEL_A
2044,RO292,3,75-79,M,NATIONAL,9790,13293,12970,13745,1.2,12.38,4913,6617,URBAN,42.65,49.8,77.7,2024-03,EUROPOP2023
2047,LU427,3,100+,F,UNKNOWN,10274,15266,15121,15860,1.3,7.96,-2817,6802,RURAL,39.26,50.4,83.7,2023-06,NUTS_PROJ_V1
2050,HU93,2,20-24,T,NON_EU,10069,13433,12975,13909,2.08,11.58,6864,5467,INTERMEDIATE,30.16,32.8,76.8,2026-09,REG_DEMO_MODEL_B
2022,PT13,2,45-49,M,EU,10536,10367,9972,10669,1.86,13.29,-542,5008,URBAN,23.81,35.7,84.5,2025-12,EUROPOP2024
2025,SE6,1,70-74,F,NATIONAL,10745,11587,11384,11669,1.63,11.62,-3382,4342,RURAL,42.94,33.0,76.9,2025-03,REG_DEMO_MODEL_A
2028,HU23,2,95-99,T,UNKNOWN,11724,12101,11865,12472,1.62,12.58,-810,4643,INTERMEDIATE,33.51,34.3,75.9,2024-06,EUROPOP2023
2031,MT637,3,15-19,M,NON_EU,11080,13740,13595,14190,1.3,7.1,6368,5603,URBAN,23.78,38.8,75.1,2023-09,NUTS_PROJ_V1
2034,HU824,3,40-44,F,EU,12098,13649,13119,13863,1.68,7.74,1250,6346,RURAL,30.82,33.1,78.2,2026-12,REG_DEMO_MODEL_B
2037,CY9,1,65-69,T,NATIONAL,12211,14360,13813,14899,1.96,7.24,492,5641,INTERMEDIATE,24.38,48.8,78.3,2026-03,EUROPOP2024
2040,LU79,2,90-94,M,UNKNOWN,11888,10144,9866,10340,1.7,7.23,553,4362,URBAN,34.33,30.6,75.0,2025-06,REG_DEMO_MODEL_A
2043,HU42,2,10-14,F,NON_EU,12249,10689,10618,10953,1.11,12.99,-1458,4397,RURAL,20.42,45.8,74.4,2024-09,EUROPOP2023
2046,LT20,2,35-39,T,EU,12712,11202,10790,11338,1.99,11.25,7177,4753,INTERMEDIATE,41.88,43.8,79.2,2023-12,NUTS_PROJ_V1
2049,HR3,1,60-64,M,NATIONAL,12690,10533,10408,10679,2.06,12.32,-424,4179,URBAN,39.39,51.0,75.2,2023-03,REG_DEMO_MODEL_B
2021,ES791,3,85-89,F,UNKNOWN,12921,13003,12934,13099,2.02,10.41,19,5988,RURAL,19.45,50.5,82.7,2026-06,EUROPOP2024
2024,HU88,2,5-9,T,NON_EU,13777,13724,13586,14239,1.24,9.7,-3479,5593,INTERMEDIATE,18.42,37.2,76.3,2025-09,REG_DEMO_MODEL_A
2027,FI118,3,30-34,M,EU,13851,13667,13159,14191,2.11,11.98,-4722,5674,URBAN,26.24,47.3,82.4,2024-12,EUROPOP2023
2030,SI61,2,55-59,F,NATIONAL,13985,16471,16028,16566,1.84,10.15,5248,7329,RURAL,20.55,49.4,78.9,2024-03,NUTS_PROJ_V1
2033,FR37,2,80-84,T,UNKNOWN,13830,15648,15352,15890,1.71,14.28,6094,7473,INTERMEDIATE,43.6,47.4,77.8,2023-06,REG_DEMO_MODEL_B
2036,AT582,3,0-4,M,NON_EU,14553,14675,14284,14815,1.22,12.01,237,5499,URBAN,32.5,49.4,75.0,2026-09,EUROPOP2024
2039,LT5,1,25-29,F,EU,15074,15925,15778,16558,1.87,12.49,3779,6079,RURAL,24.89,41.7,82.3,2025-12,REG_DEMO_MODEL_A
2042,SE993,3,50-54,T,NATIONAL,15430,23557,23170,23779,1.61,14.49,-4842,10023,INTERMEDIATE,25.27,39.6,74.2,2025-03,EUROPOP2023
2045,CY38,2,75-79,M,UNKNOWN,15517,14365,14203,14717,1.2,11.23,4369,7101,URBAN,25.87,47.8,75.4,2024-06,NUTS_PROJ_V1
2048,SI195,3,100+,F,NON_EU,15447,15030,14455,15405,1.9,10.97,7591,5724,RURAL,44.31,38.3,84.1,2023-09,REG_DEMO_MODEL_B
2020,LV2,1,20-24,T,EU,15890,15890,15364,16150,1.35,11.05,3353,6890,INTERMEDIATE,30.12,50.0,79.3,2026-12,EUROPOP2024
2023,GR40,2,45-49,M,NATIONAL,15620,15466,15369,15765,1.4,8.41,6704,5950,URBAN,22.54,51.0,76.1,2026-03,REG_DEMO_MODEL_A
2026,EE217,3,70-74,F,UNKNOWN,16494,16969,16847,17141,1.12,13.77,-4976,6488,RURAL,38.56,30.0,74.2,2025-06,EUROPOP2023
