soc_poverty_reference_year,soc_poverty_country_iso2,soc_poverty_region_nuts_code,soc_poverty_age_group,soc_poverty_sex,soc_poverty_equivalised_disposable_income_eur,soc_poverty_median_income_eur,soc_poverty_at_risk_of_poverty_rate_pct,soc_poverty_severe_material_deprivation_rate_pct,soc_poverty_low_work_intensity_rate_pct,soc_poverty_arope_rate_pct,soc_poverty_gini_coefficient,soc_poverty_in_work_poverty_rate_pct,soc_poverty_housing_cost_overburden_rate_pct,soc_poverty_energy_poverty_rate_pct,soc_poverty_social_transfer_impact_pp,soc_poverty_minimum_income_adequacy_index,soc_poverty_eurostat_table_code,soc_poverty_survey_weight,soc_poverty_data_extract_date
2019,FI,RO73,18-24,F,24784.2,32604.98,31.25,4.97,12.16,36.6,26.91,15.32,13.42,15.63,11.47,0.2151,ilc_di12,3.2268,2026-01-18
2020,IE,RO97,50-64,T,29880.83,27155.02,27.69,2.97,10.37,30.69,35.18,6.36,7.12,7.29,17.09,0.2288,ilc_lvhl11,2.9258,2025-03-07
2021,MT,BG7,0-17,M,26799.67,29233.44,23.0,4.03,9.86,28.02,21.83,11.0,10.33,8.82,8.19,0.6873,ilc_peps01n,2.5708,2024-05-16
2022,SK,IE690,25-49,F,15624.27,22092.33,8.89,9.18,12.26,13.67,30.75,7.3,4.48,23.39,14.63,0.3972,ilc_li02,3.3717,2024-04-03
2023,BE,SK686,65+,T,10645.71,18260.25,20.12,4.34,12.61,22.32,30.07,13.02,16.79,10.41,6.77,0.3912,ilc_lvho07,2.1536,2024-07-31
2024,DK,PT62,18-24,M,21421.84,22908.13,27.03,8.1,10.35,32.11,39.53,11.79,5.15,4.24,4.93,0.9279,ilc_di12,2.774,2024-06-02
2025,GR,HR26,50-64,F,26599.72,20262.08,25.49,0.85,17.03,29.65,30.53,5.09,17.79,23.13,4.2,0.3766,ilc_lvhl11,2.8829,2024-12-23
2026,LT,BG35,0-17,T,17539.74,16188.52,19.44,5.24,16.5,24.57,26.79,3.45,17.62,5.29,7.17,0.6993,ilc_peps01n,2.6425,2024-11-06
2010,PT,IE3,25-49,M,24686.69,28647.2,20.41,12.04,8.74,26.8,27.49,7.43,15.5,9.81,4.59,0.3998,ilc_li02,1.2887,2024-03-06
2011,SE,SE771,65+,F,38304.2,31636.4,25.44,3.28,4.33,30.01,38.69,2.78,3.61,12.06,13.54,0.9033,ilc_lvho07,3.3653,2025-10-14
2012,CY,DE182,18-24,T,22675.43,25602.81,13.95,0.52,9.45,14.75,36.66,11.99,9.31,4.3,15.22,0.2097,ilc_di12,3.1459,2025-04-16
2013,FR,AT242,50-64,M,10699.36,13859.07,22.88,9.66,14.17,31.95,33.24,11.05,7.48,10.29,4.44,0.6491,ilc_lvhl11,0.3273,2024-06-18
2014,IT,LT48,0-17,F,8225.73,9844.34,12.97,6.8,15.43,19.22,30.03,10.31,18.0,7.47,17.93,0.5513,ilc_peps01n,1.3889,2026-01-31
2015,NL,MT706,25-49,T,17837.97,16853.24,31.66,8.74,7.62,37.05,38.39,10.83,9.98,6.94,8.49,0.3046,ilc_li02,2.4181,2024-01-19
2016,SI,CZ991,65+,M,12780.24,12633.03,19.56,5.63,10.72,22.46,26.43,6.0,7.7,13.55,5.0,0.6955,ilc_lvho07,0.7285,2024-12-15
2017,BG,IE168,18-24,F,14955.04,26473.64,7.77,6.7,3.73,8.99,33.55,10.65,13.74,19.58,5.21,0.6503,ilc_di12,1.2035,2025-10-27
2018,EE,DK593,50-64,T,11561.4,11897.28,12.95,11.85,3.19,19.97,25.53,6.56,8.02,3.48,16.33,0.5131,ilc_lvhl11,3.0313,2025-10-16
2019,HU,EE787,0-17,M,22852.02,29124.37,17.12,8.96,11.66,24.37,39.12,6.39,13.9,22.95,10.8,0.6171,ilc_peps01n,2.238,2025-01-02
2020,LU,IT419,25-49,F,23149.19,31936.81,16.02,0.69,17.95,21.47,22.29,2.26,10.42,15.07,14.11,0.6433,ilc_li02,0.4062,2025-07-07
2021,RO,DK460,65+,T,13493.91,23152.03,22.82,9.41,11.91,30.2,22.37,12.61,5.72,3.59,16.86,0.9491,ilc_lvho07,2.556,2025-07-20
2022,AT,IE588,18-24,M,16780.68,20438.27,30.07,3.61,8.8,31.97,27.51,7.27,16.99,9.45,14.69,0.3268,ilc_di12,3.5529,2025-06-19
2023,CZ,SK79,50-64,F,23624.9,27649.4,23.8,8.27,5.39,27.23,34.08,13.41,11.18,16.06,15.7,0.5435,ilc_lvhl11,3.0797,2025-09-08
2024,DE,IT25,0-17,T,34214.68,27988.39,23.61,1.79,9.27,28.29,26.36,5.05,12.49,23.85,12.81,0.5663,ilc_peps01n,3.1765,2025-12-06
2025,LV,LU753,25-49,M,24531.16,18823.45,24.72,0.65,16.18,30.09,37.94,4.18,14.47,13.86,6.11,0.3056,ilc_li02,2.6658,2025-02-08
2026,PL,CZ184,65+,F,15088.74,13591.28,29.62,1.22,11.26,30.99,36.53,14.37,9.97,6.84,6.2,0.1549,ilc_lvho07,1.6202,2025-10-12
2010,ES,AT90,18-24,T,40034.36,31723.98,25.5,3.54,12.48,28.67,24.54,2.94,19.16,12.74,4.83,0.1624,ilc_di12,0.4373,2024-01-29
2011,HR,BG244,50-64,M,18194.02,27150.64,13.44,9.13,2.27,17.39,31.75,9.13,20.51,7.52,10.16,0.3337,ilc_lvhl11,2.6649,2024-07-07
2012,FI,ES594,0-17,F,31453.02,23346.77,27.01,12.38,14.82,33.56,33.39,9.91,3.45,16.4,11.07,0.355,ilc_peps01n,1.4526,2025-04-18
2013,IE,BE842,25-49,T,24849.63,21716.33,27.85,3.55,14.89,33.3,31.04,9.31,9.51,16.63,6.5,0.1917,ilc_li02,0.5154,2025-06-18
2014,MT,GR645,65+,M,15894.0,19784.51,25.66,6.61,8.68,32.26,41.47,11.32,12.38,18.93,5.37,0.762,ilc_lvho07,1.3388,2025-10-26
2015,SK,CZ383,18-24,F,8730.31,12337.9,23.89,7.78,13.58,30.58,23.27,9.41,19.9,18.89,13.18,0.3743,ilc_di12,3.2935,2024-10-02
2016,BE,SE984,50-64,T,27868.26,31186.18,10.93,7.83,8.93,16.28,35.59,14.96,15.19,10.4,10.18,0.5188,ilc_lvhl11,2.6149,2025-09-26
2017,DK,LV71,0-17,M,33615.56,29341.84,28.63,5.0,9.08,32.16,25.8,9.56,4.0,8.13,5.62,0.9095,ilc_peps01n,2.7116,2026-01-13
2018,GR,CY20,25-49,F,23429.98,20028.27,12.07,7.01,7.97,18.42,20.28,9.06,18.82,6.04,11.23,0.7166,ilc_li02,2.6887,2025-11-02
2019,LT,SI36,65+,T,37571.44,30798.22,17.48,9.64,3.01,20.95,28.28,10.17,17.36,15.81,11.93,0.2924,ilc_lvho07,2.6019,2024-09-28
2020,PT,DE82,18-24,M,7180.86,10996.81,30.11,6.03,12.29,34.87,28.05,3.56,14.4,22.48,12.89,0.4415,ilc_di12,0.7506,2024-12-11
2021,SE,DK13,50-64,F,18194.07,19843.13,18.5,10.48,9.04,23.45,39.85,12.86,5.61,21.91,3.09,0.8186,ilc_lvhl11,3.5329,2025-04-09
2022,CY,SK7,0-17,T,8070.95,11952.58,16.17,7.65,6.65,20.98,22.53,10.9,8.12,21.6,6.54,0.3649,ilc_peps01n,0.8853,2025-04-12
2023,FR,SK965,25-49,M,32182.18,28452.3,11.13,11.46,16.51,17.58,37.34,15.16,9.56,14.07,14.83,0.1701,ilc_li02,1.5926,2025-05-30
2024,IT,BE28,65+,F,23847.63,30401.59,22.87,4.07,11.59,27.9,28.52,3.91,19.36,16.91,5.12,0.7943,ilc_lvho07,0.52,2024-12-01
2025,NL,HR75,18-24,T,23382.14,22637.52,23.7,7.36,16.93,28.28,30.25,8.86,7.01,22.04,6.51,0.3182,ilc_di12,1.7625,2026-02-12
2026,SI,PT6,50-64,M,19257.58,19174.25,23.73,10.38,8.32,30.22,27.85,7.72,9.96,23.37,17.3,0.6624,ilc_lvhl11,3.5892,2026-02-14
2010,BG,SI40,0-17,F,20603.77,25812.76,6.32,2.87,12.34,10.92,39.28,6.64,14.88,20.95,16.75,0.4776,ilc_peps01n,2.1141,2025-05-13
2011,EE,DE31,25-49,T,15245.15,25034.38,11.19,9.36,2.68,15.31,33.32,9.24,10.5,3.37,5.12,0.8847,ilc_li02,1.4493,2025-10-01
2012,HU,SI825,65+,M,9926.24,14280.94,29.19,4.51,15.19,36.62,32.22,10.42,17.99,6.37,10.25,0.576,ilc_lvho07,0.5022,2025-07-05
2013,LU,LT92,18-24,F,34632.92,26036.92,16.98,2.08,17.06,24.27,29.92,11.77,12.34,18.15,16.75,0.4644,ilc_di12,1.8028,2025-05-29
2014,RO,LU55,50-64,T,19921.93,23185.68,30.93,4.17,8.06,35.35,28.52,13.47,16.37,10.02,17.4,0.5119,ilc_lvhl11,1.8245,2024-09-02
2015,AT,DK563,0-17,M,14569.04,15659.52,19.98,5.15,15.47,27.28,22.89,10.7,19.82,20.08,12.34,0.7127,ilc_peps01n,1.5591,2024-05-27
2016,CZ,DE48,25-49,F,17975.52,24330.36,27.28,3.71,17.15,33.87,23.9,2.65,3.79,3.46,7.51,0.8902,ilc_li02,3.39,2024-09-13
2017,DE,FR127,65+,T,19282.24,18652.32,21.19,3.17,15.4,26.84,37.93,2.02,12.61,19.32,15.02,0.9069,ilc_lvho07,2.0412,2025-08-30
2018,LV,GR99,18-24,M,19326.8,25787.0,21.56,11.84,7.93,27.88,40.36,9.15,20.75,22.04,15.18,0.6994,ilc_di12,0.8915,2025-07-17
2019,PL,CZ74,50-64,F,28879.56,22084.55,29.81,8.61,16.16,38.65,40.65,14.59,20.32,10.06,7.88,0.1819,ilc_lvhl11,1.5091,2024-03-07
2020,ES,SE25,0-17,T,7614.17,11016.92,15.57,5.48,3.01,16.18,33.78,9.22,11.84,17.01,4.54,0.17,ilc_peps01n,2.1664,2024-09-09
2021,HR,LV280,25-49,M,19386.56,27256.91,30.75,12.35,4.49,35.03,24.71,6.42,18.61,19.25,15.22,0.3305,ilc_li02,1.7064,2024-08-26
2022,FI,LU16,65+,F,12579.61,13614.89,13.59,8.25,17.26,18.64,28.78,5.03,10.8,22.8,6.24,0.8749,ilc_lvho07,1.088,2025-10-19
2023,IE,IE72,18-24,T,15381.67,12627.42,24.62,2.85,11.97,30.33,22.84,5.82,16.59,4.93,5.46,0.2591,ilc_di12,0.5581,2024-03-24
2024,MT,BE496,50-64,M,30274.53,24158.83,12.18,9.22,3.0,15.7,33.98,15.94,15.25,10.93,17.58,0.5749,ilc_lvhl11,1.3278,2024-11-21
2025,SK,HU15,0-17,F,8201.62,13738.42,15.48,11.07,9.32,22.5,39.65,5.39,18.76,22.7,10.28,0.8453,ilc_peps01n,1.5704,2024-11-10
2026,BE,BE45,25-49,T,43568.35,32508.75,30.18,6.98,16.01,38.63,30.05,5.59,5.36,20.36,15.69,0.8502,ilc_li02,2.3263,2025-07-18
2010,DK,AT40,65+,M,30852.63,24840.69,19.86,2.33,10.54,21.09,20.2,9.67,5.1,18.48,4.43,0.9036,ilc_lvho07,3.5483,2026-01-18
2011,GR,ES8,18-24,F,14664.31,11595.85,7.31,11.44,2.62,10.53,40.45,12.86,3.8,13.15,10.58,0.7858,ilc_di12,2.9948,2024-12-24
2012,LT,PT123,50-64,T,31035.16,23025.74,25.6,9.16,15.92,31.54,40.47,15.26,20.59,5.5,13.11,0.5135,ilc_lvhl11,2.1401,2025-04-16
2013,PT,HR360,0-17,M,15686.29,20457.34,7.94,2.08,11.85,9.17,24.05,5.27,7.54,4.94,14.66,0.9296,ilc_peps01n,2.9046,2024-09-08
2014,SE,PL876,25-49,F,33198.76,31472.67,15.65,3.38,7.32,20.15,34.82,4.98,20.12,15.32,3.5,0.732,ilc_li02,0.5954,2024-08-27
2015,CY,FR513,65+,T,9259.54,16115.24,27.24,8.03,10.36,34.92,37.56,5.73,13.25,11.44,14.49,0.64,ilc_lvho07,2.6328,2024-08-12
2016,FR,LU107,18-24,M,11183.02,14587.78,27.03,9.33,16.41,33.08,40.41,3.9,8.17,19.76,3.02,0.8008,ilc_di12,3.5378,2026-02-04
2017,IT,PL32,50-64,F,26793.61,28254.01,27.91,10.36,7.39,34.44,23.74,5.97,15.36,5.03,16.64,0.3711,ilc_lvhl11,3.5104,2025-06-24
2018,NL,PT7,0-17,T,33528.55,28870.08,24.46,10.23,4.06,26.63,35.09,6.2,7.76,15.37,15.65,0.8691,ilc_peps01n,1.8591,2025-04-13
2019,SI,EE927,25-49,M,40993.36,31237.21,16.33,2.26,12.16,19.83,27.81,5.04,5.53,4.31,6.82,0.6119,ilc_li02,0.7741,2024-12-19
2020,BG,BE972,65+,F,28356.92,33293.27,22.1,9.36,15.93,27.71,36.74,9.39,17.52,2.78,16.64,0.7603,ilc_lvho07,2.1449,2024-05-27
2021,EE,SE82,18-24,T,18418.65,18130.45,21.35,3.17,17.49,28.78,37.06,5.97,10.16,20.27,4.0,0.3858,ilc_di12,1.2793,2025-10-24
2022,HU,BG31,50-64,M,21714.0,16868.8,12.09,3.29,12.45,18.15,22.97,11.29,19.32,17.35,7.27,0.7622,ilc_lvhl11,1.7615,2025-10-03
2023,LU,RO75,0-17,F,24807.03,23131.29,24.02,0.7,2.64,26.36,33.2,2.79,3.73,6.49,5.74,0.5921,ilc_peps01n,3.1318,2024-11-03
2024,RO,HR8,25-49,T,11152.63,9926.48,11.64,3.8,13.89,18.73,34.18,10.31,5.62,20.04,14.6,0.43,ilc_li02,3.1848,2024-04-04
2025,AT,NL567,65+,M,8476.0,11831.19,18.67,4.81,5.03,20.07,39.49,6.51,3.61,4.8,17.3,0.9455,ilc_lvho07,3.1761,2025-04-24
2026,CZ,DK86,18-24,F,30569.46,30233.74,25.39,3.32,11.22,29.91,25.14,6.21,19.6,18.6,5.23,0.5137,ilc_di12,1.515,2025-02-05
2010,DE,HU58,50-64,T,10156.08,9681.56,8.08,11.83,13.83,17.12,41.49,14.52,3.98,18.92,14.37,0.5305,ilc_lvhl11,3.0993,2025-12-30
2011,LV,DE9,0-17,M,12491.39,22139.21,30.77,4.81,13.85,34.5,40.37,5.06,13.63,4.98,5.19,0.7948,ilc_peps01n,2.6467,2025-10-19
2012,PL,ES23,25-49,F,31143.48,30168.77,10.52,6.16,7.86,15.93,40.48,14.79,9.81,3.89,9.44,0.7361,ilc_li02,3.0879,2024-02-07
2013,ES,HR71,65+,T,20526.52,29318.39,26.5,11.64,11.92,33.45,30.91,14.88,6.83,9.59,11.14,0.7349,ilc_lvho07,0.4023,2024-04-09
2014,HR,DE588,18-24,M,14590.35,17385.47,29.54,10.06,2.28,34.19,35.04,7.94,17.3,17.92,12.29,0.6175,ilc_di12,2.4352,2024-07-14
2015,FI,RO2,50-64,F,32231.87,31910.96,23.12,10.66,9.73,27.98,37.4,15.53,11.92,13.97,14.51,0.6059,ilc_lvhl11,1.9206,2024-08-08
2016,IE,CY895,0-17,T,19615.89,24485.47,27.64,2.79,7.09,32.55,35.34,3.89,10.74,8.29,14.75,0.7319,ilc_peps01n,3.3145,2025-11-25
2017,MT,AT621,25-49,M,7056.05,12157.39,12.98,4.34,8.8,18.31,24.98,12.81,16.0,20.58,5.86,0.523,ilc_li02,3.336,2024-12-14
2018,SK,ES1,65+,F,22630.25,22977.25,11.53,10.95,1.99,13.74,37.33,14.3,18.53,5.92,3.88,0.4384,ilc_lvho07,0.7219,2025-05-19
2019,BE,SI49,18-24,T,11978.53,19543.53,28.82,9.6,2.97,33.36,20.97,4.24,3.12,12.92,11.23,0.7518,ilc_di12,3.5151,2025-08-24
2020,DK,LU5,50-64,M,13252.74,14537.19,7.8,6.14,1.22,12.5,36.24,13.0,17.45,16.68,7.45,0.2944,ilc_lvhl11,2.2439,2024-02-12
2021,GR,EE2,0-17,F,26577.72,22268.02,12.35,8.51,17.42,19.38,27.3,9.59,20.55,13.06,3.65,0.6932,ilc_peps01n,1.218,2025-01-05
2022,LT,IT303,25-49,T,23327.92,19497.55,6.28,4.22,12.28,12.43,23.75,6.68,13.29,21.4,11.41,0.5948,ilc_li02,2.341,2025-05-15
2023,PT,CY853,65+,M,26961.79,33931.54,14.17,8.07,17.15,18.84,35.82,7.78,19.72,14.75,8.47,0.1713,ilc_lvho07,0.7803,2025-01-05
2024,SE,PL525,18-24,F,16916.91,16075.68,12.05,3.25,8.2,13.67,39.59,14.82,6.77,7.93,13.5,0.7539,ilc_di12,0.9118,2024-08-28
2025,CY,HR772,50-64,T,13685.22,16702.76,15.01,2.4,14.65,18.9,24.49,4.65,5.32,5.83,8.46,0.8006,ilc_lvhl11,2.8377,2024-10-02
2026,FR,CZ706,0-17,M,15097.13,22256.06,27.72,1.53,17.26,31.87,34.1,4.43,12.62,12.16,14.3,0.6507,ilc_peps01n,3.1454,2024-09-21
2010,IT,DE6,25-49,F,27114.33,29161.45,21.11,4.35,2.96,22.79,41.25,7.99,11.06,8.65,14.25,0.6547,ilc_li02,0.6302,2024-11-09
2011,NL,BG918,65+,T,9806.81,16472.5,18.61,12.44,12.63,24.99,20.54,8.0,12.85,19.47,5.46,0.6621,ilc_lvho07,0.9273,2024-05-27
2012,SI,LU515,18-24,M,22167.26,29085.35,26.33,2.18,6.55,27.1,36.96,2.37,16.7,12.04,5.83,0.5067,ilc_di12,0.9672,2025-08-08
2013,BG,LV829,50-64,F,12950.78,21478.79,29.27,6.85,13.09,34.91,34.27,2.79,7.48,6.95,14.33,0.7247,ilc_lvhl11,3.1041,2025-03-14
2014,EE,HR957,0-17,T,29664.35,32403.51,29.87,5.95,11.1,36.16,26.62,11.59,5.98,7.08,4.71,0.3215,ilc_peps01n,2.9337,2024-03-17
2015,HU,SK43,25-49,M,31603.04,24271.87,11.94,5.89,3.8,12.75,30.2,2.13,15.4,5.81,10.37,0.2693,ilc_li02,1.0142,2025-11-23
2016,LU,MT5,65+,F,24393.93,19278.51,12.85,5.56,16.92,20.18,21.78,15.6,8.33,3.8,9.06,0.6236,ilc_lvho07,3.0243,2024-08-23
2017,RO,MT49,18-24,T,12887.11,12479.74,21.95,4.26,7.3,23.15,30.9,4.49,15.07,17.12,6.88,0.359,ilc_di12,1.4886,2025-08-17
2018,AT,NL19,50-64,M,8724.82,10855.68,18.87,8.95,16.62,26.36,31.27,4.03,10.07,12.22,4.24,0.2123,ilc_lvhl11,1.5166,2024-02-01
2019,CZ,RO69,0-17,F,22837.5,24536.28,22.96,8.75,13.67,30.64,38.08,8.27,3.75,15.86,12.46,0.4892,ilc_peps01n,2.4974,2024-09-12
2020,DE,AT41,25-49,T,14824.51,25325.65,26.55,4.2,13.98,32.72,23.66,12.53,14.9,7.52,16.71,0.8261,ilc_li02,1.2019,2025-10-18
2021,LV,FI502,65+,M,9571.75,16896.59,18.85,7.37,9.62,23.11,33.42,15.75,5.72,12.97,14.93,0.2606,ilc_lvho07,0.9345,2024-12-01
2022,PL,BE8,18-24,F,14456.46,15928.14,20.43,4.57,12.72,27.59,24.45,5.68,14.43,9.25,17.67,0.4768,ilc_di12,1.5639,2025-06-27
2023,ES,DK7,50-64,T,27016.16,33592.76,17.06,10.04,5.82,21.68,30.62,9.73,4.27,15.49,13.71,0.5515,ilc_lvhl11,1.42,2026-01-21
2024,HR,CY85,0-17,M,24465.3,19285.18,25.76,6.3,1.08,28.87,34.03,7.19,8.44,10.22,15.79,0.8024,ilc_peps01n,1.3665,2025-05-21
2025,FI,CZ88,25-49,F,8637.99,14260.09,19.25,7.74,11.78,27.09,20.18,5.39,5.49,15.92,15.79,0.8642,ilc_li02,3.062,2025-02-27
2026,IE,LV2,65+,T,10143.17,11606.39,6.0,2.38,17.15,9.83,20.15,8.15,4.99,9.77,6.55,0.1608,ilc_lvho07,0.784,2025-10-21
2010,MT,HR216,18-24,M,9419.75,16017.88,12.37,3.41,5.97,13.26,30.05,8.64,7.15,19.43,7.79,0.5704,ilc_di12,2.2522,2024-12-10
2011,SK,RO76,50-64,F,13844.02,20064.82,26.52,3.13,11.45,30.15,20.22,2.83,5.61,5.82,6.38,0.475,ilc_lvhl11,1.1385,2025-05-16
2012,BE,SI10,0-17,T,21060.67,21872.47,21.59,6.99,16.38,26.22,31.59,3.33,11.89,23.16,14.19,0.5766,ilc_peps01n,2.0262,2025-10-06
2013,DK,CY752,25-49,M,21258.89,23077.45,9.29,8.81,10.52,15.9,41.05,3.8,13.93,17.72,5.21,0.4156,ilc_li02,3.2574,2024-12-17
2014,GR,SK15,65+,F,17246.23,18842.51,16.72,8.85,5.52,22.08,38.18,14.53,10.82,3.29,17.16,0.7411,ilc_lvho07,1.8817,2025-04-02
2015,LT,HU3,18-24,T,17203.92,26477.74,19.32,11.34,3.01,24.95,37.88,14.51,10.21,11.66,12.0,0.7576,ilc_di12,1.2393,2024-10-04
2016,PT,NL78,50-64,M,22913.59,29986.25,10.73,4.19,8.28,12.52,22.23,14.52,7.31,15.19,13.48,0.9481,ilc_lvhl11,2.0977,2025-11-01
2017,SE,PL96,0-17,F,41935.96,31667.27,31.98,8.77,1.91,36.83,35.69,8.53,17.43,11.04,3.5,0.5435,ilc_peps01n,2.0893,2025-09-11
2018,CY,LV59,25-49,T,14415.31,25265.52,27.39,5.51,6.16,28.69,30.46,6.67,15.14,15.52,10.69,0.7976,ilc_li02,2.2329,2024-01-31
2019,FR,RO77,65+,M,25468.98,26733.63,31.16,4.98,2.83,31.35,31.79,3.08,11.33,6.03,17.86,0.3765,ilc_lvho07,1.1941,2025-09-02
2020,IT,SK272,18-24,F,20097.8,20755.02,13.11,0.62,12.4,14.07,36.7,7.47,15.02,18.73,5.42,0.9005,ilc_di12,2.2698,2024-12-28
2021,NL,FI678,50-64,T,27206.42,26119.06,30.97,6.11,6.5,36.27,34.31,2.43,5.74,5.36,14.83,0.9056,ilc_lvhl11,3.0739,2024-08-08
2022,SI,SE5,0-17,M,13551.5,21343.19,28.76,3.48,4.86,32.85,37.66,2.03,20.12,5.96,6.58,0.7576,ilc_peps01n,0.5905,2025-10-26
2023,BG,DE197,25-49,F,37793.97,30167.28,20.2,3.33,3.51,22.3,38.54,12.04,4.41,15.78,6.25,0.2827,ilc_li02,1.6816,2025-10-01
2024,EE,LV225,65+,T,9048.8,13507.6,12.48,4.99,8.27,17.17,36.19,10.31,7.15,2.78,10.45,0.281,ilc_lvho07,1.794,2024-12-14
2025,HU,LT888,18-24,M,12296.79,12960.07,23.48,11.89,2.96,30.58,23.03,5.32,17.06,14.12,15.67,0.744,ilc_di12,0.5498,2024-07-18
2026,LU,CZ567,50-64,F,11137.72,17477.75,17.21,4.99,9.55,20.81,33.14,5.14,10.58,17.16,17.76,0.5793,ilc_lvhl11,3.0967,2024-12-12
2010,RO,SI85,0-17,T,37622.58,30578.28,23.54,4.17,11.4,26.62,29.83,3.76,13.54,4.42,13.63,0.5102,ilc_peps01n,1.4101,2024-08-31
2011,AT,MT53,25-49,M,18549.58,17000.23,26.53,2.53,5.98,29.9,37.88,7.76,18.44,20.01,14.2,0.3558,ilc_li02,2.1259,2025-09-19
2012,CZ,LV874,65+,F,14130.06,11873.79,13.39,1.71,9.35,18.5,20.37,4.51,16.75,21.32,4.03,0.3413,ilc_lvho07,1.3702,2024-01-26
2013,DE,NL580,18-24,T,22149.76,28696.77,7.06,8.38,7.27,13.06,33.36,6.07,18.05,6.72,9.38,0.7854,ilc_di12,0.6131,2024-09-07
2014,LV,IE48,50-64,M,10515.03,12674.92,20.85,10.33,17.05,26.47,39.14,7.44,16.62,23.93,14.71,0.6616,ilc_lvhl11,1.4561,2025-12-06
2015,PL,SE84,0-17,F,17038.08,12870.58,13.31,7.72,8.66,19.71,37.18,12.01,10.16,3.99,8.66,0.6416,ilc_peps01n,1.7403,2025-04-13
2016,ES,GR822,25-49,T,14194.87,15475.61,13.79,9.66,14.2,19.64,29.1,10.75,7.74,2.74,11.55,0.5005,ilc_li02,1.0576,2024-11-13
2017,HR,SE90,65+,M,44866.42,33519.94,30.46,5.74,3.92,35.44,27.53,6.63,3.08,12.59,6.28,0.7302,ilc_lvho07,1.6477,2025-04-24
2018,FI,SE69,18-24,F,18017.46,25815.2,23.38,10.22,9.8,28.59,35.54,10.98,10.51,4.35,15.61,0.5369,ilc_di12,3.4086,2025-05-28
2019,IE,BG38,50-64,T,18646.78,27799.33,23.83,7.03,17.55,32.83,22.51,2.38,9.66,6.6,10.05,0.5812,ilc_lvhl11,1.3103,2026-01-12
2020,MT,CZ183,0-17,M,15359.96,20395.66,29.22,8.15,16.53,34.6,32.68,8.21,20.33,12.94,7.38,0.3196,ilc_peps01n,1.0632,2024-03-29
2021,SK,CZ35,25-49,F,21134.97,28969.03,17.96,3.39,4.96,20.51,35.22,12.56,10.08,18.63,9.8,0.8061,ilc_li02,1.2754,2025-10-20
2022,BE,IE439,65+,T,36074.96,31400.05,21.14,9.42,1.57,24.59,33.19,12.47,13.55,8.38,11.15,0.382,ilc_lvho07,3.1946,2026-01-09
2023,DK,MT71,18-24,M,40319.87,31811.65,27.53,4.1,6.43,29.79,25.05,15.9,3.99,10.65,7.07,0.4766,ilc_di12,3.2655,2024-08-07
2024,GR,RO997,50-64,F,21131.22,22515.41,11.21,3.55,5.84,11.83,24.44,7.15,8.74,22.8,11.19,0.158,ilc_lvhl11,1.1786,2024-09-30
2025,LT,MT66,0-17,T,29981.2,25358.27,31.31,7.22,2.68,34.67,33.43,14.65,19.89,1.06,9.05,0.2242,ilc_peps01n,0.5276,2025-01-07
2026,PT,EE74,25-49,M,11077.62,17180.43,15.81,0.76,12.98,18.01,35.63,5.03,19.05,1.37,5.6,0.3589,ilc_li02,2.3647,2025-04-08
2010,SE,CY156,65+,F,38920.2,33093.14,24.99,4.36,9.84,30.69,29.38,8.34,5.1,5.96,15.56,0.8976,ilc_lvho07,0.7989,2024-10-18
2011,CY,FI9,18-24,T,23847.86,20692.64,19.76,6.52,5.61,23.35,37.51,8.46,16.14,18.52,10.11,0.2337,ilc_di12,1.7532,2025-12-10
2012,FR,ES6,50-64,M,10300.76,12838.49,16.75,2.11,2.91,18.47,38.55,15.69,17.4,22.0,7.95,0.7478,ilc_lvhl11,3.2176,2024-10-25
2013,IT,CZ276,0-17,F,25925.39,30461.52,18.63,12.07,16.88,27.93,35.57,10.61,4.91,22.02,16.81,0.7107,ilc_peps01n,2.4876,2025-06-28
2014,NL,FI72,25-49,T,10571.72,12682.22,8.55,2.21,7.36,9.01,27.12,3.41,16.47,2.95,8.22,0.3171,ilc_li02,3.5959,2025-05-18
2015,SI,BE580,65+,M,27017.85,30201.17,17.94,1.14,8.54,22.79,38.03,14.56,4.23,10.27,17.74,0.4123,ilc_lvho07,0.929,2024-07-09
2016,BG,LV14,18-24,F,11556.11,17218.43,27.31,3.57,10.74,31.83,25.39,12.02,3.57,8.68,6.93,0.7311,ilc_di12,0.8149,2025-01-22
2017,EE,GR9,50-64,T,17327.98,28408.72,13.57,1.85,10.68,14.96,25.77,15.73,13.44,15.4,3.69,0.8021,ilc_lvhl11,0.5606,2024-06-01
2018,HU,HU5,0-17,M,26625.34,22763.14,30.13,4.26,2.35,29.94,36.48,10.04,7.15,13.47,8.49,0.4193,ilc_peps01n,0.4588,2024-07-22
2019,LU,RO48,25-49,F,8297.99,10199.85,12.68,11.47,3.74,19.3,39.52,11.25,8.73,17.65,15.88,0.9093,ilc_li02,2.6674,2024-06-14
2020,RO,IE495,65+,T,11980.13,17384.83,30.76,10.43,11.07,36.24,28.1,2.88,16.59,14.76,13.76,0.4914,ilc_lvho07,1.3364,2024-03-07
2021,AT,CZ21,18-24,M,17352.52,22552.91,24.64,11.97,17.18,33.8,29.79,6.69,16.57,7.52,11.99,0.8816,ilc_di12,2.9705,2025-05-22
