tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_naics,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_usd,tax_incent_credits_claimed_usd,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_usd,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2023,INC000001705,REBATE,445110,LOCATION,2014,1768,1362545480.44,1060142691.82,10911,79737,79737,6883874542.02,605106570.69,0,85804266.67,66.48,13295.49,1,2027-09-27
2013,INC000001706,CREDIT,237310,TRAINING,6,3,406782381.28,82815959.63,156893,80032,67321,14107798973.04,8365488256.03,0,14295651.79,20.08,1230.17,0,2032-07-23
2014,INC000001707,CREDIT,445110,TRAINING,292,106,223370185.87,167282198.15,160661,114436,75025,3408782857.24,179690321.36,0,28204045.5,79.8,2229.69,1,2032-04-07
2013,INC000001708,ABATEMENT,423450,HIRING,1171,360,1434591783.87,1207881636.5,132754,83662,55424,28813022.49,1798624.98,0,87566881.74,31.08,21793.48,0,2033-09-23
2021,INC000001709,ABATEMENT,621111,CAPEX,459,160,653946205.4,74709074.58,96919,64522,58866,11094322550.81,11026564939.52,0,52225190.86,52.79,1269.14,0,2031-05-03
2009,INC000001710,ABATEMENT,541511,CLEAN_ENERGY,791,512,1325638493.16,858541897.76,55064,46192,35306,22433311453.12,1454509458.23,1,79555980.67,27.07,24317.17,0,2027-12-25
2013,INC000001711,OTHER,445110,CAPEX,579,419,493563423.56,227872465.1,241294,67729,28252,6038098931.04,5440399576.6,0,13129233.54,0.24,8065.71,0,2035-12-03
2020,INC000001712,REBATE,334111,LOCATION,2228,990,359345338.56,277595612.73,63506,83444,55833,5458625488.19,2759221543.71,0,14686726.76,51.95,4971.89,0,2030-06-12
2025,INC000001713,EXEMPTION,237310,HIRING,2250,1991,564634158.36,311886237.9,240204,86415,47589,15494222612.25,8168176061.92,0,46076927.96,3.25,6553.75,1,2027-08-11
2025,INC000001714,CREDIT,445110,CLEAN_ENERGY,544,446,685572044.16,522660326.46,182586,4234,4234,6753649118.19,6263346474.67,0,85000662.28,31.59,123443.63,0,2031-04-27
2014,INC000001715,GRANT,311811,EXPORT,1178,673,619138717.4,90914483.95,37954,80238,80238,385576444.34,266707596.42,0,46888111.29,39.9,1133.06,1,2026-04-29
2013,INC000001716,CREDIT,445110,LOCATION,2124,1779,1069803295.58,361209803.63,207204,29032,8875,13016174990.81,11182351799.08,0,62279302.38,80.99,40699.7,1,2026-10-08
2010,INC000001717,EXEMPTION,311811,EXPORT,1044,422,367842890.76,222118448.55,116470,9096,2194,14740372775.81,10398446916.59,0,40225329.52,16.52,101239.04,1,2035-04-26
2013,INC000001718,GRANT,236220,BROWNFIELD,2083,1833,1561703668.71,489872319.99,125490,83951,60600,13651544822.77,12763141769.47,0,177888274.44,90.11,8083.7,1,2026-10-01
2025,INC000001719,CREDIT,621111,HIRING,1672,1279,336465468.16,49418800.39,55397,86105,86105,19698725308.6,10033590340.07,0,7742481.75,6.58,573.94,1,2026-01-07
2012,INC000001720,LOAN,334111,TRAINING,60,55,88615757.65,40529568.53,58038,83938,9653,4121203318.58,730767544.33,0,12388374.61,82.78,4198.65,1,2034-03-02
2010,INC000001721,EXEMPTION,445110,LOCATION,2076,968,176786822.97,106885183.07,19338,39993,21146,4756723590.26,3796425460.92,0,5599900.56,5.81,5054.63,1,2028-07-02
2017,INC000001722,REBATE,621111,CAPEX,1643,728,883812872.87,857812668.58,229432,50270,39318,15746965699.18,11464222104.44,0,53957445.54,70.2,21817.3,0,2029-01-08
2008,INC000001723,EXEMPTION,541511,TRAINING,1431,1177,966974330.67,617494270.11,109026,44425,12932,853505037.46,107187908.57,0,121993899.42,56.69,47749.32,1,2026-11-04
2011,INC000001724,CREDIT,237310,R_AND_D,1291,849,1333303570.91,587320377.85,54291,105244,104268,5769279826.17,2390001527.75,0,173504974.7,31.24,5632.8,1,2027-09-08
2017,INC000001725,LOAN,237310,EXPORT,463,383,1806291230.59,1811091973.65,52187,2699,783,5075849429.71,3289512263.54,0,84650893.55,49.8,2313016.57,0,2030-09-10
2008,INC000001726,CREDIT,334111,BROWNFIELD,1492,1103,1725800753.62,407902235.79,89633,10259,7426,7266414579.1,3905257101.7,0,132764099.8,63.95,54928.93,0,2028-11-23
2017,INC000001727,GRANT,541511,EXPORT,1838,702,1291706029.94,829992888.15,126511,17073,9359,18296667039.91,14823007374.15,0,65390696.51,70.72,88683.93,0,2026-12-06
2017,INC000001728,GRANT,334111,BROWNFIELD,1635,434,864164609.13,255953309.77,136740,38948,35680,17492097199.74,1380465177.28,0,117572167.27,34.52,7173.58,0,2035-09-09
2020,INC000001729,CREDIT,454110,CAPEX,1892,1431,991819041.34,259022453.53,92371,38672,5489,18639723381.57,11085651549.37,0,28964628.53,44.92,47189.37,0,2027-05-08
2017,INC000001730,GRANT,454110,TRAINING,2255,2031,68910953.94,39678483.36,205360,50409,46843,12840650209.13,11610656823.18,1,302594.85,72.49,847.05,0,2034-07-27
2024,INC000001731,REBATE,423450,INNOVATION,210,98,1021209972.72,490144199.01,188331,26329,13516,11066945371.46,8442634968.83,0,135244281.8,23.33,36264.0,1,2029-01-31
2021,INC000001732,CREDIT,237310,INNOVATION,421,112,1419770217.04,954634999.95,180866,29973,29460,20299163932.05,18388629542.76,0,1490786.19,80.6,32404.45,1,2033-03-08
2008,INC000001733,ABATEMENT,311811,EXPORT,2387,1405,1102742543.99,778956121.27,21089,31107,22671,7044274883.15,2868113013.09,0,136181106.11,84.78,34359.14,1,2027-02-01
2014,INC000001734,CREDIT,621111,BROWNFIELD,1740,735,1402111404.88,318645068.22,165536,58929,38184,16926865685.47,4065616686.63,0,3355424.59,99.63,8344.99,0,2033-07-24
2023,INC000001735,GRANT,334111,CAPEX,599,451,410906699.09,346819641.38,182666,82514,60235,12004995693.41,3606920162.84,0,7395814.01,42.49,5757.78,0,2026-08-18
2016,INC000001736,CREDIT,445110,CAPEX,1682,1489,253948603.15,57820630.56,231272,73769,41366,3586199652.24,1226324565.96,0,17724602.33,96.79,1397.78,1,2027-03-27
2022,INC000001737,CREDIT,334111,EXPORT,1539,495,1331702066.55,818032916.18,18699,2743,1622,3108725741.66,2381858144.18,0,145088171.39,89.53,504335.95,0,2030-04-27
2014,INC000001738,CREDIT,423450,R_AND_D,1336,511,269947416.97,129116300.87,210332,112282,83574,1965233423.03,372512285.71,0,23030492.48,78.68,1544.93,1,2031-08-19
2019,INC000001739,CREDIT,325412,CLEAN_ENERGY,1780,652,1040916557.83,410778992.56,65892,81731,73511,21842754327.02,17889499124.36,0,32739305.52,8.11,5587.99,0,2030-03-24
2010,INC000001740,GRANT,237310,HIRING,1331,344,5825983.13,4898655.65,248706,72383,37852,17267413037.54,11487992345.32,0,417945.77,85.29,129.42,1,2035-07-20
2018,INC000001741,EXEMPTION,512110,R_AND_D,483,401,591271696.87,608033212.46,122434,107585,101146,12444295582.74,6929138134.55,0,39404321.24,66.61,6011.44,1,2034-05-19
2010,INC000001742,REBATE,621111,LOCATION,2172,1822,59295630.25,35679780.15,70030,102127,99749,22905863376.67,8273522368.29,0,269818.76,51.37,357.7,0,2029-08-30
2010,INC000001743,ABATEMENT,423450,HIRING,920,639,1669370415.51,770642142.93,146223,18856,10613,24911629676.67,3518840359.37,0,56610675.11,48.02,72613.04,0,2034-10-05
2010,INC000001744,ABATEMENT,512110,CAPEX,1442,820,917051728.63,217963550.62,209211,39132,30498,17932360317.25,17880355025.99,0,78643756.11,64.31,7146.81,1,2027-02-18
2019,INC000001745,CREDIT,236220,TRAINING,2317,1791,1993810378.13,508605147.67,125091,57056,44089,15845443909.12,11527092894.59,0,19194488.3,81.85,11535.87,0,2032-04-14
2014,INC000001746,CREDIT,621111,BROWNFIELD,2312,1317,969708745.33,363521258.3,230360,67576,17309,1040623255.18,631016811.79,0,49127448.29,58.93,21001.86,1,2032-12-28
2019,INC000001747,EXEMPTION,423450,CLEAN_ENERGY,1040,853,1863951539.45,1467453644.53,227146,31950,4039,14472103454.82,2072728248.96,0,31768454.23,5.91,363321.03,0,2033-09-30
2021,INC000001748,CREDIT,512110,CAPEX,748,441,443740024.81,351943291.95,200001,24553,24553,23775329571.58,17983195683.84,0,66470562.5,59.9,14334.02,0,2033-05-01
2017,INC000001749,CREDIT,541511,BROWNFIELD,1249,973,1435003313.29,1127923377.82,242286,80753,22406,18041349003.57,6357350321.2,0,201545529.21,92.6,50340.24,0,2029-10-12
2022,INC000001750,CREDIT,423450,HIRING,553,496,1470376195.79,1230392079.52,193387,19945,19490,11228962088.99,6836373417.42,0,177876550.11,14.18,63129.4,0,2030-09-23
2013,INC000001751,CREDIT,334111,LOCATION,1896,510,1564401130.89,724637183.02,223304,2164,1991,3352275128.79,3061288301.06,0,78017567.87,53.68,363956.4,0,2035-05-20
2016,INC000001752,LOAN,454110,BROWNFIELD,1645,802,885193316.18,826002116.5,214699,72092,65677,13466432514.66,8116332888.88,0,128218864.98,72.35,12576.73,0,2034-11-01
2008,INC000001753,GRANT,311811,LOCATION,1217,403,1675344855.12,1708713281.85,74065,111109,49987,13086199788.04,812138663.64,0,187514501.59,38.03,34183.15,0,2032-05-29
2009,INC000001754,CREDIT,334111,CLEAN_ENERGY,2246,1843,1622332816.56,305407320.96,95229,28846,27383,10367969230.91,10373206644.27,0,43866774.73,96.45,11153.17,0,2033-03-08
2021,INC000001755,CREDIT,237310,BROWNFIELD,697,197,287216558.86,285201593.83,185730,71071,35009,24294318313.05,2007636856.26,0,42736273.45,99.38,8146.52,0,2028-11-08
2018,INC000001756,ABATEMENT,454110,EXPORT,815,702,1399300983.6,795681925.99,120356,36286,31422,10040380795.72,2060088652.89,0,112554233.22,58.28,25322.45,1,2035-08-11
2022,INC000001757,CREDIT,541511,HIRING,1957,1774,1757928125.17,330291212.78,227008,30156,16356,2586298986.18,1625048894.69,0,106378020.93,26.94,20193.89,1,2028-03-02
2009,INC000001758,CREDIT,334111,EXPORT,649,559,858571252.92,355018172.61,8801,24473,8880,3670625562.02,1522057199.78,0,101168026.98,74.08,39979.52,0,2029-04-09
2023,INC000001759,ABATEMENT,454110,INNOVATION,1527,486,1548171720.19,861289060.21,161222,87863,83503,8200561270.38,4832461413.45,0,166370257.93,57.36,10314.47,0,2028-11-27
2024,INC000001760,ABATEMENT,512110,EXPORT,1070,578,547866664.89,147335994.84,29182,82045,67187,2739317893.7,459959361.78,1,65349758.46,52.83,2192.92,0,2031-05-10
2022,INC000001761,REBATE,541511,LOCATION,1101,606,61470099.79,44879458.62,62499,38396,26450,15994604368.97,10413016794.79,0,4667478.96,5.11,1696.77,0,2034-04-10
2023,INC000001762,CREDIT,423450,BROWNFIELD,1414,1166,1065026459.62,941515452.61,175150,60020,25576,3270627206.68,3127543014.07,1,31868959.49,46.82,36812.46,0,2029-11-16
2008,INC000001763,ABATEMENT,311811,R_AND_D,490,291,1655589497.31,582449082.7,96508,656,291,1178372285.17,1120495485.76,0,48234200.04,75.64,2001543.24,0,2033-01-29
2008,INC000001764,ABATEMENT,325412,BROWNFIELD,329,253,1582198180.73,158808006.21,119866,66228,29137,7900641759.16,3063872326.41,0,104272448.54,80.59,5450.39,1,2026-05-23
2010,INC000001765,ABATEMENT,311811,CAPEX,1626,1188,986770890.49,348968848.34,171893,65985,39123,21332177269.23,10061409641.43,0,59934260.19,41.78,8919.79,0,2033-11-12
2018,INC000001766,REBATE,325412,EXPORT,9,4,1817220684.74,479416801.64,231530,113936,32006,8493373106.22,832968529.05,0,33184935.1,27.1,14978.97,0,2029-04-02
2020,INC000001767,CREDIT,236220,INNOVATION,1512,1219,60233737.22,53742764.33,167074,90225,21543,15199548713.17,11771103485.08,0,6765735.97,10.65,2494.67,1,2026-03-22
2010,INC000001768,LOAN,454110,R_AND_D,334,315,1769028028.8,1361021375.97,120725,1627,1267,12510881205.7,3250410507.43,0,41275556.14,81.43,1074207.87,0,2027-09-29
2021,INC000001769,CREDIT,237310,INNOVATION,114,85,625670534.27,479752703.19,53700,1469,412,9919117966.55,9366587081.18,0,10436610.73,49.12,1164448.31,0,2029-12-08
2023,INC000001770,CREDIT,311811,INNOVATION,2189,641,1738519119.42,1341553834.84,205918,67578,17897,1978043904.5,827385363.9,0,123322116.2,47.79,74959.7,0,2030-03-12
2018,INC000001771,ABATEMENT,423450,INNOVATION,995,600,633078858.26,530563615.26,84458,77429,41612,3436843656.32,2177137635.95,0,58012362.43,89.82,12750.26,0,2032-11-29
2009,INC000001772,ABATEMENT,237310,TRAINING,2375,1852,833423950.5,402480665.94,222971,13893,13310,15795787870.17,7573588734.72,0,112732866.55,7.61,30238.97,1,2030-12-14
2018,INC000001773,GRANT,311811,EXPORT,2457,1272,265636044.39,86870579.09,9712,84065,69307,383225675.83,37221197.35,1,31856681.73,26.74,1253.42,0,2029-03-21
2015,INC000001774,LOAN,621111,INNOVATION,1342,770,1226371329.36,1244723407.4,79933,94305,51586,264507742.09,50967880.47,1,160585954.09,12.81,24129.09,0,2027-01-05
2024,INC000001775,LOAN,334111,EXPORT,1683,793,1537149890.91,173156201.9,46834,115512,94943,3666784028.07,1680418794.16,1,82362349.04,8.56,1823.79,1,2026-08-05
2012,INC000001776,GRANT,541511,R_AND_D,607,204,1872511987.93,1000369298.45,18930,89978,82704,1357875580.92,838811322.88,0,240484036.55,43.59,12095.78,1,2034-11-05
2023,INC000001777,LOAN,325412,LOCATION,2016,1127,1112326455.97,180610126.89,68711,63392,22998,16609002213.19,1794745299.41,1,125241506.74,19.4,7853.3,0,2034-10-20
2021,INC000001778,LOAN,541511,HIRING,1959,822,401359662.69,347972185.65,64707,9717,2814,3433389803.93,1584957905.92,0,26490504.51,97.12,123657.49,0,2032-12-25
2018,INC000001779,ABATEMENT,621111,R_AND_D,213,190,1849579669.36,1662294871.58,127595,69068,28363,20095368934.71,9849512908.89,0,213338698.23,31.56,58607.86,0,2032-01-12
2012,INC000001780,ABATEMENT,237310,HIRING,708,554,372800389.54,322401321.52,17011,118752,72706,24250472446.24,9450009789.75,1,40296044.35,42.64,4434.32,1,2027-10-30
2020,INC000001781,CREDIT,454110,LOCATION,1048,871,830050204.26,143321819.91,80461,95754,88966,10780930301.31,3561868630.89,1,75486989.26,86.08,1610.97,0,2032-08-12
2020,INC000001782,CREDIT,334111,EXPORT,1233,567,1972897038.08,922980308.2,212870,92985,66000,20135840543.4,16027816227.43,1,112083754.44,59.5,13984.55,1,2027-06-09
2008,INC000001783,LOAN,236220,CLEAN_ENERGY,1402,1050,1440594891.86,1261699443.21,43454,18403,18149,9534329325.84,5188822106.32,0,67396166.96,53.01,69518.95,0,2028-04-02
2015,INC000001784,ABATEMENT,325412,LOCATION,123,88,665188883.64,108427293.95,102893,108050,73865,19050818246.83,1019863958.36,0,67908334.55,25.37,1467.91,0,2028-08-21
2015,INC000001785,ABATEMENT,621111,LOCATION,90,66,1703966208.25,1265767199.65,170345,16352,2425,24686276148.25,9832048378.94,1,220896490.04,36.26,521965.86,1,2030-05-05
2007,INC000001786,GRANT,512110,TRAINING,2391,1815,249159048.3,31421218.1,140717,61546,60253,10947722724.49,5496884191.41,0,5134240.65,42.4,521.49,0,2031-02-01
2024,INC000001787,REBATE,445110,BROWNFIELD,1874,904,417648144.4,181813370.93,83655,71552,57624,23078592273.06,6555907936.76,0,14909142.48,81.96,3155.17,1,2030-01-29
2019,INC000001788,EXEMPTION,541511,R_AND_D,1494,985,1838554703.36,395991844.46,122082,70408,66188,5837632821.94,1080297500.3,0,124167400.74,32.31,5982.83,0,2026-07-17
2021,INC000001789,GRANT,621111,INNOVATION,156,62,90466075.53,29154119.54,61630,58325,53223,13110911569.95,10554159211.58,0,5571542.16,51.32,547.77,0,2035-01-05
2015,INC000001790,LOAN,311811,CAPEX,1250,803,718853130.09,269988874.81,98309,109579,80914,21337022164.61,10210201986.11,0,63780445.57,74.46,3336.74,0,2026-08-10
2019,INC000001791,LOAN,423450,HIRING,1973,875,353405060.37,277469921.0,244172,66516,15642,11027790522.17,4846206392.81,0,7918149.68,10.47,17738.78,1,2027-05-02
2008,INC000001792,CREDIT,237310,R_AND_D,303,254,293438498.69,195529709.09,129565,63388,59229,24599271417.91,18555693589.9,0,36963602.53,20.59,3301.25,0,2035-10-04
2010,INC000001793,REBATE,311811,CAPEX,1516,1396,400813081.61,150519437.55,184537,26298,11262,6328488952.05,2462240280.98,0,59940949.82,48.94,13365.25,1,2027-04-12
2014,INC000001794,REBATE,311811,INNOVATION,897,615,162798955.78,37304887.55,214804,78864,20097,11703124970.15,8719935093.41,0,13977070.05,79.34,1856.24,0,2027-08-22
2023,INC000001795,REBATE,541511,CAPEX,2306,1407,1279679748.72,1332162330.06,54652,81605,68044,14576097156.29,12593137477.55,0,4290149.5,39.33,19577.95,0,2031-07-15
2019,INC000001796,LOAN,621111,INNOVATION,491,193,1287758535.34,344247554.82,230526,49847,30101,15976268846.15,14574469582.24,0,182579549.43,31.68,11436.42,0,2031-10-22
2008,INC000001797,CREDIT,334111,BROWNFIELD,1622,891,149963866.26,51702607.14,219500,96951,26319,10049621462.48,9343655109.18,0,11009410.1,46.9,1964.46,0,2028-12-29
2008,INC000001798,CREDIT,423450,CLEAN_ENERGY,832,353,346045286.33,206065285.43,48441,38967,38967,11225373285.48,2907157812.76,0,17162843.26,21.01,5288.2,0,2034-05-29
2020,INC000001799,ABATEMENT,325412,HIRING,2425,737,1600980142.74,1538232178.38,130880,37068,9357,9877079655.97,8644407206.65,0,13577282.34,85.26,164393.73,0,2031-09-12
2020,INC000001800,LOAN,237310,EXPORT,631,201,1822339947.97,528481473.22,74711,67344,64328,16561254351.74,10362215523.55,0,62981080.66,30.03,8215.42,0,2035-03-21
2018,INC000001801,GRANT,334111,TRAINING,791,320,107156250.59,51082103.98,149252,72445,71321,4749522009.2,2435748797.72,0,897355.97,65.62,716.23,0,2028-12-09
2014,INC000001802,EXEMPTION,236220,CAPEX,1990,586,217799534.41,81098546.0,138897,20635,14849,13544581473.68,6994222033.01,0,5676958.75,65.57,5461.55,0,2033-04-22
2017,INC000001803,EXEMPTION,621111,R_AND_D,1955,1206,338588988.9,230403875.87,85486,61774,6376,12151754171.37,9158938439.59,1,2802832.34,47.56,36136.12,1,2035-05-26
2015,INC000001804,EXEMPTION,236220,R_AND_D,1735,1217,117092323.35,64596045.01,227493,67871,19307,2452764560.59,2385747162.4,0,13323006.02,8.23,3345.73,0,2031-03-02
2020,INC000001805,CREDIT,325412,HIRING,764,196,1599036398.63,570391545.37,122299,106780,79207,7900296379.4,6907203186.07,0,226529833.74,77.91,7201.28,1,2032-04-23
2023,INC000001806,EXEMPTION,334111,EXPORT,718,652,180103546.58,110113565.37,27095,51404,26350,24568486217.72,22307868345.99,0,17359965.19,0.44,4178.88,0,2034-12-21
2019,INC000001807,CREDIT,236220,HIRING,1257,688,140999117.29,79640947.59,7144,77708,71355,775012601.06,574754869.49,1,17308566.29,90.79,1116.12,1,2035-12-15
2012,INC000001808,CREDIT,334111,EXPORT,971,865,244216124.23,185884319.34,181779,35288,9640,5794168404.72,2599124150.14,0,14842529.84,97.16,19282.61,1,2027-01-09
2023,INC000001809,CREDIT,236220,CLEAN_ENERGY,625,210,1462655735.95,1225207440.43,63922,107541,91202,8201465098.74,2182291879.7,0,63667123.08,86.36,13434.0,1,2027-10-01
2008,INC000001810,LOAN,311811,CAPEX,359,188,428185366.34,353286210.23,231576,39770,39770,17597804103.22,13044320203.31,0,4632822.17,31.06,8883.23,0,2035-11-22
2010,INC000001811,GRANT,423450,CLEAN_ENERGY,159,133,1675814913.34,1190068668.16,189657,2548,549,19152476294.54,8807978818.75,0,210062297.52,13.65,2167702.49,0,2030-11-17
2007,INC000001812,CREDIT,445110,CAPEX,1408,821,1877904144.64,1495206410.61,104061,17429,7966,12877954084.96,6558292829.99,0,73510117.83,69.94,187698.52,1,2030-03-03
2023,INC000001813,REBATE,311811,EXPORT,256,206,586186885.62,210128592.21,172936,56594,55996,18806492372.44,15098810892.08,0,15741005.37,57.62,3752.56,0,2031-02-26
2008,INC000001814,CREDIT,445110,HIRING,1654,1358,213256192.01,165515268.65,113651,115774,18958,17846559047.98,12912456718.08,0,27426029.53,9.92,8730.63,1,2035-05-23
2011,INC000001815,LOAN,454110,CLEAN_ENERGY,622,330,844503939.35,171522558.03,207778,78595,10090,5623666202.19,2648230217.51,0,3857893.68,67.53,16999.26,0,2027-06-25
2012,INC000001816,OTHER,236220,INNOVATION,187,71,283569730.47,58339790.91,71797,36254,23088,22272473693.02,10995502921.83,0,13729035.61,46.35,2526.84,1,2035-10-11
2020,INC000001817,ABATEMENT,311811,BROWNFIELD,2471,1653,1135807440.79,699187377.08,134988,79405,21399,9439276023.05,8001396795.31,0,158182397.46,75.19,32673.83,0,2031-11-24
2012,INC000001818,GRANT,445110,CAPEX,2354,1742,659977061.48,328051867.44,159387,99437,61821,4216167797.11,4166001058.11,0,73656063.78,25.98,5306.48,0,2031-03-03
2012,INC000001819,REBATE,512110,R_AND_D,2011,962,1396954371.07,689587433.68,73085,102149,65703,18977338712.91,3117459687.1,0,130246796.68,83.4,10495.52,0,2030-09-18
2020,INC000001820,LOAN,423450,CAPEX,301,216,1786699108.81,1851228782.48,233743,12395,10902,3599564924.63,1817681574.68,0,54506533.11,0.72,169806.35,0,2027-12-20
2010,INC000001821,CREDIT,236220,LOCATION,395,167,1420373695.3,590668373.47,208727,74064,33034,17692062460.96,2670857458.43,0,29989517.89,54.8,17880.62,0,2034-11-20
2012,INC000001822,ABATEMENT,237310,TRAINING,1932,776,1421055086.15,250639717.65,149743,114203,27526,6429471753.48,1699370274.56,0,27735263.25,56.44,9105.56,0,2029-10-05
2011,INC000001823,ABATEMENT,311811,BROWNFIELD,1099,767,1644566778.24,1347891730.16,116743,84244,24429,9817658743.14,9554927560.36,0,228914921.48,56.13,55175.89,0,2031-04-22
2024,INC000001824,CREDIT,236220,BROWNFIELD,1093,622,1387116457.43,599449339.41,89995,108474,77963,10690697938.73,2475674125.73,0,147650878.98,62.76,7688.9,0,2030-12-31
2024,INC000001825,CREDIT,445110,R_AND_D,949,298,1652641847.25,947841431.49,80180,72820,47001,9433731373.01,4708503436.86,1,119531840.42,8.57,20166.41,0,2026-12-16
2025,INC000001826,CREDIT,512110,EXPORT,1317,1052,62232926.49,21151898.54,22535,92183,87630,6075885517.84,906186551.24,0,3078389.97,31.33,241.38,1,2030-10-10
2017,INC000001827,GRANT,236220,BROWNFIELD,1715,1242,1881202044.86,1431139365.83,177842,79040,79040,11022958939.68,1432694714.4,1,59946583.95,65.73,18106.52,0,2028-03-24
2013,INC000001828,GRANT,325412,CAPEX,1282,686,526446517.62,235121292.71,73100,44306,26649,14857373728.06,1845179233.62,0,11684021.68,99.27,8822.89,1,2028-12-15
2012,INC000001829,GRANT,334111,HIRING,1621,601,1846095961.61,978612641.28,159543,28811,19239,4902558540.49,4377035464.67,0,89704101.0,60.39,50866.09,1,2032-09-21
2016,INC000001830,CREDIT,236220,TRAINING,1085,721,1890504605.16,1558492708.99,120831,117582,117515,16504132074.85,15846467443.28,0,110188917.67,6.44,13262.07,0,2031-06-08
2016,INC000001831,GRANT,334111,BROWNFIELD,1827,1467,514566619.81,255951577.62,29527,51269,10801,17222559925.39,13120378632.89,0,60940594.06,1.51,23697.03,0,2035-01-06
2024,INC000001832,LOAN,454110,EXPORT,863,744,1618835252.55,825576323.02,78193,85797,72659,2828772190.04,2289469100.61,0,132672829.68,8.3,11362.34,1,2028-12-16
2007,INC000001833,ABATEMENT,325412,TRAINING,1944,1607,423343462.44,131695398.88,216544,114008,41871,4085955733.77,3382085021.53,1,54137833.44,38.12,3145.27,0,2028-07-29
2008,INC000001834,OTHER,325412,EXPORT,991,494,1114809546.68,424696473.52,32022,46620,9244,6190585593.28,5431459440.43,0,116688264.21,59.54,45942.93,1,2030-09-05
2022,INC000001835,CREDIT,236220,R_AND_D,544,179,1031308621.56,355064487.98,63316,84811,19408,6359813221.46,3710180756.46,0,39160838.36,12.71,18294.75,0,2030-01-08
2025,INC000001836,REBATE,621111,BROWNFIELD,549,399,1936629529.75,1691326287.4,106913,15794,4211,11832548510.22,1887420210.43,0,168822189.01,34.83,401644.81,0,2031-05-14
2019,INC000001837,EXEMPTION,325412,LOCATION,1002,754,1157742698.79,804262843.63,32844,88867,88867,10412063807.13,6121040683.09,0,51331362.93,6.19,9050.19,1,2034-09-20
2019,INC000001838,CREDIT,423450,INNOVATION,1080,653,1388907040.81,224081463.38,2510,116747,109685,9511382502.41,6652344147.81,0,108042048.16,7.93,2042.95,1,2030-10-06
2021,INC000001839,ABATEMENT,334111,TRAINING,1274,424,479907886.36,337024210.73,63496,45065,43172,13467480974.24,5416956276.01,0,67186553.59,20.44,7806.55,0,2029-04-25
2013,INC000001840,CREDIT,445110,CLEAN_ENERGY,941,554,617102673.65,511848379.74,17589,114680,19475,15190563193.46,1686585461.53,0,90471521.75,95.42,26282.33,0,2029-01-21
2009,INC000001841,REBATE,621111,EXPORT,1186,514,601328425.38,305312926.74,215056,80408,36790,23075135693.37,16741012072.66,0,72450443.18,55.02,8298.8,1,2029-11-23
2013,INC000001842,CREDIT,325412,EXPORT,1352,631,277307426.55,233919180.73,160803,82610,17652,3457785347.24,1580566672.98,0,39900630.45,22.02,13251.71,1,2029-09-15
2011,INC000001843,ABATEMENT,236220,CAPEX,699,659,1502847610.04,781265907.09,57800,49806,25213,17170815404.55,4684926504.76,0,68492711.05,54.81,30986.63,0,2034-03-12
2013,INC000001844,REBATE,512110,CAPEX,1913,1124,574502958.19,552227726.12,60981,54723,37688,19274412735.54,16834660419.44,0,6309681.45,51.05,14652.61,0,2033-12-03
2022,INC000001845,CREDIT,237310,LOCATION,439,140,1180863867.08,1025566887.54,170481,83872,14366,9427664529.56,563835275.67,0,168261674.14,55.26,71388.48,0,2031-08-12
2010,INC000001846,CREDIT,237310,INNOVATION,1154,375,1716673077.82,432001990.64,160430,85917,81866,3731271957.67,3486111162.49,0,59697913.49,86.81,5276.94,0,2028-08-16
2019,INC000001847,OTHER,423450,EXPORT,458,389,880446773.31,799833014.15,249078,96026,42784,19477818232.26,13983410356.17,0,36729036.64,4.47,18694.68,1,2034-06-30
2007,INC000001848,CREDIT,334111,EXPORT,1120,446,1397805037.16,198489926.09,141115,14236,9508,5459673103.89,2330960389.4,0,46142508.84,50.91,20876.1,0,2027-07-24
2007,INC000001849,ABATEMENT,512110,CLEAN_ENERGY,974,871,446240718.25,152375366.92,58407,41397,39374,20774499309.03,19345355664.09,0,12136377.27,95.93,3869.95,1,2028-01-12
2020,INC000001850,CREDIT,237310,EXPORT,1568,1145,1284777891.7,1018143887.23,207707,41753,8164,10881062720.46,1423835676.89,0,99664065.04,35.12,124711.4,0,2032-12-25
2016,INC000001851,CREDIT,237310,CAPEX,2107,952,1025056070.58,716444045.49,139776,52290,23991,10436114664.44,5060019559.47,0,87552146.29,55.26,29863.03,0,2027-02-27
2024,INC000001852,ABATEMENT,236220,HIRING,302,131,580752306.58,439783972.07,245172,47421,39226,2291437130.43,167726913.66,0,39040700.88,20.02,11211.54,1,2034-10-30
2010,INC000001853,REBATE,512110,TRAINING,1967,1057,1337545914.59,224664993.49,190297,100974,39939,21537041427.66,16954830823.56,0,80901688.97,62.92,5625.2,0,2032-09-18
