qol_trust_reference_year,qol_trust_country_iso2,qol_trust_region_nuts_code,qol_trust_trust_in_parliament_score,qol_trust_trust_in_government_score,qol_trust_trust_in_police_score,qol_trust_trust_in_media_score,qol_trust_corruption_perception_score,qol_trust_satisfaction_with_democracy_score,qol_trust_sense_of_safety_night_pct,qol_trust_victimisation_rate_pct,qol_trust_social_capital_index,qol_trust_volunteering_rate_pct,qol_trust_civic_participation_rate_pct,qol_trust_hate_speech_exposure_rate_pct,qol_trust_disinformation_exposure_index,qol_trust_institutional_quality_index,qol_trust_survey_source,qol_trust_survey_weight,qol_trust_data_extract_date
2018,LT,GR98,5.09,5.08,5.64,1.96,65.76,7.21,67.43,7.37,54.99,15.83,8.02,6.5,79.11,63.02,EUROBAROMETER,3.878,2025-11-06
2019,PT,LU3,3.65,2.4,5.22,4.56,51.26,5.64,56.6,15.42,52.98,21.59,15.15,16.6,40.92,61.93,NATIONAL_TRUST_SURVEY,2.304,2025-11-21
2020,SE,MT58,7.64,4.47,7.99,5.41,90.16,4.65,93.95,19.67,53.67,34.49,30.22,8.39,55.5,85.91,EUQLS,3.5686,2024-04-20
2021,CY,LU47,2.94,3.58,7.24,5.71,35.37,4.82,69.47,12.0,76.44,27.26,24.45,20.08,71.6,47.88,ESS,2.2396,2026-01-14
2022,FR,ES743,2.2,4.63,4.76,5.17,45.11,5.71,67.74,15.46,57.11,9.23,31.35,9.99,28.52,51.54,EUROBAROMETER,3.1417,2024-06-13
2023,IT,EE7,5.62,5.71,4.71,1.83,80.2,6.33,64.56,13.16,72.36,11.68,37.79,11.76,39.96,75.68,NATIONAL_TRUST_SURVEY,3.203,2024-01-06
2024,NL,LU301,5.12,4.69,5.68,3.19,77.15,8.66,78.9,12.47,39.55,11.02,16.78,4.63,32.92,91.31,EUQLS,3.5076,2025-11-09
2025,SI,FR492,3.34,3.2,7.13,3.14,65.86,5.86,74.83,10.34,53.22,8.69,19.03,14.77,48.98,47.6,ESS,4.5355,2024-03-17
2006,BG,AT4,4.17,2.77,4.46,4.79,49.3,2.93,49.12,10.13,42.09,25.33,33.84,6.67,50.18,72.77,EUROBAROMETER,3.3561,2025-05-16
2007,EE,HU61,4.58,3.43,7.93,4.05,70.94,5.53,80.92,8.17,73.31,12.17,20.43,10.11,22.4,34.6,NATIONAL_TRUST_SURVEY,3.3481,2025-11-21
2008,HU,PL1,2.24,4.95,7.78,5.79,55.24,4.49,46.54,15.64,54.29,6.94,25.53,4.66,36.13,70.0,EUQLS,3.904,2024-09-04
2009,LU,EE771,4.4,5.37,9.57,4.14,90.96,4.63,73.14,12.49,43.83,12.89,23.52,4.45,30.12,73.45,ESS,3.9379,2024-11-30
2010,RO,DE48,5.84,5.58,4.94,4.47,69.68,5.13,55.7,13.41,75.58,16.33,29.36,10.84,48.02,60.73,EUROBAROMETER,4.5803,2025-08-20
2011,AT,EE264,3.4,2.63,3.96,3.52,62.75,3.14,51.33,11.46,46.5,13.63,17.86,16.93,61.52,63.43,NATIONAL_TRUST_SURVEY,3.7699,2025-07-16
2012,CZ,FI151,3.19,5.1,4.09,3.34,48.96,6.8,67.27,13.1,42.88,15.08,15.89,6.39,36.94,63.47,EUQLS,1.8685,2024-02-01
2013,DE,SK751,4.58,2.0,4.06,5.04,70.04,5.86,62.5,6.47,49.6,19.92,35.7,22.66,53.36,35.85,ESS,3.2756,2025-04-22
2014,LV,CY98,5.37,2.34,7.65,5.9,71.18,5.66,57.34,11.27,76.78,21.76,36.86,6.43,51.1,66.96,EUROBAROMETER,3.6434,2024-04-19
2015,PL,IT80,4.95,2.57,3.89,5.75,32.32,4.65,77.75,16.84,80.63,10.33,9.52,4.35,41.33,68.69,NATIONAL_TRUST_SURVEY,4.0066,2025-04-02
2016,ES,SK38,4.78,2.39,4.01,4.07,51.85,6.69,71.4,11.09,39.82,22.75,19.21,19.1,70.57,71.81,EUQLS,2.161,2025-09-10
2017,HR,GR500,2.63,5.94,4.22,2.34,50.66,3.1,52.31,11.34,53.23,16.86,20.15,19.29,60.76,34.12,ESS,4.6082,2026-01-11
2018,FI,LT514,4.95,4.88,9.6,5.11,78.42,3.84,51.23,7.5,44.91,11.95,9.47,6.59,34.2,48.75,EUROBAROMETER,3.9463,2024-06-19
2019,IE,HR2,4.21,4.29,4.45,2.6,44.59,4.17,72.81,15.53,43.97,7.37,22.89,13.8,71.25,84.44,NATIONAL_TRUST_SURVEY,4.1391,2024-07-15
2020,MT,CZ2,4.51,2.61,5.99,5.93,58.91,3.76,73.89,7.23,54.71,24.28,25.46,17.78,52.94,52.26,EUQLS,3.0879,2026-02-24
2021,SK,FR736,3.49,3.96,7.72,5.75,71.06,3.29,78.05,13.47,74.53,20.53,12.06,14.79,27.07,33.3,ESS,0.5625,2024-11-20
2022,BE,IT490,2.64,3.64,6.45,4.75,42.0,3.18,56.76,9.66,66.25,26.43,40.12,13.27,52.56,55.65,EUROBAROMETER,0.2641,2024-03-12
2023,DK,NL85,3.53,4.95,7.79,2.04,63.65,6.31,81.1,8.12,71.62,39.03,12.46,4.83,83.3,95.33,NATIONAL_TRUST_SURVEY,1.6548,2024-05-19
2024,GR,BE66,4.24,6.15,6.29,4.01,45.43,3.13,66.08,13.24,57.72,17.83,26.48,8.76,33.99,38.98,EUQLS,2.4237,2026-01-10
2025,LT,MT63,4.45,5.6,6.85,5.66,79.39,2.98,81.22,12.52,78.33,26.03,16.65,5.14,46.02,79.35,ESS,4.7864,2025-01-14
2006,PT,HU80,3.97,4.79,6.03,2.14,51.82,6.04,50.84,10.15,59.26,24.81,32.41,11.62,33.25,77.44,EUROBAROMETER,1.558,2025-09-14
2007,SE,BG509,6.35,5.9,4.45,5.19,84.09,4.41,68.53,10.07,96.91,11.18,31.15,3.97,59.93,89.2,NATIONAL_TRUST_SURVEY,2.2379,2024-08-18
2008,CY,MT9,5.71,5.26,6.78,1.96,63.17,6.14,65.56,15.28,78.46,27.24,35.04,6.37,50.91,44.6,EUQLS,0.6785,2024-11-20
2009,FR,CZ268,5.55,2.63,5.62,3.11,63.96,5.08,61.94,13.69,37.05,16.83,17.13,5.59,74.06,54.03,ESS,4.2567,2024-10-28
2010,IT,BG278,5.94,2.15,4.85,6.14,39.59,6.23,81.63,14.04,39.09,28.35,34.3,14.63,59.61,74.45,EUROBAROMETER,0.3207,2024-11-14
2011,NL,BG54,7.39,4.27,6.38,2.92,95.47,7.2,77.23,7.41,70.45,17.48,26.82,15.54,69.91,39.14,NATIONAL_TRUST_SURVEY,3.8606,2026-02-11
2012,SI,BG23,2.55,1.75,7.38,2.89,34.53,5.35,81.94,15.25,61.5,16.83,45.05,12.99,68.81,56.21,EUQLS,1.5467,2024-07-05
2013,BG,SK8,5.52,3.19,5.51,3.94,40.43,3.31,44.58,15.3,51.33,26.94,18.12,12.04,53.0,42.98,ESS,1.7918,2024-08-13
2014,EE,SK39,5.77,3.06,7.24,2.51,41.59,4.23,51.53,7.91,72.61,9.49,30.25,8.0,67.91,50.87,EUROBAROMETER,0.6348,2024-10-10
2015,HU,IT519,4.53,2.74,5.18,5.31,52.18,3.8,68.79,7.86,79.0,5.48,35.53,10.78,25.84,53.07,NATIONAL_TRUST_SURVEY,3.2335,2025-10-01
2016,LU,CZ782,7.19,2.75,5.57,4.41,50.18,6.05,83.86,13.04,77.31,9.41,44.39,17.88,79.29,73.07,EUQLS,1.381,2025-10-11
2017,RO,CZ6,5.9,4.48,4.15,3.57,55.34,3.17,55.17,5.76,45.62,19.14,33.24,3.89,44.41,38.5,ESS,1.6445,2026-02-15
2018,AT,PT52,5.52,6.01,4.56,2.21,62.21,4.05,71.88,7.25,39.8,10.8,19.53,16.36,58.28,67.47,EUROBAROMETER,2.7895,2024-10-05
2019,CZ,FI107,4.87,3.84,3.73,1.88,48.7,4.84,50.29,11.38,69.66,28.1,36.04,19.15,98.0,79.94,NATIONAL_TRUST_SURVEY,1.8454,2025-02-11
2020,DE,DE993,2.13,3.94,6.96,5.8,34.27,3.22,62.32,19.15,41.93,17.6,25.05,13.9,50.57,72.08,EUQLS,1.5238,2024-05-20
2021,LV,AT535,5.52,4.37,4.47,2.94,77.21,3.59,44.63,16.57,67.3,12.67,43.44,19.58,43.95,34.71,ESS,2.1981,2025-04-02
2022,PL,FR6,5.16,2.83,5.18,2.48,54.08,4.98,65.02,7.95,36.5,11.16,28.9,13.01,84.17,70.34,EUROBAROMETER,2.0542,2025-11-29
2023,ES,LV2,4.12,4.72,6.64,5.18,80.25,6.93,86.97,11.63,65.88,7.92,16.22,16.47,52.64,73.87,NATIONAL_TRUST_SURVEY,3.0998,2025-09-05
2024,HR,LU982,5.0,3.26,7.37,4.83,67.37,4.93,81.15,16.34,57.26,6.54,12.4,13.38,54.93,63.82,EUQLS,1.0889,2025-01-05
2025,FI,SK21,3.29,4.6,4.93,3.86,41.12,7.58,72.51,7.25,51.04,20.86,25.2,21.25,44.0,59.23,ESS,3.1703,2024-02-09
2006,IE,LU8,5.37,5.25,3.67,2.37,69.74,3.41,66.27,14.33,79.36,8.96,16.81,23.62,66.59,76.34,EUROBAROMETER,2.6935,2025-12-27
2007,MT,HR537,4.22,5.3,7.52,4.25,79.14,6.63,72.58,16.94,79.94,21.83,31.94,19.58,61.02,68.4,NATIONAL_TRUST_SURVEY,3.8662,2025-12-09
2008,SK,DE685,4.68,6.13,4.5,5.16,44.07,4.41,63.17,14.97,45.96,25.24,37.41,17.83,27.78,74.09,EUQLS,3.5145,2024-03-31
2009,BE,HR53,6.27,5.93,4.68,2.09,50.57,4.98,48.03,11.29,46.41,23.72,22.47,7.31,33.29,82.44,ESS,0.2499,2025-11-17
2010,DK,LT4,4.67,4.28,7.07,2.74,58.07,8.87,82.05,8.2,82.04,30.41,18.73,16.52,67.64,94.16,EUROBAROMETER,2.1701,2025-11-28
2011,GR,BE106,5.84,2.08,4.19,4.51,38.66,5.91,50.19,12.25,36.78,26.46,31.28,5.91,25.18,36.96,NATIONAL_TRUST_SURVEY,0.7101,2024-01-20
2012,LT,HR451,5.73,1.75,6.16,2.59,51.37,4.66,65.62,11.15,54.43,15.6,11.73,24.41,51.48,50.44,EUQLS,0.9723,2025-08-13
2013,PT,BE99,6.28,4.77,7.47,3.6,36.41,4.87,77.26,14.31,34.1,7.06,22.95,17.09,35.25,63.31,ESS,4.2407,2024-05-11
2014,SE,BE995,3.28,6.34,5.79,3.57,94.29,4.1,54.56,16.74,49.81,29.03,36.29,14.44,50.32,70.83,EUROBAROMETER,3.1383,2025-10-03
2015,CY,FI71,5.62,2.48,5.94,2.46,56.18,4.24,71.19,12.59,72.92,15.0,34.24,10.23,28.04,80.09,NATIONAL_TRUST_SURVEY,0.2331,2025-03-30
2016,FR,IE964,5.66,5.15,3.79,4.66,57.21,5.25,71.14,15.81,71.27,28.58,15.1,17.06,28.22,55.47,EUQLS,3.6215,2025-10-17
2017,IT,LT142,6.42,6.15,3.74,4.1,54.86,5.7,46.89,8.42,75.71,17.5,22.35,10.49,31.42,65.76,ESS,2.9386,2024-12-28
2018,NL,LT703,6.91,7.1,8.54,4.53,49.64,4.62,78.93,13.06,55.03,30.88,11.16,19.48,43.47,48.28,EUROBAROMETER,3.0712,2024-05-29
2019,SI,BE2,5.49,4.05,3.7,5.51,54.47,7.18,54.89,14.93,60.67,11.47,43.15,12.51,63.53,47.08,NATIONAL_TRUST_SURVEY,1.4272,2025-07-19
2020,BG,LV732,3.77,4.09,7.13,5.79,74.88,4.69,80.9,12.88,67.82,19.81,43.93,19.58,59.09,79.12,EUQLS,4.3934,2024-04-19
2021,EE,SI76,4.38,3.49,4.51,3.08,46.86,3.25,65.41,10.52,58.53,22.61,32.76,22.09,64.37,75.47,ESS,1.8138,2025-04-11
2022,HU,ES78,4.97,5.66,5.56,5.84,38.48,4.74,74.62,13.87,79.27,8.42,10.02,4.42,69.31,49.4,EUROBAROMETER,4.5204,2024-02-04
2023,LU,EE30,3.99,6.44,6.26,3.84,72.87,5.11,60.34,15.87,61.74,28.75,26.6,16.2,50.38,67.97,NATIONAL_TRUST_SURVEY,2.9705,2024-11-13
2024,RO,SK70,4.73,5.48,6.43,3.54,43.59,7.09,72.64,16.9,39.79,14.17,15.29,5.92,76.55,47.26,EUQLS,0.4574,2024-02-08
2025,AT,BE4,4.79,5.53,5.83,3.33,53.57,5.47,81.49,5.81,77.32,10.27,27.6,11.33,55.87,34.05,ESS,0.2977,2024-02-13
2006,CZ,EE9,3.96,5.94,3.65,6.06,55.97,5.41,51.93,8.4,64.44,24.02,11.44,17.97,35.73,79.72,EUROBAROMETER,4.129,2024-03-29
2007,DE,DE910,5.93,4.72,6.87,3.54,33.64,5.71,81.54,16.19,56.23,20.6,38.56,8.63,59.22,81.3,NATIONAL_TRUST_SURVEY,2.8486,2024-10-03
2008,LV,IT32,4.04,5.66,5.07,6.1,39.61,6.89,53.93,6.61,65.56,26.43,42.74,9.76,21.18,44.45,EUQLS,2.2607,2025-11-20
2009,PL,BE136,3.11,5.45,6.99,4.42,72.71,3.87,61.06,10.67,56.97,16.4,33.31,6.05,33.05,65.02,ESS,0.7671,2025-11-29
2010,ES,MT3,5.69,3.53,4.17,3.03,40.74,5.33,81.46,9.37,74.64,27.83,35.89,7.1,37.99,49.01,EUROBAROMETER,1.6639,2024-10-17
2011,HR,LV540,6.34,3.22,4.1,3.14,48.91,4.97,53.76,13.51,58.28,10.92,17.75,12.88,56.49,74.72,NATIONAL_TRUST_SURVEY,3.5368,2025-10-17
2012,FI,AT3,6.4,5.42,9.39,4.77,94.27,7.86,100.0,14.27,96.25,12.35,29.73,15.38,50.58,74.71,EUQLS,3.8324,2025-05-22
2013,IE,AT98,5.62,2.67,4.04,2.75,79.5,3.82,47.33,11.16,73.7,15.8,21.48,12.41,38.09,78.74,ESS,1.1931,2025-07-22
2014,MT,MT890,5.68,5.74,5.3,3.34,71.02,5.01,72.09,6.54,66.86,8.93,44.86,7.74,55.78,48.93,EUROBAROMETER,1.0923,2025-09-26
2015,SK,LV6,2.64,2.26,6.21,5.44,42.69,4.69,80.38,8.51,71.78,23.09,16.73,3.98,20.45,82.25,NATIONAL_TRUST_SURVEY,3.4941,2025-07-24
2016,BE,SE651,4.96,4.7,3.86,2.39,39.97,3.79,72.35,17.09,67.44,25.43,29.72,15.85,55.03,61.32,EUQLS,1.459,2025-08-22
2017,DK,PT851,7.13,7.54,8.51,2.93,92.96,4.15,96.78,13.04,83.19,37.87,10.27,9.71,46.39,82.36,ESS,1.7999,2026-02-04
2018,GR,RO7,5.6,5.02,4.27,5.85,67.68,6.53,46.28,15.96,47.86,28.02,22.81,10.42,40.81,68.21,EUROBAROMETER,0.2739,2024-01-07
2019,LT,DK44,6.41,3.39,7.46,5.14,74.77,4.89,69.92,14.72,71.08,20.8,32.26,5.57,79.87,37.4,NATIONAL_TRUST_SURVEY,0.2424,2024-05-30
2020,PT,IT7,3.4,4.85,6.1,3.9,55.85,4.66,43.06,8.69,73.36,28.12,9.38,17.99,45.78,45.18,EUQLS,4.6807,2025-02-07
2021,SE,IE11,6.04,3.73,7.03,4.45,59.94,3.84,92.92,6.67,74.12,41.01,18.18,5.69,31.3,57.21,ESS,2.9741,2026-01-02
2022,CY,IE376,2.71,2.35,4.63,5.75,74.96,3.45,79.83,13.22,59.69,20.49,16.27,7.51,74.01,75.66,EUROBAROMETER,4.7437,2026-01-06
2023,FR,FR704,3.79,6.2,4.45,3.97,55.35,2.99,81.31,15.03,64.71,25.59,33.76,12.27,59.72,64.77,NATIONAL_TRUST_SURVEY,3.1143,2026-02-07
2024,IT,SE12,2.1,4.52,6.29,3.93,59.69,5.81,53.86,16.49,68.6,12.26,35.94,14.73,56.35,62.79,EUQLS,3.65,2024-09-11
2025,NL,EE71,3.29,6.6,6.11,5.41,49.76,7.31,98.09,15.98,81.66,22.57,21.0,18.9,37.41,91.01,ESS,1.0265,2025-03-28
2006,SI,HU12,3.34,3.73,5.21,3.61,43.57,5.67,68.28,5.71,74.77,7.35,38.49,21.02,47.61,63.18,EUROBAROMETER,0.6478,2025-01-06
2007,BG,PT902,2.6,3.89,6.33,5.62,61.02,5.54,63.72,8.35,43.94,13.18,11.76,7.07,47.42,40.61,NATIONAL_TRUST_SURVEY,1.1845,2025-09-08
2008,EE,PL3,4.86,3.64,4.75,4.64,39.99,5.85,61.56,11.91,76.52,29.27,14.06,14.95,40.67,44.55,EUQLS,3.3716,2024-05-25
2009,HU,PL83,5.93,2.64,6.33,5.8,35.43,5.84,59.71,11.14,51.79,24.47,35.65,22.51,37.04,46.8,ESS,1.4022,2024-11-27
2010,LU,LV73,3.47,3.31,5.68,5.41,47.96,6.8,95.27,13.81,39.99,19.25,32.83,9.8,34.82,85.48,EUROBAROMETER,1.5562,2024-12-05
2011,RO,MT305,2.36,3.54,5.6,5.52,37.38,5.98,73.65,13.57,63.45,19.68,24.19,6.92,54.89,82.33,NATIONAL_TRUST_SURVEY,3.9372,2025-03-11
2012,AT,RO410,6.15,1.85,6.77,4.48,80.48,5.08,52.09,9.65,41.08,18.42,12.08,10.73,45.96,79.58,EUQLS,3.0996,2024-04-01
2013,CZ,CY4,4.51,4.61,4.85,4.14,75.31,5.88,62.93,16.76,71.38,5.94,21.24,22.16,44.38,46.78,ESS,3.5575,2024-07-22
2014,DE,AT454,3.42,4.68,5.32,3.15,78.89,5.29,65.35,11.85,65.66,13.62,16.12,6.98,38.46,42.51,EUROBAROMETER,2.8477,2024-07-27
2015,LV,SK42,6.17,3.61,6.1,5.43,33.54,6.28,82.1,7.97,63.03,17.68,34.88,10.68,54.65,37.24,NATIONAL_TRUST_SURVEY,1.6986,2024-12-17
2016,PL,DK205,4.99,4.92,5.38,6.08,63.8,5.0,54.12,8.21,45.08,28.42,10.02,11.02,62.54,56.4,EUQLS,1.9055,2024-10-09
2017,ES,IT8,5.23,6.23,5.94,5.81,52.81,4.96,68.63,13.88,57.47,18.2,28.23,4.88,81.49,32.7,ESS,1.1033,2024-06-15
2018,HR,EE8,5.32,2.68,7.87,3.23,37.26,4.4,85.95,5.91,66.3,5.8,8.91,11.18,56.42,58.19,EUROBAROMETER,0.5232,2025-06-04
2019,FI,AT51,7.2,2.75,5.33,3.51,91.96,7.52,90.0,13.3,42.16,23.32,21.52,15.74,75.21,64.06,NATIONAL_TRUST_SURVEY,2.0583,2024-11-17
2020,IE,SI142,5.3,3.03,7.95,2.22,76.01,4.32,71.89,9.17,36.68,25.69,17.5,23.67,68.05,72.35,EUQLS,4.5535,2024-04-02
2021,MT,LU386,5.81,3.83,5.54,2.25,38.96,6.63,60.9,12.82,78.7,11.54,19.83,21.81,57.74,44.98,ESS,0.403,2024-11-19
2022,SK,SE59,3.98,6.22,6.8,5.99,46.6,3.78,70.58,7.68,34.33,8.31,9.57,9.77,62.41,67.48,EUROBAROMETER,3.4139,2025-05-25
2023,BE,DE12,5.58,1.93,7.8,4.91,66.37,3.8,84.6,17.1,69.66,16.28,34.59,12.38,78.98,66.44,NATIONAL_TRUST_SURVEY,1.2837,2024-07-28
2024,DK,SK11,7.55,5.12,4.85,4.85,82.39,4.18,87.43,14.57,68.17,23.13,13.54,10.89,79.27,83.57,EUQLS,0.719,2024-10-25
2025,GR,EE471,2.3,2.1,5.14,5.58,54.25,2.99,44.04,11.15,61.25,23.75,11.76,12.24,73.64,79.25,ESS,3.3086,2024-01-21
2006,LT,RO9,4.08,5.2,7.66,3.41,70.74,4.09,50.77,13.87,64.91,15.13,12.23,17.66,68.52,51.28,EUROBAROMETER,0.5392,2024-02-12
2007,PT,EE57,3.36,3.09,4.25,1.97,61.77,6.54,71.88,8.1,41.2,15.9,7.82,9.31,61.58,58.13,NATIONAL_TRUST_SURVEY,2.1116,2024-07-08
2008,SE,IT758,6.56,4.52,7.71,5.41,43.47,7.39,55.39,14.78,58.67,22.9,21.89,6.14,42.97,59.02,EUQLS,2.171,2025-12-09
2009,CY,LU670,2.41,4.47,7.12,4.4,36.86,4.85,48.4,13.09,58.05,8.23,22.83,19.56,22.37,68.87,ESS,3.0169,2024-09-13
2010,FR,LT932,5.33,3.16,6.29,5.91,65.64,6.75,63.58,9.41,59.11,29.69,10.26,19.57,37.07,56.0,EUROBAROMETER,3.5968,2024-07-25
2011,IT,LU332,5.65,3.29,5.42,4.04,55.75,3.3,75.06,8.47,51.72,24.35,7.62,4.95,28.22,73.75,NATIONAL_TRUST_SURVEY,4.5462,2024-02-06
2012,NL,BG122,6.01,6.88,8.89,3.08,61.25,5.91,51.99,5.9,82.86,34.22,36.0,10.61,44.55,89.07,EUQLS,2.0537,2025-03-29
2013,SI,LU734,2.66,3.35,5.5,5.29,36.42,7.2,87.27,16.08,67.46,8.35,32.94,5.76,62.54,63.96,ESS,3.0113,2024-02-25
2014,BG,LU10,2.39,2.98,4.39,1.87,63.31,6.45,52.58,7.42,46.15,11.05,29.59,16.03,34.36,67.6,EUROBAROMETER,1.8619,2024-04-15
2015,EE,DK63,5.73,5.68,6.47,2.67,35.93,3.5,66.57,15.55,61.95,16.37,24.69,10.34,65.36,63.67,NATIONAL_TRUST_SURVEY,1.7361,2025-02-21
2016,HU,LV980,3.31,5.27,6.95,5.18,56.72,6.91,68.93,14.8,65.71,21.16,12.25,5.14,39.92,63.15,EUQLS,3.3589,2025-02-26
2017,LU,FI281,5.76,5.06,8.28,4.25,59.51,6.39,91.24,12.1,64.44,37.57,17.28,12.25,76.19,82.54,ESS,2.0165,2025-09-15
2018,RO,BG9,3.32,2.11,4.89,3.81,56.64,7.02,55.58,13.1,64.71,17.18,38.42,20.72,54.18,79.81,EUROBAROMETER,3.7582,2024-01-04
2019,AT,ES859,5.61,3.78,5.84,4.38,71.38,5.21,43.97,12.39,70.44,24.3,14.15,14.32,64.05,67.1,NATIONAL_TRUST_SURVEY,0.4168,2025-09-03
2020,CZ,LT40,4.22,4.14,4.68,5.39,34.63,3.15,68.7,16.68,76.04,11.74,9.24,19.55,71.47,63.97,EUQLS,2.3928,2024-08-24
2021,DE,SE488,2.75,4.52,5.37,1.86,62.62,5.28,60.2,12.91,51.73,14.43,10.77,10.02,53.49,78.5,ESS,1.109,2024-12-12
2022,LV,EE633,4.18,5.26,5.91,5.62,73.35,5.49,83.55,13.04,79.6,7.75,43.77,21.45,33.86,54.57,EUROBAROMETER,2.1237,2024-03-21
2023,PL,LV54,2.68,2.27,7.59,2.36,57.71,5.86,64.02,8.03,43.97,27.71,29.19,9.88,98.09,80.95,NATIONAL_TRUST_SURVEY,3.3855,2024-07-10
2024,ES,LV259,4.47,2.14,7.27,5.68,67.84,6.54,50.92,8.91,49.03,11.77,12.75,15.68,27.07,59.76,EUQLS,1.891,2025-01-28
2025,HR,LT832,2.97,5.74,6.15,3.46,73.38,6.91,65.94,10.17,80.64,20.5,27.3,6.15,35.8,65.01,ESS,2.3607,2026-01-18
2006,FI,LU66,5.88,3.25,5.2,3.37,86.2,5.52,50.97,9.51,42.53,20.0,33.16,8.42,61.33,65.59,EUROBAROMETER,1.2848,2025-10-12
2007,IE,SK257,4.11,4.18,6.41,3.49,46.64,6.88,53.3,7.23,49.44,19.76,8.33,7.3,38.24,74.86,NATIONAL_TRUST_SURVEY,1.2828,2025-10-28
2008,MT,SE256,6.07,5.96,4.1,6.11,47.6,5.66,73.19,9.86,47.65,15.31,7.58,9.13,62.77,61.94,EUQLS,0.5233,2024-09-19
2009,SK,HU2,2.1,5.57,7.43,2.69,38.12,7.06,68.2,12.51,66.49,29.28,24.72,20.65,48.78,83.95,ESS,0.7921,2025-06-14
2010,BE,IT952,2.71,5.85,4.27,5.8,48.43,5.52,51.7,6.36,60.44,25.17,9.73,22.76,60.58,44.88,EUROBAROMETER,4.4676,2025-02-17
2011,DK,FI6,4.5,3.41,7.96,1.92,78.56,5.37,82.6,16.4,57.97,14.79,23.07,10.21,40.49,65.35,NATIONAL_TRUST_SURVEY,0.4961,2025-11-09
2012,GR,AT305,2.25,2.03,5.36,6.16,75.05,4.53,83.94,12.32,52.31,20.85,16.18,16.92,47.69,55.79,EUQLS,0.789,2026-01-21
2013,LT,IE6,5.66,6.21,5.49,2.17,68.96,6.25,81.14,6.24,79.04,14.21,12.32,6.64,43.24,83.78,ESS,1.7581,2025-10-07
2014,PT,FR541,3.36,5.93,4.59,3.56,68.77,4.96,46.71,12.78,52.44,10.92,27.45,17.57,38.52,46.37,EUROBAROMETER,3.9422,2024-02-10
2015,SE,PL494,3.81,7.52,4.58,2.43,89.02,7.98,100.0,11.47,53.38,29.22,21.41,8.48,32.19,46.1,NATIONAL_TRUST_SURVEY,1.3309,2025-06-18
2016,CY,IT546,5.77,6.16,7.92,3.36,80.86,4.85,44.45,15.98,44.88,25.01,10.49,14.26,81.14,78.71,EUQLS,4.5143,2025-08-25
2017,FR,PL88,5.81,2.82,7.53,5.94,74.81,3.5,84.72,8.68,70.42,27.31,38.75,15.95,79.39,54.51,ESS,2.575,2025-01-13
2018,IT,IT16,6.2,5.79,5.71,5.57,47.31,3.35,43.08,8.19,52.9,28.54,28.64,15.39,51.52,70.78,EUROBAROMETER,2.6738,2024-05-05
2019,NL,LT57,6.85,6.19,6.44,4.22,91.66,7.61,86.98,6.57,59.08,23.24,24.51,19.46,59.42,51.39,NATIONAL_TRUST_SURVEY,2.1656,2025-02-15
2020,SI,RO2,2.82,4.44,5.72,5.4,33.26,7.18,69.98,10.62,73.85,26.35,40.47,12.58,71.36,46.83,EUQLS,3.8233,2025-03-05
2021,BG,GR73,4.11,5.46,6.88,2.92,37.76,3.27,83.79,17.29,33.47,14.69,13.88,8.66,77.61,60.17,ESS,1.3448,2025-07-30
2022,EE,CY7,5.78,5.45,6.12,4.3,64.15,5.91,82.14,10.12,48.0,29.59,8.19,7.04,61.23,39.93,EUROBAROMETER,1.5391,2025-08-22
2023,HU,EE5,4.99,4.48,5.91,3.17,69.88,4.78,86.11,9.44,43.16,6.49,38.18,9.44,45.41,35.35,NATIONAL_TRUST_SURVEY,0.6879,2025-03-10
2024,LU,SI381,6.94,5.83,7.59,1.74,40.07,6.48,99.69,5.83,61.36,11.27,30.4,22.67,36.02,75.54,EUQLS,1.429,2025-12-12
2025,RO,DE292,3.18,4.18,6.99,2.16,47.41,4.84,64.0,13.98,56.0,11.97,32.76,18.6,86.06,48.72,ESS,3.861,2025-07-21
2006,AT,CY993,2.55,5.69,6.31,4.31,80.76,4.04,74.69,7.8,39.15,12.61,15.31,12.17,55.56,36.14,EUROBAROMETER,2.2526,2025-09-01
2007,CZ,SK98,6.13,5.44,6.56,1.82,47.76,6.19,85.27,12.01,39.35,13.07,30.11,5.92,42.16,56.71,NATIONAL_TRUST_SURVEY,2.936,2025-09-14
2008,DE,ES549,5.92,2.55,5.66,3.18,41.24,3.45,80.06,16.83,38.45,14.36,18.47,19.91,29.97,76.35,EUQLS,0.8152,2024-02-22
2009,LV,EE409,5.51,3.43,7.79,2.53,40.54,3.8,78.75,9.88,56.0,24.65,20.1,15.7,65.93,76.56,ESS,0.5414,2026-01-16
2010,PL,DK57,4.28,5.8,7.67,5.65,37.4,5.63,53.49,15.49,37.24,7.92,22.64,5.69,22.72,75.57,EUROBAROMETER,4.7985,2025-08-22
2011,ES,SI512,3.72,4.93,5.79,4.74,73.74,3.37,44.87,8.67,77.96,7.29,38.52,20.7,50.15,37.82,NATIONAL_TRUST_SURVEY,3.8635,2024-05-14
2012,HR,IE127,4.39,4.86,5.08,3.31,78.77,4.91,54.3,11.39,35.65,16.79,18.49,14.36,38.89,83.21,EUQLS,2.5677,2024-01-07
2013,FI,CZ99,5.68,5.66,8.32,5.86,67.77,4.13,60.53,9.67,74.54,21.6,27.95,21.74,26.64,78.07,ESS,0.7101,2024-08-21
