health_cb_reference_year,health_cb_country_of_treatment_iso2,health_cb_country_of_affiliation_iso2,health_cb_treatment_type_code,health_cb_prior_authorisation_required_flag,health_cb_cases_count,health_cb_reimbursement_amount_eur,health_cb_out_of_pocket_amount_eur,health_cb_waiting_time_avoidance_days,health_cb_patient_satisfaction_score,health_cb_denied_cases_count,health_cb_denial_reason_code,health_cb_appeals_count,health_cb_successful_appeals_count,health_cb_ehds_ready_flag,health_cb_ehealth_interoperability_flag,health_cb_data_source,health_cb_methodology_version,health_cb_last_update_date,health_cb_data_extract_date
2006,FR,MT,PLANNED_SURGERY,0,38830,54024896.41,7275936.42,126.43,3.85,1564,NO_PRIOR_AUTHORISATION,439,306,1,1,NCP_REPORTING,CBHC_V1,2021-06-08,2024-07-13
2007,LT,BG,DENTAL,1,13619,27442357.76,4693462.95,57.65,3.96,185,CAPACITY_LIMITS,46,22,1,0,INSURANCE_FUND_ADMIN,CBHC_V3,2021-06-27,2024-09-02
2008,SK,IE,RARE_DISEASE_CARE,1,18357,50758925.11,4892896.68,45.83,3.71,534,INCOMPLETE_DOCUMENTS,243,138,0,0,EHDS_PILOT,CBHC_V2,2021-07-16,2024-10-28
2009,HR,SI,TELECONSULTATION,0,17783,40059133.0,4438060.7,71.79,4.82,1326,ALTERNATIVE_AVAILABLE,469,180,0,0,PATIENT_SURVEY,CBHC_V1,2021-08-04,2025-11-26
2010,DE,FI,MATERNITY,0,50844,50709825.29,11521916.77,171.01,2.69,1833,MEDICAL_JUSTIFICATION,294,133,0,1,NCP_REPORTING,CBHC_V3,2021-08-23,2024-06-21
2011,LU,NL,DIAGNOSTICS,1,7044,7672632.18,805479.46,290.05,4.82,767,OTHER,419,265,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2021-09-11,2026-01-19
2012,SI,HR,REHABILITATION,1,14387,2020090.57,635726.28,9.0,2.53,2249,NOT_COVERED,291,116,0,0,EHDS_PILOT,CBHC_V1,2021-09-30,2025-03-20
2013,CY,IT,CANCER_CARE,1,3257,10734602.64,2358664.94,31.98,4.36,583,NO_PRIOR_AUTHORISATION,308,229,0,0,PATIENT_SURVEY,CBHC_V3,2021-10-19,2024-05-20
2014,GR,ES,PLANNED_SURGERY,0,35123,79890094.26,20109552.55,249.6,2.75,2057,CAPACITY_LIMITS,979,490,0,0,NCP_REPORTING,CBHC_V2,2021-11-07,2025-04-08
2015,MT,FR,DENTAL,1,10489,13095934.99,2974902.81,155.9,3.79,1443,INCOMPLETE_DOCUMENTS,576,186,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2021-11-26,2025-01-07
2016,ES,PL,RARE_DISEASE_CARE,1,52761,161550344.53,18913567.34,56.55,4.99,9734,ALTERNATIVE_AVAILABLE,1644,1082,0,0,EHDS_PILOT,CBHC_V3,2021-12-15,2025-12-28
2017,CZ,CY,TELECONSULTATION,0,17011,6391433.51,2198101.34,21.63,3.66,2253,MEDICAL_JUSTIFICATION,652,318,1,0,PATIENT_SURVEY,CBHC_V2,2022-01-03,2024-06-18
2018,HU,LV,MATERNITY,0,8337,10402142.66,3008788.31,185.56,2.7,358,OTHER,67,23,1,0,NCP_REPORTING,CBHC_V1,2022-01-22,2026-02-02
2019,NL,SE,DIAGNOSTICS,0,42380,33414819.48,8872029.76,62.71,3.58,2179,NOT_COVERED,1053,373,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2022-02-10,2025-04-09
2020,SE,DE,REHABILITATION,1,16150,22095073.01,7085754.31,22.66,3.03,2610,NO_PRIOR_AUTHORISATION,1253,618,0,1,EHDS_PILOT,CBHC_V2,2022-03-01,2024-12-23
2021,DK,PT,CANCER_CARE,0,3742,4947669.37,1553211.93,92.49,3.01,466,CAPACITY_LIMITS,243,126,0,1,PATIENT_SURVEY,CBHC_V1,2022-03-20,2025-01-16
2022,IE,CZ,PLANNED_SURGERY,1,35740,133875160.49,35362004.04,216.25,4.31,2134,INCOMPLETE_DOCUMENTS,815,354,1,0,NCP_REPORTING,CBHC_V3,2022-04-08,2025-01-26
2023,PL,LT,DENTAL,0,15950,31107104.3,7642934.03,41.39,3.84,1910,ALTERNATIVE_AVAILABLE,916,260,0,1,INSURANCE_FUND_ADMIN,CBHC_V2,2022-04-27,2024-12-29
2024,AT,AT,RARE_DISEASE_CARE,0,7501,22765035.19,6061696.48,38.06,3.46,676,MEDICAL_JUSTIFICATION,356,195,0,0,EHDS_PILOT,CBHC_V1,2022-05-16,2025-04-02
2025,EE,GR,TELECONSULTATION,0,5652,8913852.52,3092040.7,99.28,4.69,703,OTHER,173,59,1,1,PATIENT_SURVEY,CBHC_V3,2022-06-04,2024-08-20
2006,IT,RO,MATERNITY,1,35566,57926778.32,10215853.64,85.45,3.59,5834,NOT_COVERED,498,332,0,0,NCP_REPORTING,CBHC_V2,2022-06-23,2024-02-20
2007,PT,DK,DIAGNOSTICS,1,32146,18952534.06,7197436.06,209.92,4.98,4787,NO_PRIOR_AUTHORISATION,549,251,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2022-07-12,2025-01-14
2008,BE,LU,REHABILITATION,0,32337,65076789.07,16558330.93,97.52,3.82,4567,CAPACITY_LIMITS,1993,1419,0,0,EHDS_PILOT,CBHC_V3,2022-07-31,2024-12-27
2009,FI,BE,CANCER_CARE,1,24821,46027760.4,16390952.48,48.1,4.38,1301,INCOMPLETE_DOCUMENTS,390,261,1,0,PATIENT_SURVEY,CBHC_V2,2022-08-19,2024-02-27
2010,LV,HU,PLANNED_SURGERY,1,15011,20865587.26,5849121.28,36.74,3.16,2088,ALTERNATIVE_AVAILABLE,417,105,0,1,NCP_REPORTING,CBHC_V1,2022-09-07,2025-08-26
2011,RO,SK,DENTAL,1,34932,16510477.75,3322741.89,179.12,4.79,1084,MEDICAL_JUSTIFICATION,251,195,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2022-09-26,2024-08-04
2012,BG,EE,RARE_DISEASE_CARE,1,29470,62706282.3,21945482.92,179.57,4.87,5630,OTHER,880,258,0,0,EHDS_PILOT,CBHC_V2,2022-10-15,2025-01-17
2013,FR,MT,TELECONSULTATION,0,52181,20300572.25,2147396.43,28.28,3.71,748,NOT_COVERED,210,85,0,0,PATIENT_SURVEY,CBHC_V1,2022-11-03,2025-05-07
2014,LT,BG,MATERNITY,0,11598,17311607.8,3276613.96,169.52,3.34,1526,NO_PRIOR_AUTHORISATION,161,90,0,0,NCP_REPORTING,CBHC_V3,2022-11-22,2024-06-08
2015,SK,IE,DIAGNOSTICS,0,9950,2525044.98,697622.05,198.34,3.98,274,CAPACITY_LIMITS,66,49,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2022-12-11,2024-05-31
2016,HR,SI,REHABILITATION,1,29527,15049014.16,1543067.87,120.3,2.71,2779,INCOMPLETE_DOCUMENTS,581,166,0,0,EHDS_PILOT,CBHC_V1,2022-12-30,2026-02-20
2017,DE,FI,CANCER_CARE,1,24546,56948840.63,14986348.64,68.61,4.4,354,ALTERNATIVE_AVAILABLE,42,20,1,0,PATIENT_SURVEY,CBHC_V3,2023-01-18,2025-06-10
2018,LU,NL,PLANNED_SURGERY,1,8689,21434826.19,5961803.73,204.78,4.88,177,MEDICAL_JUSTIFICATION,42,12,0,0,NCP_REPORTING,CBHC_V2,2023-02-06,2024-07-14
2019,SI,HR,DENTAL,0,2740,1642616.92,531991.5,1.77,2.53,77,OTHER,41,26,0,1,INSURANCE_FUND_ADMIN,CBHC_V1,2023-02-25,2025-02-24
2020,CY,IT,RARE_DISEASE_CARE,1,31038,98261751.1,33558072.17,159.46,4.48,6252,NOT_COVERED,2573,1787,0,0,EHDS_PILOT,CBHC_V3,2023-03-16,2025-01-13
2021,GR,ES,TELECONSULTATION,1,10751,2802784.35,674123.08,31.07,3.5,382,NO_PRIOR_AUTHORISATION,126,53,0,1,PATIENT_SURVEY,CBHC_V2,2023-04-04,2025-07-12
2022,MT,FR,MATERNITY,1,12538,17530192.05,1606449.74,158.4,4.02,2482,CAPACITY_LIMITS,470,166,1,0,NCP_REPORTING,CBHC_V1,2023-04-23,2024-04-17
2023,ES,PL,DIAGNOSTICS,1,15781,6736716.7,2530079.62,116.86,3.13,2834,INCOMPLETE_DOCUMENTS,469,301,1,1,INSURANCE_FUND_ADMIN,CBHC_V3,2023-05-12,2024-10-06
2024,CZ,CY,REHABILITATION,1,16719,21316696.18,1181029.62,108.3,4.9,999,ALTERNATIVE_AVAILABLE,110,80,1,1,EHDS_PILOT,CBHC_V2,2023-05-31,2024-11-07
2025,HU,LV,CANCER_CARE,1,23980,62416615.93,13850224.18,158.35,4.74,866,MEDICAL_JUSTIFICATION,190,145,1,0,PATIENT_SURVEY,CBHC_V1,2023-06-19,2024-04-03
2006,NL,SE,PLANNED_SURGERY,1,22181,46976999.06,13572611.26,198.5,3.15,3704,OTHER,387,236,0,0,NCP_REPORTING,CBHC_V3,2023-07-08,2025-01-25
2007,SE,DE,DENTAL,0,7903,11538813.88,2557649.06,53.87,2.98,216,NOT_COVERED,106,61,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2023-07-27,2026-02-21
2008,DK,PT,RARE_DISEASE_CARE,1,28555,9888186.01,3412734.13,119.7,2.63,3230,NO_PRIOR_AUTHORISATION,518,200,1,0,EHDS_PILOT,CBHC_V1,2023-08-15,2024-03-29
2009,IE,CZ,TELECONSULTATION,0,11812,15384297.44,5134745.81,60.41,2.57,1264,CAPACITY_LIMITS,677,250,1,0,PATIENT_SURVEY,CBHC_V3,2023-09-03,2025-07-20
2010,PL,LT,MATERNITY,0,23110,9997547.3,1082480.58,8.87,2.54,400,INCOMPLETE_DOCUMENTS,89,66,0,0,NCP_REPORTING,CBHC_V2,2023-09-22,2025-01-18
2011,AT,AT,DIAGNOSTICS,0,7714,10805909.82,3098746.2,190.69,2.83,1132,ALTERNATIVE_AVAILABLE,521,383,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2023-10-11,2025-06-25
2012,EE,GR,REHABILITATION,1,8371,13307263.35,2909564.91,83.02,3.4,1247,MEDICAL_JUSTIFICATION,95,48,0,0,EHDS_PILOT,CBHC_V3,2023-10-30,2025-08-16
2013,IT,RO,CANCER_CARE,1,2013,2382443.22,525705.36,14.57,4.25,259,OTHER,131,94,0,0,PATIENT_SURVEY,CBHC_V2,2023-11-18,2025-09-14
2014,PT,DK,PLANNED_SURGERY,1,14904,14616214.76,4214295.2,99.79,2.98,2774,NOT_COVERED,297,86,0,0,NCP_REPORTING,CBHC_V1,2023-12-07,2024-06-20
2015,BE,LU,DENTAL,0,26188,38233599.59,11390939.15,133.78,4.18,3897,NO_PRIOR_AUTHORISATION,1972,1536,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2023-12-26,2025-01-28
2016,FI,BE,RARE_DISEASE_CARE,0,14096,24546860.85,2284764.31,37.23,3.45,1937,CAPACITY_LIMITS,448,202,0,0,EHDS_PILOT,CBHC_V2,2024-01-14,2026-02-21
2017,LV,HU,TELECONSULTATION,0,19165,25335457.32,5855083.95,33.0,2.91,1667,INCOMPLETE_DOCUMENTS,825,284,0,0,PATIENT_SURVEY,CBHC_V1,2024-02-02,2024-06-12
2018,RO,SK,MATERNITY,0,30247,12086299.6,4540645.85,142.71,2.71,2937,ALTERNATIVE_AVAILABLE,1167,662,0,0,NCP_REPORTING,CBHC_V3,2024-02-21,2025-05-31
2019,BG,EE,DIAGNOSTICS,0,35506,22443157.37,6748152.37,166.62,4.72,1986,MEDICAL_JUSTIFICATION,242,89,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2024-03-11,2025-11-23
2020,FR,MT,REHABILITATION,1,30780,30388561.98,2190090.79,20.05,3.49,534,OTHER,212,158,0,0,EHDS_PILOT,CBHC_V1,2024-03-30,2025-08-12
2021,LT,BG,CANCER_CARE,1,29523,88493310.49,14508676.49,130.87,4.82,1442,NOT_COVERED,434,168,1,0,PATIENT_SURVEY,CBHC_V3,2024-04-18,2024-05-17
2022,SK,IE,PLANNED_SURGERY,1,26893,45392161.69,10633075.4,92.35,4.82,4476,NO_PRIOR_AUTHORISATION,554,363,1,1,NCP_REPORTING,CBHC_V2,2024-05-07,2024-01-27
2023,HR,SI,DENTAL,0,18132,25660571.46,5339414.42,38.87,3.53,389,CAPACITY_LIMITS,161,67,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2024-05-26,2024-04-05
2024,DE,FI,RARE_DISEASE_CARE,1,33917,67578559.27,24911889.08,104.47,3.11,2790,INCOMPLETE_DOCUMENTS,1483,799,0,1,EHDS_PILOT,CBHC_V3,2024-06-14,2025-12-24
2025,LU,NL,TELECONSULTATION,0,17401,21561116.48,4170922.2,112.8,3.08,1281,ALTERNATIVE_AVAILABLE,192,98,1,0,PATIENT_SURVEY,CBHC_V2,2024-07-03,2024-06-28
2006,SI,HR,MATERNITY,0,9428,13878641.12,2599579.58,165.8,4.81,1298,MEDICAL_JUSTIFICATION,352,212,1,0,NCP_REPORTING,CBHC_V1,2024-07-22,2026-02-25
2007,CY,IT,DIAGNOSTICS,0,22748,32129449.17,11896985.35,37.49,4.38,722,OTHER,358,112,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2024-08-10,2024-12-10
2008,GR,ES,REHABILITATION,1,10922,1665458.85,429093.6,186.05,4.1,1904,NOT_COVERED,796,211,0,0,EHDS_PILOT,CBHC_V2,2024-08-29,2024-07-29
2009,MT,FR,CANCER_CARE,1,17856,14201102.03,4208185.25,68.57,5.11,576,NO_PRIOR_AUTHORISATION,203,70,0,0,PATIENT_SURVEY,CBHC_V1,2024-09-17,2024-03-13
2010,ES,PL,PLANNED_SURGERY,0,31047,39181617.34,5514573.47,293.02,4.93,3251,CAPACITY_LIMITS,1621,416,0,0,NCP_REPORTING,CBHC_V3,2024-10-06,2025-05-01
2011,CZ,CY,DENTAL,0,29489,50304550.03,4228564.94,126.58,3.93,398,INCOMPLETE_DOCUMENTS,72,28,1,0,INSURANCE_FUND_ADMIN,CBHC_V2,2024-10-25,2024-09-05
2012,HU,LV,RARE_DISEASE_CARE,1,21657,51150236.97,10525261.41,33.63,3.43,322,ALTERNATIVE_AVAILABLE,40,15,0,0,EHDS_PILOT,CBHC_V1,2024-11-13,2025-12-11
2013,NL,SE,TELECONSULTATION,0,58016,98811947.07,17216853.39,69.4,5.09,3245,MEDICAL_JUSTIFICATION,208,55,0,0,PATIENT_SURVEY,CBHC_V3,2024-12-02,2025-09-20
2014,SE,DE,MATERNITY,0,27032,26781114.15,7139138.91,104.43,4.74,1515,OTHER,782,574,0,0,NCP_REPORTING,CBHC_V2,2024-12-21,2024-03-13
2015,DK,PT,DIAGNOSTICS,0,1126,238803.58,41097.64,253.02,4.15,36,NOT_COVERED,18,10,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2025-01-09,2024-09-22
2016,IE,CZ,REHABILITATION,0,33703,39171624.89,7594230.05,137.18,5.0,1281,NO_PRIOR_AUTHORISATION,521,288,1,0,EHDS_PILOT,CBHC_V3,2025-01-28,2025-08-31
2017,PL,LT,CANCER_CARE,1,30886,81053684.83,6071276.6,105.29,4.76,2273,CAPACITY_LIMITS,696,344,1,0,PATIENT_SURVEY,CBHC_V2,2025-02-16,2024-09-27
2018,AT,AT,PLANNED_SURGERY,1,33649,16976765.04,3777281.36,156.21,3.24,5398,INCOMPLETE_DOCUMENTS,2851,2200,0,0,NCP_REPORTING,CBHC_V1,2025-03-07,2024-10-20
2019,EE,GR,DENTAL,0,26253,6826943.33,1164516.51,46.95,4.98,1501,ALTERNATIVE_AVAILABLE,125,80,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2025-03-26,2024-10-11
2020,IT,RO,RARE_DISEASE_CARE,0,27083,45976620.14,16848374.71,40.11,3.99,2938,MEDICAL_JUSTIFICATION,496,323,0,1,EHDS_PILOT,CBHC_V2,2025-04-14,2025-02-14
2021,PT,DK,TELECONSULTATION,1,24271,44876505.23,12765511.14,105.5,3.4,3872,OTHER,1143,474,0,0,PATIENT_SURVEY,CBHC_V1,2025-05-03,2025-08-31
2022,BE,LU,MATERNITY,0,58624,67262018.73,13537627.72,203.51,5.09,8092,NOT_COVERED,2368,796,0,1,NCP_REPORTING,CBHC_V3,2025-05-22,2024-01-26
2023,FI,BE,DIAGNOSTICS,1,15655,6451084.07,1745960.44,146.69,3.55,1429,NO_PRIOR_AUTHORISATION,438,211,1,1,INSURANCE_FUND_ADMIN,CBHC_V2,2025-06-10,2025-05-08
2024,LV,HU,REHABILITATION,1,26932,40763664.75,7085101.09,73.96,3.76,505,CAPACITY_LIMITS,227,102,0,1,EHDS_PILOT,CBHC_V1,2025-06-29,2024-02-27
2025,RO,SK,CANCER_CARE,1,25134,18168769.56,6419198.58,68.81,3.05,327,INCOMPLETE_DOCUMENTS,146,45,1,1,PATIENT_SURVEY,CBHC_V3,2025-07-18,2025-08-05
2006,BG,EE,PLANNED_SURGERY,1,5198,12934439.39,2838553.16,226.18,3.61,710,ALTERNATIVE_AVAILABLE,111,28,0,0,NCP_REPORTING,CBHC_V2,2025-08-06,2024-06-04
2007,FR,MT,DENTAL,0,23670,32081689.45,9084851.19,34.73,3.65,1700,MEDICAL_JUSTIFICATION,188,67,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2025-08-25,2025-09-19
2008,LT,BG,RARE_DISEASE_CARE,1,14115,13586027.04,1936253.06,27.63,2.89,362,OTHER,80,22,0,0,EHDS_PILOT,CBHC_V3,2025-09-13,2024-04-13
2009,SK,IE,TELECONSULTATION,0,18027,15388533.37,5002581.56,138.02,4.38,587,NOT_COVERED,124,68,0,0,PATIENT_SURVEY,CBHC_V2,2025-10-02,2024-11-30
2010,HR,SI,MATERNITY,0,88,10537.15,1863.46,130.55,4.23,12,NO_PRIOR_AUTHORISATION,5,3,0,1,NCP_REPORTING,CBHC_V1,2025-10-21,2024-04-06
2011,DE,FI,DIAGNOSTICS,0,40665,32894063.86,5560905.48,238.53,4.85,5473,CAPACITY_LIMITS,2384,1117,1,0,INSURANCE_FUND_ADMIN,CBHC_V3,2025-11-09,2024-10-10
2012,LU,NL,REHABILITATION,1,35847,40035418.88,9472087.82,181.77,3.89,1089,INCOMPLETE_DOCUMENTS,511,269,0,0,EHDS_PILOT,CBHC_V2,2025-11-28,2024-05-26
2013,SI,HR,CANCER_CARE,1,31686,57746794.73,11045381.29,112.98,4.96,3183,ALTERNATIVE_AVAILABLE,366,167,0,0,PATIENT_SURVEY,CBHC_V1,2025-12-17,2025-10-27
2014,CY,IT,PLANNED_SURGERY,0,9773,10814220.11,3033981.62,14.74,3.77,702,MEDICAL_JUSTIFICATION,295,113,0,0,NCP_REPORTING,CBHC_V3,2026-01-05,2024-06-05
2015,GR,ES,DENTAL,0,35668,11881470.31,3142522.62,50.12,3.4,2634,OTHER,1300,349,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2026-01-24,2025-07-29
2016,MT,FR,RARE_DISEASE_CARE,1,11870,38987114.22,7276535.37,84.31,3.8,1463,NOT_COVERED,407,151,0,0,EHDS_PILOT,CBHC_V1,2026-02-12,2025-01-03
2017,ES,PL,TELECONSULTATION,1,42062,55433568.96,5948124.47,52.66,4.41,4888,NO_PRIOR_AUTHORISATION,2095,1526,0,0,PATIENT_SURVEY,CBHC_V3,2012-01-06,2025-04-15
2018,CZ,CY,MATERNITY,0,7592,8465085.24,2880926.95,2.63,3.98,111,CAPACITY_LIMITS,59,17,0,0,NCP_REPORTING,CBHC_V2,2012-01-25,2024-04-08
2019,HU,LV,DIAGNOSTICS,0,28920,10733041.24,1104345.29,17.53,3.5,3793,INCOMPLETE_DOCUMENTS,844,299,0,1,INSURANCE_FUND_ADMIN,CBHC_V1,2012-02-13,2025-02-23
2020,NL,SE,REHABILITATION,0,48527,28487749.81,10569593.29,64.35,3.23,3325,ALTERNATIVE_AVAILABLE,804,436,1,0,EHDS_PILOT,CBHC_V3,2012-03-03,2025-07-01
2021,SE,DE,CANCER_CARE,0,19647,28113614.27,9347569.91,85.91,4.81,2553,MEDICAL_JUSTIFICATION,438,285,0,1,PATIENT_SURVEY,CBHC_V2,2012-03-22,2024-09-09
2022,DK,PT,PLANNED_SURGERY,1,22566,69398771.59,18828202.32,37.81,4.14,1393,OTHER,222,168,1,0,NCP_REPORTING,CBHC_V1,2012-04-10,2024-08-18
2023,IE,CZ,DENTAL,0,34596,9569075.63,1075805.9,73.57,3.46,4047,NOT_COVERED,1235,381,1,1,INSURANCE_FUND_ADMIN,CBHC_V3,2012-04-29,2024-06-24
2024,PL,LT,RARE_DISEASE_CARE,1,8337,21354483.54,6561971.69,154.06,4.7,1012,NO_PRIOR_AUTHORISATION,435,276,0,0,EHDS_PILOT,CBHC_V2,2012-05-18,2024-05-25
2025,AT,AT,TELECONSULTATION,0,37051,6764555.4,783638.98,179.8,3.52,3140,CAPACITY_LIMITS,989,376,1,0,PATIENT_SURVEY,CBHC_V1,2012-06-06,2026-02-18
2006,EE,GR,MATERNITY,0,8478,1545556.54,322843.45,81.56,4.84,1040,INCOMPLETE_DOCUMENTS,548,399,1,0,NCP_REPORTING,CBHC_V3,2012-06-25,2024-01-23
2007,IT,RO,DIAGNOSTICS,1,22171,23702368.1,3009795.57,277.49,5.11,2256,ALTERNATIVE_AVAILABLE,401,129,1,0,INSURANCE_FUND_ADMIN,CBHC_V2,2012-07-14,2025-03-01
2008,PT,DK,REHABILITATION,1,6526,1158227.83,253884.12,186.84,2.81,615,MEDICAL_JUSTIFICATION,209,64,0,0,EHDS_PILOT,CBHC_V1,2012-08-02,2025-10-08
2009,BE,LU,CANCER_CARE,1,49096,135659742.13,19576490.97,135.19,2.69,2094,OTHER,472,282,0,0,PATIENT_SURVEY,CBHC_V3,2012-08-21,2024-08-07
2010,FI,BE,PLANNED_SURGERY,1,10203,8218435.05,1908355.37,202.47,2.79,1350,NOT_COVERED,593,377,0,0,NCP_REPORTING,CBHC_V2,2012-09-09,2025-04-01
2011,LV,HU,DENTAL,1,26511,39042661.54,9032163.45,64.32,4.17,4229,NO_PRIOR_AUTHORISATION,770,567,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2012-09-28,2026-02-02
2012,RO,SK,RARE_DISEASE_CARE,1,25704,10527739.02,2798986.9,105.22,4.02,3409,CAPACITY_LIMITS,1222,483,0,0,EHDS_PILOT,CBHC_V3,2012-10-17,2024-03-30
2013,BG,EE,TELECONSULTATION,0,13458,20128363.99,6684231.0,84.21,2.61,1068,INCOMPLETE_DOCUMENTS,352,245,0,0,PATIENT_SURVEY,CBHC_V2,2012-11-05,2025-08-30
2014,FR,MT,MATERNITY,0,54758,12595215.8,1978316.59,36.19,3.77,3223,ALTERNATIVE_AVAILABLE,761,481,0,0,NCP_REPORTING,CBHC_V1,2012-11-24,2025-12-07
2015,LT,BG,DIAGNOSTICS,0,25341,31876715.15,7594010.11,213.88,4.57,1434,MEDICAL_JUSTIFICATION,86,66,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2012-12-13,2024-01-04
2016,SK,IE,REHABILITATION,1,26099,23297325.13,8278092.7,138.75,2.58,5288,OTHER,1545,1179,0,1,EHDS_PILOT,CBHC_V2,2013-01-01,2025-11-30
2017,HR,SI,CANCER_CARE,1,8502,18196654.61,6581807.3,142.4,3.26,991,NOT_COVERED,441,178,0,0,PATIENT_SURVEY,CBHC_V1,2013-01-20,2025-12-25
2018,DE,FI,PLANNED_SURGERY,1,40641,45953925.9,9392451.44,132.68,4.38,787,NO_PRIOR_AUTHORISATION,247,117,0,0,NCP_REPORTING,CBHC_V3,2013-02-08,2024-01-10
2019,LU,NL,DENTAL,0,22494,35417398.58,5516313.86,61.89,3.29,3029,CAPACITY_LIMITS,1099,384,0,1,INSURANCE_FUND_ADMIN,CBHC_V2,2013-02-27,2025-02-12
2020,SI,HR,RARE_DISEASE_CARE,0,7130,5778700.78,773790.88,58.11,3.61,282,INCOMPLETE_DOCUMENTS,42,24,0,0,EHDS_PILOT,CBHC_V1,2013-03-18,2024-06-29
2021,CY,IT,TELECONSULTATION,0,22204,35496190.83,4511953.39,154.56,4.4,3214,ALTERNATIVE_AVAILABLE,1093,827,0,0,PATIENT_SURVEY,CBHC_V3,2013-04-06,2025-10-02
2022,GR,ES,MATERNITY,0,3049,888839.28,214370.49,20.29,3.7,87,MEDICAL_JUSTIFICATION,30,18,1,1,NCP_REPORTING,CBHC_V2,2013-04-25,2024-03-18
2023,MT,FR,DIAGNOSTICS,0,28733,11519545.52,1735645.81,150.46,4.79,2156,OTHER,204,132,1,1,INSURANCE_FUND_ADMIN,CBHC_V1,2013-05-14,2025-06-16
2024,ES,PL,REHABILITATION,1,5489,6762999.22,1487146.19,87.7,2.83,950,NOT_COVERED,223,70,1,0,EHDS_PILOT,CBHC_V3,2013-06-02,2024-11-15
2025,CZ,CY,CANCER_CARE,0,31579,36339524.36,2367112.99,146.41,3.27,1561,NO_PRIOR_AUTHORISATION,755,449,0,0,PATIENT_SURVEY,CBHC_V2,2013-06-21,2025-08-26
2006,HU,LV,PLANNED_SURGERY,1,22715,15054400.78,3301053.81,77.07,4.26,1016,CAPACITY_LIMITS,287,183,0,0,NCP_REPORTING,CBHC_V1,2013-07-10,2025-10-30
2007,NL,SE,DENTAL,0,9854,6109259.55,1862227.14,86.49,3.8,905,INCOMPLETE_DOCUMENTS,60,46,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2013-07-29,2024-06-03
2008,SE,DE,RARE_DISEASE_CARE,0,17779,20758724.23,7695574.06,156.43,4.06,1014,ALTERNATIVE_AVAILABLE,63,45,1,1,EHDS_PILOT,CBHC_V2,2013-08-17,2025-03-05
2009,DK,PT,TELECONSULTATION,0,3435,2362794.75,199571.04,125.15,4.38,116,MEDICAL_JUSTIFICATION,28,16,0,0,PATIENT_SURVEY,CBHC_V1,2013-09-05,2024-07-12
2010,IE,CZ,MATERNITY,1,7133,6009366.12,623420.07,99.5,2.55,930,OTHER,178,120,0,0,NCP_REPORTING,CBHC_V3,2013-09-24,2025-11-29
2011,PL,LT,DIAGNOSTICS,0,25669,16830369.83,5145672.42,145.59,3.42,3356,NOT_COVERED,231,152,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2013-10-13,2024-03-17
2012,AT,AT,REHABILITATION,1,4047,667044.43,61442.22,195.74,5.11,830,NO_PRIOR_AUTHORISATION,145,36,0,1,EHDS_PILOT,CBHC_V1,2013-11-01,2024-02-08
2013,EE,GR,CANCER_CARE,1,20688,26385090.11,3944735.06,160.28,2.6,2169,CAPACITY_LIMITS,996,324,0,0,PATIENT_SURVEY,CBHC_V3,2013-11-20,2024-12-02
2014,IT,RO,PLANNED_SURGERY,1,43630,51792986.12,16156719.7,56.68,2.7,6954,INCOMPLETE_DOCUMENTS,835,448,0,0,NCP_REPORTING,CBHC_V2,2013-12-09,2025-02-11
2015,PT,DK,DENTAL,0,27597,48098250.09,5548117.87,38.48,2.62,362,ALTERNATIVE_AVAILABLE,26,7,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2013-12-28,2025-02-05
2016,BE,LU,RARE_DISEASE_CARE,0,31590,30048790.22,3391127.04,148.95,3.5,3906,MEDICAL_JUSTIFICATION,1931,1007,0,0,EHDS_PILOT,CBHC_V3,2014-01-16,2024-03-31
2017,FI,BE,TELECONSULTATION,0,30413,33567478.25,9267949.81,133.71,2.78,375,OTHER,66,19,0,0,PATIENT_SURVEY,CBHC_V2,2014-02-04,2024-11-09
2018,LV,HU,MATERNITY,0,30007,49977981.6,13430943.46,174.41,4.61,3406,NOT_COVERED,795,605,1,1,NCP_REPORTING,CBHC_V1,2014-02-23,2025-10-25
