demo_popproj_projection_year,demo_popproj_geography_lgd_code,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2025,30866676,20-24,M,ST,48300,49093,44297,52068,21168,33393,-10153,3625,259329,38532,0.9539,2.96,0.0003,2022-Q%q,COHORTCOMP
2034,89542195,25-29,F,OBC,1203130,1356752,1292668,1434905,8685,28113,8318,-9442,111268,8456,0.9524,3.38,0.0159,2019-Q%q,BAYES
2027,56882740,85+,M,OBC,31417,35859,33595,38358,40430,10157,7176,-2203,83645,16951,0.9249,3.21,0.028,2025-Q%q,COHORTCOMP
2030,71791137,85+,F,OBC,670360,595071,551333,648049,10,50947,12750,-6096,191715,12586,0.8842,3.79,0.0241,2018-Q%q,TREND
2040,49615700,75-79,X,ST,1600287,1706198,1527319,1872053,1917,39698,-5922,-8258,190846,1852,0.9858,1.99,0.034,2026-Q%q,TREND
2026,70046916,45-49,M,OBC,358740,379746,358413,398811,26263,21619,20675,4724,389343,10917,0.8821,3.25,0.0273,2026-Q%q,COHORTCOMP
2021,85717658,60-64,M,General,969803,872780,793894,949195,24102,52237,-2303,3767,362926,27495,0.9408,3.24,-0.0122,2019-Q%q,COHORTCOMP
2023,73293536,05-09,M,General,76013,77133,72602,85923,30962,3455,42841,5903,593048,46337,0.9312,1.28,-0.0011,2024-Q%q,BAYES
2036,47585393,40-44,F,OBC,1231036,1297930,1174421,1361285,51673,25857,-3081,-5967,211252,48250,0.8917,2.48,0.033,2026-Q%q,HYBRID
2026,79262899,20-24,M,ST,705159,782812,728428,855567,43521,15630,20809,4441,465411,18435,0.9642,1.63,0.0362,2018-Q%q,BAYES
2026,27547539,45-49,M,General,568624,501215,465358,538984,51547,58601,-33753,-3598,501012,21491,0.9091,2.12,-0.0129,2022-Q%q,COHORTCOMP
2041,61298198,15-19,X,General,1048171,1233863,1171039,1349763,76052,46817,-44007,6328,321487,25689,0.9543,2.43,-0.0137,2026-Q%q,TREND
2032,13038831,20-24,X,Other,1109901,1093891,963185,1225005,38200,4898,31570,9625,269312,29121,0.9819,2.43,-0.0092,2020-Q%q,BAYES
2022,41556967,00-04,X,General,429720,435918,394823,484091,55705,14729,32899,-2344,345429,26925,0.9766,2.85,-0.0169,2020-Q%q,CENSUS_ADJ
2032,69597847,25-29,M,General,618016,643332,610812,682242,1596,19918,31112,7860,252009,37710,0.9902,1.95,0.0151,2018-Q%q,HYBRID
2041,71001121,10-14,F,SC,736467,702780,649300,769667,2254,9736,-21161,-8094,325924,25806,0.9234,2.23,0.0487,2025-Q%q,COHORTCOMP
2041,94131916,25-29,X,Other,821068,945748,899324,1006973,72698,14871,-6778,-9927,559050,10984,0.9647,1.6,-0.0008,2019-Q%q,TREND
2023,61077012,25-29,F,Other,964566,1043496,994278,1101606,23208,23188,4244,5136,96837,2435,0.9581,2.17,0.0394,2025-Q%q,HYBRID
2028,20231409,65-69,X,SC,1784233,1923012,1788111,2135600,5160,46021,-49972,-3117,10308,40634,0.9381,3.22,-0.0122,2025-Q%q,HYBRID
2040,27525301,45-49,F,General,1074238,1048075,944651,1152747,41568,20471,-26015,2991,532147,3199,0.9866,3.77,0.0142,2022-Q%q,HYBRID
2028,71480372,50-54,X,ST,350687,375262,341832,395981,45471,38651,-1384,979,550943,36683,0.9713,1.61,-0.0133,2022-Q%q,COHORTCOMP
2038,65981266,50-54,X,OBC,1403999,1510864,1383664,1587251,31652,22289,-37050,3675,167009,16818,0.905,3.56,0.0388,2020-Q%q,TREND
2022,59338481,65-69,M,OBC,1728224,1552783,1452403,1749792,56749,32906,-48896,-1573,172668,37569,0.9784,2.16,0.0493,2025-Q%q,TREND
2026,59956502,35-39,F,SC,1143808,1206411,1127493,1326069,38491,9620,35877,849,494293,28723,0.989,3.73,-0.0177,2023-Q%q,BAYES
2039,78612207,40-44,F,SC,90134,108329,102868,114044,42149,24844,45577,5280,256272,46577,0.9178,1.33,0.022,2020-Q%q,TREND
2036,38606698,85+,M,General,350805,349397,325342,381627,68170,38590,-2451,7982,371910,33211,0.9477,3.26,0.0056,2019-Q%q,COHORTCOMP
2037,15993518,75-79,F,General,1127819,1299118,1216721,1406740,22474,57738,24003,-7459,26301,9203,0.8865,2.24,0.0185,2024-Q%q,BAYES
2035,98500043,25-29,F,ST,90397,111771,104258,119846,56270,53680,-16528,1553,440451,28234,0.9727,1.56,0.0111,2023-Q%q,COHORTCOMP
2038,95256777,40-44,X,Other,1415646,1600035,1503890,1720544,70798,18953,-25695,6796,39654,13612,0.9879,2.55,0.0034,2021-Q%q,TREND
2038,38718765,30-34,M,General,1957225,2161471,1985024,2292146,31059,2648,-785,3928,216582,2275,0.9924,1.26,0.0189,2025-Q%q,CENSUS_ADJ
2021,56964260,20-24,F,Other,250952,218746,202059,242699,16976,46994,-2022,5179,330879,7357,0.9735,1.73,0.0433,2018-Q%q,TREND
2024,14198579,15-19,M,SC,824826,1010782,951713,1087056,58366,19978,903,-9578,82991,44550,0.9014,1.46,0.0359,2023-Q%q,BAYES
2033,14199925,45-49,F,ST,84028,98835,89099,106416,48847,15437,-40238,-2559,321945,36500,0.9369,2.59,0.0072,2025-Q%q,CENSUS_ADJ
2040,50400952,30-34,X,General,493991,509635,464604,562630,4477,3456,-5344,-4199,506385,42843,0.8988,3.11,0.0383,2020-Q%q,HYBRID
2029,73992652,40-44,F,OBC,1499023,1416367,1298869,1515142,76148,10456,-28474,690,27269,7667,0.975,2.83,0.0262,2023-Q%q,HYBRID
2033,12523100,45-49,X,SC,847437,1014276,914299,1068371,48092,47700,21952,-2355,194584,40037,0.9845,3.73,-0.0137,2018-Q%q,HYBRID
2032,93218951,55-59,M,SC,1882334,2093258,1949764,2253205,19196,13386,-5474,9569,104435,19262,0.9843,2.19,-0.0173,2022-Q%q,COHORTCOMP
2035,42213448,80-84,M,Other,646692,682565,642312,739917,31702,43683,5254,4572,303213,23492,0.9271,3.75,0.0374,2024-Q%q,BAYES
2040,91767194,20-24,M,Other,490581,536287,506697,586292,65128,39373,27895,-2937,297397,36017,0.975,2.23,0.0398,2025-Q%q,CENSUS_ADJ
2035,75483963,05-09,X,General,1368476,1280530,1172350,1397729,32353,47264,29002,9215,566910,22598,0.93,3.08,-0.0106,2021-Q%q,BAYES
2037,14694876,20-24,M,Other,1203178,1320022,1254087,1411256,8999,44421,-31382,-261,215458,26969,0.9499,2.86,0.0477,2018-Q%q,CENSUS_ADJ
2026,30360476,80-84,X,Other,908887,847989,781808,951732,68383,50558,22792,170,162983,22417,0.9141,3.72,0.044,2020-Q%q,BAYES
2028,92611665,15-19,X,ST,1320973,1594364,1461168,1671524,63594,50712,-49309,9769,354175,14811,0.9021,2.68,0.0496,2022-Q%q,COHORTCOMP
2031,20247580,85+,M,Other,42685,47266,42257,50633,73280,42010,-16887,-6549,573328,7164,0.8839,1.47,-0.0026,2020-Q%q,HYBRID
2034,42947197,80-84,X,SC,495215,500833,464625,558580,25298,27373,20050,6910,432758,39097,0.971,3.15,0.0144,2018-Q%q,HYBRID
2041,55706113,85+,F,ST,1397382,1319399,1198025,1443224,37868,30799,-2265,408,129368,252,0.9749,1.38,0.0469,2021-Q%q,TREND
2028,27520532,75-79,M,SC,71700,80046,72853,87214,54789,49121,-7442,252,59325,47941,0.8804,2.78,0.0197,2025-Q%q,CENSUS_ADJ
2038,49900702,50-54,M,OBC,1355058,1330726,1171545,1456005,63896,47792,-43544,2464,437810,22421,0.9365,1.36,0.0297,2021-Q%q,CENSUS_ADJ
2021,97556195,00-04,X,ST,1250638,1193939,1082063,1327233,42397,57065,-40964,-1570,242817,40676,0.9645,1.6,0.012,2018-Q%q,TREND
2025,91625290,60-64,X,SC,1636024,1816079,1690055,1965015,53753,48170,30705,3673,397388,24078,0.9722,3.63,0.0289,2018-Q%q,HYBRID
2038,75190200,70-74,X,OBC,149049,153480,140709,166968,23605,32656,34596,92,82076,15114,0.8848,2.76,-0.0189,2021-Q%q,HYBRID
2034,54253188,85+,M,SC,1381885,1473900,1360925,1602988,71162,43811,-3940,2197,124550,1083,0.9915,1.82,0.0299,2018-Q%q,BAYES
2033,93382011,15-19,X,Other,317724,336363,315478,355860,3278,19262,-49277,-5457,171965,38338,0.8853,1.56,-0.0159,2023-Q%q,CENSUS_ADJ
2025,87984957,85+,F,SC,1657701,1933954,1823081,2035397,65743,8660,1540,839,309516,46299,0.9408,2.41,0.0274,2019-Q%q,CENSUS_ADJ
2026,83210323,40-44,F,OBC,258928,301681,288498,318174,351,43826,-30509,-8032,77224,1362,0.9623,3.74,0.0344,2021-Q%q,BAYES
2029,27623850,65-69,X,Other,320138,283212,248876,308785,19828,20625,2905,-8674,479987,22786,0.9119,2.37,0.0072,2023-Q%q,BAYES
2023,20067860,45-49,X,OBC,469956,537091,485747,589549,28742,33126,39879,-8143,86626,3493,0.9559,1.3,0.0043,2022-Q%q,CENSUS_ADJ
2040,52949758,10-14,M,SC,65047,55645,49565,61149,23300,33874,-42210,9379,307620,49649,0.9679,3.48,0.0247,2018-Q%q,CENSUS_ADJ
2023,24317335,20-24,M,SC,886925,981689,931446,1064168,12882,6789,-44826,-7108,550690,24304,0.9421,1.24,0.046,2018-Q%q,BAYES
2027,37999920,05-09,M,General,1503302,1829744,1698400,2002085,36369,15118,10868,1290,507582,13886,0.9493,3.67,0.0061,2020-Q%q,BAYES
2031,95725064,85+,M,Other,1354033,1301784,1233772,1391659,11139,6238,-8184,-1145,195192,9820,0.9689,1.88,-0.0179,2020-Q%q,BAYES
2029,66922176,55-59,F,Other,122896,115238,100615,124962,10911,32002,-46642,8948,91061,22191,0.923,3.79,0.0155,2026-Q%q,CENSUS_ADJ
2027,76398534,20-24,M,OBC,1096098,1056909,965874,1136677,23011,21332,41157,-6770,463046,20044,0.891,3.35,0.0389,2021-Q%q,TREND
2021,25089740,05-09,F,General,356964,308737,269096,329984,20789,38908,-19494,4501,162011,16299,0.9931,3.02,0.0265,2022-Q%q,COHORTCOMP
2037,73713761,65-69,X,General,1132897,1135639,1002789,1218707,27232,21768,-1484,-7059,458672,8563,0.9721,2.65,0.0183,2026-Q%q,TREND
2030,14817646,70-74,X,OBC,1583345,1724853,1598021,1851791,61554,46483,19599,7017,487439,21123,0.8833,2.12,0.0494,2019-Q%q,CENSUS_ADJ
2022,64742599,85+,M,Other,1231460,1471155,1350777,1556410,69591,9010,-43109,-317,467544,27834,0.9939,2.03,0.046,2022-Q%q,COHORTCOMP
2024,13662812,80-84,X,Other,1132680,1351696,1223362,1482383,36596,26931,5448,-5871,76299,40737,0.9452,2.94,-0.0052,2024-Q%q,HYBRID
2030,65390607,05-09,F,General,989725,954273,879010,1034523,65812,43429,42412,-9233,587280,14387,0.9161,1.88,-0.0004,2018-Q%q,TREND
2037,48307692,40-44,F,Other,1626642,2004310,1813033,2141915,45325,2008,9536,7188,575938,24647,0.9731,2.86,0.0174,2026-Q%q,CENSUS_ADJ
2022,42616494,40-44,X,General,720135,677003,618371,759415,36056,4406,-1172,-5243,149038,44299,0.9627,1.92,0.0248,2018-Q%q,HYBRID
2029,72405569,00-04,X,OBC,124212,106505,96003,119388,22988,7153,-48147,8004,236053,9415,0.9657,1.83,0.025,2025-Q%q,TREND
2034,36643536,05-09,M,Other,1887211,2268111,2116455,2452272,50185,53218,-33495,4910,302153,37698,0.8937,2.81,0.0105,2024-Q%q,TREND
2021,81861180,60-64,M,Other,1796061,1565900,1421020,1708790,46979,31545,-33454,-8236,581201,19441,0.8868,1.68,0.0017,2024-Q%q,BAYES
2036,32908964,30-34,F,ST,1440579,1635129,1480309,1767184,45128,1852,-46552,3914,67190,45385,0.9197,1.5,-0.0177,2021-Q%q,BAYES
2026,24962696,60-64,F,General,1122851,1301771,1169483,1422323,58402,41712,25029,7681,580464,8886,0.9172,1.86,-0.0069,2025-Q%q,CENSUS_ADJ
2030,93912163,65-69,M,OBC,1048471,973774,905992,1026386,61680,44772,-15058,7268,401581,19320,0.9435,1.74,0.0329,2022-Q%q,HYBRID
2021,31538311,50-54,X,OBC,1474240,1409215,1247355,1549434,58123,24502,32813,3749,531189,36597,0.9276,2.68,0.0046,2025-Q%q,BAYES
2033,17150512,30-34,M,General,1384488,1246862,1159239,1354335,69763,18666,34393,-9218,222465,48692,0.9477,2.69,-0.0196,2021-Q%q,HYBRID
2026,88514135,05-09,F,ST,1772810,1808844,1705894,1918404,23049,49792,-9979,-1059,424887,7092,0.9939,1.53,-0.0062,2022-Q%q,TREND
2027,97526210,35-39,X,OBC,1802193,2199453,2025078,2386838,34648,43566,-32831,-3509,531305,39445,0.8981,1.25,-0.012,2025-Q%q,TREND
2035,68163777,10-14,X,SC,360736,318959,298658,344757,34309,55987,-43001,5861,269170,11876,0.9374,3.3,-0.0197,2020-Q%q,BAYES
2025,65359795,80-84,X,ST,777104,916280,852305,1006162,50180,44289,-29100,-3208,437532,12485,0.9743,1.76,0.0301,2022-Q%q,COHORTCOMP
2033,65866066,75-79,M,Other,1567144,1748507,1662285,1856033,70894,51167,12376,-7825,140587,28867,0.8938,2.43,0.0387,2018-Q%q,TREND
2022,33618032,15-19,M,SC,1914444,2046476,1863086,2220271,37096,54687,-16275,-9314,241960,25162,0.9233,3.71,-0.0036,2022-Q%q,TREND
2039,98675307,45-49,F,General,896261,971803,888742,1038120,70808,5167,19325,-7160,418704,11087,0.8949,3.19,-0.0082,2023-Q%q,HYBRID
2021,18773409,45-49,M,ST,609477,662360,624697,718083,71008,40544,28553,-6036,136240,18508,0.9491,1.49,-0.0146,2020-Q%q,CENSUS_ADJ
2038,48937498,60-64,M,General,1772500,2029821,1853315,2149499,65924,40509,28909,-3611,595091,1768,0.9741,2.9,0.0414,2025-Q%q,CENSUS_ADJ
2031,97371281,70-74,F,General,1958188,2295241,2161033,2501827,71049,29108,22182,-3691,465657,48718,0.8992,2.61,0.0311,2020-Q%q,COHORTCOMP
2030,99606082,70-74,M,ST,1788446,1577074,1484322,1733942,30534,2294,-15528,-7861,251403,29641,0.9436,3.19,0.0472,2024-Q%q,TREND
2022,95714417,85+,F,SC,432918,485396,445226,535604,55905,48046,-25660,-4590,585462,39392,0.9199,2.33,0.021,2025-Q%q,CENSUS_ADJ
2035,52247258,45-49,M,Other,22402,23989,21706,25812,2437,39831,47509,7781,403771,43281,0.9757,3.22,0.0392,2021-Q%q,HYBRID
2041,28826426,60-64,M,Other,1865484,1956431,1831819,2124354,71095,30358,18306,270,177424,34992,0.9192,2.94,-0.0051,2024-Q%q,HYBRID
2034,21228193,15-19,X,ST,471897,565308,521968,593362,29319,6796,21220,-8626,105247,9977,0.9935,1.34,0.0162,2024-Q%q,COHORTCOMP
2026,23830195,65-69,X,General,205662,239853,226631,252257,74151,30925,-32855,2064,212947,47748,0.9826,1.55,0.044,2025-Q%q,HYBRID
2026,33672884,00-04,X,OBC,206107,189104,177093,200225,5496,46294,6338,-7378,48416,40446,0.9111,1.27,-0.0009,2023-Q%q,HYBRID
2041,36179753,00-04,M,OBC,688747,684434,614204,721578,70281,57683,-38737,-2455,541209,35132,0.9114,1.98,-0.0063,2024-Q%q,TREND
2022,43323757,55-59,F,OBC,822460,1000723,951050,1068116,13216,4431,38120,-2588,278050,31857,0.9042,2.15,0.0361,2020-Q%q,CENSUS_ADJ
2027,49974504,55-59,M,SC,1537515,1533037,1401726,1624237,57765,6356,-39840,-9098,352270,26569,0.9157,2.07,0.0368,2025-Q%q,COHORTCOMP
2024,93380303,50-54,X,Other,1904471,2267352,2129242,2457452,12090,48570,-5235,-8749,388673,32338,0.9672,2.49,0.0465,2019-Q%q,TREND
2032,73202547,00-04,F,SC,266939,280693,256034,308318,70343,54807,10453,6235,282747,7380,0.9074,2.68,-0.0197,2023-Q%q,TREND
2039,99643247,35-39,X,General,1005569,883126,830086,944735,41268,50164,5182,8364,17816,28591,0.9873,2.04,0.0178,2018-Q%q,HYBRID
2039,87380287,10-14,X,SC,1952980,2063511,1953474,2167389,45897,33203,-3186,2564,313812,18012,0.9757,3.51,0.0235,2021-Q%q,TREND
2024,60114839,65-69,F,Other,1581131,1718854,1570315,1823062,55019,43122,5128,-6360,360954,17653,0.9285,2.82,-0.0088,2021-Q%q,CENSUS_ADJ
2028,71530317,65-69,F,General,885838,920079,817840,999779,67948,41955,-6261,-7872,288766,66,0.888,3.63,0.0318,2018-Q%q,TREND
2036,21013888,35-39,F,OBC,1475914,1805279,1724345,1975585,27529,10300,10531,3120,533651,15307,0.9052,2.84,0.0312,2018-Q%q,COHORTCOMP
2027,24093477,05-09,X,SC,464138,506257,461188,534250,29990,56216,1215,-2926,69667,42127,0.9569,1.67,-0.0067,2023-Q%q,COHORTCOMP
2027,51995411,40-44,F,General,452224,502378,457042,526162,70614,7906,-813,-8635,226848,24561,0.9383,2.77,-0.0111,2022-Q%q,HYBRID
2036,58528797,05-09,F,SC,142355,174949,164782,185023,15465,48594,12157,-1577,370485,25239,0.9787,2.51,0.0085,2019-Q%q,CENSUS_ADJ
2036,13565795,80-84,X,SC,539366,663885,636291,696351,5580,9890,-15310,6505,599815,12328,0.8879,3.42,0.039,2025-Q%q,BAYES
2036,66612102,05-09,F,SC,420966,376218,330030,424820,50858,51327,-34203,2760,450171,37123,0.9898,3.2,0.0284,2024-Q%q,HYBRID
2029,47875205,25-29,M,ST,1407427,1419497,1298057,1560202,6577,20773,-23087,5833,132996,9376,0.9791,1.5,0.0074,2023-Q%q,HYBRID
2032,24614096,35-39,F,Other,371371,397443,362234,420280,21791,26003,18302,2223,68288,858,0.9607,1.58,0.0354,2023-Q%q,HYBRID
2026,54653983,05-09,X,ST,76400,82779,77066,89222,64627,34360,37212,5105,50391,44306,0.899,2.65,0.0144,2020-Q%q,TREND
2033,97272356,25-29,F,General,1215557,1081118,950776,1197764,54539,14721,8205,7005,284103,12438,0.9427,2.3,0.0247,2025-Q%q,CENSUS_ADJ
2036,10140935,65-69,F,ST,595077,649520,578961,711716,1328,52751,39943,-5497,595172,11233,0.9569,2.41,0.0138,2018-Q%q,CENSUS_ADJ
2021,28007721,45-49,F,Other,1691505,1452300,1249560,1621703,2416,47271,41299,-43,401404,7173,0.9388,3.35,0.0061,2024-Q%q,TREND
2038,66770301,50-54,M,Other,317019,363615,333520,393351,23414,29770,-465,8394,114842,17702,0.9092,1.32,0.0464,2021-Q%q,BAYES
2026,28949956,15-19,F,General,521814,551278,504620,606918,75112,30725,29006,1659,53155,32316,0.9661,2.05,0.0005,2019-Q%q,BAYES
2030,66671233,75-79,F,Other,357786,410279,378319,436085,50270,44823,-3750,5067,158693,13363,0.9031,2.23,-0.0049,2020-Q%q,COHORTCOMP
2025,77415666,85+,M,OBC,768704,804753,739460,894496,28729,14977,38302,8026,138574,6766,0.9132,2.79,0.0107,2018-Q%q,CENSUS_ADJ
2025,53273114,00-04,M,Other,261603,322028,295598,336926,18596,21545,23722,-2774,458609,2894,0.9204,1.54,0.0467,2025-Q%q,HYBRID
2039,98208847,25-29,X,OBC,1794537,1850556,1695805,2059475,16819,38985,-10408,-2457,415620,23033,0.9643,2.93,0.0371,2021-Q%q,TREND
2021,73065588,25-29,M,General,1879908,2269529,2136082,2416369,27405,47149,-38371,2739,587363,36344,0.9559,2.09,-0.0006,2024-Q%q,HYBRID
2029,93533776,35-39,F,OBC,650311,560382,517535,624584,73473,41243,-34478,-6674,495050,41584,0.88,2.43,-0.006,2020-Q%q,COHORTCOMP
2030,82832806,55-59,F,ST,1336102,1400851,1257629,1555025,6982,12188,1073,-1608,10652,11372,0.9612,1.88,-0.0059,2018-Q%q,TREND
2038,45491996,65-69,X,General,1526265,1818140,1712604,1961662,56729,4297,6007,9993,168620,45176,0.9146,1.64,0.0185,2018-Q%q,HYBRID
2024,54491935,30-34,F,SC,642044,546642,503887,587630,59812,50743,-32394,-2752,95471,12247,0.8961,1.84,0.0092,2025-Q%q,COHORTCOMP
2026,90380088,20-24,M,Other,1563376,1406332,1258996,1489957,2946,9494,14117,7934,59797,29933,0.9105,2.7,-0.0012,2022-Q%q,TREND
2039,76106001,00-04,F,SC,1317876,1345064,1255215,1494461,52424,22651,-10034,-7610,87801,16754,0.9309,3.17,0.0385,2018-Q%q,BAYES
2038,39314023,20-24,M,ST,1772090,2136083,1933011,2300403,64249,48066,-27101,5589,27848,6683,0.966,1.55,0.0341,2021-Q%q,BAYES
2021,10560841,20-24,X,Other,1017022,1043172,945134,1139457,39272,22222,-30765,-2656,192327,20428,0.9669,3.47,0.0121,2019-Q%q,CENSUS_ADJ
2025,67464373,25-29,M,OBC,198454,200077,186743,212058,8434,21237,5279,7477,376817,38088,0.9275,3.65,0.0163,2025-Q%q,COHORTCOMP
2023,24766319,65-69,M,OBC,1184914,1213303,1094441,1297357,52252,42814,-20181,-296,178303,46830,0.9549,3.39,0.0371,2020-Q%q,HYBRID
2024,81054911,05-09,X,OBC,1504185,1486387,1313867,1644752,59234,21920,22720,6720,510522,36430,0.9497,3.66,0.0374,2025-Q%q,CENSUS_ADJ
2023,53593651,55-59,X,ST,694102,807153,735662,886359,14116,35134,-30761,7381,446562,48307,0.9087,2.15,0.0443,2021-Q%q,TREND
2040,86060974,35-39,M,Other,851856,1036300,943942,1115420,7495,23606,-11836,-2364,83638,33922,0.9334,2.12,0.0202,2021-Q%q,CENSUS_ADJ
2032,28616767,50-54,X,General,1994015,2411766,2255244,2641916,52283,45811,-25789,8138,37513,1399,0.9815,2.01,0.02,2018-Q%q,COHORTCOMP
2040,60709319,20-24,F,OBC,857367,886598,842681,986644,64949,50359,4805,-7116,500157,23987,0.98,3.71,0.0231,2020-Q%q,TREND
2039,26847766,25-29,X,SC,1425199,1263155,1097831,1369665,28700,42967,34922,8083,198671,44019,0.8861,1.65,0.0345,2019-Q%q,CENSUS_ADJ
2038,19701165,05-09,F,ST,1222617,1332198,1193032,1398503,78330,38717,47442,6690,80748,46093,0.894,1.75,0.0299,2023-Q%q,BAYES
2041,74099141,70-74,M,OBC,822635,809285,763107,860435,6391,12733,27081,3690,141959,43468,0.9689,3.23,0.0378,2024-Q%q,CENSUS_ADJ
2028,96241266,05-09,M,Other,1467105,1342136,1202293,1463191,35692,56274,-48035,-8089,281004,28122,0.901,2.3,0.0438,2021-Q%q,BAYES
2031,17554344,10-14,X,ST,1552434,1919974,1823089,2019102,14323,17912,4566,220,15118,13206,0.9379,3.57,0.0491,2020-Q%q,HYBRID
2041,33464555,40-44,F,General,1167137,1307292,1208113,1429905,28464,52961,31268,3029,285339,46759,0.9005,2.2,0.0421,2019-Q%q,TREND
2025,35891350,30-34,X,ST,1897742,1711960,1577526,1857790,24713,57696,-24509,457,398572,39729,0.9666,3.75,0.0478,2018-Q%q,HYBRID
2033,97808149,60-64,X,SC,1551402,1522492,1357297,1645585,17933,18108,-17880,2506,219851,19989,0.938,2.78,0.0024,2023-Q%q,BAYES
2033,43664638,10-14,M,ST,219637,221621,201198,237394,47,36281,-41462,-9322,516728,30515,0.9611,1.65,0.0238,2022-Q%q,HYBRID
2025,73947003,50-54,F,Other,1093358,1227684,1100992,1314723,65367,49748,39649,3782,335792,41859,0.899,1.73,0.0425,2025-Q%q,TREND
2038,55972881,40-44,M,ST,433232,464417,418115,499246,46375,21959,-45249,9271,280517,29764,0.9804,1.24,-0.0004,2021-Q%q,BAYES
2038,38833242,85+,M,General,1940066,2402909,2226900,2576843,23376,29407,-20289,7878,555713,4373,0.9596,2.3,-0.0127,2022-Q%q,COHORTCOMP
2025,56070194,50-54,X,Other,1743070,1716690,1611154,1916417,32196,56317,36770,6771,298166,5899,0.9662,1.36,0.0403,2020-Q%q,COHORTCOMP
2028,50608443,55-59,X,Other,929431,1004854,941855,1073396,451,59482,39318,1938,501146,47140,0.9011,3.7,0.0169,2018-Q%q,HYBRID
2032,40091851,70-74,F,OBC,1428128,1682626,1514831,1791410,59456,18151,32258,8443,21747,28657,0.8802,2.27,0.0491,2024-Q%q,COHORTCOMP
2031,15725814,55-59,M,General,184889,225825,209424,238758,58231,52416,-9353,-4524,42058,29030,0.9794,2.1,0.001,2024-Q%q,HYBRID
2023,23955904,55-59,F,OBC,927625,1035328,965008,1081722,72370,17445,4083,7730,122398,31673,0.9408,2.43,0.0476,2018-Q%q,TREND
2033,55244598,40-44,X,General,653506,694812,654717,753680,22485,19607,24290,-5878,389831,11538,0.972,3.26,0.01,2025-Q%q,CENSUS_ADJ
2037,29943086,15-19,M,SC,289710,269319,238781,294050,77900,32495,-30683,-9797,403014,10863,0.9281,2.95,0.0482,2024-Q%q,CENSUS_ADJ
2041,30879874,15-19,F,ST,373722,418558,387455,437970,47805,8809,49197,1271,526655,43652,0.9771,1.54,0.0132,2022-Q%q,TREND
2022,13240216,10-14,F,General,209974,236043,221325,246573,11265,31259,-13701,-3156,247398,37320,0.9732,3.29,-0.0198,2025-Q%q,COHORTCOMP
2028,39810741,15-19,X,ST,370903,422670,383619,447769,58326,6669,-2501,-5547,495987,6140,0.9947,3.51,0.049,2022-Q%q,BAYES
2030,73545547,30-34,F,ST,1211308,1252825,1137397,1319676,79575,1281,-18290,-2271,576287,38692,0.9332,2.41,0.0327,2024-Q%q,CENSUS_ADJ
2031,30083923,75-79,F,OBC,907004,919304,819532,983523,24293,57405,-36831,-4716,101028,30578,0.9793,2.95,-0.0083,2026-Q%q,CENSUS_ADJ
2034,59028366,80-84,X,General,1605522,1530107,1387334,1647223,23722,26408,-38615,-5226,309461,39578,0.9416,2.95,0.0447,2022-Q%q,CENSUS_ADJ
2041,21831353,70-74,F,ST,185366,213863,203681,226714,16846,39345,20321,-1461,399066,5110,0.911,2.47,0.0415,2021-Q%q,BAYES
2037,27411281,30-34,F,SC,1474775,1831158,1679204,1906126,6770,45048,44770,4107,47505,13126,0.9751,2.95,-0.0011,2022-Q%q,COHORTCOMP
2022,53204089,35-39,M,SC,1419643,1405251,1292011,1569039,46947,12839,40350,-8662,68816,44809,0.9322,2.65,-0.0187,2023-Q%q,BAYES
2026,57012883,35-39,M,SC,830735,795466,732156,876250,48213,37704,34371,2971,598209,23454,0.9671,2.17,-0.0199,2024-Q%q,HYBRID
2035,73542358,00-04,X,Other,842980,991980,913739,1072832,28709,21748,6789,3674,49607,1016,0.9657,3.47,-0.0118,2025-Q%q,HYBRID
2028,22031842,55-59,M,General,1162471,1116456,979701,1242244,45717,1964,45400,3727,499789,1013,0.895,1.58,0.0459,2019-Q%q,TREND
2035,37882255,70-74,M,SC,1644713,1741607,1558802,1826860,68420,45548,-29795,1920,521012,20558,0.8951,1.96,0.0455,2022-Q%q,CENSUS_ADJ
2039,77011358,35-39,F,ST,1668061,2074904,1892216,2202951,51721,55652,8675,7628,486659,34893,0.9734,2.67,0.0165,2021-Q%q,HYBRID
2030,91708366,20-24,X,ST,538848,493636,445714,556999,45534,41047,-47822,-8143,89055,28040,0.898,1.65,0.0033,2018-Q%q,BAYES
2032,87337872,35-39,X,SC,1632147,1848566,1736616,1954332,16193,24412,-26244,-3378,179253,44564,0.9121,2.14,0.0304,2023-Q%q,CENSUS_ADJ
2028,28322618,55-59,M,SC,1699785,1739152,1602763,1847668,59560,11510,48414,-5303,26830,11927,0.9271,1.53,0.0159,2023-Q%q,HYBRID
2021,96952296,10-14,F,OBC,1488649,1752246,1632117,1834862,60879,57318,40531,-1242,449746,26251,0.9889,1.78,-0.0193,2021-Q%q,HYBRID
