lab_dialogue_reference_year,lab_dialogue_country_iso2,lab_dialogue_sector_nace_section,lab_dialogue_collective_bargaining_coverage_pct,lab_dialogue_union_density_pct,lab_dialogue_employer_organisation_density_pct,lab_dialogue_wage_setting_level_code,lab_dialogue_minimum_wage_directive_alignment_flag,lab_dialogue_agreements_signed_count,lab_dialogue_disputes_count,lab_dialogue_strike_days_lost_per_1k,lab_dialogue_mediation_cases_count,lab_dialogue_social_partner_consultations_count,lab_dialogue_tripartite_body_flag,lab_dialogue_gender_equality_clause_share_pct,lab_dialogue_platform_work_clause_share_pct,lab_dialogue_telework_clause_share_pct,lab_dialogue_training_clause_share_pct,lab_dialogue_data_source,lab_dialogue_last_update_date
2011,ES,F,69.7,51.56,13.08,SECTOR,0,109,52,15.09,71,98,0,6.17,4.08,41.88,62.31,NATIONAL_LABOUR_MINISTRY,2022-10-20
2012,CZ,Q,36.5,56.29,44.74,NATIONAL,0,110,1,2.65,55,103,1,21.71,17.71,22.76,32.16,SOCIAL_PARTNER_REGISTRY,2022-11-18
2013,HU,G,74.33,32.94,57.97,MIXED,0,271,44,33.29,92,108,1,25.48,13.38,2.55,11.91,ILO_EXPORT,2022-12-17
2014,NL,R,24.98,24.09,40.06,COMPANY,0,37,85,24.99,36,194,1,27.8,18.18,28.68,63.84,EUROFOUND_EWCS,2023-01-15
2015,SE,H,68.39,57.89,37.95,SECTOR,0,516,4,12.82,36,10,1,47.47,9.96,33.43,49.02,NATIONAL_LABOUR_MINISTRY,2023-02-13
2016,DK,S,100.0,54.33,67.63,NATIONAL,0,79,39,36.37,44,236,1,40.61,5.0,40.82,55.26,SOCIAL_PARTNER_REGISTRY,2023-03-14
2017,IE,I,28.01,41.5,56.63,MIXED,0,53,7,17.88,64,195,1,48.56,8.88,35.43,50.19,ILO_EXPORT,2023-04-12
2018,PL,T,55.76,4.72,54.66,COMPANY,0,148,83,3.04,4,527,0,45.39,6.26,31.15,36.39,EUROFOUND_EWCS,2023-05-11
2019,AT,J,27.45,49.85,35.79,SECTOR,0,103,23,40.69,122,294,1,28.05,13.44,23.0,65.1,NATIONAL_LABOUR_MINISTRY,2023-06-09
2020,EE,U,9.49,14.23,28.5,NATIONAL,0,88,68,6.35,61,283,1,75.5,39.9,70.08,64.44,SOCIAL_PARTNER_REGISTRY,2023-07-08
2021,IT,K,30.25,11.11,60.34,MIXED,0,48,87,42.37,71,397,1,9.67,35.78,26.63,69.24,ILO_EXPORT,2023-08-06
2022,PT,A,63.95,32.09,58.55,COMPANY,1,374,16,16.32,61,170,1,19.83,29.38,17.78,17.85,EUROFOUND_EWCS,2023-09-04
2023,BE,L,69.37,43.71,28.28,SECTOR,0,34,69,34.03,122,68,1,10.17,25.48,28.8,31.82,NATIONAL_LABOUR_MINISTRY,2023-10-03
2024,FI,B,83.08,86.89,47.27,NATIONAL,1,424,87,47.97,51,250,0,37.9,6.59,67.37,76.48,SOCIAL_PARTNER_REGISTRY,2023-11-01
2025,LV,M,10.43,37.17,25.43,MIXED,1,297,46,25.38,120,82,0,53.82,15.59,64.77,49.87,ILO_EXPORT,2023-11-30
2006,RO,C,27.65,37.48,10.29,COMPANY,0,311,14,17.6,59,174,0,23.58,15.95,24.91,49.79,EUROFOUND_EWCS,2023-12-29
2007,BG,N,65.34,36.5,35.57,SECTOR,0,4,34,42.84,6,536,1,40.79,2.9,19.01,15.29,NATIONAL_LABOUR_MINISTRY,2024-01-27
2008,FR,D,46.51,37.11,14.5,NATIONAL,0,46,50,3.75,33,94,0,16.63,6.74,6.51,39.75,SOCIAL_PARTNER_REGISTRY,2024-02-25
2009,LT,O,77.82,43.18,26.58,MIXED,0,263,34,55.92,19,244,1,41.21,7.13,29.91,22.86,ILO_EXPORT,2024-03-25
2010,SK,E,55.61,11.62,17.22,COMPANY,0,485,41,15.71,5,225,1,34.7,16.73,35.91,20.65,EUROFOUND_EWCS,2024-04-23
2011,HR,P,61.77,38.15,64.64,SECTOR,0,241,59,20.73,4,195,0,5.36,18.02,22.91,40.23,NATIONAL_LABOUR_MINISTRY,2024-05-22
2012,DE,F,46.52,41.52,14.56,NATIONAL,0,12,27,3.25,91,580,1,6.89,12.02,42.52,61.77,SOCIAL_PARTNER_REGISTRY,2024-06-20
2013,LU,Q,75.03,47.68,36.27,MIXED,0,434,57,27.9,104,105,1,42.83,1.41,37.65,57.93,ILO_EXPORT,2024-07-19
2014,SI,G,26.49,58.14,19.13,COMPANY,0,323,49,50.87,109,231,0,39.24,18.84,36.47,38.35,EUROFOUND_EWCS,2024-08-17
2015,CY,R,54.81,25.0,47.98,SECTOR,0,433,20,21.59,80,508,1,15.26,11.88,40.77,17.14,NATIONAL_LABOUR_MINISTRY,2024-09-15
2016,GR,H,67.59,15.2,25.26,NATIONAL,0,364,63,23.39,102,141,0,69.07,11.5,5.62,45.44,SOCIAL_PARTNER_REGISTRY,2024-10-14
2017,MT,S,49.19,24.8,56.8,MIXED,0,113,51,22.23,132,531,1,17.07,3.98,6.15,20.35,ILO_EXPORT,2024-11-12
2018,ES,I,23.38,46.79,48.81,COMPANY,0,178,33,27.61,82,136,0,78.07,14.05,22.6,30.83,EUROFOUND_EWCS,2024-12-11
2019,CZ,T,11.66,44.38,31.52,SECTOR,0,48,5,16.54,80,283,1,56.16,2.31,27.84,31.21,NATIONAL_LABOUR_MINISTRY,2025-01-09
2020,HU,J,52.91,31.73,16.2,NATIONAL,0,88,59,32.37,8,322,0,65.29,19.34,41.74,82.01,SOCIAL_PARTNER_REGISTRY,2025-02-07
2021,NL,U,14.42,21.18,39.03,MIXED,0,104,19,24.6,58,311,1,20.87,11.73,58.95,40.41,ILO_EXPORT,2025-03-08
2022,SE,K,26.07,47.56,8.95,COMPANY,1,129,27,7.44,33,307,0,12.07,40.63,31.39,9.68,EUROFOUND_EWCS,2025-04-06
2023,DK,A,85.88,93.62,57.94,SECTOR,1,309,23,54.67,58,233,0,14.69,22.45,27.86,33.15,NATIONAL_LABOUR_MINISTRY,2025-05-05
2024,IE,L,25.97,13.58,57.33,NATIONAL,0,283,18,33.17,24,300,1,47.74,27.89,67.51,63.68,SOCIAL_PARTNER_REGISTRY,2025-06-03
2025,PL,B,39.99,30.47,23.93,MIXED,1,66,8,33.09,8,416,1,58.12,23.69,62.76,51.61,ILO_EXPORT,2025-07-02
2006,AT,M,71.42,44.99,73.12,COMPANY,0,17,58,25.42,107,545,1,49.68,10.77,13.6,27.27,EUROFOUND_EWCS,2025-07-31
2007,EE,C,24.31,32.1,30.96,SECTOR,0,14,69,43.53,16,439,0,8.03,17.83,34.61,30.56,NATIONAL_LABOUR_MINISTRY,2025-08-29
2008,IT,N,48.88,32.12,34.54,NATIONAL,1,33,64,7.94,4,82,1,35.05,9.34,37.9,47.38,SOCIAL_PARTNER_REGISTRY,2025-09-27
2009,PT,D,22.09,10.22,32.8,MIXED,0,82,2,36.66,17,60,0,14.52,8.91,28.58,44.68,ILO_EXPORT,2025-10-26
2010,BE,O,80.35,42.35,69.54,COMPANY,1,275,74,14.61,70,260,0,44.64,3.76,40.78,73.09,EUROFOUND_EWCS,2025-11-24
2011,FI,E,27.44,22.42,57.35,SECTOR,0,285,60,7.86,56,423,1,8.24,3.38,33.98,52.58,NATIONAL_LABOUR_MINISTRY,2025-12-23
2012,LV,P,10.04,50.78,18.84,NATIONAL,0,50,19,9.12,129,178,1,17.24,11.57,16.66,25.58,SOCIAL_PARTNER_REGISTRY,2026-01-21
2013,RO,F,45.11,39.37,61.38,MIXED,0,178,35,13.34,61,316,1,40.93,2.17,19.07,33.68,ILO_EXPORT,2026-02-19
2014,BG,Q,26.49,30.61,27.42,COMPANY,0,164,19,10.73,38,304,0,40.34,10.22,40.31,13.85,EUROFOUND_EWCS,2010-01-23
2015,FR,G,18.21,6.8,40.21,SECTOR,0,349,34,26.4,65,350,1,28.37,5.55,11.64,13.61,NATIONAL_LABOUR_MINISTRY,2010-02-21
2016,LT,R,50.48,7.19,40.99,NATIONAL,0,108,16,27.05,67,244,1,55.5,12.45,16.3,74.36,SOCIAL_PARTNER_REGISTRY,2010-03-22
2017,SK,H,70.27,11.09,69.09,MIXED,0,439,30,39.16,13,538,1,55.86,8.8,18.66,17.67,ILO_EXPORT,2010-04-20
2018,HR,S,35.93,44.82,45.24,COMPANY,0,291,1,12.85,82,396,0,42.8,18.59,40.84,20.07,EUROFOUND_EWCS,2010-05-19
2019,DE,I,30.49,24.67,51.04,SECTOR,0,174,19,3.61,9,56,1,45.5,10.57,15.03,16.59,NATIONAL_LABOUR_MINISTRY,2010-06-17
2020,LU,T,21.04,39.65,18.91,NATIONAL,0,167,41,40.58,42,148,1,58.22,20.26,14.98,73.84,SOCIAL_PARTNER_REGISTRY,2010-07-16
2021,SI,J,37.87,39.27,49.17,MIXED,0,262,9,29.91,46,282,1,34.67,4.47,63.72,71.45,ILO_EXPORT,2010-08-14
2022,CY,U,36.1,27.9,14.72,COMPANY,1,234,29,31.91,31,232,0,10.65,43.38,38.59,71.32,EUROFOUND_EWCS,2010-09-12
2023,GR,K,27.33,57.37,27.36,SECTOR,0,265,47,14.96,22,31,1,29.19,39.19,63.73,20.26,NATIONAL_LABOUR_MINISTRY,2010-10-11
2024,MT,A,55.71,28.84,75.35,NATIONAL,0,342,0,36.24,79,77,1,42.54,9.6,4.9,42.12,SOCIAL_PARTNER_REGISTRY,2010-11-09
2025,ES,L,11.2,52.78,33.86,MIXED,1,322,58,19.12,37,423,1,70.7,45.39,56.67,62.62,ILO_EXPORT,2010-12-08
2006,CZ,B,36.7,12.62,47.61,COMPANY,0,30,76,3.84,136,335,1,10.68,5.59,19.46,30.74,EUROFOUND_EWCS,2011-01-06
2007,HU,M,8.99,39.03,36.26,SECTOR,0,121,29,47.83,32,367,1,12.8,2.41,14.72,36.88,NATIONAL_LABOUR_MINISTRY,2011-02-04
2008,NL,C,65.48,17.43,40.59,NATIONAL,0,369,34,39.01,50,429,1,52.29,12.56,2.67,13.38,SOCIAL_PARTNER_REGISTRY,2011-03-05
2009,SE,N,87.54,45.41,15.72,MIXED,0,310,30,10.54,63,255,1,46.98,6.69,5.68,79.62,ILO_EXPORT,2011-04-03
2010,DK,D,50.84,53.85,62.76,COMPANY,0,386,25,54.15,120,500,1,13.02,1.52,1.62,55.3,EUROFOUND_EWCS,2011-05-02
2011,IE,O,46.15,52.33,37.89,SECTOR,0,126,65,33.72,135,315,1,17.73,2.02,23.83,50.13,NATIONAL_LABOUR_MINISTRY,2011-05-31
2012,PL,E,23.83,57.77,37.33,NATIONAL,0,54,50,55.01,52,299,1,31.08,7.97,26.28,49.37,SOCIAL_PARTNER_REGISTRY,2011-06-29
2013,AT,P,17.71,43.09,49.56,MIXED,0,95,48,52.14,89,3,1,15.13,14.64,11.66,69.67,ILO_EXPORT,2011-07-28
2014,EE,F,35.1,4.97,45.16,COMPANY,0,258,16,24.47,109,79,1,19.76,14.39,30.27,10.26,EUROFOUND_EWCS,2011-08-26
2015,IT,Q,97.29,13.91,26.21,SECTOR,0,430,82,42.62,131,156,1,11.88,6.42,19.42,68.48,NATIONAL_LABOUR_MINISTRY,2011-09-24
2016,PT,G,61.65,17.73,20.88,NATIONAL,1,171,82,39.22,130,307,1,25.54,18.57,9.66,27.86,SOCIAL_PARTNER_REGISTRY,2011-10-23
2017,BE,R,42.93,23.67,43.92,MIXED,0,150,32,35.87,114,171,1,8.81,9.01,38.07,66.54,ILO_EXPORT,2011-11-21
2018,FI,H,26.56,64.33,15.79,COMPANY,0,114,31,13.93,17,163,1,15.75,17.33,8.06,71.2,EUROFOUND_EWCS,2011-12-20
2019,LV,S,45.31,20.96,49.17,SECTOR,1,161,5,1.19,9,7,0,64.78,11.92,36.91,19.51,NATIONAL_LABOUR_MINISTRY,2012-01-18
2020,RO,I,15.87,20.6,54.88,NATIONAL,0,319,10,9.57,48,348,1,20.62,16.42,44.13,53.42,SOCIAL_PARTNER_REGISTRY,2012-02-16
2021,BG,T,33.48,8.74,42.74,MIXED,0,265,71,52.66,117,327,1,40.92,45.24,70.31,28.61,ILO_EXPORT,2012-03-16
2022,FR,J,28.34,48.22,52.03,COMPANY,1,311,80,20.73,97,34,1,27.81,39.69,13.01,14.45,EUROFOUND_EWCS,2012-04-14
2023,LT,U,54.95,28.79,57.33,SECTOR,0,84,80,16.69,102,69,1,25.54,26.38,42.77,57.63,NATIONAL_LABOUR_MINISTRY,2012-05-13
2024,SK,K,52.27,36.61,62.33,NATIONAL,1,212,57,55.73,51,285,1,62.06,32.17,56.88,65.35,SOCIAL_PARTNER_REGISTRY,2012-06-11
2025,HR,A,57.51,8.67,33.07,MIXED,0,203,32,37.28,23,173,1,72.32,40.42,69.71,72.18,ILO_EXPORT,2012-07-10
2006,DE,L,63.55,53.01,18.48,COMPANY,0,279,53,17.22,11,444,0,20.9,15.36,11.77,64.4,EUROFOUND_EWCS,2012-08-08
2007,LU,B,46.93,13.54,19.72,SECTOR,0,161,25,36.81,26,126,1,54.04,9.7,11.66,65.79,NATIONAL_LABOUR_MINISTRY,2012-09-06
2008,SI,M,41.88,51.57,46.93,NATIONAL,0,265,76,37.02,26,400,1,39.25,16.93,16.81,13.34,SOCIAL_PARTNER_REGISTRY,2012-10-05
2009,CY,C,63.46,34.52,24.59,MIXED,0,118,29,26.13,29,441,1,22.69,1.81,10.54,41.12,ILO_EXPORT,2012-11-03
2010,GR,N,57.7,45.01,13.42,COMPANY,0,456,37,11.52,120,397,1,45.51,18.83,40.96,33.49,EUROFOUND_EWCS,2012-12-02
2011,MT,D,52.72,56.92,27.69,SECTOR,0,382,26,0.92,93,282,0,31.96,19.05,29.22,22.88,NATIONAL_LABOUR_MINISTRY,2012-12-31
2012,ES,O,21.1,18.36,53.16,NATIONAL,0,365,22,15.51,116,10,1,35.9,11.03,24.98,16.91,SOCIAL_PARTNER_REGISTRY,2013-01-29
2013,CZ,E,51.7,38.81,28.65,MIXED,0,449,0,31.67,88,112,0,35.51,15.62,26.81,71.92,ILO_EXPORT,2013-02-27
2014,HU,P,16.03,24.92,29.05,COMPANY,0,300,5,32.62,8,19,1,39.84,12.07,9.7,61.69,EUROFOUND_EWCS,2013-03-28
2015,NL,F,36.63,41.77,49.99,SECTOR,0,353,67,2.64,22,131,1,14.6,8.51,39.43,64.7,NATIONAL_LABOUR_MINISTRY,2013-04-26
2016,SE,Q,82.68,66.69,31.45,NATIONAL,0,388,69,9.42,104,455,1,22.82,0.39,16.21,66.0,SOCIAL_PARTNER_REGISTRY,2013-05-25
2017,DK,G,12.57,82.0,63.48,MIXED,0,128,5,28.91,39,208,1,42.99,6.46,34.05,76.04,ILO_EXPORT,2013-06-23
2018,IE,R,65.47,11.39,63.89,COMPANY,0,356,90,52.04,71,456,1,70.03,18.35,2.2,59.1,EUROFOUND_EWCS,2013-07-22
2019,PL,H,39.28,29.89,9.01,SECTOR,0,344,89,12.36,30,349,1,44.33,0.76,29.9,41.99,NATIONAL_LABOUR_MINISTRY,2013-08-20
2020,AT,S,10.39,33.37,60.71,NATIONAL,0,145,103,6.54,62,98,1,60.26,6.37,37.94,27.6,SOCIAL_PARTNER_REGISTRY,2013-09-18
2021,EE,I,67.59,48.69,77.02,MIXED,0,395,12,29.32,28,266,1,8.46,14.83,42.46,23.03,ILO_EXPORT,2013-10-17
2022,IT,T,35.45,43.28,38.4,COMPANY,1,83,58,51.0,58,178,1,38.5,1.08,12.84,19.3,EUROFOUND_EWCS,2013-11-15
2023,PT,J,9.56,45.33,16.51,SECTOR,0,64,6,0.84,82,270,1,67.6,7.18,52.51,60.52,NATIONAL_LABOUR_MINISTRY,2013-12-14
2024,BE,U,15.69,6.12,44.32,NATIONAL,0,119,3,32.55,22,129,0,28.32,31.85,38.35,52.95,SOCIAL_PARTNER_REGISTRY,2014-01-12
2025,FI,K,44.18,60.23,10.35,MIXED,0,189,2,33.94,89,85,0,19.86,3.56,71.78,48.83,ILO_EXPORT,2014-02-10
2006,LV,A,20.19,13.07,57.65,COMPANY,0,127,79,2.24,16,349,0,18.74,10.36,37.73,36.8,EUROFOUND_EWCS,2014-03-11
2007,RO,L,15.98,19.11,16.77,SECTOR,0,148,77,19.35,32,247,0,8.44,8.0,11.49,61.32,NATIONAL_LABOUR_MINISTRY,2014-04-09
2008,BG,B,60.05,16.03,75.13,NATIONAL,0,531,2,28.82,78,351,0,22.22,16.52,40.73,29.5,SOCIAL_PARTNER_REGISTRY,2014-05-08
2009,FR,M,73.04,28.34,73.1,MIXED,0,27,84,35.17,84,198,0,16.93,13.13,42.57,23.43,ILO_EXPORT,2014-06-06
2010,LT,C,16.38,5.86,61.88,COMPANY,1,0,39,12.6,126,54,0,47.96,5.01,10.26,73.96,EUROFOUND_EWCS,2014-07-05
2011,SK,N,77.91,17.84,64.73,SECTOR,0,526,16,2.34,89,206,1,46.51,10.16,32.12,79.48,NATIONAL_LABOUR_MINISTRY,2014-08-03
2012,HR,D,25.49,40.94,19.43,NATIONAL,0,43,41,31.4,92,360,1,26.38,3.46,16.06,18.81,SOCIAL_PARTNER_REGISTRY,2014-09-01
2013,DE,O,39.32,36.02,41.61,MIXED,0,176,49,9.04,50,174,1,45.89,16.13,16.81,9.38,ILO_EXPORT,2014-09-30
2014,LU,E,28.58,17.27,47.95,COMPANY,0,149,78,10.43,20,385,1,9.87,6.42,2.23,46.73,EUROFOUND_EWCS,2014-10-29
2015,SI,P,58.63,45.05,41.52,SECTOR,0,179,14,24.39,82,485,1,29.47,17.45,43.66,79.36,NATIONAL_LABOUR_MINISTRY,2014-11-27
2016,CY,F,50.11,11.28,51.85,NATIONAL,1,384,56,22.24,124,115,1,36.99,10.42,41.12,34.47,SOCIAL_PARTNER_REGISTRY,2014-12-26
2017,GR,Q,64.19,26.06,68.55,MIXED,0,343,16,17.7,118,524,0,14.78,14.04,29.92,46.85,ILO_EXPORT,2015-01-24
2018,MT,G,24.09,15.51,17.03,COMPANY,0,193,19,15.06,70,363,1,17.91,6.35,7.57,65.94,EUROFOUND_EWCS,2015-02-22
2019,ES,R,64.42,49.36,17.73,SECTOR,0,198,35,6.89,61,283,1,69.76,5.56,40.35,76.25,NATIONAL_LABOUR_MINISTRY,2015-03-23
2020,CZ,H,56.25,50.28,16.02,NATIONAL,0,441,50,24.35,122,184,0,42.68,21.53,35.66,73.26,SOCIAL_PARTNER_REGISTRY,2015-04-21
2021,HU,S,39.12,16.2,32.61,MIXED,0,320,28,53.73,28,299,1,22.2,43.59,37.88,55.54,ILO_EXPORT,2015-05-20
2022,NL,I,49.29,38.85,63.47,COMPANY,1,296,45,5.37,27,431,1,41.69,8.11,59.29,34.03,EUROFOUND_EWCS,2015-06-18
2023,SE,T,54.47,65.11,7.2,SECTOR,1,527,45,50.01,99,279,0,54.73,42.25,52.18,58.38,NATIONAL_LABOUR_MINISTRY,2015-07-17
2024,DK,J,81.9,18.33,36.32,NATIONAL,0,457,68,20.32,72,287,0,39.99,5.46,26.92,26.02,SOCIAL_PARTNER_REGISTRY,2015-08-15
2025,IE,U,32.17,27.56,57.7,MIXED,0,291,57,34.8,115,89,1,43.69,44.2,6.08,25.01,ILO_EXPORT,2015-09-13
2006,PL,K,27.94,27.65,45.69,COMPANY,0,154,72,46.88,88,22,1,17.88,7.99,9.6,29.69,EUROFOUND_EWCS,2015-10-12
2007,AT,A,30.93,40.49,18.65,SECTOR,0,227,25,20.14,85,262,1,54.18,9.38,37.6,43.47,NATIONAL_LABOUR_MINISTRY,2015-11-10
2008,EE,L,46.99,22.5,22.73,NATIONAL,0,105,76,52.53,93,421,1,25.12,7.01,19.85,63.44,SOCIAL_PARTNER_REGISTRY,2015-12-09
2009,IT,B,25.19,56.77,58.62,MIXED,0,156,64,22.1,125,127,0,54.22,5.1,15.88,31.46,ILO_EXPORT,2016-01-07
2010,PT,M,59.42,54.79,58.73,COMPANY,0,398,61,54.73,94,100,1,31.05,18.44,31.34,23.81,EUROFOUND_EWCS,2016-02-05
2011,BE,C,52.43,22.77,12.98,SECTOR,0,258,22,15.43,78,152,1,25.93,13.28,11.06,55.51,NATIONAL_LABOUR_MINISTRY,2016-03-05
2012,FI,N,100.0,50.57,45.84,NATIONAL,0,224,81,33.77,92,580,0,39.47,1.45,30.44,54.11,SOCIAL_PARTNER_REGISTRY,2016-04-03
2013,LV,D,30.09,9.79,25.26,MIXED,0,145,46,5.88,93,298,1,34.54,11.59,11.24,69.73,ILO_EXPORT,2016-05-02
2014,RO,O,22.46,14.29,30.4,COMPANY,0,164,9,26.74,20,440,0,35.88,12.66,3.58,54.21,EUROFOUND_EWCS,2016-05-31
2015,BG,E,34.34,33.08,8.03,SECTOR,0,219,5,14.26,77,44,1,41.46,1.29,6.47,73.02,NATIONAL_LABOUR_MINISTRY,2016-06-29
2016,FR,P,52.36,7.2,57.21,NATIONAL,0,92,37,40.4,34,162,1,39.95,2.06,20.22,34.23,SOCIAL_PARTNER_REGISTRY,2016-07-28
2017,LT,F,29.85,14.92,39.58,MIXED,1,214,31,23.75,12,236,1,74.31,2.07,21.54,69.1,ILO_EXPORT,2016-08-26
2018,SK,Q,71.87,35.39,25.26,COMPANY,0,122,21,48.87,1,492,1,45.42,8.38,39.36,16.77,EUROFOUND_EWCS,2016-09-24
2019,HR,G,70.26,26.61,75.81,SECTOR,0,179,45,39.87,94,54,1,8.47,11.01,11.19,73.53,NATIONAL_LABOUR_MINISTRY,2016-10-23
2020,DE,R,13.36,19.49,12.69,NATIONAL,0,32,42,16.14,42,160,1,19.86,36.77,60.93,70.5,SOCIAL_PARTNER_REGISTRY,2016-11-21
2021,LU,H,70.83,24.79,14.12,MIXED,1,97,63,17.17,29,164,0,59.55,4.26,67.77,17.06,ILO_EXPORT,2016-12-20
2022,SI,S,62.99,42.55,78.39,COMPANY,0,364,88,26.85,53,10,1,35.0,43.32,26.6,54.66,EUROFOUND_EWCS,2017-01-18
2023,CY,I,69.57,4.49,51.49,SECTOR,1,349,29,26.96,100,293,0,52.01,20.51,55.39,14.45,NATIONAL_LABOUR_MINISTRY,2017-02-16
2024,GR,T,69.62,52.55,39.7,NATIONAL,1,251,17,24.97,121,381,0,15.1,3.99,5.08,18.35,SOCIAL_PARTNER_REGISTRY,2017-03-17
2025,MT,J,19.39,24.72,20.83,MIXED,1,85,17,26.91,111,322,0,74.65,15.32,74.3,39.64,ILO_EXPORT,2017-04-15
2006,ES,U,17.01,5.11,27.4,COMPANY,0,96,29,48.23,113,299,1,12.29,3.08,33.92,51.01,EUROFOUND_EWCS,2017-05-14
2007,CZ,K,23.42,20.48,36.77,SECTOR,0,199,29,41.7,112,223,1,51.93,14.59,41.65,42.66,NATIONAL_LABOUR_MINISTRY,2017-06-12
2008,HU,A,31.96,28.35,60.1,NATIONAL,0,165,76,10.83,61,14,1,42.29,7.61,14.5,25.51,SOCIAL_PARTNER_REGISTRY,2017-07-11
2009,NL,L,67.19,56.59,44.48,MIXED,0,342,72,29.79,57,530,1,28.93,11.19,44.77,35.5,ILO_EXPORT,2017-08-09
2010,SE,B,69.57,53.56,73.48,COMPANY,0,252,89,42.8,58,337,0,18.87,7.38,42.89,45.77,EUROFOUND_EWCS,2017-09-07
2011,DK,M,88.42,89.63,40.89,SECTOR,0,48,50,11.8,114,182,1,43.53,17.6,40.38,75.68,NATIONAL_LABOUR_MINISTRY,2017-10-06
2012,IE,C,76.8,38.15,71.92,NATIONAL,0,453,10,0.41,8,377,1,43.42,15.65,19.7,74.32,SOCIAL_PARTNER_REGISTRY,2017-11-04
2013,PL,N,54.23,45.88,12.44,MIXED,0,132,18,23.1,3,225,0,53.98,10.57,21.68,55.99,ILO_EXPORT,2017-12-03
2014,AT,D,26.56,43.68,56.77,COMPANY,0,154,59,0.95,123,271,1,37.67,2.57,10.9,53.43,EUROFOUND_EWCS,2018-01-01
2015,EE,O,37.07,40.07,51.55,SECTOR,0,124,85,19.28,28,303,1,43.15,2.87,2.13,18.48,NATIONAL_LABOUR_MINISTRY,2018-01-30
2016,IT,E,61.7,16.31,31.88,NATIONAL,0,43,60,5.11,65,573,0,49.4,13.89,39.84,35.3,SOCIAL_PARTNER_REGISTRY,2018-02-28
2017,PT,P,35.58,56.51,61.34,MIXED,0,155,82,25.17,51,200,1,30.42,12.81,3.04,67.74,ILO_EXPORT,2018-03-29
2018,BE,F,48.95,19.88,53.5,COMPANY,0,212,14,17.59,17,388,0,33.95,13.41,10.65,56.5,EUROFOUND_EWCS,2018-04-27
2019,FI,Q,76.39,65.07,51.74,SECTOR,0,395,42,30.43,49,595,1,77.87,15.09,28.11,59.07,NATIONAL_LABOUR_MINISTRY,2018-05-26
2020,LV,G,21.22,12.6,19.48,NATIONAL,0,327,3,5.89,80,319,1,35.12,12.39,56.93,11.87,SOCIAL_PARTNER_REGISTRY,2018-06-24
2021,RO,R,45.62,55.73,19.62,MIXED,0,145,37,29.52,11,236,0,12.77,1.36,16.57,67.37,ILO_EXPORT,2018-07-23
2022,BG,H,9.77,26.16,41.04,COMPANY,1,226,54,10.66,91,11,1,41.13,40.9,24.04,17.46,EUROFOUND_EWCS,2018-08-21
2023,FR,S,100.0,23.92,17.31,SECTOR,1,39,8,14.54,87,44,1,64.89,11.72,40.88,56.5,NATIONAL_LABOUR_MINISTRY,2018-09-19
2024,LT,I,71.44,42.26,9.44,NATIONAL,0,190,51,41.03,13,444,1,42.32,4.44,69.24,88.28,SOCIAL_PARTNER_REGISTRY,2018-10-18
2025,SK,T,42.98,5.74,30.04,MIXED,0,52,3,17.3,3,162,1,26.22,2.23,15.02,46.79,ILO_EXPORT,2018-11-16
2006,HR,J,35.2,22.41,64.64,COMPANY,0,107,31,49.75,22,373,1,43.59,5.15,13.81,52.39,EUROFOUND_EWCS,2018-12-15
2007,DE,U,9.6,33.05,29.43,SECTOR,0,84,5,33.42,18,12,1,16.82,3.37,29.55,62.66,NATIONAL_LABOUR_MINISTRY,2019-01-13
2008,LU,K,26.39,7.59,16.24,NATIONAL,1,194,88,54.95,11,296,0,31.36,18.44,34.51,40.15,SOCIAL_PARTNER_REGISTRY,2019-02-11
2009,SI,A,60.4,40.04,19.82,MIXED,1,287,40,33.77,134,293,1,53.45,18.54,10.18,17.34,ILO_EXPORT,2019-03-12
2010,CY,L,71.02,53.67,72.72,COMPANY,0,130,40,1.07,64,195,1,47.77,15.52,30.21,55.9,EUROFOUND_EWCS,2019-04-10
2011,GR,B,19.85,7.8,57.09,SECTOR,0,29,11,36.87,62,38,0,6.14,16.01,25.13,35.02,NATIONAL_LABOUR_MINISTRY,2019-05-09
2012,MT,M,30.6,35.77,47.51,NATIONAL,0,245,63,8.24,46,141,1,38.66,5.71,37.78,65.52,SOCIAL_PARTNER_REGISTRY,2019-06-07
2013,ES,C,11.67,28.58,39.56,MIXED,0,210,61,45.34,100,252,1,53.75,0.72,5.56,64.05,ILO_EXPORT,2019-07-06
2014,CZ,N,73.96,55.46,70.76,COMPANY,1,490,88,36.43,51,68,1,42.33,3.36,35.32,22.39,EUROFOUND_EWCS,2019-08-04
2015,HU,D,52.98,27.63,12.52,SECTOR,0,91,37,21.96,88,344,1,46.99,1.01,15.93,19.49,NATIONAL_LABOUR_MINISTRY,2019-09-02
2016,NL,O,22.71,7.55,48.77,NATIONAL,0,50,73,47.44,130,393,0,45.25,15.22,25.9,44.41,SOCIAL_PARTNER_REGISTRY,2019-10-01
2017,SE,E,32.24,11.7,9.96,MIXED,0,108,18,24.9,55,28,1,41.36,1.5,21.05,13.82,ILO_EXPORT,2019-10-30
2018,DK,P,36.77,85.7,20.46,COMPANY,0,26,71,27.31,11,333,1,45.84,12.7,26.17,51.87,EUROFOUND_EWCS,2019-11-28
