civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN000001573,2022,35,STATE_SENATE,82293,-6.03,61478,53402,77.9,0.05,0.8106,1,11,46,0,0.8798,-10.291,98.13,22105,0
PLAN000001574,2000,10,JUDICIAL,76652,0.8,54876,51121,93.7,0.4214,0.6521,1,17,26,0,0.5812,35.322,98.75,10695,0
PLAN000001575,2016,50,CITY,11646,-3.027,9459,7398,81.34,0.1112,0.4547,1,7,69,0,0.8729,-36.091,30.74,4197,0
PLAN000001576,2000,5,JUDICIAL,665745,-6.217,531330,503273,21.72,0.3429,0.0366,1,5,68,1,0.2703,-37.352,96.39,6858,0
PLAN000001577,1997,29,CITY,596978,-5.789,413382,338670,31.27,0.384,0.3475,1,20,61,0,0.7599,-28.538,69.92,12757,0
PLAN000001578,2003,27,STATE_SENATE,633369,0.648,467742,370757,19.88,0.5101,0.4986,0,14,12,0,0.4111,-7.089,16.2,21413,0
PLAN000001579,1996,13,CONGRESSIONAL,946290,4.453,701817,619184,33.73,0.0363,0.7394,1,6,42,0,0.6652,-0.398,54.12,15673,0
PLAN000001580,2025,29,CONGRESSIONAL,934034,6.498,677213,617067,23.04,0.1265,0.4336,1,3,21,0,0.3452,-27.034,50.26,7886,0
PLAN000001581,1990,36,STATE_HOUSE,871257,-1.655,707310,629530,53.41,0.1176,0.436,1,15,14,0,0.8234,-23.797,6.17,74,0
PLAN000001582,2008,54,CITY,545089,-4.93,427628,363282,14.02,0.069,0.1379,1,16,63,1,0.522,35.289,45.31,1258,1
PLAN000001583,2005,3,CONGRESSIONAL,473243,7.811,384356,318311,41.92,0.3514,0.4842,1,12,21,0,0.276,35.25,83.58,11010,0
PLAN000001584,1992,12,CONGRESSIONAL,115763,-1.107,92247,82722,57.45,0.0344,0.4248,1,0,38,1,0.8287,13.896,10.88,1762,0
PLAN000001585,2001,1,STATE_HOUSE,220145,7.743,176953,153050,41.7,0.0533,0.6627,1,9,57,1,0.9328,30.287,90.46,15770,0
PLAN000001586,1997,3,CONGRESSIONAL,673945,-2.711,523373,445422,30.12,0.2707,0.5286,1,3,39,0,0.8121,-11.359,22.38,21990,0
PLAN000001587,1991,52,STATE_HOUSE,473539,-6.277,376521,311219,34.36,0.7339,0.2234,1,20,76,0,0.1977,-22.157,43.85,7861,0
PLAN000001588,2023,51,CONGRESSIONAL,872557,-1.758,633167,575059,55.55,0.0594,0.2589,1,16,6,1,0.0754,-20.559,58.8,17127,1
PLAN000001589,2017,54,CONGRESSIONAL,298859,-4.086,227953,194858,71.43,0.5473,0.7426,1,10,4,0,0.727,20.059,70.89,14426,0
PLAN000001590,2014,41,CITY,107365,-4.152,79895,75431,29.95,0.1981,0.2603,1,10,77,1,0.7412,12.379,47.41,1475,1
PLAN000001591,1997,48,STATE_HOUSE,520519,-4.883,410014,371472,30.16,0.4412,0.252,1,16,55,1,0.9615,-38.717,83.11,3619,0
PLAN000001592,2000,32,CITY,635917,-7.536,467059,432158,81.24,0.36,0.8395,1,15,17,0,0.8233,-25.622,38.89,13170,0
PLAN000001593,2008,14,STATE_HOUSE,235230,7.228,180466,158529,45.12,0.4859,0.1217,1,5,58,1,0.2184,1.521,39.12,237,1
PLAN000001594,2022,21,JUDICIAL,24408,3.797,18809,16230,35.4,0.7203,0.4969,1,11,14,0,0.8208,38.956,52.56,1807,0
PLAN000001595,2019,40,STATE_SENATE,45380,-3.548,31699,29370,79.95,0.1607,0.755,1,7,58,0,0.6572,-19.681,45.09,22407,1
PLAN000001596,2021,26,CONGRESSIONAL,382859,0.613,262751,208396,82.22,0.0678,0.4446,1,14,10,0,0.793,15.086,9.29,24111,1
PLAN000001597,2022,59,JUDICIAL,908039,-1.275,669845,532248,71.56,0.2974,0.2837,1,19,60,0,0.6543,31.897,95.97,5149,1
PLAN000001598,2023,32,JUDICIAL,397752,-5.196,312499,262354,53.2,0.6291,0.4216,1,14,44,1,0.46,-11.212,6.59,24180,0
PLAN000001599,2025,13,STATE_SENATE,823822,-2.048,564904,455083,83.25,0.7003,0.5495,0,5,56,0,0.0063,-15.715,67.28,22340,0
PLAN000001600,2024,7,STATE_HOUSE,302076,3.128,206620,163274,36.5,0.316,0.818,1,3,52,0,0.4785,16.52,86.13,22620,0
PLAN000001601,2001,34,CONGRESSIONAL,40106,-7.278,30048,26718,53.04,0.2924,0.3203,1,14,46,0,0.9764,35.399,38.09,3328,0
PLAN000001602,2025,59,STATE_HOUSE,874741,-7.414,701203,658162,90.59,0.7986,0.4449,1,5,13,0,0.5551,-14.675,85.49,9030,0
PLAN000001603,2002,60,STATE_HOUSE,810015,-7.768,662598,575461,81.92,0.1213,0.5132,1,19,24,0,0.0109,-14.26,35.69,18054,1
PLAN000001604,1996,18,CITY,79596,-4.741,60953,57858,7.98,0.7289,0.5528,1,1,18,0,0.9953,-3.189,90.04,24508,0
PLAN000001605,2023,41,STATE_HOUSE,570602,-4.465,453352,428281,91.01,0.7638,0.2429,1,12,38,0,0.3403,29.649,36.34,4402,0
PLAN000001606,2007,49,STATE_SENATE,935233,-0.496,702438,616137,37.67,0.5468,0.5179,0,14,21,1,0.4833,-29.57,69.98,16139,0
PLAN000001607,1991,10,SCHOOL,551001,2.811,447031,392660,72.88,0.2151,0.0593,1,17,58,0,0.1714,-10.18,11.65,9127,1
PLAN000001608,2020,21,CONGRESSIONAL,350983,-7.419,278347,217170,45.24,0.2939,0.3867,1,14,23,0,0.0525,4.53,75.66,12926,0
PLAN000001609,1994,4,CONGRESSIONAL,48181,-7.383,34355,31559,3.0,0.4823,0.4243,1,4,79,0,0.4206,8.501,8.88,10668,0
PLAN000001610,2025,58,CITY,825320,-3.453,665072,622143,81.43,0.6306,0.2936,1,10,8,0,0.2348,-10.849,90.76,12366,0
PLAN000001611,2022,40,STATE_HOUSE,385065,7.64,309044,258960,62.22,0.07,0.3461,1,7,31,1,0.2295,12.899,81.16,7921,0
PLAN000001612,2020,16,CONGRESSIONAL,690807,4.372,515696,481437,75.07,0.2231,0.0513,1,17,46,0,0.4344,-1.916,19.12,10223,0
PLAN000001613,2024,24,STATE_HOUSE,256036,-2.25,203215,159151,43.41,0.4729,0.82,1,14,19,0,0.9571,17.397,86.45,10547,0
PLAN000001614,2015,12,CONGRESSIONAL,730721,-4.43,532269,457236,25.64,0.5419,0.6263,1,19,54,0,0.5844,-1.18,53.51,20809,0
PLAN000001615,2015,59,STATE_SENATE,779109,-0.231,560020,484063,31.21,0.1368,0.3053,0,20,54,1,0.4853,19.74,44.02,23008,0
PLAN000001616,2025,25,CONGRESSIONAL,311883,2.317,242577,224893,66.38,0.0999,0.5861,1,11,25,1,0.6705,-39.541,59.62,23307,0
PLAN000001617,2018,25,SCHOOL,441903,-1.322,324325,293250,36.24,0.2064,0.0835,1,10,72,1,0.7798,3.147,96.08,2237,1
PLAN000001618,1996,51,SCHOOL,942565,-4.779,659282,591142,68.29,0.2347,0.6658,1,10,73,1,0.9695,17.68,35.19,3218,0
PLAN000001619,2006,53,JUDICIAL,533143,-4.951,394112,335767,72.19,0.3949,0.0368,1,5,0,0,0.5953,18.188,58.29,1144,0
PLAN000001620,2021,31,STATE_HOUSE,891857,2.086,613901,483152,64.12,0.0844,0.5639,1,9,35,1,0.3038,-4.079,28.62,10113,0
PLAN000001621,1998,21,CITY,548075,-3.068,442325,345232,68.95,0.6171,0.8015,0,7,29,0,0.5712,19.953,64.88,11943,0
PLAN000001622,2005,10,SCHOOL,620508,-3.074,500041,422780,27.74,0.588,0.8185,1,0,6,0,0.8747,9.564,53.82,10376,0
PLAN000001623,2022,1,CONGRESSIONAL,456728,2.584,341817,295606,76.94,0.2376,0.052,1,13,20,0,0.5044,7.503,87.42,10887,0
PLAN000001624,1991,30,STATE_HOUSE,429419,5.825,333591,291883,61.07,0.3553,0.8036,0,8,17,0,0.8937,26.372,19.99,19722,1
PLAN000001625,1996,33,STATE_SENATE,602627,-3.572,488753,423128,38.55,0.734,0.6666,1,18,62,0,0.2084,38.931,40.46,16797,0
PLAN000001626,2006,42,SCHOOL,793641,0.648,575954,520476,27.59,0.0671,0.4025,1,20,35,0,0.8198,-36.26,25.04,14169,0
PLAN000001627,2016,56,CITY,746651,-6.789,593034,466367,9.41,0.1214,0.5022,1,9,70,1,0.396,26.577,72.02,4722,0
PLAN000001628,2001,58,STATE_SENATE,144401,-6.459,104942,99550,77.0,0.5014,0.4152,1,4,65,1,0.3397,33.477,62.2,13826,0
PLAN000001629,2013,45,STATE_SENATE,151832,4.577,120218,100579,78.28,0.7904,0.3135,1,10,72,0,0.5436,0.583,45.69,24344,0
PLAN000001630,2000,50,STATE_HOUSE,382633,7.495,288865,237757,58.27,0.0775,0.5337,1,5,2,1,0.2154,-38.016,85.87,9563,0
PLAN000001631,2006,25,STATE_SENATE,373096,-3.298,291136,240696,18.9,0.6727,0.8064,1,8,42,1,0.1773,20.473,66.08,21698,0
PLAN000001632,2009,12,JUDICIAL,771859,5.543,632210,568244,7.53,0.3259,0.2961,1,4,51,0,0.2699,-27.392,45.49,16108,0
PLAN000001633,2020,12,SCHOOL,717980,-0.513,518429,435230,84.67,0.551,0.7557,0,8,29,1,0.3067,-38.872,6.04,864,0
PLAN000001634,1999,35,CITY,768791,-0.891,617802,525104,54.7,0.3956,0.6769,1,12,27,0,0.5903,-4.088,13.33,15199,1
PLAN000001635,2024,19,STATE_HOUSE,420029,-3.883,326195,289002,9.38,0.5753,0.7859,1,8,65,1,0.9488,-5.895,2.81,667,0
PLAN000001636,2025,50,STATE_HOUSE,169859,-2.434,119489,102966,57.84,0.1866,0.8385,1,13,78,0,0.048,38.948,11.67,12669,0
PLAN000001637,1997,27,STATE_HOUSE,415528,7.1,305674,281171,62.59,0.1513,0.5271,1,12,63,0,0.7278,34.647,68.67,7112,1
PLAN000001638,2024,38,STATE_SENATE,181749,-6.21,128237,115666,84.06,0.5248,0.4295,1,12,72,0,0.2107,39.415,6.97,22036,0
PLAN000001639,1994,56,STATE_HOUSE,886864,6.271,675837,631861,12.71,0.7514,0.8218,1,2,18,0,0.4452,-33.638,66.89,17211,0
PLAN000001640,2015,10,SCHOOL,441279,5.901,319349,264402,73.04,0.3534,0.2817,1,18,67,0,0.8327,-2.926,71.7,1739,0
PLAN000001641,2020,13,STATE_SENATE,189252,4.312,136573,125614,61.0,0.5815,0.7776,1,15,80,0,0.8513,-10.372,88.7,17589,0
PLAN000001642,2000,27,STATE_HOUSE,587924,4.411,422164,372200,70.55,0.3648,0.8244,0,6,70,0,0.2075,-13.343,23.38,23463,0
PLAN000001643,1999,21,STATE_SENATE,70575,-3.124,50540,44548,53.35,0.6115,0.3205,1,0,44,0,0.7077,1.219,93.18,2766,0
PLAN000001644,2001,47,CONGRESSIONAL,220225,5.585,150911,131340,20.74,0.266,0.4418,1,16,3,0,0.2487,13.721,80.15,19525,0
PLAN000001645,2017,50,JUDICIAL,199206,7.844,153422,141337,91.17,0.5987,0.2703,1,13,35,1,0.4831,14.246,59.89,17832,0
PLAN000001646,2012,59,CONGRESSIONAL,76648,0.63,53829,48076,57.19,0.1328,0.7907,1,12,66,0,0.3482,-29.819,34.02,2927,0
PLAN000001647,2012,7,CONGRESSIONAL,708107,-1.032,551968,507217,65.67,0.2395,0.1628,1,10,80,1,0.0639,-4.21,32.04,20697,1
PLAN000001648,2009,41,STATE_SENATE,805815,-4.283,619441,569514,77.45,0.4478,0.6754,1,16,3,0,0.6287,-8.695,21.06,1990,0
PLAN000001649,2009,16,CONGRESSIONAL,588805,2.816,416985,332209,80.56,0.6213,0.5266,1,9,62,0,0.3747,36.222,36.66,16890,0
PLAN000001650,2000,3,CONGRESSIONAL,474634,-7.83,377527,340937,19.88,0.4588,0.8031,1,15,60,0,0.3282,-22.039,98.26,15981,0
PLAN000001651,2023,50,STATE_HOUSE,305444,-5.609,228515,212020,39.31,0.0362,0.7982,1,2,67,0,0.8008,-31.249,84.54,8335,0
PLAN000001652,2003,4,CITY,227704,-4.704,178531,148967,54.43,0.2565,0.216,1,19,20,0,0.6863,-22.882,50.18,5340,0
PLAN000001653,1994,35,SCHOOL,641371,1.217,449161,425748,43.52,0.3843,0.268,1,5,62,0,0.0259,38.457,75.3,9763,1
PLAN000001654,2009,30,STATE_HOUSE,375255,-5.779,256456,222797,58.72,0.1828,0.6484,1,18,51,0,0.7885,1.57,75.89,17548,0
PLAN000001655,2010,41,CITY,270086,0.256,191944,160544,36.1,0.7714,0.5736,1,6,63,1,0.8732,-10.392,39.94,3854,0
PLAN000001656,2002,51,STATE_HOUSE,780063,5.367,584396,547879,14.63,0.6556,0.7286,1,15,5,0,0.9773,-39.665,32.03,423,1
PLAN000001657,2015,15,STATE_HOUSE,944757,-6.922,704128,578655,17.73,0.4764,0.1312,1,8,11,1,0.6679,16.564,8.34,1489,0
PLAN000001658,2022,5,CONGRESSIONAL,716880,1.541,582576,511646,58.89,0.4233,0.0992,1,0,36,0,0.2059,-7.258,94.1,481,0
PLAN000001659,2021,49,CONGRESSIONAL,151389,2.497,108183,95444,25.41,0.774,0.4866,1,13,72,1,0.5236,-4.826,80.4,20100,1
PLAN000001660,2018,36,STATE_HOUSE,287183,1.893,218870,198116,31.42,0.3416,0.4122,1,7,19,1,0.6239,25.729,20.62,15039,0
PLAN000001661,2002,55,CITY,752961,7.047,563786,532980,94.9,0.2354,0.7251,1,1,78,0,0.9988,3.638,53.64,12582,0
PLAN000001662,1993,27,CITY,765725,-2.591,552247,465897,82.69,0.6687,0.6336,1,15,72,1,0.6357,-11.581,57.58,11255,0
PLAN000001663,1998,9,STATE_HOUSE,563788,-6.558,450834,402463,4.36,0.3101,0.5723,1,0,35,0,0.4473,-33.014,64.64,5905,0
PLAN000001664,2016,11,STATE_SENATE,771907,-2.202,629525,538041,12.73,0.5622,0.0298,1,19,77,0,0.7513,-37.383,19.03,9092,0
PLAN000001665,2017,17,STATE_HOUSE,368269,-1.934,279887,259207,25.48,0.6737,0.619,1,13,63,1,0.2765,13.286,12.04,3438,0
PLAN000001666,2005,40,CITY,562474,-3.571,423136,332130,45.37,0.1016,0.2578,1,5,74,0,0.8458,-29.022,23.31,21333,0
PLAN000001667,2001,21,STATE_SENATE,850998,-3.179,597351,533963,82.7,0.6141,0.1179,1,11,64,0,0.8252,35.131,20.11,10876,0
PLAN000001668,2023,48,STATE_HOUSE,622770,-4.082,472827,411003,19.72,0.6849,0.0815,1,18,74,0,0.1713,2.026,62.81,6741,0
PLAN000001669,1996,19,CITY,100301,-1.867,78129,71140,85.69,0.1727,0.2324,1,10,64,0,0.029,39.123,5.93,6667,0
PLAN000001670,2004,44,SCHOOL,407044,2.259,329808,287036,94.78,0.5676,0.1248,1,6,51,0,0.4288,6.461,95.65,20663,1
PLAN000001671,1999,2,JUDICIAL,160269,-6.748,126989,109747,36.22,0.1157,0.8266,1,5,4,0,0.261,4.324,71.52,14512,0
PLAN000001672,2018,47,STATE_SENATE,941001,-5.833,726602,595853,32.84,0.2715,0.1145,1,1,36,0,0.2448,17.292,94.64,7929,0
PLAN000001673,2025,8,CITY,295117,-3.124,239611,205810,5.26,0.541,0.7094,1,9,56,0,0.1191,-36.114,2.12,23978,0
PLAN000001674,1990,34,STATE_HOUSE,558530,-6.418,428024,340150,24.34,0.7138,0.3786,1,2,22,0,0.3032,16.598,99.57,22859,0
PLAN000001675,2011,9,CONGRESSIONAL,235347,-0.486,170874,133803,30.09,0.6824,0.1835,1,0,72,0,0.3148,26.494,30.4,10635,0
PLAN000001676,2022,8,JUDICIAL,294834,2.734,239666,218373,38.06,0.4484,0.2675,1,9,74,0,0.3058,-18.176,49.08,6772,0
PLAN000001677,1995,53,SCHOOL,915531,-6.952,668761,638018,78.49,0.1649,0.4879,1,0,26,1,0.5462,-36.138,43.36,11995,0
PLAN000001678,1990,21,JUDICIAL,803707,-2.529,594513,557742,88.21,0.6902,0.5475,1,11,65,0,0.5323,35.491,47.49,4639,0
PLAN000001679,1990,19,STATE_SENATE,328350,-4.205,246841,210993,86.11,0.159,0.1012,1,2,17,1,0.5549,-24.324,76.16,3134,0
PLAN000001680,2002,35,STATE_SENATE,111665,6.602,82736,73101,33.63,0.4335,0.1063,1,3,23,0,0.3448,-29.085,59.54,6222,0
PLAN000001681,2020,14,JUDICIAL,174574,-7.479,124353,118033,7.9,0.2047,0.2179,1,7,8,0,0.762,-26.351,85.7,19042,0
PLAN000001682,1997,40,SCHOOL,776233,-3.45,538740,501315,80.63,0.4993,0.4304,1,8,59,0,0.161,18.217,37.66,21093,0
PLAN000001683,2024,12,CITY,392079,0.691,297695,262113,13.66,0.0984,0.3433,1,3,31,1,0.8027,-9.573,77.44,14474,0
PLAN000001684,1994,27,SCHOOL,825708,4.949,658994,570742,92.26,0.2851,0.7866,1,14,78,0,0.676,17.477,90.09,10103,1
PLAN000001685,2002,2,STATE_SENATE,673424,4.033,516707,432346,10.47,0.792,0.0719,1,15,60,0,0.8172,-29.436,91.56,6853,0
PLAN000001686,2003,35,CONGRESSIONAL,347967,5.613,243936,209552,48.97,0.6833,0.41,1,7,12,0,0.9842,-4.81,10.73,24915,0
PLAN000001687,1992,19,STATE_HOUSE,587898,0.07,478150,450668,88.93,0.3518,0.8461,1,13,71,1,0.3607,-22.615,9.81,6316,1
PLAN000001688,2010,7,STATE_HOUSE,879269,4.773,709486,559448,12.78,0.2293,0.2894,1,10,71,0,0.1159,-32.646,96.46,14237,0
PLAN000001689,2015,11,STATE_SENATE,149512,-4.412,119247,109349,63.78,0.4835,0.4537,1,2,73,0,0.3669,27.703,68.63,3470,0
PLAN000001690,2014,9,STATE_SENATE,876257,4.901,604756,579306,74.73,0.0624,0.2467,1,1,60,0,0.9995,31.036,43.25,2207,0
PLAN000001691,2018,27,STATE_HOUSE,402703,-3.438,285541,245708,51.66,0.7492,0.3782,1,1,38,1,0.5298,-35.183,70.66,17347,0
PLAN000001692,1996,3,CONGRESSIONAL,695017,-4.08,508605,416809,66.27,0.3831,0.7976,1,9,65,1,0.1717,-13.619,1.23,6596,1
PLAN000001693,1991,10,STATE_HOUSE,145005,0.298,99375,84508,1.84,0.2192,0.7373,1,15,65,0,0.5464,35.669,4.68,6839,0
PLAN000001694,2024,14,JUDICIAL,302036,-7.555,218731,203599,10.21,0.5046,0.0813,1,17,23,1,0.7244,11.99,4.05,9687,0
PLAN000001695,2019,18,CONGRESSIONAL,821590,2.197,560301,535152,76.93,0.184,0.4036,1,4,51,0,0.1832,30.536,66.07,3737,0
PLAN000001696,2001,51,STATE_SENATE,775380,-1.36,554419,441819,8.22,0.6539,0.8493,0,9,75,0,0.302,-24.342,84.47,1467,0
PLAN000001697,2004,22,CONGRESSIONAL,157808,-0.828,110133,98322,60.64,0.3148,0.1991,1,6,74,0,0.4587,11.764,23.45,17678,0
PLAN000001698,2018,53,CITY,639154,-0.788,502781,447378,70.32,0.1066,0.0866,1,15,6,0,0.3634,26.865,58.78,18277,0
PLAN000001699,2001,29,CONGRESSIONAL,586484,-1.486,419218,335057,66.79,0.1989,0.1255,1,2,63,0,0.7608,13.282,84.19,24258,0
PLAN000001700,1991,39,JUDICIAL,403802,-0.846,317053,260099,29.6,0.1257,0.5007,1,5,21,0,0.7612,11.685,16.22,3989,1
PLAN000001701,2009,24,CITY,548831,6.986,379182,309848,54.64,0.4081,0.209,1,8,75,0,0.6379,-9.283,17.87,22728,0
PLAN000001702,2006,13,STATE_SENATE,772679,0.924,559634,512304,68.29,0.108,0.3717,1,1,73,0,0.1905,37.227,45.97,20004,0
PLAN000001703,2012,24,CONGRESSIONAL,801455,-6.689,593129,513219,84.06,0.2759,0.5824,1,15,31,0,0.5089,-3.295,15.34,12814,0
PLAN000001704,2010,21,STATE_HOUSE,643629,-2.043,505858,415857,83.5,0.316,0.5006,1,17,51,0,0.2634,-37.812,46.85,4911,0
PLAN000001705,2010,40,STATE_SENATE,659471,-6.449,520980,468812,39.89,0.4964,0.7325,1,11,47,0,0.9633,-4.111,44.36,10994,0
PLAN000001706,2025,47,STATE_HOUSE,468760,0.187,370834,331780,85.2,0.3548,0.3399,1,7,71,1,0.6579,-6.916,56.9,14708,0
PLAN000001707,1999,14,STATE_SENATE,365632,-6.723,291824,229481,93.75,0.2883,0.2037,1,18,74,0,0.1318,-10.965,65.05,15906,0
PLAN000001708,2017,8,STATE_HOUSE,271211,-6.766,212086,179615,42.16,0.1379,0.3418,1,17,12,0,0.6119,39.443,96.23,21366,0
PLAN000001709,1991,46,STATE_HOUSE,424169,-1.549,306138,250744,32.59,0.4569,0.753,0,5,3,1,0.4988,-31.504,85.76,21725,0
PLAN000001710,1993,35,STATE_HOUSE,651946,1.152,461198,360300,93.96,0.7346,0.1955,0,11,45,0,0.5398,37.553,85.21,18607,0
PLAN000001711,2006,18,CONGRESSIONAL,808576,6.428,615829,527994,20.66,0.1708,0.0349,1,13,67,0,0.0393,-34.556,98.74,17049,0
PLAN000001712,2018,4,STATE_HOUSE,176709,-6.739,126237,98558,2.89,0.2125,0.3583,1,15,23,0,0.7307,-23.969,90.15,15560,0
PLAN000001713,2000,29,STATE_SENATE,138422,-0.507,98615,87340,68.77,0.6128,0.3925,1,12,79,0,0.8696,-10.405,44.57,13703,0
PLAN000001714,1990,47,CONGRESSIONAL,662246,6.573,529827,469238,75.29,0.6504,0.1309,1,3,17,1,0.4611,-7.673,19.33,4023,0
PLAN000001715,2007,27,CONGRESSIONAL,793765,-0.161,581694,475406,79.96,0.3991,0.8236,1,0,57,0,0.2696,-29.361,100.0,24073,1
PLAN000001716,2019,27,JUDICIAL,25006,-3.012,17396,15278,70.4,0.2749,0.7117,1,6,67,0,0.4903,28.406,66.37,6031,0
PLAN000001717,2013,7,CITY,941061,-1.212,740120,625391,20.08,0.2665,0.6317,0,14,68,0,0.3313,-32.317,78.41,21403,0
PLAN000001718,2021,51,CONGRESSIONAL,69775,2.818,50461,40774,33.48,0.7061,0.4862,0,8,20,0,0.4142,-37.207,87.7,23645,0
PLAN000001719,2003,10,CONGRESSIONAL,132864,-2.184,105789,83816,41.14,0.6325,0.6524,1,11,31,0,0.7426,-32.845,47.57,780,0
PLAN000001720,2014,36,CONGRESSIONAL,605092,7.234,448682,418114,92.52,0.484,0.8221,1,19,20,0,0.7358,16.361,26.87,15031,0
PLAN000001721,1990,20,STATE_SENATE,135367,-6.661,102613,89195,47.0,0.7461,0.5856,1,14,43,0,0.814,39.24,53.09,1077,0
PLAN000001722,2015,58,SCHOOL,564515,-2.838,418449,346062,34.41,0.512,0.7638,1,2,22,0,0.4583,22.374,52.15,20350,0
PLAN000001723,2021,9,STATE_SENATE,198262,-2.46,147032,133931,46.39,0.5431,0.504,1,16,4,0,0.3207,-28.352,17.44,13893,0
PLAN000001724,1997,20,CONGRESSIONAL,209593,-0.894,171563,137998,80.11,0.1523,0.2345,1,3,35,0,0.9441,-9.655,67.19,15731,0
PLAN000001725,2025,38,STATE_HOUSE,236992,3.573,186172,177524,61.1,0.1839,0.216,1,5,29,0,0.2418,-27.454,35.35,12264,0
PLAN000001726,2016,30,STATE_SENATE,314083,1.415,220373,173085,94.24,0.1834,0.3417,0,20,22,0,0.9186,7.851,40.99,11645,0
PLAN000001727,2015,39,STATE_SENATE,357348,1.668,262891,238243,68.49,0.2852,0.3416,1,1,5,0,0.3081,-28.803,34.81,18441,0
PLAN000001728,2017,14,STATE_HOUSE,497237,0.364,368363,317166,57.06,0.1782,0.088,1,16,20,1,0.936,-29.886,19.11,2659,0
PLAN000001729,1990,8,STATE_SENATE,673657,-7.698,532574,486340,45.44,0.1368,0.3801,1,9,71,0,0.801,22.049,65.67,9281,0
PLAN000001730,2002,11,CONGRESSIONAL,763213,2.923,519074,484023,43.83,0.4162,0.6105,1,1,28,1,0.9951,28.704,74.84,14213,0
PLAN000001731,2004,45,STATE_SENATE,714625,3.301,582254,514203,42.98,0.123,0.8113,1,8,80,0,0.1805,10.435,78.09,23195,0
PLAN000001732,2014,15,STATE_SENATE,636054,-3.124,513709,485758,43.13,0.3122,0.654,1,17,61,0,0.2308,-34.567,69.39,1931,0
PLAN000001733,2003,26,CONGRESSIONAL,237988,7.708,175678,164709,45.4,0.3736,0.4054,1,9,63,0,0.6962,2.498,30.22,10467,0
PLAN000001734,2013,35,STATE_HOUSE,482939,6.627,365265,296140,59.94,0.2055,0.3716,1,0,80,0,0.8853,-9.171,6.6,1795,0
PLAN000001735,2010,32,STATE_HOUSE,534163,-7.06,410429,351375,10.41,0.3101,0.1153,1,4,17,0,0.1081,1.656,1.22,16639,0
PLAN000001736,2009,19,STATE_HOUSE,156718,5.449,108450,89359,85.93,0.3119,0.2892,1,10,6,0,0.1853,11.218,87.66,1012,0
PLAN000001737,1998,4,CONGRESSIONAL,783723,2.567,560990,535604,23.97,0.0991,0.7031,1,7,16,1,0.5984,-5.311,26.53,6178,0
PLAN000001738,1994,36,STATE_HOUSE,495364,7.256,345582,317304,79.43,0.1966,0.6836,1,18,31,0,0.0492,-12.213,14.49,23178,1
PLAN000001739,2018,19,STATE_HOUSE,326401,-3.472,259556,206024,3.3,0.7842,0.5462,1,1,75,0,0.1466,-23.538,47.52,3458,0
PLAN000001740,2020,20,STATE_HOUSE,557434,-3.17,420481,396752,65.92,0.344,0.4728,1,11,79,0,0.6715,-1.954,5.83,4438,0
PLAN000001741,2011,14,CONGRESSIONAL,212395,7.899,147155,125146,72.67,0.3286,0.759,1,7,48,0,0.621,13.152,67.55,21740,0
PLAN000001742,2015,51,CONGRESSIONAL,389786,-1.378,296586,242942,26.37,0.1008,0.2893,1,10,56,0,0.7125,18.326,44.2,7853,0
PLAN000001743,2022,56,STATE_SENATE,618053,-2.406,458685,438687,61.75,0.2041,0.1802,1,4,63,1,0.6032,-39.077,79.55,5626,1
PLAN000001744,2007,4,SCHOOL,775436,2.35,624478,597563,5.75,0.5967,0.1142,1,9,69,0,0.0987,12.985,92.72,18757,1
PLAN000001745,2012,37,STATE_SENATE,118480,2.296,90382,74677,93.41,0.6603,0.135,1,6,7,0,0.697,16.176,34.55,6060,0
PLAN000001746,2024,48,SCHOOL,517190,6.074,417819,351679,29.63,0.078,0.401,1,20,57,0,0.9997,-21.484,22.33,10770,0
PLAN000001747,1998,13,STATE_SENATE,709155,6.176,483083,441072,8.16,0.2957,0.3601,1,15,13,1,0.7819,30.325,63.81,8591,1
PLAN000001748,1998,23,JUDICIAL,500702,6.473,380754,309460,43.68,0.529,0.1542,0,9,5,0,0.642,-2.437,22.36,24646,0
PLAN000001749,2019,11,CITY,566314,-4.451,460899,434995,22.64,0.4979,0.5195,1,15,55,0,0.523,18.593,12.46,16342,0
PLAN000001750,1999,47,STATE_SENATE,625841,-3.34,512317,458549,86.33,0.4529,0.2354,1,5,18,0,0.5396,-33.248,21.24,20338,0
PLAN000001751,1991,44,CONGRESSIONAL,59366,1.155,44909,37214,6.74,0.0273,0.1778,1,8,12,0,0.573,17.736,1.16,17462,0
PLAN000001752,2013,23,CITY,705106,2.703,503945,448794,91.86,0.447,0.5423,1,1,70,0,0.5969,-39.824,88.59,5178,0
PLAN000001753,1998,6,STATE_SENATE,69565,4.77,56245,50916,75.93,0.453,0.3895,1,20,30,1,0.7226,-8.179,37.28,13205,0
