trans_road_reference_year,trans_road_country_iso2,trans_road_region_nuts_code,trans_road_vehicle_type_code,trans_road_vehicle_stock_count,trans_road_new_registrations_count,trans_road_ev_share_new_registrations_pct,trans_road_avg_vehicle_age_years,trans_road_vkt_million_km,trans_road_congestion_index,trans_road_road_fatalities_count,trans_road_serious_injuries_count,trans_road_speeding_infractions_count,trans_road_alcohol_infractions_count,trans_road_seatbelt_noncompliance_count,trans_road_co2e_emissions_tonnes,trans_road_low_emission_zone_coverage_pct,trans_road_data_source,trans_road_revision_round,trans_road_data_extract_date
2015,BG,HU275,MOPED,4311772,734469,9.82,10.22,24127.73,0.6825,978,11652,54631,22168,46420,4373668.47,45.36,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-01-12
2016,EE,PT61,MOTORCYCLE,2384262,255514,34.29,5.09,64174.62,0.7605,3947,36477,81846,999,3355,7986626.38,39.89,EEA_TRANSPORT_EMISSIONS,SECOND,2024-05-23
2017,HU,SI570,BUS_COACH,838619,104711,9.18,14.57,11700.76,1.9458,222,2528,18065,2263,16988,2192322.23,35.15,POLICE_ADMIN_DATA,BENCHMARK,2025-11-11
2018,LU,BE81,HEAVY_TRUCK,9696052,1628166,15.67,6.2,9929.48,1.6478,100,691,136231,15210,43600,1627182.2,12.89,CARE_ROAD_SAFETY_DB,FLASH,2025-02-11
2019,RO,BE488,LIGHT_COMMERCIAL,7716245,615412,31.92,8.97,18278.07,2.2198,363,1257,106067,4845,27708,4570039.16,53.88,NATIONAL_TRANSPORT_MINISTRY,FIRST,2026-01-29
2020,AT,AT62,PASSENGER_CAR,1347862,155073,66.18,9.0,19225.91,0.3366,820,7152,11473,30454,42839,3146565.32,74.59,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-09
2021,CZ,DK887,MOPED,8616838,604756,19.64,16.47,67881.21,1.9156,2070,18971,70364,13452,49578,19984662.77,29.44,POLICE_ADMIN_DATA,BENCHMARK,2024-03-27
2022,DE,GR80,MOTORCYCLE,4524939,227865,63.39,13.92,61082.31,2.044,4090,25186,125095,27181,2375,12139985.12,56.63,CARE_ROAD_SAFETY_DB,FLASH,2025-03-22
2023,LV,LT5,BUS_COACH,9475800,1373177,77.67,11.32,12721.7,1.4671,41,439,18576,24376,33474,1729413.39,52.41,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-04-21
2024,PL,MT183,HEAVY_TRUCK,309620,30947,76.91,13.55,12135.71,1.4325,424,3536,22927,11584,4477,1246292.07,73.08,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-01
2025,ES,DK563,LIGHT_COMMERCIAL,6215702,445763,21.87,5.97,24097.78,0.5865,1122,11139,85650,10986,1670,6016966.32,49.23,POLICE_ADMIN_DATA,BENCHMARK,2024-07-05
2005,HR,PL602,PASSENGER_CAR,11773152,294151,3.23,13.78,74197.99,2.2671,1068,7237,136288,8460,33879,12894309.17,0.45,CARE_ROAD_SAFETY_DB,FLASH,2025-02-04
2006,FI,PL7,MOPED,526601,60288,32.32,16.45,2260.23,1.0643,44,346,34629,3379,51955,549617.91,0.05,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-11-09
2007,IE,ES39,MOTORCYCLE,6513484,921454,17.98,7.58,36481.48,1.6303,1795,13137,54088,365,2891,10902042.9,51.29,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-06
2008,MT,ES167,BUS_COACH,429919,39019,6.43,12.22,43057.11,0.3736,1953,19798,77384,11282,45748,13827948.54,32.69,POLICE_ADMIN_DATA,BENCHMARK,2024-12-14
2009,SK,SI416,HEAVY_TRUCK,9160412,263933,31.0,16.23,36413.06,0.9742,994,10132,74677,11159,29020,2705457.6,50.46,CARE_ROAD_SAFETY_DB,FLASH,2025-06-27
2010,BE,IE728,LIGHT_COMMERCIAL,13150980,2235890,1.07,9.04,5800.84,1.9255,179,1605,55561,11577,40084,1759099.33,11.36,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-28
2011,DK,FR69,PASSENGER_CAR,10987524,232828,35.37,11.53,14510.68,2.2053,131,1386,118301,10010,47521,891213.36,6.99,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-19
2012,GR,SE43,MOPED,7873185,1382998,4.47,8.15,8071.43,0.984,453,1720,21035,8026,26279,1356951.59,4.76,POLICE_ADMIN_DATA,BENCHMARK,2025-04-09
2013,LT,FR925,MOTORCYCLE,10060940,838717,29.44,5.29,41363.86,0.2745,748,2620,23120,6313,36510,5257365.21,18.19,CARE_ROAD_SAFETY_DB,FLASH,2024-11-18
2014,PT,FR928,BUS_COACH,11352043,1589579,7.66,8.92,28176.63,0.5525,777,4048,36002,3896,12492,2489788.71,54.82,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-22
2015,SE,DK54,HEAVY_TRUCK,2756705,286118,22.86,8.71,39988.26,1.2953,258,809,134734,9213,47294,7615903.11,8.22,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-13
2016,CY,DE89,LIGHT_COMMERCIAL,1067389,165897,12.96,8.8,31438.83,1.2506,1274,3858,112221,9382,12443,3681793.79,41.4,POLICE_ADMIN_DATA,BENCHMARK,2025-08-28
2017,FR,IE506,PASSENGER_CAR,1031647,35047,35.47,11.93,1759.38,2.1788,30,149,34792,8446,45564,293277.82,17.1,CARE_ROAD_SAFETY_DB,FLASH,2024-07-22
2018,IT,LU58,MOPED,872084,78657,1.05,10.44,15990.4,0.169,1095,12882,86903,9183,32046,5016982.87,12.4,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-04-12
2019,NL,BE137,MOTORCYCLE,3722260,193646,24.96,13.11,3161.09,1.357,111,1190,107666,18015,17665,599109.76,2.95,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-08
2020,SI,DK1,BUS_COACH,8739386,328088,38.57,13.01,70473.6,0.4486,1806,11134,43662,5642,37388,9816745.59,80.19,POLICE_ADMIN_DATA,BENCHMARK,2024-08-28
2021,BG,ES48,HEAVY_TRUCK,3334477,330389,79.88,10.41,6817.77,2.2601,40,377,41860,4500,15328,990799.91,83.03,CARE_ROAD_SAFETY_DB,FLASH,2025-03-20
2022,EE,FI685,LIGHT_COMMERCIAL,9376362,1203862,70.08,9.36,29176.65,0.428,1201,4264,11020,9675,68819,3101839.39,72.57,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-01-15
2023,HU,BE311,PASSENGER_CAR,5496263,893538,43.58,17.46,59579.31,2.3271,1835,20932,1957,15929,42950,5501296.27,13.0,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-23
2024,LU,AT8,MOPED,6545650,344083,25.29,17.33,36958.62,1.0356,2257,22894,59562,7162,23628,9386275.01,33.51,POLICE_ADMIN_DATA,BENCHMARK,2024-10-31
2025,RO,EE96,MOTORCYCLE,8670352,519106,2.66,16.98,5141.48,1.0166,48,224,60739,3890,39468,1215140.66,83.59,CARE_ROAD_SAFETY_DB,FLASH,2025-05-20
2005,AT,SK627,BUS_COACH,1891828,340301,42.08,14.5,56180.34,0.3819,88,568,18883,15136,6111,13400610.96,55.58,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-28
2006,CZ,PT1,HEAVY_TRUCK,864127,113056,37.31,5.37,84854.69,1.5079,2105,10497,24544,28400,40040,15541308.46,4.22,EEA_TRANSPORT_EMISSIONS,SECOND,2024-10-20
2007,DE,CZ113,LIGHT_COMMERCIAL,329638,43391,8.38,16.79,51231.72,1.4647,116,664,19824,5463,29349,8659163.48,42.91,POLICE_ADMIN_DATA,BENCHMARK,2025-09-01
2008,LV,SE118,PASSENGER_CAR,2290247,132019,5.03,14.76,62201.23,0.5533,2669,26031,46785,8724,37809,15929578.0,16.32,CARE_ROAD_SAFETY_DB,FLASH,2025-02-05
2009,PL,BG5,MOPED,10476189,1838635,10.6,6.27,12802.18,0.6911,40,352,70511,16724,7360,1891991.29,27.69,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-12-17
2010,ES,DE4,MOTORCYCLE,8448541,1348554,12.51,13.77,45865.25,1.4809,1427,4959,14105,22099,38114,11818939.98,12.41,EEA_TRANSPORT_EMISSIONS,SECOND,2025-12-09
2011,HR,BE44,BUS_COACH,9221190,228971,32.2,6.83,49000.4,1.0923,1267,12420,78564,8235,19736,10707423.88,1.83,POLICE_ADMIN_DATA,BENCHMARK,2024-08-04
2012,FI,RO47,HEAVY_TRUCK,16095474,615340,25.74,14.02,24492.93,1.1791,147,982,30987,8618,43741,5033988.22,36.53,CARE_ROAD_SAFETY_DB,FLASH,2026-02-16
2013,IE,BG772,LIGHT_COMMERCIAL,4224783,275392,29.35,14.53,68054.6,0.3618,3002,33251,60398,20023,32245,10391901.67,4.73,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-30
2014,MT,ES34,PASSENGER_CAR,3066878,234105,26.13,13.04,45013.76,0.6768,1528,11029,28746,242,72590,4528346.92,44.23,EEA_TRANSPORT_EMISSIONS,SECOND,2024-02-12
2015,SK,DE645,MOPED,10649498,519637,11.31,11.68,16073.37,0.3459,256,2730,36228,15007,51480,2826648.54,45.05,POLICE_ADMIN_DATA,BENCHMARK,2024-08-06
2016,BE,NL98,MOTORCYCLE,486805,55203,11.39,16.93,60464.16,2.3814,2155,21778,47301,11228,40893,17860082.79,44.2,CARE_ROAD_SAFETY_DB,FLASH,2025-11-13
2017,DK,GR50,BUS_COACH,2612688,66563,30.8,16.15,23601.6,2.1408,1083,8412,159466,22460,20774,3034786.65,0.17,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-09
2018,GR,ES829,HEAVY_TRUCK,988792,94860,8.22,15.28,11729.94,0.97,89,777,6459,13354,14760,2290933.18,7.02,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-08
2019,LT,PL43,LIGHT_COMMERCIAL,3528084,149216,20.32,14.65,93513.19,1.2653,559,5390,134341,796,19163,16706711.14,6.44,POLICE_ADMIN_DATA,BENCHMARK,2024-03-13
2020,PT,SE3,PASSENGER_CAR,10365181,1774605,63.2,15.87,17461.42,2.1809,146,1619,21865,6936,17961,2686892.56,53.22,CARE_ROAD_SAFETY_DB,FLASH,2024-12-22
2021,SE,LV990,MOPED,3595469,161543,58.95,5.9,25663.52,0.3681,793,3673,86749,12628,18104,1634261.21,75.78,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-01-05
2022,CY,SI391,MOTORCYCLE,4211143,552577,60.05,15.76,40776.42,1.271,1470,11382,4389,5102,32174,6804213.89,53.46,EEA_TRANSPORT_EMISSIONS,SECOND,2024-02-06
2023,FR,CY19,BUS_COACH,6510203,1121039,45.07,11.22,889.9,0.3954,40,351,36555,13398,34009,118111.21,20.03,POLICE_ADMIN_DATA,BENCHMARK,2025-05-30
2024,IT,DE651,HEAVY_TRUCK,1890068,231901,41.77,11.23,16795.01,2.1815,733,2474,99170,8205,46709,3289951.66,5.45,CARE_ROAD_SAFETY_DB,FLASH,2025-12-10
2025,NL,SE28,LIGHT_COMMERCIAL,8046848,891510,2.7,6.74,2288.88,1.2112,72,656,91973,12570,72531,358516.58,20.07,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-13
2005,SI,SE963,PASSENGER_CAR,12181015,369810,12.26,15.98,13383.68,0.2593,636,4868,67793,4173,50801,1401596.66,45.26,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-05
2006,BG,SE13,MOPED,3841905,598583,8.72,8.41,2480.92,1.84,143,797,76494,13301,49809,679222.17,15.8,POLICE_ADMIN_DATA,BENCHMARK,2024-10-14
2007,EE,CY605,MOTORCYCLE,8331393,692608,10.56,5.38,31269.21,1.8467,1868,17945,79065,12198,24084,3551538.9,12.15,CARE_ROAD_SAFETY_DB,FLASH,2025-12-02
2008,HU,IT8,BUS_COACH,15840312,2218673,26.61,5.44,41745.96,0.9471,2050,19466,49726,20314,10332,9677218.25,7.07,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-01-22
2009,LU,DE74,HEAVY_TRUCK,12903022,1945801,33.69,10.19,67291.62,0.6437,523,2783,18611,4637,51497,15674515.57,50.44,EEA_TRANSPORT_EMISSIONS,SECOND,2025-02-15
2010,RO,PT41,LIGHT_COMMERCIAL,4365739,444432,14.9,11.34,59417.77,1.402,799,5392,41195,28396,59767,15946002.15,32.56,POLICE_ADMIN_DATA,BENCHMARK,2025-04-06
2011,AT,BE69,PASSENGER_CAR,6710825,815849,6.44,12.86,54542.95,0.3392,462,3993,59951,22993,59800,14129875.68,4.04,CARE_ROAD_SAFETY_DB,FLASH,2024-02-29
2012,CZ,MT187,MOPED,8881859,1071134,5.24,13.85,8829.2,1.8506,204,1872,82552,5016,8434,1415914.74,55.66,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-09-16
2013,DE,SI38,MOTORCYCLE,2443601,345686,19.98,12.63,40039.78,0.2914,2096,13480,11511,16186,46161,3804758.64,35.41,EEA_TRANSPORT_EMISSIONS,SECOND,2024-06-27
2014,LV,FI728,BUS_COACH,7682040,1012310,41.33,15.23,37074.0,1.2142,247,2534,75966,2246,16629,4837816.96,29.21,POLICE_ADMIN_DATA,BENCHMARK,2025-11-08
2015,PL,PL1,HEAVY_TRUCK,9161159,1474083,32.54,13.93,21374.16,2.1314,869,6485,138186,1941,9428,4374432.91,11.9,CARE_ROAD_SAFETY_DB,FLASH,2025-03-29
2016,ES,AT461,LIGHT_COMMERCIAL,10753914,488805,3.85,6.59,39014.72,1.292,103,1133,53632,9944,53132,4506825.41,31.35,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-11-28
2017,HR,PL635,PASSENGER_CAR,4638995,493743,35.53,16.49,21196.21,1.3766,1058,6358,96069,16874,9944,3606286.8,45.75,EEA_TRANSPORT_EMISSIONS,SECOND,2025-08-26
2018,FI,FR967,MOPED,11248718,1280108,30.94,15.77,84120.56,0.8016,174,530,15975,9970,14135,14920523.94,18.62,POLICE_ADMIN_DATA,BENCHMARK,2024-04-21
2019,IE,AT3,MOTORCYCLE,9348159,1337241,10.01,16.52,58295.85,1.518,2323,14966,150861,17448,9443,14992629.98,63.57,CARE_ROAD_SAFETY_DB,FLASH,2024-09-22
2020,MT,HU485,BUS_COACH,2698818,419126,59.56,16.08,10943.74,2.2999,159,1501,81300,3018,29283,2174630.87,64.27,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-06-17
2021,SK,IT76,HEAVY_TRUCK,10875133,1152772,4.91,7.5,54241.67,1.954,838,6047,87448,15862,40584,13920336.04,56.52,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-04
2022,BE,MT75,LIGHT_COMMERCIAL,699163,117732,90.34,6.55,70158.99,1.3717,522,3756,37987,17819,37260,5896095.59,54.81,POLICE_ADMIN_DATA,BENCHMARK,2024-03-07
2023,DK,PT8,PASSENGER_CAR,10557098,663292,48.35,9.51,60778.79,0.7363,2692,30331,96074,17995,53499,12946238.11,86.2,CARE_ROAD_SAFETY_DB,FLASH,2024-01-27
2024,GR,BE7,MOPED,10685366,1339959,51.19,12.72,70142.21,0.7166,1214,14287,19784,24015,3122,14510436.12,40.45,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-26
2025,LT,LU755,MOTORCYCLE,2628214,271893,81.64,5.86,4433.93,0.5621,99,949,35395,14680,2199,547049.39,34.44,EEA_TRANSPORT_EMISSIONS,SECOND,2024-02-16
2005,PT,FR794,BUS_COACH,11963282,566846,27.29,10.39,74394.59,1.4842,518,4363,40183,15301,6816,9848228.3,25.18,POLICE_ADMIN_DATA,BENCHMARK,2025-01-31
2006,SE,CZ14,HEAVY_TRUCK,8311209,298133,31.2,16.12,83773.0,1.3457,1303,11153,107586,12946,34111,16090810.8,46.31,CARE_ROAD_SAFETY_DB,FLASH,2025-01-29
2007,CY,RO431,LIGHT_COMMERCIAL,5927989,640324,5.22,12.72,70159.22,2.2765,389,3800,39384,6196,72503,17810927.55,33.1,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-03-26
2008,FR,FI51,PASSENGER_CAR,14554257,2094111,8.08,17.29,41684.94,1.3186,2057,20678,61102,7124,28194,12611923.4,38.59,EEA_TRANSPORT_EMISSIONS,SECOND,2024-09-25
2009,IT,IE9,MOPED,1430833,160577,3.0,14.7,37119.59,1.7658,1885,9613,34386,21111,8869,4661190.03,31.61,POLICE_ADMIN_DATA,BENCHMARK,2025-11-07
2010,NL,HU873,MOTORCYCLE,10399832,1581528,31.3,8.17,70293.03,0.3403,3420,23998,38242,29052,50465,14095580.64,5.37,CARE_ROAD_SAFETY_DB,FLASH,2026-02-24
2011,SI,IT826,BUS_COACH,10973584,624667,1.86,7.93,67953.25,1.243,1426,6765,44503,11998,38469,8473323.68,18.91,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-03-19
2012,BG,IE120,HEAVY_TRUCK,13877316,606019,5.83,12.46,82000.59,2.185,3900,39040,27144,24665,22895,18781915.01,39.72,EEA_TRANSPORT_EMISSIONS,SECOND,2025-04-29
2013,EE,PT17,LIGHT_COMMERCIAL,725148,86313,27.81,7.94,21614.27,1.2308,580,5986,105342,2365,46872,5379143.53,14.6,POLICE_ADMIN_DATA,BENCHMARK,2025-07-24
2014,HU,NL720,PASSENGER_CAR,3518172,111517,30.11,17.02,76219.51,1.178,1554,17854,57278,9980,26713,14288188.55,16.85,CARE_ROAD_SAFETY_DB,FLASH,2025-09-19
2015,LU,LV3,MOPED,12150425,1180674,8.65,17.31,5335.51,1.5438,122,423,94203,2907,42785,568703.24,40.21,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-09-29
2016,RO,SK42,MOTORCYCLE,3135862,136895,4.56,16.6,28816.69,2.2991,760,4194,22821,5902,26625,7312776.91,8.51,EEA_TRANSPORT_EMISSIONS,SECOND,2024-02-14
2017,AT,IT33,BUS_COACH,9257687,1555852,4.23,10.36,47097.28,1.525,1701,15943,69324,3280,30274,12623090.32,2.54,POLICE_ADMIN_DATA,BENCHMARK,2024-09-15
2018,CZ,SE377,HEAVY_TRUCK,6518140,976016,22.26,8.57,7435.04,2.2483,364,2421,98031,11035,16449,840159.92,86.12,CARE_ROAD_SAFETY_DB,FLASH,2025-05-20
2019,DE,LT8,LIGHT_COMMERCIAL,8536018,348908,7.17,10.14,80803.79,1.5879,178,1038,128829,7866,53734,14546538.12,47.05,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-01-30
2020,LV,DK96,PASSENGER_CAR,533169,59983,87.87,12.01,46546.87,1.7346,1449,6605,121493,9338,18156,4129935.59,62.49,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-25
2021,PL,CZ94,MOPED,6665135,864703,35.54,6.55,10543.22,2.1782,705,3182,124908,5950,18465,1547584.23,34.6,POLICE_ADMIN_DATA,BENCHMARK,2024-02-25
2022,ES,BE663,MOTORCYCLE,3350725,428149,75.14,10.11,9457.84,0.2534,552,2633,55880,2807,38161,795168.43,75.88,CARE_ROAD_SAFETY_DB,FLASH,2025-05-01
2023,HR,SI1,BUS_COACH,14425736,2208344,49.38,7.63,49132.74,1.9271,1024,3397,64234,13603,24063,11386270.2,64.16,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-12-11
2024,FI,LV97,HEAVY_TRUCK,7449778,259481,68.1,13.49,49948.85,0.7564,2188,16813,54764,2656,16156,4620622.24,16.42,EEA_TRANSPORT_EMISSIONS,SECOND,2025-08-31
2025,IE,IT84,LIGHT_COMMERCIAL,5021669,452655,32.03,15.7,85788.11,2.1664,2888,22218,17031,4482,50438,20133102.31,56.96,POLICE_ADMIN_DATA,BENCHMARK,2024-03-08
2005,MT,PT797,PASSENGER_CAR,7354158,529768,38.79,15.85,10923.86,2.2201,272,1280,137374,21050,56787,2119621.87,2.67,CARE_ROAD_SAFETY_DB,FLASH,2024-02-07
2006,SK,ES716,MOPED,199692,27951,31.38,16.41,41483.03,1.0002,969,7377,71030,10546,4535,4435321.18,53.46,NATIONAL_TRANSPORT_MINISTRY,FIRST,2026-01-29
2007,BE,NL94,MOTORCYCLE,3838016,164467,6.36,14.62,61800.51,2.1467,1317,4849,23011,17184,18236,11782667.95,47.24,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-12
2008,DK,ES488,BUS_COACH,2180706,72170,2.63,14.14,14494.41,2.2689,152,754,4324,15084,4069,1714860.82,23.23,POLICE_ADMIN_DATA,BENCHMARK,2024-07-22
2009,GR,AT68,HEAVY_TRUCK,1667544,199720,0.71,12.9,62111.78,1.129,272,2655,17852,27177,21526,18485654.91,41.31,CARE_ROAD_SAFETY_DB,FLASH,2026-01-22
2010,LT,PL268,LIGHT_COMMERCIAL,7578807,383581,9.66,9.35,67213.19,0.6558,1322,12248,88949,31164,5717,20050643.73,17.96,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-01-10
2011,PT,CZ81,PASSENGER_CAR,9286370,1656210,25.49,10.94,21387.49,2.2002,494,1773,137138,16990,73281,3466586.2,23.81,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-09
2012,SE,CZ11,MOPED,6272559,995603,18.97,10.36,36908.03,2.0887,2256,20675,4232,17300,3006,4580688.59,50.19,POLICE_ADMIN_DATA,BENCHMARK,2025-09-21
2013,CY,NL569,MOTORCYCLE,3675862,537073,9.53,12.58,79752.05,1.882,4694,19024,71597,23393,2864,8658386.3,16.92,CARE_ROAD_SAFETY_DB,FLASH,2024-08-12
2014,FR,PT91,BUS_COACH,1548454,88872,24.98,9.38,40185.39,0.8587,66,267,85811,11934,45629,9617840.13,27.94,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-09-04
2015,IT,EE435,HEAVY_TRUCK,10703289,1724235,40.18,11.15,13819.88,1.4367,56,335,110613,5191,16452,1640566.37,8.23,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-16
2016,NL,RO29,LIGHT_COMMERCIAL,5158908,290542,6.68,16.98,93182.72,1.0138,3669,20828,71154,738,2919,18332886.96,51.73,POLICE_ADMIN_DATA,BENCHMARK,2025-11-11
2017,SI,DE63,PASSENGER_CAR,9390356,1609982,7.45,11.33,33594.33,1.6234,1657,14662,66978,17524,42260,7322312.19,35.51,CARE_ROAD_SAFETY_DB,FLASH,2024-01-09
2018,BG,PT414,MOPED,6629444,1053941,10.57,16.01,81195.88,2.3291,556,2020,18562,17518,25026,22612935.82,40.92,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-26
2019,EE,IT298,MOTORCYCLE,9914535,1348911,36.78,11.92,41336.21,0.7245,2608,24490,92940,8024,22615,2279019.69,84.48,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-02
2020,HU,IE20,BUS_COACH,12056439,1762255,3.57,10.23,43493.36,1.4992,2176,9979,70511,8238,12299,7601814.06,13.37,POLICE_ADMIN_DATA,BENCHMARK,2024-01-28
2021,LU,LT14,HEAVY_TRUCK,9357915,1350264,21.54,14.5,62079.72,0.7268,80,828,40976,11214,48062,15467474.36,83.76,CARE_ROAD_SAFETY_DB,FLASH,2025-08-19
2022,RO,CY487,LIGHT_COMMERCIAL,1372254,100642,92.13,14.43,92288.49,0.1758,1344,5744,26962,15015,25005,13195122.23,58.17,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-13
2023,AT,LT90,PASSENGER_CAR,9816348,1635304,7.13,16.96,7151.74,0.4367,161,1328,52794,4190,19739,2273783.03,60.76,EEA_TRANSPORT_EMISSIONS,SECOND,2025-11-16
2024,CZ,SK439,MOPED,10375595,377125,23.84,11.95,36009.21,1.4256,2415,18470,44119,24628,29254,5965622.11,64.14,POLICE_ADMIN_DATA,BENCHMARK,2024-01-18
2025,DE,FI919,MOTORCYCLE,11925240,1075988,49.54,8.17,49733.41,1.8112,876,9597,23736,1982,21216,11095282.7,84.65,CARE_ROAD_SAFETY_DB,FLASH,2025-10-07
2005,LV,BE868,BUS_COACH,314241,52329,33.5,10.51,30563.87,2.3281,418,4579,494,1180,43546,6528660.18,4.97,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-06-30
2006,PL,BE381,HEAVY_TRUCK,4334548,375262,24.3,7.75,64474.89,0.9693,2341,19047,7600,3028,51623,14715323.5,16.4,EEA_TRANSPORT_EMISSIONS,SECOND,2025-04-03
2007,ES,LV4,LIGHT_COMMERCIAL,12938536,846189,6.02,6.06,209.8,0.2852,4,19,36700,6618,15398,49551.87,44.79,POLICE_ADMIN_DATA,BENCHMARK,2024-03-22
2008,HR,LT82,PASSENGER_CAR,7334371,1168169,28.2,8.07,83184.28,0.4265,3577,21030,1282,3644,52380,16094867.88,4.85,CARE_ROAD_SAFETY_DB,FLASH,2025-11-26
2009,FI,IE13,MOPED,1268405,137426,4.86,5.98,8187.1,0.9988,247,826,65442,17645,38565,1733994.67,44.33,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-25
2010,IE,PL4,MOTORCYCLE,8606395,1363116,36.83,13.76,15873.59,1.2738,549,2365,132784,6090,47868,2319733.68,13.27,EEA_TRANSPORT_EMISSIONS,SECOND,2025-06-16
2011,MT,MT111,BUS_COACH,1481035,255341,8.92,16.71,7872.8,2.2943,164,634,135858,7324,38110,2414020.96,56.14,POLICE_ADMIN_DATA,BENCHMARK,2025-06-30
2012,SK,SK224,HEAVY_TRUCK,9542958,576269,33.94,7.04,27045.58,0.6663,1111,5886,5410,6539,466,5563175.62,18.11,CARE_ROAD_SAFETY_DB,FLASH,2024-04-28
2013,BE,LU906,LIGHT_COMMERCIAL,4849380,100399,20.48,7.03,54190.49,0.9453,1909,6562,57667,14413,8732,12758216.39,36.93,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-04-11
2014,DK,SK782,PASSENGER_CAR,1434946,246268,42.08,16.98,31330.2,1.0385,395,1869,61115,23923,75497,7132138.24,5.22,EEA_TRANSPORT_EMISSIONS,SECOND,2024-12-23
2015,GR,LV250,MOPED,534200,26527,35.89,15.29,50803.8,0.5501,3232,29974,43000,14819,40203,5864427.35,20.73,POLICE_ADMIN_DATA,BENCHMARK,2025-05-12
2016,LT,FR42,MOTORCYCLE,3118848,121546,9.13,8.54,6263.43,2.0511,274,1603,31762,17083,6136,1945964.92,53.38,CARE_ROAD_SAFETY_DB,FLASH,2025-04-08
2017,PT,LU8,BUS_COACH,4935500,430472,17.01,16.51,52939.47,1.1599,1428,10438,56977,5614,42397,6736428.38,11.19,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-08-10
2018,SE,RO5,HEAVY_TRUCK,11080537,1177139,23.19,13.17,23027.22,1.6558,57,669,118192,15116,42034,6469820.35,11.25,EEA_TRANSPORT_EMISSIONS,SECOND,2024-04-25
2019,CY,GR42,LIGHT_COMMERCIAL,9888440,1402358,32.32,6.09,6480.74,1.6573,144,1531,17809,14492,62689,1060543.55,26.95,POLICE_ADMIN_DATA,BENCHMARK,2025-10-19
2020,FR,MT41,PASSENGER_CAR,7014492,987618,88.26,15.21,88107.47,1.739,3167,26859,115013,1585,1955,6880659.01,16.88,CARE_ROAD_SAFETY_DB,FLASH,2024-03-14
2021,IT,BE6,MOPED,2353786,131666,63.3,12.36,39570.6,0.2216,677,5912,38010,17054,22621,5672546.85,39.06,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-03-10
2022,NL,GR45,MOTORCYCLE,3572727,597551,75.5,13.19,83051.41,1.0276,4508,32832,12473,27139,17850,3532826.8,33.0,EEA_TRANSPORT_EMISSIONS,SECOND,2024-06-04
2023,SI,FR53,BUS_COACH,2775266,94396,31.54,16.63,22369.7,0.2423,763,6284,2418,15411,32984,1438771.41,13.68,POLICE_ADMIN_DATA,BENCHMARK,2024-12-20
2024,BG,DK373,HEAVY_TRUCK,8484614,673896,46.14,9.54,57700.9,0.1932,1759,20983,16516,10014,43217,13393613.52,7.37,CARE_ROAD_SAFETY_DB,FLASH,2024-07-13
