imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2015,H1B,DE,FRA,70182,70182,0,358.3965,103.98,0,0,2,0,1,0,NONE,0,90,NC,2020-10-27
2012,B1B2,IT,HYD,213447,204293,0,147.2566,157.94,0,0,4,0,0,0,NONE,0,74,VA,2020-10-28
2019,H2A,IN,MAD,238123,191307,17564,329.4967,123.67,0,1,5,0,1,0,NONE,0,35,NJ,2020-10-29
2025,F1,NG,HAN,193543,83519,60494,303.8268,100.43,1,1,6,0,0,1,NONE,0,69,IL,2020-10-30
2016,ASYLEE,AR,ABJ,21741,21741,0,243.6669,3.31,0,1,1,0,1,0,NONE,0,11,IL,2020-10-31
2025,L1,EG,HAN,160231,160231,0,7.547,9.64,0,1,0,1,1,0,212A4,0,62,MA,2020-11-01
2020,CR1,CN,MAD,156061,156061,0,278.8071,115.17,0,1,1,0,1,0,212A2,0,61,CA,2020-11-02
2023,EB2,FR,CHE,57199,22661,0,104.9472,14.69,0,1,3,0,0,0,NONE,0,68,NJ,2020-11-03
2020,H1B,CO,PAR,3934,3934,0,249.4873,83.08,1,1,3,0,0,0,212A5,0,82,CA,2020-11-04
2021,U,AR,GDL,194296,83395,86829,192.8974,67.39,0,1,2,1,1,0,NONE,0,76,WA,2020-11-05
2022,O1,AR,GZC,222010,159736,46657,127.7275,197.51,1,1,4,1,0,0,212A2,0,2,WA,2020-11-06
2025,K1,ES,CDMX,178319,48290,98520,43.0376,186.04,0,0,3,1,1,0,NONE,0,57,MI,2020-11-07
2017,J1,KR,BJG,213488,70380,103522,87.4477,191.05,0,1,5,0,1,0,NONE,0,87,MI,2020-11-08
2023,EB1,IT,HAN,214340,207744,0,74.7178,61.5,1,0,1,0,1,0,NONE,0,54,VA,2020-11-09
2020,B1B2,KR,LON,135264,103433,0,172.0779,148.54,1,1,1,0,0,0,NONE,0,68,TN,2020-11-10
2014,DV,BR,PAR,76891,72872,0,285.378,146.44,1,0,2,1,1,0,NONE,0,82,OR,2020-11-11
2019,J1,EG,CDMX,143066,40250,76588,179.9881,91.26,1,1,0,1,1,0,NONE,0,27,NC,2020-11-12
2011,PAROLE,DE,CHE,190216,49247,108817,336.5482,77.8,0,0,5,0,0,0,NONE,0,9,NJ,2020-11-13
2013,F1,CO,LON,124882,124882,0,165.9683,157.03,0,0,0,0,1,0,212A6,0,23,TN,2020-11-14
2016,PAROLE,FR,BJG,207076,207076,0,16.1384,59.03,0,1,5,0,1,0,NONE,0,30,NY,2020-11-15
2012,U,IN,BJG,63338,45700,0,262.8585,70.59,0,0,1,0,0,1,NONE,0,3,MA,2020-11-16
2017,H2B,KR,LON,173319,139404,13938,70.0886,49.89,0,0,4,0,1,0,NONE,0,6,OH,2020-11-17
2023,H2B,CN,FRA,121597,121597,0,92.6487,238.67,1,1,3,0,0,0,212A6,0,30,CO,2020-11-18
2022,B1B2,IT,GDL,23791,23791,0,167.4088,62.83,1,1,2,0,0,0,NONE,0,74,MN,2020-11-19
2015,O1,EG,DEL,198532,144883,18792,114.1289,104.67,1,0,3,0,0,0,212A8,1,88,NC,2020-11-20
2015,T,DE,SHG,189164,118513,49353,193.079,40.72,1,1,6,0,1,0,212A9,0,46,CO,2020-11-21
2011,K1,PK,CDMX,7014,7014,0,5.7191,159.88,1,1,6,0,0,1,NONE,0,79,IL,2020-11-22
2019,EB2,NG,PAR,47255,47255,0,59.1492,100.07,1,1,3,0,1,1,NONE,0,13,OR,2020-11-23
2020,T,NG,PAR,190207,170170,0,247.5993,111.93,1,1,0,0,1,0,NONE,0,61,PA,2020-11-24
2014,H2A,JP,MUM,1262,1262,0,212.7994,112.5,0,1,1,1,1,0,212A9,0,35,TN,2020-11-25
2011,ASYLEE,BD,GZC,7751,7751,0,233.2395,62.31,0,1,6,0,0,0,NONE,0,26,VA,2020-11-26
2022,EB3,BR,MUM,29689,29689,0,117.9496,5.24,0,1,5,0,1,0,NONE,0,4,OH,2020-11-27
2010,DV,ET,LON,11551,11551,0,206.7297,234.26,0,0,1,0,0,0,NONE,0,22,GA,2020-11-28
2010,J1,ES,HAN,88020,88020,0,305.1498,170.38,0,1,4,1,0,0,NONE,0,75,CO,2020-11-29
2013,CR1,BD,CHE,266,266,0,250.1299,171.06,0,1,6,1,0,0,212A5,0,89,MI,2020-11-30
2021,EB2,CN,SHG,118790,67506,49388,103.18,232.73,0,1,1,1,1,0,NONE,0,83,GA,2020-12-01
2018,ASYLEE,BR,SHG,15970,15970,0,234.4001,76.04,1,0,6,0,0,0,NONE,1,40,OR,2020-12-02
2015,H1B,PH,FRA,195253,195253,0,289.6602,50.89,0,1,5,1,0,0,NONE,0,14,AZ,2020-12-03
2016,EB1,KR,LON,147946,147946,0,243.2503,2.06,0,1,2,1,1,0,NONE,0,18,IL,2020-12-04
2022,F1,ET,BLR,67707,11026,46627,266.7704,191.99,0,1,6,1,1,0,NONE,0,68,IL,2020-12-05
2015,EB1,VN,HAN,197922,197922,0,362.9705,138.33,0,0,3,1,0,0,212A6,0,45,FL,2020-12-06
2021,K1,JP,BLR,185074,185074,0,40.8706,118.2,1,1,3,0,1,0,NONE,0,8,IL,2020-12-07
2013,TPS,BD,MNL,67938,67938,0,81.2907,236.23,1,1,1,1,0,0,NONE,0,59,OH,2020-12-08
2021,IR1,VN,BLR,216408,188540,0,171.3208,47.48,0,1,6,0,1,0,NONE,0,57,WA,2020-12-09
2012,EB3,CN,ROM,43516,41274,0,262.8309,143.94,1,1,6,0,1,0,NONE,1,26,MD,2020-12-10
2015,PAROLE,DE,LON,176648,57423,91362,198.601,30.29,0,1,3,1,1,0,NONE,0,6,OH,2020-12-11
2017,H1B,CO,FRA,215065,215065,0,221.7511,224.75,0,1,5,1,0,0,212A4,0,68,VA,2020-12-12
2017,ASYLEE,ES,SHG,239629,136142,61470,55.1512,64.83,0,0,2,0,1,0,NONE,0,15,VA,2020-12-13
2023,B1B2,IT,LON,66592,46043,12044,53.1013,35.78,0,1,4,0,1,0,NONE,0,86,TN,2020-12-14
2024,IR1,AR,ROM,143235,143235,0,355.3314,144.95,1,1,1,1,1,0,NONE,1,47,CA,2020-12-15
2025,U,PH,ROM,15489,15489,0,220.1715,122.19,0,0,2,0,0,1,NONE,0,16,MI,2020-12-16
2017,PAROLE,GB,HYD,141908,70421,40528,92.6716,221.82,0,1,0,0,1,0,NONE,0,51,MD,2020-12-17
2013,H2B,CN,HYD,72349,72349,0,238.7917,97.44,1,1,0,0,1,0,NONE,0,48,PA,2020-12-18
2011,H2B,PH,CDMX,103709,68356,28966,4.8618,36.28,0,1,2,0,1,1,212A7,0,27,NJ,2020-12-19
2018,F1,DE,BLR,235013,154656,51179,70.8419,181.93,0,0,5,1,1,0,NONE,0,12,VA,2020-12-20
2016,T,MX,BLR,214872,160477,6600,211.532,120.57,0,1,2,1,0,0,NONE,0,82,NJ,2020-12-21
2020,EB2,AR,BLR,97060,42460,33996,3.9121,159.22,1,1,3,1,0,0,NONE,0,15,MN,2020-12-22
2016,IR1,AR,HAN,154535,154535,0,94.7722,208.6,0,1,2,0,0,0,NONE,0,33,NJ,2020-12-23
2024,CR1,IT,LON,187512,187512,0,225.6623,32.57,0,1,0,1,0,1,NONE,0,37,MN,2020-12-24
2020,J1,KR,GDL,178132,35752,133844,56.4024,87.74,1,0,6,1,0,0,NONE,0,40,VA,2020-12-25
2019,EB3,VN,HAN,236498,137196,94887,337.7425,29.64,0,0,3,0,1,0,NONE,0,47,NC,2020-12-26
2014,J1,IT,PAR,126559,102146,1127,126.5826,203.29,0,0,6,0,1,0,NONE,0,58,MN,2020-12-27
2024,H2A,IT,MNL,64680,64680,0,257.0027,198.58,1,1,1,0,0,0,NONE,0,80,MN,2020-12-28
2023,DV,IN,DEL,203548,99428,56976,318.0528,10.1,1,1,6,0,0,0,212A7,1,13,NJ,2020-12-29
2013,EB1,IT,MUM,33381,33381,0,5.8229,153.21,0,1,3,1,0,1,NONE,0,72,NJ,2020-12-30
2015,L1,IN,PAR,125721,125721,0,311.493,33.73,1,1,3,0,0,0,NONE,0,35,MD,2020-12-31
2024,ASYLEE,CO,LON,156068,17423,95977,28.0131,126.73,1,1,0,0,0,0,NONE,0,75,OH,2021-01-01
2019,F1,IT,DEL,107126,107126,0,196.1232,178.23,1,1,3,0,0,0,NONE,0,83,TN,2021-01-02
2022,T,CO,BLR,36479,36479,0,63.5033,45.95,1,1,6,1,1,0,NONE,0,18,NY,2021-01-03
2020,ASYLEE,DE,LON,58136,58136,0,336.0034,85.68,0,0,4,0,0,0,NONE,0,55,NC,2021-01-04
2024,O1,ET,LON,204662,151132,36859,69.2535,150.84,1,1,5,1,0,0,212A4,0,38,TX,2021-01-05
2016,F1,CO,LON,159259,121722,36494,61.4536,228.08,0,1,6,0,0,0,212A6,0,33,NY,2021-01-06
2012,H1B,PH,HAN,137305,137305,0,74.5737,226.19,0,0,1,0,0,0,212A6,0,83,GA,2021-01-07
2010,TPS,IT,SHG,248054,156170,69423,32.6538,187.05,1,1,2,0,0,0,NONE,1,35,PA,2021-01-08
2020,EB1,IT,ROM,105375,105375,0,183.9139,0.0,1,0,5,0,0,1,NONE,0,56,MN,2021-01-09
2010,ASYLEE,IN,DEL,188328,85812,60147,79.134,201.38,1,1,6,0,1,0,NONE,0,20,GA,2021-01-10
2022,K1,JP,SHG,60802,22683,26011,111.2841,23.55,1,1,4,1,1,0,NONE,0,52,MN,2021-01-11
2010,IR1,FR,HCM,210535,112640,49127,271.5142,213.26,0,1,3,1,1,0,NONE,0,89,MN,2021-01-12
2012,H2B,ES,ABJ,174722,115431,21409,243.3243,161.6,0,0,2,0,0,0,NONE,0,36,MI,2021-01-13
2011,TPS,VN,MAD,199779,199779,0,146.4744,88.66,0,1,6,1,0,0,NONE,0,78,NC,2021-01-14
2021,O1,MX,MUM,27140,27140,0,280.2945,44.75,0,1,3,1,1,0,212A1,0,50,NC,2021-01-15
2013,B1B2,BR,DEL,162970,162970,0,259.4546,130.69,1,1,5,0,0,1,NONE,0,55,NC,2021-01-16
2023,U,FR,GZC,58768,58768,0,281.5847,152.33,0,1,2,0,0,0,212A7,0,34,MA,2021-01-17
2013,B1B2,BR,HYD,71966,60222,0,296.0848,96.72,0,1,2,0,1,0,NONE,0,43,CA,2021-01-18
2023,L1,PH,HAN,174830,174830,0,101.9249,185.4,0,1,2,0,0,0,NONE,0,32,PA,2021-01-19
2024,EB3,IT,HAN,228870,149922,40842,56.895,58.09,0,1,2,0,1,0,NONE,0,25,TN,2021-01-20
2022,J1,MX,GDL,101244,101244,0,144.1951,117.65,0,1,5,1,0,0,NONE,0,7,NJ,2021-01-21
2015,CR1,PH,SHG,47966,47966,0,327.2052,196.44,0,1,3,1,1,0,NONE,0,10,TX,2021-01-22
2022,H2B,PH,LON,229441,45176,175310,118.3153,171.23,0,0,0,1,1,1,NONE,0,76,MA,2021-01-23
2011,H1B,PH,HCM,27897,27897,0,58.2754,205.55,0,1,4,0,1,0,212A2,0,58,NC,2021-01-24
2024,TPS,MX,MNL,153039,132168,11634,204.0955,171.67,0,1,1,0,1,0,212A1,0,31,CA,2021-01-25
2024,EB1,IN,GDL,15303,15303,0,128.6656,68.98,1,1,2,1,1,0,NONE,0,41,IL,2021-01-26
2019,B1B2,GB,LON,1491,1491,0,205.2957,149.57,0,1,1,0,1,0,212A7,0,50,NY,2021-01-27
2016,EB1,IN,MNL,130772,130772,0,127.5358,133.98,0,1,1,1,0,0,NONE,0,38,WA,2021-01-28
2018,CR1,BR,PAR,216135,212939,0,276.7459,143.96,0,1,0,1,1,0,212A3,0,3,OH,2021-01-29
2021,B1B2,AR,LON,161192,93900,36598,185.596,146.42,0,1,3,0,1,0,212A9,0,12,GA,2021-01-30
2015,O1,EG,LAG,41104,41104,0,191.6661,110.32,0,1,3,0,1,0,NONE,0,38,GA,2021-01-31
2019,ASYLEE,BR,SHG,32334,32334,0,333.5762,156.19,0,0,1,0,0,0,NONE,0,16,OR,2021-02-01
2019,ASYLEE,NG,GDL,72556,50889,0,167.4163,21.37,0,0,2,1,0,0,212A2,1,25,NJ,2021-02-02
2020,H2B,EG,GZC,57174,57174,0,201.8864,130.3,1,1,2,0,1,0,NONE,0,25,AZ,2021-02-03
2015,K1,NG,LON,89265,62768,20248,230.5665,98.7,1,1,3,0,0,0,NONE,0,61,OR,2021-02-04
2013,TPS,GB,LAG,53629,53629,0,190.8266,166.66,1,1,2,0,1,0,NONE,0,86,FL,2021-02-05
2011,CR1,NG,MUM,199794,90743,103837,303.7467,44.7,0,0,5,0,0,1,NONE,0,27,NJ,2021-02-06
2014,DV,VN,BLR,26715,26715,0,292.5768,208.77,0,1,5,0,0,0,212A8,0,56,NY,2021-02-07
2015,J1,BR,ABJ,186602,80946,77937,16.5669,85.58,1,0,1,0,0,0,NONE,1,65,OR,2021-02-08
2022,H2B,EG,LON,218140,195675,0,286.947,112.43,0,1,5,0,1,0,NONE,0,6,NC,2021-02-09
2021,IR1,PH,MAD,237696,114619,80537,139.7771,57.18,1,1,4,0,1,0,NONE,0,45,OH,2021-02-10
2018,PAROLE,FR,BJG,1655,1655,0,59.3172,188.67,1,1,5,0,1,1,NONE,1,25,TX,2021-02-11
2014,J1,CO,DEL,41139,11426,7470,283.9773,236.04,1,0,3,1,1,0,NONE,0,82,IL,2021-02-12
2020,T,EG,BJG,11699,11699,0,333.6274,220.09,0,1,0,0,0,0,212A3,0,50,AZ,2021-02-13
2010,EB3,PK,ABJ,207588,135463,43310,195.4575,88.22,1,1,2,1,0,0,212A9,0,60,TN,2021-02-14
2011,U,VN,MAD,202880,160212,36127,31.1676,154.42,1,1,2,1,0,0,NONE,0,26,GA,2021-02-15
2024,O1,ES,ROM,125164,123650,0,72.8477,133.74,0,1,6,0,1,0,212A6,0,58,WA,2021-02-16
2020,IR1,CN,ABJ,181318,97925,77654,308.4378,156.06,1,1,5,0,1,0,NONE,1,66,NC,2021-02-17
2013,H2A,BD,MAD,234221,51426,160303,172.9179,105.7,1,1,0,1,1,1,212A6,0,7,AZ,2021-02-18
2018,EB3,JP,BJG,61594,61594,0,278.928,171.94,1,1,2,1,0,1,NONE,0,44,NY,2021-02-19
2019,T,FR,PAR,155339,155339,0,200.3181,114.99,1,1,3,1,0,1,NONE,0,38,TX,2021-02-20
2025,H2A,PH,LON,2019,2019,0,164.0182,220.31,0,1,2,1,1,0,NONE,0,60,MA,2021-02-21
2014,U,ES,HAN,151000,151000,0,53.4383,93.0,0,1,1,1,0,0,212A7,0,84,MI,2021-02-22
2013,F1,DE,BJG,106211,106211,0,30.2384,228.2,0,1,4,0,0,0,NONE,0,39,CA,2021-02-23
2019,CR1,ES,MNL,43926,43926,0,13.5985,148.72,0,1,4,1,0,0,NONE,0,14,MI,2021-02-24
2013,EB3,IT,ROM,211577,191121,4229,307.5386,95.57,1,1,1,0,1,0,NONE,0,46,MN,2021-02-25
2014,L1,DE,MAD,244541,142763,76978,275.0187,120.98,1,1,5,1,0,0,212A2,0,67,MD,2021-02-26
2014,EB3,NG,ROM,16913,16913,0,93.1988,66.44,0,0,6,1,1,0,NONE,0,63,GA,2021-02-27
2020,DV,CN,LON,198774,70966,100641,185.3989,133.57,0,1,4,0,1,0,NONE,1,18,MI,2021-02-28
2021,PAROLE,BD,MNL,62157,10626,6597,133.449,128.91,0,0,3,1,0,0,NONE,0,18,TN,2021-03-01
2023,PAROLE,DE,GZC,13955,13955,0,170.2691,157.24,1,1,5,0,1,0,NONE,0,30,MI,2021-03-02
2023,EB2,CO,HCM,173569,121182,43335,273.3992,11.93,0,1,0,1,0,0,NONE,0,20,TN,2021-03-03
2022,EB1,DE,PAR,65007,65007,0,351.8093,14.66,0,1,5,0,1,0,NONE,0,50,MA,2021-03-04
2023,H2A,KR,CDMX,166832,127745,0,352.7294,45.53,0,0,6,0,1,0,NONE,0,28,VA,2021-03-05
2019,TPS,GB,HAN,242335,130277,73534,47.3695,13.05,0,1,1,0,0,0,NONE,0,78,GA,2021-03-06
2013,H1B,VN,LAG,81418,81418,0,171.5396,175.71,1,1,6,0,0,0,NONE,0,61,AZ,2021-03-07
2022,EB1,EG,HAN,134365,67187,21501,132.3497,204.46,0,1,3,0,1,0,212A7,0,73,TN,2021-03-08
2024,O1,JP,ABJ,205674,115876,83518,246.4898,30.81,1,1,5,0,0,0,NONE,0,44,MD,2021-03-09
2012,PAROLE,ET,ABJ,198915,191269,0,108.8299,7.02,1,1,5,1,0,0,NONE,1,44,CA,2021-03-10
2011,O1,VN,LON,28524,28524,0,17.46,90.4,0,0,6,1,0,0,NONE,0,73,CA,2021-03-11
2016,TPS,PK,DEL,217358,208399,0,65.1101,238.75,0,1,3,1,0,0,NONE,0,32,MN,2021-03-12
2017,DV,AR,HYD,159216,159216,0,268.8702,48.92,0,1,3,0,0,0,NONE,0,26,TX,2021-03-13
2024,H2B,MX,CDMX,89812,16947,45754,24.8503,180.57,1,1,0,0,1,0,NONE,0,77,NY,2021-03-14
2021,T,PK,BJG,233524,42198,143807,314.9104,218.83,1,1,3,0,1,0,NONE,0,51,WA,2021-03-15
2011,B1B2,AR,DEL,249892,222291,0,308.4805,200.58,0,1,6,0,0,0,NONE,1,45,MA,2021-03-16
2019,O1,NG,LAG,124258,124258,0,204.3606,47.15,0,0,3,1,1,0,NONE,0,69,TX,2021-03-17
2013,O1,JP,DEL,137177,137177,0,363.7807,74.04,1,1,6,0,1,0,NONE,0,9,FL,2021-03-18
2021,J1,PH,MAD,55421,49980,0,238.8608,183.53,0,1,5,0,0,0,NONE,0,88,GA,2021-03-19
2020,L1,CO,MAD,203647,18623,142153,109.7009,72.31,0,1,2,0,0,1,NONE,0,46,PA,2021-03-20
2018,CR1,PH,DEL,48768,48768,0,112.281,230.13,1,1,1,0,1,1,NONE,0,41,MN,2021-03-21
2019,TPS,JP,CHE,16699,16098,0,224.6411,101.94,1,1,0,0,0,0,NONE,0,58,AZ,2021-03-22
2014,EB2,IN,GDL,169705,32621,135759,296.2012,86.14,0,1,3,1,0,0,NONE,0,42,MI,2021-03-23
2021,J1,PH,PAR,115872,73008,26656,349.7713,175.55,1,1,4,0,0,0,212A8,0,65,MN,2021-03-24
2011,J1,EG,DEL,239219,220563,18532,145.5214,81.17,0,1,2,0,1,0,NONE,0,71,OR,2021-03-25
2012,K1,IT,MUM,164293,50516,95533,326.9015,42.62,0,1,2,1,0,0,NONE,0,63,NY,2021-03-26
2022,U,MX,DEL,211620,17049,193548,234.9716,84.46,0,1,0,0,0,0,NONE,0,89,TN,2021-03-27
2021,EB2,ET,ABJ,147090,147090,0,349.5917,218.96,0,1,4,0,0,0,NONE,0,66,WA,2021-03-28
2017,ASYLEE,IN,ROM,235258,24333,208803,193.4418,51.76,0,0,0,1,0,0,NONE,1,21,AZ,2021-03-29
2021,H1B,KR,HYD,154954,47964,91693,12.8219,34.88,0,1,0,0,0,0,212A3,0,40,CO,2021-03-30
2017,H2A,FR,CDMX,76501,76501,0,98.552,74.33,0,0,3,1,1,0,NONE,0,55,OR,2021-03-31
2010,H1B,IN,SHG,247852,121002,112203,18.9621,116.2,1,0,4,0,0,0,NONE,0,88,MI,2021-04-01
2022,H2A,KR,CHE,2476,2476,0,348.8822,235.38,1,1,2,1,0,0,212A2,0,72,IL,2021-04-02
2024,EB1,AR,CHE,95818,95818,0,299.9723,179.52,1,1,2,0,1,0,212A6,1,84,MA,2021-04-03
2025,B1B2,KR,BJG,98312,98312,0,87.7324,83.93,0,0,3,1,0,0,NONE,0,4,PA,2021-04-04
2022,U,JP,HAN,179883,179883,0,170.2725,70.63,0,1,0,0,1,0,NONE,0,56,IL,2021-04-05
2023,O1,JP,MNL,219151,31208,147607,226.9326,155.49,0,0,3,1,1,0,NONE,0,13,MI,2021-04-06
2025,H1B,FR,LAG,129611,39574,45613,193.7327,182.2,1,0,6,0,1,0,212A9,0,40,PA,2021-04-07
2012,O1,MX,CDMX,148300,148300,0,349.3128,15.41,1,1,5,0,1,0,NONE,0,64,CA,2021-04-08
2015,EB1,GB,CDMX,222495,32224,146405,341.5329,219.48,0,0,5,0,1,0,NONE,0,62,WA,2021-04-09
2025,H2B,BR,GZC,126550,126550,0,251.683,142.11,0,1,6,1,1,0,NONE,0,55,AZ,2021-04-10
2018,EB1,GB,GDL,176620,109346,51318,169.5031,120.31,0,0,1,0,0,0,NONE,0,25,MI,2021-04-11
2013,CR1,ES,BLR,28149,28149,0,202.1232,71.05,0,1,1,1,0,0,NONE,0,86,NC,2021-04-12
2013,K1,KR,ROM,20807,20807,0,66.3933,118.3,0,0,6,0,1,0,NONE,0,11,OR,2021-04-13
2018,U,KR,DEL,242354,120710,77253,215.6534,202.25,1,1,1,1,1,0,NONE,0,49,AZ,2021-04-14
2019,EB1,MX,BLR,174719,174719,0,198.2735,56.62,0,1,2,0,0,0,NONE,0,15,IL,2021-04-15
2017,O1,NG,ROM,249537,241306,3470,288.8036,133.0,0,0,5,1,0,0,NONE,0,48,PA,2021-04-16
2024,J1,NG,PAR,55111,55111,0,266.5337,185.31,1,1,6,0,0,0,NONE,0,83,CA,2021-04-17
2014,B1B2,IT,SHG,26501,26501,0,216.3338,48.12,1,1,0,0,1,0,NONE,1,32,TX,2021-04-18
2018,L1,VN,PAR,222537,215573,0,333.8839,44.85,0,1,2,0,1,0,NONE,1,27,NC,2021-04-19
2016,ASYLEE,ET,MUM,151697,63725,40036,306.324,212.35,1,1,5,0,0,0,NONE,0,2,GA,2021-04-20
2017,H2A,NG,MAD,215697,52937,146225,155.1441,51.81,1,0,0,1,1,0,NONE,0,12,VA,2021-04-21
2013,EB1,VN,SHG,39707,39707,0,65.4842,169.2,0,0,0,0,1,0,NONE,0,36,OH,2021-04-22
2023,B1B2,EG,HCM,233284,37756,188335,105.9443,126.29,0,1,5,0,0,0,NONE,0,52,MI,2021-04-23
2011,B1B2,KR,GDL,20350,20350,0,47.5344,2.42,0,1,5,0,0,0,NONE,0,19,NY,2021-04-24
2023,DV,KR,MUM,197343,172047,0,181.8945,191.84,1,1,0,0,0,0,NONE,1,58,IL,2021-04-25
2019,O1,MX,GZC,174408,108159,43920,313.3846,74.86,1,0,6,1,1,0,212A2,0,30,GA,2021-04-26
2011,ASYLEE,VN,MAD,40935,40935,0,263.3647,70.79,0,0,4,0,1,0,NONE,0,15,VA,2021-04-27
2019,TPS,EG,BJG,171402,171402,0,327.7048,180.73,0,1,0,1,1,0,212A2,1,64,OR,2021-04-28
2020,DV,IT,MUM,207781,106789,53348,126.2649,115.33,0,1,3,1,1,0,212A3,0,61,MN,2021-04-29
2025,TPS,VN,LAG,153579,153579,0,125.645,108.15,0,1,6,1,1,0,NONE,0,78,MA,2021-04-30
2016,H2A,IN,HCM,15750,15750,0,210.6751,121.21,0,1,5,1,0,1,NONE,0,63,MA,2021-05-01
2015,K1,FR,LON,141577,141577,0,121.2152,94.49,0,1,5,0,0,0,NONE,0,72,GA,2021-05-02
2015,EB3,KR,LAG,216132,3598,194363,338.3653,228.09,1,1,3,1,1,0,NONE,0,35,GA,2021-05-03
2018,PAROLE,DE,DEL,172706,49216,96269,242.2954,179.78,0,1,3,1,0,0,NONE,0,87,MA,2021-05-04
2012,DV,BD,MNL,29076,29076,0,214.0855,202.59,1,1,5,0,0,0,212A1,0,59,OH,2021-05-05
2020,CR1,IT,BJG,15477,15477,0,213.7056,234.32,0,1,6,0,1,0,NONE,0,5,MD,2021-05-06
2015,PAROLE,MX,LON,46552,46552,0,160.6057,130.31,0,1,4,0,1,0,212A9,0,85,FL,2021-05-07
2025,TPS,NG,ABJ,240637,100557,125099,28.7858,29.53,1,1,6,0,1,0,NONE,0,22,VA,2021-05-08
2021,ASYLEE,MX,FRA,150136,150136,0,312.8959,215.19,0,1,3,1,0,0,NONE,0,73,IL,2021-05-09
2019,F1,EG,ABJ,181256,32649,104505,78.236,140.35,0,1,2,1,1,0,NONE,0,33,AZ,2021-05-10
2016,TPS,VN,CDMX,82481,82481,0,244.7861,17.38,0,1,5,0,1,0,NONE,0,69,TN,2021-05-11
2012,DV,EG,SHG,114548,114548,0,233.5062,130.45,0,1,5,0,0,0,212A8,0,23,FL,2021-05-12
2015,O1,ES,DEL,50136,50136,0,93.4563,156.73,0,1,0,0,0,0,NONE,0,13,OR,2021-05-13
2021,H2B,KR,CHE,41658,41658,0,195.2564,55.94,0,1,3,0,0,0,NONE,0,21,GA,2021-05-14
2022,CR1,CN,HAN,244708,103069,137063,318.2165,223.73,1,1,1,0,1,0,NONE,0,68,NY,2021-05-15
2024,U,BD,HAN,196179,11447,183803,200.5466,25.6,0,1,4,1,0,0,NONE,0,23,MA,2021-05-16
2019,EB1,BR,MAD,140451,119863,0,75.0767,217.94,0,1,2,1,0,0,212A10,0,81,MI,2021-05-17
2017,EB2,BR,LON,5227,5227,0,165.7968,112.83,1,1,5,0,0,0,NONE,0,2,FL,2021-05-18
2016,IR1,FR,MAD,240632,88115,149529,159.3269,90.85,0,1,5,1,0,0,212A2,0,77,WA,2021-05-19
2021,H2B,JP,PAR,209697,209697,0,71.947,82.14,0,1,3,0,0,0,212A6,0,17,WA,2021-05-20
2021,ASYLEE,BD,HAN,170677,61811,79737,57.0771,53.03,0,1,0,1,0,0,212A1,1,72,TX,2021-05-21
2020,H1B,DE,ABJ,31703,31703,0,213.2472,69.7,0,1,5,0,1,0,NONE,0,75,MN,2021-05-22
2016,H2B,FR,MAD,24926,24926,0,2.9273,78.51,0,1,3,1,0,0,NONE,0,54,MN,2021-05-23
2017,ASYLEE,NG,SHG,79402,79402,0,43.7474,223.4,1,1,0,1,0,0,NONE,1,25,AZ,2021-05-24
2020,H2A,KR,BLR,44967,44967,0,78.0075,84.08,0,1,2,1,0,0,NONE,0,2,OR,2021-05-25
2024,PAROLE,JP,ROM,233801,67152,139112,237.6976,21.55,0,1,0,0,0,0,NONE,0,66,NJ,2021-05-26
2016,ASYLEE,PK,MUM,156382,156382,0,250.7577,174.25,0,1,3,1,0,1,NONE,0,57,MI,2021-05-27
2010,L1,ET,BJG,158995,158995,0,223.5578,61.69,0,1,3,1,1,0,NONE,0,45,MD,2021-05-28
2016,K1,MX,FRA,11091,11091,0,308.1779,181.56,0,1,2,1,0,0,NONE,0,31,MA,2021-05-29
2024,TPS,CN,LON,16833,16833,0,233.928,150.53,0,1,4,1,1,0,212A9,0,64,FL,2021-05-30
2011,J1,ES,ABJ,14441,14441,0,84.8981,117.41,1,1,2,1,0,0,212A7,0,49,GA,2021-05-31
2023,CR1,MX,MUM,178316,178316,0,26.2082,105.93,1,0,5,0,0,0,NONE,0,5,FL,2021-06-01
2017,IR1,NG,SHG,147917,99675,38448,89.5783,150.37,1,1,1,0,0,0,212A8,0,58,PA,2021-06-02
2021,O1,NG,LAG,120313,43353,46111,284.2484,157.97,0,1,4,1,0,1,NONE,1,18,CA,2021-06-03
2018,H1B,BD,HYD,28180,21704,0,107.1285,9.46,1,0,5,1,1,0,NONE,0,3,IL,2021-06-04
2025,T,ES,SHG,93856,4080,70522,241.9786,60.75,1,1,3,1,0,0,NONE,0,67,MN,2021-06-05
2025,DV,IN,PAR,76448,48569,0,277.2187,26.57,0,0,3,0,1,0,212A1,0,37,VA,2021-06-06
