health_exp_reference_year,health_exp_country_iso2,health_exp_financing_scheme_code,health_exp_provider_type_code,health_exp_function_code,health_exp_total_expenditure_eur,health_exp_expenditure_pct_gdp,health_exp_public_share_pct,health_exp_out_of_pocket_share_pct,health_exp_per_capita_eur,health_exp_preventive_care_share_pct,health_exp_pharmaceuticals_share_pct,health_exp_long_term_care_share_pct,health_exp_admin_cost_share_pct,health_exp_unmet_need_rate_pct,health_exp_catastrophic_spending_rate_pct,health_exp_waiting_times_index,health_exp_eurostat_oecd_sha_table_code,health_exp_methodology_version,health_exp_data_extract_date
2025,LU,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,275154467086.29,7.75,57.75,45.0,4181.32,1.64,15.01,20.7,5.99,3.1,7.19,1.593,hlth_sha11_hp,SHA2011_V2,2025-06-08
2006,SI,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,161741915008.46,12.21,71.64,28.91,1670.48,4.57,11.4,24.01,2.88,1.2,1.72,0.4617,hlth_sha11_hf,SHA2011_V1,2024-08-23
2007,CY,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,101732434771.0,8.24,62.04,43.59,3539.43,4.88,20.35,16.48,2.01,0.62,1.95,1.2869,hlth_sha11_exp,SHA2011_V3,2025-08-21
2008,GR,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,75230581504.94,13.53,84.35,27.07,4023.48,2.46,12.0,10.07,3.52,6.27,7.21,1.1733,hlth_sha11_hc,SHA2011_V2,2024-03-28
2009,MT,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,3038126518.69,13.08,84.22,21.31,4894.7,3.03,12.33,20.84,1.65,2.07,1.0,0.561,hlth_sha11_hp,SHA2011_V1,2024-04-13
2010,ES,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,65331674054.47,13.67,76.38,29.0,6049.87,2.34,20.92,15.36,4.82,4.8,4.91,1.4563,hlth_sha11_hf,SHA2011_V3,2025-08-09
2011,CZ,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,72606728763.03,7.67,75.27,27.54,9604.8,4.48,12.84,13.29,1.6,2.43,1.63,0.6512,hlth_sha11_exp,SHA2011_V2,2025-05-21
2012,HU,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,110159400057.71,10.67,79.15,26.94,9800.13,1.88,12.04,17.81,3.71,4.3,7.13,1.3203,hlth_sha11_hc,SHA2011_V1,2024-05-15
2013,NL,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,92243307840.23,7.66,72.75,29.96,7602.31,2.49,19.79,15.83,3.75,6.0,1.57,1.1889,hlth_sha11_hp,SHA2011_V3,2024-09-11
2014,SE,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,158247453686.07,9.32,66.48,28.05,7719.21,6.55,26.91,14.31,4.43,2.55,3.61,0.4795,hlth_sha11_hf,SHA2011_V2,2025-10-14
2015,DK,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,18348157139.17,8.5,58.62,39.05,8758.03,3.47,25.9,25.97,5.62,3.42,3.39,0.549,hlth_sha11_exp,SHA2011_V1,2024-05-07
2016,IE,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,183550868185.56,8.97,71.41,29.44,1405.3,6.37,11.66,25.62,6.06,5.29,5.12,1.7059,hlth_sha11_hc,SHA2011_V3,2025-06-11
2017,PL,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,35640827676.05,12.6,68.19,30.77,7797.39,1.99,16.39,15.12,4.02,8.1,7.19,1.1065,hlth_sha11_hp,SHA2011_V2,2025-07-07
2018,AT,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,311763755341.85,6.53,64.48,37.88,4006.87,1.51,24.33,11.28,4.97,6.43,5.79,1.4329,hlth_sha11_hf,SHA2011_V1,2025-06-08
2019,EE,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,241390335090.39,5.55,69.34,28.44,6827.05,3.06,22.2,15.73,1.37,1.33,2.63,1.1231,hlth_sha11_exp,SHA2011_V3,2025-11-30
2020,IT,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,286292132417.92,10.67,69.51,39.38,7971.04,6.65,26.38,11.77,2.6,9.49,4.75,1.2957,hlth_sha11_hc,SHA2011_V2,2025-04-20
2021,PT,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,112304532791.11,7.53,83.91,17.1,8485.62,5.92,11.25,19.83,4.34,8.62,1.04,0.9721,hlth_sha11_hp,SHA2011_V1,2025-06-20
2022,BE,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,146394238370.51,13.73,60.45,34.02,1168.67,6.01,18.79,25.01,4.13,2.14,6.59,1.1851,hlth_sha11_hf,SHA2011_V3,2024-12-07
2023,FI,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,322326215797.99,13.68,86.02,12.72,6484.42,1.59,8.39,12.36,5.4,5.03,1.49,1.391,hlth_sha11_exp,SHA2011_V2,2024-04-02
2024,LV,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,71926105052.42,10.28,73.1,35.39,6748.35,3.44,20.92,9.04,4.9,0.69,7.66,1.1992,hlth_sha11_hc,SHA2011_V1,2024-10-12
2025,RO,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,21821124319.39,10.12,55.89,45.0,8563.64,2.43,21.44,12.5,2.95,2.98,5.09,1.5019,hlth_sha11_hp,SHA2011_V3,2024-10-17
2006,BG,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,238786431470.65,8.18,71.75,31.37,965.76,5.87,10.51,8.98,5.83,5.03,1.58,0.77,hlth_sha11_hf,SHA2011_V2,2024-05-25
2007,FR,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,106360945877.17,10.09,62.5,44.1,1799.23,7.21,22.46,27.66,5.78,7.38,4.16,1.5067,hlth_sha11_exp,SHA2011_V1,2024-08-27
2008,LT,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,105075193043.49,9.98,74.1,34.41,8730.26,3.99,26.76,19.01,6.33,8.45,2.32,0.4536,hlth_sha11_hc,SHA2011_V3,2026-02-14
2009,SK,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,172734315300.98,11.27,63.26,39.84,3047.21,3.64,18.75,18.55,4.14,7.3,3.13,1.7103,hlth_sha11_hp,SHA2011_V2,2026-02-13
2010,HR,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,35377506623.89,10.57,84.48,13.95,1350.25,6.19,18.13,16.95,4.68,3.05,3.03,0.6714,hlth_sha11_hf,SHA2011_V1,2026-01-08
2011,DE,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,60580150385.03,12.91,83.51,12.97,4707.01,4.94,19.05,15.06,1.48,0.73,2.2,1.2837,hlth_sha11_exp,SHA2011_V3,2025-11-30
2012,LU,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,242810182043.01,12.05,84.07,20.67,8289.56,5.67,15.11,9.82,3.31,7.99,5.99,1.2886,hlth_sha11_hc,SHA2011_V2,2024-05-04
2013,SI,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,193491550399.74,9.87,70.35,29.35,1649.38,2.19,14.28,6.11,1.88,2.5,4.05,1.68,hlth_sha11_hp,SHA2011_V1,2025-05-31
2014,CY,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,131948698092.54,5.82,74.14,36.65,6574.42,3.77,13.22,23.31,5.99,5.74,3.9,1.4846,hlth_sha11_hf,SHA2011_V3,2025-02-13
2015,GR,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,7153547484.46,10.27,87.63,17.39,3739.77,3.88,18.91,19.6,4.15,5.71,4.62,1.4025,hlth_sha11_exp,SHA2011_V2,2024-04-15
2016,MT,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,92790803457.32,10.01,87.57,16.55,2770.24,7.66,18.22,4.96,3.89,8.02,1.54,1.3512,hlth_sha11_hc,SHA2011_V1,2025-12-15
2017,ES,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,297678712420.27,7.18,57.39,45.0,8856.27,1.72,22.01,27.52,1.8,1.62,5.01,1.6804,hlth_sha11_hp,SHA2011_V3,2024-08-02
2018,CZ,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,236803803084.95,6.16,56.58,45.0,3383.53,3.1,11.76,27.55,1.82,2.46,4.97,0.6268,hlth_sha11_hf,SHA2011_V2,2026-01-04
2019,HU,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,161952858023.72,6.9,82.51,11.91,4428.35,3.51,18.35,10.47,4.62,4.62,2.07,1.555,hlth_sha11_exp,SHA2011_V1,2024-05-18
2020,NL,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,357187901823.18,10.27,87.26,14.04,6560.75,4.84,26.96,13.54,3.68,10.61,6.49,1.3178,hlth_sha11_hc,SHA2011_V3,2024-01-09
2021,SE,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,156786174548.19,12.08,73.2,38.15,5063.53,3.9,11.28,7.42,5.35,4.43,7.52,1.4784,hlth_sha11_hp,SHA2011_V2,2025-02-09
2022,DK,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,370227119596.89,5.6,73.8,35.65,5612.28,6.8,23.67,14.03,4.57,0.52,1.6,1.1259,hlth_sha11_hf,SHA2011_V1,2024-12-17
2023,IE,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,269565290997.89,10.16,80.47,30.03,4999.31,6.62,25.51,18.41,6.0,2.38,4.2,1.0655,hlth_sha11_exp,SHA2011_V3,2024-05-11
2024,PL,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,319631787436.5,12.36,75.84,35.33,3498.36,3.73,19.31,20.36,1.81,1.04,4.74,0.5849,hlth_sha11_hc,SHA2011_V2,2025-08-13
2025,AT,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,260690149943.97,7.16,68.73,30.01,4397.02,4.85,23.53,9.74,3.69,1.13,6.68,0.6086,hlth_sha11_hp,SHA2011_V1,2024-08-29
2006,EE,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,56862380950.18,8.44,57.46,43.94,7633.61,7.11,19.01,9.4,3.92,5.07,7.3,0.6364,hlth_sha11_hf,SHA2011_V3,2025-10-19
2007,IT,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,228291773600.17,12.88,77.07,27.53,2372.47,4.69,25.84,23.69,2.58,8.3,2.2,1.5052,hlth_sha11_exp,SHA2011_V2,2025-11-18
2008,PT,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,113661345472.96,12.7,83.51,16.86,5361.4,7.79,19.89,3.65,1.07,4.74,5.03,0.7244,hlth_sha11_hc,SHA2011_V1,2024-02-29
2009,BE,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,94408932410.35,11.04,71.39,28.19,2078.13,5.99,17.7,4.62,1.96,7.63,2.49,1.3407,hlth_sha11_hp,SHA2011_V3,2024-09-04
2010,FI,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,278716240279.72,13.77,74.02,27.26,2624.77,6.64,19.15,18.93,6.03,3.8,1.54,0.6445,hlth_sha11_hf,SHA2011_V2,2024-06-07
2011,LV,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,41077966209.38,9.86,64.81,45.0,8799.37,1.61,23.65,7.98,4.94,4.66,3.58,0.5178,hlth_sha11_exp,SHA2011_V1,2024-04-27
2012,RO,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,205179732020.47,13.72,62.15,44.85,4368.41,3.23,11.67,3.62,1.51,7.49,4.89,0.508,hlth_sha11_hc,SHA2011_V3,2024-08-19
2013,BG,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,94255473355.07,12.65,58.82,45.0,9938.27,1.72,14.12,17.24,1.38,3.38,4.87,1.1712,hlth_sha11_hp,SHA2011_V2,2025-10-20
2014,FR,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,146626718130.78,5.9,78.07,32.51,10159.59,3.47,19.54,8.17,6.12,3.26,7.82,1.3709,hlth_sha11_hf,SHA2011_V1,2026-02-09
2015,LT,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,74905229414.99,9.53,65.01,33.13,4879.96,6.26,14.11,8.31,5.73,6.66,6.08,1.6895,hlth_sha11_exp,SHA2011_V3,2025-06-25
2016,SK,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,141347721790.37,7.8,71.47,33.75,3667.69,2.44,23.77,17.58,5.69,7.3,4.91,1.2336,hlth_sha11_hc,SHA2011_V2,2025-04-30
2017,HR,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,134105796486.35,6.35,86.65,17.51,1042.88,4.48,21.17,17.27,5.45,6.82,3.7,1.3934,hlth_sha11_hp,SHA2011_V1,2024-01-09
2018,DE,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,95644178590.45,11.04,73.89,23.4,8802.09,7.72,16.94,13.95,4.44,3.85,2.41,0.5446,hlth_sha11_hf,SHA2011_V3,2024-04-15
2019,LU,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,52209846612.9,13.64,85.77,15.08,4484.79,5.6,26.53,19.54,3.63,1.54,6.18,0.6321,hlth_sha11_exp,SHA2011_V2,2024-07-21
2020,SI,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,298449539697.36,8.37,55.37,45.0,2442.3,7.31,9.05,24.66,3.95,7.56,8.19,1.1294,hlth_sha11_hc,SHA2011_V1,2024-05-27
2021,CY,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,55697935967.36,8.23,67.26,38.48,3640.46,6.2,26.5,18.11,5.13,5.91,6.88,1.0466,hlth_sha11_hp,SHA2011_V3,2025-09-28
2022,GR,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,167321668778.67,9.28,82.53,19.57,5857.68,4.02,17.31,24.73,6.21,2.82,1.89,1.2942,hlth_sha11_hf,SHA2011_V2,2025-02-22
2023,MT,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,83459566063.99,10.55,61.94,34.57,7204.51,5.91,17.92,10.6,5.85,1.84,4.45,1.7031,hlth_sha11_exp,SHA2011_V1,2025-05-03
2024,ES,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,108295686149.96,13.28,80.52,15.8,5114.43,7.53,21.19,16.28,5.7,4.97,4.64,0.8885,hlth_sha11_hc,SHA2011_V3,2024-01-19
2025,CZ,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,4052619196.15,12.98,67.81,41.54,3694.85,4.76,13.56,13.34,5.85,6.67,0.98,0.5171,hlth_sha11_hp,SHA2011_V2,2024-04-10
2006,HU,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,135939683514.83,5.69,56.79,45.0,5784.76,1.51,12.02,4.9,4.64,0.96,2.11,1.2324,hlth_sha11_hf,SHA2011_V1,2025-01-29
2007,NL,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,125047996786.41,6.28,63.98,45.0,7679.11,2.93,10.3,25.65,1.2,4.52,5.16,0.6056,hlth_sha11_exp,SHA2011_V3,2024-02-10
2008,SE,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,142246501540.24,7.2,61.54,43.03,3570.91,3.45,18.44,24.65,5.47,4.83,8.08,1.6389,hlth_sha11_hc,SHA2011_V2,2024-03-29
2009,DK,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,59587557693.04,8.8,65.69,41.1,7457.96,3.61,11.39,22.84,4.77,2.47,1.45,1.7268,hlth_sha11_hp,SHA2011_V1,2025-05-08
2010,IE,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,24397857964.92,10.38,68.97,41.03,5359.74,7.23,8.12,26.71,2.79,6.41,5.29,1.7261,hlth_sha11_hf,SHA2011_V3,2025-03-24
2011,PL,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,223757351735.26,5.53,56.34,45.0,5915.2,3.19,22.03,6.52,1.96,4.51,0.91,0.8965,hlth_sha11_exp,SHA2011_V2,2025-01-04
2012,AT,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,32403061368.1,7.47,73.58,32.66,6914.65,5.5,15.15,11.77,4.83,3.84,3.52,1.2423,hlth_sha11_hc,SHA2011_V1,2025-09-10
2013,EE,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,163189197688.91,13.28,66.67,43.77,5477.95,2.92,21.73,22.06,3.75,2.05,4.0,0.8061,hlth_sha11_hp,SHA2011_V3,2024-03-18
2014,IT,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,172182564181.06,11.64,59.05,41.87,4395.03,2.56,18.4,20.53,5.87,1.41,5.58,1.7019,hlth_sha11_hf,SHA2011_V2,2025-04-01
2015,PT,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,95912316123.92,13.66,80.29,25.82,8076.75,5.86,15.25,3.3,5.29,3.68,4.94,0.7705,hlth_sha11_exp,SHA2011_V1,2026-02-02
2016,BE,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,319373470258.68,6.6,81.03,23.77,6594.06,7.49,26.32,9.63,2.98,4.32,3.76,0.7545,hlth_sha11_hc,SHA2011_V3,2025-04-22
2017,FI,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,3894334964.61,8.37,59.69,45.0,6077.83,3.51,12.11,21.31,3.34,8.4,7.6,1.6901,hlth_sha11_hp,SHA2011_V2,2025-01-29
2018,LV,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,108348578582.59,13.48,81.81,20.1,4828.42,3.11,22.71,25.96,5.75,6.13,2.06,0.7318,hlth_sha11_hf,SHA2011_V1,2024-09-13
2019,RO,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,121515023776.62,7.23,79.19,28.37,8801.33,1.59,13.1,4.54,4.62,2.34,3.1,0.5084,hlth_sha11_exp,SHA2011_V3,2026-01-31
2020,BG,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,356171172936.51,13.04,82.4,20.59,3491.28,3.36,8.45,3.46,4.3,5.12,3.28,1.8499,hlth_sha11_hc,SHA2011_V2,2026-01-09
2021,FR,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,382801882113.8,7.38,72.91,32.6,4615.5,3.7,24.6,25.44,4.36,3.82,5.84,0.9904,hlth_sha11_hp,SHA2011_V1,2024-11-03
2022,LT,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,183581920984.4,7.85,81.09,17.59,2919.2,3.4,21.83,6.45,1.48,2.82,6.17,0.8533,hlth_sha11_hf,SHA2011_V3,2024-12-09
2023,SK,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,10575927854.06,12.61,61.07,45.0,5317.72,3.51,14.28,3.58,3.94,6.82,4.43,1.7383,hlth_sha11_exp,SHA2011_V2,2025-01-31
2024,HR,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,220254607002.65,12.41,75.2,33.28,3119.8,1.7,16.75,17.89,1.32,1.99,3.04,1.3583,hlth_sha11_hc,SHA2011_V1,2025-11-11
2025,DE,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,232872341341.67,9.37,65.39,39.71,9300.6,2.69,9.84,5.55,4.39,4.66,6.32,1.5908,hlth_sha11_hp,SHA2011_V3,2024-09-02
2006,LU,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,219286295659.45,7.33,70.71,35.39,5081.65,4.64,11.76,16.63,4.97,8.12,5.14,0.9881,hlth_sha11_hf,SHA2011_V2,2025-12-04
2007,SI,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,294820578157.19,6.69,85.66,25.02,1969.3,6.06,24.77,21.31,6.29,6.46,4.36,1.144,hlth_sha11_exp,SHA2011_V1,2026-01-08
2008,CY,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,123983278752.89,10.03,71.93,23.56,3337.47,7.56,9.45,7.69,5.38,0.89,1.99,1.0606,hlth_sha11_hc,SHA2011_V3,2025-05-21
2009,GR,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,27222510529.25,8.64,72.72,35.7,6461.99,5.16,10.91,25.26,1.0,1.39,6.28,1.4792,hlth_sha11_hp,SHA2011_V2,2024-09-22
2010,MT,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,201906128433.26,12.58,79.82,23.83,1963.55,7.66,21.76,16.65,2.04,4.56,2.07,0.6628,hlth_sha11_hf,SHA2011_V1,2025-07-29
2011,ES,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,227889653009.66,11.43,68.27,38.68,3456.16,6.0,20.31,7.46,4.28,8.06,4.13,0.5041,hlth_sha11_exp,SHA2011_V3,2024-10-25
2012,CZ,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,153620690018.72,7.48,70.95,38.93,8769.64,6.05,22.82,10.14,1.39,6.41,1.2,1.5251,hlth_sha11_hc,SHA2011_V2,2024-04-29
2013,HU,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,58916895951.69,11.36,56.7,45.0,3009.2,2.08,19.37,6.08,3.9,7.84,4.39,1.7295,hlth_sha11_hp,SHA2011_V1,2025-12-23
2014,NL,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,7400044741.33,6.6,69.83,34.3,1116.63,5.1,13.3,21.74,1.13,0.88,4.03,1.3304,hlth_sha11_hf,SHA2011_V3,2024-12-03
2015,SE,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,69567036636.66,10.34,68.41,29.03,10490.31,1.58,18.35,8.49,5.78,8.15,7.03,1.5589,hlth_sha11_exp,SHA2011_V2,2025-03-08
2016,DK,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,256760286069.13,11.75,63.26,45.0,1006.49,4.34,10.23,12.51,2.35,5.28,6.43,0.9146,hlth_sha11_hc,SHA2011_V1,2024-05-19
2017,IE,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,40012572380.33,11.23,56.21,45.0,2428.27,4.83,17.48,23.25,4.37,6.63,3.22,1.1037,hlth_sha11_hp,SHA2011_V3,2025-01-28
2018,PL,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,31643292623.85,11.46,71.16,36.04,8433.1,5.0,13.77,27.16,2.16,1.1,3.05,0.4811,hlth_sha11_hf,SHA2011_V2,2025-05-15
2019,AT,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,15605897854.29,13.6,62.37,34.91,8020.06,3.1,8.99,26.56,2.08,1.67,1.93,1.5328,hlth_sha11_exp,SHA2011_V1,2025-01-10
2020,EE,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,129525322043.31,8.71,57.99,41.14,7846.78,1.77,17.57,20.09,1.16,1.79,3.03,1.0802,hlth_sha11_hc,SHA2011_V3,2025-03-02
2021,IT,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,243054158468.49,13.42,62.32,39.12,9140.46,2.68,8.95,14.86,5.56,3.49,1.85,1.8037,hlth_sha11_hp,SHA2011_V2,2025-09-22
2022,PT,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,184738416643.46,13.03,71.08,38.08,9936.9,7.86,13.7,22.32,2.5,6.04,6.33,0.9432,hlth_sha11_hf,SHA2011_V1,2025-10-18
2023,BE,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,193982403118.89,11.32,61.67,33.72,7942.04,7.97,15.74,24.63,6.35,4.29,4.02,0.93,hlth_sha11_exp,SHA2011_V3,2025-02-10
2024,FI,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,97866814907.45,11.38,75.72,34.65,7733.46,7.18,24.24,10.74,2.32,4.89,2.21,0.9772,hlth_sha11_hc,SHA2011_V2,2024-09-17
2025,LV,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,63218093070.46,12.89,80.04,31.18,4015.5,6.66,24.03,23.38,1.82,6.61,1.28,0.9878,hlth_sha11_hp,SHA2011_V1,2025-03-22
2006,RO,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,258096394365.99,11.46,75.55,18.66,1685.38,1.81,17.07,18.21,3.82,7.13,1.12,0.7049,hlth_sha11_hf,SHA2011_V3,2024-01-06
2007,BG,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,132126799366.31,13.08,62.64,42.43,5746.95,7.94,18.38,3.56,3.37,1.92,6.83,0.4936,hlth_sha11_exp,SHA2011_V2,2025-04-24
2008,FR,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,161198664883.08,8.02,69.4,37.76,1575.72,6.79,8.18,8.42,3.18,3.71,7.1,0.5399,hlth_sha11_hc,SHA2011_V1,2024-09-16
2009,LT,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,34349650762.32,12.79,65.94,40.0,2464.49,6.52,9.81,23.48,6.12,1.74,1.63,1.3383,hlth_sha11_hp,SHA2011_V3,2024-08-30
2010,SK,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,118728340740.3,12.51,69.37,28.0,5148.15,2.19,9.46,7.4,1.04,7.34,1.16,1.4365,hlth_sha11_hf,SHA2011_V2,2026-02-12
2011,HR,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,196964622411.16,12.67,70.16,25.29,4494.59,3.66,22.02,14.01,3.2,3.72,5.56,1.1205,hlth_sha11_exp,SHA2011_V1,2025-06-07
2012,DE,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,102366536819.56,9.82,80.26,29.58,5819.64,7.19,20.29,10.09,6.04,3.48,2.08,0.8512,hlth_sha11_hc,SHA2011_V3,2024-10-22
2013,LU,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,323389830326.56,13.01,70.72,38.73,7980.18,3.04,21.83,15.36,3.91,5.85,2.02,0.7739,hlth_sha11_hp,SHA2011_V2,2024-02-07
2014,SI,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,4002053259.37,9.18,71.65,22.58,4168.58,5.27,21.23,16.48,5.75,6.61,4.1,1.1743,hlth_sha11_hf,SHA2011_V1,2025-05-31
2015,CY,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,178607409261.15,9.68,65.45,44.41,5939.48,4.41,25.17,13.16,5.86,5.73,1.35,1.4764,hlth_sha11_exp,SHA2011_V3,2024-06-10
2016,GR,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,254728069803.94,11.74,69.52,34.09,4873.78,1.98,12.92,15.44,5.11,6.88,6.87,1.2596,hlth_sha11_hc,SHA2011_V2,2025-05-16
