soc_pensions_reference_year,soc_pensions_country_iso2,soc_pensions_pension_pillar_code,soc_pensions_beneficiary_age_group,soc_pensions_beneficiary_sex,soc_pensions_pension_type_code,soc_pensions_beneficiaries_count,soc_pensions_mean_benefit_eur,soc_pensions_median_benefit_eur,soc_pensions_replacement_rate_pct,soc_pensions_effective_retirement_age_years,soc_pensions_contribution_years_median,soc_pensions_indexation_rule_code,soc_pensions_old_age_poverty_rate_pct,soc_pensions_long_term_care_benefit_flag,soc_pensions_survivor_benefit_flag,soc_pensions_funded_assets_total_eur,soc_pensions_eurostat_table_code,soc_pensions_projection_scenario,soc_pensions_data_extract_date
2013,HU,PILLAR3_PERSONAL,55-64,M,SURVIVOR,57217,21086.25,18106.01,58.11,68.31,13.47,NONE,22.63,0,1,209718015190.82,proj_pens,LOW_MIGRATION,2025-04-28
2014,NL,MIXED,85+,F,EARLY_RETIREMENT,54240,9840.83,7138.45,51.06,59.22,34.04,DISCRETIONARY,22.43,1,0,210044334375.5,spr_pns_mean,HIGH_MIGRATION,2025-10-30
2015,SE,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,54505,18105.93,13935.51,81.96,65.5,30.97,MIXED,6.76,0,0,210159939780.95,gov_10a_main,LOW_GROWTH,2025-06-30
2016,DK,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,56429,13378.42,10698.46,79.01,62.42,34.45,WAGE,5.22,0,0,210441511587.82,ilc_pnp1,HIGH_LONGEVITY,2026-02-01
2017,IE,PILLAR3_PERSONAL,70-74,F,OLD_AGE,55702,7417.59,6214.77,44.63,60.58,29.14,CPI,7.52,0,0,210758479673.1,spr_pns_ben,BASELINE,2025-07-14
2018,PL,MIXED,65-69,T,SURVIVOR,57266,23694.78,22359.31,68.02,64.82,21.42,NONE,11.67,0,1,211165232810.9,proj_pens,LOW_MIGRATION,2026-02-13
2019,AT,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,56356,25245.29,19178.78,92.0,66.67,17.74,DISCRETIONARY,5.2,0,0,211320997230.66,spr_pns_mean,HIGH_MIGRATION,2025-02-09
2020,EE,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,52928,15156.76,12767.2,52.21,68.17,15.92,MIXED,16.07,0,0,211633885936.31,gov_10a_main,LOW_GROWTH,2025-06-16
2021,IT,PILLAR3_PERSONAL,80-84,T,MINIMUM_PENSION,56825,9274.73,8055.72,54.66,61.36,17.31,WAGE,13.56,1,0,211903806483.36,ilc_pnp1,HIGH_LONGEVITY,2025-01-15
2022,PT,MIXED,75-79,M,OLD_AGE,53356,7820.59,6813.53,34.55,59.05,39.51,CPI,18.27,0,0,212191065223.08,spr_pns_ben,BASELINE,2025-07-24
2023,BE,PILLAR1_PUBLIC_PAYG,70-74,F,SURVIVOR,57695,15770.71,13238.01,28.84,66.35,19.8,NONE,14.96,0,1,212541694488.75,proj_pens,LOW_MIGRATION,2025-07-26
2024,FI,PILLAR2_OCCUPATIONAL,65-69,T,EARLY_RETIREMENT,56266,9623.77,6944.09,55.09,59.08,41.59,DISCRETIONARY,17.63,0,1,212746801681.69,spr_pns_mean,HIGH_MIGRATION,2025-09-14
2025,LV,PILLAR3_PERSONAL,55-64,M,DISABILITY,55422,21057.15,18380.34,66.45,64.26,25.57,MIXED,26.34,1,0,212943778835.32,gov_10a_main,LOW_GROWTH,2025-09-30
2026,RO,MIXED,85+,F,MINIMUM_PENSION,52927,14349.51,10610.67,60.16,65.16,24.48,WAGE,21.85,0,1,213364001211.44,ilc_pnp1,HIGH_LONGEVITY,2025-09-06
2008,BG,PILLAR1_PUBLIC_PAYG,80-84,T,OLD_AGE,55990,24749.2,18571.36,38.33,63.76,25.88,CPI,16.48,0,0,213543859944.1,spr_pns_ben,BASELINE,2025-03-01
2009,FR,PILLAR2_OCCUPATIONAL,75-79,M,SURVIVOR,55174,11070.55,10026.07,87.42,64.95,15.11,NONE,18.58,0,1,213889610273.15,proj_pens,LOW_MIGRATION,2024-10-28
2010,LT,PILLAR3_PERSONAL,70-74,F,EARLY_RETIREMENT,56208,13052.39,11042.33,79.32,61.28,17.23,DISCRETIONARY,16.2,0,0,214200034418.53,spr_pns_mean,HIGH_MIGRATION,2025-01-13
2011,SK,MIXED,65-69,T,DISABILITY,57304,7442.18,7053.61,49.28,68.06,12.17,MIXED,11.95,0,0,214495576598.96,gov_10a_main,LOW_GROWTH,2024-10-16
2012,HR,PILLAR1_PUBLIC_PAYG,55-64,M,MINIMUM_PENSION,56432,6887.61,5702.43,54.52,67.26,20.7,WAGE,18.27,0,0,214812377360.41,ilc_pnp1,HIGH_LONGEVITY,2025-03-20
2013,DE,PILLAR2_OCCUPATIONAL,85+,F,OLD_AGE,57424,15497.68,11788.13,51.94,63.3,32.75,CPI,9.47,1,0,215069227911.11,spr_pns_ben,BASELINE,2024-09-09
2014,LU,PILLAR3_PERSONAL,80-84,T,SURVIVOR,57020,12737.57,11192.67,32.63,61.49,21.9,NONE,24.57,1,1,215280220824.98,proj_pens,LOW_MIGRATION,2026-01-28
2015,SI,MIXED,75-79,M,EARLY_RETIREMENT,55259,20356.3,17004.65,41.17,68.17,25.68,DISCRETIONARY,17.93,1,0,215632511718.62,spr_pns_mean,HIGH_MIGRATION,2025-10-10
2016,CY,PILLAR1_PUBLIC_PAYG,70-74,F,DISABILITY,53026,21390.3,19930.67,40.13,66.78,34.67,MIXED,13.58,0,0,215888593289.27,gov_10a_main,LOW_GROWTH,2024-05-30
2017,GR,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,53713,19662.69,15308.52,41.53,61.51,30.06,WAGE,22.51,0,0,216176640545.13,ilc_pnp1,HIGH_LONGEVITY,2024-05-06
2018,MT,PILLAR3_PERSONAL,55-64,M,OLD_AGE,57201,6311.49,5735.6,92.65,65.72,25.49,CPI,26.24,1,0,216463761878.07,spr_pns_ben,BASELINE,2026-01-03
2019,ES,MIXED,85+,F,SURVIVOR,55194,7669.26,6313.05,75.1,67.55,24.41,NONE,13.03,0,1,216713346062.44,proj_pens,LOW_MIGRATION,2025-12-25
2020,CZ,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,53851,5725.56,5289.74,38.28,58.96,35.8,DISCRETIONARY,8.59,0,0,216927466363.48,spr_pns_mean,HIGH_MIGRATION,2025-08-31
2021,HU,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,55831,6917.59,6544.11,38.5,59.43,36.4,MIXED,7.13,0,0,217235568594.89,gov_10a_main,LOW_GROWTH,2025-03-17
2022,NL,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,55086,7970.22,7619.88,57.43,64.07,35.18,WAGE,25.21,1,0,217426386762.85,ilc_pnp1,HIGH_LONGEVITY,2025-01-09
2023,SE,MIXED,65-69,T,OLD_AGE,54904,10419.17,9220.96,54.97,61.76,40.13,CPI,8.7,0,0,217800134835.64,spr_pns_ben,BASELINE,2025-12-29
2024,DK,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,54825,26412.97,20333.13,30.69,62.11,14.88,NONE,22.88,0,1,218014436534.36,proj_pens,LOW_MIGRATION,2024-06-04
2025,IE,PILLAR2_OCCUPATIONAL,85+,F,EARLY_RETIREMENT,56779,16548.4,12228.5,87.85,68.27,19.39,DISCRETIONARY,22.02,1,0,218418289287.84,spr_pns_mean,HIGH_MIGRATION,2024-01-31
2026,PL,PILLAR3_PERSONAL,80-84,T,DISABILITY,54833,8556.27,7126.51,80.99,58.37,32.37,MIXED,17.17,1,0,218666911669.03,gov_10a_main,LOW_GROWTH,2024-05-29
2008,AT,MIXED,75-79,M,MINIMUM_PENSION,55329,7969.4,5847.32,37.03,64.49,25.67,WAGE,26.2,0,0,219018900427.73,ilc_pnp1,HIGH_LONGEVITY,2024-09-11
2009,EE,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,56070,15724.75,12071.31,66.16,58.07,23.41,CPI,18.12,0,0,219240697985.16,spr_pns_ben,BASELINE,2025-04-28
2010,IT,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,53895,9518.86,7260.96,47.13,68.47,17.17,NONE,16.77,1,1,219536366559.55,proj_pens,LOW_MIGRATION,2024-02-11
2011,PT,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,57136,7834.06,7445.44,36.8,64.04,19.96,DISCRETIONARY,22.59,0,0,219708018833.7,spr_pns_mean,HIGH_MIGRATION,2024-07-28
2012,BE,MIXED,85+,F,DISABILITY,54445,17202.52,14371.0,35.49,62.04,27.65,MIXED,21.74,1,0,220093821125.31,gov_10a_main,LOW_GROWTH,2025-10-30
2013,FI,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,53899,25829.71,18943.38,76.26,58.27,37.15,WAGE,18.76,0,1,220278724010.95,ilc_pnp1,HIGH_LONGEVITY,2025-09-28
2014,LV,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,53849,12946.84,9524.32,53.1,66.23,30.86,CPI,4.44,0,1,220626504707.85,spr_pns_ben,BASELINE,2025-08-12
2015,RO,PILLAR3_PERSONAL,70-74,F,SURVIVOR,56472,24188.35,21516.4,50.75,64.15,25.67,NONE,16.15,0,1,220856057258.9,proj_pens,LOW_MIGRATION,2024-04-21
2016,BG,MIXED,65-69,T,EARLY_RETIREMENT,55802,16505.26,12120.39,26.86,59.18,36.49,DISCRETIONARY,9.85,0,0,221220671295.04,spr_pns_mean,HIGH_MIGRATION,2024-10-14
2017,FR,PILLAR1_PUBLIC_PAYG,55-64,M,DISABILITY,55989,12920.35,12029.1,45.6,59.42,20.89,MIXED,19.41,0,0,221390864613.39,gov_10a_main,LOW_GROWTH,2026-01-15
2018,LT,PILLAR2_OCCUPATIONAL,85+,F,MINIMUM_PENSION,56066,7752.27,6082.81,93.93,66.9,32.62,WAGE,12.69,0,0,221691763142.86,ilc_pnp1,HIGH_LONGEVITY,2025-01-17
2019,SK,PILLAR3_PERSONAL,80-84,T,OLD_AGE,56588,9998.57,8129.27,66.99,59.96,26.46,CPI,10.12,0,0,222043476716.53,spr_pns_ben,BASELINE,2025-08-11
2020,HR,MIXED,75-79,M,SURVIVOR,53593,23589.76,19495.24,86.73,66.28,35.44,NONE,8.9,0,1,222201646642.82,proj_pens,LOW_MIGRATION,2025-07-03
2021,DE,PILLAR1_PUBLIC_PAYG,70-74,F,EARLY_RETIREMENT,54932,26360.07,20023.03,53.56,66.29,22.21,DISCRETIONARY,25.41,0,0,222615552398.55,spr_pns_mean,HIGH_MIGRATION,2025-01-06
2022,LU,PILLAR2_OCCUPATIONAL,65-69,T,DISABILITY,56710,16056.36,12877.75,30.27,67.33,41.7,MIXED,18.04,0,0,222810418461.05,gov_10a_main,LOW_GROWTH,2025-01-04
2023,SI,PILLAR3_PERSONAL,55-64,M,MINIMUM_PENSION,56226,23102.19,18117.91,81.9,61.59,30.4,WAGE,20.98,0,0,223156220624.05,ilc_pnp1,HIGH_LONGEVITY,2024-02-10
2024,CY,MIXED,85+,F,OLD_AGE,54494,16809.4,13693.1,65.17,65.06,37.95,CPI,16.17,1,0,223454376584.06,spr_pns_ben,BASELINE,2025-07-22
2025,GR,PILLAR1_PUBLIC_PAYG,80-84,T,SURVIVOR,55827,18742.52,14044.96,40.33,61.09,38.1,NONE,24.67,0,1,223760942875.62,proj_pens,LOW_MIGRATION,2024-06-14
2026,MT,PILLAR2_OCCUPATIONAL,75-79,M,EARLY_RETIREMENT,57248,17343.89,16110.28,65.31,63.86,14.46,DISCRETIONARY,26.9,0,0,223946312777.78,spr_pns_mean,HIGH_MIGRATION,2025-06-18
2008,ES,PILLAR3_PERSONAL,70-74,F,DISABILITY,55485,20572.16,15864.68,26.75,61.71,30.7,MIXED,21.44,0,0,224248859517.56,gov_10a_main,LOW_GROWTH,2024-12-12
2009,CZ,MIXED,65-69,T,MINIMUM_PENSION,57636,25286.36,20480.56,78.14,63.85,39.87,WAGE,20.03,1,0,224574472373.85,ilc_pnp1,HIGH_LONGEVITY,2025-07-19
2010,HU,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,55021,17880.22,14429.9,70.5,58.41,35.54,CPI,23.08,0,0,224880144345.89,spr_pns_ben,BASELINE,2024-04-03
2011,NL,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,57629,22157.68,17007.7,33.82,58.78,24.53,NONE,8.32,1,1,224991677208.13,proj_pens,LOW_MIGRATION,2024-08-16
2012,SE,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,53838,5760.57,5108.08,79.5,58.71,14.53,DISCRETIONARY,18.76,0,1,225281437344.09,spr_pns_mean,HIGH_MIGRATION,2025-07-22
2013,DK,MIXED,75-79,M,DISABILITY,55785,10637.84,7743.33,75.73,63.96,20.13,MIXED,22.82,0,0,225681759461.89,gov_10a_main,LOW_GROWTH,2026-01-12
2014,IE,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,56972,14117.24,11311.46,32.03,61.1,23.36,WAGE,23.02,1,1,225943586901.1,ilc_pnp1,HIGH_LONGEVITY,2025-07-16
2015,PL,PILLAR2_OCCUPATIONAL,65-69,T,OLD_AGE,54933,11154.29,10363.76,75.92,61.51,17.28,CPI,5.53,0,0,226289952532.44,spr_pns_ben,BASELINE,2024-02-11
2016,AT,PILLAR3_PERSONAL,55-64,M,SURVIVOR,55315,21565.64,17469.8,74.78,64.7,29.65,NONE,12.98,0,1,226462010568.21,proj_pens,LOW_MIGRATION,2024-04-18
2017,EE,MIXED,85+,F,EARLY_RETIREMENT,56229,16515.34,13876.83,57.78,67.45,23.38,DISCRETIONARY,11.53,0,1,226827762658.85,spr_pns_mean,HIGH_MIGRATION,2024-03-09
2018,IT,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,54080,19007.85,16339.53,92.38,59.4,18.75,MIXED,6.52,0,0,227007292938.81,gov_10a_main,LOW_GROWTH,2024-05-10
2019,PT,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,56171,18604.13,15551.82,35.36,67.32,15.23,WAGE,22.59,0,0,227328113502.92,ilc_pnp1,HIGH_LONGEVITY,2025-11-26
2020,BE,PILLAR3_PERSONAL,70-74,F,OLD_AGE,58297,9732.18,8313.24,66.31,61.48,19.46,CPI,4.5,0,1,227649292009.64,spr_pns_ben,BASELINE,2025-07-21
2021,FI,MIXED,65-69,T,SURVIVOR,55383,8754.64,7148.14,68.94,65.05,18.79,NONE,8.21,0,1,227966449259.51,proj_pens,LOW_MIGRATION,2025-12-06
2022,LV,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,55418,26186.45,22870.22,60.76,63.12,40.9,DISCRETIONARY,17.69,0,0,228184305082.29,spr_pns_mean,HIGH_MIGRATION,2024-02-28
2023,RO,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,55094,10718.84,8174.87,68.53,59.44,16.11,MIXED,7.58,0,0,228481234510.43,gov_10a_main,LOW_GROWTH,2024-05-12
2024,BG,PILLAR3_PERSONAL,80-84,T,MINIMUM_PENSION,56706,20348.75,14717.5,28.46,66.38,19.44,WAGE,25.93,0,1,228818050386.83,ilc_pnp1,HIGH_LONGEVITY,2024-02-03
2025,FR,MIXED,75-79,M,OLD_AGE,58412,6739.92,5862.92,49.82,60.22,12.87,CPI,6.55,0,1,228999346608.54,spr_pns_ben,BASELINE,2025-11-05
2026,LT,PILLAR1_PUBLIC_PAYG,70-74,F,SURVIVOR,55866,12383.66,11794.19,51.46,62.83,39.02,NONE,26.79,1,1,229201406134.79,proj_pens,LOW_MIGRATION,2025-07-27
2008,SK,PILLAR2_OCCUPATIONAL,65-69,T,EARLY_RETIREMENT,54730,21468.05,20538.62,32.72,67.5,34.8,DISCRETIONARY,11.09,1,0,229556374982.69,spr_pns_mean,HIGH_MIGRATION,2024-12-30
2009,HR,PILLAR3_PERSONAL,55-64,M,DISABILITY,57979,20612.53,16343.34,44.6,60.65,34.8,MIXED,12.7,0,0,229932695125.39,gov_10a_main,LOW_GROWTH,2025-05-07
2010,DE,MIXED,85+,F,MINIMUM_PENSION,53755,18130.87,14041.89,67.67,65.94,32.93,WAGE,14.52,1,0,230110409243.81,ilc_pnp1,HIGH_LONGEVITY,2025-06-06
2011,LU,PILLAR1_PUBLIC_PAYG,80-84,T,OLD_AGE,53797,12264.78,10308.5,88.1,63.26,33.53,CPI,5.63,1,0,230370024898.06,spr_pns_ben,BASELINE,2025-08-24
2012,SI,PILLAR2_OCCUPATIONAL,75-79,M,SURVIVOR,57832,6174.38,5895.19,90.27,66.09,26.26,NONE,19.34,1,1,230739902598.49,proj_pens,LOW_MIGRATION,2025-06-10
2013,CY,PILLAR3_PERSONAL,70-74,F,EARLY_RETIREMENT,56866,16659.89,13834.7,72.79,68.32,27.12,DISCRETIONARY,9.09,0,0,230961538159.32,spr_pns_mean,HIGH_MIGRATION,2025-08-11
2014,GR,MIXED,65-69,T,DISABILITY,55634,21049.45,16838.52,55.66,63.8,26.39,MIXED,4.29,0,0,231254358764.69,gov_10a_main,LOW_GROWTH,2024-10-26
2015,MT,PILLAR1_PUBLIC_PAYG,55-64,M,MINIMUM_PENSION,57352,21441.35,16687.03,45.92,65.64,35.5,WAGE,24.74,1,0,231505107780.82,ilc_pnp1,HIGH_LONGEVITY,2024-05-29
2016,ES,PILLAR2_OCCUPATIONAL,85+,F,OLD_AGE,58744,19587.09,17888.89,73.04,65.85,41.9,CPI,17.83,0,0,231846413526.48,spr_pns_ben,BASELINE,2026-02-17
2017,CZ,PILLAR3_PERSONAL,80-84,T,SURVIVOR,58521,14389.01,11699.14,74.27,66.13,28.67,NONE,18.51,1,1,232116183139.68,proj_pens,LOW_MIGRATION,2025-10-22
2018,HU,MIXED,75-79,M,EARLY_RETIREMENT,54202,25718.67,21023.17,47.44,62.01,27.64,DISCRETIONARY,15.7,0,0,232304822216.84,spr_pns_mean,HIGH_MIGRATION,2025-03-25
2019,NL,PILLAR1_PUBLIC_PAYG,70-74,F,DISABILITY,55061,23376.19,17045.36,56.24,63.02,38.08,MIXED,16.44,0,0,232668280725.75,gov_10a_main,LOW_GROWTH,2024-07-20
2020,SE,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,53963,7754.71,5696.49,94.07,62.68,22.21,WAGE,18.27,0,0,233012400678.44,ilc_pnp1,HIGH_LONGEVITY,2024-06-04
2021,DK,PILLAR3_PERSONAL,55-64,M,OLD_AGE,54531,20716.45,16090.85,75.45,64.96,35.52,CPI,26.98,0,0,233167980592.15,spr_pns_ben,BASELINE,2025-10-28
2022,IE,MIXED,85+,F,SURVIVOR,57124,21378.03,16049.21,63.8,66.69,28.2,NONE,6.85,0,1,233403917536.13,proj_pens,LOW_MIGRATION,2025-08-27
2023,PL,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,56892,20562.73,18643.89,88.84,63.49,14.22,DISCRETIONARY,14.74,0,0,233704648900.76,spr_pns_mean,HIGH_MIGRATION,2025-11-28
2024,AT,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,58878,16423.76,13059.43,32.77,63.13,39.36,MIXED,11.54,0,1,233947391611.68,gov_10a_main,LOW_GROWTH,2025-10-03
2025,EE,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,54600,18803.88,14303.54,73.25,66.88,14.55,WAGE,20.61,1,1,234255550955.43,ilc_pnp1,HIGH_LONGEVITY,2025-10-06
2026,IT,MIXED,65-69,T,OLD_AGE,56937,9843.49,8696.24,35.06,61.94,15.47,CPI,15.34,0,0,234581347271.72,spr_pns_ben,BASELINE,2025-12-09
2008,PT,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,57957,10413.06,8588.07,34.63,61.43,12.48,NONE,26.79,0,1,234820805975.48,proj_pens,LOW_MIGRATION,2024-09-28
2009,BE,PILLAR2_OCCUPATIONAL,85+,F,EARLY_RETIREMENT,56387,6462.79,5966.44,58.39,62.24,16.59,DISCRETIONARY,26.4,0,0,235247893450.42,spr_pns_mean,HIGH_MIGRATION,2024-09-30
2010,FI,PILLAR3_PERSONAL,80-84,T,DISABILITY,54924,15248.14,11418.96,38.68,62.3,13.19,MIXED,16.77,1,0,235466789831.16,gov_10a_main,LOW_GROWTH,2024-08-16
2011,LV,MIXED,75-79,M,MINIMUM_PENSION,57160,7305.08,6024.59,53.91,63.01,12.38,WAGE,12.17,0,0,235797192677.98,ilc_pnp1,HIGH_LONGEVITY,2024-02-13
2012,RO,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,54977,8579.71,6279.93,62.72,59.39,28.47,CPI,21.49,0,0,11982343451.22,spr_pns_ben,BASELINE,2026-02-20
2013,BG,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,57033,7393.08,5407.52,76.44,67.53,29.14,NONE,6.44,0,1,12364668332.79,proj_pens,LOW_MIGRATION,2025-04-19
2014,FR,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,55624,6365.11,4921.89,27.8,67.69,21.25,DISCRETIONARY,19.7,0,0,12597343337.61,spr_pns_mean,HIGH_MIGRATION,2024-11-25
2015,LT,MIXED,85+,F,DISABILITY,54110,17116.6,15836.11,31.95,64.45,17.3,MIXED,17.53,1,0,12934420417.27,gov_10a_main,LOW_GROWTH,2024-09-08
2016,SK,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,56339,25350.01,20691.46,56.26,59.18,26.23,WAGE,12.51,1,0,13094228257.68,ilc_pnp1,HIGH_LONGEVITY,2024-12-22
2017,HR,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,55678,20061.98,19221.33,89.83,63.1,30.39,CPI,13.79,0,1,13358935976.25,spr_pns_ben,BASELINE,2024-05-17
2018,DE,PILLAR3_PERSONAL,70-74,F,SURVIVOR,58051,19906.52,18323.35,55.76,59.69,16.75,NONE,20.91,0,1,13612827008.62,proj_pens,LOW_MIGRATION,2024-09-25
2019,LU,MIXED,65-69,T,EARLY_RETIREMENT,57523,6845.92,6415.0,86.61,68.28,30.5,DISCRETIONARY,23.85,0,0,13887623880.55,spr_pns_mean,HIGH_MIGRATION,2024-08-01
2020,SI,PILLAR1_PUBLIC_PAYG,55-64,M,DISABILITY,55678,16061.15,15328.78,61.72,58.35,18.32,MIXED,16.27,0,0,14326718715.77,gov_10a_main,LOW_GROWTH,2025-09-10
2021,CY,PILLAR2_OCCUPATIONAL,85+,F,MINIMUM_PENSION,59040,6604.78,5454.04,82.21,59.57,14.35,WAGE,14.23,0,0,14469060922.42,ilc_pnp1,HIGH_LONGEVITY,2024-01-10
2022,GR,PILLAR3_PERSONAL,80-84,T,OLD_AGE,58105,16834.22,13782.92,64.95,58.38,38.51,CPI,11.28,0,0,14850977521.81,spr_pns_ben,BASELINE,2025-04-28
2023,MT,MIXED,75-79,M,SURVIVOR,56679,10178.39,8423.55,34.56,63.51,18.07,NONE,20.43,0,1,15042330315.48,proj_pens,LOW_MIGRATION,2025-02-06
2024,ES,PILLAR1_PUBLIC_PAYG,70-74,F,EARLY_RETIREMENT,56111,24452.78,23368.31,49.97,63.08,26.67,DISCRETIONARY,16.04,1,1,15391606947.24,spr_pns_mean,HIGH_MIGRATION,2025-05-14
2025,CZ,PILLAR2_OCCUPATIONAL,65-69,T,DISABILITY,57164,10837.34,9101.47,83.5,61.89,39.1,MIXED,21.91,1,0,15572327068.16,gov_10a_main,LOW_GROWTH,2025-01-07
2026,HU,PILLAR3_PERSONAL,55-64,M,MINIMUM_PENSION,54997,18010.74,14032.28,44.17,59.76,28.75,WAGE,23.5,0,0,15967397000.85,ilc_pnp1,HIGH_LONGEVITY,2024-02-10
2008,NL,MIXED,85+,F,OLD_AGE,58434,11666.85,8764.37,76.35,64.99,39.71,CPI,12.0,0,0,16260152372.84,spr_pns_ben,BASELINE,2024-06-07
2009,SE,PILLAR1_PUBLIC_PAYG,80-84,T,SURVIVOR,57762,13121.3,11443.49,31.64,59.04,38.19,NONE,27.04,0,1,16450563129.72,proj_pens,LOW_MIGRATION,2024-01-03
2010,DK,PILLAR2_OCCUPATIONAL,75-79,M,EARLY_RETIREMENT,56852,21635.13,17592.34,79.61,61.62,19.83,DISCRETIONARY,13.05,0,0,16853564803.25,spr_pns_mean,HIGH_MIGRATION,2024-08-12
2011,IE,PILLAR3_PERSONAL,70-74,F,DISABILITY,55281,14220.02,12990.95,31.18,58.5,38.15,MIXED,7.07,0,0,17091172496.14,gov_10a_main,LOW_GROWTH,2025-01-11
2012,PL,MIXED,65-69,T,MINIMUM_PENSION,55009,13539.01,11245.84,44.89,66.35,24.99,WAGE,11.9,0,1,17389484498.76,ilc_pnp1,HIGH_LONGEVITY,2024-11-18
2013,AT,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,56023,14783.26,11832.66,76.6,60.31,37.5,CPI,17.58,0,1,17670149247.5,spr_pns_ben,BASELINE,2024-09-15
2014,EE,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,54479,13222.86,11336.68,52.08,59.61,12.39,NONE,15.32,1,1,17959022875.25,proj_pens,LOW_MIGRATION,2025-02-10
2015,IT,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,59133,10300.33,8379.38,47.78,65.84,12.22,DISCRETIONARY,12.35,1,1,18111699880.14,spr_pns_mean,HIGH_MIGRATION,2025-03-14
2016,PT,MIXED,75-79,M,DISABILITY,58333,11890.21,10763.26,94.84,58.65,41.72,MIXED,16.67,1,1,18365082016.85,gov_10a_main,LOW_GROWTH,2026-01-17
2017,BE,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,55979,14178.7,12818.51,68.5,60.82,27.5,WAGE,6.67,1,0,18796897004.54,ilc_pnp1,HIGH_LONGEVITY,2024-05-29
2018,FI,PILLAR2_OCCUPATIONAL,65-69,T,OLD_AGE,59160,24624.57,22226.69,45.12,67.24,24.67,CPI,25.34,0,0,19046186411.22,spr_pns_ben,BASELINE,2025-11-07
2019,LV,PILLAR3_PERSONAL,55-64,M,SURVIVOR,54721,25226.71,21161.24,33.2,67.28,13.15,NONE,23.2,0,1,19333874584.11,proj_pens,LOW_MIGRATION,2025-09-21
2020,RO,MIXED,85+,F,EARLY_RETIREMENT,59097,24245.88,18432.64,34.09,61.36,35.72,DISCRETIONARY,10.11,0,0,19644286451.79,spr_pns_mean,HIGH_MIGRATION,2024-10-03
2021,BG,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,58667,11496.23,10640.75,88.21,62.3,40.59,MIXED,20.86,0,0,19792174263.96,gov_10a_main,LOW_GROWTH,2025-05-23
2022,FR,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,54843,16101.74,11774.65,29.98,59.37,27.43,WAGE,7.77,0,0,20070781608.21,ilc_pnp1,HIGH_LONGEVITY,2025-08-22
2023,LT,PILLAR3_PERSONAL,70-74,F,OLD_AGE,56055,7902.18,6691.06,51.98,60.08,27.16,CPI,8.36,1,0,20362079074.09,spr_pns_ben,BASELINE,2025-07-10
2024,SK,MIXED,65-69,T,SURVIVOR,59053,15183.06,11672.5,59.35,62.4,27.55,NONE,11.4,1,1,20667177510.84,proj_pens,LOW_MIGRATION,2024-12-19
2025,HR,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,55535,22730.93,17484.8,43.46,64.02,36.58,DISCRETIONARY,21.15,1,0,20868464355.87,spr_pns_mean,HIGH_MIGRATION,2025-07-18
2026,DE,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,56922,26048.48,19914.33,46.76,59.3,26.62,MIXED,17.72,0,0,21326448820.84,gov_10a_main,LOW_GROWTH,2024-04-08
