imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2018,E2,DEU,INHYD,24478,21115,107,185,49,1,0,2,0,1,0,212E,1,48,PY,2025-01-15
2023,SIV,SGP,INHYD,8219,5989,3236,282,28,0,1,6,0,1,1,212C,0,42,JK,2025-07-26
2025,EB2,CAN,INMUM,22154,2640,972,158,94,1,0,3,1,0,0,212F,0,18,TN,2025-03-30
2015,O1,ARE,INAMD,9183,2666,1626,170,80,0,1,5,1,1,1,212C,1,65,DD,2025-04-07
2014,REF,BGD,INHYD,14641,4885,703,296,9,1,1,5,0,0,1,212A,1,33,AS,2025-08-04
2021,O1,PAK,INLKO,16175,2309,2382,384,26,1,0,4,1,0,0,212B,1,80,SK,2025-09-16
2016,F1,PAK,INMUM,777,7390,2133,316,116,0,0,1,0,0,0,212C,0,72,TN,2025-11-25
2016,O1,SGP,INHYD,21409,13874,2781,395,104,1,0,0,1,0,1,212F,0,53,BR,2025-10-14
2014,CR1,GBR,INDEL,11104,20276,874,189,14,1,1,4,1,1,1,212E,1,0,MP,2025-03-16
2023,REF,JPN,INMUM,3293,9697,1447,312,59,1,0,6,0,1,1,212F,1,54,DD,2025-08-30
2020,L1,LKA,INMUM,17082,11363,3684,78,107,1,1,4,0,1,0,212E,1,14,AN,2025-01-17
2015,EB3,FRA,INLKO,5145,17844,3809,225,30,1,0,6,1,0,1,212C,0,84,JH,2025-06-26
2022,EB3,USA,INKOL,13859,785,2411,179,20,0,1,0,0,0,0,212B,1,14,MP,2025-09-16
2016,H1B,AFG,INHYD,23048,12691,2107,278,59,0,1,0,1,1,1,212D,1,22,MZ,2025-05-03
2015,J1,ARE,INHYD,10979,16178,3553,474,57,1,1,5,1,0,1,212A,0,65,AR,2025-11-07
2016,J1,CAN,INMUM,14892,4112,1273,275,40,1,1,5,0,1,1,212F,1,45,MZ,2025-04-21
2018,L1,CAN,INDEL,23569,12995,559,26,45,0,0,2,1,0,1,212D,1,8,UP,2025-09-13
2020,L2,JPN,INDEL,17443,9361,116,509,44,0,0,3,0,0,1,212D,0,65,PY,2025-08-22
2018,DV,JPN,INBLR,1600,12354,3810,153,25,1,1,5,0,0,1,NONE,0,65,CG,2025-12-22
2024,B1,CAN,INDEL,9045,16097,873,435,101,0,1,4,1,0,1,NONE,1,17,TR,2025-02-09
2016,L1,GBR,INHYD,15216,15855,2962,171,50,1,0,2,0,0,0,212A,0,16,HP,2025-05-02
2021,J1,PAK,INAMD,7542,2686,967,316,35,1,0,6,1,0,1,212B,0,71,WB,2025-08-03
2021,B2,MDV,INKOL,12551,5988,3046,524,51,1,0,2,1,0,1,NONE,0,33,SK,2025-10-23
2018,L1,MDV,INMUM,15617,7661,1568,20,80,1,0,4,0,1,1,212F,0,68,AN,2025-10-13
2025,SIV,USA,INCHN,19835,18585,43,138,50,0,0,5,0,1,1,212F,0,63,LA,2025-10-08
2021,B1,SGP,INKOL,23881,9854,508,445,2,0,0,6,1,0,0,212C,0,43,PB,2025-01-07
2016,F1,IND,INLKO,13315,3908,2011,269,13,0,1,4,0,0,0,212F,0,28,CG,2025-04-02
2014,L1,MMR,INLKO,5474,860,1188,231,48,1,0,1,1,1,1,212A,1,61,DD,2025-12-27
2018,CR1,LKA,INAMD,20675,13893,3439,264,76,0,0,5,1,0,1,212E,0,15,JH,2025-05-03
2024,L1,IND,INCHN,14136,10866,3928,240,104,1,1,3,1,1,0,212D,0,77,MZ,2025-12-03
2022,B1,SAU,INKOL,3211,5919,1315,342,90,1,0,6,1,1,0,212F,0,51,PY,2025-04-06
2022,B1,BTN,INDEL,20589,20522,848,415,0,0,0,4,1,1,0,212A,0,1,MN,2025-01-01
2013,H4,GBR,INHYD,23912,585,1879,30,56,1,0,5,0,1,1,212E,1,60,HP,2025-04-01
2023,B2,JPN,INAMD,9265,6025,916,277,16,1,1,0,1,1,0,212E,1,3,DD,2025-01-07
2020,EB2,SAU,INCHN,6667,9176,2945,101,111,1,0,1,1,0,0,NONE,0,51,TN,2025-04-30
2021,E1,FRA,INAMD,22094,10494,798,148,49,0,1,6,1,0,1,212E,1,40,KA,2025-12-16
2021,L1,ARE,INKOL,11976,9207,875,87,97,1,0,6,1,1,1,212B,1,51,MP,2025-05-09
2023,B1,ARE,INHYD,15142,7246,1760,280,13,0,1,3,1,0,1,212E,1,30,NL,2025-06-28
2012,H1B,JPN,INAMD,16210,9399,2333,282,117,1,0,5,1,1,0,212E,1,25,HP,2025-04-08
2024,IR1,JPN,INCHN,17610,5910,3275,471,118,0,0,0,0,0,0,212D,1,26,CG,2025-02-12
2017,SIV,DEU,INMUM,24390,13133,2731,214,58,1,0,5,0,0,0,212B,0,50,SK,2025-07-02
2018,IR1,IND,INKOL,15688,4331,3595,302,80,0,1,0,1,0,0,212A,0,47,DD,2025-07-04
2025,SIV,CAN,INMUM,2283,11466,818,45,2,0,0,3,1,0,1,212B,0,10,AR,2025-02-22
2024,B1,SAU,INDEL,4750,8868,2168,294,97,1,0,1,1,0,0,212B,1,7,RJ,2025-08-16
2019,IR1,GBR,INMUM,11077,19386,944,130,39,1,1,6,0,0,1,212A,0,11,WB,2025-06-10
2021,J1,BTN,INMUM,22340,6103,3827,289,88,1,1,0,1,0,0,212D,1,44,TS,2025-08-23
2020,DV,AFG,INBLR,7910,12618,3735,186,65,1,1,2,1,0,0,212F,0,33,TS,2025-12-24
2013,F1,NPL,INKOL,7576,16960,3735,103,33,0,0,3,1,1,0,212E,0,76,MH,2025-07-19
2022,DV,AUS,INDEL,5609,19423,3065,197,89,1,1,3,1,1,1,212B,0,71,PY,2025-01-01
2021,E2,AUS,INMUM,6782,2600,3259,80,94,0,0,4,1,0,0,212B,0,46,UK,2025-01-14
2013,J1,BGD,INLKO,2563,13864,906,453,8,1,1,1,1,0,1,212F,1,20,TS,2025-08-01
2016,H4,PAK,INHYD,7880,9573,12,503,93,0,1,2,0,0,1,212A,0,40,GA,2025-10-04
2024,EB3,FRA,INCHN,14831,9406,602,490,83,0,0,2,1,1,1,212C,0,74,UP,2025-02-03
2016,SIV,AFG,INMUM,23378,20423,199,122,20,0,0,4,1,0,1,212F,1,21,MN,2025-12-27
2017,L2,BGD,INDEL,7960,19542,2633,104,92,1,0,0,1,0,0,212B,1,20,AN,2025-09-27
2014,F1,LKA,INMUM,15897,14655,1791,334,24,1,0,0,1,1,0,NONE,0,27,LD,2025-06-17
2019,O1,CAN,INCHN,5699,691,3527,413,101,0,1,2,1,1,1,212E,0,66,JH,2025-06-19
2024,B2,BTN,INDEL,17530,797,447,319,43,0,1,1,1,1,1,212E,1,70,WB,2025-03-23
2012,E1,GBR,INKOL,9170,21331,1811,154,24,0,1,0,1,0,0,212F,1,13,HP,2025-11-12
2017,E1,BTN,INDEL,2001,3042,3911,348,8,0,0,3,1,1,0,212D,0,78,RJ,2025-05-17
2015,IR1,CAN,INKOL,10215,18264,840,501,102,0,0,5,1,0,1,212F,1,72,JH,2025-08-21
2012,DV,BTN,INDEL,14402,19543,3142,29,61,1,1,4,0,1,0,212B,1,51,BR,2025-04-25
2018,O1,BTN,INLKO,9796,13837,589,111,107,0,1,1,0,0,0,212A,0,42,BR,2025-09-09
2020,DV,FRA,INAMD,11020,14280,3867,228,25,1,0,0,0,0,0,NONE,0,70,GA,2025-10-16
2024,O1,DEU,INCHN,9236,1094,1153,21,56,1,1,5,1,0,1,212F,0,75,UP,2025-02-18
2015,O1,ARE,INCHN,24233,9928,2936,84,36,1,1,2,0,1,1,212A,1,18,ML,2025-01-04
2015,H1B,CAN,INDEL,8854,9495,2090,328,15,0,1,4,0,0,1,212F,0,26,HR,2025-06-25
2017,H4,MMR,INAMD,645,12898,519,247,36,0,0,0,0,0,1,212B,0,17,WB,2025-09-29
2023,EB3,DEU,INMUM,7925,15140,1036,24,75,0,1,2,0,0,1,NONE,0,12,ML,2025-01-26
2014,H1B,AUS,INCHN,20873,2006,724,460,23,0,0,0,1,1,0,212D,1,0,AP,2025-03-11
2024,E1,SAU,INLKO,6022,10845,2670,449,25,1,1,4,0,0,0,212D,0,84,OD,2025-10-20
2023,SIV,DEU,INKOL,15932,9213,987,283,19,1,0,3,0,0,0,212F,0,33,MZ,2025-08-22
2017,L2,MDV,INKOL,908,17450,802,430,8,1,1,6,1,0,1,212D,1,12,WB,2025-08-19
2018,E2,NPL,INHYD,5569,2196,2582,482,86,0,1,3,0,0,0,212C,1,50,KL,2025-09-20
2022,H4,SGP,INBLR,23819,18742,2349,33,102,0,1,6,1,1,1,212A,0,0,GA,2025-10-13
2021,L2,PAK,INAMD,10030,10067,3837,520,28,0,0,5,0,0,1,212B,0,27,GJ,2025-03-15
2021,L2,USA,INBLR,4367,16904,526,470,30,0,1,2,0,1,1,NONE,0,31,HR,2025-05-01
2014,DV,FRA,INBLR,19888,18637,1665,369,18,0,1,6,0,1,1,212F,1,71,AS,2025-01-06
2018,EB2,SAU,INKOL,12194,4628,3644,389,19,0,0,3,1,0,1,212F,0,54,RJ,2025-01-24
2025,DV,BTN,INLKO,12929,11926,1138,531,86,1,0,4,0,1,1,212E,0,25,HR,2025-07-13
2014,IR1,SAU,INLKO,1080,7254,459,388,106,1,1,2,0,1,0,212E,1,13,WB,2025-06-17
2024,REF,ARE,INHYD,9537,6630,2879,190,26,0,1,0,1,1,1,212A,1,67,CH,2025-12-07
2024,B1,MMR,INBLR,24340,10544,2552,200,93,1,1,6,0,0,0,212B,0,62,DD,2025-07-29
2013,K1,GBR,INBLR,13355,17004,3379,468,84,1,1,6,0,1,1,212C,1,81,KA,2025-05-13
2023,H1B,FRA,INDEL,10305,13431,931,62,43,1,1,1,0,1,0,212B,0,13,PB,2025-12-11
2025,B1,FRA,INDEL,1497,20688,1986,236,34,1,0,6,0,0,1,212A,0,26,ML,2025-10-19
2021,L2,USA,INDEL,10287,9200,324,495,112,0,1,6,0,0,1,212B,1,40,TR,2025-06-23
2015,IR1,SGP,INMUM,2900,15245,578,34,70,1,0,0,1,1,0,212E,1,2,HP,2025-05-31
2023,L2,ARE,INBLR,12003,10093,2808,190,21,0,0,4,1,1,1,212E,1,58,AS,2025-03-29
2019,E2,CAN,INLKO,8156,4503,3246,431,73,0,1,5,1,1,1,NONE,1,22,ML,2025-10-28
2024,H1B,BGD,INLKO,23585,5921,2898,381,86,1,0,2,0,0,0,212C,0,17,KL,2025-09-23
2020,IR1,JPN,INMUM,10050,6149,1537,47,14,0,1,0,0,1,0,212E,1,73,MN,2025-11-06
2018,REF,MMR,INLKO,9553,18158,3243,490,93,1,0,2,0,0,1,NONE,1,75,BR,2025-03-11
2012,F1,GBR,INHYD,23386,18868,3007,266,97,0,0,3,0,1,0,212C,0,40,TN,2025-07-24
2014,DV,BGD,INAMD,15543,10435,2549,447,12,0,1,1,0,1,0,212E,0,7,UK,2025-12-07
2024,B1,JPN,INKOL,4105,4502,2000,90,3,1,1,4,1,0,1,212C,0,31,PY,2025-02-01
2023,L2,AFG,INBLR,5452,9706,2381,52,81,1,0,0,1,1,0,212B,1,80,MP,2025-02-12
2025,CR1,USA,INLKO,9331,7420,2331,446,55,0,1,1,1,0,1,NONE,0,40,PY,2025-04-28
2020,J1,SAU,INKOL,1722,6826,474,525,22,1,1,6,0,1,0,212C,1,44,RJ,2025-01-15
2023,E2,PAK,INLKO,4582,10536,1077,444,96,0,0,4,1,0,1,212F,1,77,AN,2025-11-18
2012,EB2,NPL,INAMD,4974,7416,1481,142,97,1,0,4,1,0,1,212C,1,8,AN,2025-04-25
2020,REF,PAK,INDEL,15319,7358,1602,189,33,0,0,5,1,1,1,212B,1,47,KA,2025-12-03
2019,L1,BTN,INBLR,12596,9970,1443,178,99,0,1,3,1,0,0,212E,0,23,WB,2025-01-20
2012,REF,BTN,INCHN,6135,12520,3685,126,98,0,1,5,0,1,1,212E,0,43,JH,2025-06-27
2017,REF,BTN,INMUM,12440,11565,631,287,16,0,1,5,0,0,0,212F,0,57,CG,2025-09-19
2016,E2,GBR,INMUM,13330,5261,702,314,27,0,0,2,1,0,1,212A,0,65,TR,2025-03-20
2017,B1,BTN,INBLR,24168,4715,2456,283,13,1,1,2,1,0,1,212A,0,17,DL,2025-04-30
2021,B1,CAN,INAMD,4914,11550,981,536,33,0,0,6,1,1,1,212E,1,79,MZ,2025-01-26
2023,L2,ARE,INDEL,9366,14332,1327,301,111,1,0,1,1,0,0,212F,1,28,DL,2025-01-22
2024,E1,BTN,INMUM,1271,18992,1958,59,74,1,0,3,1,0,1,212D,1,74,TR,2025-07-20
2024,B2,USA,INDEL,2910,14338,558,438,56,0,0,4,1,0,1,212D,1,1,DL,2025-03-05
2024,EB2,MMR,INHYD,10752,18186,221,58,76,0,0,6,1,1,0,212F,0,77,HP,2025-08-02
2016,EB3,FRA,INKOL,8478,19924,1556,78,96,1,0,3,1,1,1,212C,1,67,UK,2025-11-10
2017,DV,LKA,INAMD,15435,11344,2205,34,120,0,0,3,1,0,1,212E,1,38,TR,2025-10-20
2016,L2,AUS,INCHN,9386,3238,347,475,54,0,1,1,0,0,0,212A,1,72,BR,2025-03-19
2022,L2,LKA,INKOL,3303,20161,1182,407,65,1,0,2,1,1,0,212C,1,40,HP,2025-08-04
2023,O1,PAK,INKOL,3832,4036,888,207,97,1,1,3,0,0,0,NONE,1,70,MN,2025-08-12
2016,H4,LKA,INHYD,23391,2857,3955,472,116,1,1,3,0,0,1,212F,1,80,ML,2025-01-28
2015,EB2,JPN,INMUM,17200,16332,921,385,92,1,1,3,1,0,0,212F,0,74,ML,2025-11-01
2014,SIV,AFG,INCHN,19115,7054,1258,183,36,1,1,0,1,0,1,212A,0,21,MP,2025-07-20
2014,F1,BGD,INMUM,24144,7329,2709,58,67,1,1,3,0,0,1,212A,1,81,MH,2025-03-08
2015,DV,CAN,INBLR,16393,14399,404,85,75,0,0,3,0,0,0,212A,1,48,SK,2025-12-25
2020,J1,ARE,INKOL,23916,4259,1280,391,25,1,1,4,1,1,0,212F,1,27,RJ,2025-05-06
2013,J1,PAK,INBLR,21520,12148,676,14,60,1,1,5,0,0,1,212D,1,15,HP,2025-12-15
2020,CR1,AFG,INDEL,24398,20832,588,220,91,0,1,0,1,0,0,212B,1,67,BR,2025-07-14
2012,O1,USA,INKOL,19099,15876,1620,31,66,0,0,3,1,1,0,212B,0,61,JH,2025-06-23
2025,O1,BTN,INMUM,10001,9631,2605,456,83,0,1,5,0,1,1,212F,0,35,LA,2025-03-28
2012,SIV,ARE,INKOL,16319,4170,2952,463,73,0,1,3,1,1,0,212D,1,21,HP,2025-12-09
2016,E1,NPL,INDEL,14617,11129,3984,467,51,0,1,1,0,1,0,212E,0,10,ML,2025-11-07
2017,J1,GBR,INHYD,11733,1466,3118,204,17,0,1,1,1,0,0,212E,1,84,NL,2025-06-03
2017,K1,DEU,INBLR,3563,11956,3284,100,52,1,0,5,1,1,1,212F,1,79,JH,2025-07-29
2014,L2,FRA,INLKO,16929,11056,2526,443,62,0,1,0,0,0,0,212F,0,41,RJ,2025-01-13
2018,H4,IND,INBLR,13385,6488,2534,533,52,0,0,4,0,1,0,212D,0,54,MN,2025-06-13
2020,IR1,USA,INMUM,11422,14041,1594,384,116,0,0,0,1,1,1,212D,0,72,MN,2025-09-12
2022,EB3,USA,INKOL,5872,4195,565,110,26,0,1,0,1,1,1,212E,0,34,KA,2025-03-05
2023,H4,BGD,INMUM,14887,15410,3413,45,30,1,1,1,0,0,1,212B,1,56,PY,2025-11-03
2021,E2,MDV,INHYD,12172,5100,2571,464,90,0,0,1,1,1,1,212C,0,33,PB,2025-03-17
2019,E1,AUS,INKOL,2122,15491,703,370,105,0,1,4,0,1,0,212D,0,72,JK,2025-01-22
2017,EB2,DEU,INLKO,24229,14913,3574,141,0,1,1,6,0,1,1,212C,0,76,SK,2025-03-01
2023,DV,JPN,INKOL,8579,17268,3077,380,5,1,1,6,0,0,1,212C,1,69,NL,2025-02-25
2019,L2,SGP,INLKO,20383,16029,2868,238,10,1,0,6,1,0,0,NONE,1,3,ML,2025-06-17
2023,SIV,GBR,INMUM,22467,6237,3215,45,33,0,0,3,0,1,1,212B,1,45,CG,2025-07-24
2016,O1,BTN,INMUM,24762,5692,857,53,102,1,1,4,1,0,1,212F,0,10,AP,2025-12-19
2019,L2,FRA,INDEL,18989,1522,1284,42,83,1,1,3,0,1,0,212C,0,60,OD,2025-09-16
2021,CR1,SAU,INAMD,22804,21088,584,101,62,1,0,5,1,0,1,212F,0,34,JH,2025-07-10
2023,SIV,USA,INAMD,20849,1430,2733,367,52,0,0,5,1,1,1,212F,1,68,RJ,2025-02-24
2015,K1,SAU,INHYD,6009,3790,231,531,84,0,0,2,0,0,0,212B,0,56,MP,2025-12-06
2021,REF,SAU,INAMD,9157,10117,2317,152,84,1,0,6,0,1,0,212B,0,10,TS,2025-10-11
2019,CR1,MMR,INDEL,6043,21063,2987,374,17,0,0,1,0,0,0,NONE,1,11,TN,2025-09-21
2021,DV,AUS,INBLR,5071,4021,3518,71,20,0,0,2,1,0,0,212F,0,42,TN,2025-09-16
2023,F1,FRA,INLKO,19341,19887,2921,234,18,0,0,2,1,1,0,212E,0,18,KA,2025-12-16
2013,L1,MDV,INKOL,19348,20966,1245,526,3,0,1,1,1,1,0,212B,0,76,AR,2025-03-30
2023,DV,BTN,INMUM,13596,618,51,187,76,0,0,2,0,0,0,212C,0,67,GA,2025-08-10
2023,K1,JPN,INKOL,10224,10996,2163,507,81,1,0,6,0,1,0,212E,1,77,KA,2025-12-16
2016,O1,AUS,INKOL,16188,19445,537,161,115,1,1,0,0,1,0,212E,1,58,MN,2025-03-30
2020,EB2,DEU,INCHN,20304,6411,3636,441,28,1,1,3,0,1,0,212A,1,1,HP,2025-02-28
2015,SIV,MDV,INBLR,11809,16470,3948,105,24,1,1,6,0,1,0,212C,0,7,KL,2025-06-01
2022,IR1,GBR,INCHN,9240,14928,540,378,55,0,0,4,1,0,0,212C,0,21,LD,2025-01-28
2017,L2,GBR,INAMD,21519,11610,1042,368,76,1,0,1,0,1,1,212B,1,76,WB,2025-08-13
2012,CR1,AFG,INKOL,12936,16299,814,118,62,1,1,0,1,0,0,212C,0,20,TN,2025-11-14
2020,L2,SGP,INLKO,22980,2770,1415,459,26,0,1,5,0,0,0,212F,1,84,UK,2025-02-20
2012,CR1,MMR,INMUM,16829,9936,2838,175,59,0,1,4,0,1,0,212A,1,28,TS,2025-09-20
2016,L1,NPL,INLKO,17372,6826,1652,145,82,0,0,4,0,1,0,212B,0,85,MH,2025-10-06
2015,K1,DEU,INKOL,9878,6449,2665,237,48,0,1,4,0,0,0,212D,1,74,LA,2025-02-15
2024,E2,JPN,INBLR,2560,8143,418,245,64,1,0,2,0,1,1,212C,1,74,UK,2025-11-30
2023,E2,DEU,INLKO,21070,18035,2356,259,37,0,0,2,1,1,1,212C,1,82,RJ,2025-04-16
2024,IR1,MMR,INCHN,18083,6472,3810,442,82,0,0,2,0,0,1,NONE,1,36,MP,2025-10-11
2024,SIV,LKA,INMUM,20124,17178,863,428,51,0,0,6,1,0,1,212D,1,77,HR,2025-01-24
2025,H4,BTN,INKOL,3485,15476,185,309,0,0,1,2,1,0,0,212D,1,28,JK,2025-01-07
2014,EB2,AUS,INHYD,3251,4039,260,78,39,0,1,0,1,1,1,212F,0,82,TN,2025-12-01
2024,SIV,AUS,INBLR,20613,12439,1551,269,80,0,1,2,1,1,1,212A,1,36,HP,2025-01-03
2017,EB2,FRA,INBLR,24839,949,1296,228,20,1,0,1,0,0,0,212F,1,20,AP,2025-09-15
2013,REF,FRA,INHYD,15203,19416,2207,83,85,1,1,4,0,0,1,212D,0,11,LD,2025-09-20
2014,K1,PAK,INLKO,19671,21428,2917,68,14,1,0,0,0,1,1,212F,0,47,ML,2025-05-01
2016,IR1,AFG,INKOL,20296,6284,761,477,49,0,0,5,0,1,0,212F,1,82,TR,2025-07-27
2020,E2,SGP,INBLR,108,7993,223,163,102,0,0,2,0,1,0,NONE,0,46,NL,2025-01-21
2013,B1,AUS,INMUM,11172,9717,1279,131,47,1,1,5,1,0,1,212A,0,14,JK,2025-05-20
2021,H1B,ARE,INKOL,21372,21133,179,167,102,1,0,4,0,1,0,212F,1,66,AS,2025-10-07
2019,F1,LKA,INKOL,3021,11156,2067,112,31,1,0,0,0,1,1,212F,0,12,PB,2025-10-16
2025,REF,MMR,INCHN,9769,19223,1647,137,48,1,1,4,1,0,0,212D,1,58,OD,2025-07-25
2013,L1,BTN,INBLR,14067,1204,631,363,67,0,1,5,0,1,1,212A,1,72,MP,2025-02-12
2022,K1,AUS,INBLR,8364,16931,3777,8,107,1,1,6,0,0,1,212D,1,12,MZ,2025-12-04
2024,EB2,AFG,INHYD,9678,936,3539,239,44,0,0,0,1,1,1,212D,1,79,MH,2025-04-28
2016,B1,AFG,INCHN,9404,3594,3694,375,31,0,0,3,0,0,0,212F,0,77,CH,2025-01-05
2018,EB2,NPL,INLKO,11542,3339,3281,257,3,0,1,6,1,0,0,212E,1,71,SK,2025-07-26
2019,L2,NPL,INAMD,3395,17810,1536,114,116,1,0,0,1,0,1,212D,0,18,AN,2025-05-03
2012,E1,AUS,INLKO,18920,17645,2105,282,64,1,0,2,0,1,0,212F,0,56,AR,2025-11-23
2017,EB3,BGD,INLKO,15407,5226,3164,186,96,1,1,5,1,1,0,212C,1,31,HR,2025-12-11
2012,L2,DEU,INCHN,611,19537,3292,299,70,0,1,4,0,1,1,212D,1,20,MH,2025-05-22
2013,H1B,AFG,INBLR,20415,17202,2770,181,72,0,1,4,0,1,0,212C,0,81,JK,2025-08-20
2012,K1,BTN,INKOL,6311,17927,1963,129,64,1,1,4,0,0,0,212B,1,13,MP,2025-06-13
2022,B1,BTN,INCHN,1787,4948,3303,233,79,0,1,1,1,1,1,212E,1,79,JH,2025-02-04
2016,F1,AFG,INHYD,9146,16125,3845,450,17,1,1,1,1,1,1,NONE,1,23,HR,2025-12-30
2021,H1B,ARE,INCHN,19988,2908,3435,434,53,0,1,2,1,0,0,212A,0,48,GJ,2025-12-01
2020,J1,NPL,INHYD,12732,2710,614,89,46,0,1,3,1,0,0,212A,0,31,MP,2025-01-11
2017,L2,USA,INLKO,11773,4111,561,71,5,0,0,1,1,0,0,212B,0,74,UP,2025-03-16
2022,F1,NPL,INAMD,12148,13980,2421,287,65,0,0,0,1,0,1,212D,0,10,DD,2025-10-27
2022,E1,GBR,INCHN,9176,710,621,397,8,0,0,6,1,1,0,NONE,1,59,OD,2025-07-17
2012,H4,FRA,INHYD,13439,1515,3527,434,67,0,0,5,1,0,0,212B,1,67,MN,2025-12-07
2024,E2,PAK,INCHN,23529,11105,2135,113,108,0,0,2,1,1,0,212B,0,60,AR,2025-09-21
2012,E1,MDV,INAMD,8316,17296,3091,268,22,1,0,6,1,1,0,212A,0,4,PY,2025-12-01
2013,CR1,MMR,INLKO,344,10740,1013,165,117,0,0,3,1,0,0,212C,0,35,OD,2025-08-12
2020,L1,LKA,INCHN,24646,5893,2061,271,106,0,0,6,0,0,0,212C,0,63,DL,2025-05-02
2014,H4,AUS,INMUM,11484,4523,2180,474,108,1,0,0,1,0,1,212D,0,77,DL,2025-03-15
2012,O1,AUS,INHYD,5380,11740,1960,208,42,1,0,4,0,0,1,212D,1,31,AP,2025-01-28
2016,EB3,USA,INAMD,4705,13984,3879,161,50,1,0,1,0,0,1,212F,0,70,WB,2025-06-20
2018,IR1,JPN,INHYD,17543,917,1057,19,71,1,1,0,0,1,0,212F,0,73,MZ,2025-12-30
2017,O1,FRA,INHYD,13510,17114,2939,303,102,0,0,3,0,0,0,212B,1,65,GA,2025-08-04
2023,J1,AUS,INDEL,3821,3715,3279,504,24,0,1,2,1,1,1,212D,1,9,PB,2025-11-15
2012,E1,FRA,INAMD,8613,2706,3884,251,79,1,0,6,0,0,1,212C,1,20,MP,2025-04-11
2016,K1,LKA,INCHN,22557,5798,3270,306,34,0,1,0,0,1,1,NONE,0,39,KL,2025-09-03
2016,DV,IND,INHYD,24081,15170,591,368,16,1,0,2,0,1,1,212A,1,41,CH,2025-04-03
2017,CR1,IND,INBLR,17608,21417,582,360,17,0,1,4,1,1,1,212C,0,71,RJ,2025-03-04
2014,CR1,SAU,INDEL,1214,20916,3226,527,26,0,0,3,0,0,0,212F,0,45,AR,2025-09-23
2016,H4,AUS,INMUM,9525,16819,1613,392,14,0,1,3,0,0,0,212E,1,81,NL,2025-07-25
2018,E2,FRA,INHYD,20900,9683,1101,318,80,0,0,6,1,0,0,212D,0,72,WB,2025-03-21
2016,EB3,BTN,INLKO,21972,4200,3243,420,106,0,1,1,1,1,0,212A,0,40,BR,2025-02-06
2016,REF,JPN,INHYD,12438,4282,288,284,68,1,0,5,1,1,0,212E,1,3,GA,2025-01-11
2016,B2,AUS,INDEL,14019,2535,1568,362,79,0,1,3,1,0,1,212A,1,13,HP,2025-04-25
2021,REF,ARE,INCHN,23545,11256,3883,531,14,0,1,0,1,0,1,212B,1,13,PB,2025-03-31
2021,B1,BTN,INBLR,8484,14124,3859,22,41,0,1,0,1,1,0,212D,1,52,CH,2025-08-20
2014,J1,BTN,INLKO,19234,6636,3060,51,109,0,1,0,1,1,1,212B,1,83,PY,2025-01-19
2012,EB2,SAU,INMUM,21041,17396,2926,327,33,0,1,4,1,0,0,212A,1,28,BR,2025-02-21
2016,J1,AUS,INLKO,7312,4390,1443,332,47,1,1,3,1,0,0,212B,1,22,MP,2025-10-01
2025,E1,MMR,INHYD,1591,18177,6,154,82,0,1,3,0,0,1,212D,1,84,LA,2025-04-04
2020,F1,PAK,INCHN,2815,19965,1183,361,7,1,1,0,1,1,0,212C,1,30,CH,2025-02-01
2025,B1,FRA,INAMD,10356,3836,239,242,110,0,0,6,0,1,0,NONE,1,70,BR,2025-05-31
2012,B2,DEU,INBLR,4541,1776,1986,111,9,0,0,1,0,0,0,212E,0,76,TR,2025-05-20
2014,L2,BGD,INAMD,3133,2393,1446,480,4,1,0,6,1,0,1,212C,0,60,DN,2025-02-27
2024,L1,JPN,INBLR,21790,2596,2583,402,115,0,1,1,1,0,1,212A,0,22,KL,2025-01-21
2024,E1,FRA,INMUM,1907,4204,1749,452,47,0,1,3,1,0,0,212C,1,7,MN,2025-05-29
2015,B2,MMR,INKOL,819,2417,2117,226,116,1,0,6,1,0,0,212B,0,75,UP,2025-08-09
2025,CR1,AUS,INBLR,17856,12694,1903,448,25,0,0,3,0,1,1,212D,0,15,JH,2025-08-09
2012,J1,JPN,INKOL,3022,10346,2263,34,85,1,1,2,0,0,1,212C,0,25,KL,2025-08-30
2012,IR1,ARE,INAMD,18306,10566,3175,481,107,1,1,3,1,1,1,212C,0,28,SK,2025-08-07
2019,DV,JPN,INBLR,5649,4555,3798,311,22,1,0,6,0,1,1,212D,0,5,RJ,2025-01-29
2013,L1,AUS,INMUM,18703,14619,1077,411,61,0,1,0,1,1,0,212B,1,36,LA,2025-02-16
2023,J1,CAN,INDEL,5325,9188,2853,519,12,0,0,5,0,1,0,NONE,1,32,GJ,2025-02-27
2019,CR1,DEU,INMUM,21183,17138,2377,508,8,1,1,4,0,1,0,212C,1,45,NL,2025-10-02
2018,F1,FRA,INMUM,6621,652,847,354,112,0,0,3,1,1,1,212E,0,60,UK,2025-05-20
